Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution provide secure bicycle storage (not including office space), shower ...",A brief description of the facilities for bicycle commuters,Does the institution provide short-term bicycle parking (e.g. racks) within 50 ft (15 m) of all ...,A brief description of the bicycle parking and storage facilities,Does the institution have a “complete streets” or bicycle accommodation policy (or adhere to a ...,A brief description of the bicycle/pedestrian policy and/or network,Does the institution have a bicycle-sharing program or participate in a local bicycle-sharing ...,A brief description of the bicycle sharing program,Is the institution certified as a Bicycle Friendly University by the League of American Bicyclists ...,"A brief description of the certification, including date certified and level",Does the institution offer free or reduced price transit passes and/or operate a free campus ...,"A brief description of the mass transit program(s), including availability, participation levels, ...",Does the institution offer a guaranteed return trip (GRT) program to regular users of alternative ...,A brief description of the GRT program,Does the institution participate in a car/vanpool or ride sharing program and/or offer reduced ...,A brief description of the carpool/vanpool program,"Does the institution participate in a car sharing program, such as a commercial car-sharing ...",A brief description of the car sharing program,Does the institution have one or more Level 2 or Level 3 electric vehicle recharging stations that ...,A brief description of the electric vehicle recharging stations,Does the institution offer a telecommuting program for employees as a matter of policy or as ...,A brief description of the telecommuting program,Does the institution offer a condensed work week option for employees as a matter of policy or as ...,A brief description of the condensed work week program,Does the institution have incentives or programs to encourage employees to live close to campus?,A brief description of the incentives or programs to encourage employees to live close to campus,Does the institution have other incentives or programs to encourage more sustainable modes of ...,A brief description of other sustainable transportation initiatives and programs,The website URL where information about the institution’s sustainable transportation program(s) is ...,Public Notes
Northern Arizona University,2016-02-23,2016-02-23 18:52:13,Ellen.Vaughan@nau.edu,2.0,Pursuing,True,"The Applied Research and Development ARD building has indoor and secure bike storage and shower facilities.  Each staff member has a lockable cabinet for storage of keys, helmets, etc.
Also, the Extended Campuses building has indoor bike storage.

Five sets of bike lockers have been installed - on north, central and south campus. 

Three bike cage storage facilities were installed in parking garages. ",--,"All buildings on campus have bike racks within 50ft of the entrances. Not all residential buildings have long term storage within 330ft of the building. There are bike storage facilities in each garage p96a (Knoles), p96b (San Francisco) and p28c (Mt. View). Each can be rented for a fee of $75 annually and $30 per semester. Bike enclosures are available at a cost of $40 annually and $15 for the semester. They are long term in that they can be rented for the school year from August to August and can be renewed. ",True,"Bike information is available on our website: http://nau.edu/Parking-Shuttle-Services/Biking-on-Campus/.

NAU rules and regulations on bike rules and policies:

VI. Non-Pedestrian Device Regulations 

A. Introduction 
The following guidelines are provided to promote safe use of non-pedestrian devices on Northern Arizona University campus. Northern Arizona University and the Arizona Board of Regents reserves the right to amend these regulations at any time to promote and ensure fair and safe usage of the property under the jurisdiction of the university. All changes become effective immediately. 

Northern Arizona University maintains the right to cut locks, chains, and/or cables for the purpose of impounding any bicycle found to be abandoned or parked/stored in violation of university regulations (A.R.S. §15-1627). The cost of replacement for any locking device removed by Northern Arizona University is the responsibility of the bicycle owner. 

Free bike registration is available at the Parking and Shuttle Services office Monday through Friday 7:30 a.m.-4:30 p.m. to university faculty, staff, students, and affiliates. The bicycle and JacksCard must be present at the time of registration. 

B. Non-Pedestrian Device Regulations 
1. Bicycles must be parked at designated bike racks only. Bicycles and other non-pedestrian devices may not be parked or secured to any fence, light post, tree, handrail, water/gas line, sign post, or any other unauthorized area. Bicycles and other non-pedestrian devices parked in violation of this regulation are subject to impoundment at the owner’s expense. 

2. Non-pedestrian device riders shall ride in the same direction of traffic and as near to the right side of the roadway as practical. In bike lanes separated by median strips, non-pedestrian devices shall be ridden to the right of the strip. Non-pedestrian device riders must ride single file. Skateboards and other similar devices are not permitted to ride in roadways. 

3. Non-pedestrian device riders must yield the right of way to pedestrians at all times. 

4. Non-pedestrian device riders must come to a full and complete stop before passing the controlling plane of a stop sign. Non-pedestrian device riders facing a steady red traffic control signal shall stop and remain until an indication to proceed is shown (A.R.S. §28645). Non-pedestrian devices may not be operated in an area where restricted by regulation, including campus buildings. Non-pedestrian devices must be dismounted and walked through any restricted area, unless otherwise instructed by signs posted at location. 

5. Bicycles operated between dusk and dawn is required to be equipped with and use a white headlight as well as a red rear light or reflector. 

6. Non-pedestrian devices may not be ridden at a speed greater than the posted vehicle speed limit, or at a speed greater than is reasonable, prudent, and safe. Bicycles may only carry the number of riders for which they are specifically designed. Bicycles may not be ridden on sidewalks.

7. In accordance with A.R.S. §15-1627, members of the general public who violate these regulations regarding the use of non-pedestrian devices shall be warned of a violation and may receive a citation. Any non-pedestrian device may be impounded by Northern Arizona University and a reasonable fee may be exacted for the cost of impoundment and storage. 
",True,"Northern Arizona University's Yellow Bike Program (YBP) - a free community bike program with a secure and reliable checkout system.

To check out a yellow bike, visit the Du Bois Center or the University Union to fill out a liability waiver, and present your NAU ID. You will be provided a bike, a lock, and key, and a helmet (upon request). Hours are 7:30 AM to 7 PM Monday through Friday.
Bikes (including lock, key, and helmet) must be returned within seven days. If there is not a waiting list, you may check out the bike again if you would like for another seven days.
Possible Charges (For items lost, stolen, or damaged beyond repair):
•	Bike - $100 
•	Lock - $25 
•	Helmet - $15 
•	Key - $5
Note: Regular wear and tear such as a popped tire, scratches, etc. will not be charge though we do ask that you report these kinds of issues.

For the Fall 2013 we had 191 yellow bikes checked out and 20 available.

http://nau.edu/Green-NAU/Yellow-Bike-Program/
",True,"Since 2012 NAU has been a silver-level bicycle-friendly university.
NAU is actively involved in incorporating bicycles into the university culture through the free Yellow Bike program, bike registration and locker storage to protect bicycles from weather, and recent enhancements to the campus pedways including the addition of an east-west pathway.",True,"NAU has partnered up with the Northern Arizona Intergovernmental Public Transportation Authority (NAIPTA) to provide faculty and staff with an ecoPASS, which allows the use of the public transportation system free of charge. 

While on campus, a free bicycle share program is available for university faculty, staff, and students.

The ecoPASS offers university faculty a free ride to work using city buses,  and an alternative eco-friendly commute  to campus.
Note: “We provide the ecoPASS to all campus employees (it's a tiered system, we first distribute to faculty/ staff; we will eventually open to Graduate Assistants and then Undergraduate Campus employees)”

NAU offers an extensive, shuttle service on campus.
Students that live on campus are prohibited from driving & parking across campus from 7:30 am-4:30pm significantly reducing traffic and carbon emissions. 
",True,"In addition to unlimited public transit access, ecoPASS gives you access to the Guaranteed Ride Home program. This program allows employees who commute to work using their ecoPASS to use a taxi for emergencies at no charge. Emergencies include, but are not limited to:
•	illness or injury experienced by you or a family member
•	damage to your home or property by fire, burglary, or acts of nature
•	university-wide emergencies where no other travel options are available
•	unscheduled overtime (supervisor authorization is required)
When an employee has an emergency on a day he or she commutes to work via Mountain Line, a signed voucher will be issued by Human Resources and the employee will call a taxi from the provider list. Northern Arizona Intergovernmental Public Transportation Authority (NAIPTA) will pay for the ride. 

The link to the guaranteed ride home program is attached: http://nau.edu/Parking-Shuttle-Services/ecoPASS/. 
",True,"As a carpooling alternative, individuals can contact the Transportation Services Dispatch office at 523-2469 to find out who might be travelling to their destination (university business only).  

For local carpooling, interested participants receive a permit that allows them preferential parking. The permit is allowed to be shared between multiple vehicles (it can be physically removed and placed on another vehicle). This is exceptionally helpful to off campus students and employees who wish to car-pool. Permit owners can have up to 5 vehicles associated to 1 permit. 

The NAU Campus also participates in the ZimRide program that encourages all community members to use online software for carpooling.
",True,"One example of a Car Sharing program that Northern Arizona Univesity hosts is in association with our LEED Buildings. The LEED Platinum Applied Research and Development building has a car share program available for all occupants of the building. The car share program has an electronic calendar on which occupants can check out the car service.

The Babbit Administration Building also has a Chevy Volt for occupant use.

We are also in the middle of finalizing a contract with a local company to bring We-Car to campus for all community members. Coming spring 2014!",True,"There are 17 electric vehicle charging stations in the San Francisco parking garage, 2 in p60 near Babbitt Administration, and 2 in p16 near the Union. All charging stations are level 2’s.",True,Supervisors may work with employees on a telecommuting schedule where appropriate.,True,"Faculty and staff may work with their supervisors to develop a ""flex"" schedule where appropriate. This may include a 4-day work week or work a non-standard schedule if operations can be maintained.",True,The University has partnered with the Northern Arizona Transportation Authority to create a public bus route that travels through campus and into the local surrounding community. This bus route is free for all employees of the University. There are many bus stops in the surrounding local community that would allow employees to take alternative transportation to work every day.,True,"TransLoc is a real-timebus GPS location monitoring lets you know exactly when the bus is coming. This provides a better user experience for bus riders.

Parking/Shuttle Services offers ecopass to staff and faculty at no charge to use the city bus system which eliminates the need to drive to campus. NAIPTA also offers the route 10 to anyone with an NAU ID to ride that line at no charge. If the rider wants to transfer buses the fee for the new route would apply but route 10 is at no fee once ID is shown regardless of how many times a day the rider uses the bus system.",http://nau.transloc.com/,--
Oberlin College,2016-03-21,2016-03-21 16:09:54,bflynn@oberlin.edu,2.0,Pursuing,True,"We have covered outdoor bike shelters in several locations across campus, but no indoor bike storage for commuters. All College employees receive a membership to the College gym where lockers and showers are available.",True,Covered and uncovered bike racks are located near all Oberlin College buildings.,--,"A Complete Streets resolution has been drafted and will be presented to City Council in 2015. Oberlin already enjoys two ""Complete Streets"" projects (sections of roads), as well as a series of sidewalks.",True,"Wilder Student Union offers a bicycle-sharing program with 5 or so bikes. The Bike Co-op rents out 20-30 bikes each year. Furthermore, the co-op allows students to work in exchange for a free bicycle.",True,Bronze level Fall 2013,True,"Oberlin operates RideLine, which provides stop-to-stop vehicle escort service to members of the college community from 9 p.m. to 2 a.m. After the collapse of the local public transit program, Oberlin College joined with the City of Oberlin and other area businesses and organizations to support the two-day a week Oberlin Connector, which provides public transit in and around Oberlin. A local shopping shuttle was initiated in spring 2013 to provide services to the local drug store, Walmart, and IGA grocery store each week. There is also a shuttle each day (except Saturday) to the Cleveland Hopkins airport, which also connects to the RTA which riders can take to get around Cleveland.",--,,True,The Northeast Ohio Areawide Coordinating Agency offers a free carpool matching service. Students arrange carpooling through a section of the Oberlin Classifieds.,True,"Oberlin partnered with Enterprise CarShare to offer three vehicles on campus for car-sharing. The car-share program is open to all students, faculty, staff, and community members. ",True,There are EV charging stations at the Adam Joseph Lewis Center. There is also one in downtown Oberlin.,--,"Telecommuting options are under consideration at this time, but there is no formal program.",--,"Condensed work week programs have been considered (and are currently being researched by the CBSM project), but no formal program is available at this time.",True,Rental properties are available for faculty and staff within walking distance of campus. The Oberlin Project is also seeking to develop these incentives.,True,"In Kahn Hall, a newer LEED Silver sustainability-themed first year dorm, students must take a sustainability-pledge including not bringing a car to campus. This is the nicest dorm on campus, which intentivizes students to consider this pledge.

Incentives have been considered, but there is no formal program currently in place for other areas of campus.",--,--
Ohio University,2016-03-23,2016-03-23 07:58:44,goetze@ohio.edu,2.0,Pursuing,--,,--,"Bicycle racks are provides near most, but not all, campus buildings.",--,,--,,--,,True,"CATS: The Campus Area Transit System, or CATS, is a FREE bus for University students, faculty, staff and visitors throughout campus. No pass or ID is needed to ride. Many bus stop are located around campus.  The CATS service runs several different bus loops.  ",--,,True,"Any Ohio University employee is encouraged to request from Human Resources the names and contact information of colleagues residing near them.  This simple process requires that interested participants self-identify as willing to carpool.

Student senate operates an online board which includes a ride board for carpooling.",True,"Ohio University is partnering with ""zipcar"" to offer car-sharing to students, faculty and staff on its Athens campus. The program is a membership-based car rental option that offers a sustainable, efficient and cost-effective transportation alternative. Members can easily reserve a vehicle on the zipcar website or by using an app on a smart phone.",True,"Students, faculty and staff at Ohio University are now able to charge their electric vehicles while on campus.  Charging stations have been installed at 5 strategic locations: 
- LOT 90- Double Charging Station (near Morton)
- LOT 111-Double Charging Station (near Stocker)
- LOT 122-Double wall mount station in lower level and a future double station at surface level (near Baker) 
- LOT 132-Double Charging Station (near Peden)
- LOT 147-Double Charging Station (near Human Resources)
To utilize these stations, drivers must first register their vehicles with Parking Services when they purchase a University permit and then simply create an account with ParkMobile.  The user will pay for parking at the charging station through Park Mobile's easy to use payment app.  ",True,Ohio University offers a Flexplace work option (policy 40.063).  Flexplace work options include working from home or an alternate location for one or more days per week. ,True,"Ohio University offers a Flexible Work Schedules option (policy 40.063).  Flexible Work Schedules may include such options as a compressed work week (for example, four 10-hour days, four 9-hour days and one 4-hour day, etc.), or may include alternative start and end times to the work day. Flexible Work Schedules will not reduce the number of hours required to be worked by an employee. For example, a full-time employee will be required to work 40 hours in a work week",--,,--,,--,--
Onondaga Community College,2016-02-26,2016-02-26 16:34:06,vormwals@sunyocc.edu,2.0,Pursuing,True,"Onondaga has bike racks, shower facilities, and lockers available for students and employees.",--,Onondaga has bike racks in centralized locations on campus and at the residence halls.,True,Onondaga has bike lanes and sidewalks throughout campus in order to promote bicycle riding and walking. ,--,,--,,True,The College currently offers a 20% subsidy to students for bus passes and Onondaga’s Fair Deal program allows employees to purchase bus tickets pre-tax in order to promote public transportation ridership. ,--,,--,,--,,True,Onondaga has two level 2 electric vehicle charging stations.,--,,--,,--,,--,,--,--
Oregon State University,2016-03-30,2016-03-30 14:51:08,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,League of American Bicyclists has recognized OSU as a Gold level Bicycle Friendly University
Pennsylvania State University,2016-03-21,2016-03-21 11:48:54,mme2@psu.edu,2.0,Pursuing,True,"There are many bike storage facilities on the Penn State Campus. Additionally, many buildings are equipped with showers and lockers for those who commute on bicycle. The University collaborated with the Borough of State College to develop a Bicycle Master Plan that will promote bicycle commuting and expand on-campus mobility for students and staff. The University also has 4 bicycle repair stations through campus to help cyclists make basic repairs and to encourage cycling to and from campus. 
",True,"There are over 600 bike racks on campus. Every occupied building on core campus has a bike rack. There is also covered bike parking throughout campus in convenient locations.
 ",True,"There is a continuous network of shared roadway, shared pathway and dedicated bicycle paths on Campus. There are pedestrian sidewalks connecting all major buildings. Penn State bicycle paths connect to community bicycle paths. Transportation Services provides maps of Penn State and local bike paths on its website. Penn State has developed a Bicycle Master Plan as part of campus master planning. Penn State partners with the Centre Region Bicycle Coalition. CATA buses accommodate bicycles for students, faculty or staff who commute by public transportation but desire to get around campus and the local area via bike. 
http://www.opp.psu.edu/about-opp/divisions/cpd/images/Bicycle%20Master%20Plan.pdf
http://www.centrebike.org/who-we-are.html
http://www.transportation.psu.edu/transportation/alt-transportation/bicycles/
http://www.crcog.net/vertical/sites/%7B6AD7E2DC-ECE4-41CD-B8E1-BAC6A6336348%7D/uploads/Centre_Region_Bike_Plan_Adopted_12-15-15_with_Appendices_for_Web.pdf",--,"Penn State is pursuing a university supported bike share system. RFP's are currently being reviewed and a Fall 2016 launch is anticipated. 

http://onwardstate.com/2015/11/06/bike-share-program-under-consideration-by-transportation-services/

Bike Share was a student-run, not-for-profit campus organization.  Its goal was to bring a public bike sharing program to Penn State University Park that will offer an efficient, environmentally-friendly, and health-promoting form of transportation to the students, faculty, and staff. Currently, the club is inactive. 

http://www.clubs.psu.edu/up/psubikeshare/",True,"The League of American Bicyclists recognized Penn State University Park as a bronze level Bicycle Friendly University in 2012. Penn State is currently working on the renewal. .The Bicycle Friendly University status is a result of Penn State’s Bicycle Master Plan, which includes widening streets, expanding bike access on campus and offering bicycle registration online. Adding climbing lanes and building covered bike parking are also a part of the plan.
http://www.transportation.psu.edu/transportation/news-story-detail.cfm?customel_dataPageID_1948=51628",True,"Penn State offers reduced price transit passes with the Centre Area Transportation Authority (CATA). CATA provides 23 routes on The Centre Line to those in the community or living off campus. Additionally, CATA provides 4 fare-free buses around campus (Blue Loop, White Loop, Red Link, Green Link) and many Centre Line routes have no fare if ridden within campus. All lines run weekdays through the academic year. Most routes run on weekends and during the summer.
http://www.transportation.psu.edu/transportation/campus-transit/index.cfm
http://www.transportation.psu.edu/transportation/parking/faculty-staff/ride-for-five.cfm
http://www.catabus.com/

Penn State also offers a free campus shuttle for faculty/staff, students, and visitors. The shuttle runs weekdays and provides service every 15 minutes from 7:00 AM until 6:00 PM. http://www.transportation.psu.edu/shuttle/",True,"Participants in the Carpool and Vanpool program through CATA are offered the Ride Home Program. It is set up for carpool and vanpool participants who face unexpected emergencies such as illness, injury, disasters, company shutdowns or mandatory overtime.
The program covers the first 50 miles, one-way via a taxi service. The $15 annual fee is paid for by Penn State for employees that participate in a CATA registered vanpool or carpool. ",True,"Penn State partners with the Centre Area Transportation Authority (CATA) to provide transportation options to campus and the surrounding area through CATACOMMUTE. Rideshare is a free ride-matching program that helps commuters find easy and economical ways to get to and from work. When one registers with RideShare, they get a list of convenient transportation options available and a RideMatch list with the names and telephone numbers of other members who live in or commute through their area. 
The Vanpool program assists groups of 7-12 riders share their commute in a 12-passenger van that is provided by CATA. 
Park & Ride provides inexpensive commuter lot parking for those working Downtown State College. Eligible employees who work downtown can park in the commuter lot on campus and take the fare-free bus to their destination. 
Students can also participate in the ride share. AlterNetRides.com has partnered with Penn State’s Transportation Services to offer students an alternative to driving. They can find other students traveling to and from Penn State to give rides to or get rides from on weekends and/or holidays. 
http://www.transportation.psu.edu/transportation/parking/students/student-rideshare.cfm  
",True,"ZipCar operates a location in State College Boro. 
http://www.transportation.psu.edu/transportation/news-story-detail.cfm?customel_dataPageID_1948=70318
http://www.zipcar.com/statecollege",--,,True,"The University’s establishment of a telecommuting program assists in meeting the needs of a workforce that has diverse work and personal demands. Telecommuting can provide flexible work schedules to accommodate temporary situations such as a leave due to a contagious illness or a temporary disability (such as a cold or a broken leg), an unexpected school closing, etc. In addition, telecommuting can provide flexibility on a long-term basis. 

A telecommuting program also allows the University to address emerging environmental compliance issues, such as the Clean Air Act and to comply with legislation such as the Americans with Disabilities Act. In addition, telecommuting provides alternate methods of addressing budget issues. Finally, a telecommuting program can strengthen management and employee relations.

Penn State has a Telecommuting Consulting Team (Office of Human Resources, Academic Services and Emerging Technologies, Telecommunications and Networking Services, and Environmental Health and Safety) for questions in developing telecommuting opportunities. Telecommuting is administered on a case-by-case basis by the unit with coordination through Human Resources.  See Policy: http://guru.psu.edu/policies/OHR/hrg02.html",--,"Penn State allows its employees to practice ""flexible scheduling"". The term ""flexible scheduling"" encompasses many variations from the standard work schedule. The more complicated the arrangements, the more record keeping and supervision of the program is required. In its simplest form, a flexible schedule involves allowing an employee to vary the span of the workday.

Flexible scheduling can be as simple as changing the work hours from an 8:00 a.m. - 5:00 p.m. workday to a 7:30 a.m. - 4:30 p.m. workday, changing the lunch break from one hour to one-half hour, or working an extra hour on Monday in order to leave an hour earlier on Tuesday.
Flexible scheduling can be more complicated, allowing an employee to establish her/his own start/end times and/or lunch break, within predetermined guidelines.
Even if a supervisor has not instituted a formal flexible scheduling program, employee requests for temporary changes in the workday such as to take a class, or to go to a doctor's appointment without charging sick leave, may be granted by the supervisor, provided such requests are in accordance with the provisions of this guideline. 

Although it is permissible, with the supervisor's approval, for a nonexempt staff employee to alter when the 40 hours are worked during the workweek, such employee cannot ""bank"" overtime hours worked in one workweek for use as time off in a future workweek. Further, the employee must understand that altered schedules cannot cause overtime to occur. While it is possible for an employee to agree to waive University overtime policies on work schedules to accommodate personal schedule preferences, Federal and State Wage and Hour laws cannot be waived.",--,N/A ,--,"In September 2015, Penn State hired it's first Alternative Transportation Program Coordinator. This will allow the university to expand its focus on alternative transportation education and engagement programs in addition to continued infrastructure expansions.  ",http://sustainability.psu.edu/live/what-penn-state-doing/infrastructure/transportation,--
Pittsburg State University,2016-03-24,2016-03-24 14:48:29,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,http://http://www.pittstate.edu/office/physical-plant/carpool.dot
Pitzer College,2016-02-22,2016-02-22 14:38:57,warren_biggins@pitzer.edu,2.0,Pursuing,True,"The Gold Student Center has multiple bike racks, lockers, and shower facilities for bicycle commuters.",True,"Bike racks are strategically located outside of all residence halls, classrooms, and administrative offices.  ",--,,True,"Green Bike Program: a Pitzer College student-run organization which promotes cycling, bike safety and sustainability at The Claremont Colleges and the surrounding community. This is done through the reuse of old bikes and parts along with the organization of cycling events. The Green Bike Program gives community members free access to bicycles, tools, repair lessons.",--,,True,"Regular faculty and staff, and adjunct/visiting faculty can submit forms to receive $1.75 per workday (up to 5 per week) in which they commuted to campus in any method other than driving alone. Reimbursement for up to $50 for monthly bus or commuter train passes. Dedicated parking spots for carpool drivers.",--,,True,"Regular faculty and staff, and adjunct/visiting faculty can submit forms to receive $1.75 per workday (up to 5 per week) in which they commuted to campus in any method other than driving alone. Reimbursement for up to $50 for monthly bus or commuter train passes. Dedicated parking spots for carpool drivers.",True,Pitzer College has four on-site parking spots dedicated for Zip Cars.,True,"Pitzer has three electric vehicle recharging stations that are available to all students, faculty, staff, and visitors at no charge.  ",--,,--,,True,"Faculty Housing Loan Policy: home mortgage loans offered at 2% below the current market rate in Claremont for homes purchased within a 10-mile radius of the campus for faculty members appointed to full-time tenure-track positions. Loan maximum is $25,000; second trust deed loans (including present principal balances of existing first trust deed) will not exceed 95% of the value of the property.",--,,--,--
Plymouth State University,2016-02-29,2016-02-29 11:42:41,bweisenhauer@plymouth.edu,2.0,Pursuing,True,"These facilities are present in several buildings, including Langdon Woods residence hall, the Hanaway Ice Arena, Russell House, and others.",True,as described at all buildings,--,,True,A student created program has a few publicly available bicycles on campus.,--,,True,"A free campus shuttle is provided for campus and some additional travel for students (store, etc).",--,,True,A carpool and ride sharing information program is available to students to assist in planning trips home and outings.,--,,--,,True,"Policy available at:
https://www.plymouth.edu/office/human-resources/files/2014/06/Final-SupervisorFWOToolKit.pdf
",True,"Policy available at:
https://www.plymouth.edu/office/human-resources/files/2014/06/Final-SupervisorFWOToolKit.pdf
",--,,--,,https://www.plymouth.edu/office/human-resources/files/2014/06/Final-SupervisorFWOToolKit.pdf,"Great questions in this section, wish we could do more!"
Pomona College,2016-01-11,2016-01-11 17:28:41,alexis.reyes@pomona.edu,2.0,Pursuing,True,"The Rains Center provides showers and lockers for any faculty, staff, and students who require them. Indoor bicycle storage is available in the Lincoln-Edmunds building, Sontag Parking Structure and South Campus Parking Structure, and close to 2,000 bicycle parking spaces are offered throughout the campus. Additional showers are available in the Seaver North Building and the Lincoln-Edmunds academic buildings. Other bicycle storage is available throughout campus, including indoor summer storage. ",True,"Pomona College has more than 2,000 bike racks located conveniently around campus and there are bike racks located within the Village of the City of Claremont as well,particularly at the Post Office and Library that are in the City's designated Bicycle Priority Zone.  These locations are all within 50 ft of non-residential campus buildings.  The campus Bike Rack map is online at http://www.pomona.edu/administration/facilities-campus-services/files/bike_racks.pdf .",True,"The City of Claremont has designated a Bike Priority Zone (BPZ) within the Village, the Claremont Colleges and the residential neighborhoods south of Foothill Boulevard and north of First Street. The BPZ emphasizes safe bicycle routes and parking facilities, as well as improved bicycle access. These conditions in combination with the proximity to transit-oriented developments and mass transit opportunities, make bicycling a convenient commuting option.  Additionally, the Pomona College Master Plan states that bicycles and vehicles share Bonita and Columbia Avenues. Bicycles and pedestrians share major on-campus pathways. The width and regularity of these pathways, traffic flow, bicycle den- sity and programs for bicycle safety mitigate the need for separated bike lanes on campus pathways. The Bicycle Circulation Map is on p.34 of the Master Plan.",True,"The Green Bikes Program provides free semester-long rentals of their 150 bicycle fleet, as well as free labor on bike repairs for fleet or private bikes. The Green Bike fleet is comprised of recovered bicycles abandoned on campus that have been repaired and made operational and are distributed to students in a lottery at the beginning of each semester.  The Green Bikes Shop holds open hours six out of seven days each week of the semester.   A small fleet of six folding bikes is also available for daily checkout at the campus center or through the Outdoor Education Center.",True,"Pomona College received a Bronze level certification as a Bicycle Friendly University on October 15, 2014, good for four years.",True,"Faculty and staff can receive a subsidy of up to $100/ month for commuting with public transportation such as the Metrolink commuter train or the bus system.  The Rideshare program administered by Human Resources also awards employees with $2 each day reported commuting with alternative means other than single-occupancy vehicular traffic.  In 20112-2013, 37% of faculty/staff participated in the Rideshare Program and 3% applied for the public transportation subsidy.",--,,True,"The College subscribes to an online ride matching service provided by Ridelinks, which suggests carpools based on location. The College pays employees $2 per day through the Rideshare Program for carpooling, walking, biking, or using public transportation and enters participating employees into a monthly raffle for prizes.",True,"Pomona College has contracted with Zipcar to provide car-sharing services on campus at a discounted rate to students, staff, and faculty. A total of 14 vehicles are available, including hybrids.  ",True,The South Campus Parking Structure houses six EV stations with reserved spots.  These stations are on the Charge Point network and are available for public use and for employees and students.,True,"Various employees on campus have reported in their commuter survey that they drive in to work, for example two days of the week, and telecommute the remaining three.  Telecommuting currently represents 1% of employee work days.",--,The College does not have a condensed work week option at this time.,True,"The College has a faculty rental and home loan program. The College owns 35 faculty rental units within one mile of campus, and the home loan program provides reduce rate mortgages for tenured and tenure-track faculty on properties within five miles of campus.",--,,http://www.pomona.edu/administration/academic-dean/guidelines-policies/department-chair-handbook.pdf,--
