Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Total percentage of the institution’s employees that use more sustainable commuting options,The percentage of the institution's employees that use each of the following modes as their primary ...,The percentage of institution’s employees who commute with only the driver in the vehicle ...,"The percentage of institution’s employees who walk, bicycle, or use other non-motorized means as ...",The percentage of institution’s employees who vanpool or carpool as their primary method of ...,The percentage of institution’s employees who take a campus shuttle or public transportation as ...,"The percentage of institution's employees who use a motorcycle, scooter, or moped as their primary ...",The percentage of institution's employees that telecommute for 50 percent or more of their regular ...,A brief description of the method(s) used to gather data about employee commuting,The website URL where information about sustainable transportation for employees is available,Public Notes
Indiana State University,2016-03-29,2016-03-29 10:18:09,caroline.savage@indstate.edu,2.0,Pursuing,14.0,**,86.0,7.0,1.0,3.0,3.0,--,"ISU maintains records on the use of the city bus system which is free for ISU faculty, staff, and students with their ID. We have been studying our bicycle commuters and our Grounds Manager has been increasing the number of bicycle racks on campus every semester. We work with Enterprise for a carshare program and have made efforts through them for a vanpool/carpool program which is not yet active. Our campus parking permit system also tracks the number of cars and motorcycles. ",http://www2.indstate.edu/parking/services.htm,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:43:32,brownwm@indiana.edu,2.0,Pursuing,27.0,**,73.0,11.0,10.0,4.0,--,1.0,"An extensive employee and student transportation survey was conducted in the spring of 2012 and again in 2015, in collaboration with Indiana University Bloomington Center for Survey Research. The survey focused on three areas for gathering commuting information; how employees and students who live off-campus currently commute to campus; how aware are employees and off-campus students of currently offered Transportation Demand Management (TDM) programs; and what TDM programs and campus transportation infrastructure improvements would encourage more use of alternative modes for commuting to IUB. In 2012, all employees and off-campus students were surveyed. The high response rate (55 percent for faculty and staff and 33 percent for students) from both groups, indicates a high level of interest in the survey topic and questions. In 2015, half of all students and employees were surveyed, with a similarly high response rate.",http://parking.indiana.edu/parking_operations/alt_transportation.aspx,--
Juniata College,2016-03-23,2016-03-23 08:09:17,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:17:03,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:30:45,sustainability@knox.edu,2.0,Pursuing,12.4,**,87.6,8.8,3.6,--,--,--,A campus-wide survey was issued by the Sustainability coordinator in 2013.,http://www.knox.edu/about-knox/our-values/sustainability/resources-for-the-knox-community,--
Lehigh University,2016-02-29,2016-02-29 00:26:16,sustainability@lehigh.edu,2.0,Pursuing,9.9,**,90.1,4.8,3.4,0.5,1.2,--,A sustainability survey was distributed by the Office of Sustainability in fall 2013 in which faculty and staff were asked to respond to the following question: What is your primary mode of transportation to campus? The answers from which they could choose were the OP-19 answers listed above.  This survey was approved by the IRB and can prove statistically valid. ,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:10,advorak@lclark.edu,2.0,Pursuing,20.0,**,80.0,10.0,3.0,5.0,1.0,1.0,This information was gathered for an Employee Commute Survey required by local municipal agency and with survey responses from at least 85% of total campus employees.,--,--
Loyola Marymount University,2016-03-23,2016-03-23 14:02:50,ian.mckeown@lmu.edu,2.0,Pursuing,36.0,**,--,--,--,--,--,--,"LMU uses a representative sample to gather data about employee commuting behavior. Specifically we report to the South Coast Air Quality Management District in California.
LMU is a member of the SCAQMD or South Coast Air Quality Management District.",http://www.lmu.edu/sites/Community_home/green/The_Campus/transport.htm,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:34,adurnbaugh@luc.edu,2.0,Pursuing,76.5,**,23.5,19.4,3.7,52.8,0.6,--,"The Metropolitan Planning Council conducted this survey as part of the Commuter Options Program.  This is from the 2013 Survey.
",http://luc.edu/campustransportation/generalinformation/alternativetransportation/,--
Macalester College,2016-01-06,2016-01-06 13:02:57,shansen2@macalester.edu,2.0,Pursuing,35.0,**,64.86,21.38,5.8,2.0,--,--,Macalester conducts surveys among among faculty and staff. ,http://www.macalester.edu/sustainability/initiatives/projectstransportation.html,--
Maryville College,2016-02-11,2016-02-11 15:37:42,adrienne.schwarte@maryvillecollege.edu,2.0,Pursuing,18.76,**,81.25,15.63,3.13,--,--,--,The method used to gather this data was a survey available to faculty and staff through the Maryville College newsletter for a period of four days. ,--,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:11,slanou@mit.edu,2.0,Pursuing,71.0,**,28.0,17.9,6.6,41.9,--,--,"Every two years, MIT administers a Transportation Survey via email to understand how the MIT community commutes to campus. The State of Massachusetts and the City of Cambridge require that MIT collect data related to how students and staff get to MIT every day. In addition, this survey gives MIT the opportunity to find out if transportation-related services (subsidized T-passes, bicycle racks, parking access, etc.) are meeting community needs.",http://web.mit.edu/facilities/transportation/,"MIT's Transportation Survey currently does not track the number of people who commute by motorcycle, scooter, or moped and as a result, this number is reported as 0%, though is likely higher than this value.

http://web.mit.edu/ir/surveys/pdf/transportation2014-draft.pdf"
McMaster University,2016-02-19,2016-02-19 09:37:33,naeemsh@mcmaster.ca,2.0,Pursuing,37.0,**,63.0,21.0,--,16.0,--,--,"A survey was sent out to the staff and students of McMaster University. The respondents were asked demographic information, such as age, postal code, gender, whether they were full-time or part-time staff, faculty, or students, their level of study (if students), the department they work in or faculty they are part of, to name a few. The respondents were then asked to respond to questions pertaining to their specific mode choice for commuting, i.e. the in vehicle travel times, the wait times, etc. The respondents were then asked to rate 37 different attitudes on a five-point scale (strongly agree/enjoy to strongly disagree/dislike). ",http://www.mcmaster.ca/sustainability/documents/Summary%20of%20the%20McMaster%202010%20Transportation%20Survey.pdf,--
Miami University,2016-03-02,2016-03-02 14:17:55,kliney@miamioh.edu,2.0,Pursuing,17.3,**,82.7,9.0,5.6,2.3,0.2,--,"Data was obtained through a campus-wide transportation survey administered in Fall 2015.  The shown results consist of 796 complete responses from faculty and staff.  They were asked to report how they got around in each semester the previous year.  While this level of detail supported detailed carbon footprint calculations, mode share was determined using only the reported mode shares for Fall semester.  This is consistent with past practice.",http://www.units.miamioh.edu/prk/,--
Michigan State University,2016-02-16,2016-02-16 09:19:25,erhardt7@msu.edu,2.0,Pursuing,18.6,**,81.4,4.7,11.9,1.8,0.2,--,An online survey was disseminated in 2009 to all employees,http://www.bespartangreen.msu.edu/transportation,--
Middlebury College,2016-03-25,2016-03-25 14:03:10,jmbyrne@middlebury.edu,2.0,Pursuing,46.0,**,54.0,--,--,--,--,--,,http://www.middlebury.edu/sustainability/transportation,"These numbers are based on the results of a 2011 survey with a response total of 249 out of about 1,000 employees. We are currently working with the Regional Transit Agency to better quantify and understand employee commuting habits, perceptions, and barriers."
Mills College,2016-02-29,2016-02-29 23:53:52,ngaetjens@mills.edu,2.0,Pursuing,9.0,**,91.0,5.1,2.6,1.3,--,--,"The numbers reported here are the most recent currently available, from the Fall of 2014. Employees requesting a parking permit in the fall are required to complete a transportation survey that includes questions regarding primary modes of transportation. 307 employees responded to the survey, out of 477 employees total. This sample was used to estimate the percentage of all students using various modes of transportation. The estimates for percentage of students using vanpool or carpool, or taking a campus shuttle or public transportation, are conservative since the survey sample only included students who were requesting parking on campus.

18 employees lived on-campus during the 14-15 school year. Employees living on-campus were assumed to use non-motorized means to travel, as the distance between employee residences and offices is insignificant at Mills.",http://www.mills.edu/campus_life/commuting/,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:11,neapple@mtholyoke.edu,2.0,Pursuing,19.0,**,81.0,11.0,5.0,3.0,--,--,,--,--
Muhlenberg College,2016-03-23,2016-03-23 10:27:30,kprocyk@muhlenberg.edu,2.0,Pursuing,--,**,--,--,--,--,--,--,,--,"Muhlenberg College has not calculated the employees (faculty, staff, and administrators) that get to and from campus by a means other than single occupancy vehicle for the majority of their daily trips.

According to Jim Bolton, at least 326 employees live in the Allentown area.  However, their method of transportation to campus has not been ascertained.

Steve Goosley also contributed to this credit."
Naropa University,2016-02-29,2016-02-29 17:16:49,acook@naropa.edu,2.0,Pursuing,34.0,**,66.0,11.0,2.0,20.0,1.0,--,Commuter survey,http://www.naropa.edu/the-naropa-experience/sustainability/transportation.php,Only have estimates for % of different sustainable modes. Survey combined all forms of sustainable modes into one to get percentage.
North Carolina State University,2016-01-28,2016-01-28 13:27:47,lindsay_batchelor@ncsu.edu,2.0,Pursuing,18.0,**,82.0,4.0,7.0,5.0,--,2.0,"The NC State University Employee Commute Survey presents the results of a May 2013 survey of 1,267 commuters who travel to any of three campuses of NC State in the Raleigh-Durham area of North Carolina. NC State is one of several “local service providers” that offer commute assistance services funded by the Triangle J Council of Governments (TJCOG). This survey was conducted to define the commute travel patterns of NC State employees. Additionally, the survey results will be used to develop travel assistance services that could make it easier to travel to NC State and around the Triangle region. To this end, the survey collected data on employees’ awareness and use of travel assistance services offered by regional commute assistance organizations and by NC State and their interest in other services that could be offered.",http://www.ncsu.edu/wolftrails,--
Northern Arizona University,2016-02-23,2016-02-23 18:52:09,Ellen.Vaughan@nau.edu,2.0,Pursuing,52.0,**,48.0,--,--,16.0,--,--,Transportation surveys,http://nau.edu/Green-NAU/Public-Transit/,--
Oberlin College,2016-03-21,2016-03-21 16:09:50,bflynn@oberlin.edu,2.0,Pursuing,37.0,**,63.0,34.0,2.0,--,0.5,0.5,,--,The community-based social marketing (CBSM) project in conjunction with the Committee on Environmental Sustainability is researching sustainable employee commuting options.
Ohio University,2016-03-23,2016-03-23 07:58:14,goetze@ohio.edu,2.0,Pursuing,5.6,**,94.4,4.1,0.5,0.5,0.5,--,"In order to park at Ohio University, employees must have a parking permit.  They are issued a parking permit upon employment and charged monthly for it.  There is a mechanism to refuse a permit, in which case the employee does not pay for the permit.  The total percentage of employees using a most sustainable commuting option was determined by dividing the total number of parking permits issued by the total number of employees.  It is likely an underestimate as some employees pay for a parking permit just in case it is needed, even if they routinely use alternative transportation.",http://www.ohio.edu/sustainability/programs/transportation.cfm,SOV commuter numbers are estimates based on parking permit data.  Other numbers are very rough estimates.  All data is from FY14.
Onondaga Community College,2016-02-26,2016-02-26 16:34:02,vormwals@sunyocc.edu,2.0,Pursuing,8.0,**,92.0,--,5.0,3.0,--,--,,--,--
Oregon State University,2016-03-30,2016-03-30 14:50:46,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,"Even though OSU has a telecommuting policy and many employees telecommute at least part of the time, OSU currently does not have good data tracking for these instances."
Pennsylvania State University,2016-03-21,2016-03-21 11:48:50,mme2@psu.edu,2.0,Pursuing,38.0,**,62.0,29.0,3.0,6.0,--,--,"16,703 faculty/staff 
10301 faculty/staff permits issued (62%)
991 Ride for 5 - CATA Bus Program (6%)
436 Vanpool/Carpool (3%)

There are going to be overlaps in data. For example, members of a carpool may all keep individual parking passes and get counted in the drive-alone category. 

The remaining faculty/staff, 4,975 (29%), are assigned to the bike/walk category because they do not have parking permits, do not participate in a carpool/vanpool nor use public transportation on a regular basis (Ride for 5) 

Penn State conducted a Travel Study in 2011. Results showed a higher use of carpool\vanpool (10%) and CATA Bus (15% faculty, 7% staff) than the above methodology shows. 12% of faculty indicated they biked to work. 
",http://sustainability.psu.edu/live/what-penn-state-doing/infrastructure/transportation#overview,--
Pittsburg State University,2016-03-24,2016-03-24 14:48:07,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--
Pitzer College,2016-02-22,2016-02-22 14:38:53,warren_biggins@pitzer.edu,2.0,Pursuing,6.4,**,--,--,--,--,--,--,,--,--
Plymouth State University,2016-02-29,2016-02-29 11:42:37,bweisenhauer@plymouth.edu,2.0,Pursuing,10.0,**,80.0,15.0,4.0,0.5,0.5,--,staff and faculty survey about commuting,--,--
Pomona College,2016-01-11,2016-01-11 17:28:36,alexis.reyes@pomona.edu,2.0,Pursuing,38.9,**,60.0,19.0,14.3,3.6,0.85,0.89,"Pomona College works with Ridelinks to perform an annual rideshare survey that is used to calculate average employee commute information for the year. Respondents supply their commuting data for the week of the survey, which is then used as a proxy for annual commuting totals. The calculated margin of error is 1.98%.",http://www.pomona.edu/administration/sustainability/action-plan/initiatives/transportation/,"Rather than counting an employee who walks once during the week as an employee who uses alternative transportation, we used percentage of trips to work to calculate employee transport means."
Portland State University,2016-03-24,2016-03-24 17:20:39,jenny.mcnamara@pdx.edu,2.0,Pursuing,71.88,**,28.12,17.94,5.23,44.67,0.45,--,The Campus Planning Office distributes an annual survey regarding commuting choices and preferences.,http://www.pdx.edu/transportation/,"“Dropped Off” (2.97%) and “Other” (0.62%) included in sustainable options, but not included in Carpool/Vanpool.

Percentages represent number of trips taken in each mode by employees, not % employees taking each mode. PSU believes that surveying about # trips per mode during a week is more accurate, as it reflects the possibility of using multiple modes.
"
Princeton University,2016-01-20,2016-01-20 17:01:03,kristiw@princeton.edu,2.0,Pursuing,11.0,**,89.0,3.0,3.0,4.0,--,--,"The Transportation office collected the data by analyzing the numbers of parking permits issued, bus ridership numbers, and involvement with the Transportation Demand Management program.  

The Transportation office does not track the number of employees who commute to work using a motorcycle, scooter or moped. ",http://www.princeton.edu/parking,Additional information: www.princeton.edu/transportation
Principia College,2016-01-30,2016-01-30 21:54:34,karen.eckert@principia.edu,2.0,Pursuing,50.0,**,66.0,15.0,14.0,--,3.0,2.0,"All employees were sent a link to a two-question online survey; the survey remained open for one week. 119 people (49%) completed the survey. The questions were: 1. ""Do you commute to the College using any combination of the following transportation modes? Walking or bicycling; van-pooling or car-pooling; riding a motorcycle or scooter; riding a campus shuttle; telecommuting 50% ore more of your regular work hours."" and 2. ""Which is your PRIMARY mode of transportation to and from campus?"" with the reporting fields indicated as above.  We are a rural campus; the closest access to public transportation would be the Amtrak station 30 miles away.",--,--
Purdue University,2016-02-26,2016-02-26 16:45:16,mgulich@purdue.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--
Randolph College,2016-02-26,2016-02-26 14:25:28,llemaitre@randolphcollege.edu,2.0,Pursuing,20.0,**,80.0,5.0,5.0,9.0,1.0,--,,--,--
Rice University,2016-03-25,2016-03-25 16:32:35,rrj@rice.edu,2.0,Pursuing,26.0,**,74.0,6.0,13.0,6.0,1.0,--,A survey was distributed to faculty and staff by students in the CHBE 281 class. They collected and recorded the data.,--,--
Rochester Institute of Technology,2016-03-25,2016-03-25 15:53:37,elcpro@rit.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,The percentages were calculated based on transportation surveys of commuter behavior.
Saint Louis University,2016-03-24,2016-03-24 17:17:32,bverhof1@slu.edu,2.0,Pursuing,20.8,**,79.2,4.8,8.3,7.2,0.5,2.7,"An Alternative Transportation Committee was created out of the Sustainability Advisory Council and assisted with the development of questions for a transportation survey. The survey was created by the Department of Sustainability and Benchmarking (S&B) and released for a two week period beginning mid-November 2014. The survey was divided by on and off campus residents to gauge commuting modes and then further divided by student, faculty, or staff. The survey was advertised through social media, campus NewsLink articles and website posting, email, and signage around campus. Data was analyzed by the Department of S&B.",http://www.slu.edu/facilities-services-home/departments/transportation-services/transportation-options,2.7% of employees telecommute for 50% or more of their regular work hours based results: 20 of 744 who responded to telecommute question (Q31) on transportation survey
San Francisco State University,2016-03-25,2016-03-25 17:34:19,kordesch@sfsu.edu,2.0,Pursuing,55.7,**,41.4,15.8,6.1,33.6,0.2,--,San Francisco State University conducted its regular transportation survey in April of 2014. The survey included an online survey and an in-person cordon count. Survey data was weighted and extrapolated to determine the percentage of mode split for the entire university. ,http://parking.sfsu.edu/sites/sites7.sfsu.edu.parking/files/forms/SF%20State%20Transportation%20Survey%202014%20FINAL.pdf,--
Santa Clara University,2016-02-26,2016-02-26 20:44:50,lkalkbrenner@scu.edu,2.0,Pursuing,34.34,**,65.66,13.13,7.47,13.33,0.4,--,A survey was e-mailed to employees on behalf of the Center for Sustainability. The survey was open for one week.,https://www.scu.edu/sustainability/operations/transportation/,--
Seattle University,2016-03-23,2016-03-23 11:53:35,thompson@seattleu.edu,2.0,Pursuing,61.0,**,39.0,15.0,11.0,34.0,1.0,--,"The 2007 Transportation Management plan survey results for employees and students have been used for every year. The survey collected the following data for staff/faculty/students: % Drive alone, % Carpool, % Transit, trips/Day, 1-way miles per trip.",http://www.seattleu.edu/transportation/,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:41,mpate@sewanee.edu,2.0,Pursuing,3.0,**,97.0,3.0,--,--,--,--,,--,615.41 full time (and part-time equivalent) fac/staff
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:21,andre.plante@sheridancollege.ca,2.0,Pursuing,21.8,**,78.2,3.5,7.0,9.9,1.3,--,Smart Commute conducted the employee commute survey at Sheridan College in the fall of 2014. All campuses were surveyed and the percentages represent a weighted average based on the number of employees at each campus.,--,--
Simon Fraser University,2016-02-08,2016-02-08 23:41:50,erica_lay@sfu.ca,2.0,Pursuing,73.2,**,26.8,--,--,--,--,--,"An extensive survey, with close to 8000 respondents, on commuter behaviour was conducting in Spring of 2014.   The values here represent preliminary results gathered through this survey.  When comparing the survey respondents to actual SFU population make-up, the survey sample satisfactorily represents the surveyed population.  
Values were calculated based on the commuting behaviour of all three SFU campuses (Burnaby, Vancouver, and Surrey).
",--,--
Slippery Rock University,2016-02-29,2016-02-29 14:19:00,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:30:14,dweisbor@smith.edu,2.0,Pursuing,21.8,**,73.0,16.69,3.53,1.58,--,--,"A statistically significant number of employees were polled in a survey in 2016 about their commuting habits and the distance they live from campus.  This allowed us to establish on average how far staff and faculty are commuting each day, how many trips they make per week, and their method of commuting.  

",--,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:21:29,huminskis1@southernct.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,"SCSU is not tracking commuter behavior at this time. We have actively engaged the community and offer multiple alternatives to single occupant vehicle commuting, but we do not yet track usership."
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:22:44,glkurtzhals@siu.edu,2.0,Pursuing,33.0,**,77.0,8.95,9.4,0.55,0.75,--,Faculty commuting in vehicles are calculated by parking decals issued for faculty. ,--,"Vanpool/carpool and public transportation percentages are rough estimates, we have not identified ways to measure it accurately."
Southern Oregon University,2016-03-23,2016-03-23 15:39:32,beigelcod@sou.edu,2.0,Pursuing,31.0,**,69.0,19.25,7.9,3.8,0.05,--,"The above data was compiled through a Commuting Survey, which was distributed to all employees through the campus email system.",http://www.sou.edu/crc/driveless/index.html,"The above data was compiled through a Commuting Survey, which was distributed to all employees. Unfortunately, because the survey was titled ""Commuting Survey"", the responses overwhelmingly came from individuals who drive to campus. SOU feels that this condition skewed the data toward persons who drive alone as their primary method of transportation."
Spelman College,2016-02-15,2016-02-15 08:21:36,aefrazier@spelman.edu,2.0,Pursuing,23.0,**,77.0,2.0,10.0,15.0,--,--,The Sustainable Spelman Interns conduct commuting surveys,http://www.spelman.edu/student-life/commuter-students,--
St. John's University,2016-03-02,2016-03-02 16:31:47,goldsmit@stjohns.edu,2.0,Pursuing,41.0,**,50.0,4.0,7.0,39.0,--,--,An optional survey was sent out to faculty and staff to record transportation behaviors.,http://www.stjohns.edu/student-life/resource-center/shuttle-bus-services,"We’ve partnered with 511NY Rideshare to offer our faculty and employees alternative travel options. 511NY Rideshare is a state Department of Transportation-sponsored program that aims to reduce the number of single-occupancy vehicles on the roads.  

Through St. John’s dedicated Rideshare web portal, you can register and then view other interested SJU Rideshare commuters. This exclusive SJU Rideshare portal also lets you view calendars and times in addition to contacting SJU commuters for carpooling. Registering for the program is easy with the SJU Rideshare web portal: just log-on, create a commuter profile and calendar, and find ride matches. 
511NY.org also offers real-time travel, traffic and transit information via the web, telephone, or mobile device.

Rideshare link: http://www.stjohns.edu/campuses/sustainability/time-line"
Stanford University,2016-03-23,2016-03-23 01:13:15,mbhafer@stanford.edu,2.0,Pursuing,44.15,**,53.87,11.9,8.84,22.92,0.49,--,Commute modal split information is sampled using Stanford’s annual transportation and commute survey administered each spring.,http://transportation.stanford.edu/,Figures include only commuters to the Stanford campus. Commuters to off-campus worksites are not included.
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:50:30,malichte@esf.edu,2.0,Pursuing,21.0,**,80.0,13.0,7.0,--,1.0,--,"Data was collected from a spring 2016 ESF Commuter Survey. The survey used to collect this data asked employees about commuting activity in warmer months versus colder months. Based on average yearly temperature, Syracuse has four cold months (Jan., Feb., March, and Dec.) and eight warm months (April, May, June, July, Aug., Sept., Oct., and Nov). The survey asked employees if they worked during the summer. 76% of employees said ""yes"" and 24% said ""no."" The numbers reported are the result of the weighted average accounting for warm months, cold months, and employees who work year-round (12 months) versus only during the academic year (nine months).",http://www.esf.edu/sustainability/commuter.htm,--
State University of New York at Cortland,2015-10-09,2015-10-09 13:16:02,Beth.Klein@cortland.edu,2.0,Pursuing,30.0,**,70.0,10.0,10.0,5.0,5.0,--,,http://www.sevenvalleyshealth.org/way2go/,--
State University of New York at Geneseo,2016-03-24,2016-03-24 11:00:17,dezarn@geneseo.edu,2.0,Pursuing,0.005,**,97.995,0.005,--,--,2.0,--,The parking department offered a survey to the campus community. ,--,--
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:22,mittenl@newpaltz.edu,2.0,Pursuing,15.0,**,85.0,10.0,4.0,1.0,--,--,"Campus Sustainability Coordinator Lisa Mitten developed a 3-question survey using surveymonkey and set it out to the informal faculty-staff listserve.  There were 299 respondents.  SUNY New Paltz employs 1,465 faculty and staff, so we achieved a 20% response rate through one email blast.",http://sites.newpaltz.edu/sustainability/transportation/options/,--
Sterling College,2016-01-28,2016-01-28 10:04:23,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,40.0,**,60.0,40.0,--,--,--,--,"A large percentage, approximately 10%, of all employees live on campus and have access to the same proximity that students do; therefore, many commute simply by walking. Approximately another 10-15% live along the boundaries of the college and also live close enough to walk, ski, or bike. Very few faculty live far enough away to make a substantial commute. ",--,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:22:00,gotham360@stevens.edu,2.0,Pursuing,55.0,**,44.0,15.0,7.0,33.0,--,--,A survey was sent out to all staff and faculty,http://www.stevens.edu/sit/international/arriving/transportation.cfm,--
Syracuse University,2016-03-25,2016-03-25 15:33:54,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,We are in the process of updating our travel survey and cannot answer this question at this time. 
Temple University,2016-02-09,2016-02-09 14:47:17,kathleen.grady@temple.edu,2.0,Pursuing,50.0,**,50.0,7.0,7.0,35.0,--,--,University-wide transportation survey,http://sustainability.temple.edu/sites/sustainability/files/uploads/documents/TU_TRANS_REPORT_2013_FINAL.pdf,--
Texas A&M University,2016-01-15,2016-01-15 14:24:57,kwellman@tamu.edu,2.0,Pursuing,16.22,**,87.17,5.34,6.93,3.12,0.83,--,"Survey monkey, survey sent out via campus email to all.  ",http://transport.tamu.edu/alternative.aspx,Will add question on tele commuting in next survey.  This number is not known at this time.
Texas Tech University,2016-03-25,2016-03-25 15:47:45,carey.hewett@ttu.edu,2.0,Pursuing,5.0,**,95.0,1.0,--,1.0,3.0,--,"Parking permits logged in Texas Tech University parking system, and bike rack utilization. ",http://www.parking.ttu.edu/students/alternatives-to-parking,--
The Ohio State University,2016-01-26,2016-01-26 15:46:57,dial.15@osu.edu,2.0,Pursuing,20.5,**,79.5,7.75,3.5,9.25,--,--,,--,--
Tufts University,2016-02-25,2016-02-25 15:40:32,tina.woolston@tufts.edu,2.0,Pursuing,48.4,**,51.6,7.9,3.6,24.7,0.15,1.14,"The Tufts Operations Division and Office of Sustainability administered an online commuting survey to staff and faculty on the university’s three campuses between April 22 and May 23, 2014.  The ""simple random sample survey method"" was used to obtain a representative cross-section of the employee population on each campus. A total of 1,974 non-students completed the survey, including staff, faculty, post-docs, and others who didn't fit nicely into a student, faculty or staff category. This represents 32% of employees, of which 1,878 completed the question related to commute method for the week of April 7-11, 2014.",http://sustainability.tufts.edu/programs/transportation/,"In the survey, employees were asked how they commuted from home to Tufts during the period of Monday, April 7 to Friday, April 11, 2014.  Those who traveled by multiple modes of transportation (e.g., walk to the subway station) were asked to choose the mode with the most miles traveled.

To obtain the numbers above, the totals for all 5 days of the week for each mode of transportation were averaged (e.g., 108 employees biked to campus on Monday, 102 on Tuesday, 108 on Wednesday, 106 on Thursday, and 94 on Friday - these numbers were averaged to give a total of 103.6 employees commuting by bike).  The total number of respondents (1,878) was used as the denominator to calculate the above percentages.

Note in particular that the percentage for telecommuting provided above was calculated in the same manner and reflects the average number of people who telecommuted to the university during that week.  It does not include people who telecommuted for part of a day.

Employees completing the survey could select one of the following commuting modes: Drive Alone, Carpool, Vanpool, Motorcycle/Scooter/Moped, MBTA Bus, Tufts Davis Square Shuttle, Subway (the T), Commuter Rail/Regional Train, Bicycle, Walk, Telecommute, Flextime/Day off, Other, and Not at Tufts. Flextime, Other, and Not at Tufts constituted the remaining 10.9% of respondents.

The weather during the week was as follows (from wunderground.com): 
Monday: mean temp 49 degrees F, precipitation 0.04"" 
Tuesday: mean temp 54 degrees F, precipitation 0.67""
Wednesday: mean temp 50 degrees F, precipitation 0.00""
Thursday: mean temp 47 degrees F, precipitation 0.00""
Friday: mean temp 59 degrees F, trace of precipitation"
Tulane University,2016-02-04,2016-02-04 11:04:01,ldavey@tulane.edu,2.0,Pursuing,30.8,**,69.2,15.4,8.5,6.2,0.7,--,"In Spring 2014 we sent a transportation survey to all students, faculty and staff by email. We received a total of over 2,800 replies and calculated the percentage of employees that use each of the modes based on their replies.",http://green.tulane.edu/transportation.html,--
Unity College,2016-03-25,2016-03-25 15:25:02,JdeHart@unity.edu,2.0,Pursuing,1.4,**,98.6,1.4,--,--,--,--,These data were collected for the previous STARS report in 2011.  The number of cycle commuters is assumed to have remained consistent based on lifestyle choices and continuity of staffing. ,--,Most employees live beyond five miles from campus and no public transportation is available.
University at Albany,2016-02-23,2016-02-23 17:54:16,mmallia@albany.edu,2.0,Pursuing,30.0,**,70.0,8.0,7.0,15.0,--,--,"Similar to the method to calculate the student modal split, the Office of Environmental Sustainability, the Office of Institutional Research, Planning and Effectiveness and Urban Planning Directors created the “UAlbany Student Transportation Survey: Fall 2013"" based off of a similar survey conducted in the 2006-2007 school year. Nelson/Nygaard Consulting Associates completed that study, which was conducted at the Harriman Campus. The 2013 survey was conducted in a similar manner, with additional questions added that were more up-to-date and tailored to the UAlbany population specifically. There were 222 faculty and 424 staff who completed the survey. ",http://www.albany.edu/gogreen/4.transportation.shtml,--
University at Buffalo,2016-01-19,2016-01-19 10:15:52,jlk47@buffalo.edu,2.0,Pursuing,12.0,**,88.0,--,7.0,5.0,--,--,A Survey was conducted by the Parking and Transportation office at UB to gather information from employees about their commuting habits.,https://www.buffalo.edu/sustainability/working-green/greening-our-operations.html,--
University of Arizona,2016-03-25,2016-03-25 15:31:58,bchampion@email.arizona.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,"These figures reflect data collected in Fall 2014 by the Pima Association of Governments throughout Tucson, with a subset of data provided to the UA based on those who reported being employees of UA. The Pima Assocation of Governments also provides comparison data to previous years of their surveys, noting a substantial shift over time toward more sustainable forms of commuting for UA employees.  These data are available upon request.

Pima Association of Governments are currently conducting a new survey, so data from 2016 will be available for next year's submission.  The Fall 2014 data should still be reasonably current and representative of current employee mode-share."
