Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Title or keywords related to the innovative policy, practice, program, or outcome","A brief description of the innovative policy, practice, program, or outcome ",A brief description of any positive measurable outcomes associated with the innovation (if not ...,Provide affirmation that the following statements are true:,A letter of affirmation from an individual with relevant expertise,"The innovation describes a new, extraordinary, unique, ground-breaking, or uncommon outcome, policy ...","The innovation (program, policy, or outcome) is not already covered by an existing STARS credit or ...",Which of the following STARS subcategories does the innovation most closely relate to? (Select all ...,"The innovative practice, policy, program, or outcome occurred within the past three years",Other topic(s) that the innovation relates to that are not listed above,The website URL where information about the innovation is available ,"The institution has not previously received a STARS innovation credit for this specific practice, ...",Does the innovation relate to Curriculum?,Does the innovation relate to Research?,Does the innovation relate to Campus Engagement?,Does the innovation relate to Public Engagement?,Does the innovation relate to Air & Climate?,Does the innovation relate to Buildings?,Does the innovation relate to Dining Services?,Does the innovation relate to Energy?,Does the innovation relate to Grounds?,Does the innovation relate to Purchasing?,Does the innovation relate to Transportation?,Does the innovation relate to Waste?,Does the innovation relate to Water?,"Does the innovation relate to Coordination, Planning & Governance?",Does the innovation relate to Diversity & Affordability?,"Does the innovation relate to Health, Wellbeing & Work?",Does the innovation relate to Investment?,Public Notes
Harvard University,2016-02-29,2016-02-29 16:58:53,colin_durrant@harvard.edu,2.0,Pursuing,Chemical Free Flame Retardant Pledge,"In November 2015, Harvard became the first university to sign a national pledge stating a preference for purchasing chemical flame retardant-free furniture. Other signatories to the pledge include Kaiser Permanente, Facebook, Blue Cross Blue Shield Massachusetts, and Autodesk.

See the following blog post for more on the announcement: http://www.ceh.org/news-events/blog/choosing-a-chemical-flame-retardant-free-campus/

The Office for Sustainability is partnering with Harvard capital project and planning teams, Strategic Procurement, and Environmental Health and Safety to identify and source chemical flame retardant-free furniture across the University, and in accordance with regulations.

Our University-wide Green Building Standards were updated in 2014 to include healthy material requirements for the disclosure of health and environmental impacts of products that are used on campus in order to help us assess opportunities to understand the community’s exposure to potential toxins.

Harvard is also partnering with groups such as the Silent Spring Institute, the Center for Environmental Health, and the Green Science Policy Institute to not only understand links between health and exposure to certain chemicals, but to identify and prioritize areas of concern.

In 2014, in collaboration with Harvard T.H. Chan School of Public Health and Center for Health and the Global Environment researchers and the Silent Spring Institute founded the Healthy Green Campus project to better understand the prevalence of harmful chemicals on campus and to make health an integral part of sustainability practices on college campuses.

BACKGROUND ON CHEMICAL FLAME RETARDANTS

According to the U.S. Environmental Protection Agency there are over 80,000 chemicals in use today, most are unregulated, and only some have undergone sufficient health testing. At Harvard’s T.H. Chan School of Public Health, and other Harvard Schools, including engineering and design, our researchers are working to better understand how exposure to harmful chemicals can impact human health and the environment. And through the University’s holistic Sustainability Plan and Green Building Standards, Harvard is identifying and tracking chemicals of concern in our built environment.

When public health scientists conduct their research, they think about sources (where pollutants come from and how they migrate into our environments), exposure pathways (determining how chemicals enter our bodies), and adverse health effects (how those exposures impact human health). And on flame retardant chemicals this entire pathway has been worked out thanks to research at Harvard and countless other universities, government agencies and non-profit institutions. The science is clear: halogenated and organophosphorous flame retardants have been widely used in upholstered furniture and other products for several decades; these chemical flame retardants migrate out of products and enter the air and dust in our indoor and outdoor environments, causing near ubiquitous exposure; and exposure to these chemicals is associated with adverse health effects including cancer, interference with the hormone system, impairments to neurological development, and reproductive harm.

Eliminating the use of these chemicals does not weaken fire safety. The Consumer Product Safety Commission found these harmful chemicals do not provide a “practically significant greater level” of safety than untreated furniture. And furniture containing some flame retardants actually emits higher levels of carbon monoxide, soot and smoke than untreated furniture. New fire safety standards that improve safety while allowing manufacturers to eliminate the use of toxic chemicals in upholstered furniture allows Harvard, and other organizations, to make good purchasing decisions aligned with what the science tells us is necessary for public health.","1. Harvard’s preferred furniture vendors and manufacturers were surveyed in March 2015 on the use of flame retardant chemicals in their products.
2. A Health Furniture Toolkit and Buyer's Guide was created for all purchasers at Harvard: http://green.harvard.edu/sites/green.harvard.edu/files/Chemical%20Flame%20Retardant-Free%20Toolkit%20and%20Buyer%E2%80%99s%20Guide.pdf
3. Capital projects and renovations are already sourcing chemical flame retardant-free furniture when allowable by law.",**,http://stars.aashe.org/media/secure/469/6/582/3264/Affirmation%20Letter.docx,True,True,**,True,Chemicals of conern,http://green.harvard.edu/chemicals-concern,True,--,True,True,--,--,True,--,--,--,--,--,--,--,True,--,True,--,--
Haverford College,2016-03-02,2016-03-02 12:01:59,ckent@haverford.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:38,sustainability@hws.edu,2.0,Pursuing,Pulteney Play Park,"The Pulteney Play Park is a unique public engagement collaboration between various offices, departments, classes, and other entities at Hobart and William Smith Colleges and a local apartment neighborhood, Geneva Gardens. With the support of HWS administration, faculty, staff, and students have worked together with residents of Geneva Gardens to imagine, design and create a successful, sustainable play space and garden.

Before launching the project, Geneva Gardens had been seeking a safe and creative outdoor space for its approximately 55 youth residents, who previously were limited to playing alongside streets and throughout a parking lot. The apartments are located in an area of Geneva that does not have immediate access to healthy, affordable food.

The sustainable play space project is innovative, in part, because it has leveraged curricular, co-curricular, service-learning, and other aspects of an HWS education for public engagement. In an anthropology and sociology seminar, students completed a feasibility study for the Play Park, interviewing and soliciting input from the Geneva Garden residents, managers and nearby neighbors. A second curricular piece of the project to date has been completed by the HWS Department of Art and Architecture. Students taking a class on sculptures built and installed – with the help of the HWS Center for Community Engagement and Service-Learning (CCESL) volunteers – a wooden bridge that spans across a small stream in the Play Park. CCESL has continued support of the Play Park throughout its development by recruiting volunteers and including the project in community-service opportunities through their office. Additionally, in the fall 2015 semester, several faculty members incorporated the Play Park into the project portion of their course. Faculty leaders on the project are Assistant Professor of Art and Architecture Gabriella D’Angelo, Professor of Art and Architecture Ted Aub and Professor Emeritus of Economics Christopher Gunn.

Other innovations include:
•	The park does not contain traditional manufactured components of a “playground,” but rather uses natural elements to create natural spaces for children to have fun. The park is designed to emphasize creation of play objects sourced from clearing existing dead and damaged trees on the site to create a “natural play space” in which children can experience an outdoor environment while getting exercise. Its attractions include logs and stumps on which to climb, a path or trail through the park for children and adults to walk, and a series of logs set in a circle for a community meeting place. 
•	An area with raised garden beds has been included to help address Geneva Garden residents’ limited access to healthy, affordable food and to provide a means by which to educate Geneva Garden residents about gardening and healthy eating. The community garden is being created through a democratic, community decision-making model. The chair of the Growing Geneva Together Community Garden Project is a member of the Play Park planning committee
•	HWS owns the property where the Play Park is located. HWS has agreed to lease the land to Geneva Gardens for $1 per year. Geneva Gardens has agreed to extend its liability insurance to cover users of the Play Park 
•	Both HWS and Geneva Gardens have agreed to be jointly responsible for the maintenance and policing of the play park.

The Play Park space continues to evolve with the implementation of new creative ideas, but children already have a safe place to explore the natural world in an urban area, as well as learn more about how to grow and eat healthy food.",,**,http://stars.aashe.org/media/secure/495/6/582/3264/PulteneyPlayPark_LA_NA.pdf,True,True,**,True,--,--,True,--,--,--,True,--,--,--,--,True,--,--,--,--,--,True,True,--,--
Indiana State University,2016-03-29,2016-03-29 10:17:05,caroline.savage@indstate.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:42:27,brownwm@indiana.edu,2.0,Pursuing,Campus Bus Tracker (Doublemap),"Both IU Bloomington campus buses and the Bloomington Transit buses are linked through GPS to DoubleMap. DoubleMap is available as a free app on Android and Apple smartphones and devices, and online on the bus systems' web sites. This allows riders to track the exact locations of the buses, making public transportation a more convenient and viable option for commuters.

The application was developed by IU students, with assistance from a number of stakeholders across campus, and financial assistance from the IU Student Association.","The program aims to make the bus a more convenient option, with the goal of reducing commutes by personal vehicle and the increased use of public transportation.",**,http://stars.aashe.org/media/secure/81/6/582/3264/IN%201%20-%20Double%20Map.pdf,True,True,**,True,--,http://indianapublicmedia.org/news/gps-mapping-app-puts-bus-routes-riders-fingertips-54509/,True,--,--,--,--,True,--,--,--,--,--,True,--,--,--,--,True,--,"Video about the IU Transportation App: https://www.youtube.com/watch?v=54pHZ2NSbAc

Actual App Location: https://one.iu.edu/task/iub/track-buses"
Juniata College,2016-03-23,2016-03-23 08:08:05,yelnosr@juniata.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:15:57,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:29:35,sustainability@knox.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lehigh University,2016-02-29,2016-02-29 00:26:07,sustainability@lehigh.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:00,advorak@lclark.edu,2.0,Pursuing,Composting toilet,"Oregon’s building code and administrative rules regulate the installation and use of composting toilets

in residential areas. Currently, this code reference does not allow for commercial or multi-family 

installations. Following a lengthy yet successful composting toilet installation process, Lewis & Clark is 

working with Recode and other community partners to develop methods and standards for use of 

commercial composting toilets with the intent of promoting code change broadly.",,**,http://stars.aashe.org/media/secure/222/6/582/3264/Recode_STARSInnovLetter.docx,True,True,**,True,--,--,True,--,--,True,True,--,True,--,--,True,--,--,--,True,--,--,--,--,--
Loyola Marymount University,2016-03-23,2016-03-23 14:01:28,ian.mckeown@lmu.edu,2.0,Pursuing,Pre and Post Consumer Dining Waste Dversion,Loyola Marymount University implemented a process to achieve near zero Waste Kitchen Status for pre and post consumer waste Diversion. Teh practice combines all dining waste aggregation  to achieve a 76% kitchen waste diversion through Emulsification and Dehydration. This has resulted in all trash cans removed from the dining room and pre and post consumer kitchen adn dining waste is converted to compostable  material and is available to support the community Garden and Bio Feed companies.,"The Loyola Marymount Univeristy Lair Marketplace is the Highest 4 Star certified Green Restaurant in Higher Edcuation, www.dinegreen.com 
Loyola Marymount has achieved a 74 Ton reduction in landfield waste as certified by the attached third party report from Republic Waste management and documented by Mr. Bill stonecypher, Director of Waste Management and Recylcing",**,http://stars.aashe.org/media/secure/259/6/582/3264/20150225144536683.pdf,True,True,**,True,--,http://dining.lmu.edu/,--,--,--,--,--,--,--,True,--,--,--,--,--,--,--,--,--,--,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:24,adurnbaugh@luc.edu,2.0,Pursuing,Solutions To Environmental Problems (STEP) Interdisciplinary Courses and Outcomes,"Solutions to Environmental Problems (STEP) courses bring together students, faculty, staff, and community mentors to engage in
interdisciplinary discussion and action around issues of environmental sustainability. Our approach emphasizes the following steps:
1) Educate students from diverse backgrounds on the nature and causes of environmental problems
2) Expose students to potential solutions
3) Put solutions into action locally
Our courses explore the ecological, historical, social, political, and economic contexts of global environmental problems. Our courses
prepare students to become environmental leaders in their field of study through multi-disciplinary lectures, labs and field trips, readings
and discussion, and group projects.
The STEP courses are designed to move from topic to topic based on student input. Since fall of 2007, The Institute of Environmental
Sustainability has offered three iterations of the STEP course: Biodiesel, Food Systems and Water.
STEP: Food Systems
A significant portion of IES's STEP Food Systems course focuses on the design, implementation, and evaluation of small group projects.
These student-led projects are hands-on and offer real-world experiences that contribute to the course's overall goal of producing
workable solutions to problems in our food systems. During the semester students work with faculty mentors and/or community
organizations to develop their projects.
Multi-disciplinary Lectures:
• The origins of agriculture
• Plant breeding and genetic engineering
• Trends in human nutrition
• The U.S. Farm Bill
• Global social impacts of U.S. agricultural policy
• Environmental impacts of industrial agriculture
• Sustainable urban agriculture and local food distribution in Chicago
STEP: Biodiesel
This is an interdisciplinary course, taking an innovative, experimental approach to teaching. In order to get the project going and keep it
going, a wide range of knowledge is needed in business, biology, chemistry, environmental science, communication and politics. No
other class is able to offer such a comprehensive insight into one subject, making it a unique and powerful practice in teaching the
students.
Lectures provide an overview of their subject area as it applies to petroleum use and alternative energy, particularly biodiesel. The
students learn the whole process:
• How to convert leftover grease into fuel.
• Economic and environmental benefits and constraints of biodiesel.
• Politics involved in using alternative fuels.
• Business strategy to aid the implementation of the project.
• How to market the use of renewable fuel sources as a progressive step in higher education.
The lectures provide necessary background information for the students to further pursue the research of biodiesel.
STEP: Water
The STEP: Water course engages students with learning opportunities presented by a multidisciplinary group of faculty and
on-the-ground experts. Students will study current and historical, global and local issues regarding water conservation, and have theopportunity to initiate and lead campus projects pertaining to those issues. The course has the following attributes:
• Water sanitation
• Economics of water
• Freshwater ecology
• The Great Lakes resource
• Global, national and local water policy
• Water and the materials industry
• Public health and water-born infectious diseases
• Spiritual implications of water
• Historical significance of water (globally and locally)
• Water and agriculture
• Water and warfare
• Sustainable water use
• Social justice and water access issues
Course Strategy
Based on these considerations, the course employs the following major pedagogical strategies:
• Multi-disciplinary lectures offered by LUC Faculty from numerous departments and local experts and innovators
• Supporting texts provide context and discussion material for topics
• Discussions allow students to ask questions, to collectively explore ideas, to hear from their peers, and to elevate their understanding
• Lab activities allow students to develop practical and technical skills for solving environmental problems
• Field trips allow students to observe and communicate with practitioners in the field
• Students maintain a reflective journal throughout the course to synthesize their experiences and understanding
• Students work in small groups on semester-long service and/or research projects
• Groups work with faculty mentors and/or community organizations
• Students present project results at a STEP Public Forum
• Many of these projects become institutionalized","STEP’s CONTINUING PROJECTS:
Water: Student Projects & Areas of Investigation
• Aquaponics and sustainable fish farming
• A pilot living machine for waste nutrient removal
• Emerging contaminants in drinking water and aquatic ecosystems
• Irrigation and rainwater collection
• Water conservation policy on campus
Food Systems: Previous topics/projects:
• Developed the business plan that led to the launching of the Loyola Farmers Market in 2011
• Investigated best sustainable farming techniques and operations which were implemented on the Loyola Student Farm at Loyola's
Retreat and Ecology Campus
• Explored and identified the need for an apiary to be part of Loyola's educational food system programs
• Campus food production plan which resulted in the Urban Agriculture Demonstration Gardens Project that donates fresh, healthy food
to those in need
• Mobilized and coordinated students to create a new student group, the Growers Guild
• Created an edible landscaping plan and mapped existing and newly planted edible flora (cultivars and native)Biodiesel Lab
Hands-on experience comes while in the lab, where students learn the process of making biodiesel. From collecting the waste vegetable
oil from the university's cafeterias to titrating the free fatty acid content, students are expected to learn and experience how to physically
convert a waste product into a renewable fuel.
The Biodiesel Lab is primarily run by student fellows and students in our Biofuels Lab Course. These students oversee the production and
sale of:
• Biodiesel
• BioSoap
• Tiki Torch Fuel
• Biodiesel Processors",**,http://stars.aashe.org/media/secure/536/6/582/3264/LUC%20STEP%20Letter_1.pdf,True,True,**,True,--,http://www.luc.edu/sustainability/initiatives/step/index.shtml,True,True,True,True,--,--,--,--,--,--,--,--,True,True,--,--,--,--,--
Macalester College,2016-01-06,2016-01-06 13:02:47,shansen2@macalester.edu,2.0,Pursuing,Sustainability Staff Network,"Due to the success of the student sustainability network, we have decided to create a network to give support and provide a space for collaboration and discussion of sustainable initiatives on campus for staff. ","Increased collaboration, transparency, and communication amongst staff on sustainable initiatives and events. ",**,http://stars.aashe.org/media/secure/252/6/582/3264/Mac%20STARS%202014.pdf,True,True,**,True,--,--,True,--,--,True,--,--,--,--,--,--,--,--,--,--,True,--,--,--,--
Maryville College,2016-02-11,2016-02-11 15:37:32,adrienne.schwarte@maryvillecollege.edu,2.0,Pursuing,Maryville College Solar Doks (TM) ,"Two solar-powered outdoor picnic tables, known on campus by their brand name as ""The Solar Doks"" were installed in Spring 2012 and have been a physical space and sustainability test-bed to understand energy use/reduction, social use of environmental platforms and to encourage campus environmental engagement.","Led by STARS 2.0 coordinator and Associate Professor of Art and Graphic Design Adrienne Schwarte, surveys about Solar Dok use have been undertaken to learn which campus stakeholders have used the Doks.  Faculty office hours, student groups meetings - more than a few non-environmental - and informal student meet-up locations have been among the uses of the Doks.  Energy consumption studies continue to monitor Dok energy use, and to calculate the small-but-measureable energy offset in using this renewable energy source.",**,http://stars.aashe.org/media/secure/257/6/582/3264/IN1_KEMP_FINAL.pdf,True,True,**,True,--,http://wuot.org/post/method-science-above-and-below-ground,True,--,--,True,True,--,--,--,True,--,--,--,--,--,--,--,True,--,"http://www.thedailytimes.com/news/hangin-at-the-dok-maryville-college-gets-solar-powered-picnic/article_5cbee994-1f0d-5a48-b0b0-b654308820d0.html

http://archive.wbir.com/news/green/article/218111/137/Maryville-College-installs-solar-powered-picnic-tables

http://highlandecho.com/plug-in-to-picnic-tables/



"
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:00,slanou@mit.edu,2.0,Pursuing,MIT Efficiency Forward,"In an effort to dramatically cut energy use at one of the country’s premier academic and research institutions, NSTAR and MIT are teaming up to launch the single most aggressive efficiency project in NSTAR history. Dubbed “MIT Efficiency Forward,” the program has a goal of cutting electricity use by 15 percent over three years through innovative programs, substantial student, faculty, and staff engagement, and the piloting of new technologies and approaches at MIT. The long-term partnership is a first-of-its kind for both the Institute and the utility and establishes a new approach for sustainable solutions. In the three-year period, the target energy savings is 34 million kilowatt-hours; that’s equivalent to the amount of electricity used by more than 4,500 Massachusetts homes in a given year.

- Source 1:     http://mitei.mit.edu/news/shared-success-story-points-hopeful-energy-future-massachusetts

- Source 2:     http://web.mit.edu/newsoffice/2010/nstar-mit-0526.html",MIT has surpassed its first 32 million kwh savings goal. On track to save an additional 20 million kwh through 2015.,**,http://stars.aashe.org/media/secure/756/6/582/3264/MIT-Innovation_Credit.docx,True,True,**,True,Energy efficiency,http://web.mit.edu/facilities/environmental/efficiencyforward/index.html,True,--,--,--,--,True,True,--,True,--,--,--,--,--,True,--,--,--,--
McMaster University,2016-02-19,2016-02-19 09:37:23,naeemsh@mcmaster.ca,2.0,Pursuing,Chasing the Peak,"McMaster is one of the largest electricity consumers in Ontario. Chasing the Peak is an initiative to reduce the electricity usage during peak demand times for the province. Chasing the peak involves watching the on peak demand to take advantage of time-of-use pricing. During the peak McMaster restricts use of fume hoods, powers if unnecessary equipment, close blinds to reduce heat and turn off the lights. ","In 2015 McMaster reduced the campus electricity demand by 20% saving 25MW. This is roughly the amount used by 6,080 Canadian homes. This also saved McMaster roughly $ 2 million.",**,http://stars.aashe.org/media/secure/797/6/582/3264/Chasing%20the%20Peak.pdf,True,True,**,True,--,http://www.mcmaster.ca/sustainability/e_chasing_the_peak.html,True,--,--,True,True,True,--,--,True,--,--,--,--,--,--,--,--,--,--
Miami University,2016-03-02,2016-03-02 14:17:44,kliney@miamioh.edu,2.0,Pursuing,Use of the Social Cost of Carbon in Utility Master Plan Optimization,"In 2015, Miami University worked with the National Renewable Energy Laboratory (NREL) to conduct a 25 year life cycle cost analysis of planned utility system changes. NREL's ReOPT program used load and performance models to select systems that optimized cost, but Miami was also interested in determining how far they could afford to reduce carbon emissions.  NREL and Miami worked to establish emission factors inclusive of ""upstream"" emissions, and to select a central value discount rate for the Social Cost of Carbon.  The ReOPT program was thereby able to select a system that not only optimized cost, but also minimized carbon emissions.  By subsequently ""subtracting out"" the SCC, the carbon optimized outcomes could be fairly compared to the outcomes that only reduced cost, without consideration of carbon.
Per the forethought of the Sustainability Committee, the Life Cycle Cost Analysis will be made available upon request as teachable examples of socially responsible decision-making in a carbon economy.","Preliminary results identified a mix of technologies that cuts approximately 500,000 MTeCO2 (compared to Miami's original plan) over a 25 year period at an incremental cost of carbon of $1.81/MTeCO2.  ",**,http://stars.aashe.org/media/secure/484/6/582/3264/SCC_Memo%20for%20innovation%20credit%201.pdf,True,True,**,True,--,--,True,True,--,--,--,True,True,--,True,--,--,--,--,--,True,--,--,--,This project was a true collaboration between the REopt (renewable energy optimization) group at NREL and the Physical Facilities Department of Miami University.
Michigan State University,2016-02-16,2016-02-16 09:19:15,erhardt7@msu.edu,2.0,Pursuing,Spartan Treasure Hunt,"The Spartan Treasure Hunt is a five to six hour event in which staff members from MSU Infrastructure Planning and Facilities (IPF) departments, subject matter experts and building occupants break up into teams, tour a campus building and identify opportunities to increase energy efficiency and other system improvements within the building. Through observation, measurement and inquiry, the teams produce a list of resource-saving opportunities.  

This innovative process, derived from General Electric (GE) and lean manufacturing, has been adapted to suit the needs of Michigan State University as an institute of higher education. The premise is to actually “go and see” if buildings and their respective systems are functioning and being utilized in the most efficient way. Buildings are dynamic entities: repairs are made to existing systems, new systems are installed, and space use may change dramatically from time of construction up to the current date. 

To start, MSU partnered with GE to do a treasure hunt in our Engineering Building. After learning how GE uses a treasure hunt to identify deficiencies within a plant, MSU took an innovative approach and applied the model to fit in with existing building commissioning and function within the many diverse buildings on campus. To date, Michigan State University has conducted Spartan Treasure Hunts in 22 campus buildings, and with the help of 233 different building occupants identified over 3,300 opportunities for resource savings.

By including building occupants on the treasure hunt, a symbiotic relationship is formed between them and the facilities staff that maintains the building. Occupants get to see “behind the scenes” and learn how their building works, and may learn strategies to utilize building systems more efficiently. Additionally, they receive one-on-one time with the staff who maintain their area and subject matter experts to help solve chronic issues.  The facilities staff also benefits from occupant involvement. By having a building representative on a treasure hunt team, IPF staff members receive historical background of the building that may or may not be recorded in the facilities database. Building representatives also provide context of how the space is used, which shapes and forms the recommendations to address the identified opportunity. How a space is used has major implications on building systems, energy use and opportunities to save energy.

Opportunities that are identified are then validated by the IPF commissioning team to calculate energy savings, feasibility and ROI.  These validated findings are then sorted into different funding streams, and are implemented in a strategic order.
","On the occupant side, we can measure engagement by the number of participants on teams during the hunt, individual building occupant follow-up survey responses , as well as the success of individual action plans within a building. Additionally, this event serves as a great mechanism to foster relationship building between facilities staff and the occupants of the building. The occupants also learn how their building functions and learns about building issues, satisfying the “why”.  ",**,http://stars.aashe.org/media/secure/52/6/582/3264/IN-1%20MSU%20AASHE%20Letter%20of%20Recommendation%2029%20Jan%202016.pdf,True,True,**,True,--,http://bespartangreen.msu.edu/treasure-hunt.php,True,--,--,True,--,--,True,--,True,--,--,--,True,True,--,--,--,--,--
Middlebury College,2016-03-25,2016-03-25 14:02:06,jmbyrne@middlebury.edu,2.0,Pursuing,Global Partnerships for Sustainability,TBD - see letter,TBD - see letter,**,http://stars.aashe.org/media/secure/22/6/582/3264/DRAFT%20Stars%20Innov%20GPS.docx,True,True,**,True,--,--,True,True,True,--,True,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mills College,2016-02-29,2016-02-29 23:53:42,ngaetjens@mills.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:00,neapple@mtholyoke.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Muhlenberg College,2016-03-23,2016-03-23 10:26:21,kprocyk@muhlenberg.edu,2.0,Pursuing,Purified Tannin Treatment of Steam Boiler System,"Muhlenberg College is the first college/university in the state to employ GREENTECH Purified Tannin technology for treatment of their steam boiler systems. Muhlenberg College has steam boilers in the Main CUP and the Seegers Student Union that have transitioned to a tannin based treatment program, which has reduced blowdown rates by at least 50%, saving water, fuel and reducing carbon emissions.  In addition, ProAsys PT 2700 tannin is certified organic, replacing the traditional chemicals which are being used in 99.99% of boilers nationwide. 

","Up to 15% reduction in fuel consumption
Water and sewer savings of up to 50%
PT technology is a natural and biodegradable non‐toxic treatment
Reduction of carbon emissions
Safe both the environment and maintenance personnel",**,http://stars.aashe.org/media/secure/610/6/582/3264/Muhlenberg%20College%20Purified%20Tannin%20Letter%20Mar16.pdf,True,True,**,True,--,--,True,--,--,--,--,True,True,--,True,--,--,--,--,True,--,--,--,--,--
Naropa University,2016-02-29,2016-02-29 17:16:38,acook@naropa.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:30,lindsay_batchelor@ncsu.edu,2.0,Pursuing,AmeriCorps Member position focused on sustainability and diversity,"The participation of the NC State University Sustainability Office in the 2015 AmeriCorps Project Growing Environmental Opportunities through Service (GEOS) through the Conservation Trust for North Carolina allowed the office to be one of 15 host sites in North Carolina to participate in a national service program seeking to reconnect people with the outdoors and develop future leaders in conservation.  This involvement enhanced the work of the Sustainability Office by adding an AmeriCorps Member to serve on staff for education and outreach, specifically to articulate the connection of sustainability and diversity on campus. Not only did the service position allow beneficial experiences to be gained directly by the AmeriCorps Member through professional development and improved skills, but the NC State community also greatly benefited.","An Action Plan was established identifying target groups, priorities, and goals of programming. 7 presentations and events were led by AmeriCorps members. Over 240 individuals were reached through new partnerships for program development. More than 1100 community service hours were logged, and 100 hours of professional development and training were completed.",**,http://stars.aashe.org/media/secure/67/6/582/3264/Innovation_Americorps%20position.docx,True,True,**,True,Inclusion,https://sustainability.ncsu.edu/campus/diversity/,True,--,--,True,True,--,--,--,--,--,--,--,--,--,--,True,--,--,--
Northern Arizona University,2016-02-23,2016-02-23 18:51:58,Ellen.Vaughan@nau.edu,2.0,Pursuing,The Coordinating Committee for Campus Sustainability,"The Coordinating Committee for Campus Sustainability (CoCoSus) facilitates inter-departmental sustainability initiatives. The committee brings together decision makers from across campus and furthers the university's progress toward carbon neutrality.
CoCoSus is innovative because its members consist of Vice Presidents from across campus departments.","Because of their cross departmental reach, CoCoSus was able to lobby for a million dollar outdoor recycling project, Sept. 14 2014. They also organized diverse departmental participation in a biomass feasibility study completed in 2015.",**,http://stars.aashe.org/media/secure/133/6/582/3264/STARS%20Letter%20of%20Affirmation%20-%20CoCoSus_1.pdf,True,True,**,True,--,http://nau.edu/Green-NAU/Coordinating-Committee-for-Campus-Sustainability/,True,--,--,True,True,--,--,--,--,--,--,--,--,--,True,--,--,--,--
Oberlin College,2016-03-21,2016-03-21 16:09:39,bflynn@oberlin.edu,2.0,Pursuing,Solar Array Utility Financing Agreement,"In 2012, Oberlin College installed a 2.27MW solar array on College property. This is a significant accomplishment in and of itself. The array covers about 10.5 acres of land and is the largest solar array on any liberal arts campus in the country. The array is owned by Spear Point Energy. An aspect of this project that is incredibly unique is the financing agreement and various stakeholders engaged in the project. Oberlin College wanted to reduce its greenhouse gas emissions by producing solar energy, but it had no way to move the power from where it would be produced to where it could be used. Meanwhile, the city of Oberlin’s electrical utility (OMLPS), with a network of power lines and a power portfolio already heavy on renewables, was also looking to further shrink its carbon footprint. The two entities were already in contact because of shared goals, like the Oberlin Project and the Clinton Climate Initiative Climate Positive Development Program. The solar project was a great opportunity for the College and the City to work collaboratively towards mutually beneficial goals that get Oberlin closer to our carbon neutrality commitments. 

The two of them formed an unusual union, and spawned a mutually-beneficial offspring: a 2.27-megawatt solar array located on the college campus, and connected by the city utility’s distribution lines to the power grid.","• met about 12 percent of the college’s electricity needs
• produced about 50 percent more power than projected during hours of peak demand
• saved the utility nearly $100,000 in generation and distribution costs, translating into a slightly lower cost of power for customers
• nudged up, by nearly 3 percentage points, the proportion of the city’s energy that is derived from renewable sources.",**,http://stars.aashe.org/media/secure/283/6/582/3264/Ohio%20college%2C%20utility%20seeing%20success%20with%20solar%20partnership%20_%20Midwest%20Energy%20N,True,True,**,True,"solar, renewables",http://www.midwestenergynews.com/2014/02/27/ohio-college-utility-seeing-success-with-solar-partnership/,True,--,--,--,True,--,--,--,True,--,--,--,--,--,--,--,--,--,--
Ohio University,2016-03-23,2016-03-23 07:57:11,goetze@ohio.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
