Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have an institution-wide stated preference to purchase office paper that has ...,"A copy of the paper purchasing policy, directive or guidelines","The paper purchasing policy, directive or guidelines","A brief description of steps the institution has taken to ensure that the purchasing policy, ...",Does the institution wish to pursue Part 2 of this credit (expenditures on office paper)?,"Expenditures on office paper with the following levels of post-consumer recycled, agricultural ...","Expenditures on 10-29 percent post-consumer recycled, agricultural residue, and/or FSC certified ...","Expenditures on 30-49 percent post-consumer recycled, agricultural residue, and/or FSC certified ...","Expenditures on 50-69 percent post-consumer recycled, agricultural residue, and/or FSC certified ...",Expenditures on 70-89 percent post-consumer recycled and/or agricultural residue content and/or FSC ...,Expenditures on 90-100 percent post-consumer recycled and/or agricultural residue content and/or ...,Total expenditures on office paper ,"The website URL where information about the paper purchasing policy, directive, or guidelines is ...",Public Notes
Guilford College,2016-03-08,2016-03-08 08:08:37,corrybc@guilford.edu,2.0,Pursuing,True,,All purchased paper must have a minimum recycled content of at least 30%.,All paper is purchased through Staples. Our Purchasing Department works with our Staples representative to monitor all purchasing.,True,**,--,--,--,15464.0,--,18193.0,http://sustainability.guilford.edu/,--
Hampshire College,2016-03-23,2016-03-23 09:58:50,bhooker@hampshire.edu,2.0,Pursuing,True,,"POLICY: Effective July 1, 2003, Hampshire College began purchasing 100% post-consumer content, 100% chlorine-free, recycled paper. This paper will be used campus-wide in all copiers and office printers whenever possible. When not possible, paper that is 30% or higher post-consumer waste and 100% chlorine-free will be purchased.  Certain formal items, such as printed stationery and documents of the board of trustees, will continue to be printed on the paper the College has used historically in order to preserve consistency in the College’s external identity.","STEPS TAKEN: Since July 1, 2014, all 8.5x11 copier paper for office use was 100% post-consumer waste content, 100% chlorine-free, recycled paper. We do not have $ numbers available, but in fiscal year 2013, of the 652 cases of paper purchased by the College, 6 cases (1% of purchased) were made of 10% post-consumer waste, 86 cases were made of 10% to 30% post-consumer waste content (13% of total purchased), 520 cases (80% of purchased) were made of 30% post-consumer waste, and 40 cases (6% of purchases) were made of 100% post-consumer waste.

UPDATE: For fiscal year 2015, 585 cases of paper were purchased and 83% (487 cases) were 100% post-consumer waste, 13% (78 cases) were 30% post-consumer waste, and 8% (44 cases) were 10%.  ",--,**,--,--,--,--,--,--,http://www.hampshire.edu/offices/14861.htm#Paper_Purchasing,"It's not a campus policy, but the Sustainable Hampshire website includes tips for making offices more eco-friendly, and those tips include a recommendation to purchase ""paper with at least 30% post-consumer recycled content"" http://www.hampshire.edu/offices/12694.htm

Information on fiscal year 2013 purchases came from Marge Dunehew.

In addition, for those publications that are still necessary to produce on paper (alumni magazine, viewbook, etc.), the College's communications office has selected ""approved"" papers (for internal pages that are 100 percent post-consumer fiber paper and covers that are at least 30 percent). Printing companies are selected with an eye toward clean-air operations and electricity from sources other than greenhouse gas-producing carbon fuel sources."
Harvard University,2016-02-29,2016-02-29 16:59:03,colin_durrant@harvard.edu,2.0,Pursuing,True,,"According to Harvard's Sustainable Purchasing Guidelines: Post consumer recycled content should be maximized in purchased products whenever possible. Thirty percent post consumer waste recycled paper should be used for all applications, as appropriate. Buy recycled content office products (as marked) with special attention to recycled ink and toner cartridges. 30% Post Consumer Recycled office paper under the current office supply agreement is priced the same as virgin fiber office paper. Some Schools including Harvard Business School and Divinity School have a specific policy to purchase at least 30% recycled paper for all paper purchases.","Post consumer recycled content should be maximized in purchased products whenever possible. Thirty percent post consumer waste recycled paper should be used for all applications, as appropriate. Buy recycled content office products (as marked) with special attention to recycled ink and toner cartridges. 30% Post Consumer Recycled office paper under the current office supply agreement is priced competitvely verses virgin fiber office paper.",True,**,1396.0,129580.0,20652.0,--,35945.0,295390.0,http://www.procurement.harvard.edu/secure/pdf/sustainable_purchasing_guidelines.pdf,Data is reported by Harvard Strategic Procurement and represents purchasing from Harvard's preferred office supply vendor. 
Haverford College,2016-03-02,2016-03-02 12:02:09,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:48,sustainability@hws.edu,2.0,Pursuing,--,,,,True,**,--,--,--,--,1588.92,20628.92,--,--
Indiana State University,2016-03-29,2016-03-29 10:18:08,caroline.savage@indstate.edu,2.0,Pursuing,True,,"ISU Purchasing has begun to encourage the broader long term view in the procurement of items such as printers, copiers, and fax machines that have the capability of duplex printing and the ability to cut paper consumption in half.

ISU Purchasing encourages the sending and storing of documents electronically, again saving on paper usage.

We have a contract and purchase from Staples whose recommendation is to order the recycled paper, at 20% recycled content.",Our contract with Staples emphasizes purchasing all printing paper with 20% recycled product. That default contract with Staples is the main assurance that most of the paper purchased at ISU has at least 20% recycled content. ,--,**,6269.84,--,--,--,--,102797.56,http://www2.indstate.edu/purchasing/InformationAndDirection/Sustainability.htm,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:43:31,brownwm@indiana.edu,2.0,Pursuing,True,,"University Procurement Services will comply with all state statutes, federal laws, and regulations. Included, but not exclusive, is the following state statute: Recycled Paper Products - Statute #IC 20-12-67 et seq.

This states: There is a price preference of ten percent (10%) for supplies that meet at least one (1) of the following descriptions:
(1) At least fifty percent (50%) of the volume of the original components of the supplies consisted of recycled materials.
(2) The cost of purchasing recycled materials constituted at least fifty percent (50%) of the cost of producing the supplies.
(3) A percentage by weight or volume of recycled materials which the commissioner of the department of environmental management determines by rule is eligible for procurement preference under this chapter.

Further, the Office of Procurement Services recommends buying sustainable products with these labels and certifications:

    BioPreferred
    Cradle to cradle certification
    Electronic Product Assessment Tool (EPEAT)
    Energy Star
    Forest Stewardship Council (FSC) Certified Paper
    Green Building Standards
    Green Seal Environmental Standards
    Water Sense

IU Policy FIN-PUR-10.1, Protection of Old Growth Forests specifies ""Indiana University will avoid wood or paper products derived from old growth forests...Indiana University reserves the right to ask for documentation from any supplier if sufficient evidence is presented that the supplier is in violation of this policy. Indiana University also reserves the right to sever all dealings with any supplier in violation of this policy.""
http://policies.iu.edu/policies/categories/financial/purchasing/FIN-PUR-10.1-protection-of-old-growth-forests.shtml","Purchasing organizes and participates in campus events that highlight our green purchasing initiatives, including the use of recycled paper. We also promote this via occasional newsletter articles. 

Over 50% of the paper that Indiana University - Bloomington uses is recycled paper. The Indiana University - Bloomington letterhead is made of 15% post-consumer recycled paper. Printing Services is the largest generator of good recyclable paper on campus. 
(http://www.indiana.edu/~purchase/sustainable/university.shtml)

An example of a newsletter can be found at:
http://www.indiana.edu/~purchase/newsletter/epic/epic_0704.pdf",True,**,657.94,128626.61,4494.5,141015.11,10025.86,1047903.04,http://www.indiana.edu/~purchase/policies/appendix.html#append,"Some papers purchased had low recycled contents but were FSC Mix or FSC Recycled, so these were put in with the FSC categories instead. "
Juniata College,2016-03-23,2016-03-23 08:09:16,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:17:02,mknowle1@kent.edu,2.0,Pursuing,--,,,,True,**,--,9214.18,--,151876.54,1722.36,249360.22,--,--
Knox College,2016-03-23,2016-03-23 08:30:44,sustainability@knox.edu,2.0,Pursuing,True,,"Knox College recognizes that the purchase of recycled content paper reduces deforestation, thereby increasing the number of trees available to reduce climate change, protect habitat, and maintain human culture and diversity. Purchasing recycled content office paper also supports the industry, encouraging more production of recycled products. The Knox community will strive to reduce paper usage through limiting printing and encouraging electronic communications, and encourage the purchase of the highest percentage recycled content paper possible for campus printers.","Purchasing department is in charge of office paper procurement for all departments, so consistency and adherence is ensured.",True,**,--,24486.0,--,--,--,24486.0,http://www.knox.edu/Documents/Sustainability/Sustainability_Policies.pdf,Expenditure figures are for academic year 2013-2014
Lehigh University,2016-02-29,2016-02-29 00:26:16,sustainability@lehigh.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/442/6/508/3793/Lehigh%20Sustainable%20Purchasing%20Policy%20(2)%20(1).docx,"The IT department has transitioned to 100% recycled content paper this year.   Despite significant testing, or printing department couldn't transition to 100% because the machines run too hot and fast and the paper continually jammed.   We use 30% recycled content for printing and 100% for stationary (heavier stock, so doesn't jam).  Our Sustainable Purchasing Policy does include 100% recycled paper as part of the EPP purchasing requirements.","Purchase paper in bulk moving forward as of January 2014.  Prior to that, it wasn't truly monitored through forced substitutions, and the  spend will reflect that.",True,**,25276.0,88755.0,475.0,--,20734.0,135240.0,http://www.lehigh.edu/~inubs/purchasing/SustainabilityPurchasing.shtml,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:10,advorak@lclark.edu,2.0,Pursuing,True,,See website: http://www.lclark.edu/offices/business/purchasing_procurement.php,"The institution's purchasing manager leads this effort; engaging others in education, resource saving techniques, and streamlining processes.",True,**,--,135336.0,--,--,41789.0,206462.0,--,--
Loyola Marymount University,2016-03-23,2016-03-23 14:02:49,ian.mckeown@lmu.edu,2.0,Pursuing,True,,"LMU Requires all Office Paper consist of Recycle content. Departments are unable to order office Paper without a minimum of 30% recycled Content. Through our supplier the paper supplier we have chosen or switched to is certified processed chlorine free (PCF), acid free, and is Forest Stewardship Council (FSC) Certified or is Sustainable Forestry initiative certified. ","The entire LMU campus has switched its paper supply to Boise ASPEN multipurpose paper with varying levels post-consumer recycled content. ASPEN is also processed chlorine free (PCF), acid free and is Forest Stewardship Council (FSC) Certified or is Sustainable Forestry initiative certified.  Contains 30%, 50% or 100%
post-consumer fiber
• Performance Certified by
Buyers Laboratory Inc. (BLI)
• Boise ASPEN 50 and
Boise ASPEN 100 are
FSC chain-of-custody certified
• Boise ASPEN 30 is SFI
certified fiber sourcing
• Supports building urban parks
through Project UP™

",True,**,139.88,56581.87,2290.35,--,2156.78,61029.0,http://www.lmu.edu/sites/Community_home/green/The_Campus/Business_Services.htm,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:34,adurnbaugh@luc.edu,2.0,Pursuing,True,,"3.6 Policy Statement On University Environmental Sustainability Initiatives

Loyola University Chicago is committed and continually strengthens its sustainability efforts with our campus partners. Buyers and users should utilize suppliers and service providers that make use of, to practicable extent, materials and services that support the University’s sustainability mission. This should include efforts to conserve energy and water resources, support efficient delivery and supplier programs and reduce waste through reducing, reusing and recycling. The Purchasing Department leverages current supplier relationships to raise awareness of the need to reduce our environmental impact and maximize resource efficiency. ","Loyola works with our Office Supply vendor to identify annual paper purchasing and document amount that meets sustainability goals (GreenSeal, recycled content, etc.)

Loyola provides a Green Vendor Fair annually to purchasing staff.

Loyola's strives for anything that is printed through University Marketing and Communications should be double-sided on recycled paper, with narrow margins, using vegetable-based inks. 

Departmental paper purchasing of high recycled content is encouraged and supported.

Public print stations all use high recycled content paper as well as print reduction strategies (pay to print, default double-sided, etc)",True,**,--,39961.0,--,65.0,307.0,179826.0,http://www.luc.edu/sustainability/campus/focus_areas/waste/,"In addition to the expenditures covering Recycled Content above, an additional $48,375 of Loyola's total expenditure is SFI Certified (Sustainable Forestry Initiative).

This is information from Fall of 2013."
Macalester College,2016-01-06,2016-01-06 13:02:57,shansen2@macalester.edu,2.0,Pursuing,True,,All paper purchased is 100% recycled paper. ,"As of January of 2010, Macalester adopted a policy of purchasing only 100% Recycled content paper. Document Services only purchases this and the Accounting office has pursued a campaign to have all campus departments to purchase only through Document Services.",True,**,--,--,--,--,57100.0,57100.0,http://www.macalester.edu/sustainability/greenaward/greenstars.html,--
Maryville College,2016-02-11,2016-02-11 15:37:42,adrienne.schwarte@maryvillecollege.edu,2.0,Pursuing,True,,"The paper purchased for use in campus offices and departments for printers, copiers, etc., is Sustainable Forestry Initiative Certified Sourcing.  This is the stated preference of the institution at this current time and is consistent across departments.   ","Office staff tasked with purchasing paper for the institution in each division are expected to order from a central location for paper purchasing so there is consistency in what is used across campus and for similar printers, copiers, etc.  ",--,**,--,--,--,--,--,--,--,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:10,slanou@mit.edu,2.0,Pursuing,True,,"MIT's statement of its environmental goals includes a commitment to increasing the use of recycled-content products (http://ehs.mit.edu/site/sites/default/files/files/Sustainability%20Goals%20Oct%2001(1).pdf) In addition, the MIT Procurement Department (which oversees purchases for standard products and services that do not require additional departmental approval) endorses the purchase of recycled products (http://vpf.mit.edu/site/sourcing_procurement/policies_procedures/general_purchasing).

The MIT Green Committee encourages university employees to purchase paper products made with recycled or post-consumer content, and offers suggestions for specific recycled paper products (http://web.mit.edu/workinggreen/buy/atmit.html). ","While MIT has formally stated its preference for purchasing paper with recycled content, these guidelines are voluntary. However, through the Working Green committee, MIT support and administrative staff volunteer their time to educate MIT's workforce and encourage sustainable behaviors, such as the purchase of recycled paper (http://web.mit.edu/workinggreen/buy/index.html).",True,**,--,64875.0,2446.0,111918.0,13006.0,346540.0,http://vpf.mit.edu/site/sourcing_procurement/policies_procedures/general_purchasing,Expenditure on paper for FY2014. Data obtained from supplier.
McMaster University,2016-02-19,2016-02-19 09:37:33,naeemsh@mcmaster.ca,2.0,Pursuing,True,,"Effective May 1, 2014 Facilities Services and the Campus Store will begin working in partnership to manage the processing and fulfillment of paper supplies on Campus.

Facility Services will be replacing its Facilities Management system with Peoplesoft in the near future. Included in this change, is the decommissioning of the inventory management module which processes all paper orders. As processing of the new chartfield account strings has been fully implemented at the Campus Store, they will undertake the transaction portion of the paper fulfillment process while distribution will remain with Facility Services.

The paper is 30% post consumer recycled and is EcoLogo certified. 

The paper is bought from here: http://www.gomadill.com/Cascades-Repro-Plus-Brite-Recycled-Paper-Tabloid-11-x-17-20-lb-Recycled-94-Brightness-5-Pack-White.html",All procurement documents (RFx) include a green procurement section with guidelines and points for green products.,True,**,--,50000.0,--,--,--,50000.0,https://campusstore.mcmaster.ca/faculty-staff/order-paper.html,--
Miami University,2016-03-02,2016-03-02 14:17:55,kliney@miamioh.edu,2.0,Pursuing,--,,,,True,**,1432.57,26300.23,6586.46,--,961.09,131010.04,--,  
Michigan State University,2016-02-16,2016-02-16 09:19:25,erhardt7@msu.edu,2.0,Pursuing,True,,"Recommendation: Substitute recycled content paper for virgin paper (paper with no recycled content) with the target of a minimum of 75 percent of the white paper purchased on campus becoming recycled content paper by fall 2009.

Intent: Maximize campus systems by finding more efficient ways to use paper.","While MSU has not met the target of 75% of papers used on campus having recycled content, we have achieved 60% use of recycled content papers and are targeting remaining virgin stock to be from certified forests allowing MSU to target a higher level of sustainable paper use.
  
MSU has taken an additional step encouraging paper use reduction on campus.  Measures indicate a 35% reduction in paper use since 2008.",True,**,--,280639.0,--,--,109867.0,632866.0,http://boldnessbydesign.msu.edu/special_reports/environment/materials.asp,--
Middlebury College,2016-03-25,2016-03-25 14:03:10,jmbyrne@middlebury.edu,2.0,Pursuing,True,,"When purchasing paper the College will consider environmental, economic, supply and technological sustainability. For paper used in College offices, in copy machines campus-wide, in student computing laboratories and for College stationery and letterhead papers, for outsourced jobs that use sheet-fed printing, the paper must be Labeled Process Chlorine Free (PCF - not bleached with chlorine and chlorine derivatives), 100% post-consumer waste recycled paper (PCW) and/or paper made without trees, OR Forest Stewardship Council certified 100% PCW if the cost is within acceptable range. For paper used for outsourced jobs that use web-fed printing, the paper will be the highest percentage PCW suitable for the job. 

","The paper policy was developed by the College’s Environmental Council in 2007. They worked with a wide range of campus groups to assess paper usage, research the availability, quality, and user experiences of 100% PCW-PCF papers, and conducted an extensive pilot program to test the performance of such paper. The Council’s recommendation to adopt the new policy was accepted by President Ron Liebowitz and put into effect shortly thereafter.",True,**,578.0,17682.0,6317.0,--,35880.0,63108.0,http://www.middlebury.edu/sustainability/resource/paper,--
Mills College,2016-02-29,2016-02-29 23:53:51,ngaetjens@mills.edu,2.0,Pursuing,--,,,,True,**,--,18733.92,--,--,--,18904.65,--,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:11,neapple@mtholyoke.edu,2.0,Pursuing,True,,"The College currently purchases both departmental and copier paper from W.B. Mason Company, Inc., based on current market price for the commodity on a per carton cost. The paper specifications are as follows:

    Boise® ASPEN™ 30% Recycled Copy Paper
    20 lb/92 Brightness
    8.5""x11"", 8.5""x14"" & 11""x17"" (Case)
    30% Post-Consumer Content
    Hammermill® Great White™ 30% Recycled Copy Paper
    20 lb/92 Brightness
    11""x17"" (Ream)
","The vendor web site is specifically designed to default to the 30% recycled content standard.
",True,**,--,31162.53,98.62,6222.93,274.99,37759.07,http://www.mtholyoke.edu/purchasing/copier.html,--
Muhlenberg College,2016-03-23,2016-03-23 10:27:29,kprocyk@muhlenberg.edu,2.0,Pursuing,True,,"Muhlenberg has an institution-wide stated preference to “purchase office paper and other supplies (tablets, folders, etc.) with a minimum of 30% post consumer waste (PCW) recycled content, and preferably 100% PCW recycled content”  http://www.muhlenberg.edu/main/campuslife/sustainability/policies/sust_purch.html","To ensure that the paper guidelines are followed, “the college has contracted with area colleges with one office supply company to provide 30% recycled paper to college offices.  All offices have been directed to order this paper.”",True,**,--,26500.0,--,--,--,31000.0,http://www.muhlenberg.edu/main/campuslife/sustainability/policies/sust_purch.html,"Percentage of purchased office paper that is recycled: 86%


"
Naropa University,2016-02-29,2016-02-29 17:16:49,acook@naropa.edu,2.0,Pursuing,True,,All paper is purchased centrally through our business service center. They only by 30% recycled content or greater.,The Department of Facilities and operations monitors paper purchasing. ,True,**,--,7000.0,--,--,--,7000.0,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:47,lindsay_batchelor@ncsu.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/67/6/508/3793/Sustainability-SOP.pdf,"The Sustainability Standard Operating Procedures, which include purchasing guidelines, were adopted in June, 2014. 

2.5 Purchasing
NC State purchasing decisions are guided by total cost of ownership and total life
cycle cost. Any purchase by NC State will improve the environmental performance of its supply chain with consideration given to toxicity, recycled content, energy and water efficiency, rapidly renewable resources, and local production and manufacturing. Purchase decisions will improve the social responsibility of the supply chain, production working conditions and the use of historically underutilized businesses.

2.5.1 Environmentally and socially responsible attributes
• Include environmentally and socially responsible attributes whenever this
does not infringe on the statute-driven purchasing processes defined by
the State of North Carolina.
• Consider all phases of a product or service to determine its environmental
impacts including: raw materials acquisition, production, manufacturing,
packaging, distribution, operation, maintenance, disposal, potential for
reuse and ability to be recycled.
• Include environmentally and socially responsible attributes in
specifications, statements of work, and procurement of goods and
services.

2.5.2 Expansion of environmentally and socially responsible purchasing
• Seek environmentally and socially responsible purchasing for products and
services by selecting those that comply with the following current and
credible environmental and social standards:
o Green Seal certified for cleaning supplies, paints (no VOC),
windows, doors, flooring and adhesives
o Forest Stewardship Council certified for office paper, toilet paper,
every type/use of paper
o Green Guard standards for indoor environments such as paints,
furniture and bedding
o Cradle to Cradle production standards
o Purchasing from sources that feature adequate safeguards for
endangered forests and indigenous people

2.5.3 Procurement of paper products and initiatives that minimize paper
use
• Purchase paper and tissue products made from 50% post-consumer
recycled content. In the absence of 50% post-consumer, purchase the
highest post-consumer recycled content or highest pre-consumer recycled
material content.
• Use photocopy practices that minimize paper use and reduce costs
including:
o Duplex (double-sided) printing and photocopying
o Use of digital file management and imaging software
o Enhance capabilities for electronic document creation and storage
o Eliminating unnecessary printing
o Using the maximum margins allowable by University branding
guidelines to fit more content on each sheet of paper
• By January 1, 2015, 50% of paper products will comply with this regulation
and will increase by 25% each year until 100% of all paper and tissue
products comply.

2.5.4 Energy Star® equipment and electronics
• Purchase Energy Star, or better, electronic office equipment, including but
not limited to computers, monitors, printers, scanners, photocopy
machines, facsimile machines and other such equipment.
• Purchase Energy Star or better appliances and other energy consuming
equipment when available.
• Budget for Energy Star or better for equipment listed for requests for
proposals, specifications, and contracts for products or services.

2.5.5 EPEAT computers
• Purchase new computers that meet the Electronic Product Environmental
Assessment Tool (EPEAT) Silver or Gold Energy Efficiency standards.

2.5.6 Adherence to the NC State Design and Construction Guidelines
• Require all members of the NC State community adhere to the Design and
Construction Guidelines regarding material choices.

2.5.7 The procurement of the following is discouraged to the maximum
extent feasible and within limitation of existing laws and regulations:
● Asbestos-containing materials
● Mercury-containing materials
● Chlorofluorocarbons (CFCs)
● Hazardous substances requiring special handling and disposal
● Polystyrene products and packaging
● Bleached, virgin paper with 0% post-consumer recycled content

","The Sustainability SOP included measures for ensuring the guidelines are followed as such:

2.5.8 The director of Materials Management structures procurement
procedures to:
• Include a review of compliance with this SOP as a part of regularly
scheduled review of delegated procurement. Include comments regarding 
the extent of compliance and suggestions for improvements in reports
furnished to Deans, Directors, Department Heads and Vice Chancellors
(as applicable).
• Review requisitions received from departments and units of the University.
Suggest environmentally and socially responsible alternatives for
consideration by the requestor.
• Actively seek sources for environmentally and socially responsible
products. Materials Management identifies and posts links to appropriate
search tools that may be of use to the campus community in selecting
environmentally preferable product alternatives, such as the U.S.
Environmental Protection Agency (EPA) database of environmentally
preferable products.
• Establish and actively promote the use of term contracts and University
specific convenience contracts for environmentally and socially
responsible goods and services commonly used by campus. Upon
expiration of existing contracts, evaluate opportunities for replacement with
more environmentally and socially responsible options. Post all contract
bid opportunities on the NC Department of Administration’s Division of
Purchase and Contract Interactive Purchasing System website.
• Appoint one or more environmentally and socially responsible procurement
coordinators with responsibility for researching opportunities for
environmentally preferable goods and services, issuing solicitations to
establish contracts, and promoting the goods and services to the campus
community. Establish an outreach and education program designed to
inform campus about the availability of and benefits associated with such
products.
• Encourage all vendors to offer environmentally and socially responsible
product promotions. Actively market these opportunities to campus via the
Materials Management website, e-mail and other venues likely to reach
the campus community at-large.
• Actively promote the reuse of surplus property available at the Surplus
Property Office as an alternative to procurement of new products.
• Aggressively seek multiple sources and promote competitive bidding for
the environmentally and socially preferable products specified by
requesting departments and units.
• Develop and implement the use of standard contract provisions promoting
the policies established herein.",True,**,--,--,4917.42,--,3595.4,8512.82,http://sustainability.ncsu.edu/wp-content/uploads/2014/07/Sustainability-SOP.pdf,--
Northern Arizona University,2016-02-23,2016-02-23 18:52:09,Ellen.Vaughan@nau.edu,2.0,Pursuing,True,,https://nau.edu/Contracting-Purchasing-Services/_Forms/Policies/204/,"When possible, practical and feasible, the University will strive to select products from our Sustainable Purchasing Policy (above).",True,**,191.8,36782.91,217.79,--,855.02,180107.94,--,Paper numbers are based on sales from Campus Supply and online orders.
Oberlin College,2016-03-21,2016-03-21 16:09:50,bflynn@oberlin.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/283/6/508/3793/OCEnvironmentalPolicyMay2004.pdf,,Office supplies are purchased through a custom Staples website that includes notices that Oberlin College prefers paper with recycled content. The Office of Environmental Sustainability and Purchasing and Auxiliary Services periodically audits departments' purchases.,True,**,4422.0,9791.3,--,20246.0,1990.0,41737.3,http://oberlin.edu/sustainability/portfolio/docs/OC_green_purchasing_policy.pdf,These numbers are from the 2014 fiscal year.
Ohio University,2016-03-23,2016-03-23 07:58:14,goetze@ohio.edu,2.0,Pursuing,True,,"While sustainable attribute consideration may not be possible for all purchases, the following sustainable purchases are mandated by Ohio University...

    Paper products must contain a minimum of 30% post-consumer recycled content
        As a condition of institutional office supply contracts, preferred paper purchases comply with this request . 
","The purchasing policy was newly written this year, and preferred paper suppliers in our e-purchasing system, Bobcat Buy, will comply with the policy.  Most paper purchases at Ohio University occur through Bobcat Buy, and through the preferred suppliers.",True,**,310.79,32195.11,39421.22,--,2651.38,238559.34,http://www.ohio.edu/sustainability/programs/Procurement.cfm,Data is from FY14.
Onondaga Community College,2016-02-26,2016-02-26 16:34:02,vormwals@sunyocc.edu,2.0,Pursuing,True,,"The Sustainability Policy includes a stated preference for recycled content paper. ""Office paper for printing and copying must contain 30% minimum recycled content paper whenever possible.""",The Management Services Department orders paper with the required recycled content.,True,**,--,31720.0,--,--,--,46791.67,--,--
Oregon State University,2016-03-30,2016-03-30 14:50:45,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,"Unlike previous years, Office Depot purchases were included in the totals.  

The write up was provided by Ari Grossman-Naples and Norene Collins in OSU Printing and Mailing Services. "
Pennsylvania State University,2016-03-21,2016-03-21 11:48:50,mme2@psu.edu,2.0,Pursuing,--,,"Although Penn State does not have a formal policy that requires the use of recycled-content paper, Purchasing uses market incentives to encourage its use, and works actively to negotiate lower prices for recycled paper.  Penn State General Stores, through which most office paper used on campus is purchased, offers 30, 50, and 100 percent recycled paper at competitive prices. The General Stores website allows one to search for recycled content paper and ""green"" paper (produced using FSC or SFI certified wood). The recycled paper is packaged in recycled brown kraft cartons instead of bleached cartons. Paper is purchased by the truckload for a bulk discount. The University uses 100 percent recycled paper in all of its University Park computer labs. See http://www.purchasing.psu.edu/Purchasing/stewardship.cfm","As stated above, Penn State uses price incentives to encourage the use of recycled-content paper, while still giving consumers a choice.  In the online eBuy catalog, General Stores recycled paper is listed first.  Purchasing actively promotes the use of these products by, for example, sending out ""green"" reminders to employees on its email list.",True,**,--,152484.25,289382.36,--,175044.32,830288.17,http://sustainability.psu.edu/live/what-penn-state-doing/infrastructure/green-purchasing,Values are for FY2014/15.
Pittsburg State University,2016-03-24,2016-03-24 14:48:06,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pitzer College,2016-02-22,2016-02-22 14:38:53,warren_biggins@pitzer.edu,2.0,Pursuing,--,,,,--,**,--,--,--,--,--,--,--,--
Plymouth State University,2016-02-29,2016-02-29 11:42:37,bweisenhauer@plymouth.edu,2.0,Pursuing,True,,"100% recycled products, adopted in 2010","This policy was adopted as part of our Climate Action Plan, and the data on use was verified in the collection of data for our latest carbon footprint calculations.",--,**,--,--,--,--,--,13000.0,https://www.plymouth.edu/sustainability/climate-action-plan/,--
Pomona College,2016-01-11,2016-01-11 17:28:36,alexis.reyes@pomona.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/33/6/508/3793/SAP_v3.pdf,"In the College's Sustainability Action Plan, the College set a goal that everyday copy/ printer paper purchased with college funds must contain at least 30% post-consumer recycled content, with the goal of 90% of all basic copy paper being 100% post-consumer recycled, FSC-certified, and processed chlorine free (PCF) by 2020, and that 90% of all colored paper, cardstock, and alternative sizes of paper be at least 30% post-consumer recycled.","The Treasurer's Office periodically releases information reminding offices that copy/print paper should contain 30% post-consumer recycled content. The Business Office is currently  tracking paper purchases, so will be able to remind those offices that are not complying with this directive.",True,**,--,23070.13,--,--,57.99,33505.35,http://pomona.edu/administration/sustainability/policies-procedures/paper.aspx,--
Portland State University,2016-03-24,2016-03-24 17:20:38,jenny.mcnamara@pdx.edu,2.0,Pursuing,True,,"There is a state mandate that ""No less than 35 percent of state agency procurement of paper products may be from recycled paper products. [2003 c.794 §21]"" and as a state institution, PSU must comply with that mandate. Additionally, our Sustainable Procurement policy, which is currently being vetted for formal adoption, will state:  All copy paper purchased for office copiers shall be made from 100% post consumer material and processed chlorine-free (PCF).High speed copiers shall use minimum 30% post consumer material paper","There is a state mandate that ""No less than 35 percent of state agency procurement of paper products may be from recycled paper products. [2003 c.794 §21]"" and as a state institution, PSU must comply with that mandate. Our vendors know of this requirement and also know to provide PSU with high PCW recycled content options. ",True,**,22005.0,52291.02,2899.2,22.0,29501.83,91030.5,--,"The purchasing data above is from PSU's main paper vendors, Office Depot and Staples."
