Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Level of water risk for the institution’s main campus,Total water use (potable and non-potable combined):,"Total water use, performance year","Total water use, baseline year",Potable water use:,"Potable water use, performance year","Potable water use, baseline year","Figures needed to determine ""Weighted Campus Users"":","Number of residential students, performance year","Number of residential employees, performance year","Number of in-patient hospital beds, performance year","Full-time equivalent enrollment, performance year","Full-time equivalent of employees, performance year","Full-time equivalent of distance education students, performance year","Number of residential students, baseline year","Number of residential employees, baseline year","Number of in-patient hospital beds, baseline year","Full-time equivalent enrollment, baseline year","Full-time equivalent of employees, baseline year","Full-time equivalent of distance education students, baseline year",Gross floor area of building space:,"Gross floor area of building space, performance year","Gross floor area of building space, baseline year",Area of vegetated grounds:,"Area of vegetated grounds, performance year","Area of vegetated grounds, baseline year",Start and end dates of the performance year and baseline year (or three-year periods),"Start date, performance year or 3-year period","End date, performance year or 3-year period","Start date, baseline year or 3-year period","End date, baseline year or 3-year period",A brief description of when and why the water use baseline was adopted,"Water recycled/reused on campus, performance year","Recycled/reused water withdrawn from off-campus sources, performance year",A brief description of any water recovery and reuse systems employed by the institution,A brief description of any water metering and management systems employed by the institution,"A brief description of any building retrofit practices employed by the institution, e.g. to install ...","A brief description of any policies or programs employed by the institution to replace appliances, ...",A brief description of any water-efficient landscape design practices employed by the institution ...,A brief description of any weather-informed irrigation technologies employed by the institution,A brief description of other water conservation and efficiency strategies employed by the ...,The website URL where information about the institution’s water conservation and efficiency ...,Public Notes
Princeton University,2016-01-20,2016-01-20 17:00:51,kristiw@princeton.edu,2.0,Pursuing,Medium to High,**,211701300.0,244343500.0,**,211701300.0,244343500.0,**,6836.0,241.0,--,7910.0,6323.0,--,6111.0,474.0,--,6935.0,5400.0,--,**,8912800.0,8158600.0,**,248.0,260.0,**,2013-07-01,2014-06-30,2005-07-01,2006-06-30,The baseline was adopted because this timeframe was prior to the inception of the University’s Sustainability Plan in 2007-2008.,--,--,"The University has installed a combined 18,000 gallons of capacity for rainwater storage and reuse at Butler College and the Frick Chemistry building. Butler College's system consists of a 6,000 gallon cistern, which is used for irrigation. Frick has a 12,000 gallon system in place that collects rainwater from the roof and condensate from mechanical systems in the “penthouse.” The water is used for flushing toilets.",Two types of water meters are employed to monitor building water usage on campus: compound and turbo style meters.,"The University has installed low-flow sink aerators and showerheads and dual-flush toilets across campus. There are also low-flow urinals installed in the Frick Chemistry building (1/8th of a gallon per flush) and several Sloan/Falcon waterless urinals installed on campus, including in Dillon gym and Butler College.","As a matter of practice, the University has installed low-flow aerators, sinks and showerheads wherever possible throughout campus. 	","Princeton has made it a policy to only use native species  or species’ that are already adapted to New Jersey’s region, which require less watering and are easier to maintain. ",Grounds and Building Maintenance has installed moisture sensors in the ground to analyze the moisture in the soil. The sensors then automatically notify staff when it is necessary to water the plants. ,"The Athletics department has replaced the turf on select fields with new turf that is designed to better hold water. For example, Princeton replaced the turf on Bedford Field with this new turf in 2012, which has resulted in a savings of 10,000 gallons per watering per year. ",http://sustain.princeton.edu/progress/water,--
Principia College,2016-01-30,2016-01-30 21:54:23,karen.eckert@principia.edu,2.0,Pursuing,Low,**,31647240.0,36950350.0,**,31647240.0,36950350.0,**,503.0,105.0,13.0,503.0,323.0,--,503.0,105.0,13.0,503.0,323.0,--,**,1000000.0,1000000.0,**,77.0,77.0,**,2014-01-01,2014-12-31,2011-01-01,2011-12-31,,--,--,"Dining Services recycles water squeezed from its post-consumer food waste and re-uses it on the conveyor, but then it's released to the waste water treatment plant.","Principia purchases its water from Illinois American Water Company, where it is filtered and chemically treated to meet “IEPA standards”. Once the water is used by the school, the sewage is piped down to the campus’s very own water treatment facility where the effluent from the Waste Water Treatment Plant is discharged into the Mississippi River. According to our Department of Facilities Chief Engineer, “Our discharge is very high quality and consistently meets the IEPA discharge requirements listed in our discharge permit. We have had only one excursion where an equipment failure caused a release of non-filtered into the water. Our plant has been nominated for Plant of the Year twice in the last five years.” ","The flow rating on all on-campus shower heads is 2.0 gallons per minute (gpm). The U.S. Department of Energy identifies a “low flow” shower head as any fixture that is at or less than 2.5 gpm. On aerators for new sinks, the College is installing fixtures that use 2.2 gpm (which is the minimum requirement for a low flow faucet). All new toilets are rated at 1.6 gallons per flush (consistent with the average low flow toilet).",,There is minimal irrigation on campus. Irrigation is limited to the Chapel Green and athletic fields. Landscaping is largely native and designed to be water-efficient.,,,--,--
Purdue University,2016-02-26,2016-02-26 16:45:05,mgulich@purdue.edu,2.0,Pursuing,Medium to High,**,812758696.0,1487285906.0,**,639335831.0,602086694.0,**,14460.0,--,--,37341.0,12036.0,10904.0,11524.0,--,--,34968.0,13686.0,4705.0,**,19236333.0,10909862.0,**,1371.0,1371.0,**,2014-07-01,2015-06-30,2005-07-01,2006-06-30,,--,--,Purdue has two large cisterns approximately 1000 gallons.  One is located at the south corner of the Materials & Electrical Engineering building and one under the southeast stairs at Duncan Annex (EE) which is used to collect “once-through” cooling water from DX air conditioning units in the surrounding buildings.  Those cisterns are also connected to the irrigation system on Purdue Mall.,"Purdue University installed water meters to meter all potable water use on campus in 2006 and 2007.  Those meters track water use to pay sewage usage charges to the City of West Lafayette Wastewater Treatment Utility.  The University is currently in the process of upgrading all meters for potable water, chilled water, electric and steam condensate on campus.  When complete all data points will be brought to a central collection and reporting point.",,,,"The Grounds Department at Purdue has been keeping up with irrigation technology since the 1950s to more efficiently and effectively keep campus plant materials and turf attractive and healthy.  Since the 1970s, the Grounds department has integrated control timers with the irrigation systems for better control.  Since the early 2000s, smart timers, soil probes, and rain gauges have been used for even more precision and conservation.  The department is responsible for over 1.9 million square feet of turf and over 680,000 square feet of shrub and flowerbeds.  The irrigation systems on campus contain 67 control units, over 600 in-ground control valves, and more than 10,000 irrigation heads.  The Grounds Department recently installed a new centralized irrigation control system that allows the control units to be set remotely and to incorporate weather data to help determine how much water is required.  The system includes a weather station that automatically adjusts the irrigation based upon the weather.  Projections indicate the system will save countless labor hours and 18 million gallons of water annually.",,http://www.purdue.edu/sustainability/pdf/Purdue_University_Sustainability_Strategic_Plan_April_2010.pd,--
Randolph College,2016-02-26,2016-02-26 14:25:16,llemaitre@randolphcollege.edu,2.0,Pursuing,Medium to High,**,11500000.0,11500000.0,**,11481800.0,11481800.0,**,624.0,5.0,--,681.0,234.0,--,624.0,5.0,--,681.0,234.0,--,**,700000.0,700000.0,**,84.0,84.0,**,2013-07-01,2014-06-30,2013-07-01,2014-06-30,Adopted in 2014. It had not been done before. ,--,--,Randolph College has several rainwater catchment containers to irrigate parts of campus with rain water.,"Randolph College has two water meters in two different buildings, connected to the E-Mon D-Mon software.","The college is installing many pressure assisted toilets which require less water per flush but are very effective at flushing everything in one shot. Also, all campus shower heads are low-flow, and an increasing number of faucets are low-flow as well.",Each appliance that needs replacement is replaced with high efficiency model.,"Randolph College uses drought tolerant plants in some area of campus, especially those that are not easily accessible.",The director of the grounds department uses weather data to specifically irrigate the campus based on rain/drought patterns.,,--,--
Rice University,2016-03-25,2016-03-25 16:31:25,rrj@rice.edu,2.0,Pursuing,Medium to High,**,228718800.0,253520000.0,**,228718800.0,253520000.0,**,2824.0,71.0,--,6301.33,2861.0,--,2815.0,71.0,--,6071.33,2842.0,--,**,5695320.0,5695320.0,**,142.66,142.66,**,2012-07-01,2013-06-30,2011-07-01,2012-06-30,"During the 2011-2012 school year Houston was experiencing one of the worst droughts ever recorded.  Thus, this was adopted as the baseline year to offer worst-case scenario data. ",12000000.0,--,"Condensate harvesting: Air conditioning systems provide a constant source of clean, cold water that is well suited for reuse. In the fall of 2008, Rice began capturing condensate water from the air conditioning systems of the Biosciences Research Collaborative to use as make-up water in the cooling towers of the South Plant.  This is a free source of water that Rice would otherwise have to buy from the City of Houston during the summer of 2011, Rice completed a project to capture condensate water from many of the science buildings to bring back to the Central Plant's cooling towers.  Combined, these systems are estimated to save at least 12 million gallons of water per year, which is equivalent to about 5 to 6 percent of Rice's annual water consumption in a typical year.","Several Rice buildings are individually metered for building-level water consumption, including (but not limited to) Alice Pratt Brown, Dell Butcher Hall, The Rice Stadium, the Greenbriar building, McNair Hall, the Rice Children’s Campus, the Gibbs Recreation and Wellness Center, the Biosciences Research Collaborative, and the President’s House. Otherwise, many buildings are served from master meters.  Irrigation water is typically metered separately.  ","(1) Dual–flush toilets are located in Duncan College, McMurtry College, the Biosciences Research Collaborative, Brockman Hall, and the Gibbs Recreation Center. There are more than 405 dual-flush toilets on campus. The toilets have two options, full flush and partial flush. Full flushes use 1.6 gallons of water and partial flushes, which vary between buildings due to toilet model, use either .8 or 1.1 gallons of water. It is estimated that 788,715 gallons of water per year will be saved because of the dual-flush toilets. 

(2) During the spring of 2011, the Rice Housing and Dining department partnered with the student eco-rep for Hanszen College to test a new showerhead that reduces water consumption by 40 percent with an economic payback of just a few months. The student and his roommates reported that the low-flow showerhead provided a better shower than the showerhead it replaced. With student support, during the summer of 2011, both Hanszen and Lovett Colleges were retrofitted with these new showerheads.

3) Generally speaking, most old toilets across campus were replaced in the late 1990s with newer fixtures that meet current federal standards of 1.6 gallons per flush. ",,"The University tries to select plant material that is native or well adapted to the area.  Additionally, Rice’s irrigation system has evolved to utilize drip irrigation for the campus’ landscape which is much more water-efficient than conventional watering systems. ",Each irrigation controller has a simple rain sensor attached.  The sensor delays irrigation until it has dried out.  ,,http://sustainability.rice.edu/water/,"Baseline enrollment: http://oir.rice.edu/uploadedFiles/Office_of_Institutional_Research/Content/Common_Data_Set/CDS_2011-2012%20Short%20CDS.pdf

Baseline year data is from the fall of 2011
Performance year data is from the fall of 2012
Note: We considered the number of beds to be a proxy for the number of on-campus students.  While the number of students living on-campus changes constantly during the year, the number of beds is stable each semester. "
Rochester Institute of Technology,2016-03-25,2016-03-25 15:52:28,elcpro@rit.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Saint Louis University,2016-03-24,2016-03-24 17:16:19,bverhof1@slu.edu,2.0,Pursuing,Low,**,253230912.0,333095620.0,**,253230912.0,333095620.0,**,3578.0,19.0,--,11766.0,5212.0,--,3843.0,17.0,--,12222.0,5217.0,631.0,**,5917627.0,5559419.0,**,268.0,265.0,**,2014-07-01,2015-06-30,2012-07-01,2013-06-30,"A 2013 baseline was established based on goals set forth by the University to reduce water consumption (gallons/campus acre) by 20% by 2020 over the 2013 baseline year.  Therefore, data and knowledge about initiatives occurring between these time periods can be reported which may influence fluctuations in water consumption.",--,--,"Rainworks stormwater management garden, also known as Best Management Practices (BMP) garden installed in 2014, contains three 50 gallon rain barrels with an overflow option. These are used for drip irrigation to water the surrounding plants.","Facilities Services tracks and records consumption data across individual building and groups of buildings.

Individual metered building data is provided by the local utility provider. Saint Louis University is in the process of sub-metering more individual buildings in order to collect and analyze data on building clusters. For example, some individually metered buildings include Doisy Research Center, Il Monastero Banquette Center, Litteken Hall (office building), and Beracha Hall (a classroom facility).","Use of auto-flow/auto-flush valves are determined on a project-by-project basis.
Low flow plumbing fixtures, low flow valves or aerators are installed on existing fixtures whenever possible.","Facilities Planning & Construction standard for manual bathroom faucets meet EPA WaterSense criteria and the automatic faucets meet CALGreen (California Green Building Code) criteria.

Standard washers on campus have a 3.6 Water Factor based on EPA Energy Star. The lower the Water Factor the more efficient the washer.

Standard dishwashers available in some student housing are 19% better than US Federal Standards (5 gallons/cycle). This model uses 4.07 gallons/cycle.","Rainworks stormwater management garden, also known as BMP (Best Management Practice) garden, was installed in April 2014 outside Busch Student Center in an area prone to erosion and flooding. The garden affected 5,800 square feet of impervious surface and is estimated to redirect 13,000 cubic feet of water from the combined sewer system. The BMP garden includes 3 rain barrels, 2 biorentention areas and a pervious path. 

As part of the construction of SLU’s Doisy Research Center in 2008, approximately 7,200 square feet of vegetative roof was installed on the 212,000 square foot building. The roof is an extensive system (4”) and is planted with five (5) varieties of sedum. These varieties were chosen based on their survival capacity and adaptability to a vegetative roof environment in the Midwest (Missouri) climate. 

In addition, Grounds Services uses more sustainable grasses, like Fescue, in new installations. Fescue grasses are drought tolerant, require less fertilizer, develop a deep root system and are more heat resistant. This type of grass also requires less chemical application to treat and maintain. New Installations include: Medical Center Recreation Stadium, Chaifetz Arena, Education Union, & Doisy Research Center.","All irrigation systems separate turf zones from shrub and perennial zones to eliminate unnecessary and wasteful watering. SLU also utilizes a central control irrigation management system to help reduce water usage.

SLU utilizes RainBird’s Maxicom2 Multi-Site Central Controls Systems on campus. This system monitors local weather data including evapotranspiration rates to determine if irrigation is required. The Maxicom2 system also employs four rain cans to monitor daily rainfall and suspend or cancel irrigation based on predetermined thresholds.","Facilities Services has been investigating partnership with Parks College of Aviation and Engineering to evaluate the possibilities of water conservation. One particular project under investigation is the collection of rainwater runoff from one of the University's parking garages  which could be used to fill the nearby man-made ponds located on campus.

The University also utilizes the installation of water saving technologies;  low-flow faucets, shower heads, urinals and toilets. ",http://www.slu.edu/facilities-services-home/sustainability/campus-operations/utilities,"

"
San Francisco State University,2016-03-25,2016-03-25 17:33:10,kordesch@sfsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Santa Clara University,2016-02-26,2016-02-26 20:44:38,lkalkbrenner@scu.edu,2.0,Pursuing,High,**,122507440.0,120989174.02,**,81537236.0,78527501.29,**,2861.0,31.0,--,9924.0,1543.0,--,2156.0,31.0,--,7050.0,1263.0,--,**,2892937.0,2075681.0,**,8.52,7.93,**,2014-07-01,2015-06-30,2005-07-01,2006-06-30,,--,40970204.0,"SCU uses recycled water used on 85% of campus landscaping, and recycled water is used in toilets of the Learning Commons and Locatelli Student Activities Center. Signage throughout campus indicates that landscaping is watered with recycled water.","Online meters are linked to our utility management system in University Operations (Swig Hall, Jesuit Residence Complex, and Nobili Hall). SCU also has offline meters at several buildings on campus.",Retrofitting faucet aerators that reduce the GPM flow from 2.2 gpm to 1.5 gpm.,"Water-free urinals have been installed in restrooms throughout campus. These units are estimated to conserve an average of 40,000 gallons of water per urinal per year. Residence hall laundry facilities include only front-loading washing machines, using 35-50 percent less water than top-loading models. Low-flow shower heads are used in 95% of residence halls. These shower heads spray 2.5 gallons per minute. Low-flow toilets and sink aerators have also been installed in most campus locations.","The University strives to reduce watering needs by using drought-tolerant plants where appropriate. In Spring 2015, 1200 square feet of Carex praegracilis plants, a.k.a. California native field sedge, were planted near Alumni Science, Bellomy Field, and Schott Stadium. The goal of this project is to further reduce the University’s water usage for landscaping and enhance the ecology of the campus grounds by planting drought-tolerant, native Californian grasses instead of conventional lawn turf. This native plant pilot also helps University Operations in planning the next stage of sustainable landscaping, which will be replacing the shaded lawn between the Learning Commons and Malley Recreation Center. ",,,https://www.scu.edu/sustainability/operations/buildings/water/,--
Seattle University,2016-03-23,2016-03-23 11:52:14,thompson@seattleu.edu,2.0,Pursuing,Low to Medium,**,39994598.0,36198982.0,**,39994598.0,36198982.0,**,2160.0,--,--,6454.5,1377.0,--,1845.0,--,--,6520.0,1169.5,--,**,2201508.0,2142930.0,**,20.0,20.0,**,2014-07-01,2015-06-30,2008-07-01,2009-06-30,We used the utility averages for 2007-2009 to determine the base year.,--,--,A cistern captures the rainwater off the Admissions & Alumni building and this water is used to irrigate the landscape.,About half of SU's buildings have water meters. The others are divided by two master meters (10th Ave meter and 11th Ave meter).,"Any large scale remodel or addition is encouraged to use LEED gold practices. When buildings are retrofitted, SU uses low fixtures. ","When equipment is replaced, SU is always trying to be more efficient and extend life cycles; however, there is no formal policy. ","Plants are carefully chosen to be well-suited to the soil conditions and microclimate of the particular place on campus they are to be planted, as well as to the Northwest climate in general. Attention to drought tolerance and winter hardiness is a part of the selection process. These plants should also be resistant to insect and disease infestation, and not invasive species that out-compete native species.",The computer-controlled irrigation system has sensors that prevent the irrigation system from turning on when it’s raining. ,"For irrigation, most controllers are using a ""smart irrigation system"" which automatically adjusts irrigation uses. 

Drip irrigation eliminates water lost from wind, overspray, runoff, and evaporation.  Plants are watered in the evenings, when watering is most efficient.
Plants with similar watering requirements are grouped in the same zone. We prefer native, drought tolerant plants. A layer of wood chips around the plants regulates soil temperature and reduces water loss to evaporation. 

Grass is mowed to 3 inches high, which shades the soil, reduces evaporation, and decreases water needs. Grass clippings are left on the lawn to decompose, adding organic matter to the soil and increasing its water-holding capacity. Lawns are aerated to create deep roots able to withstand longer periods between watering.",http://www.seattleu.edu/cejs/sustainability/what-su-is-doing/,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:30,mpate@sewanee.edu,2.0,Pursuing,Low to Medium,**,14841288.24,19906650.0,**,14841288.24,19906650.0,**,1603.0,12.0,--,1697.0,615.41,--,1365.0,19.0,--,1538.0,547.72,--,**,1403057.0,1180987.0,**,12820.8,12818.99,**,2014-01-01,2014-12-31,2007-01-01,2007-12-31,The water use baseline (2007) was adopted because 2007 was the first year that digital recording of water records was maintained. ,--,--,Non-potable water used from lake water during drought periods on the golf course and other site specific irrigation practices.,Sewanee has building-level water consumption metering in every building. ,,,All landscaping is non-irrigated except the golf course and athletic fields.,There is a weather-informed irrigation system at Kyle Rote Field (soccer field).,,--,"2007 is baseline year.

2014 is performance year."
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:09,andre.plante@sheridancollege.ca,2.0,Pursuing,Low to Medium,**,32583767.0,34025089.0,**,32583767.0,34025089.0,**,736.0,5.0,--,24401.0,2771.0,--,466.0,3.0,--,21204.0,2205.0,--,**,1938902.0,1557788.0,**,337445.0,337445.0,**,2013-04-01,2014-03-31,2010-04-01,2011-03-31,The baseline year was selected to be consistent with the IECMP baseline.,--,--,N/A,Most buildings have utility water meters used to track performance and check for anomalies.,"In order to reduce water usage, Sheridan Facilities have installed high efficiency fixtures such as electronic sensor faucets and standard low flow toilets and urinals. Sheridan has also switched to closed loop cooling towers and plans to reduce water use for cooling.",Sheridan follows a project standard for all retrofits; any new builds are to be consistent with LEED Gold.,Sheridan is currently looking at water-efficient landscape design practices. Drought tolerant and salt tolerant plants are being considered for future landscaping designs.,Sheridan College does not employ irrigation on-site. Some watering may be done by our landscape management company (e.g. when new sod is laid).,"Sheridan has replaced large hot water storage tanks with on-demand heaters. Future plans include hot water heating through heat exchangers with the central plant which will:
- minimize having to store large amounts of potable water and heating it continuously;
- draw what is necessary at a given time and circulating it; and
- allow substations to convert hot water into heated domestic water and circulate into buildings.

Additionally, Sheridan plans to carry out grey water recycling.",--,--
Simon Fraser University,2016-02-08,2016-02-08 23:41:38,erica_lay@sfu.ca,2.0,Pursuing,Low to Medium,**,155083259.37,179060306.0,**,155083259.37,179060306.0,**,1533.333333,--,--,24774.0,2675.11,1727.3,1350.0,--,--,19981.9,2581.33,1439.0,**,4580845.37,4015762.078,**,287.0,287.0,**,2013-01-01,2013-12-31,2007-01-01,2007-12-31,,--,--,"Retrofits of water intensive facilities such as the Fisheries facilities and in the swimming pool, converting single flow-through systems to recirculating closed loop systems.","Discovery 1 and 2-individual water meters.
Greenhouse-individual water meter.
Water meters for all of campus.
","-Aerators have been installed on sink faucets in a number of campus buildings, including ASB, TASC I, TASC II, Shrum C, B, P and K and the Library. These aerators reduce the flow rate from two gallons per minute to half a gallon per minute, saving more than 50% of the water used. Additionally, this simple retrofit saves natural gas as well, as it is our natural gas boilers which heat the water used in taps across campus.
-Residence Towers A, B, C and D and the newer buildings have low-flush toilets (high/low flushing).
-New buildings and renovations to washrooms have electronic sensors for sinks, toilets and urinals.","-Flush tanks on all urinals have been provided with a device (Water Matrix) to reduce continuous flushing with timed flushing based on sensing of a person
-Replacement of water-cooled condensers for air-conditioning units using chilled water (Pestology level 7000, Equipment room in SSB)
-Replacement of water-cooled condensers for refrigerated coolers with air-cooled condensers (Mackenzie Cafeteria)
-Replacement of water-cooled condensers for air compressors with air-cooled condensers (Boiler Room)
-Replacement of water-cooled condensers for environmental chambers with air-cooled condensers (Chemistry and Biology)
-PIAB vacuum pumps (using compressed air) in new labs and renovated labs to replace water-induced vacuum aspirators.","-Low water demand plants are selected in landscaping to require little or no irrigation.
-Manual irrigation system has been partially converted to irrigation system with timers (about 90% completed).
-Conversion of grass field to all-weather fields eliminating irrigation (Terry Fox field and Field 3).",,,--,--
Slippery Rock University,2016-02-29,2016-02-29 14:18:48,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:28:52,dweisbor@smith.edu,2.0,Pursuing,Medium to High,**,51705328.0,54968434.0,**,49905328.0,54938435.0,**,2269.0,6.0,--,2821.0,1223.0,--,2400.0,6.0,--,2748.0,1128.0,--,**,3279245.0,2775997.0,**,90.0,90.0,**,2014-07-01,2015-06-30,2005-06-01,2006-06-09,Oldest accurate data available,--,--,"Ford Hall has two cisterns to capture rainwater, with 25,000 gallons and 30,000 gallons capacity and a 5,000 gallon overflow tank. This water is for non-potable uses in the building. This reduced the overall stormwater runoff at the site by 25 percent through the combination of the cistern system and a planted rooftop that encompasses 20,000 square feet.  The cisterns are not separately metered so we don't have data to report on how much water is recycled each year.",Every occupied building has its own water meter for billing and to track water use. ,,"A student intern in the Office of Campus Sustainability is leading a project to replace Smith’s water cooled compressors.  The student began by analyzing ten years of quarterly campus water use data. She created charts and graphs to better understand our water consumption, and identified eight water-cooled refrigeration compressors as targets for replacement.  She then contacted an energy and refrigeration contractor, and the Dining Services director, and coordinated a visit for analysis of equipment conditions.  Using the campus as a lab, the Office of Campus Sustainability has engaged a Thermodynamics class in calculating exactly how often these compressors run and how much water passes through them. With this information, we hope to propose a plan of best action for the replacement of these units to improve both their efficiency and overall campus water use. ",,Smith is in the process of installing a new irrigation control system that will use input from moisture sensors in the soil across campus to determine true watering needs. ,"Smith uses water from the Mill River to directly irrigate some of its grounds, reducing the need for potable water. 

Ford Hall received the highest possible LEED rating for its water efficiency measures. The building manages water consumption through ultra-low-flow fixtures and use of captured rainwater.",--,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:20:18,huminskis1@southernct.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:21:36,glkurtzhals@siu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Southern Oregon University,2016-03-23,2016-03-23 15:38:15,beigelcod@sou.edu,2.0,Pursuing,Low to Medium,**,73220648.73,70464503.71,**,20550296.1039,15812217.36,**,961.0,--,--,4155.0,623.0,458.0,1008.0,--,--,3913.8,635.0,22.5,**,1934747.0,1042776.0,**,150.0,153.0,**,2015-01-01,2015-12-31,2004-07-01,2005-06-30,The baseline of Fiscal Year 2005 was selected because it was the first year that we had reliable records on file.,--,--,"SOU utilizes non-potable water (supplied by the Talent Irrigation District) for most of the irrigation on the Ashland Campus. The sources of the water for the Talent Irrigation District are Howard Prairie Lake, Hyatt Reservoir, Emigrant Lake, Keene Creek Reservoir, and Bear Creek and its tributaries. Potable water is only used on irrigation from November-April when the non-potable water from the Talent Irrigation District is not available. ","The Higher Education Center is a stand-alone building that was recently constructed in Medford, Oregon and serves as SOU's Medford Campus. Water is metered separately for this building using a commercial water meter provided by the Medford Water Commission. ","The university is continuously working to replace existing plumbing fixtures with high efficiency fixtures and fittings. All plumbing fixtures are replaced with low flow, high efficiency products.","The university upgrades existing equipment, appliances, and systems with water-efficient selections whenever possible. The university's Green Purchasing Policy directs: ""Purchase only the most water-efficient appliances available, including, but not limited to, high-efficiency toilets, low-flow faucets and aerators, and upgraded irrigation systems.""","The SOU Xeriscape policy is to reduce planter sizes by mulching and removing high water usage plants. Our xeriscape policy also uses Meditteranean plants that have evolved in similar climates to ours. Local natives that are indigenous to high desert or semiarid environments as well as deep rooted, drought tolerant stress species are being chosen for new plantings. Turf irrigation is lowered or reduced to the point of compensation through observation as we do not yet have ET (evapotranspiration) data input to a centralized irrigation system although we have installed compatible irrigation clocks for future upgrades.  Additionally, in older more established plantings, especially on slopes, we have capped off sprinkler heads and rely on overspray from nearby plantings.",Southern Oregon University's Landscape Services Department uses moisture sensors that monitor soil temperature and water saturation. The sensors automatically adjust the irrigation timing to preset plant demands for water.,"Southern Oregon University (SOU) students are working with the Bonneville Environmental Foundation (BEF) to meet an ambitious new sustainability goal: to become the first campus to balance 100% of its on campus water use with an equal amount of water restored to a critically dewatered ecosystem. Through the purchase of BEF Water Restoration Certificates® and custom project selection, SOU student funds have launched a new water flow restoration project in the nearby Klamath River Basin. Over the upcoming five-year period, the university will restore approximately 80 million gallons of water per year to this critically dewatered ecosystem.",http://sou.edu/sustainable/action.html,"http://www.sou.edu/sustainable/hec.html
http://www.b-e-f.org/partner/southern-oregon-university/"
Spelman College,2016-02-15,2016-02-15 08:21:25,aefrazier@spelman.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
St. John's University,2016-03-02,2016-03-02 16:31:34,goldsmit@stjohns.edu,2.0,Pursuing,Medium to High,**,138434604.0,169392828.0,**,138434604.0,169392828.0,**,3302.0,4.0,--,16295.0,963.0,392.0,3392.0,3.0,--,18783.0,958.0,133.0,**,2643587.0,2643587.0,**,44.3,44.3,**,2014-09-01,2015-10-01,2009-09-01,2010-08-01,"Due to information available, the baseline year is 2010. Information used in this document can be found in the Office of Institutional Research's ""2010 Fact Book"" via http://www.stjohns.edu/sites/default/files/documents/ir/factbook2010-fall-fact_book.pdf",--,--,We have an artesian well that feeds most of the campus underground irrigation infrastructure.,"It is on an online utility tracking system through ""Buildings OS"". It tracks the water consumption once a quater.",The Department of Sustainability has fitted the Residence Village bathrooms with water restricting shower heads and facuets.,"This past summer, the Sustainability Department replaced inefficient laundry rooms with water efficient/energy efficient appliances.","When practical, the landscape architect specifies native, hearty, and drought and salt tolerant plants.  ","In house grounds keeping monitors daily rainfall, and adjusts the need for irrigation.","The Montgoris dining hall kitchen had been fitted with a push petal for dishwashing to reduce the chance of running water while cleaning.  Through St. John's organic soils management planning, the University brews and sprays compost tea to reduce the need to frequently water our grounds. A storm water retention design has been incorporated into the North East part of campus. ",http://www.stjohns.edu/campuses/sustainability/stewardship,--
