Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Do all enrolled students, regardless of type or status, have an avenue to participate in one or ...",A brief description of the mechanisms through which students have an avenue to participate in one ...,Is there at least one student representative on the institution’s governing body who was elected by ...,"A brief description of student representation on the governing body, including how the ...",Do students have a formal role in decision-making in regard to the following?,"Do students have a formal role in decision-making in regard to establishing organizational mission, ...","Do students have a formal role in decision-making in regard to establishing new policies, programs, ...",Do students have a formal role in decision-making in regard to strategic and long-term planning?,Do students have a formal role in decision-making in regard to existing or prospective physical ...,"Do students have a formal role in decision-making in regard to budgeting, staffing and financial ...",Do students have a formal role in decision-making in regard to communications processes and ...,Do students have a formal role in decision-making in regard to prioritization of programs and ...,"A brief description of the formal student role in regard to each area indicated, including examples ...","Do all staff, regardless of type or status, have an avenue to participate in one or more governance ...",A brief description of the mechanisms through which all staff have an avenue to participate in one ...,Is there at least one non-supervisory staff representative on the institution’s governing body who ...,"A brief description of non-supervisory staff representation on the governing body, including how ...",Do non-supervisory staff have a formal role in decision-making in regard to the following? ,Do non-supervisory staff have a formal role in decision-making in regard to establishing ...,Do non-supervisory staff have a formal role in decision-making in regard to establishing new ...,Do non-supervisory staff have a formal role in decision-making in regard to strategic and long-term ...,Do non-supervisory staff have a formal role in decision-making in regard to existing or prospective ...,"Do non-supervisory staff have a formal role in decision-making in regard to budgeting, staffing and ...",Do non-supervisory staff have a formal role in decision-making in regard to communications ...,Do non-supervisory staff have a formal role in decision-making in regard to prioritization of ...,"A brief description of the formal staff role in regard to each area indicated, including examples ...","Do all faculty, regardless of type or status, have an avenue to participate in one or more ...",A brief description of the mechanisms through which all faculty (including adjunct faculty) have an ...,Is there at least one teaching or research faculty representative on the institution’s governing ...,"A brief description of faculty representation on the governing body, including how the ...",Do faculty have a formal role in decision-making in regard to the following?,"Do faculty have a formal role in decision-making in regard to establishing organizational mission, ...","Do faculty have a formal role in decision-making in regard to establishing new policies, programs, ...",Do faculty have a formal role in decision-making in regard to strategic and long-term planning?,Do faculty have a formal role in decision-making in regard to existing or prospective physical ...,"Do faculty have a formal role in decision-making in regard to budgeting, staffing and financial ...",Do faculty have a formal role in decision-making in regard to communications processes and ...,Do faculty have a formal role in decision-making in regard to prioritization of programs and ...,"A brief description of the formal faculty role in regard to each area indicated, including examples ...",The website URL where information about the institution’s governance structure is available,Public Notes
Sterling College,2016-01-28,2016-01-28 10:04:24,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,True,"All students have access and ability to participate on at least one of the shared governance bodies of the institution. These include the Community Council, the Academic Council, and the Work Council. In addition, there are various committees that students may serve on including the Equity Committee and the Lands & Energy Committee and the Risk Management Committee",True,"The Work Council appoints certain members of its governing body. These are general Community Advisors, Work Program Supervisors, or others higher up in the Federal Work Program. ",**,True,True,True,True,--,True,True,"Students who participate in the shared bodies of governance have the ability to participate in decision making in all of the above with the exception of financial planning, which falls under the Board of Trustees and the Administrative Council. Students who participate on bodies of governance may help to allocate resources, such as a Lands & Energy Committee member would do, or they could vote on new community guidelines in the dorms, such as a Community Council member could do. 

In the process of forming a new Strategic Plan in 2013, members of the student body participated in the drafting and passing of the document. ",True,"Many staff participate in a body of governance. Facilities and maintenance crews serve on the Lands & Energy committee, for example. The Dean of Community is the facilitator of the Community Council. ",--,,**,True,True,True,True,--,True,True,"Just as students, non-supervisory staff have the option to serve on any of the above committees in the same positions and roles as students do. For instance, Laura Lea Berry, Registrar, is part of the Enrollment Committee. ",True,"Just like students, faculty also participate and usually facilitate one of the governing bodies. Adrian Owens, Faculty in Outdoor Education, for example, is a member of the Lands & Energy Committee. ",--,,**,True,True,True,True,True,True,True,"Faculty have the exact same access as listed above; however, a few members of faculty serve on the Administrative Council, which also guides financial planning. All others are the same access and roles as students and staff. Faculty generally, however, facilitate or serve as more of a leadership role in the governing bodies. ",http://www.sterlingcollege.edu/wp-content/uploads/2014/08/Org-chart-Fall-2014-for-web.pdf,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:22:07,gotham360@stevens.edu,2.0,Pursuing,True,There is an undergraduate Student Government Association,--,,**,--,--,--,--,--,--,--,,--,,--,,**,--,--,--,--,--,--,--,,True,There is a Faculty Senate where members are elected by entire faculty body.,True,There are two faculty members that where members are elected by entire faculty body.,**,True,True,True,True,True,True,True,"While there are no formal guidelines or policies for faculty involvement in each specific area, faculty members are involved in the decision making process through various comittees, including the board of trustees and the faculty senate.",--,--
Syracuse University,2016-03-25,2016-03-25 15:33:59,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Temple University,2016-02-09,2016-02-09 14:47:18,kathleen.grady@temple.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Texas A&M University,2016-01-15,2016-01-15 14:24:58,kwellman@tamu.edu,2.0,Pursuing,True,"Mission:
To serve Texas A&M University by representing student opinion, addressing campus needs through targeted programming and the maintenance of tradition, and providing opportunities for leadership development in order to enrich the quality of student life.

Structure:
The Student Government Association (SGA) operates under one constitution and each branch operates under its respective by-laws.  The SGA Operations Manual provides guidelines with which all members of SGA operate.

TAMU Student Government Association is 3 branches, 4 commissions, and 15 committees, all working together to implement changes, provide students with a voice, and develop future leaders.

The three branches of SGA work together to capture student opinion and propose legislation to create change across the campus  community, state, and nation! The Student Body President’s Executive Council, in conjunction with the Student Senate, tackle issues  related to academics, tuition and fees, shared governance, dining services, transportation and parking, along with student matters associated with the Bryan/College Station communities.

Other leadership opportunities are provided through participation in SGA’s multiple committees, who work hard to provide service to  the community, host distinguished conferences, and uphold A&M traditions. To ensure fluidity and balance in SGA’s operations, Judicial  Court serves to answer questions concerning constitutional interpretation, legislation, and elections. Any student may file an appeal  with the Court in such cases as election violations or alleged neglect of duties on the part of an elected official.
",--,,**,--,--,--,--,--,--,--,,True,"Mission:
The University Staff Council (USC) stated mission is to represent the interests of and address the issues impacting both classified and non-classified staff employees under the leadership of the Texas A&M University President.

Purpose:
The council will provide a voice and integrate staff perspective by:
Acting as a conduit for two-way communication between staff and administration.
Engaging staff and bringing their interests before the administration.
Identifying university issues and their impact on staff.
Exploring and researching possible solutions.
Providing options and recommendations to the President.
Interacting with other councils.",--,,**,--,--,--,--,--,--,--,,True,"All full time faculty, regardless of status, have an opportunity to vote for or be members of the university Faculty Senate. This body has mandated oversight over all curricular matters, which includes new courses, new academic program, major course or program revisions, changes to departmental or college structure, new majors and new or modifications to interdisciplinary programs. The senate also has advisory functions over most other issues concerning faculty and students. 

Senators are elected as representatives of their academic college and all full time faculty can vote for the list of nominated faculty senators. 

Council of Principle Investigators is a second elected faculty body that represents the research mission specifically of the university. This body is primarily advisory but because it represents all funded researchers has significant clout on campus.

Council of Built Environment is a body of faculty, staff, students and administrators that makes recommendations to the president on all aspects of the campus built environment in support of the university's core mission of teaching, scholarship and research, and engagement. Student government is represented on the council, as is Faculty Senate and the Council of Principal Investigators who appoint their own representatives. 
",--,,**,--,--,--,--,--,--,--,,http://president.tamu.edu/administration/councils-and-committees/index.html,"http://sga.tamu.edu/

http://staff.tamu.edu/"
Texas Tech University,2016-03-25,2016-03-25 15:47:56,carey.hewett@ttu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
The Ohio State University,2016-01-26,2016-01-26 15:46:58,dial.15@osu.edu,2.0,Pursuing,True,"Students are able to participate in one or more governance bodies through the Student Government which consist of three recognized student entities – Undergraduate Student Government (USG), the Council of Graduate Students (CGS), and the Inter-Professional Council (IPC).",True,"The student members of Ohio State’s Board of Trustees are appointed by the governor, with the advice and consent of the University Senate, from a group of five candidates selected by the university's student governments.  ",**,True,True,True,True,True,--,--,"1.	Establishing organizational mission, vision, and/or goals
The President and Provost’s Council on Sustainability (PPCS) is a group of leadership representing academics, research, operations, medical center, athletics, student life and student government, joined in a shared mission and collective dialogue to provide strategic advisement on the integration of sustainable practices, programs, and projects throughout the university. Student representatives on the PPCS include the president of the Undergraduate Student Government, president of the Council of Graduate Students, and the president of the Inter-Professional Council.  Recently, the PPCS developed strategic sustainability goals to support Ohio State’s overarching core goals.  

2.	Establishing new policies, programs, or initiatives
The University Senate, created by the Board of Trustees, was delegated the legislative authority of the University Faculty over educational and academic policy.  Of the 137 members on the University Senate, 41 are student representatives from the Undergraduate Student Government (USG), the Council of Graduate Students (CGS), and the Inter-Professional Council (IPC).  

3.	Strategic and long-term planning
The Undergraduate Student Government (USG) has several sub-committees that are involved in strategic and long-term planning.  One committee, the Health and Safety Committee works in collaboration with University Dining Services, University Recreational Sports, Student Wellness Center and various other departments across campus in developing and publicizing the resources and services that exist on campus advancing student health, wellness and safety.  

4.	Existing or prospective physical resources
The Undergraduate Student Government’s Sustainability and Environmental Affairs Committee collaborates with multiple groups throughout the entire Ohio State community to implement sustainability projects, policies, and educational initiatives. In 2015, the committee was involved in the planning and implementation of the university’s bike share program, which is one of the largest Bike Share programs in the nation.

5.	Budgeting, staffing and financial planning
The University Senate’s Fiscal Committee is comprised of 22 members of which 2 members are from Undergraduate Student Government, 1 from the Council of Graduate Students, and 1 from the president of the Inter-Professional Council.  The committee has full access to all fiscal documentation necessary to perform the following functions:
(1)	Review, on a continuing basis, the fiscal policies and resources of the university;
(2)	Advise the president on the alternatives and strategies for the long-term and short-term allocation of university resources consistent with maintaining the missions of the university;
(3)	Analyze resources and budgets from an overall university-wide perspective;
(4)	Analyze resources and budgets in detail for centrally supported vice presidential units;
(5)	Advise the president, in the event of an imminent financial crisis, whether a determination of financial exigency is warranted; and
(6)	Report annually to the faculty council and the senate on the budgetary and fiscal condition of the university.

Major projects included a Program Fiscal Review of the Office of Facilities Operations and Development, a review of the May Session Funding Policy, a review of the Student Fee Structure, review and input on the Parking Concession Agreement status and report, a discussion on Regional Campus roles and financial structure and a proposal for the FY 2015 regional campus allocations, as well as the annual review and analysis of various components of the FY 15 budget. 

",True,"Any university staff member with two years of continuous regular staff service, with an FTE of 75% or higher at the time of active membership, who is not covered by a bargaining agreement, nor is a member of a union represented at the university, is eligible for membership in the University Staff Advisory Council.  ",--,,**,True,True,True,True,True,True,--,"1.	Establishing organizational mission, vision, and/or goals
At the request of the Provost, a university-wide effort was begun to develop a succinct set of sustainability goals for establishment across the university.  All students, faculty and staff were able to solicit their information for consideration in goal development.  

2.	Establishing new policies, programs, or initiatives
The University Staff Advisory Council has been instrumental in the implementation of new policies and programs including finding ways to increase the attention on work-life issues and obtaining appropriate resources for staff to complete their tasks. 

3.	Strategic and long-term planning 
Ohio State engages all members of its community in strategic and long-term planning by having every college and support unit—in collaboration with its constituents—develop a strategic plan to prioritize objectives and guide decision-making. All are founded in the overarching principles of Ohio State’s vision, mission, and values.  

4.	Existing or prospective physical resources
Council on the Physical Environment (COPE) will provide advice and counsel on the plan, with special emphasis on providing broad and encompassing perspective on the projects potential affects to the academic enterprise and quality of life for the university community. Provide oversight of the overall process and serve as the main liaison with University Senate.  COPE reviews and recommends action regarding proposed major projects, including the teaching and learning environment to ensure adequate classroom and teaching laboratory space; the movement around campus to ease movement around campus by all relevant means, including but not limited to pedestrian, bicycle, motorized traffic, and mass transportation; and the campus and the university district environment: activities undertaken to facilitate campus master planning and to implement the plans adopted.

5.	Budgeting, staffing and financial planning
The University Staff Advisory Council’s Fiscal Subcommittee reviews, on a continuing basis, the fiscal policies and resources of the university, and advises the president on the alternatives and strategies for the long-term and short-term allocation of university resources consistent with maintaining the missions of the university.  Additionally, this committee analyzes the resources and budgets from an overall university-wide perspective. 
 
6.	Communications processes and transparency practices
The Office of Diversity and Inclusion is a unit of the Office of Academic Affairs, led by the Vice Provost for Diversity and Inclusion with a staff of approximately 80 FTE.  Their mission is to advance academic excellence by increasing and advocating for campus diversity and inclusion. The committee studies issues that relate to the implementation of the university nondiscriminatory policy.  The Diversity Committee is comprised of 16 members, of which,
",True,"Of the 137 members on the University Senate, 71 are faculty from eighteen colleges, the University Libraries, the Military Sciences, and the four Regional Campuses.  All faculty including persons with associated titles are permitted to participate in college or academic unit governance where approved by a vote of at least a majority of its tenure track faculty and also clinical and research faculty in those colleges and units where they have been given voting rights.",--,,**,True,True,True,True,True,--,--,"1.	Establishing organizational mission, vision, and/or goals
At the request of the Provost, a university-wide effort was begun to develop a succinct set of sustainability goals for establishment across the university.  All students, faculty and staff were able to solicit their information for consideration in goal development.  Upon completion of the public input phase, working group teams made up of students, staff, and faculty met over several months to refine the goals to their final state. 

2.	Establishing new policies, programs, or initiatives
The University Senate, created by the Board of Trustees, was delegated the legislative authority of the University Faculty over educational and academic policy.  Of the 137 members on the University Senate, 71 are faculty from eighteen colleges, the University Libraries, the Military Sciences, and the four Regional Campuses. 
 
3.	Strategic and long-term planning
Ohio State has been exploring a private partnership for comprehensive energy management, which envisions a lease with a private group that would provide benefits in conservation, energy supply, operations, and affinity.  As the university moves into phase II of the process (Requests for Information), the Faculty Advisory Group will provide advice and counsel on the plan, with special emphasis on technical evaluation of the potential proposals and mechanisms for achieving energy reductions, overall savings in power purchase and efficiencies for the university. This group has been created with advice from Office of Academic Affairs leadership, including deans and vice provosts, from the more than 400 faculty members at the university with expertise in various areas of energy, sustainability and climate research. 

4.	Existing or prospective physical resources
Ohio State has been exploring a private partnership for comprehensive energy management, which envisions a lease with a private group that would provide benefits in conservation, energy supply, operations, and affinity.  As the university moves into phase II of the process (Requests for Information), the Council on the Physical Environment (COPE) will provide advice and counsel on the plan, with special emphasis on providing broad and encompassing perspective on the project’s potential affects to the academic enterprise and quality of life for the university community. Provide oversight of the overall process and serve as the main liaison with University Senate.  

5.	Budgeting, staffing and financial planning
The University Staff Advisory Council’s Staff Compensation and Benefits Subcommittee (SCBS) conducts and analyzes staff surveys regarding issues like compensation and benefits. Based on the surveys that are conducted, SCBS develops, prepares and executes the SCBS Presentation to the President.  
",--,--
Tufts University,2016-02-25,2016-02-25 15:40:33,tina.woolston@tufts.edu,2.0,Pursuing,True,All schools have student councils or governments. ,--,"Undergraduate and graduate schools send one elected representative to standing committees of the board to act as non-voting members. The committees with student representation are (1) Academic Affairs, (2) Administration and Finance, and (3) Advancement. 

Both graduate and undergraduate representatives have the opportunity each year to present topics of their choice to the full board. ",**,True,True,--,True,--,--,True,"- Students were encouraged to participate in revision of the vision and mission during the creation of the new strategic plan (T10) in 2013. 
- Students are regularly included in working groups to consider policy and programs, and often students initiate suggestions for policy and programs. For example, the Tufts Labor Coalition worked with the administration to have the university join the Worker's Rights Consortium in 2014.  The Worker Rights Consortium (WRC) is an independent labor rights monitoring organization, conducting investigations of working conditions in factories around the globe. http://www.workersrights.org/about/as.asp 
Students have also successfully advocated for the creation of majors in Africana Studies and Community Health. 

- Students are on the Arts, Sciences, and Engineering Facilities Committee and often present to faculty committees making decisions about programs and priorities
- Strategic planning is also done at the school level and student input is encouraged. 
- Student input is also solicited through the 'senior survey' - a very extensive survey that all graduating seniors are required to complete in order to graduate. ",--,Schools have a variety of administrative feedback groups to advise leadership.,--,,**,True,True,True,--,--,--,--,"Non-supervisory staff are encouraged to contribute to the organizational mission and strategic planning through open meetings, on-line feedback mechanisms and office hours with senior administrators. Some non-supervisory staff participate in working groups for new policies, programs, or initiatives or provide input to their supervisors.",True,See below.,--,"Faculty select representatives to standing committees of the board to act as non-voting members. The committees with faculty representation are (1) Academic Affairs, (2) Administration and Finance, and (3) Advancement. The faculty representation rotates among the school faculties. ",**,True,True,True,True,True,--,True,"Faculty discuss, deliberate and vote at school faculty bodies regarding school policy and resources.  For example decisions about credit for on-line courses were made by the faculty in Arts Sciences and Engineering at their joint faculty meeting.  Planning and decisions about new facilities on the Medford campus are made through the capital budget process reflecting the needs expressed by faculty and approved by the University Executive Capital Committee.  For example currently faculty are the primary members of working groups convened to determine the program for the design of a new science and engineering center. ",http://www.tufts.edu/home/get_to_know_tufts/university_leadership/,--
Tulane University,2016-02-04,2016-02-04 11:04:02,ldavey@tulane.edu,2.0,Pursuing,True,Undergraduate students are represented through USG (Undergraduate Student Government) and ASB (Associated Student Body).  Graduate and professional students are represented through ASB and GAPSA (Graduate and Professional Student Organization).,True,"The Presidents of USG, ASB and GAPSA serve as voting members of the University Senate.  Student representatives are included in some of the Senate subcommittees.  They are invited guests to Board of Tulane meetings.  Student representatives are included on the Academic Affairs and Student Affairs subcommittees.",**,True,True,True,True,--,True,True," It is the university’s practice to routinely include student representatives on task forces, searches, planning committees, and the like.  Recent examples would include student representation on the Task Force on the Undergraduate Experience, convened in the 2014-2015 academic year, and which made recommendations regarding strategic and long term planning, physical resources, new programs and prioritization of same.  The Yulman Stadium Game Day Committee, convened in 2013, continues to have ongoing student representation and encompasses policies, use of existing physical resources, planning and communications.  Student representation was included in the Presidential Search Process in 2013-2014; new leadership arguably has significant impact on strategic initiatives and goals.",True,"The Staff’s representative body is the Staff Advisory Council. The Staff Advisory Council (SAC) is comprised of staff members elected by their peers and includes representation from all of Tulane’s campuses.  All staff are eligible for nomination and participation, regardless of title or supervisory responsibility.

SAC representatives serve on the University Senate as well as subcommittees thereof.  SAC representatives also are invited guests to Board of Tulane meetings.
",True,See above.  ,**,True,True,True,True,--,True,True,"As with students, Staff play an important role lending expertise and input to task forces, searches, planning groups, search committees and the like.  A staff representative was included on the 2013-2014 Presidential Search Committee, as well as numerous other administrative searches over the past ten years.",True,"Faculty may either run directly or vote for representatives on the University Senate.  There are designated Senate representatives to the Board of Tulane.  Additionally, Senators may be appointed as members to Board of Tulane committees.
Faculty, in addition to the avenues noted above, may participate in their individual school or college faculty governing bodies.
",True,"Faculty Senators are invited to participate on Board of Tulane committees, as well as to attend Board of Tulane meetings.  Senators are elected by peers, and then are recommended for Senate committee leadership.  Senate Committee leadership informs appointment to Board of Tulane committees.  The two Board of Tulane representatives are elected by the Senate.",**,True,True,True,True,True,True,True,"The university undertook a Strategic Planning process from 2011-2013; each school contributed a strategic plan which was drafted by faculty.  Additionally, two faculty representatives served on the 2013-2014 Presidential Search Committee.  There is a Senate Committee of Physical Facilities, and the Chair of that committee serves as a member of the Board Committee on Physical Facilities.  The Senate Budget Committee actively participates in the annual budget review and planning.  In the past year, faculty has led two efforts focused on new initiatives and the prioritization of efforts through the Task Force on the Undergraduate Experience and the Task Force on Academic Collaborations.  Faculty are also well-represented on the Budget Redesign Steering Committee and the Operational Review Steering Committee.",http://tulane.edu/senate/,See also the websites Tulane.edu/sac and Tulane.edu/administration/board
Unity College,2016-03-25,2016-03-25 15:25:08,JdeHart@unity.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University at Albany,2016-02-23,2016-02-23 17:54:17,mmallia@albany.edu,2.0,Pursuing,True,"The main governing body of the university is the University Council and University Senate.  The Senate includes faculty, staff, non-voting administrators, and students (graduate and undergraduates). Undergraduate and graduate students have one non-voting seat on the University Council (Board of Trustees) each. Graduate students have 5 seats in the University Senate, and undergraduate have 10 seats. Grads and undergrads also have voting representation in the SUNY System Student Assembly.

There are approximately a dozen executive positions for undergraduates (Student Association) and approximately six for graduates (Graduate Student Association). There are 30-40 students in each legislative body. There are hundreds of leadership positions available in undergraduate and graduate student groups. 

There is also a University at Albany foundation board that provides advice and counsel regarding fund raising, gift and grant management and developing and managing real property.  There is a student representative who sits on this board as well.",True,"There are 5 graduate students and 10 undergraduate students on the Senate, which makes up about 20% of the entire University Senate. There are several additional positions available for these students on Senate Councils and subcommittees.These student representatives are selected either by election or appointment by the Graduate Student Association and the Student Association. The University Council consists of 10  members, 9 of which are appointed by the Governor and the remaining seat is for a student elected representative (undergraduate).  In addition, there is a graduate student representative appointed to the council.  
The student representative for the University at Albany Foundation board is an elected position.
",**,True,True,True,True,True,True,True,"All of these issues of resources, planning, curriculum, communication, mission and vision go through one or more of the University's Senate Councils, which both undergraduate and graduate students have representation on. This includes the University Planning and Policy Council, the Graduate Academic Council, and Undergraduate Academic Council. Other Councils include the Council on Academic Assessment, Council on Research, among others. Additionally, large scale governance issues such as long term strategic planning are often handled by steering committees or task forces which are formed through a formal consultation process with the University Senate's Governance Council (which has student representation). For example, in the last three years the Senate has had a role in developing and approving a College of Engineering and Applied Sciences, the expansion of programs such as online TESOL certificates, majors and certificates in Human Development, Homeland Security, Cybersecurity, and Emergency Preparedness, the re-constitution of the committee on freedom of expression, academic freedom and community responsibility. The University Senate also had a role in forming Blue Ribbon Panels to investigate the working conditions and wages of Graduate Teaching Assistants and Contingent Faculty. ",True,"Faculty is defined by the University bylaws as including both teaching and professional staff. All of these groups have representation on the University Senate and all councils and committees. 
Members of classified staff  (CSEA) are not included in the faculty senate.  Their avenue of participation in governance bodies would be through the Joint Labor Management Committee as well as express concerns over university matters and/or working conditions via the local CSEA chapter (#691) http://www.csea691.com/  ",--,The governing bodies that would most apply in this situation are the University Council and University Senate.  Members of classified staff/CSEA do not have a representative at the University Senate and members of the University Council are appointed by the Governor.   ,**,True,True,True,True,True,True,True,"All of these issues of resources, planning, curriculum, communication, mission and vision go through one or more of the University's Senate Councils, which professional staff have representation on. This includes the University Planning and Policy Council, the Graduate Academic Council, and Undergraduate Academic Council. Other Councils include the Council on Academic Assessment, Council on Research, among others. Additionally, large scale governance issues such as long term strategic planning are often handled by steering committees or task forces which are formed through a formal consultation process with the University Senate's Governance Council. For example, in the last three years the Senate has had a role in developing and approving a College of Engineering and Applied Sciences, the expansion of programs such as online TESOL certificates, majors and certificates in Human Development, Homeland Security, Cybersecurity, and Emergency Preparedness, the re-constitution of the committee on freedom of expression, academic freedom and community responsibility. The University Senate also had a role in forming Blue Ribbon Panels to investigate the working conditions and wages of Graduate Teaching Assistants and Contingent Faculty. ",True,"The Vice Chair of the Senate also sits on the University Council. Three elected representatives serve in the SUNY System Faculty Senate and report back to the University Senate. 

All faculty members can run for University Senate positions in their School or College. There are two positions for part-time adjunct faculty. However, part-time faculty do not yet have voting rights but they can serve on the Senate's Councils and subcommittees. ",True,The governing body is primarily made up of teaching and professional faculty selected through faculty wide elections (faculty includes professional staff and teaching faculty). ,**,True,True,True,True,True,True,True,"All of these issues of resources, planning, curriculum, communication, mission and vision go through one or more of the University's Senate Councils, which faculty have representation on. This includes the University Planning and Policy Council, the Graduate Academic Council, and Undergraduate Academic Council. Other Councils include the Council on Academic Assessment, Council on Research, among others. Additionally, large scale governance issues such as long term strategic planning are often handled by steering committees or task forces which are formed through a formal consultation process with the University Senate's Governance Council. For example, in the last three years the Senate has had a role in developing and approving a College of Engineering and Applied Sciences, the expansion of programs such as online TESOL certificates, majors and certificates in Human Development, Homeland Security, Cybersecurity, and Emergency Preparedness, the re-constitution of the committee on freedom of expression, academic freedom and community responsibility. The University Senate also had a role in forming Blue Ribbon Panels to investigate the working conditions and wages of Graduate Teaching Assistants and Contingent Faculty. ",http://www.albany.edu/senate/,--
