Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Percentage of total dining services food purchases comprised of conventionally produced animal ...,A brief description of the methodology used to track/inventory expenditures on animal products,"Does the institution offer diverse, complete-protein vegan dining options at all meals in at least ...","Does the institution provide labels and/or signage that distinguishes between vegan, vegetarian ...",Are the vegan options accessible to all members of the campus community?,"A brief description of the vegan dining program, including availability, sample menus, signage and ...",A brief description of other efforts the institution has made to reduce the impact of its ...,The website URL where information about where information about the vegan dining program is ...,Annual dining services expenditures on food,Annual dining services expenditures on conventionally produced animal products,Annual dining services expenditures on sustainably produced animal products,Public Notes
Connecticut College,2016-02-28,2016-02-28 16:33:01,jstoffel@conncoll.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,Freeman House has a vegan dining hall on its first floor. It serves food options that do not contain animal products.
Cornell University,2016-03-18,2016-03-18 08:39:35,cma18@cornell.edu,2.0,Pursuing,34.0,,True,True,True,"One of Cornell Dining’s top priorities is to offer vegan and vegetarian entrees, sides, soups, and grab-n-go items in all of its dining locations.  At each of the ten All You Care to Eat (AYCTE) locations, it is a standard to offer a complete protein vegetarian or vegan entrée and side dish at the hot traditional station.  Some examples of the vegan options include sweet potato cashew patties, tofu and broccoli stir fry, tempeh scaloppini, and quinoa stuffed peppers.  In addition to the hot traditional stations at the AYCTE locations, there is always a vegan or vegetarian soup, and vegan options at the salad bar, grill, and deli including hummus, grilled portobello mushroom, and tomato masala soup.  Vegan pizzas are highlighted weekly at North Star dining and vegan desserts are served daily, including vegan pies, vegan cake, vegan puddings, and house made vegan cookies.
AYCTE locations offer soy, rice, and almond milk as dairy free alternatives.

Cornell Dining also has over 20 retail locations.  Each location boasts different vegan items on the menu. In the Fall 2014 semester, vegan pizzas, vegan quesadillas, and vegan pasta bakes have been added to menus at three different retail locations.  
Additionally, Cornell Dining has one retail location, One World Café, where the entire menu offers only vegetarian or vegan options.  Examples of vegan options sold at retail operations include: Suzie’s Reuben (a vegan sandwich made with vegan cheese and locally produced seitan), the Atrium Vegetable Wrap (local tofu with a carrot, edamame, and cucumber salad on a wrap) and Poblano Small Planet Burger.

Cornell Dining also offers a number of healthy ""grain bars"" which over a wide variety of whole grains and legumes.  Additionally, this semester, whole grains salads, including vegan friendly quinoa, and farro, wheatberries, and bulgur are prepared in vegan and vegetarian ways and sold in grab and go cups at different coffee shops and retail locations.  

At Jansen’s Market, one of Cornell Dining’s convenience stores, a Peanut Butter Sandwich Bar is featured.  Customers can make their own sandwich with fresh peanut butter, ground on site, with various ""toppings"" and whole grain bread.",,http://dining.cornell.edu/,--,--,--,"It is important to note that Cornell gets the majority of it's dairy products from the Cornell Dairy plant that is part of its Campus.  Nearly all of the milk, ice cream and bulk yogurt are produced right at Cornell."
Creighton University,2016-02-24,2016-02-24 14:08:42,mjduda@creighton.edu,2.0,Pursuing,11.0,,True,True,True,Vegan options are offered at every meal.,,http://www.tomorrowstarts2day.com/,--,--,--,--
Denison University,2016-02-15,2016-02-15 15:55:31,kingje@denison.edu,2.0,Pursuing,8.0,,True,True,True,"Vegan options are available every meal, including specialty items like vegan cream cheese, cheeses, nutritional yeast at the salad bar, soy milk dispensers and almond milk by request, even vegan ice cream and the occassional vegan brownie for dessert.  Our late night dining location features vegan and gluten free mac'n'cheese.  We also started a mindful monday (positive spin on Meatless Monday) campaign.","We offer a vegetarian (often vegan) option at every meal, usually every station, and we always put the vegetarian options first hoping people will try it before they get to the meat later on.  We've cut down on our red meat purchases this year and focused more on chicken as we've secured a local chicken producer as a partner.  We also focus on offering products free of animal products in our C-store, even our late night option that features a vegan and gluten free mac-n-cheese.",--,2329365.0,200000.0,710000.0,--
Dickinson College,2016-03-08,2016-03-08 10:06:39,welkerm@dickinson.edu,2.0,Pursuing,43.1,"Currently, we only tag meat purchased from our USDA organic College Farm as sustainably produced animal product. ",True,True,True,"Dickinson has offered vegetarian options at lunch and dinner for nearly two decades. Vegan dining was introduced twelve years ago. Vegan dining has been formalized in the KOVE, an area of the dining hall dedicated to vegan and kosher dining. Keeping kosher doesn’t have to mean just matzo-ball soup, and vegan options today go far beyond simple salads or soy-cheese pizza. That’s why the Dining Hall includes the KOVE (kosher + vegan). Certified by Star-K, an internationally recognized kosher-certification agency based in Baltimore, and overseen by two mashgichot (kosher food-preparation supervisors), the KOVE is open for lunch and dinner Sunday through Friday afternoon (no dinner served on Friday).

Vegan options are available in the Union Station dining facility as well.",,http://www.dickinson.edu/info/20205/campus_dining/2636/dietary_information,3136776.24,1351717.36,187479.34,--
Drew University,2016-03-25,2016-03-25 16:11:14,swald@drew.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Duke University,2016-02-26,2016-02-26 14:17:58,tavey.mcdaniel@duke.edu,2.0,Pursuing,13.0,We pull monthly reports to see what is being utilized and see where we can purchase locally.,True,True,True,"Duke dining services provides vegan options at all meals daily and these options are labeled with a special VEGAN sticker on all menu signs.  Additionally, we have Meatless Mondays at Penn Pavilion and the Marketplace.  The Meatless Monday specials are promoted weekly via our website and social media. http://studentaffairs.duke.edu/sites/default/files/u1379/MM2.pdf 


Duke University's two main dining locations, the Great Hall and Marketplace, each have specific stations designated for vegan/vegetarian entrees and sides. For example, the soup selections will always include a minimum of one vegetarian and/or vegan option. 

","We are offering many new seafood, vegetarian and vegan options to the students
and have expanded our salad bar options to include healthy protein rich vegan and whole grain selections.",http://dining.duke.edu/alternatives/vegetarian.php,--,--,--,"Additionally, Duke dining services is currently producing a vegan video with our core locations.  "
Earlham College,2016-03-03,2016-03-03 10:49:50,butchli@earlham.edu,2.0,Pursuing,100.0,,True,True,True,"Earlham College’s dining program has offered both vegetarian and vegan offerings for many years.  Currently in Resident Dining area there is a separate are called the “Garden Gourmet” that features one vegan entrée and one vegetarian entrée for both lunch and dinner.  Entrees are accompanied by side dishes and a specialty salad bar that features of variety of vegan and vegetarian options.  In addition there are other food stations with in the Resident Dining program that offer vegan and vegetarian selections.  For example, the omelet station at breakfast offers a Tofu scramble made to order. The soup station always offers one vegan or vegetarian soup selection.  There is a bakery vegan dessert offered at each meal as well as a soy or rice based ice cream.  ",,--,--,--,--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:15,stoddardl@easternct.edu,2.0,Pursuing,30.0,Chartwells produces annual reports that take into account goals for increasing the amount of sustainable animal products being purchased. The report can be found here: http://issuu.com/becompass/docs/sustainability_platform_v5?e=0/12420280,True,True,True,"Chartwells offers a component within the dining hall known as Tere Ve which is a vegetarian concept. This has been in existence since 2010 and brings a variety of meat free dishes to students. http://www.eatlearnlive.com/Eat_Nourish_the_Body_CHE.cfm

The dining hall also features meatless Monday's throughout the semester which are promoted through Facebook, and in dining hall signage. "," Chartwells purchases 100% certified seafood, cage-free shell eggs, grass-fed beef, rBGH free milk and chicken, turkey and pork produced without the routine use of antibiotics. Chartwells offers Fair Trade Certified sustainable coffee on many campuses. We are committed to purchasing locally grown and organic produce whenever possible in support of local communities.

Our Balanced U Sustainability approach addresses four basic tenets of sustainable and socially responsible business practices: Eat Green, Build Green, Run Green, and Return Green. These practices include such programs as tray less dining service and Project Clean Plate, which promotes food waste awareness. Trim Trax tracks, measures and reduces kitchen waste.

We use biodegradable consumer food packaging, plates, and utensils made from compostable materials such as bamboo and corn byproducts. We provide reusable food and beverage containers as well as reusable shopping bags. Many of our campus vans run on bio-diesel fuel, and we encourage facilities to use environmentally-friendly cleaning products.

Chartwells' commitment to sustainability is further strengthened by the commitments and global resources of its parent company, Compass Group North America. Read more here. http://compass-usa.com/Pages/Sustainability.aspx 
",http://www.dineoncampus.com/easternct/show.cfm?cmd=sustainability,--,--,--,This information was verified by meeting with Jason Coombs on 8/4/15. Another dining link has been added here: http://www1.easternct.edu/sustainability/dinning-and-dorms/
Elon University,2016-01-14,2016-01-14 09:32:46,edurr@elon.edu,2.0,Pursuing,24.6,"Elon Dining Services reviews monthly operating reports, which show purchases by category: meat, dairy, produce, etc. Total animal product purchases are divided by total food purchases to get the percentage of conventionally produced animal products.",True,True,True,"All residential dining facilities have vegan options available 3 meals a day. One of the dining facilities has a separate area for vegan options. Vegan sausage is available for breakfast. Grits and oatmeal (made with water) are available daily as well as cereals with non-dairy milk options. 
Regarding signage: Beginning in February 2015, nutritional ID cards have been created for each dish in the residential dining halls. The cards include basic nutritional information along with allergen, gluten, vegetarian and vegan identifiers. 
There are also vegan options in several of the retail locations. ",,http://www.elondining.com/health-wellness/menu-information,3739823.0,919120.0,--,--
Emory University,2016-02-29,2016-02-29 16:26:29,ciannat.howett@emory.edu,2.0,Pursuing,28.0,"In 2013, Sodexo contracted with a third-party company, Ecova, to develop an Emory-specific tracking database for local and sustainable food purchases for Fiscal Years (FY) 2012-2014 based on the Sustainable Food Purchasing Guidelines developed by Emory’s Sustainable Food Committee.  Ecova collected purchase invoices from Emory’s suppliers, as well as details on product locality and sustainability of purchases in each food category.  Ecova was able to gather data on food purchases for 86% of Emory University’s food and beverage spend in FY 2012 and 2013.",True,True,True,"Vegan and vegetarian options are available at many dining locations and at every meal in the main undergraduate dining hall (the DUC). The Cox Hall Food Court also always has vegetarian meals available and often has vegan meals in addition to a salad bar. 

In fall 2013, a Meatless Mondays campaign was launched in the DUC, Cox Hall Food Court, Rollins School of Public Health cafe, Oxford College's dining hall and the cafeteria at Emory University Hospital.  Each Monday, additional vegetarian and vegan options are highlighted in menus.  Signage throughout the dining facilities explains the benefits to reducing meat consumption.  Additionally, several chef demos in the dining halls showcased vegan/vegetarian recipes to students, faculty, and staff.  
   
In addition to vegetarian and vegan dining options, Emory’s Dining Services provides a number of specialized dining plans including dairy-free and kosher options.","In the Fall of 2008, Emory Dining began an initiative to preserve the biodiversity of our food chain through the purchasing of certain designated endangered turkey breeds. The annual Heritage Turkey Feast features Heritage turkeys, older breeds of turkeys that had been driven to the brink of extinction by industrial broad-breasted white turkeys that comprise 99% of the market. Partnering with Heritage Foods USA since 2008, Emory purchases Heritage Turkeys and helps to ensure a viable consumer market for them.  2013 was the fifth annual Heritage Harvest Feast. ",http://www.emory.edu/dining/SpecialDiets.php,--,--,--,Data reported for 2013-2014 fiscal year.
Endicott College,2016-03-01,2016-03-01 10:10:00,screight@endicott.edu,2.0,Pursuing,--,We are not currently tracking this,True,True,True,Vegan options are available at every meal in the dining hall and at each cafe on campus.,,--,2000000.0,--,--,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:15,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Fort Lewis College,2016-03-27,2016-03-27 15:59:46,kehilimire@fortlewis.edu,2.0,Pursuing,40.0,"Sodexho provided purchase invoices for one ""lean"" and one ""heavy"" month to the Environmental Center team to create an inventory that was reported to the Real Food Challenge. This inventory was used as the basis for the numbers reported in OP 7. First, sustainable purchases and beverages were excluded from the denominator. Then remaining products were analyzed in order to categorize each product as either ""conventionally produced animal product"" or ""not"". Finally, these numbers from the sample were extrapolated to determine the annual expenditure numbers below.",True,True,True,"Sodexho provides daily vegan and vegetarian options.  At every meal, vegan/vegetarian options are provided in the ""Simple Servings Area"".  Additionally, vegan and vegetarian options are provided in other areas of the cafeteria and labeled using plastic placards.  

Sodexho provides weekly menus that include graphical representations of nutrition factors.  These menus are provided on screens in the dining facility and in hard-copy on sneeze guards. A sample vegetarian menu is provided below (for 1/1/16):

Breakfast: Apple cinnamon oatmeal, grits, omelet bar, fired eggs, scrambled eggs, glazed cinnamon roll, low-fat blueberry muffin

Lunch: Vegetarian minestrone soup, cheese quesadilla, French fries, grilled cheese sandwich, black bean burger, made-to-order deli bar, Tuscan pesto Portobello wrap, snowshoe cheese pizza, baked potato bar, black bean salsa, hummus, fried tortilla chips

Dinner: Vegetarian minestrone, herb seasoned breadsticks, French fries, deli sandwich buffet, salad bar station, steamed corn, mac and cheese, penne pasta, arrabiata sauce, vegetarian paelle with edamame, vegetarian chili, showshoe cheese pizza, devil's food cake, peach cobbler with biscuit topping, butterscotch pudding cup, berry blue Jell-O Parfait, Baked potato bar, hummus, black bean salsa, fried tortilla chips",Sodexho purchases free-range meat from Fort Lewis College's Old Fort Farm.  The Real Food Challenge Team will work to capture this data in the future.,--,1116805.05,443750.72,14540.0,--
Furman University,2016-02-22,2016-02-22 13:43:00,yancey.fouche@furman.edu,2.0,Pursuing,100.0,-,True,True,True,"The Dining Hall offers complete-protein vegan meals at all meals, through soy, beans, and nuts that are always available. Furman has promotional activities through partnering with on campus organizations.",-,http://furman.campusdish.com/Commerce/Catalog/Menus.aspx?LocationId=1675,2500000.0,--,--,--
George Washington University,2016-02-29,2016-02-29 13:04:22,shannonross@gwu.edu,2.0,Pursuing,33.8,Percentage is expenditures for animal products divided by total food spend.,True,True,True,"GW has numerous venues in which vegan options are offered on a daily basis. Pesto, Greenfield's, Thyme, The Grill and Asian Fusion offer daily vegan options in the central eateries provided by Sodexo. ","GW provides and promotes a Meatless Monday program. Meatless Mondays take place in J Street and Pelham Commons. Vegetarian meals are highlighted and students are educated about the benefits of going meatless. Animal agriculture has been implicated by the United Nations as one of the top contributors to global environmental problems, due to its vast use of water, land, and fossil fuels, and high carbon dioxide and methane emissions. Prominent environmental organizations have advocated for reduced meat consumption. According to Environmental Defense Fund, “If every American skipped one meal of chicken per week and substituted vegetables and grains…the carbon dioxide savings would be the same as taking more than half a million cars off of U.S. roads.” Meatless Mondays at GW is a partnership between Sodexo, GW Campus Support Services and the GW Office of Sustainability. ",http://www.gwcampusdining.com/,941937.0,318374.0,18152.0,--
Georgia College & State University,2016-03-25,2016-03-25 19:08:48,doug.oetter@gcsu.edu,2.0,Pursuing,20.0,On-site monitoring of purchases in a food management software system.,True,True,True,"We have a vegan menu for all three meals, including a vegetarian and vegan station for lunch and dinner. Signage indicates the ingredients.  Both our vendor (Sodexo) and University Housing have teamed up to offer 'Meatless Mondays;' Sodexo gave away 30 meals to participants, who were treated to movies such as ""Forks over Knives.""  We did a first-phase Real Food Challenge survey, which has informed student and campus groups.","We have eliminated trays to conserve energy, reduce our water consumption, limit the amount of chemicals draining into our water ways and reduce the amount of waste traveling to land-fills.  We have posted signage to explain the savings to our environment.

Sodexo has adopted additional policies to support animal welfare: http://sodexousa.com/usen/media/press-releases/2015/animal_welfare_policy.aspx",https://georgiacollege.sodexomyway.com/dining-choices/index.html,1300000.0,--,--,--
Gonzaga University,2016-02-29,2016-02-29 13:09:17,simonj@gonzaga.edu,2.0,Pursuing,84.0,"Took 100% of meat purchases for a full month, subtracted the amount of cage free, local and MSC certified meat we purchased to find total.",True,True,True,"Meatless Mondays, Vegan/vegetarian designated stations, menued vegan andvegetarian options at every meal, alternative vegan selections available on request, signage and promotional materials as well as social media promotions. Promos around sustainable dining each fall and spring. ",Vegan and Vegetarian options at most platforms at all meals. Mindful and chef guided delivery of meals to guests - guest creates a complete plate which portions meat in a ballanced manner with 3/4 of the plate being vegetables. This also helps control over portioning and waste in self service situations.,https://zagdining.sodexomyway.com/home.xhtml,3300000.0,831600.0,158400.0,--
Green Mountain College,2016-03-21,2016-03-21 15:55:16,ihrker@greenmtn.edu,2.0,Pursuing,36.32,"The performance year for expenses on animal products is 2015.. The inventory was based on a sample from February, 2015 (a month known to be light on sustainable purchases) and September 2015 (a month known to be heavy on sustainable purchases). Every receipt from the two month sample was examined in detail by researchers in the sustainability office and each animal product expenditure was tallied into a conventional or non-conventional category after research was conducted to determine the sustainability of each product. The percentage of sustainably-sourced animal products and the percentage of conventionally-sourced animal products were both derived from this sample. The percentages were then multiplied by the total annual expenditures on all food products to calculate estimates of total money spent on each category.

All animal products purchased from the campus farm were considered non-conventional because the campus farm is Certified as Animal Welfare Approved and all meat products are produced with standards that exceed conventional organic in most categories.",True,True,True,"Green Mountain College offers vegetarian and vegan food choices at every meal. At breakfast, lunch, and dinner Chartwells offers protein rich vegetarian and vegan options as well as non-vegetarian options. Sample Menus are available on the Dine On Campus website: http://www.dineoncampus.com/greenmtn/ ","Chartwells partners with the Green Mountain College Farm to feature animal derived products that are raised by the students at the farm. In 2015 they featured pork and poultry(eggs). Additionally, they utilize humanely raised poultry from Murray's Chicken distributed locally by Black River Produce located in North Springfield, VT. They also procure Vermont grass-fed beef from Boyden Farm and cheeses from Jasper Hill and Maplebrook Farms that are produced with grass fed milk.

In 2014, a public policy class developed a new sustainable purchasing policy, which was officially adopted by the College in August of 2014. The policy challenges dining services to purchase all pork and poultry from humanely-certified vendors by 2020. The policy also strongly encourages all beef to come from humanely-certified vendors. The full policy is available at the following link:
http://www.greenmtn.edu/wordpress/wp-content/uploads/Sustainable.PurchasingPolicy.2014.FINAL_.pdf 
",http://www.greenmtn.edu/student-life/residence-life/dining/,544520.85,197753.65,15009.08,"The performance year for expenses on animal products and total expenses on food is 2015 (January 2015-December 2015). Because of limited staff time, the estimated percentage expenditures are based on a sample of two months: February, 2015 (known to be light on sustainable food purchases) and September, 2015 (known to be heavy on sustainable food purchases). 

Performance year for the total annual food and beverage expenditures is Green Mountain College’s' fiscal year 2015 (July 2014 to June 2015). Note that the fiscal year is slightly different than annual year.  However, the food purchases were not found to be significantly different over those months, so we feel it is reasonable to apply the percentage of animal protein categories (derived from the 2015 inventory) to the annual expenditure number.

In 2013, GMC earned Animal Welfare Approved certification for dairy cattle and poultry products produced on the campus farm. Additionally, the farm operates under standards that exceed conventional organic in most categories.
"
Guilford College,2016-03-08,2016-03-08 08:08:30,corrybc@guilford.edu,2.0,Pursuing,25.0,"A spreadsheet is maintained that tracks local, natural, organic. Based on invoice. ",True,True,True,There is a stand-alone vegan station that is staffed to provide vegan options of all patrons. It has a four week menu cycle and the offerings are changed daily.,Dining Services seeks out locally produced meats whenever possible. One of the primary challenges are finding local producers who can provide the volume needed. Cost can become an issue to the the high cost of production for small farmers.,http://mgdining.com/32-gc/dining-options/founders-dining-hall/,1200000.0,160000.0,40000.0,--
Hampshire College,2016-03-23,2016-03-23 09:57:59,bhooker@hampshire.edu,2.0,Pursuing,11.0,"Invoice auditing, invoice reports, purchasing logs, and purchasing reports",True,True,True,"There are vegan hot dishes at every meal and a vegan cold bar is available at lunch and dinner.

Menu is available online with a filter option to see only vegetarian/vegan options: http://hampshire.cafebonappetit.com/hungry/","Low Carbon Day
Every April, Bon Appetit celebrates theannual companywide Low Carbon Diet Day. The Hampshire College Dining Commons is transformed into fun culinary classrooms offering ways for guests to shrink their carbon “foodprint” via tasty alternatives to beef and dairy. Through cooking demonstrations, makeovers of popular dishes, and takeaway recipes, Bon Appetit culinary teams showed guests how to make their diet a climate-friendlier one.

Eat Local Challenge
http://www.bamco.com/timeline/eat-local-challenge/

Fish to Fork (promoting sustainable fish)
http://www.bamco.com/press-releases/local-food-pioneer-bon-appetit-management-company-makes-fish-new-frontier/

Chicken and burgers on the grill limited to only twice a week.

Campus ""Jam Fest"" in April 2014 featured beef burgers, made from Hampshire College beef. (limits transport of animal products, plus ensures humanely treated animals, raised on pasture and hay, with organic feed)

Campus commencement meal 2014: featured vegetarian options plus roast beef sandwiches, made with Hampshire College beef;  

Campus Convocation meal 2015 featured a sustainable menu including vegan and vegetarian dishes and all locally-sourced animal products: http://sites.hampshire.edu/ffs/2014/09/08/food-brings-us-together/
",http://hampshire.cafebonappetit.com/hungry/,1140000.0,126540.0,35340.0,"Bon Appétit at Hampshire College is fighting food waste and hunger by recovering surplus perishable food from our campus that would otherwise go to waste and donating it to people in need through Craig’s Doors, a seasonal shelter in Amherst, MA."
Harvard University,2016-02-29,2016-02-29 16:58:56,colin_durrant@harvard.edu,2.0,Pursuing,20.0,HUDS uses the FoodPro menu management system to produce monthly and ad hoc reports that are shared with all Dining senior management.,True,True,True,"Every meal includes vegan options – from items available on request at the grill to salad bar items. Entrees, soups and sides are also sometimes available. We worked with a chef from an area vegan restaurant to develop new menu options and provide education to students; we also worked with the American Humane Society to host a plant-based diet cooking class for our own chefs and others from area schools.","Harvard is a founding member of the Menus of Change initiative, and the Menus of Change University Research Collaborative. Under this, we practice plant-forward menus, featuring many plant-derived proteins. We blend animal proteins with vegetables, such as mushrooms, to reduce overall use of animal products. We alter the ratio of animal protein to vegetables in dishes such as stir-fries, to feature less animal protein.",http://www.dining.harvard.edu/campus-dining/undergraduate-dining/dining-harvard/nutrition,13800000.0,2700000.0,7000.0,--
Haverford College,2016-03-02,2016-03-02 12:02:02,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:42,sustainability@hws.edu,2.0,Pursuing,96.1,"The methodology for calculating conventionally produced animal products fell in line with the Real Food Challenge criteria for being ecologically sound and humane. All food purchases in September 2013 and February 2014 were analyzed during the assessment. According to the Real Food Challenge, September and February are used as representative months when data from all months of the academic year cannot be obtained. Students trained by Real Food Challenge calculated all animal produced food purchases that were either ecologically sound or humane. The cost of animal products identified as either ecologically sound and/or humane was subtracted from total food purchases for September 2013 and February 2014. ",True,True,True,"The main dining hall has a vegetarian line that always offers a vegan option. In addition, students may select a variety of self-serve options, ranging from oatmeal to salads, which are available throughout the day. ",,https://hwsdining.sodexomyway.com/health/index.html,412885.0,396988.0,15897.0,"All annual dining expenditures are represented by two months during the academic year, September and February. According to the Real Food Challenge, September and February are used as representative months when data from all months of the academic year cannot be obtained."
Indiana State University,2016-03-29,2016-03-29 10:17:19,caroline.savage@indstate.edu,2.0,Pursuing,88.0,"The Local and Sustainable Purchasing Tool assists site level managers in the process of gathering purchasing information, providing a method to track the purchases and offer support in communicating this information with customers and clients. The tool helps identify where sites spend the most in each category, to demonstrate the potential opportunities the site has to improve the percentage of local and sustainable spend. ",True,True,True,Sodexo provides Vegan and Vegetarian options at every meal in the dining halls and vegetarian. We provide a Vegan and Vegetarian station in the dining halls and include these options in catering. All vegan and vegetarian foods are labeled with signs and along with online access to weekly menus and ingredient lists. Meatless Mondays have been implemented in the dining halls.  ,"Generations Restaurant caters meals with locally raised meats. All dairy products and eggs are locally sourced. There are goals to produce awareness about mindful eating to reduce both over consumption of animal products and sugar, as well as food waste. ",https://indstate.sodexomyway.com/planet/local.html,--,--,--,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:42:37,brownwm@indiana.edu,2.0,Pursuing,15.3846153846,"At least $2.4 million (Residential Programs and Services) in conventionally produced bulk meat purchases. This does not include grocery items (e.g. canned soups, frozen dinners, etc.) nor does this include Sodexo or IU Athletics purchases.
",True,True,True,"Bloomington, Indiana has been ranked as the “4th Most Veg-Friendly Small City in North America"" and Indiana University Bloomington has been ranked as the Most Vegetarian-Friendly College in America, and are regularly ranked in the top ten vegetarian-friendly universities every year.

Students with VegIU put together a Guide to Vegetarian Eating on IU Campus and Vegetarian Restaurant Options in Bloomington list. Some examples of vegetarian and vegan dining options include:
The Eat Right dining concept (RPS) features a vegan or vegetarian entrée at least twice each week. Flamingo’s Grill offers regular and egg white omelets with  veggies, as well as garden burgers. Also, the stir-fry at Pacific Rim offers tofu as a protein option. The Chile Garlic, Sesame, Teriyaki, Chili Oil, and Sweet & Sour sauces do not contain animal products. The Eat Right breakfast bar at Wright, Gresham, and Read Hoosier Café is available Monday-Friday from 7-10 a.m., and offers fresh fruit, low fat yogurt, homemade granola lightly sweetened with honey, and hot cereal.  Edmondson Dining Room at Collins specializes in vegetarian and vegan fare and  serves a variety of soups, salads, entrees, and desserts appropriate for the vegan or  vegetarian diet. Landes Dining Room at Read offers a vegetarian option daily and  serves a vegan dessert at least once a week.

A more complete list of vegetarian and vegan options can be found at: 
http://www.indiana.edu/~vegiu/eating-on-campus.php.",,http://www.rps.indiana.edu/menushours.cfml,15600000.0,--,--,--
Juniata College,2016-03-23,2016-03-23 08:08:20,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:16:12,mknowle1@kent.edu,2.0,Pursuing,100.0,N/A - 100 above indicates that the data is not currently available.,True,True,True,"In addition to vegan options offered at dining facilities, vegan options are always available through the Veggie-a-Go-Go menu.  Order an hour in advance and pick up food at Eastway or Prentice dining facilities.",,https://www.kent.edu/dining/veggie-go-go-0,--,--,--,The data for part one of this credit is not currently available.
Knox College,2016-03-23,2016-03-23 08:29:50,sustainability@knox.edu,2.0,Pursuing,22.9,"We record purchases and maintain separate inventories for all major food categories such as meat, dairy, produce, dry goods, etc.",True,True,True,"32% of all in-house, recipe-based prepared meal plan/cafeteria items are vegan. This figure does not include salad bar or prepared items purchased.  Signage on all cafeteria food includes information on vegetarian/vegan appropriateness.  On Meatless Mondays once per term, all board plan cafeteria outlets refrain from serving meat.  Local Burger Fridays once per term promote awareness of local and sustainable meat stewardship practices.",,--,1457000.0,329000.0,5876.0,--
Lehigh University,2016-02-29,2016-02-29 00:26:10,sustainability@lehigh.edu,2.0,Pursuing,19.0,"Due to lack of tracking tools, we are estimating an average of weekly purchases.  Will work with Sodexo purchasing division for tool tracking ",True,True,True,"Meatless Monday's at all Student Restaurants
Sodexo Simple Servings Program
There is at least one item available every meal that makes a complete protein based vegan option whether by itself using seitan or protein based products at veg out or combining items from multiple stations at Rathbone Dining Hall.","Surveys, communication with students between dietitian and management",--,3113278.0,--,66736.0,"data based on 2014-2015 academic year
current tools do not identify as detailed as needed for report"
Lewis & Clark College,2016-03-18,2016-03-18 17:08:03,advorak@lclark.edu,2.0,Pursuing,4.0,"8% of total expenses are spent on animal products per a review of invoices paid each month, of that total 4% or less is spent on average per month on conventionally produced animal products.",True,True,True,Vegan options are provided in numerous locations throughout campus everyday.,"'Low-carbon' diet signage, low-carbon events, visits to farms to understand impacts of food markets, etc.",--,2418000.0,--,--,2014-15 AY data
