Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Has the institution held at least one sustainability-related outreach campaign directed at students ...,Has the institution held at least one sustainability-related outreach campaign directed at ...,The name of the campaign (1st campaign),A brief description of the campaign (1st campaign),A brief description of the measured positive impact(s) of the campaign (1st campaign),The website URL where information about the campaign is available (1st campaign),The name of the campaign (2nd campaign),A brief description of the campaign (2nd campaign),A brief description of the measured positive impact(s) of the campaign (2nd campaign),The website URL where information about the campaign is available (2nd campaign),"A brief description of other outreach campaigns, including measured positive impacts",Public Notes
Elon University,2016-01-14,2016-01-14 09:33:00,edurr@elon.edu,2.0,Pursuing,True,True,Phoenix Cup,"The Phoenix Cup is a series of competitions aimed at reducing our collective ecological footprint. Teams compete with each other to see who can positively contribute the most to sustainability at Elon through individual actions. The competition happens twice a year and lasts for three weeks. In the fall the competition focuses on energy reduction and in the spring it focuses on waste education. To win each competition, a team must earn the most points per person by completing items on the checklist provided. Both teams of students and teams of faculty/staff can compete.","In fall 2014, all teams participating in the Phoenix Cup had a decrease in their building's energy use from the first week of the competition to the last. The average energy reduction in all residential buildings during the competition was 18%. In addition, students, faculty and staff committed to taking nearly 500 individual actions to conserve energy during the competition.
In spring 2015, people committed to taking over 200 actions to reduce landfill waste.",http://www.elon.edu/e-web/bft/sustainability/PhoenixCup.xhtml,Residential Compost Leaders,"The Residential Compost Leader program provides students who are interested in having compost collection in their residence hall the training and materials to educate their peers and implement compost collection on their floor. The program was successfully piloted on two floors and will be offered in more neighborhoods in 2015. This program was a collaboration between the Office of Sustainability, Environmental Services and Residence Life.","During the first month of collection on one floor, 65 pounds of items were composted instead of thrown away. Collection continued successfully until the end of the year and students expressed interest in participating again. Weights were not collected at the other sites.",http://www.elon.edu/e-web/bft/sustainability/ci-wasteReductionCompost.xhtml,"The Don't Trash It! campaign diverts unwanted, usable items from the landfill. Clothing, housewares and other gently used items are collected during student move-out and donated to local non-profit organizations. In spring 2015, over 12,000 pounds of items were collected and donated. 
Eco-Reps completed pilot campaigns around using reusable water bottles, recycling plastic cups and swapping out incandescent light bulbs with CFLs. 70% of students in the reusable bottle campaign reported using fewer disposable cups and students who switched to CFLs reported noticeable decreases in their energy bills.",--
Emory University,2016-02-29,2016-02-29 16:26:44,ciannat.howett@emory.edu,2.0,Pursuing,True,True,Energy Awareness Campaign and Reduction Competition,"Energy Awareness Campaign and Building Energy Reduction Competition: 
Campus-wide energy reduction campaigns are organized each October by the Office of Sustainability Initiatives. A prize goes to three buildings with the greatest reduction of energy use in comparison with October in the previous year. Outreach efforts include articles and posters, banners around campus, signs near elevators, etc. The campaign and competition includes administrative buildings, classroom buildings, and residence halls. 

The 2013 campaign kicked off with a event including a film screening of ""Kilowatt Ours"" with sponsorship from Georgia Interfaith Power and Light. The student organization Greeks Go Green assisted with marking and communications, including creating chalk drawings leading up to the competition,designing yard signs, and organizing a space heater roundup with collected space heaters donated to the American Kidney Fund. 

Weekly themes helped to make this years competition even more interactive. During the third week of the competition, the Office of Sustainability Initiatives organized a light bulb swap, following the theme of the week, in order to promote the use of high efficiency lighting. Students, faculty and staff could exchange an incandescent bulb for a compact fluorescent bulb during a two-day period in the Dobbs University Center. Other themes included ‘turn off lights and appliances,’ ‘take the stairs,’ and ‘unplug or use a surge protector to destroy vampire loads.’ The themes, along with energy reduction tips, were communicated through various forms of electronic and social media including Facebook and Twitter. 

","The total energy reduction among buildings during the 2013 Energy Competition and Awareness Campaign  amounted to 523,194 kWh of electricity, resulting in $36,378 in electricity cost savings. In terms of CO2 emissions, there was a 407 ton reduction from these buildings compared to 2012.


",http://sustainability.emory.edu/cgi-bin/MySQLdb?VIEW=/viewfiles/view_press.txt&pressid=809,Recycling Competition,"Each year, Emory Recycles organizes a recycling competition between all buildings, and awards a $3,000 prize for the winner to spend on dedicated recycling equipment for the building. ","In 2013, the Goizueta Business School was the winner of the Emory Building Recycling Competition.  The school increased its overall recycling by 3,243 pounds from April 2012 to April 2013, recycling a total of 9,832 pounds. ",http://news.emory.edu/stories/2014/02/er_take_note_building_recycling_contest/campus.html?utm_source=ebulletin&utm_medium=email&utm_campaign=EmoryReport_EB_020414,"Zero-Waste Commencement: 
Beginning during Emory's 2010 Commencement and continuing in all years since,  College and professional school Commencement events began to be organized as zero-waste events. Emory Recycles provides equipment for composting and recycling to help graduates, guests, faculty, and staff place their waste in the proper containers and keep it out of the landfill. A number of events have volunteers and balloons at their waste stations to help keep compostables and recyclables out of the landfill and educate guests about the zero-waste event.  This effort has become so successful that it is difficult to measure the number of events that are Zero Waste or the landfill diversion rate! Commencement Ad found here: http://news.emory.edu/tags/topic/commencement/thumbs/EmoryReport_2013commencement.pdf

Don't Dump It, Donate It!: 
This event is coordinated by the Emory Recycles Program in coordination with several local Atlanta charities. This drive gives students an opportunity to donate items such as clothes, bedding, or furniture they no longer have use for to local Atlanta charities. During the 2013 drive, 18,000 pounds of clothing, furniture, small household items, and food were donated to charitable organizations.  More information here: http://campserv.emory.edu/fm/recycling/ and here: http://campserv.emory.edu/fm/recycling/dontdump.html. 

The Green Office program is a voluntary program where participating offices and departments are given tools and training for making more sustainable decisions and changing behavior. 

The Green Lab program is a voluntary program where participating labs are given tools, training, and are eligible for funding to support more sustainable purchasing and behaviors. ","Data reported for 2013-2014 academic year.

More website links for energy campaign: http://sustainability.emory.edu/page/1010/energy-awareness

"
Endicott College,2016-03-01,2016-03-01 10:10:15,screight@endicott.edu,2.0,Pursuing,True,True,Recyclemania,Endicott participates in Recyclemania and measures performance of increased recycling. ,"Measurement includes the change in material collected for recycling.  Student residence halls are the primary target, but recycled and composted materials from all areas of the campus are also included. ",http://www.endicott.edu/About/Sustainability-at-Endicott/Recycling-Waste.aspx,Shut the Hood,"""It's Good to Shut the Hood"" magnets have been placed on all laboratory hoods in order to remind students to save energy by shutting the hood.",Save energy by reminding students to shut the hood after they work in the lab,--,,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:29,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Fort Lewis College,2016-03-27,2016-03-27 16:01:19,kehilimire@fortlewis.edu,2.0,Pursuing,--,True,Green Office Gurus,An outreach program geared at working with individual office users at FLC to help them adopt more sustainable practices within their use of office space.,"Increase in the use of the EC's extended recycling services (batteries, cell phones, ink jets, etc)

14 certified 'green offices'",https://www.fortlewis.edu/environmentalcenter/,--,,,--,,--
Furman University,2016-02-22,2016-02-22 13:43:14,yancey.fouche@furman.edu,2.0,Pursuing,True,True,Water Walk,"The Water Walk aims to engage the campus community in addressing the challenges of an increasingly globalized world.  To this end, Furman will raise $100,000 to help build a domestic water system for two villages in Guatemala, which will greatly increase their quality of life.  This program is hosted yearly.  Furman students, faculty, staff and local residents are donate to walk around Furman's iconic lake with two gallons of water.  The Water Walk is a mass simulation of the mile-long-trek that millions throughout the developing world experience in their quest for drinkable water. ","So far, the Duke Endowment, Furman students, alums, local residents and friends have raised more than $35,000.  This money will go towards building a potable water system in Guatemala.",--,April Commuter Challenge,"This program challenges faculty to replace one driving commute with a biking commute each week during the month of April.  Participants log their biking activity in a community spreadsheet, which creates a peer group dynamic to increase motivation and encourage a healthier lifestyle. ","There are huge positive impacts of biking regularly.  For every mile pedaled versus driven, one pound of greenhouse gas-producing CO2 is blocked from our atmosphere, according to the Bikes Belong advocacy group. Also, biking three hours per week reduces the risk of heart disease and stroke by 50 percent.  During this challenge in 2013, 37.3 gallons of gas and $123.23 was saved.  Also, the group burned a total of 42,104 calories. ",--,,--
George Washington University,2016-02-29,2016-02-29 13:04:36,shannonross@gwu.edu,2.0,Pursuing,True,True,GW Eco-Challenge ,"The GW Eco-Challenge has been conducted for eight years. Currently the focus is an electricity and water conservation challenge between residence halls. The contest serves as an educational resource for students through peer-to-peer engagement. GW Eco-Reps are the driving force behind Eco-Challenge, hosting small and large events in their residence halls and across campus designed to educate their peers about water and electricity reduction. Previous Eco-Challenge events have included: informational pizza parties, tabling, vampire device demonstrations, and lights out events. 

GW's Eco-Challenge benefit helps lower the carbon and water footprint of the university and the lessons learned through the program help to instill an ethic of conservation in students. 
","Since the first contest in 2008, GW students have helped to conserve 2,137,838 kwh of electricity and over 5.6 million gallons of water. 

",http://sustainability.gwu.edu/eco-challenge,Green Office Network,"The Green Office Network is the primary faculty and staff sustainability engagement program. The purpose of the network is to better understand office behavior and practices on a day-to-day basis, build community and foster discussion about how to improve sustainability on the individual and office level, and empower staff to make positive, healthy changes. The network meets on a regular basis to discuss best practices and learn about sustainability initiatives and opportunities on campus, and the Office of Sustainability emails this group between meetings with additional opportunities. 

In 2014, the Office of Sustainability launched a Green Office Certification to expand on the Green Office Network. The certification is awarded to offices that complete certain sustainability behaviors in their offices, and there are four possible levels of certification. Offices are re-certified on an annual basis, and are encouraged to add to their sustainable practices in doing so.
","Since the launch of the certification in summer 2014, over 45 offices have been certified, with additional offices in the process of becoming certified currently. ",http://sustainability.gwu.edu/green-office-network,"GW also participates in the national Recyclemania competition, which encourages students to increase waste diversion from landfills. Recyclemania is a competition among universities to determine which school can recycle the most during a two month period in the spring semester. Through Recyclemania, GW hopes to encourage greater recycling year round, by drawing attention to the importance of waste reduction on campus. GW has performed well in Recyclemania in previous years, and anticipates improved performance moving forward since the creation of a Zero Waste team.
",--
Georgia College & State University,2016-03-25,2016-03-25 19:10:16,doug.oetter@gcsu.edu,2.0,Pursuing,True,True,Green Initiative,"The Green Initiative is the major campaign of the Georgia College Sustainability Council.  The initiative promotes improvements in alternative transportation, building design, environmental education, energy efficiency, sustainability funding, materials management, and water conservation.  The campaign is directed at students, staff, faculty, and the community.","We have measured increases in recycling generation, energy efficiency, water use, and alternative transportation.",http://www.gcsu.edu/green,--,,,--,,--
Gonzaga University,2016-02-29,2016-02-29 13:09:30,simonj@gonzaga.edu,2.0,Pursuing,True,--,Sustainability and Freshman Orientation,Student sustainability intern worked with freshman orientation coordinators to include sustainability themes and principles at multiple levels. ,New students reported a broad understanding of campus sustainability expectations and goals . ,--,Bottled Water Ban,"Bottled water ban - The Gonzaga Student Body Association (GSBA) proposed the bottle water ban to Sodexo, the dining service on campus in May of 2008.  Sodexo is in charge of all of the food services on campus and a ban on plastic water bottles on their part ensured that no plastic water bottles would be sold anywhere on campus.  The policy was implemented in September 2008 school year.  First year students are given re-usable water bottles at the beginning of the year during orientation.  In the past, the students were given re-usable plastic water bottles; however, in the Fall of 2011 the students were given glass water bottles.  This switch reduced the students exposure to common chemicals found in plastic and to switch to a more sustainable source--glass rather than plastic.  The main dining hall and other dining facilities allow the students to fill their re-usable water bottles.  There are also water coolers located throughout campus where students can refill their water bottles. 
",no bottled water is sold on campus,http://www.gonzaga.edu/Campus-Resources/sustainability/initiatives.asp#dining,,--
Green Mountain College,2016-03-21,2016-03-21 15:55:37,ihrker@greenmtn.edu,2.0,Pursuing,True,True,Green Mountain Community Income Equity Fund,"While per capita income in the U.S. has risen 90% between 1970 and today, the benefits of increased economic production have not been evenly distributed. Shares received by low and middle-income workers have declined as measured in inflation-adjusted dollars. During the past 40 years, the minimum wage also decreased 11% in real dollars. This has resulted in the greatest income disparity between top
and bottom earners since the Great Depression. It has also created a system of eroding social capital in the U.S. that can be compared to our current ecological crisis.

Green Mountain College by itself cannot influence broad economic factors that have created wide income disparity in the United States. But GMC takes its commitment to social sustainability seriously. To address the problem of income inequity at home, the Green Mountain Community Income Equity Fund (CIEF) was established in 2013 with the support of the College administration. CIEF invites
higher earning workers at GMC to voluntarily contribute funds to benefit other workers in our community who earn less than the hourly livable wage.

The livable wage for a single adult in Vermont is estimated to be between $15.23 and $16.41 per hour. Some full-time employees in the GMC community (including GMC, Chartwells, and CW) make below that income level. By inviting employees earning higher wages or salaries to contribute to a fund that compensates workers earning less than a living wage, the College is making a very real commitment to social sustainability as expressed in the 8-year master plan Sustainability 2020. CIEF also creates an opportunity for members of the GMC community to express values of social sustainability in ways that directly help their neighbors. Participation is voluntary.","The fund has made several payouts in the short time since it was established. In the summer of 2014, the fund distributed approximately $5,500 to eight people. For people making minimum wage or close to it, they received the equivalent of three weeks' additional pay or a 6% bonus.
",http://www.greenmtn.edu/sustainability/sustainability-on-campus/income-equity-fund/,Do it in the Dark Energy Conservation Challenge,"Every year, the College holds an energy conservation challenge between residence halls called Do it in the Dark. This campaign usually takes place in the fall, and for the last three years it has corresponded with Halloween. The challenge is coupled with a massive campaign to educate the campus about the importance of energy conservation and techniques for conserving energy. Campaign techniques include
tabling in the student center to educate passing students, staff and faculty, and to challenge them to sign a conservation pledge on a paper cut-out of a light bulb that is then posted publicly on a bulletin board. The night before the competition begins, flameless candles are placed on all the tables in the dining hall and the overhead lights are turned off. A series of events and activities managed by various
departments also help to educate the campus. The sustainability office uses Facebook and Twitter to post daily standings and suggest energy saving techniques. Live updates are also made to a webpage. Finally, the sustainability office produces outreach videos each year.
Examples of these videos include the following: Energy Monsters from 2014 https://vimeo.com/110783237 and in 2013 an analysis video of the event modeled after ESPN--https://www.youtube.com/watch?v=CvOP2Qb_WuQ.","Impact from the event is measured by total percentage electricity reduction during the competition week over the previous baseline week and by percentage reduction per residence hall.In 2015, the average reduction per residence hall was 8.71% over the baseline week. In 2014, the average reduction was 13.23% over the baseline.  For the full 2015 results, visit the url below.",http://www.greenmtn.edu/do-it-in-the-dark-announces-2015-winner/,"The Student Campus Greening Fund also engages in a campaign every semester to increase awareness about funds available for sustainability projects and to inspire students to develop projects for funding from the Student Campus Greening Fund. This campaign includes speeches to all core curriculum classes, tabling in the student center, and blasts using online media platforms. Every year the fund pays for $20,000 to $40,000 in projects. In FY 2015, projects included purchasing an electric truck for the campus farm, building student designed three bin waste diversion stations, planting trees for bat habitat, investing in equipment to improve composting on campus, and many other projects.",--
Guilford College,2016-03-08,2016-03-08 08:08:45,corrybc@guilford.edu,2.0,Pursuing,True,True,RecycleMania,"RecycleMania is a friendly competition and benchmarking tool for college and university recycling programs to promote waste reduction activities to their campus communities. Over a 10-week period, schools report recycling and trash data which are then ranked according to who collects the largest amount of recyclables per capita, the largest amount of total recyclables, the least amount of trash per capita, or have the highest recycling rate. With each week’s reports and rankings, participating schools watch how their results fluctuate against other schools and use this to rally their campus communities to reduce and recycle more.
","RecycleMania has helped to catalyze the campus in regards to solid waste awareness. In the 2015 competition, Guilford was ranked at 14 out of 232 participating schools in the ""Grand Champion"" section and earned first of the North Carolina  participating schools for 2014 and 2015. ",http://www.recyclemania.org/,Green Office,"Our Green Office program certifies faculty and staff office suites based on things like energy use, waste reduction, campus participation and purchasing decisions. We start with a simple audit to provide them with some tips for improving their practices, then challenge them to make personal lifestyle choices that are more sustainable. Once they demonstrate these sustainable practices, they earn the honor of a Green Office Certification. Faculty and staff are quickly learning how their day-to-day actions affect not just their offices, but the campus, community and planet. They’re more aware of how they use resources, and they see how positive individual choices can add up and make a real, measurable difference.","The Green Office program serves as an incentive for departments to be recognized for the good habits they already have, or encourage them to alter their behavior to reflect more sustainable practices. Since our school's mission supports environmental stewardship, we are able to leverage that and keep track of which offices are choosing to participate.",http://www.guilford.edu/about/guilford-sustainability/index.aspx,,--
Hampshire College,2016-03-23,2016-03-23 09:59:36,bhooker@hampshire.edu,2.0,Pursuing,True,True,Hampshire College Single Stream Trash and Recycling Program,"Republic Services of Chicopee has been awarded a contract for the removal of trash and recyclables from the College. We moved from a dual stream recycling process that separates bottles, cans, and paper to a single stream ""All in One"" process that combines recyclables into one receptacle. The program started in July 2014.

As part of the new program, we have been upgrading our container collection system to be more user-friendly. We've been installing color coded bins that are consistent throughout campus. Very simply, blue is for recyclables and black is for waste. Depending on the location, the shape and size of the receptacle may differ, but the colors blue and black will remain consistent.

Having a clear understanding of what can be recycled is important. To help inform our community, Tom Walsh has arranged for a series of informational meetings with representatives from the schools and departments across campus, and with students upon their return in September. In addition, information listing the ""Yes and No"" of what can be recycled is posted at public recycle and waste locations.
","There are some minor changes to the system, all intended to make Hampshire’s waste and recycling program more efficient, green and cost effective.

-Working directly with our waste stream advisor from Republic to provide added value to Hampshire College’s program by setting up smarter, more efficient and cost-effective material management solutions.
-Performing waste audits to identify materials that can be eliminated or diverted. They pinpoint cost-effective solutions to minimize waste and maximize recycling and diversion.
-Setting up strategically placed waste and recycling stations to reduce pick ups from offices to realign our custodial workload with industry standards.
-Trash and recycling being picked up in offices once a week.
-Overall reduce our waste footprint and increase our diversion rates.
-Student bedrooms contain a blue recycling container with a black waste container.
-Dorm lounges contain a 23 gallon recycling container with a 23 gallon black waste container.
-High profile lobby areas contain square, metal, color coded containers for waste and recycling.
-Offices contain a blue recycling container with a black waste container.
-Other areas of buildings contain a 23 gallon recycling container with a 23 gallon black waster container.",https://www.hampshire.edu/facilities/hampshire-college-trash-and-recycling-program,Sustainability Revolving Fund (SURF),"2.  SUSTAINABILITY REVOLVING FUND (SURF):  Students in Steve Roof's ""sustainable Hampshire"" proposed and designed a Sustainability Revolving Fund.  In 2011, President Lash signed the ""Billion Dollar Green Challenge"", an initiative sponsored by the Sustainable Endowments Institute.  It was funded at a level of $75,000 in 2012, and it continues to be administered by students, faculty and staff in the Environmental Committee.  

The Hampshire College Sustainability Revolving Fund (SURF) provides loans for campus improvement projects that benefit Hampshire’s sustainability by improving efficiency and conserving resources. The SURF exists to foster student, staff, and faculty involvement in increasing environmental, social, and fiscal sustainability at Hampshire College. ","2.  SURF:  Current funded projects include LED lighting loans to the Dance and Theater departments, as well as an on-campus LED light bulb exchange.   Also funded a student innovation project, creating a solar-bench for the community garden (*able to use solar to charge electronics)

http://www.hampshire.edu/discover/25745.htm",http://www.hampshire.edu/discover/25745.htm,"Bon Appétit Management Company and Hampshire College are working together to share tips on how to “go local.” This includes sharing a list of five locally produced foods, like fruit and eggs, that are easy to find, as well as locally available substitutions for items that might be difficult, such as olive oil and sugar. The annual Hampshire Fall Feast is held to promote the local food challenge and also provided an opportunity for any interested Hampshire student to participate in a local food photography contest sponsored by Bon Appetit via social media. Guests are encouraged to take a photo of their 100 percent local Bon Appétit meals on Eat Local Challenge Day, then Tweet or Instagram them with their location and the hashtag #eatlocalchallenge. 

http://www.hampshire.edu/news/Sept-24-Hampshire-Fall-Feast-BAMCO-Eat-Local-Challenge-27153.htm

",--
Harvard University,2016-02-29,2016-02-29 16:59:10,colin_durrant@harvard.edu,2.0,Pursuing,True,True,Green Cup Competition,"For the last ten years, the twelve houses have competed in the Resource Efficiency Program’s (REP’s) Green Cup competition. In Green Cup competition, the houses are ranked based on energy and waste reductions as well as their ability to create a culture of sustainability through “eco-projects” and green house committee activities.  The Green Cup competition is composed of three separate awards and one overall winner. The houses with best performance in the categories of Participation, Resource Conservation, and Green House Committee will each earn recognition and a cash prize, while the house with the best score overall will win the Green Cup trophy. The competition  culminates with the Earth Day celebration and Green Cup award ceremony in April.

In addition, competitions for undergraduate and graduate students are organized and run by green living programs at Harvard Law School, Harvard Business School and Harvard Housing properties. First year students compete in a Green Goblet competition.","The total average electricity reduction across all 12 houses during the competition period (October 2012 - March 2013) was 3.83% and the winning house had a reduction of 13%. The year before (Oct 2011 - March 2012) the reduction was 4.3% (compared to a rolling 3 year baseline) and the winning house had an electricity reduction of over 16%. 

The annual food waste audit conducted in all houses as part of this program showed a 21% drop since the previous spring, food waste is down 56% since 2005. Food waste in the fall audit was on par with the all time low (fall 2012 - 1.28 oz/person average, all-time-low fall 2011 - 1.22 oz/cap)

The aggregate recycling rate in all the houses (based on a snapshot waste audit) last year was 64%.

In the Resource Efficiency Program Recycling Challenge, the first participation event of the Green Cup 2014 Challenge participation soared to new heights with 80% of residents turning out in Adams, the winning House. Next came Cabot (75%) and Quincy (71%). The top spots were hard won with the top six Houses all rallying for over 50% participation each.",http://green.harvard.edu/programs/undergraduate-resource-efficiency-program,Green Labs Energy Competitions,"The Harvard Green Labs Programs hosts competitions between labs to target energy reduction through behavior change. For example, a lighting competition was held between three groups located in Harvard’s Chemistry Department to encourage the positive behavior change of turning off lights in a space when unnecessary or not in use.  The Siemens sub-metering system is installed in several newly renovated lab spaces, and allows for data collection directly from the light fixtures in each space by reporting kW usage every half hour. From this data the kWh usage for each space can be determined, facilitating the calculation of costs and greenhouse gas emissions associated with each lab’s lighting while negating the need to setup light tracking data loggers throughout each space.","Combined, the three groups reduced their weekly kWh usage by an average of 38%. The winning group reduced their weekly kWh consumption from lighting by an average of 73.6% from their baseline. If this behavior continues, it equates to an annual reduction of almost 60,000 kWh representing over $7,000 in electricity savings and 20 MTCDE reduction in emissions. ",http://green.harvard.edu/news/measuring-behavior-change-through-competition,"Every summer the University conducts demand response outreach campaigns in which messages are sent to building managers and occupants on high demand days, encouraging them to take energy reduction actions. The result is a measurable decrease in energy use at those times, reducing energy demand Harvard is pulling from the grid.

The Green Office Program results in measurable reductions in resource use and energy use in office spaces across campus. The outreach campaign includes an educational website, resources, tips and tools for employees to use in creating resource reduction campaigns in their individual offices.

Recycling Competitions: The FAS Green Program and Office for Sustainability organizes a floor-by-floor recycling competitions in buildings that are fun, engaging way to increase recycling rates. 

We regularly publish ""how to's"" on outreach campaigns and competitions that result in positive impacts:
http://green.harvard.edu/search?f[0]=field_facet_types%3AHow%20To&f[1]=facet_type%3AHow%20To
",--
Haverford College,2016-03-02,2016-03-02 12:02:17,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:56,sustainability@hws.edu,2.0,Pursuing,True,True,Campus Conservation Nationals (CCN)/NY Negawatt Challenge ,"CCN is organized by the Lucid Design Group and is an energy and water conservation competition. Hobart and William Smith Colleges have participated in CCN’s energy conservation competition for four consecutive years. In 2015, CCN and Lucid decided not to hold the competition. However, HWS partnered with other New York Six Liberal Arts Consortium institutions to hold their own energy conservation competition, the NY Negawatt Challenge. HWS uses the Lucid dashboard and CCN competition to encourage students, faculty, and staff to be aware of their energy use and alter behavior in order to reduce campus energy use.","HWS had eight buildings participate in NY Negawatt Challenge fall 2015. Programming and events resulted in a 2.6% reduction in energy consumption (halls did not participate in water conservation). In addition, HWS won CCN’s fall 2014 New York Negawatt Challenge, an energy reduction competition among the members of the New York Six Consortium: Hobart and William Smith Colleges, Colgate University, Hamilton College, Skidmore College, St. Lawrence University, and Union College.",http://buildingdashboard.net/hws/#/hws//,Recyclemania,"RecycleMania is a waste reduction and diversion competition. This year, HWS is participating in our sixth consecutive RecycleMania competition. RecycleMania is used to improve awareness around more sustainable materials management on campus. ","Students, faculty, and staff are sent periodic reminders and updates regarding RecycleMania. RecycleMania acts to build campus awareness around recycling and better materials management practices. RecycleMania tracks weekly recycling, compost, and other waste diversion numbers. This data is used to improve sustainable materials management education, programming, and infrastructure.",http://www.hws.edu/about/green/recyclemania.aspx,"The Office of Sustainability oftentimes partners with ENV 204, “Geography of Garbage,” to hold waste audits in front of our main student center, the Scandling Campus Center, located at the heart of campus. The Colleges held two waste audits during spring 2015, one in March and one during Earth Week in April. Waste audits are used to raise awareness of disposal habits and as a means of data collection to better understand residential recycling and trash. This information is used to improve sustainable materials management education, programming and infrastructure.",--
Indiana State University,2016-03-29,2016-03-29 10:18:54,caroline.savage@indstate.edu,2.0,Pursuing,True,True,Recyclemania,"RecycleMania is a friendly competition and benchmarking tool for college and university recycling programs to promote waste reduction activities to their campus communities. Over a 10-week period, schools report recycling and trash data which are then ranked according to who collects the largest amount of recyclables per capita, the largest amount of total recyclables, the least amount of trash per capita, or have the highest recycling rate.",2015-2016 participation in Recyclemania resulted in 26 Metric Tons of CO2 Equivalent reductions through diversion of our waste stream to recycling across campus.,http://recyclemaniacs.org/scoreboard/participating-schools/list?node_id=20028,Fellows Program,"Each year, Sustainability Fellows pledge to take leadership on at least one project with a strong sustainability component. These projects range from grant writing and publishing papers to initiating community projects. New Fellows are welcomed into Fellowship on an ongoing basis.","ICS’s Sustainability Fellowship Program exists to encourage sustainability scholarship in action. Through the Fellowship Program, we recognize ISU faculty, staff, and students who are engaged in sustainability work, codify the inherently interdisciplinary nature of sustainability, and highlight the engagement of diverse stakeholders across campus. In 2014, 63 Sustainability Fellows represented 25 ISU units.",http://unboundedpossibilities.com/institute-for-community-sustainability/campus/fellows.aspx,"Light-switch plates ""Please Turn Off the Lights"" program remains an active part of the campus energy awareness program. Plates covering light switches continue to bring encourage those entering and exiting a room to be turn off lights that are not needed.  ",--
Indiana University Bloomington,2016-03-23,2016-03-23 09:44:09,brownwm@indiana.edu,2.0,Pursuing,True,True,Indiana University Energy Challenge,"Over the course of the four week competition, participating residence halls, Greek houses, and academic and administrative buildings compete to reduce their electricity and water consumption. The program has grown over time and now includes 15 academic and administrative buildings, all major residence halls, and virtually all Greek chapters housed on campus.","The energy challenge has resulted in savings of 13,875,950 gallons of water and 5,770,265 kWh of electricity.",http://energychallenge.indiana.edu/,Green Teams,"A Green Team is an informal group of faculty, staff, and students in a particular campus unit who work collectively to promote environmentally, socially, and economically friendly practices within that unit. Getting involved with a Green Team is a great way for members of the Indiana University community to reduce the environmental impacts of their office while also helping Indiana University become a more sustainable institution!","Green Teams can have their offices certified at four different levels of sustainability (seed, sprout, sapling, and tree). Each level is attained by the completion of a checklist, which requires that at least 75% of the items on the list are pursued, including any innovation credits. These criteria reduce energy use and increase the sustainability of the office by reducing paper use and increasing recycling rates. Green Teams have initiated a number of activities within their buildings with positive results. One recent example is the IU Art Museum which applied for, and received, funding to install solar panels to offset the use of electricity for its iconic outdoor ""light totem.""",http://sustain.indiana.edu/programs/green-teams/index.php,,--
Juniata College,2016-03-23,2016-03-23 08:10:05,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:17:47,mknowle1@kent.edu,2.0,Pursuing,True,True,RecycleMania,"The RecycleMania campaign is an international campaign where US and Canadian  colleges and universities compete to reduce waste and increase recycling.  In addition to the larger competition, Kent State residence halls compete internally. Kent State has been participating in the RecycleMania competition division since 2009.

Outreach includes a hall vs. hall competition for the residence halls, a competition for the custodial areas, and social media competitions for students and for faculty/staff.
","Kent State's diversion rate increased from 23% in 2014 to 35% in 2015.

",https://www.kent.edu/sustainability/recyclemania,Do It In the Dark,Do It In the Dark is the annual energy saving competition in the residence halls.  Each hall is measured against its own baseline data.,Do It In the Dark is held each year in the fall semester.  The Do it in the Dark 2015 winner was Korb Hall with a 5% reduction in energy use.,https://www.facebook.com/DoItInTheDarkAtKentState,"Additional outreach campaigns include a Winter Shut Down energy saving campaign for faculty and staff, where employees received letters asking them to shut down and unplug electronics, close windows and pull shades.  Sticky notes with a reminder checklist were also distributed.  In the nine days of the shut down (December 2015 - January 2016) the university saved approximately $45,965 in electricity and steam.

Kent State's annual October bra drive started in 2013, in partnership with the Women's Center, to collect bras from students, faculty and staff for donation (if in good condition) or recycling.  In October 2015 we collected 297 bras.  260 were donated to the County Clothing Center and the remaining 37 were recycled.

A Kent State Earth Day Event in 2015 had 44 preschool and kindergarten children from the Kent State Child Development Center participate in environmental related activities and crafts provided by 6 campus departments.

We hosted a Green Apple Day of Service at the Children's Garden at the Kent State University Child Development Center. Kent State was awarded a Green Apple Day of Service grant from Northeast Ohio Chapter of the USGBC. The grant was used to complete a ""bottle house,"" a play house in the children's garden with walls made of plastic bottles collected by the children strung on vertical bamboo posts.

During Campus Sustainability Month 2015, we coordinated with 7 other Ohio Schools to have a social media campus sustainability day celebration with all of our campuses. Tweets from the month can be found off of https://twitter.com/KentStateSusty/lists/oh-campus-sustainability twitter list. ",--
