Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Number of employees,"Number of staff and faculty covered by sustainable compensation standards, guidelines, or policies; ...",Does the institution have employees of contractors working on-site as part of regular and ongoing ...,Number of employees of contractors working on campus,"Number of employees of contractors covered by sustainable compensation standards, guidelines, or ...","A brief description of the sustainable compensation standards, guidelines, or policies; and/or ...",Does the institution wish to pursue Part 2 of this credit (assessing employee compensation)?,Number of staff and faculty that receive sustainable compensation,Number of employees of contractors that receive sustainable compensation,A brief description of the standard(s) against which compensation was assessed,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,The local legal minimum hourly wage for regular employees,"Does the institution have an on-site child care facility, partner with a local facility, and/or ...",Does the institution offer a socially responsible investment option for retirement plans?,The website URL where information about the institution’s sustainable compensation policies and ...,Public Notes
Creighton University,2016-02-24,2016-02-24 14:08:37,mjduda@creighton.edu,2.0,Pursuing,2162.0,2162.0,True,247.0,247.0,Compensation for positions are set based upon market surveys of comparable higher education schools/ colleges and current market conditions.,True,2162.0,247.0,"A survey was completed to compare our wages against the market for our staff, which included comparisons to higher educational schools / universities and geographical market factors.","The University’s salary range is above the current minimum wage.  Compensation for jobs is determined from numerous factors including current market rates.
Employees are eligible for health care, tuition remission for the employee and dependents, a generous retirement matching program, paid parental leave, long-term disability, life insurance, and more.
Information regarding benefits can be found at:http://www.creighton.edu/hr/benefits/index.php", The University’s salary range is above the current minimum wage.  Compensation for jobs is determined from numerous factors including current market rates and comparisons with similar Universities.,The University’s salary range is above the current minimum wage.  Compensation for jobs is determined from numerous factors including current market rates and comparisons with similar Universities.,Adjunct faculty rates are set by contract and exceed minimum wage legislation.  Compensation for jobs is determined from numerous factors including current market rates and comparisons with similar Universities.,Students tend to start at the minimum wage with annual increases as their class rank progresses.  College Work Study employees are paid at the federally mandated rate. Graduate students receive stipends based on whether they are MS/MA or PhD students.,9.0,True,True,http://www.creighton.edu/hr/benefits/,Data are for academic 2014-15. This is to be consistent with the performance base year using across this survey.
Denison University,2016-02-15,2016-02-15 15:55:27,kingje@denison.edu,2.0,Pursuing,768.0,768.0,True,120.0,120.0,"All employee wages and benefits are compared to a market analysis and Denison offers wages and benefits at the level of or better than the market.

Our Dining Services Provider, Bon Appetit Mgmt Co offers competitive compensation, excellent benefits, and a positive work environment designed around the philosophy of mutual respect and the challenge of contributing to the continued success of its organization.",True,768.0,120.0,We routinely participate in compensation surveys and regularly perform analyses of the market to determine how we compare for all faculty and staff positions.,"Our lowest paid employees receive no less than $10.50 per hour or the equivalent of $21,840 per year. However, 90% of new hires start at $11 an hour or higher ($11 an hour is $22,880 per year). The average annual wage for the lowest paid employees is $28,163. Average benefits is about $12,000 per employee. 

Benefits include retirement contributions, health care, tuition exchange for dependents, and life insurance.",Average hourly rate is $11.30 an hour - benefits would be 18.65% of annual salary (or of hourly rate).,The lowest wages we pay to casual or temporary staff is $10 an hour with 8.65% of rate for benefits.,"Adjunct faculty receive approximately $6,000 per course taught per semester.",Student employees are paid $8.75 an hour and receive 1% benefits.,8.1,True,True,http://www.denison.edu/offices/humanresources/benefits.html,--
Dickinson College,2016-03-08,2016-03-08 10:06:35,welkerm@dickinson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Drew University,2016-03-25,2016-03-25 16:10:57,swald@drew.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Duke University,2016-02-26,2016-02-26 14:17:54,tavey.mcdaniel@duke.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"This information is from the fiscal year 2014 report.

Duke University and Duke University Health System will increase the current minimum wage for all regular employees to $12.00 per hour effective July 1, 2015. 
 
Duke’s current minimum wage of $10.91 was last adjusted in 2012. The new rate well exceeds the federal and state minimum wage of $7.25 per hour.
 
Duke University and Health System annually review all pay ranges, including its minimum wage, relative to the local and national markets. 
 
The adjustment will result a pay increase for more than 400 current employees, who will be notified by letter."
Earlham College,2016-03-03,2016-03-03 10:49:46,butchli@earlham.edu,2.0,Pursuing,371.0,371.0,True,28.0,28.0,The institution ensures that all full time employees are receiving wages above the federal poverty level which the institution defines as a living wage.,True,371.0,28.0,We assess the federal poverty level and make sure that our wages are above that level.,"11.63/hour + health insurance at 1.65% of gross salary, dental insurance, life insurance, long term disability after one year","The lowest paid regular part-time employees receive minimum wage, which is $7.25 per hour with no benefits.","The lowest paid temporary staff receive minimum wage, which is $7.25 per hour with no benefits.",All college adjunct faculty are paid $1000 per credit hour that they teach.,The lowest paid student employees receive $7.25 per hour with no benefits.,7.25,True,True,--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:10,stoddardl@easternct.edu,2.0,Pursuing,600.0,600.0,--,--,--,Administrative staff are covered by the local AFSCME SUOAF chapter collective bargaining agreement. Teaching Faculty are covered by the local AAUP union collective bargaining agreement. ,True,--,--,"600 employees are covered by a union which sets the rate for wages and benefits. 
Here is a link to the SUOAF Union Handbook which details wages and increments within employees administration levels. When employees first begin work they are placed at a level based on past experience, and earned credentials. http://www1.easternct.edu/humanresources/files/2014/04/SUOAF2007-2011_000August8.pdf

Here also is a link to the AAUP handbook:http://www1.easternct.edu/humanresources/files/2014/04/aaup_contract.pdf
","600 employees are covered by a union which sets the rate for wages and benefits. 
Here is a link to the SUOAF Union Handbook which details wages and increments within employees administration levels. When employees first begin work they are placed at a level based on past experience, and earned credentials. http://www1.easternct.edu/humanresources/files/2014/04/SUOAF2007-2011_000August8.pdf

Here also is a link to the AAUP handbook:http://www1.easternct.edu/humanresources/files/2014/04/aaup_contract.pdf
","Lowest paid employees compensation includes but is not limited to University Assistants, Graduate Assistants, and their compensation is based on years of experience, and earned credentials. ",N/A,Based on experience and degree level. ,Defined by minimum wage set by the State of Connecticut.,9.15,True,True,http://www1.easternct.edu/fiscalaffairs/payroll/,The information for this credit was collected through speaking with George Whiting. 
Elon University,2016-01-14,2016-01-14 09:32:42,edurr@elon.edu,2.0,Pursuing,1475.0,--,True,274.0,--,"Elon University complies with all laws governing compensation and pay practices, including the Fair Labor Standards Act (“FLSA”). FLSA governs compensation in many ways including establishing minimum wage, requiring overtime pay for non-exempt (hourly) employees and establishing pay classifications and accompanying rules on deductions for those classified as exempt (salary) or nonexempt (hourly). 

Elon makes every effort to assure that salaries are competitive with or above those in the community, local industry and among peer institutions. The university has as part of its long range plan, the Elon Commitment, a specific goal aimed at employing a world class faculty and staff. To achieve this goal, the university understands the importance of offering very competitive salaries in order to secure the best employees to move the university forward. In its effort to assure that salaries paid at Elon rank in the top three of the university’s peer institutions, the university has implemented a salary plan that will further increase compensation of faculty and staff in a three-year program that began in December 2013 and concluded with the completion of Phase three on June 1, 2015. The university’s three-year salary initiative provided an additional salary pool each year which targeted employees based on identified salary bands. The salary amounts being paid to employees were divided into three bands – lowest to highest.  The first year of the initiative provided the additional salary pool for those employees who were earning salaries in the lowest band. The second year targeted those employees in the mid-range among all employees, and the third year targeted those employees above the mid-range. This three-year salary initiative was in addition to the university’s annual review process and salary increase pool for employees. 

The university has had a salary increase pool each year unlike many other colleges, universities and businesses which have not provided salary increases for employees. Additionally, there have been no layoffs at Elon despite the economic downturn in the country which began in the fall of 2008. 

To further support the goal of competitive salaries, the university is also completing a review of its current salary ranges to re-establish a minimum, midpoint and maximum annual salary for each pay grade. Elon will again be collaborating with its contracted food service vendor and campus book store vendor requesting that they consider using the same overall minimum salaries for pay ranges so as to maintain alignment with the university’s initiative. Pay ranges are being determined using local, regional and national survey information. More specifically, the university is utilizing the College and University Professional Association for Human Resources’ annual salary survey, the HEITS Salary Survey for employees working in Information Systems positions and numerous state and regional salary surveys of positions at the university that are commonly found in business and industry. Elon has also sought to identify salaries for positions that can be found at other colleges and universities that are considered to be Elon’s peers as well as a number of institutions that the university aspires to be more like. The university has contracted with Willis, Inc. out of Atlanta to assist in the development of its pay range system, and the salary study will be completed in the near future.",--,--,--,,,,,,,--,--,True,--,--
Emory University,2016-02-29,2016-02-29 16:26:25,ciannat.howett@emory.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"http://thecliftonschool.org/families/tuition/ 
http://www.hr.emory.edu/eu/docs/eligibility-faculty.pdf

The number of non-compensation employees were subtracted from the total employee count for this credit to reflect more accurately the employee compensation data. 

Undergraduate student employees were not included per the credit info."
Endicott College,2016-03-01,2016-03-01 10:09:56,screight@endicott.edu,2.0,Pursuing,895.0,895.0,True,100.0,100.0,"Endicott's wages are above the living wage for all employees.   
Full time faculty are covered by a collective bargaining agreement. ",--,--,--,,"Full-time employees are provided with vacation, sick time, sick bank, tuition benefits, health insurance, life insurance, and contributions to their retirement.  ", Part-time employees receive most of these benefits as well. ,Staff receive the same benefits ,Faculty and staff receive the same benefits,Student workers receive minimum wage as a minimum.  Many students are provided work study jobs. ,9.0,--,True,--,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:11,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Fort Lewis College,2016-03-27,2016-03-27 15:59:28,kehilimire@fortlewis.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Furman University,2016-02-22,2016-02-22 13:42:56,yancey.fouche@furman.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
George Washington University,2016-02-29,2016-02-29 13:04:18,shannonross@gwu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia College & State University,2016-03-25,2016-03-25 19:08:35,doug.oetter@gcsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gonzaga University,2016-02-29,2016-02-29 13:09:13,simonj@gonzaga.edu,2.0,Pursuing,1242.0,1242.0,--,--,--,,--,--,--,Ongoing evaluation of market trends and best practices is used to assess the satisfactory nature of compensation.,,,,,,9.36,--,True,--,"Although we do have employees of contractors working on site, I had to mark that section no, because by marking it as yes, we would have to fill out a particular number. (the reporting tool did not let us answer the number as unknown)  We don't have ready access to what this number is because they are scattered throughout many division and the number of them changes seasonally."
Green Mountain College,2016-03-21,2016-03-21 15:55:12,ihrker@greenmtn.edu,2.0,Pursuing,216.0,--,True,63.0,--,"Even though there isn't a particular standard, guideline, or policy addressing sustainable compensation standards, all employees (including employees of the two permanent on-site contractors: Chartwells and DTZ) are eligible for the Community Income Equity Fund (CIEF). CIEF is a fund paid in six-month cycles to nominated employees who make less than a sustainable wage. Employees of GMC and both of its major subcontractors (Chartwells and DTZ) may give voluntary donations to this fund as one-time payments or part of a regular payroll deduction. Any employee of any of the three organizations can also nominate employees to receive funding. The fund was established in 2013 by a group of faculty and staff who wanted to address income equity in the community. In 2014, the fund expanded its offerings to include refurbished Mac computers from campus for those who would otherwise have difficulty buying a high quality computer. A total of $5,500 was distributed in FY 2014 to eight nominees. For nominees making close to minimum wage, they received the equivalent of three weeks of additional pay or a 6% bonus. ",True,95.0,--,"CIEF defines the standard for sustainable compensation to be the Vermont Liveable Wage, which was determined by the State of Vermont to be $15.74 in 2013. ","All full-time Green Mountain College employees are offered  medical insurance, dental insurance, flexible spending accounts, TIAA-CREF retirement account, paid vacation days, paid sick days, paid holidays, and life insurance. The lowest paid full-time employees are also eligible for the CIEF, as described above. ","The lowest paid part-time workers make minimum wage and are eligible to receiving compensation from CIEF, as described above. They are not eligible to receive the other benefits given to full-time employees. ","The lowest paid temporary staff make minimum wage and are eligible to receive compensation from CIEF, as described above. They are not eligible to receive the other benefits given to full-time employees. ","The lowest paid adjunct faculty are eligible to receive compensation from the CIEF, as described above. They are not eligible to receive the other benefits given to full-time employees. ","The lowest paid student employees make minimum wage and are eligible for CIEF if they are hired as regular employees. If they are hired as work study students, then they are not eligible for CIEF. No student employees, unless they are full-time, are eligible for the other benefits that GMC's full-time employees receive. ",8.73,True,True,http://sustainability.greenmtn.edu/living_learning/beyond_classroom/gmc-community-income-equity-fund--.aspx,The performance year for this credit is FY 2013. 
Guilford College,2016-03-08,2016-03-08 08:08:26,corrybc@guilford.edu,2.0,Pursuing,398.0,398.0,True,28.0,12.0,The college has established a minimum hiring wage that exceeds the living wage as defined by the Massachusetts Institute of Technology's Living Wage Calculator by nearly $1/hr. ,True,356.0,12.0,"Wages assessed by comparison to the living wage as defined by the Massachusetts Institute of Technology's Living Wage Calculator. It is a market-based approach
that draws upon geographically specific expenditure data related to a family’s likely minimum food, child care, health insurance, housing, transportation, and other basic necessities (e.g.clothing, personal care items, etc.) costs. The living wage draws on these cost elements and the rough effects of income and payroll taxes to determine the minimum employment earnings necessary to meet a family’s basic needs while also maintaining self-sufficiency. 
","$11.25/hr with benefits. Benefits include accrued two weeks vacation after first 90 days, one day sick leave per month, basic health insurance at $55/month, eligibility  to participate in retirement plan after first year with 1% contribution matched by 6%, access to dental plan, life insurance and long-term disability. ",$11.25/hr with pro-rated benefits of leave accrual and retirement. No health insurance provided. Any part-time employee working more than 30 hours per week is provided full-time benefits.,Dependent upon position.,"Based upon classes taught, whether day or night classes and class size.",Minimum wage ($7.25/hr),7.25,--,True,https://intranet.guilford.edu/?page_id=148,--
Hampshire College,2016-03-23,2016-03-23 09:57:37,bhooker@hampshire.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Information obtained from Human Resources, through assistant HR director Dianna Williams.

Our compensation policy is not available on the public website, but is available to our employees on our intranet, which is not available to the public."
Harvard University,2016-02-29,2016-02-29 16:58:52,colin_durrant@harvard.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Haverford College,2016-03-02,2016-03-02 12:01:58,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"The 625 does not include student workers or outside contractors.
Information submitted by Chris Chandler, Director of Human Resources."
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:38,sustainability@hws.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana State University,2016-03-29,2016-03-29 10:17:02,caroline.savage@indstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:42:23,brownwm@indiana.edu,2.0,Pursuing,8321.0,8321.0,True,813.0,813.0,"Indiana University follows guidelines set forth by the Fair Labor Standards Act (FLSA). The FLSA is an employee protection act that establishes minimum wage, overtime pay, equal pay, and recordkeeping laws based on an employee's classification. In addition, in order to meet the needs of the IU community in an economy that is increasing the standard of living, IU has increased the minimum wage to $8.25, $1 higher than the state minimum wage.",--,8321.0,813.0,"IU follows policy based on the federal FLSA, which states: The Fair Labor Standards Act (FLSA) establishes minimum wage, overtime pay, recordkeeping, and child labor standards affecting full-time and part-time workers in the private sector and in Federal, State, and local governments.

http://www.dol.gov/whd/flsa/","Employees working 30 hours or more are considered full-time employees in accordance with the Affordable Care Act. As such, health and dental benefits are provided, with a wage no less than $8.25/hr.","Employees working 29 hours or less are considered part-time employees in accordance with the Affordable Care Act. As such, health and dental benefits are not provided, with a wage no less than $8.25/hr.","Temporary employees have either student or non-student status and are defined as those employees not occupying a budgeted line position (an appointed position) and are temporary, at will employees. Temporary employees are identified as nonexempt under the Fair Labor Standards Act and therefore are subject to the requirements for payment of overtime. 

http://policies.iu.edu/policies/categories/human-resources/establishing-positions/temporary_positions.shtml","Temporary employees have either student or non-student status and are defined as those employees not occupying a budgeted line position (an appointed position) and are temporary, at will employees. Temporary employees are identified as nonexempt under the Fair Labor Standards Act and therefore are subject to the requirements for payment of overtime. 

http://policies.iu.edu/policies/categories/human-resources/establishing-positions/temporary_positions.shtml","Student employment at Indiana University has three primary purposes: (1) to provide financial self-help so students may further their education; (2) to provide work opportunities that enhance the educational program through the learning of skills, responsibilities, habits, attitudes, and self-development associated with labor; (3) to increase interaction with faculty and the community so students may more readily adjust to university life. Student will be paid no less than $8.25/hr. However Indiana University Human Resources recommends that units provide a salary of $10/hr for undergraduate student workers, and $15/hr for graduate student workers. Benefits are not available to student temporary workers. http://hr.iu.edu/policies/temporary/students.html",7.25,True,True,http://www.iub.edu/~uhrs/salary/,"IU has recently moved from coded hourly positions to ""temporary"". Those listed as a temporary employees are subject to the Fair Labor Standards Act (FLSA)."
Juniata College,2016-03-23,2016-03-23 08:08:01,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:15:54,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:29:31,sustainability@knox.edu,2.0,Pursuing,461.0,461.0,--,--,--,"All staff and faculty are compensated based on Knox's understanding of appropriate and livable wage, in accordance with local cost-of-living indices.  With the exception of special events and occasional irregularities, all campus services relating to facilities management and food services are provided by Knox employees, enabling Knox to ensure sustainable compensation.  Summer employment opportunities in the facilities department are offered to all seasonal food services staff, so that year-round income is readily available.  Hourly staff have union representation.",True,461.0,--,"In March 2013, we did an analysis of all 455 employees of Knox College and found that even the lowest paid hourly workers make well over the Illinois minimum wage of $8.25 per hour. Based on federal poverty guidelines and local cost-of-living indices, 100% of our employees receive sustainable compensation.  This study will be done at least every three years to ensure compliance.","Even the lowest paid hourly workers at Knox make well over the Illinois minimum wage of $8.25 per hour. Based on federal poverty guidelines and local cost-of-living indices, 100% of our employees receive sustainable compensation.  ","Even the lowest paid hourly workers at Knox make well over the Illinois minimum wage of $8.25 per hour. Based on federal poverty guidelines and local cost-of-living indices, 100% of our employees receive sustainable compensation.  ","Even the lowest paid hourly workers at Knox make well over the Illinois minimum wage of $8.25 per hour. Based on federal poverty guidelines and local cost-of-living indices, 100% of our employees receive sustainable compensation.  ","Even the lowest paid hourly workers at Knox make well over the Illinois minimum wage of $8.25 per hour. Based on federal poverty guidelines and local cost-of-living indices, 100% of our employees receive sustainable compensation.  ",Student workers (all undergraduate) are paid the Illinois minimum wage of $8.25/hour.  ,8.25,--,True,--,--
Lehigh University,2016-02-29,2016-02-29 00:26:06,sustainability@lehigh.edu,2.0,Pursuing,1700.0,1700.0,True,480.0,158.0,Lehigh faculty and staff compensation levels are determined by analysis of median market rates paid for similar positions in our labor markets.,--,1700.0,--,Lehigh faculty and staff compensation levels are determined by analysis of median market rates paid for similar positions in our labor markets.,"The lowest paid individuals working full time each week of the year earn $20,360 to $21,600 as child care workers. These individuals also receives full benefits including health care, life insurance, long term disability insurance, EAP access, retirement contributions, tuition remission, short term disability coverage, and paid time off benefits. ",,,,,--,True,True,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:07:59,advorak@lclark.edu,2.0,Pursuing,1393.0,180.0,True,119.0,--,"The College reviews salaries of current employees at least once a year. Unless specified otherwise in a collective bargaining agreement, adjustments are made at the discretion of the College based upon a variety of factors including, but not limited to, quality of performance, position, duties and responsibilities, experience, qualifications, longevity, labor market conditions, and institutional resources and living wage criteria. Employees of contractors are not covered under collective bargaining agreements. 120% of the local poverty guideline for a family of four was used as the sustainable compensation benchmark. Stipend paid adjuncts are included in this count based on estimated hours worked, however actual hours worked is unknown.

",True,1305.0,--,"Poverty guideline for a family of four in Oregon = $24,250
120% of that = $29,100
Hourly rate on that for a full time employee at Lewis & Clark (29,100/1950) = $14.92
Grade 12 LCCSSA: 2 years or less, at $14.84","See HR website, union contracts - link below",See HR website - link below,See HR website - link below,Adjunct faculty are paid a stipend per credit or course taught,Students are paid minimum wage or higher,9.25,--,True,http://www.lclark.edu/offices/human_resources/employee_resources/unions/,--
Loyola Marymount University,2016-03-23,2016-03-23 14:01:25,ian.mckeown@lmu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:24,adurnbaugh@luc.edu,2.0,Pursuing,3994.0,2990.0,True,255.0,215.0,Our Dining Services and Housekeeping vendors has unionized workforce but our Shuttle and Mailroom does not.,--,--,--,,,,,,,10.0,True,True,http://www.luc.edu/hr/compensation.shtml,This is information from 2013.
Macalester College,2016-01-06,2016-01-06 13:02:47,shansen2@macalester.edu,2.0,Pursuing,778.0,778.0,True,69.0,--,"Macalester College recently reviewed and updated the pay grades, pay ranges and position descriptions for the college and restructured our compensation program ensure that our compensation is up-to-date, fair, and equitable to attract and retain a high-caliber, diverse workforce. Our Employee Services Department participates in multiple salary surveys and in return receives the results of these surveys which include participation of similar institutions. These salary surveys are compared to position descriptions to establish market pay practices for positions, instead of prevailing wages, and continually monitors to ascertain that benefit cost increases to employees are limited to the greatest extent possible. The Department also monitors the City of St. Paul living wage definition and comfortably exceeds it.",True,778.0,--,"Macalester College recently reviewed and updated the pay grades, pay ranges and position descriptions for the college and restructured our compensation program ensure that our compensation is up-to-date, fair, and equitable to attract and retain a high-caliber, diverse workforce. Our Employee Services Department participates in multiple salary surveys and in return receives the results of these surveys which include participation of similar institutions. These salary surveys are compared to position descriptions to establish market pay practices for positions, instead of prevailing wages, and continually monitors to ascertain that benefit cost increases to employees are limited to the greatest extent possible. The Department also monitors the City of St. Paul living wage definition and comfortably exceeds it.","lowest paid regular, full-time employees: Macalester College provides a comprehensive benefits program designed to provide employees with the resources they need to maintain their well-being in all respects. Macalester College offers wages which are competitive, up-to-date, fair, and equitable to attract and retain a high-caliber and diverse workforce of community-oriented staff and administrators who are dedicated to supporting the College’s vision to be a world class institution.","Macalester College provides wages to part-time employees which are equitable with full-time employees based upon full-time equivalent. Additionally, wages exceed the City of St. Paul living wage definition when scaled to full-time equivalent. Macalester’s comprehensive benefits program incorporates the majority of benefits offered and provided to full-time employees. A small fraction of benefits are scaled in cost based upon full-time equivalent. Overall benefits offered to part-time employees exceed market averages.","Macalester College provides a comprehensive benefits program designed to provide employees with the resources they need to maintain their well-being in all respects. Macalester College offers wages which are competitive, up-to-date, fair, and equitable to attract and retain a high-caliber and diverse workforce of community-oriented staff and administrators who are dedicated to supporting the College’s vision to be a world class institution.","Macalester College provides a comprehensive benefits program designed to provide employees with the resources they need to maintain their well-being in all respects. Macalester College offers wages which are competitive, up-to-date, fair, and equitable to attract and retain a high-caliber and diverse workforce of community-oriented staff and administrators who are dedicated to supporting the College’s vision to be a world class institution.","Macalester College offers student employees’ wages as part of tuition assistance. These wages appropriately compensate student employees for the work performed in a variety of varying roles. Student employees are not eligible to participate in Macalester’s benefits program. Graduate students may participate in Macalester’s benefits program if there hours/FTE meets or exceeds the eligibility standard for the respective benefit. If eligible, Macalester College provides a comprehensive benefits program designed to provide employees with the resources they need to maintain their well-being in all respects.",7.25,--,True,http://www.macalester.edu/employmentservices/,--
Maryville College,2016-02-11,2016-02-11 15:37:31,adrienne.schwarte@maryvillecollege.edu,2.0,Pursuing,426.0,426.0,True,67.0,--,All staff makes a minimum of 9.25 per hour.,True,426.0,--,A comparison with minimum wage.,"Full-time employees receive a minimum of $9.25 per hour, free medical insurance, free life ins, and free long term disability. The college matches their retirement contribute to their 401k, and they are allowed 12 paid sick days per year, 10 paid vacation days per year, and 2 paid personal days per year. Employees are also able to use fitness facilities and library services free of charge, as well as receiving discounts in the college bookstore and for food services on campus. They are also given free sports passes for all home athletic competitions.","Part-time employees receive a minimum of $9.25 per hour.
Part-time employees are also able to use fitness facilities and library services free of charge, as well as receiving discounts in the college bookstore and for food services on campus. They are also given free sports passes for all home athletic competitions.
","Temporary staff are paid on a stipend basis or given a minimum of $9.25 an hour compensation. They are also able to use fitness facilities and library services free of charge, as well as receiving discounts in the college bookstore and for food services on campus. They are also given free sports passes for all home athletic competitions.","Adjunct faculty are paid on a stipend basis that depends on the number of students enrolled in their courses and the number of hours they are teaching. They are also able to use fitness facilities and library services free of charge, as well as receiving discounts in the college bookstore and for food services on campus. They are also given free sports passes for all home athletic competitions.","Students receive a minimum of $7.25 per hour, and they are eligible for workers' compensation benefits if injury occurs while on the job.",7.25,--,True,http://www.maryvillecollege.edu/about/inside/employment/benefits/,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:44:59,slanou@mit.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
McMaster University,2016-02-19,2016-02-19 09:37:22,naeemsh@mcmaster.ca,2.0,Pursuing,7380.0,7380.0,True,50.0,50.0,"McMaster University is committed to building and maintaining mature, constructive relationships with all employees and the bargaining agents that represent them.  These relationships provide the employment environment necessary for the University to achieve its vision of “international distinction for creativity, innovation, and excellence.”

McMaster employees are covered by a variety of collective bargaining agreements which ensure sustainable compensation beyond the legal minimum wage.  

Detail breakdown of these agreements are given at:  

www.workingatmcmaster.ca/link.php?link=hrservices:hrs-ee-fast-facts 

Further Information on compensation by the respective collective bargaining units, policies regarding physical health / safety and social needs (such as Pay Equity / Equal pay for work of equal value) is given at: 

www.workingatmcmaster.ca/comp/ 
",--,7380.0,50.0,,,,,,,11.0,True,--,http://workingatmcmaster.ca/comp/,--
Miami University,2016-03-02,2016-03-02 14:17:43,kliney@miamioh.edu,2.0,Pursuing,4301.0,4301.0,--,--,--,na,True,4288.0,--,"The Living Wage Calculation for Butler County, Ohio was used as the standard to assess compensation.  The living wage shown is the hourly rate that an individual must earn to support their family, if they are the sole provider and are working full-time (2080 hours per year).
http://livingwage.mit.edu/counties/39017
","No less than $7.95/hour minimum wage, plus a benefits package that includes health benefits, basic life insurance, and a retirement plan.  Full-time employees are persons whose customary annual appointment is longer than one semester for 30 or more hours per week or .75 FTE or greater.  Full-time appointments are benefit eligible.  
","No less than $7.95/hour minimum wage, plus a retirement plan.  Part-time employees are persons whose customary annual appointment is longer than one semester but for less than 30 hours per week (.70 FTE or less).  Part-time appointments are not benefit eligible.
","No less than $7.95/hour minimum wage, plus a retirement plan.  A temporary employee is a person whose customary annual appointment is for one semester or less.  Other than a retirement plan, temporary employees are not benefit eligible.
","No less than $7.95/hour minimum wage, plus a retirement plan.  A temporary employee is a person whose customary annual appointment is for one semester or less.  Other than a retirement plan, temporary employees are not benefit eligible.
","Students are paid no less than $7.95/hour minimum wage, and are not eligible for benefits.
",7.95,True,--,--,"In regards to Living Wage information, referenced is the Poverty in America Living Wage Calculator noted below: 
http://livingwage.mit.edu/counties/39017
The Living Wage Calculator was created by West Arete Computing, a company that specializes in academic and research computing in conjunction with Penn State EMS Environment Institute.
The Living Wage Calculator references an hourly rate of $9.28 for 1 adult in Butler County.  Since some of our employees are paid an hourly rate and others a salary, current employees were broken into two groups, hourly and salaried, in order to perform the review.
There are currently 1201 active hourly employees at Miami University.  All 1201 employees are paid $9.28 or greater per hour.
Salaried staff are not paid an hourly rate, so an estimation was calculated. There are 2080 hours in a standard work year.  The annual salary for our full-time staff and divided by 2080 to come up with an hourly rate estimation. All but 13 of the 3100 active salaried employees are paid $9.28 or more.

Reference for Living Wage:
Living Wage Calculator  @ http://livingwage.mit.edu/counties/39017
"
