Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have any building space certified under the following green building rating ...,Does the institution have any building space certified under LEED for Existing Buildings or another ...,"Does the institution have any building space certified under the DGNB system, Green Star ...","Does the institution have any building space certified under BREEAM-In Use, CASBEE for Existing ...",Does the institution have any building space certified under other non-GBC rating systems (e.g. ...,A brief description of the green building rating system(s) used and/or a list or sample of ...,Total floor area of eligible building space (operations and maintenance),Floor area of building space that is certified at each level under a 4-tier rating system for ...,Floor area that is certified at minimum level under a 4-tier GBC rating system for existing ...,Floor area that is certified at the 3rd highest level under a 4-tier GBC rating system for existing ...,Floor area that is certified at the 2nd highest level under a 4-tier GBC rating system for existing ...,Floor area that is certified at the highest achievable level under a 4-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 3-tier rating system for ...,Floor area that is certified at minimum level under a 3-tier GBC rating system for existing ...,Floor area that is certified at mid-level under a 3-tier GBC rating system for existing buildings,Floor area that is certified at the highest achievable level under a 3-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 5-tier rating system for ...,Floor area that is certified at minimum level under a 5-tier GBC rating system for existing ...,Floor area that is certified at the 4th highest level under a 5-tier GBC rating system for existing ...,Floor area that is certified at mid-level under a 5-tier GBC rating system for existing buildings,Floor area that is certified at the 2nd highest level under a 5-tier GBC rating system for existing ...,Floor area that is certified at the highest achievable level under a 5-tier GBC rating system for ...,Floor area of building space that is certified at any level under other green building rating ...,Floor area of building space that is maintained in accordance with formally adopted sustainable ...,A copy of the sustainable building operations and maintenance guidelines or policies,The date the guidelines or policies were formally adopted,A brief description of the sustainable building operations and maintenance program and/or a list or ...,A brief description of how the institution ensures compliance with sustainable building operation ...,The website URL where information about the institution’s certified buildings and/or sustainable ...,Public Notes
Georgia College & State University,2016-03-25,2016-03-25 19:08:08,doug.oetter@gcsu.edu,2.0,Pursuing,**,True,--,--,--,"Wellness and Recreation Center- LEED Silver
Ennis Hall- LEED Silver",2196533.0,**,--,135530.0,--,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,One new building (Wellness & Recreation Center) and one re-designed building (Ennis Hall) were certified as LEED Silver.  The State of Georgia has now passed an act of law preventing state institutions from pursuing LEED certification.  We are examining other certification options.,,http://old.gcsu.edu/green/design.htm,--
Gonzaga University,2016-02-29,2016-02-29 13:09:07,simonj@gonzaga.edu,2.0,Pursuing,**,True,--,--,--,"PACCAR Hall - Gold LEED certification
",29000.0,**,--,--,29000.0,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,,,--,--
Green Mountain College,2016-03-21,2016-03-21 15:55:07,ihrker@greenmtn.edu,2.0,Pursuing,**,--,--,--,--,,493298.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,482798.0,http://stars.aashe.org/media/secure/26/6/474/2700/Green.Cleaning.Program.at.GMC.pdf,2011-06-13,"The GreenClean program (Guaranteed Clean. Certifiably Clean) was adopted when UGL, now Cushman and Wakefield Services(CW) became the facilities contractor for Green Mountain College on June 13th 2011. The program, which is GB certified with ISSA CIMS, includes cleaning procedures for dusting and dust mopping, floor and carpet care, restroom cleaning, and procurement standards for chemicals, equipment, and supplies. It also includes special training and waste stream management.

CW takes holistic approach to providing state-of-the-art green services which takes into account the building’s function, activities of the occupants, specific cleaning and sanitation requirements to develop a service plan that minimizes risk to the environment and promotes the health and safety of staff and guests. CW is a member of the U.S. Green Building Council  and is regularly recognized for innovation and leadership through BOMA. 

The GreenClean program is used on all main campus buildings. The Killington Lodge is managed by a different group, so it is not included in this program and the square footage has been factored out in the number reported above.","Most of the time, compliance is ensured by CW, the company that provides buildings operations and maintenance services to the College. Occasionally, the College vets this program as the director of sustainability did in 2014. The director of sustainability read the SOPs for the GreenClean Program in February, 2015, and meets twice a month with the facilities director and regularly with the lead custodian about operations and maintenance practices.",http://www.uglservices-na.com/services/facilities-services/janitorial.asp,The performance year for this credit is FY 2015. 
Guilford College,2016-03-08,2016-03-08 08:08:21,corrybc@guilford.edu,2.0,Pursuing,**,True,--,--,--,Archdale Hall - LEED Silver,790683.0,**,--,6028.0,--,--,**,--,--,--,**,--,--,--,--,--,--,784655.0,http://stars.aashe.org/media/secure/324/6/474/2700/Employee%20Energy%20Conservation%20Policy,2012-07-15,"All buildings are maintained with industry best practices. In 2012 all campus facilities were audited using ASHRAE Level II energy auditing standards. These reports resulted in a compilation of energy conservation measures that the college has implemented over time. All departments are trained and versed in sustainable operations strategies such as green cleaning, water saving technology, HVAC strategies, etc.",All building energy use is recorded and monitored by a dedicated Energy Manager to identify anomalies in energy usage and prompt investigation for known energy waste. Our purchasing methodology incorporates a life cycle costing model used to weigh the initial cost versus life time performance and energy costs. ,http://sustainability.guilford.edu/,--
Hampshire College,2016-03-23,2016-03-23 09:57:07,bhooker@hampshire.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Harvard University,2016-02-29,2016-02-29 16:58:47,colin_durrant@harvard.edu,2.0,Pursuing,**,True,--,--,--,"In 2015, Harvard reached the 100 LEED certified projects milestone, more than any other higher education institution in the world according to the USGBC:
http://news.harvard.edu/gazette/story/2015/11/harvard-breaks-leed-record/

The list of certfied buildings and case studies are available at: http://www.energyandfacilities.harvard.edu/green-building-resource/leed-case-studies",26000000.0,**,--,--,7000.0,44000.0,**,--,--,--,**,--,--,--,--,--,--,25949000.0,http://stars.aashe.org/media/secure/469/6/474/2700/2014%20Harvard%20Green%20Building%20Standards_12-1-14.pdf,2007-01-01,"All Harvard owned properties and renovations are regulated by the Harvard Green Building Standards and included in the university-wide goal to reduce greenhouse gas emissions. The Standards are updated on a regular basis and the latest revision included improvements to Measurement and Verification standards that are used to assess the effectiveness and performance of energy and mechanical systems. In addition, building managers routinely energy audit and must plan for and implement energy conservation measures as part of the capital planning process. Many of our buildings are also undergoing commissioning and retro-commissioning to ensure they are operating properly. ",Compliance with the Green Building Standards is reviewed as part of Harvard's larger capital project review and approval process.,http://green.harvard.edu/topics/green-buildings/green-building-standards,--
Haverford College,2016-03-02,2016-03-02 12:01:53,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,www.haverford.edu/news/stories/28191/51
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:33,sustainability@hws.edu,2.0,Pursuing,**,--,--,--,--,"The 65,000-square-foot new Gearan Center for the Performing Arts, which officially opened in January 2016, will be LEED certified Silver or better. LEED is a point-based system to quantify sustainable characteristics of new buildings in this case.",1519440.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,1519440.0,http://stars.aashe.org/media/secure/495/5/310/1736/Climate%20Action%20Plan.pdf,2010-04-23,All campus buildings are operated to the same high level of environmental standards as outlined in the HWS Climate Action Plan. ,"There is an ongoing review process led by the Climate Task Force. Performance is assessed by key waste, water, and energy metrics, as well as through GHG inventories (refrigerant and grounds management).

Additionally, the Climate and Energy Committee, made up of facilities staff, Sustainability Manager, and students, meets monthly to discuss ways in which to reduce energy use and GHG emissions. This committee often tackles building operation and maintenance concerns and opportunities.",http://issuu.com/hwscolleges/docs/climate_action_plan_jenco/1?e=0,--
Indiana State University,2016-03-29,2016-03-29 10:16:34,caroline.savage@indstate.edu,2.0,Pursuing,**,True,--,--,--,"Our College of Business building, Federal Hall, has maintained its LEED Silver certification since 2013 after an extensive renovation. After renovation, Mills Residence Hall was awarded LEED Certified status and reopened for occupation Fall 2015.",884324.0,**,87610.0,90000.0,--,--,**,--,--,--,**,--,--,--,--,--,--,691780.0,http://stars.aashe.org/media/secure/614/6/474/2700/ISU-Climate-Action-Plan-Final-2010.pdf,2010-05-04,"University Hall, Blumberg Hall, and Erickson Hall were all renovated to LEED standards but not certified.  They are maintained with sustainable operations and maintenance. 
Normal Hall and the Arena academic building are each pending LEED certification.","Construction Waste & Recycling Plan
Please find the following Construction Waste and Recycling Plan as required by specification section 011510. 

A.	Contractor Name and Project Identification: 
a.	Garmong Construction Services
b.	ISU Arena Locker Room Renovations, 401 N. 4th Street, Terre Haute, IN 47809
B.	Procedures to be Used
a.	The following materials will be separated and handled in the following manner: 
i.	Ferrous Metals
1.	All ferrous metals such as metal stud framing, ductwork, electrical equipment, etc. will be separated and taken to Mervis Industries. Due to the anticipated minimal amount of this type of material, we will pile materials and load into a truck for delivery to the recycling center. At time of delivery, the load will be weighed and tickets will be documented.
ii.	Non-Ferrous Metals
1.	All non-ferrous metals such as copper and aluminum will be separated and taken to Goodman & Wolfe. Due to the anticipated minimal amount of this type of material, we will pile materials and load into a truck for delivery to the recycling center. At time of delivery, the load will be weighed and tickets will be documented.
iii.	Untreated Lumber, Plywood, OSB, Particle Board, and Drywall
1.	Due to limited amounts, if any, these types of materials will be placed in a dumpster for transport to C&D landfill.
iv.	Cardboard, Paper & Beverage Containers
1.	These materials will be separated and stockpiled on the jobsite and taken to ISU Recycling Center for processing. Estimated weight of materials will be documented. 
v.	Plumbing Fixtures, Doors, Electrical fixtures
1.	All plumbing fixtures will be taken to Habitat for Humanity. Estimated weight of materials will be documented. 
vi.	Concrete and Masonry Materials 
1.	All material of this type appears to be contaminated due to the presence of paint. As a result, all of this material must be taken to a state permitted solid waste C&D landfill per IDEM Guidance Sheet 329 IAC 10-2-37. Given this IDEM requirement, this contaminated material is not eligible for recycling and therefore cannot be taken into account in the landfill diversion requirements as called for in the project specifications 011510. All concrete and masonry materials will be separated and put into a specific dumpster and taken to C&D landfill. . At time of delivery, the load will be weighed and tickets will be documented.

b.	Estimated Quantity of Materials: 
i.	Unknown at this time
c.	Name and Location of Reuse and Recycling Facilities/Sites:
i.	Habitat for Humanity: 19th & Wabash, Terre Haute, IN
ii.	Mervis Industries: 13th & College, Terre Haute, IN
iii.	ISU Recycling Center: North 9th Street, Terre Haute, IN
d.	Reuse, Recycling, and Disposal Reporting
i.	Specification section 011510 mentions forms to be used in the documentation of this process. The referenced sections are 01151A & 01151B however no such forms are included. If specific forms are required please provide. If no specific form is received, we will develop our own.
",http://unboundedpossibilities.com/institute-for-community-sustainability/campus/built-environment.aspx,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:41:56,brownwm@indiana.edu,2.0,Pursuing,**,--,--,--,--,,17076640.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/81/6/474/2700/Sustainable%20Housekeeping%20Policy%201.29.2015.doc,2011-10-19,"Each building must formally adopt the Sustainable Housekeeping Policy which is managed by the Physical Plant – Building Services Division. The Policy affects the choice of cleaning solutions, practices and equipment; goals for personnel training; and custodial personnel commitment to practice environmentally conscious cleaning and sanitation procedures.
","Each building's frontline supervision has regular meetings with the building manager that is documented with minutes from each meeting. This includes discussion specific to feedback on cleaning. Occupant surveys are sent out yearly for feedback on occupant concerns and ways to improve service; including cleaning and cleaning practices. Surveys are sent to the building representative. The University has a working relationship with its primary vendor who advises about new products and technologies available for sustainable cleaning. As part of a yearly review of products, there is evaluation and discussion of new technologies and sustainable cleaning procedures.  There is also training that is conducted with new custodial employees on how to properly use sustainable cleaning products.",http://facilityoperations.indiana.edu/operations/building-services/index.shtml,The Campus Master Plan recommends (page 183) that 10% of existing buildings be certified under LEED with another 10% achieving at least 10 points on LEED credit EA1 (energy efficiency) and another 10% achieving at least 19 points on LEED EA1 by 2020.
Juniata College,2016-03-23,2016-03-23 08:07:32,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:15:27,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:29:02,sustainability@knox.edu,2.0,Pursuing,**,--,--,--,--,,1100000.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,,,--,--
Lehigh University,2016-02-29,2016-02-29 00:26:00,sustainability@lehigh.edu,2.0,Pursuing,**,True,--,--,--,Williams Hall was recently renovated and certified as LEED Silver,4295987.0,**,--,63026.0,--,--,**,--,--,--,**,--,--,--,137330.0,--,--,--,,--,,,http://catalog.lehigh.edu/overviewfrompastandpresent/academicandresearchfacilities/,Williams Hall was recently certified LEED Silver.
Lewis & Clark College,2016-03-18,2016-03-18 17:07:54,advorak@lclark.edu,2.0,Pursuing,**,--,--,--,True,Green Globes; Holmes Hall,1303887.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,52000.0,1250383.0,http://stars.aashe.org/media/secure/222/2/32/253/219-cap.doc,2008-01-01,"All buildings on campus are maintained according to the following practices which disseminate from various sustainability/climate plans, accreditation documents, strategic plans, etc: green cleaning, strategic energy management, local materials/reused materials, sustainable procurement, low voc/emitting materials, recycling/composting, organic land care, Salmon Safe certification, Strategic Energy Management program","Through compliance with our Climate Action Plan and ACUPCC reporting, vendor contracts, institutional construction contracts, purchasing policies, annual Salmon Safe reporting, annual strategic plan reporting, accreditation reporting, monthly Strategic Energy Management reporting",http://rs.acupcc.org/search/?abs=&q=Lewis%20%26%20Clark%20College,--
Loyola Marymount University,2016-03-23,2016-03-23 14:00:38,ian.mckeown@lmu.edu,2.0,Pursuing,**,True,--,--,--,"LEED Certified buildings: 
- - Leavy 6 Certfied
- Del Rey North: LEED Silver
- Del Rey South: LEED Silver
- W H Hannon Library: Gold 
- Life Sciences Building: Gold
",--,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/259/6/474/2700/LMU%20%20Master%20Plan%20(Development%20Agreement%20and%20Specific%20Plan).pdf,2011-04-11,"All buildings are maintained in accordance with the 2008 Title 24 standards, which are expected to reduce the growth in electricity use by 561 gigawatt-hours per year (GWh/yr) and reduce the growth in gas use by 19 million therms per year (therms/yr).

The 2013 Building Energy Efficiency Standards focus on several key areas to improve the
energy efficiency of newly constructed buildings and additions and alterations to existing
buildings, and include requirements that will enable both demand reductions during critical
peak periods and future solar electric and thermal system installations.  The most significant efficiency improvements to the residential Standards are proposed for windows, envelope insulation and HVAC system testing.  The most significant efficiency improvements to the nonresidential Standards are proposed for lighting controls, windows, unitary HVAC equipment and building commissioning.  New efficiency requirements for process loads such as commercial refrigeration, data centers, kitchen exhaust systems and compressed air systems are included in the nonresidential Standards. (Title 24)

Operations: At final inspection, the enforcement agency shall require the builder to leave in the building, for the building owner at occupancy, operating information for all applicable features, materials, components, and mechanical devices installed in the building. Operating information shall include instructions on how to operate the features, materials, components, and mechanical devices correctly and efficiently.

Maintenance: Maintenance information for all features, materials, components, and manufactured devices that require routine maintenance for efficient operation are accessible on site. Required routine maintenance actions shall be clearly stated and incorporated on a readily accessible label.

http://www.energy.ca.gov/2012publications/CEC-400-2012-004/CEC-400-2012-004-CMF-REV2.pdf","In accordance to LMU's Mater Plan: All new buildings are integrated into the Campus Energy Management System, which monitors and controls buildings’ heating, ventilation, air conditioning (HVAC), and lighting systems to attain energy efficiency and optimize performance. When systems are not functioning optimally, it will be noted based on this system, and maintenance action will be taken. 

http://community.lmu.edu/media/universityrelations/communitygovernmentrelations/LMU%20%20Master%20Plan%20(Development%20Agreement%20and%20Specific%20Plan).pdf
Appendix A",http://community.lmu.edu/media/universityrelations/communitygovernmentrelations/LMU%20%20Master%20Plan%20(Development%20Agreement%20and%20Specific%20Plan).pdf,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:19,adurnbaugh@luc.edu,2.0,Pursuing,**,--,--,--,--,"Current LEED certified buildings on campus include the Klarchek Information Commons, Norville, Niehoff Nursing School, Damen Student Union, di Nobili Hall and Cuneo Hall.",3763227.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,N/A,"Loyola University recognizes that its physical infrastructure has an enormous impact on energy and the size of our carbon footprint. Loyola is dedicated to efficiency and conservation on all campuses.

Over the past 10 years, the Facilities Management Department at LUC has constructed new, high-efficiency buildings and completed major retrofits and renovations to improve older and historic buildings. In fact, Loyola's electric and natural gas usage and cost per square foot has dropped by 62% since 2001 and continues to decrease. To illustrate, this decrease saves almost 30,000 metric tons of CO2 from being emitted to the atmosphere each year. This is equivalent to saving the burning of 150 rail cars full of coal or 360 tanker trucks full of gasoline!

In recent years, Loyola has committed all new construction & renovations, where possible, to at least a Silver rating through the US Green Building Council's LEED certification. 

For existing or historical buildings on campus, Loyola encourages the development of innovative opportunities for energy savings. For example, a collaboration between Solomon Cordwell Buenz (architects), Argonne National Laboratory (building science), Elara Engineering (mechanical and electrical engineering), and Loyola, Dumbach Hall was retrofitted to achieve at least 30% improvement in energy performance.

Moreover, LUC's Retreat and Ecology Campus offers the opportunity to create a ""Net-Zero energy"" facility. The efficiency improvements and retrofits conducted on this campus have the potential to bring the total energy use to a level that can be made up entirely by renewable energy sources located on the property.",http://www.luc.edu/sustainability/campus/office-of-sustainability/whatisloyoladoing/energy/,"Does not include buildings constructed w/in the last 5 years including IES, Cuneo, Halas addition, Damen SC and de Nobili."
Macalester College,2016-01-06,2016-01-06 13:02:42,shansen2@macalester.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maryville College,2016-02-11,2016-02-11 15:37:27,adrienne.schwarte@maryvillecollege.edu,2.0,Pursuing,**,True,--,--,--,"LEED for Existing Buildings: Operations and Maintenance, Crawford House  

http://www.usgbc.org/resources/leed-existing-buildings-operations-amp-maintenance-recertification-guidance",3132.0,**,--,--,3132.0,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,,,http://www.usgbc.org/projects/crawford-house-office-building,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:44:54,slanou@mit.edu,2.0,Pursuing,**,--,--,--,--,LEED for NC for new construction and major renovations. ,12093381.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,12093381.0,http://stars.aashe.org/media/secure/756/6/474/2700/Sustainability%20Goals%20Oct%2001(1).pdf,2001-10-01,"MIT's Environmental Goals (see attached document) cover the entire MIT campus, including all of its buildings. The majority of these goals are connected with sustainable building operations and maintenance. They include conserving energy, reducing pollution emissions and hazardous waste streams, reducing resource consumption (including water), increasing use of recycled materials, improving indoor air quality, and improving the local urban environment.","By adopting ""Environmental Goals for MIT,"" the Institute formally and publicly committed to becoming a leader in environmentally responsible operations, facilities, and education. The Institute will consider lifecycle and environmental costs and benefits when designing all campus projects and programs, with particular emphasis on capital investments in new and renewed buildings. For instance, all new projects (including new construction and renovations) must be designed to meet or exceed the ""LEED Silver Plus"" standard. In addition, the Institute has committed to developing performance-based standards tailored to individual projects, to be applied at all stages of their use.",http://ehs.mit.edu/site/sites/default/files/files/Sustainability%20Goals%20Oct%2001(1).pdf,--
McMaster University,2016-02-19,2016-02-19 09:37:17,naeemsh@mcmaster.ca,2.0,Pursuing,**,True,--,--,--,"Leadership in Energy and Environmental Design (LEED) is a third-party certification program. It is a nationally accepted organization for design, operation and construction of high performance green buildings.

Les Prince Hall Building: LEED Certified 
David Braley Athletic Centre: LEED Certified 
Burke Science Building: LEED Silver Certified 
Engineering Technology Building: LEED Gold Certified 
Ron Joyce Centre: LEED Gold Certified 
Nuclear Research Building addition: LEED Gold Certified 
Ivor Wynne Centre - Spinal Cord Research addition: LEED Silver Certified
The CANMET building at McMaster's Innovation Park: Targeted LEED Platinum Certification
Halton-McMaster Family Medecine Centre: Targeted LEED Silver Certification
McMaster Health Campus: Targeted LEED Silver Certification
Wilson Building for Studies in Humanities and Social Science: Targeted LEED Gold Certification
McMaster Automotive Resource Centre: Targeted LEED Silver Certification
 
",5800000.0,**,106016.0,537336.0,532429.0,145000.0,**,--,--,--,**,--,--,--,--,--,--,3246168.0,http://stars.aashe.org/media/secure/797/6/474/2700/Sustainable%20Building%20Policy.pdf,2005-04-28," McMaster University has established a comprehensive program for sustainable building operations and maintenance within its corporate processes.  The primarily lead is McMaster Facility Services within which the custodial, maintenance and energy management / sustainability divisions ensure operational sustainability.  The established processes and policies ensure sustainability is integrated from the design stage via third party certifications (LEED) to ongoing operations via capital projects (McMaster Energy Management Plan) and sustainable building cleaning and janitorial practices.  These policies and procedures apply to all facilities.","McMaster has implemented a measurement based system to evaluate ongoing compliance with O&M policies.  The campus facility energy data is presented daily to the community via campus displays.  Waste data is also communicated to the campus on a monthly basis providing a breakdown of the various categories and diversion rates.  Indoor facility air quality levels are measured via the campus building automation system.  Green cleaning programs are tracked within custodial operations.  

To ensure high level buy-in key performance indicators have been established and reported on a quarterly basis.",http://mcmaster.ca/sustainability/policies.html,--
Miami University,2016-03-02,2016-03-02 14:17:38,kliney@miamioh.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Michigan State University,2016-02-16,2016-02-16 09:19:10,erhardt7@msu.edu,2.0,Pursuing,**,--,--,--,--,,22935797.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,16068000.0,http://stars.aashe.org/media/secure/52/6/474/2700/Sustainable%20O%2BM%20Initiatives.docx,2011-07-01,"Michigan State University incorporates sustainable and environmentally-friendly practices in all parts of its building operations and maintenance efforts. Energy management or building automation is used in 80 percent of campus spaces to control HVAC run time and assist with classroom space consolidation and utilization efforts. Commissioning occurs during the new construction process, in existing buildings and with newly installed systems to sustain efficiency.  Green Cleaning products are used in 80 percent of campus spaces, the only exception are restrooms where products with disinfectants are utilized to eliminate pathogenic microorganisms, such as bacteria.  Recycling containers are in place in 100 percent of campus spaces.  Please see http://ipf.msu.edu/green/practices/index.html for details. ","MSU's Infrastructure Planning and Facilities (IPF) unit handles energy production, conservation and education for the campus community. Our staff provides electricity, water, heating and cooling, uses the newest energy-conservation technology for designing and constructing new buildings, monitors energy usage across campus,
educates campus customers about how they can become more energy-efficient,
inspects existing buildings for energy savings and repairs and updates buildings to streamline energy efficiency. Staff from various IPF departments meet regularly to ensure compliance with sustainable building operation and maintenance guidelines and policies. ",http://ipf.msu.edu/green/practices/index.html,"For information about specific operations and maintenance efforts please see: 
http://ipf.msu.edu/green/index.html
http://ipf.msu.edu/news/features/index.html#?category=Green
"
Middlebury College,2016-03-25,2016-03-25 14:01:35,jmbyrne@middlebury.edu,2.0,Pursuing,**,--,--,--,--,,2543250.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,,,--,--
Mills College,2016-02-29,2016-02-29 23:53:36,ngaetjens@mills.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mount Holyoke College,2016-01-25,2016-01-25 09:09:54,neapple@mtholyoke.edu,2.0,Pursuing,**,--,--,--,--,,2128759.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,,,--,--
Muhlenberg College,2016-03-23,2016-03-23 10:25:48,kprocyk@muhlenberg.edu,2.0,Pursuing,**,--,--,--,--,LEED is used as a guideline for all of the new building projects.  	There are also official policies and guidelines regarding the sustainable building operations or maintenance among buildings that are not certified.  ,1450090.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,1411717.0,http://stars.aashe.org/media/secure/610/6/474/2700/SBO%20and%20O%20Maintenance%20Policy.pdf,2016-03-08,The Sustainable Building Operations and Maintenance Policy can be found online at http://www.muhlenberg.edu/main/aboutus/plantops/sustainableinitiatives/sbom/. ,"The College ensures compliance with the sustainable building operations and maintenance guidelines and policies through its bench-marking, commissioning, energy audit and formal inspection processes.",http://www.muhlenberg.edu/main/aboutus/plantops/sustainableinitiatives/sbom/,--
Naropa University,2016-02-29,2016-02-29 17:16:32,acook@naropa.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:24,lindsay_batchelor@ncsu.edu,2.0,Pursuing,**,--,--,--,--,We have begun to analyze our campus buildings' operations and maintenance using the LEED for Existing Buildings framework through the LEED Laboratory course.,--,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,,2014-06-16,"The Sustainability Standard Operating Procedure (SOP), section 2.1, covers all buildings on campus:

2.1 Campus Development
In campus planning NC State will minimize the environmental footprint of
campus, consider the needs of present and future generations, and be aware of
connections with the greater Raleigh area. New development requires efficient
use of existing space through the implementation of space and utilization
standards, effective management strategies, and strategic reinvestment.
For development, NC State incorporates sustainability into comprehensive
master plans and design and construction guidelines. All buildings are
constructed in accordance with comprehensive master plans, design and
construction guidelines and high performance building standards. Capital
investment decisions utilize life cycle costing.
• The Physical Master Plan guides the future, physical development of
campus, holistically connecting natural systems, utilities, structures and
roads.
• Updates to the Physical Master Plan occur on a cycle of five to seven
years and modifications to Sustainability Guiding Principles and standards
will be incorporated with the update. Campus expertise assists with the
master plan update.
• Space needs are assessed every three to four years. This includes space
projections by space type (classroom, class lab, office, research, studio,
library and other) based on enrollment projections and academic plans.
Space utilization is evaluated using the University of North Carolina
General Administration space standards for teaching spaces and office
space. The University Space Committee determines space reallocation or
reassignment for under-utilized space.
• Leadership in Energy and Environmental Design (LEED) silver certification
must be met or exceeded in all major campus construction projects. State
statutes for high performance buildings includes new construction and
renovations of buildings when the cost is greater than 50% of the
insurance value and the project is larger than 20,000 gross square feet of
occupied or conditioned space, as defined in the North Carolina State
Building Code.
• All projects not subject to the LEED mandate must adopt a sustainability
statement in the scope of project. This applies to new construction projects
and renovation projects in publicly owned or privately owned buildings as
well as leased and partnership properties.
• Priority is given to holistic building and property modifications that
maximize efficient and effective resource use.
• The Bicycle and Pedestrian Master Plan establishes projects to create a
pedestrian-friendly campus that encourages walking and biking.
• The Heritage Tree Plan is revisited every five years.
• Design and Construction Guidelines and other design and construction
contract agreements must advance sustainability. ","There are departmental operating documents that fall under the sustainability SOP, and we are evaluating LEED for Existing Buildings through the LEED Lab course to learn best practices for operations and maintenance for Facilities, Colleges, and Campus Life.",http://policies.ncsu.edu/sites/default/files/Sustainability-SOP.pdf,LEED Laboratory Course is helping with this effort. The course was held in Fall 2014 and Spring 2015. 
