Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Total number of vehicles in the institution’s fleet ,Number of vehicles in the institution's fleet that are:,"Gasoline-electric, non-plug-in hybrid vehicles in the institution’s fleet ","Diesel-electric, non-plug-in hybrid vehicles in the institution’s fleet ",Plug-in hybrid vehicles in the institution’s fleet ,100 percent electric vehicles in the institution’s fleet ,Vehicles in the institution's fleet that are fueled with Compressed Natural Gas (CNG),Hydrogen fueled vehicles in the institution’s fleet ,Vehicles in the institution’s fleet that are fueled with B20 or higher biofuel for more than 4 ...,"Vehicles in the institution's fleet fueled with locally produced, low-level (e.g. B5) biofuel for ...",A brief description of the institution’s efforts to support alternative fuel and power technology ...,The website URL where information about the institution's support for alternative fuel and power ...,Public Notes
Juniata College,2016-03-23,2016-03-23 08:07:44,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:15:38,mknowle1@kent.edu,2.0,Pursuing,293.0,**,6.0,--,1.0,56.0,--,--,--,--,Kent State University adheres to the EPACT which requires 75% of our new vehicle acquisitions be of the alternate fuel type.  We also plan to start moving our fleet vehicles to CNG once PARTA completes their new CNG fueling station.  Where applicable we are currently ordering vehicle with “CNG prep” in anticipation of this changeover.,--,--
Knox College,2016-03-23,2016-03-23 08:29:14,sustainability@knox.edu,2.0,Pursuing,27.0,**,--,--,--,3.0,--,--,--,6.0,"Knox College recently installed an electric car charging station with parking and charge ports for two passenger vehicles.  Grounds uses electric vehicles when possible, and uses biofuel in tractors, mowers, and other diesel equipment when the weather and warranties permit. ",--,--
Lehigh University,2016-02-29,2016-02-29 00:26:03,sustainability@lehigh.edu,2.0,Pursuing,139.0,**,1.0,--,--,--,--,--,--,15.0,Lehigh University is currently seeking ways to supplement our fleet with alternative fuels and power technology by exploring several options that would be a good fit for our community. There are several options that are being researched. We are also looking at ways to off-set costs to fund the project.,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:07:57,advorak@lclark.edu,2.0,Pursuing,60.0,**,2.0,--,--,14.0,--,--,--,--,"The institution has added an electric vehicle charging station for employee and student use, for a Zipcar, and for an institutional EV. Additional EV infrastructure will be added this year.",--,--
Loyola Marymount University,2016-03-23,2016-03-23 14:01:00,ian.mckeown@lmu.edu,2.0,Pursuing,253.0,**,--,--,--,174.0,--,--,--,--,"With each vehicle replacement , fuel economy is one of the highest priorities.  We are looking to purchase more efficient vehicles with every new purchase we make. We use a great deal of efficient  electric carts across campus. ",--,LMU has a solar powered cart as well 
Loyola University Chicago,2016-02-26,2016-02-26 17:50:21,adurnbaugh@luc.edu,2.0,Pursuing,42.0,**,--,--,--,12.0,1.0,--,--,--,"Except for public safety and 17 passenger vans, all other vehicles have been replaced with electric vehicles.",--,Does not include the campus shuttles (diesel buses) because this is a contracted service.
Macalester College,2016-01-06,2016-01-06 13:02:44,shansen2@macalester.edu,2.0,Pursuing,26.0,**,--,--,--,10.0,--,--,--,--,HOURCAR is an alternative fleet vehicle.,--,The fleet includes the campus utility vehicles.  We only purchase electric utility vehicles unless a gas-powered one is specifically required. 
Maryville College,2016-02-11,2016-02-11 15:37:29,adrienne.schwarte@maryvillecollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:44:56,slanou@mit.edu,2.0,Pursuing,189.0,**,6.0,--,--,5.0,1.0,--,--,12.0,"Mobility

MIT advances the use of alternative commuter transportation to and from campus, seeks to minimize air travel, and deploys efficient, low-emission vehicles in its campus fleet in order to reduce environmental impact associated with transportation emissions and promote a healthy, interconnected community. 

Getting to and from campus
MIT has implemented a variety of programs to encourage its students, faculty, and staff to get to and from campus using alternative transportation – such as biking, using public transportation, carpooling, and car-sharing. These programs have earned MIT the EPA’s “Best Workplace for Commuters” designation. Read more about resources available to staff, students, and faculty at MIT’s Commuter Connections. 

MIT’s vehicle fleet
MIT is committed to maintaining an efficient fleet of vehicles that run on alternative fuel. Campus shuttles currently are fueled with a commercial biodiesel and in 2011, the Department of Facilities introduced into its fleet its first all-electric full-service vehicle, a Ford Transit Connect modified by Azure Dynamics. With a range of 50-80 miles and a top speed of 75 mph, the vehicle will be used by MIT Mail Services and monitored for its performance.

MIT has made continuous efforts to “right size” its vehicle fleet by replacing 6- and 8-cylinder vehicles with fuel efficient and alternative fuel vehicles. The Institute has also collaborated with the City of Cambridge to retrofit diesel vehicles with pollution control devices.

Electric vehicle charging stations
In 2012, MIT began installing ChargePoint networked electric vehicle charging stations for use by the MIT community and the public. Charging stations are currently located at building WW15 (2 stations for 4 parking spots), Building 46 (2 stations for 4 parking spots), and Building 32 (1 station for 1 parking spot).  These installations are intended to advance regional infrastructure to support the adoption of electric vehicles through a collaborative program with the City of Cambridge. MIT plans to add additional charging stations in the spring of 2014, for a total capacity to charge 25 electric vehicles on campus.",http://sustainability.mit.edu/sustainability-today/campus-systems?qt-campus_systems=3#qt-campus_systems,"Fleet inventory is drawn from the MIT GHG inventory conducted by Alex Marks. That list did not include electric vehicles, so these were added by consulting with Joe D'Etremont at MIT Facilities. Campus shuttles were added by consulting with Larry Brutti, Operations Manager, MIT Parking & Transportation Office."
McMaster University,2016-02-19,2016-02-19 09:37:20,naeemsh@mcmaster.ca,2.0,Pursuing,60.0,**,6.0,--,--,12.0,--,--,--,--,McMaster uses electronic golf carts as often as possible.,--,--
Miami University,2016-03-02,2016-03-02 14:17:40,kliney@miamioh.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--
Michigan State University,2016-02-16,2016-02-16 09:19:12,erhardt7@msu.edu,2.0,Pursuing,1076.0,**,86.0,--,--,33.0,--,--,--,--,MSU introduced auto propane as an option for fuel. Six vehicles now have bi-fuel propane systems installed. E-85 fuel is available now at the Campus Fueling Station ,http://ipf.msu.edu/green/practices/green-transportation.html,"The university does have 245 Flex fuel vehicles in the fleet. They can be fueled with E85 ethanol, however since these vehicles can be fueled on and off campus, there is no way to accurately capture the frequency that these vehicles use E85 fuel. 

MSU is encouraging the use of eco-friendly transportation with five electric vehicle charging stations around campus: four stations in the south Spartan Stadium parking lot and one in the parking ramp of the Kellogg Center."
Middlebury College,2016-03-25,2016-03-25 14:01:46,jmbyrne@middlebury.edu,2.0,Pursuing,58.0,**,4.0,--,--,1.0,--,--,--,--,,--,--
Mills College,2016-02-29,2016-02-29 23:53:38,ngaetjens@mills.edu,2.0,Pursuing,53.0,**,2.0,--,--,8.0,--,--,--,--,,--,--
Mount Holyoke College,2016-01-25,2016-01-25 09:09:57,neapple@mtholyoke.edu,2.0,Pursuing,68.0,**,1.0,--,--,--,--,--,--,--,,--,--
Muhlenberg College,2016-03-23,2016-03-23 10:26:00,kprocyk@muhlenberg.edu,2.0,Pursuing,47.0,**,1.0,--,--,13.0,--,--,--,--,,--,"Gasoline-electric, non-plug-in hybrid 
•	1 Honda Civic

Diesel-electric, non-plug-in hybrid 
•	0 vehicles

Plug-in hybrid 
•	0 vehicles

100% electric 
•	13 golf carts

Fueled with Compressed Natural Gas (CNG) 
•	0 vehicles

Hydrogen fueled 
•	0 vehicles

Fueled with B20 or higher bio-fuel for more than 6 months of the year
•	0 vehicles

Fueled with E85 or higher ethanol for more than 6 months of the year
•	0 vehicles

Total number of vehicles in Muhlenberg’s fleet, including all of the above
•	47 vehicles
"
Naropa University,2016-02-29,2016-02-29 17:16:34,acook@naropa.edu,2.0,Pursuing,9.0,**,--,--,--,--,--,--,4.0,--,,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:26,lindsay_batchelor@ncsu.edu,2.0,Pursuing,342.0,**,--,--,--,2.0,--,--,41.0,--,"Section 2.6 of the NC State Sustainability Standard Operating Procedures discusses the university's efforts to maintain a cost-effective vehicle fleet that reduces dependence on petroleum fuels. This document and similar resources can be found at:
https://sustainability.ncsu.edu/about/governance-commitments/

Further recommendations are under review by university administration.",http://nccleantech.ncsu.edu/clean-transportation/get-involved/alternative-fuel-implementation-toolkit/,--
Northern Arizona University,2016-02-23,2016-02-23 18:51:55,Ellen.Vaughan@nau.edu,2.0,Pursuing,550.0,**,21.0,--,--,4.0,--,--,--,--,,--,--
Oberlin College,2016-03-21,2016-03-21 16:09:36,bflynn@oberlin.edu,2.0,Pursuing,76.0,**,1.0,--,--,3.0,--,--,9.0,--,"Oberlin College owns three electric Club Cars for campus travel. ResEd, Security, and Facilities each have a cart. Additionally, Facilities Operations replaced 3 V-8 cargo vans with Ford Transits. Due to their four-cylinder gas engines, manual transmission, lower weight and more aerodynamic design, Transits are more fuel efficient than the V-8s. In the last three years, the College has removed three gasoline club cars and one van from the fleet. Grounds lawnmowers and tractors are converted from diesel to run on straight vegetable oil after their warranty has expired.",--,--
Ohio University,2016-03-23,2016-03-23 07:56:52,goetze@ohio.edu,2.0,Pursuing,350.0,**,1.0,--,--,4.0,--,9.0,--,--,"The university purchased 4 electric vehicles in 2015, and is considering purchasing more in 2016.",--,All data is from FY14 except for the all-electric vehicle data.
Onondaga Community College,2016-02-26,2016-02-26 16:33:48,vormwals@sunyocc.edu,2.0,Pursuing,65.0,**,5.0,--,--,8.0,2.0,--,--,--,,--,--
Oregon State University,2016-03-30,2016-03-30 14:49:22,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,"The precise number of vehicles fueled with locally produced, low-level (e.g. B5) biofuel for more than 4 months of the year is unknown. This is primarily due to the variability of fuel blends. 

Also, fleet changes are frequent. Figures are therefore estimates and/or averages.  "
Pennsylvania State University,2016-03-21,2016-03-21 11:48:36,mme2@psu.edu,2.0,Pursuing,936.0,**,6.0,--,--,3.0,55.0,1.0,90.0,--,"The University is working to sustainably manage its growing transportation demands by switching to alternative fuels, reducing oil consumption, increasing the fuel efficiency of fleet vehicles, and encouraging the use of public transportation.",http://sustainability.psu.edu/live/what-penn-state-doing/infrastructure/transportation,Penn State's Office of Physical Plant's Fleet consists of 486 licensed vehicles. The campus also operates an in-house rental service for day and long-term vehicle rental by PSU staff and units. Fleet Services consists of 450 vehicles. It is Penn State policy for staff to utilize Fleet vehicles in lieu of personal vehicles for University business. 
Pittsburg State University,2016-03-24,2016-03-24 14:46:42,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--
Pitzer College,2016-02-22,2016-02-22 14:38:39,warren_biggins@pitzer.edu,2.0,Pursuing,20.0,**,--,--,--,14.0,--,--,--,--,,--,--
Plymouth State University,2016-02-29,2016-02-29 11:42:23,bweisenhauer@plymouth.edu,2.0,Pursuing,75.0,**,12.0,--,--,--,--,--,10.0,--,Hybrid vehicles and the use of biofuel are preferred where possible.,--,--
Pomona College,2016-01-11,2016-01-11 17:28:23,alexis.reyes@pomona.edu,2.0,Pursuing,90.0,**,1.0,--,--,59.0,--,--,--,--,"Objectives for 2020
>>	Reduction of campus fleet gas use by 15% 
>>	Reduction of single occupancy vehicle commuting by 10% 
>>	Conversion of 50% of fleet to alternatively fueled vehicles (including solar charging for carts, biodiesel for Grounds vehicles, and hybrids for automobiles)


>>Starting now, follow these standards for automobile purchases:
 - Large automobiles (vans, trucks, SUVs): Global Warming Score39 of at least 5
 - Small automobiles (everything else.): Global Warming Score of at least 7
 - Vehicles with special needs (e.g. larger chassis for hauling): Global Warming Score of at least 5 when possible
 - All automobile purchases: if special circumstances apply where the Global Warming Score standard cannot be met, consultation with the Sustainability Integration Office is required",http://www.pomona.edu/administration/sustainability/action-plan/,The information about transportation purchasing is on pages 49 & 50 of the Sustainability Action Plan.
Portland State University,2016-03-24,2016-03-24 17:19:14,jenny.mcnamara@pdx.edu,2.0,Pursuing,51.0,**,2.0,--,--,8.0,--,--,--,--,,--,"PSU does not have a fleet in the traditional sense. The above numbers reflect long term rentals from the state DAS motor pool, and vehicles owned by PSU departments, including non-licensed electric vehicles used by maintenance crews and Facilities (e.g. Taylor Dunns, Kushman's Zap Cars). 
Data provided by PSU Transportation & Parking services."
Princeton University,2016-01-20,2016-01-20 17:00:49,kristiw@princeton.edu,2.0,Pursuing,605.0,**,--,--,5.0,96.0,--,--,18.0,--,,--,--
Principia College,2016-01-30,2016-01-30 21:54:21,karen.eckert@principia.edu,2.0,Pursuing,109.0,**,7.0,--,--,8.0,--,--,--,--,"The Facilities Department has installed plug-in stations not only for its own 100% electric vehicles, but also for (free) use by employees, students and campus visitors.",http://prinweb.principia.edu/internal/node/68/,--
Purdue University,2016-02-26,2016-02-26 16:45:03,mgulich@purdue.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--
Randolph College,2016-02-26,2016-02-26 14:25:14,llemaitre@randolphcollege.edu,2.0,Pursuing,30.0,**,1.0,--,1.0,3.0,--,--,--,--,The first step that Randolph College's new president took was to purchase a Toyota Prius hybrid in 2014 as a statement about the College's greenhouse gas emission goals.,--,--
Rice University,2016-03-25,2016-03-25 16:31:13,rrj@rice.edu,2.0,Pursuing,248.0,**,--,--,--,167.0,--,--,--,--,"Departments requiring vehicles for on-campus use may purchase an electric cart meeting specifications provided by the Facilities Engineering and Planning department's vehicle repair shop.  The shop inspects electric carts annually, and all cart drivers must complete the appropriate driver training by the Rice University Police Department.  Gasoline-powered carts are only allowed in rare circumstances.",--,--
Rochester Institute of Technology,2016-03-25,2016-03-25 15:52:16,elcpro@rit.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--
Saint Louis University,2016-03-24,2016-03-24 17:16:06,bverhof1@slu.edu,2.0,Pursuing,76.0,**,--,--,--,1.0,--,--,--,--,The University evaluates all vehicles and ensures the utmost efficiency is selected when purchasing new vehicles. ,--,"No formal policy is currently in place with regards to alternative fuel and power technology in SLU's motorized fleet. Fleet vehicle management and purchasing at the University is decentralized. In 2014, Facilities Services began including formal verbiage for alternative fuel/""green"" options  in the request for proposal process which is a standard part of the vehicle procurement process. These options are now formally considered in the fleet vehicle rotation that occurs annually. "
San Francisco State University,2016-03-25,2016-03-25 17:32:58,kordesch@sfsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--
Santa Clara University,2016-02-26,2016-02-26 20:44:36,lkalkbrenner@scu.edu,2.0,Pursuing,151.0,**,10.0,--,1.0,73.0,2.0,--,--,--,"Recent acquisitions include Ford ""Think Neighbors,"" battery powered, low-speed, street legal automobiles that are endorsed by the U.S. Federal Government and dramatically reduce emissions and noise pollution.",http://university-operations.scu.edu/facilities/sustainability/electric_vehicles/,--
Seattle University,2016-03-23,2016-03-23 11:52:02,thompson@seattleu.edu,2.0,Pursuing,61.0,**,--,--,--,22.0,--,--,--,--,"Electric vehicles make up one-third of our fleet. In 2014 Seattle university received the Visionary Award in Transportation from Seattle 2030 District. The award recognizes the university's ""exemplary contributions"" in a number of areas, including the electric Segways and the university's Nighthawk shuttle fleet. The Night Hawk added ""emissions-free"" to its features when the program's Ford Escape hybrids were replaced with six Nissan Leaf vehicles. The new fleet might encourage SU's students to consider electric cars when the time comes for them to purchase vehicles of their own.

",https://www.seattleu.edu/cejs/sustainability/what-su-is-doing/transportation/,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:28,mpate@sewanee.edu,2.0,Pursuing,101.0,**,1.0,--,--,11.0,--,--,--,--,,--,--
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:06,andre.plante@sheridancollege.ca,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--
Simon Fraser University,2016-02-08,2016-02-08 23:41:36,erica_lay@sfu.ca,2.0,Pursuing,82.0,**,--,--,--,1.0,--,--,--,--,"As part of SFU's commitment to sustainable mobility and SFU Parking Services' commitment to sustainable transportation, three Electric Vehicle changing stations were installed at SFU's Burnaby Campus in 2013.  The installation of these stations was organized by Parking Services, and funded through a $24,000 grant from the B.C. government’s Community Charging Infrastructure Fund, as well as contributions from the University's Sustainability Office, Facilities Services, and Office of the VP Administration and Finance. The charging station are available for use by anyone visiting the campus.

Four specialized electric vehicles were purchased for Facilities Services (low speed at max. 40km/h and low range at 20km), but performance of the vehicles was determined to be unsuitable because of battery life and the grades (steepness) of the Burnaby campus.  These vehicles were retired and replaced by 2 transit vans that have been selected based on fuel efficiency and 'right-fit'.
",http://www.sfu.ca/sfunews/stories/2013/sfu-adds-ev-charging-stations.html,"Facilities Services' Mechanical Section continues to perform scheduled preventative maintenance (since 1995) of the Facilities Operations vehicle fleet every 6 months.

As vehicles are retired, they are replaced, on an as-needed basis, with more fuel-efficient, right-sized vehicles that meet operational requirements.  SFU continues to look in to options to shrink the size of the fleet where possible. 

Drivers are encouraged to only carry necessary cargo/equipment on trips to increase fuel efficiency of vehicles.
"
Slippery Rock University,2016-02-29,2016-02-29 14:18:46,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:28:39,dweisbor@smith.edu,2.0,Pursuing,64.0,**,1.0,--,--,1.0,--,--,18.0,--,"To mitigate fleet impacts, the college has introduced a Toyota Prius into the fleet and replaced a number of larger vans with smaller Toyota vans that yield higher gas mileage. We also have one all electric golf cart. Since 2007, our diesel vehicles use B20 bio-diesel, a mix of 20 percent bio-diesel and 80 percent petroleum diesel fuel. This alternate fuel source reduces engine wear and also produces less carbon monoxide, particulate matter and hydrocarbons.",http://www.smith.edu/green/operations_transportation.php,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:20:06,huminskis1@southernct.edu,2.0,Pursuing,68.0,**,--,--,--,1.0,--,--,--,--,"Since FY 2012, SCSU has reduced its fleet from 80 to 68 vehicles to help offset emissions. SCSU also has a solar-powered mail delivery vehicle that may plug-in for electricity and a natural gas mower. A 100 percent electric van is being purchased.",--,SCSU purchased a solar-powered plug-in electric vehicle for mail delivery and a natural gas mower in 2013.
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:21:24,glkurtzhals@siu.edu,2.0,Pursuing,489.0,**,22.0,--,--,9.0,--,--,129.0,--,,--,"Southern Illinois University Carbondale has 9 electric vehicles which consist of -
4 E-Rides, 4 Gem's and 1 Imev"
Southern Oregon University,2016-03-23,2016-03-23 15:38:02,beigelcod@sou.edu,2.0,Pursuing,54.0,**,1.0,--,--,7.0,--,--,1.0,--,"The University's Green Purchasing Policy states  that ""University purchasing units replacing vehicles shall consider less-polluting alternatives to gas and diesel such as compressed natural gas, bio-based fuels, hybrids, electric batteries, and fuel cells, as available.""

Southern Oregon University is continuing to replace vehicles in our campus fleet with more fuel efficient vehicles and electric vehicles or other alternative fuels. In recent years, we have purchased 4 new electric vehicles to replace conventional gas-powered vehicles in our fleet. Our electric fleet includes 3 e-ride Industries trucks, 1 GEM e2, 2 Taylor-Dunn utility vehicles, and a retrofitted electric Ford Ranger.",http://sou.edu/assets/sustainable/docs/Green-Purchasing-Policy.pdf,--
Spelman College,2016-02-15,2016-02-15 08:21:23,aefrazier@spelman.edu,2.0,Pursuing,19.0,**,19.0,--,--,--,--,--,--,--,The President's car is a non-plug-in hybrid,http://www.spelman.edu/sustainable,--
St. John's University,2016-03-02,2016-03-02 16:31:32,goldsmit@stjohns.edu,2.0,Pursuing,45.0,**,35.0,--,10.0,--,--,--,--,--,"In May of 2009, Public Safety traded vehicles for 10 hybrids.",http://www.stjohns.edu/about/news/2015-04-22/st-johns-university-honored-sustainability-efforts,--
Stanford University,2016-03-23,2016-03-23 01:11:43,mbhafer@stanford.edu,2.0,Pursuing,1084.0,**,13.0,5.0,--,427.0,--,--,--,--,"Stanford's Marguerite bus fleet currently consists of 13 all-electric buses, 5 diesel-electric buses, 22 diesel vans, 18 diesel shuttles, and 27 diesel buses. The electric and hybrid buses are used heavily, with several of the diesel buses, shuttles and vans gradually being phased out. 

The remaining campus fleet vehicles are managed centrally by the Land, Buildings & Real Estate Department (LBRE) and are steadily moving towards PEV and PHEV vehicles where the vehicle duties allow. The campus Fleet Manager is in the midst of compiling a strategic plan to move the campus fleet towards fully electric or non-motorized modes of transportation over the next several years.

As part of that plan, LBRE has led a transition to bicycles and electric bicycles rather than adding new motorized vehicles in the fleet, and other departments have followed suit. LBRE now has 8 bikes in the motor pool: 6 priority pedal bikes, and 2 electric bikes. There are also 10 pedal bikes in the Science & Engineering Quad district and another 11 pedal bikes in the Cubberly Education Building district. Bikes will also be added in lieu of fleet vehicles at the other distributed LBRE districts across campus.

There are also electric bikes in the LBRE shops: 1 in architecture trades, 1 in the plumbing shop, 1 in material management (used for parts deliveries) and 1 in events services. All electric bikes (except for the e-bike in events services) have GPS. To date, the e bikes have been ridden 208 miles altogether, which has helped the campus avoid 47kg of carbon dioxide equivalent.
",http://sustainable.stanford.edu/solutions/transportation-initiatives,--
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:48:58,malichte@esf.edu,2.0,Pursuing,87.0,**,8.0,--,--,10.0,1.0,--,--,--,,--,"ESF owns and operates 60 vehicles on its main campus, and 27 vehicles on forest property locations. "
State University of New York at Cortland,2015-10-09,2015-10-09 13:15:49,Beth.Klein@cortland.edu,2.0,Pursuing,132.0,**,5.0,3.0,--,28.0,2.0,--,--,0.5,Cortland has 28 NEV cars to use as service vehicles.  ,--,SUNY Cortland has recently purchased three new propane buses to replace old diesel buses.
State University of New York at Geneseo,2016-03-24,2016-03-24 10:58:49,dezarn@geneseo.edu,2.0,Pursuing,59.0,**,2.0,--,--,16.0,--,--,--,--,A gradual conversion from fossil fueled vehicles to electric powered vehicles began over a decade ago when such replacement was feasible for the intended purpose of the vehicle.,--,The college is regularly monitoring developing and emerging technology in the automotive field.
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:08,mittenl@newpaltz.edu,2.0,Pursuing,107.0,**,2.0,--,--,10.0,--,--,--,--,SUNY New Paltz owns two hybrid Nissan Altimas.  One is used by Facilities Management and the other is used by the President of SUNY New Paltz.  Facilities Management owns and operates nine 100% electric GEM cars and one 100% electric truck.,--,--
Sterling College,2016-01-28,2016-01-28 10:04:09,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,5.0,**,--,--,--,--,--,--,--,--,,--,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:20:34,gotham360@stevens.edu,2.0,Pursuing,34.0,**,--,--,--,--,--,--,--,--,,--,--
Syracuse University,2016-03-25,2016-03-25 15:32:26,macadwel@syr.edu,2.0,Pursuing,250.0,**,2.0,--,--,11.0,--,--,--,--,,--,--
Temple University,2016-02-09,2016-02-09 14:47:03,kathleen.grady@temple.edu,2.0,Pursuing,213.0,**,2.0,--,--,23.0,27.0,--,--,--,"Facilities Management continues to replace its aging fleet with alternate energy powered vehicles. Temple has invested in 3 natural gas pumping stations to fuel the CNG vehicles, 2 pump stations on Main Campus and 1 pump station at Ambler Campus. The addition of the CNG pumping station at Ambler Campus enables Facilities Management to employ new city style CNG buses as the Ambler Shuttle transports. This investment significantly reduces air emissions in the TU Shuttle Bus operation. The installation of 13 diesel oxidation catalysts on the diesel fleet helps to clean the vehicle exhaust of harmful particles. ",http://www.temple.edu/facilities/sustainabaility.html,Data reflects through May 2015.
Texas A&M University,2016-01-15,2016-01-15 14:24:43,kwellman@tamu.edu,2.0,Pursuing,603.0,**,9.0,--,1.0,--,--,--,--,1.0,,--,--
Texas Tech University,2016-03-25,2016-03-25 15:46:19,carey.hewett@ttu.edu,2.0,Pursuing,547.0,**,--,--,--,26.0,--,--,--,--,"Texas Tech University does not currently have any purchasing standards that support alternative fuels in its motorized fleet. The following is an excerpt from the current purchasing Operating Procedure:
""Selection of vehicles should be made based upon the intended purpose.
Use of utility-type or golf cart-type units may be utilized instead of pickups, vans, or other licensed vehicles in applications where they are used exclusively on campus.
These vehicles are not licensed for on-road use, are not considered motor vehicles, and do not require approval from the state Office of Vehicle Fleet Management. Because of safety requirements for utility vehicles, all purchases of this type of vehicle must be coordinated through Vehicle Fleet Management. The purchase of these types of equipment shall be the same as for vehicles.""",http://www.depts.ttu.edu/services/Transportation/Fleet-Management.php,--
The Ohio State University,2016-01-26,2016-01-26 15:46:43,dial.15@osu.edu,2.0,Pursuing,994.0,**,12.0,--,2.0,25.0,9.0,--,119.0,--,,--,--
Tufts University,2016-02-25,2016-02-25 15:40:18,tina.woolston@tufts.edu,2.0,Pursuing,145.0,**,1.0,--,--,6.0,--,--,--,13.0,A fleet and transportation manager was recently hired at Tufts University and will be examining the campus' fleet and the potential for more fuel efficient vehicles. ,--,"The data was based on the December 2013 registration renewal list and supplemented with additional non-registered vehicles as indicated by our Facilities Department.  It excludes trailers and boats but does include various tractors and farming equipment.

Tufts has 2 GEM Electric vehicles, 1 Electric Golf Cart in Athletics, and Grafton rents 3 electric golf carts in the summer, making up the figure for 100% electric vehicles.

The one Gas-Electric vehicle is a 2001 Prius.

Per our Facilities Department, all Diesel vehicles run on clear Biodiesel (5) Blend; there are 13 such vehicles."
Tulane University,2016-02-04,2016-02-04 11:03:47,ldavey@tulane.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--
Unity College,2016-03-25,2016-03-25 15:23:37,JdeHart@unity.edu,2.0,Pursuing,26.0,**,1.0,--,--,--,--,--,--,--,,--,--
University at Albany,2016-02-23,2016-02-23 17:54:02,mmallia@albany.edu,2.0,Pursuing,210.0,**,4.0,5.0,--,15.0,--,--,--,--,The university has pursued a conversion to alternatively fueled vehicles where applicable.  All new light duty vehicles are alternatively fueled.  30% of the bus fleet are hybrids.,--,--
University at Buffalo,2016-01-19,2016-01-19 10:15:38,jlk47@buffalo.edu,2.0,Pursuing,442.0,**,5.0,--,--,11.0,68.0,--,8.0,--,"The university also partners with First Transit, who provides the Stampede Shuttle busses powered by Compressed Natural Gas. The university encourages alternative fuel sources as apart of its UB 2020 Plan and sustainability policies.",--,--
University of Arizona,2016-03-25,2016-03-25 15:30:34,bchampion@email.arizona.edu,2.0,Pursuing,1295.0,**,15.0,--,--,170.0,--,--,--,--,299 fleet vehicles with E-85 fuel/gasoline,http://www.fm.arizona.edu/se/sustain-home.html,Data reflecting FY15 - latest update February 2016
