Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Please enter data in the table below:,"Number of reportable workplace injuries and occupational disease cases, performance year","Number of reportable workplace injuries and occupational disease cases, baseline year","Full-time equivalent of employees, performance year (annualized FTE)","Full-time equivalent of employees, baseline year (annualized FTE)",Start and end dates of the performance year and baseline year (or three-year periods),"Start date, performance year or 3-year period","End date, performance year or 3-year period","Start date, baseline year or 3-year period","End date, baseline year or 3-year period",A brief description of when and why the workplace health and safety baseline was adopted,A brief description of the institution’s workplace health and safety initiatives,The website URL where information about the institution’s workplace health and safety initiatives ...,Public Notes
Elon University,2016-01-14,2016-01-14 09:32:57,edurr@elon.edu,2.0,Pursuing,**,22.0,22.0,1280.0,728.0,**,2014-01-01,2014-12-31,2005-01-01,2005-12-31,,"Elon has an active Safety Committee that is responsible for advising on matters of policy and procedure for safety issues on campus pertaining to several areas, including but not limited to, emergency response, disaster planning, accident reporting and workers compensation. The Committee has representatives from more than 10 departments, including athletics, construction and physical plant. 
The Safety Committee has the following responsibilities: 
•Members should attend all meetings and support all committee activities. 
•To aid in the development of university safety policies. 
•Committee should review and discuss accident reports that occurred during the previous month, as necessary. 
•Review and select various safety training and motivational programs and make recommendations for their use to management. 
•Investigate new equipment and processes for hazards. 
•Assist staff in evaluating safety equipment such as clothing, protective devices, etc. 
•Minutes should be kept for each meeting with a copy sent to each member. A review of previous meeting minutes should be made to check action on outstanding business. 

In addition, University personnel complete a walk with SGA twice a year to gather student input on health and safety items, such as lighting. Building Managers also make regular inspections of buildings and submit work orders to correct unsafe conditions. ",--,--
Emory University,2016-02-29,2016-02-29 16:26:42,ciannat.howett@emory.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Endicott College,2016-03-01,2016-03-01 10:10:12,screight@endicott.edu,2.0,Pursuing,**,23.0,23.0,583.5,515.0,**,2012-08-01,2013-08-01,2010-08-01,2011-08-01,,"Endicott College is committed to providing a healthy and safe environment in
which to live, work and learn. The College takes a proactive stance by
identifying actions and conditions that threaten this commitment. The College
prohibits the use, possession, or sale of chemical substances by those not
authorized to do so, prohibits the possession of firearms or other explosive
devices on campus and restricts smoking to designated areas. Additionally,
the College provides training in the handling of hazardous materials and in
safe workplace procedures to appropriate personnel.
When unsafe or unhealthy conditions are observed, employees are encouraged
to report the circumstances to the Director of Human Resources or to their
supervisor. ",--,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:26,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Fort Lewis College,2016-03-27,2016-03-27 16:00:59,kehilimire@fortlewis.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Furman University,2016-02-22,2016-02-22 13:43:11,yancey.fouche@furman.edu,2.0,Pursuing,**,9.3,10.0,848.0,838.0,**,2013-01-01,2013-12-31,2010-01-01,2010-12-31,,,--,--
George Washington University,2016-02-29,2016-02-29 13:04:35,shannonross@gwu.edu,2.0,Pursuing,**,15.0,69.0,5982.5,5982.5,**,2014-07-01,2015-06-30,2013-07-01,2014-06-30,"The George Washington University builds its workplace health and safety programs based on a prevention model. Programs are designed to provide training and support to university employees, faculty and students, and each program has an integral or associated response guidance document to assist university and local responders during an incident. Internal capabilities include strengths in chemical and chemical waste management, hazardous materials identification and mitigation, fire prevention inspection, fire cause and origin investigation, and training outreach with a focus on occupational safety and fire prevention. Health and Safety staff members are a constant presence in the university community, performing waste management, outreach and inspection duties daily. ",,http://healthandsafety.gwu.edu/,--
Georgia College & State University,2016-03-25,2016-03-25 19:10:12,doug.oetter@gcsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gonzaga University,2016-02-29,2016-02-29 13:09:29,simonj@gonzaga.edu,2.0,Pursuing,**,3.0,3.0,1148.0,1148.0,**,2013-01-01,2013-12-31,2012-01-01,2012-12-31,Adopted in 2014 to assess overall Health & Safety Program effectiveness.,"Gonzaga’s Environmental Health & Safety Department has the immediate responsibility to oversee the University’s accident prevention program. They will manage this program with the cooperative effort of a University Safety Committee consisting of faculty, supervisors and staff. Together, the Environmental Health & Safety Department and the University Safety Committee will seek to ensure an accident-free environment. They will ensure there are activities such as safety orientation for new and transferred employees, timely and appropriate safety training, all aspects of the University Accident Prevention Plan, and other activities conducive to reducing work hazards. Safety is a cooperative venture. The administration is responsible and acknowledges its responsibility for
stewardship of the accident prevention program. Each employee is responsible for wholehearted, genuine cooperation with all aspects of the accident prevention program. Employees are responsible for complying with all rules and ordinances, and for being continually safety conscious in performing their daily activities. Cooperation among all concerned will contribute to a safe environment protecting the well-being of all individuals and of Gonzaga University as a whole.
",http://www.gonzaga.edu/campus%20resources/offices%20and%20services%20a-z/Human-Resources/Environmental-Health-And-Safety/Programs/default.asp,Information gathered from Human Resources
Green Mountain College,2016-03-21,2016-03-21 15:55:34,ihrker@greenmtn.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,The performance year for this credit is FY 2013. 
Guilford College,2016-03-08,2016-03-08 08:08:42,corrybc@guilford.edu,2.0,Pursuing,**,2.0,13.0,398.0,411.0,**,2013-07-01,2014-06-30,2006-07-01,2007-06-30,2008 was the first year data was reviewed for our first GHG Inventory and subsequent STARS submission.,They are numerous. The college provides all necessary OSHA training to employees. This training is mandatory for facilities staff. The college provides health and safety services as well as conflict resolution and counseling to all members of the college community. Monetary incentives are provided for any employee who gets an annual physical. All students have access to a full-time Wellness Coordinator housed in Residential Life.,http://www.guilford.edu/student-life/health-safety/index.aspx,http://www.guilford.edu/student-life/conflict_resolution/index.aspx
Hampshire College,2016-03-23,2016-03-23 09:59:15,bhooker@hampshire.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Harvard University,2016-02-29,2016-02-29 16:59:08,colin_durrant@harvard.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Haverford College,2016-03-02,2016-03-02 12:02:14,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:53,sustainability@hws.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana State University,2016-03-29,2016-03-29 10:18:33,caroline.savage@indstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:44:05,brownwm@indiana.edu,2.0,Pursuing,**,297.0,409.0,10701.0,7621.0,**,2014-01-01,2014-12-30,2009-01-01,2009-12-31,,,http://ehs.iu.edu/,"Environmental Health and Safety (EHS) reports workplace injuries and occupational disease cases to the Occupational Safety and Health Administration (OSHA) as numbers of incidents out of total employees (who worked for the University for any length of time, and for any number of hours per week, full or part-time, including student workers). Therefore, the number of ""employees"" of IU Bloomington, for consistency with EHS and OSHA is 27,521 in the performance year, and 16,697 in the baseline year. However, as STARS asks for full-time equivalent employees in each year, that is what is reported in the reporting fields."
Juniata College,2016-03-23,2016-03-23 08:09:43,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:17:27,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:31:10,sustainability@knox.edu,2.0,Pursuing,**,29.0,29.0,461.0,461.0,**,2013-01-01,2013-12-31,2013-01-01,2013-12-31,2013 was the first year we obtained this data for purposes of reporting to STARS.,"Regular training sessions are organized through HR, including mandatory training on blood-borne pathogen safety for all employees with high-risk jobs.  Complimentary blood pressure screenings for all employees are offered during academic year.  Mammograms and Prostate screenings are available to Faculty, Staff, and Spouses, with a small copay.  A weekly health and wellness bulletin is also distributed by email to all employees, drawing attention to events both on and off campus.  Fitness and Yoga classes, as well as table massage, are hosted on campus and made available at low cost to employees.",http://www.knox.edu/offices/human-resources/wellness-programs,--
Lehigh University,2016-02-29,2016-02-29 00:26:25,sustainability@lehigh.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:15,advorak@lclark.edu,2.0,Pursuing,**,6.0,7.0,709.0,612.0,**,2015-01-01,2015-12-31,2008-01-01,2008-12-31,2008 is the earliest data available,,http://www.lclark.edu/offices/facilities/risk_management/,--
Loyola Marymount University,2016-03-23,2016-03-23 14:03:28,ian.mckeown@lmu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:39,adurnbaugh@luc.edu,2.0,Pursuing,**,42.0,24.0,2641.0,2544.0,**,2012-01-01,2012-12-31,2011-01-01,2011-12-31,"2011 was adopted as the baseline because this is when the current employee that tracks this information started tracking the data.  It was handled by others in the past but because of the lack of history with the subject, it was thought better to be conservative.","Loyola conducts safety trainings, and has a response protocol for health and safety events.  Material Safety Data Sheets are available through a public repository as is other safety information at the site listed below.",http://www.luc.edu/environmentalservices,This is 2013 data.
Macalester College,2016-01-06,2016-01-06 13:03:02,shansen2@macalester.edu,2.0,Pursuing,**,21.0,37.0,754.0,754.0,**,2013-01-01,2013-12-31,2010-01-01,2012-12-31,"Utilized calendar year 2010, 2011 & 2012.","The College maintains that the safety and protection of students and employees is one of our greatest concerns. Therefore, every supervisor and employee is responsible for working cooperatively with the Safety Committee to eliminate unsafe conditions that can cause unnecessary injuries and accidents. It is also the responsibility of all employees to follow all federal, state, and local standards, and for supervisors to stay current on these standards, to communicate them to their staff, and to enforce them.  The College complies with the Federal Occupational Safety and Health Act of 1970 (OSHA) and all other applicable regulations. Safety is a priority at the College. We make every effort to keep all work areas safe and free from hazards. Supervisors are to assist employees with safety and health requirements. All employees are expected to observe all applicable safety requirements, and to immediately report any unsafe or hazardous conditions to your supervisor.",http://www.macalester.edu/employmentservices/,--
Maryville College,2016-02-11,2016-02-11 15:37:46,adrienne.schwarte@maryvillecollege.edu,2.0,Pursuing,**,8.0,8.0,274.0,274.0,**,2014-01-01,2014-12-31,2014-01-01,2014-12-31,The institution has not set a baseline year.,"Mandatory OSHA training with the campus Physical Plan. Project 90 has been implemented in 2014 which is a program directed at getting faculty, staff, and students doing 90 minutes or more of physical activity each week.",http://www.maryvillecollege.edu/international/studyabroad/health-safety/,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:16,slanou@mit.edu,2.0,Pursuing,**,220.0,222.0,8956.0,8881.0,**,2012-07-01,2013-06-30,2007-07-01,2010-06-30,"To be consistent across the STARS report, baseline years were set to be three fiscal years from 2008 to 2010.","The Environment, Health, and Safety Office has implemented several key programs to reduce workplace incidents and ensure buy-in from principal investigators/faculty. A new orientation program was created in FY2011 to ensure that these individuals were aware of various resources available on campus.

Beyond this program, major initiatives including the Working Alone Policy and the Machine Shop program sought to improve safety in light of a recent tragedy at Yale University. These policies brought together key stakeholders including the Environment, Health, and Safety Council and the Academic Council to improve safety while maintaining the ability to conduct cutting edge research. Furthermore, the EHS office has begun conducting a risk assessment of all labs on campus through the Comprehensive Laboratory Hazard Assessment. After a successful pilot program, this is being rolled out across the Institute.

To further understand future issues, the EHS office has also expanded its incident reporting system to include students and not just staff. This collaboration with MIT Medical has improved the visibility of recordable incidents so that they can be more easily addressed in the future.",http://ehs.mit.edu/site/work_safety,Employee numbers for OSHA reporting are reported by calendar year (January-December) rather than fiscal year (July-June). Recordable instances are not estimates - they are real numbers based on incidents recorded for each fiscal year (July-June).
McMaster University,2016-02-19,2016-02-19 09:37:38,naeemsh@mcmaster.ca,2.0,Pursuing,**,746.0,871.0,7815.0,7438.0,**,2013-01-01,2013-12-31,2010-01-01,2010-12-31,,"Environmental & Occupational Health Support Services (EOHSS) is a team of health, safety and risk management specialists committed to supporting the University’s commitment to creativity, innovation and excellence, and strives to achieve these standards in the areas of environmental and occupational health, safety, loss prevention and mitigation.

A Joint Health and Safety committee - consisting of members of faculty, administration and union representatives for various staff groups - meets regularly on a quarterly basis to review incidents on campus and to follow up on corrective actions. Meeting minutes are distributed to the campus notice boards.

Example Events and Initiatives

Oct 29, 2014

October 2014 was McMaster's Healthy Workplace Month.  The month included a number of activities in celebration of the month including fitness events, several lunch and learns on topics such as mental health, nutrition, work life balance.  A particular highlight was the Healthy Workplace Month Employee Wellness Fair on Oct 29, 2014.  

Drinking Water Quality Testing

McMaster University is committed to ensuring that every person on campus has access to safe drinking water.  In 2010, the University initiated a sampling and testing program to test for the concentration of lead in the drinking water.  This voluntary testing program is now ongoing and buildings constructed before 1990 with original fountains are tested annually. In pre 1990 buildings with newly installed fountains, testing will be performed biennially.


Workplace Wellbeing Newsletter

Workplace wellbeing relates to all aspects of your work life at McMaster from the health and safety of your physical environment, work life balance, to opportunities for professional growth and development. Essentially it is how you feel about your work and your workplace environment.

The Workplace Wellbeing newsletter is a publication for the internal community at McMaster. It will provide updates from the Health, Safety and Risk Management Unit and the Organizational Development Unit of Human Resources Services. Inquiries and feedback about any of the information in this newsletter may be sent to eohss@mcmaster.ca. This newsletter can be provided in an accessible format upon request.",http://www.workingatmcmaster.ca/eohss/,--
Miami University,2016-03-02,2016-03-02 14:18:00,kliney@miamioh.edu,2.0,Pursuing,**,35.0,96.0,2885.0,3239.0,**,2014-01-01,2014-12-31,2009-01-01,2009-12-31,,,--,--
Michigan State University,2016-02-16,2016-02-16 09:19:30,erhardt7@msu.edu,2.0,Pursuing,**,514.0,509.0,11489.0,11061.0,**,2014-01-01,2014-12-31,2010-01-01,2010-12-31,"MSU Environmental Health & Safety (EHS) services offered include: safety training, development and administration of occupational health programs, regulatory compliance, radiation, chemical, biological, hazardous waste, animal handler safety.",,http://ehs.msu.edu/office/services_offered.htm,"MSU Environmental Health & Safety (EHS), formerly The Office of Radiation, Chemical & Biological Safety (ORCBS), supports the mission and guiding principles of Michigan State University through leadership, guidance, education and partnership to promote and establish programs in health and safety, protection of the environment and regulatory compliance. 
Also see http://orcbs.msu.edu "
Middlebury College,2016-03-25,2016-03-25 14:03:33,jmbyrne@middlebury.edu,2.0,Pursuing,**,106.0,64.0,1442.0,1484.0,**,2015-01-01,2015-12-31,2014-01-01,2014-12-31,"We are using the year 2014 to closely monitor yearly changes in workplace health and safety. The Office of Environmental Health and Safety currently does not use a baseline year. Data for both years were collected in the same manner, as part of the annual OSHA report.","Middlebury College has a strong commitment to workplace health and safety.  The Office of Environmental Health & Safety provides advice, guidance and resources to the Middlebury community on occupational safety and risk management.  Education and training are key parts of our safety program.  We use a comprehensive training matrix to ensure we meet both regulatory requirements and our own internal standards. Besides regulatory and job-specific safety training, we offer training on many topics, including safe driver training, ergonomics, fire prevention, and free on-site CPR/AED certification training for staff, faculty and students.  

Part of Middlebury’s strong commitment to a safe working environment is emergency preparedness.  Middlebury has established an Emergency Core Team, comprised of senior administrators.  This team is responsible for emergency planning, preparedness and recovery.  This core team has established an Emergency Planning and Preparedness Team, which provides support and resources during an actual emergency.  Middlebury has a state-licensed first responder team made up of staff and student emergency medical technicians who are able to provide emergency medical services to both the campus and the community

The responsibility for Middlebury's safety culture is shared, and requires active commitment from all staff, faculty and students.  We envision continuous improvements to our workplace health and safety program that take it well beyond regulatory requirements.
",http://www.middlebury.edu/offices/health/ehs,"Middlebury employs dining services, retail operations, facilities services, Rikert Nordic Ski Center, and the Snowbowl Ski Area. Most of the injuries reported occur in facilities and dining. We are working on hazard prevention training and techniques with these groups to focus on injury prevention."
Mills College,2016-02-29,2016-02-29 23:53:56,ngaetjens@mills.edu,2.0,Pursuing,**,7.0,19.0,363.49,441.22,**,2014-01-01,2014-12-31,2011-01-01,2011-12-31,,Mills College has a Safety Committee that monitors safety in the campus.  They are also the advice group for any changes to improve safety in the campus.  For any work related injury the Benefits Manager is the one who coordinate to correct any safety issues reported as part of the worker’s compensation claim.  ,--,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:16,neapple@mtholyoke.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Muhlenberg College,2016-03-23,2016-03-23 10:27:55,kprocyk@muhlenberg.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Naropa University,2016-02-29,2016-02-29 17:16:54,acook@naropa.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:52,lindsay_batchelor@ncsu.edu,2.0,Pursuing,**,182.0,257.0,8696.1,8645.0,**,2014-01-01,2014-12-31,2012-01-01,2012-12-31,Using 2012 data for start of 3 year period.,"NC State has a comprehensive program for minimizing safety risks to staff, students, and guests, preventing property damage and business interruption, and safeguarding the environment. ",http://www.ncsu.edu/ehs/,--
Northern Arizona University,2016-02-23,2016-02-23 18:52:14,Ellen.Vaughan@nau.edu,2.0,Pursuing,**,63.0,128.0,3199.0,2995.0,**,2014-01-01,2015-12-31,2012-01-01,2012-12-31,We chose 2012 as the baseline because that was the first year we did an internal audit of our injury log populated by our reporting software.  We did the same internal  audit in 2015.  ,"The Environmental Health and Safety Department oversees the following programs:
asbestos, lead, and PCBs
biological safety
chemical hygiene and safety
confined space safety 
environmental compliance
ergonomics
field safety
general safety
hazard communication
hazardous waste management
hearing conservation
import and export
industrial hygiene
laser safety
loss prevention topics
occupational health
online loss prevention training
minors in laboratories
mold
radiation
respiratory protection

Dozens of other initiatives can be found at the link below.",http://nau.edu/Research/Compliance/Environmental-Health-and-Safety/,"Injury numbers provided by: Sarah Elizabeth Ells, Health/Safety Officer, Regulatory Compliance

FTE: http://nau.edu/PAIR/Quick-Facts/"
Oberlin College,2016-03-21,2016-03-21 16:09:55,bflynn@oberlin.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ohio University,2016-03-23,2016-03-23 07:58:46,goetze@ohio.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Onondaga Community College,2016-02-26,2016-02-26 16:34:07,vormwals@sunyocc.edu,2.0,Pursuing,**,21.0,20.0,1222.0,1213.0,**,2013-09-01,2014-08-31,2008-09-01,2009-08-31,,,--,--
Oregon State University,2016-03-30,2016-03-30 14:51:09,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pennsylvania State University,2016-03-21,2016-03-21 11:48:55,mme2@psu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pittsburg State University,2016-03-24,2016-03-24 14:48:31,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pitzer College,2016-02-22,2016-02-22 14:38:58,warren_biggins@pitzer.edu,2.0,Pursuing,**,7.0,12.0,363.08,584.9,**,2014-01-01,2014-12-31,2011-01-01,2013-12-31,The College has a joint workers' compensation program with the member institutions of The Claremont Colleges (seven institutions). The experience-modification is jointly calculated and reported. The baseline used for this survey was based on the recommendation in the survey to use a three-year average prior to the performance year.,"A Return-To-Work Program was implemented about two years ago. Broader campus resources were engaged to provide a variety of opportunities for employees with physical restrictions to return to work.

Disability Insurance (a voluntary disability insurance) and Workers' Compensation processes are administered in-house for the convenience of employees. Employees receive disability payments processed through Pitzer's own payroll and according to the same pay schedule, as long as application materials are received from the employee in a timely manner.",--,--
Plymouth State University,2016-02-29,2016-02-29 11:42:42,bweisenhauer@plymouth.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pomona College,2016-01-11,2016-01-11 17:28:42,alexis.reyes@pomona.edu,2.0,Pursuing,**,13.0,13.0,700.0,700.0,**,2014-01-01,2014-12-31,2014-01-01,2014-12-31,,"Pomona College is committed to providing a safe work place and complies with all applicable federal and state safety regulations. In this regard, the College has instituted an Injury and Illness Prevention Program (IIPP).

Employees are required to observe safety requirements, and to use the safety equipment as trained and instructed. Each employee is expected to: (1) obey safety and health rules, (2) follow established safe and healthy work practices, (3) exercise caution in all work activities, (4) correct or promptly report unsafe and unhealthy acts and conditions in the workplace, and (5) participate in safety training programs. Employees may be subject to disciplinary action up to and including termination, for engaging in unsafe work practices or for violating established safety rules. If employees observe unsafe actions or conditions, they should report them immediately to their supervisor or to the Human Resources Office.
In keeping with its commitment to providing a safe workplace, the College has a zero-tolerance Policy on Workplace Confrontation and Violence which can be found in Section V of the Employee Handbook.

Employees must report any injury on the job to their supervisor immediately following a job-related injury. Treatment, if required, will be provided in accordance with law.
Employees and their supervisor must each complete a “Report of Occupational Accident” form within 24 hours of the occurrence of the injury. Forms are available from supervisors, the HR Office and the CUC Disability Administration Office.",http://www.pomona.edu/administration/human-resources/resources-benefits/staff-handbook.pdf,--
Portland State University,2016-03-24,2016-03-24 17:21:03,jenny.mcnamara@pdx.edu,2.0,Pursuing,**,46.0,40.0,4071.0,4247.0,**,2014-07-01,2015-06-30,2012-07-01,2013-06-30,Most recent year data was available.,,--,Information provided by the office of Human Resources.
Princeton University,2016-01-20,2016-01-20 17:01:08,kristiw@princeton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Principia College,2016-01-30,2016-01-30 21:54:39,karen.eckert@principia.edu,2.0,Pursuing,**,10.0,14.0,358.0,360.0,**,2014-01-01,2014-12-31,2011-01-01,2011-12-31,,"Our workplace health and safety target is that each worker comes to work uninjured and leaves uninjured. A Workplace Safety Department (WSD) oversees the environmental health and safety program (including workers compensation and insurance coverage) and collaborates with Departments on emergency response, procedures, and training. First Aid/CPR training is provided by WSD and required of Campus Security, Athletic Coaches, and Resident Counselors. Monthly training is provided by a Safety Trainer, and inspection/reporting of all incidents is completed according to strict protocols. Health or Injury Emergency Response Guidelines are posted online. ",http://www.principiacollege.edu/node/1822,"PRINCIPIA ENVIRONMENTAL HEALTH & SAFETY MISSION STATEMENT
""The Principia's policy is to manage operations in a manner that will protect the health and the safety of our employees and the communities where we do business. The Principia will accomplish this task by involving and empowering each employee in creating a safe working environment. It is within this focus that the Principia has formulated a structured set of rules for all employees. The effort and method of formulating this set of rules included involvement of all departments within our location. This diversity has fostered a spirit of cooperation and active support throughout our group. Accident prevention depends on this cooperation and active support. This challenge to all employees is to work in an efficient ans safe manner. The fact is that at The Principia, 'Safety comes first'."" (http://www.principiacollege.edu/node/1818)"
Purdue University,2016-02-26,2016-02-26 16:45:21,mgulich@purdue.edu,2.0,Pursuing,**,301.0,434.0,12036.0,11990.0,**,2014-07-01,2015-06-01,2011-01-01,2011-12-01,N/A,"In terms of safety Purdue University features public safety in the categories of police, fire, and emergency preparedness. The university also has the following departments: REM, fire protection, and regulatory compliance. For 2014-2015 new enhancements include emergency alert beacons, door locks, Twitter updates, desktop pop-up alerts, all-hazard awareness training, and an emergency call center. There are online training courses for dealing with chemicals and hazards communication, safety newsletters, injury form completion guidelines, and safety chair meeting presentations.",https://www.purdue.edu/physicalfacilities/partnerunits/ehps/index.html,"http://www.purdue.edu/datadigest/2011-12/Pages/Faculty_Staff/Faculty_Staff_FTE_Source_Fund.html
http://www.purdue.edu/datadigest/FacultyStaff/FacStaffFTEFundSource.html
"
Randolph College,2016-02-26,2016-02-26 14:25:33,llemaitre@randolphcollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rice University,2016-03-25,2016-03-25 16:32:58,rrj@rice.edu,2.0,Pursuing,**,14.0,102.0,4500.0,3063.74,**,2013-02-01,2014-04-30,2012-07-01,2013-07-01,,"Rice University's Environmental Health and Safety department works to create a safe workplace by providing all staff with safety equipment and hosts a variety of training sessions. All laboratory staff and users are required to go through specific laboratory safety trainings that aims to teach users about hazards in the laboratory. This training is required within the first 30 days of new work practices. In addition to the general safety training, all users are also responsible for training courses in biosafety and bloodborne pathogens, radiation safety and laser safety and must repeat these trainings annually. ",http://safety.rice.edu/Training/Safety_Training_Matrix/,--
Rochester Institute of Technology,2016-03-25,2016-03-25 15:54:09,elcpro@rit.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Saint Louis University,2016-03-24,2016-03-24 17:17:57,bverhof1@slu.edu,2.0,Pursuing,**,179.0,275.0,5212.0,5154.0,**,2015-01-01,2015-12-31,2009-07-01,2010-06-20,Used 2010 based on data readily available.,"Information is available through the following links:

http://www.slu.edu/Documents/research/forms/OHP_MedHistoryForm_MQ_6MAY2014.pdf
 
https://www.slu.edu/busfin/departments/risk-management-and-insurance/workers-compensation
 
http://oess.slu.edu/index.php?page=workplace-safety-industrial-hygiene",http://oess.slu.edu/,--
San Francisco State University,2016-03-25,2016-03-25 17:34:42,kordesch@sfsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Santa Clara University,2016-02-26,2016-02-26 20:44:59,lkalkbrenner@scu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Seattle University,2016-03-23,2016-03-23 11:54:00,thompson@seattleu.edu,2.0,Pursuing,**,12.0,20.0,4164.0,3446.0,**,2015-01-01,2015-12-31,2009-01-01,2009-12-31,The baseline year was adopted to so that it was comparable to other baseline data for the STARS report.,"Seattle University health, safety and environmental protection activities are supported by two credentialed safety professionals, a five member work-group representing campus-wide interests and two executive sponsors.

The two safety professionals provide support and technical services for protecting SU’s environmental liabilities, regulatory oversight for programs/departments with regard to identifying and managing the disposal of hazardous wastes; developing and managing pollution control strategies and monitoring issues and determining their impacts on current and future operations.  
The EHS team is also responsible for providing a number of environmental and consulting services to our campus community. Services include the following:
•	Coordinate emergency response to spills of hazardous materials and environmental release hazards
•	Provide waste pick up of hazardous chemicals and biological wastes
•	Maintain and manage appropriate service contracts and service agreements
•	Provide assistance to faculty, staff and students working with processes that generate wastes to apply source reduction and waste minimization practices
•	Perform safety audits
•	Conduct environmental sampling (Asbestos, Mold, Lead and Indoor Air Quality Investigations)
•	University wide environmental reporting and documentation  for a number of regulatory agencies like WA State Department of Ecology/USEPA/USDOT/NIH OBA 
•	Provide direction, consultation, and training for the safe use, handling and storage of biological and chemical materials in the research, academic, and facilities operations
",https://www.seattleu.edu/environmental/,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:46,mpate@sewanee.edu,2.0,Pursuing,**,35.0,33.0,615.41,546.46,**,2014-01-01,2014-12-31,2010-01-01,2010-12-31,The workplace health and safety baseline was adopted because it was the furthest back our data goes in reporting for these fields. ,,--,--
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:26,andre.plante@sheridancollege.ca,2.0,Pursuing,**,34.0,16.0,924.0,735.0,**,2013-04-01,2014-03-31,2010-04-01,2011-03-31,The baseline year has been established for the STARS assessment based on the availability of information and to keep dates consistent throughout.,Develop and maintain a continuous improvement health and safety management system.,https://www.sheridancollege.ca/working-at-sheridan/human-resources/occupational-health-and-safety.aspx,--
Simon Fraser University,2016-02-08,2016-02-08 23:41:54,erica_lay@sfu.ca,2.0,Pursuing,**,67.0,59.0,2675.11,2581.33,**,2013-01-01,2013-12-31,2007-01-01,2007-12-31,,"We have several safety programs in place at SFU including Fall Protection, Confined Space Entry, Indoor Air Quality, Biosafety, Chemical Safety, etc.  Our webpage (www.sfu.ca/srs/ehs) provides details on these programs.  A new initiative in 2013 was the development of SFU's Workplace Bullying & Harassment Program.  
",http://www.sfu.ca/srs/ehs,Note:  The reported cases are cases reported to the Provincial WorkSafeBC.  These are the number of accepted cases each year.
Slippery Rock University,2016-02-29,2016-02-29 14:19:04,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
