Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Floor area of building space covered by an indoor air quality (IAQ) management program that meets ...,Gross floor area of building space,A brief description of the institution’s indoor air quality program(s) (including information about ...,The website URL where information about the institution’s indoor air quality program(s) is available,Public Notes
Duke University,2016-02-26,2016-02-26 14:18:04,tavey.mcdaniel@duke.edu,2.0,Pursuing,18599798.0,18599798.0,"Duke’s Occupation & Environmental Safety Office, Division of Occupational Hygiene and Safety is responsible for monitoring and responding to indoor air quality concerns across campus and the health system. This office coordinates the programs for evaluating, controlling, or eliminating both health and safety hazards in the workplace. They respond to IAQ concerns and mobilize to address emergent events that may result in a decrement in air quality such as building flooding, construction activities, etc.

Excerpt from OESO Standard Operating Procedures - 
Phase 1 investigations are the initial step in evaluating whether a reported IAQ concern is significantly affecting the health of the occupants in the area. In the majority of cases, IAQ evaluations will be resolved in this phase.

Process
Step 1 – Initiation: When contacted about an IAQ problem, the complainant is referred to http://www.safety.duke.edu/OHS/IAQ.htm for self help. This page links the complainant to information and other resources, including the appropriate maintenance dept. In the case that self-help does not work or is not considered suitable, the complainant may choose to request an investigation through the link to TMS.
Step 2 – Scheduling of investigation. Upon receipt of the TMS work request, OESO will assign staff (and copy the appropriate territory person) to conduct the initial investigation.  The assigned staff member will schedule the investigation directly with the area supervisor.
Step 3 – Investigation – the surveyor will visit the area, conduct an initial investigation consisting of basic measurements and observations to ascertain the cause of concern. OESO's investigation procedure provides guidance on what to look for and also serves as documentation of the visit.
",http://www.safety.duke.edu/OHS/IAQ.htm,--
Earlham College,2016-03-03,2016-03-03 10:49:57,butchli@earlham.edu,2.0,Not Pursuing,--,--,--,--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:21,stoddardl@easternct.edu,2.0,Pursuing,2288256.0,2288256.0,Eastern utilizes a work management system for building occupants to register complaints or building issues. These include but are not limited to indoor air quality issues and general maintenance requests. ,http://www1.easternct.edu/ehs/files/2014/07/Safety_manual.pdf,This information was input by Eric Germain. 
Elon University,2016-01-14,2016-01-14 09:32:52,edurr@elon.edu,2.0,Not Pursuing,--,--,--,--,--
Emory University,2016-02-29,2016-02-29 16:26:36,ciannat.howett@emory.edu,2.0,Pursuing,9885730.0,9885730.0,Emory's Indoor Air Quality is handled by the Environmental Health and Safety Office (EHSO) through the Safety/Industrial Hygiene Program. Customers can report problems with indoor air quality through the Indoor Air Quality (IAQ) Questionnaire found on the EHSO website. The policy covers the entire campus. EHSO then works with Emory's Engineering Services staff to troubleshoot and correct the situation.,http://www.ehso.emory.edu/content-guidelines/GuidelinesForReportingIAQConcerns.pdf,Data reported for 2013-2014 fiscal  year.
Endicott College,2016-03-01,2016-03-01 10:10:07,screight@endicott.edu,2.0,Pursuing,900000.0,900000.0,"Endicott uses environmentally preferred products and practices such as… 
•	Certain Green Seal cleaners
•	Pre-mixed cleaners to ensure proper concentrations
•	Low VOC paints and carpet adhesives are used regularly. 

Endicott protects indoor air quality… 
•	Smoking is prohibited inside all buildings and 20 feet from the outside of buildings
•	Pest  are controlled through prevention first
•	When pests are present, every effort is made to control them from the outside before action is taken within a building.  When pests must be controlled in a building, traps/cups are the preferred method. 
•	Air quality testing is used when necessary.  Carbon monoxide and Carbon dioxide measuring is routine. 

Endicott takes complains seriously 

Specific IPM initiatives are in place at Callahan and Wax Academic Center.",http://endicott.edu/AboutEndicott/Sustainability/SustainBldgGrounds.aspx,"We estimate that active IAQ management is in place in all major buildings, but to a lesser degree in smaller buildings.  "
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:22,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--
Fort Lewis College,2016-03-27,2016-03-27 16:00:34,kehilimire@fortlewis.edu,2.0,Pursuing,1165427.0,1165427.0,"FLC has one full-time employee dedicated to changing air filters and conducting regular preventative maintenance on air handlers to ensure high indoor air quality. The college uses a TMA Systems work order tracking system as a mechanism to receive complaints. The system is accessible to all campus occupants to submit complaints online and every complaint goes to the Service Center, where it is assigned as a work order to the appropriate shop using a prioritization matrix. Work orders affecting health and safety, such as air quality issues, are given top priority. Each work order is then tracked through the system until resolved.",--,--
Furman University,2016-02-22,2016-02-22 13:43:06,yancey.fouche@furman.edu,2.0,Pursuing,--,2432286.0,Sufficient details on indoor air quality program are not available at this time to meet credit criteria.,http://www.furman.edu/sites/Facilities/RiskManagement/Documents/safety%20manual.pdf,--
George Washington University,2016-02-29,2016-02-29 13:04:29,shannonross@gwu.edu,2.0,Pursuing,1343194.0,8351379.0,"The University requires that all LEED certified projects achieve the following credits: IEQ 1 (Outdoor Air Delivery Monitoring), IEQ 3.1 & 3.2 (Construction IAQ Mgmt Plan - During Construction and Before Occupancy), IEQ 4.1, 4.2 & 4.3 (Low-Emitting Adhesives, Sealants, Paints, Coatings, and Flooring), IEQ 5 (Chemical and Pollutant Source Control) and IEQ 7.1 & 7.2 (Thermal Comfort Design and Verification Survey).

As part of GW's Ecosystems Enhancement Strategy, GW has committed to promoting healthy air and climate within the buildings on its campuses, in the Chesapeake region, and across its global footprint. One way of doing this is to enhance the livability of indoor space and increasing indoor air filtration capacity. 

Under this goal, GW will enhance the livability of indoor space and increase indoor air
filtration capacity in university-owned and operated buildings. One indicator to measure progress toward this target is the number of plantings in indoor spaces. The university is exploring potential tactics to achieve this target including:

1) Encourage the adoption of interior green spaces (such as living walls and biophyllic design) in new construction and major renovation design.
2) Encourage the adoption of potted plants or other greenery as part of the Green Office Network.
3) Purchase materials and equipment comprised of non-toxic or less toxic components (e.g., low volatile organic compounds (VOC) carpets and paints, green cleaning products, Green Guard/Green Seal products, FloorScore hard surface flooring, Green Label carpeting).
4) Achieve Indoor Environmental Quality (IEQ) LEED credit 3.2 where the intent is “to reduce indoor air quality problems resulting from construction or renovation to promote the comfort and well-being of construction workers and building occupants” in projects where LEED certification is targeted.
5) Assess air handling & filtration technology.
6) Ensure HVAC systems are properly maintained (regular filter change, coils cleaning and repair of damaged parts).
7) Maintain and evaluate a green or blue cleaning program.
8) Ensure interior spaces are properly sealed off during building construction/renovation projects.
9) GW will maintain a 'smoke free' campus.",https://sustainability.gwu.edu/sites/sustainability.gwu.edu/files/downloads/GW%20Ecosystems%20Enhancement%20Strategy%202012.pdf,--
Georgia College & State University,2016-03-25,2016-03-25 19:09:40,doug.oetter@gcsu.edu,2.0,Pursuing,--,2196533.0,"I have been working with people that have concerns about the air quality in their working area in a number of ways.  Typically I send everyone in the building an air quality written survey from the EPA.  I use this to determine if there is a potential problem.  I also conduct a visual inspection of the entire building.  I look in all areas that could pose a potential problem.  If the building in is need of cleaning, I have the custodial dept. clean all surfaces in the area of concern, in hopes that the problem can be solved with just a cleaning.  If I see or smell anything that could potentially be a problem, I have conducted noninvasive air sampling.  If we find that there is a problem we are approaching the subject of doing more invasive testing.  At this point and time I have not done the invasive testing.  It would be good to be able to conduct some more in depth air sampling but at this time we do not have the appropriate equipment or funding to do so.  ",--,--
Gonzaga University,2016-02-29,2016-02-29 13:09:24,simonj@gonzaga.edu,2.0,Pursuing,--,--,"The Gonzaga Risk Manager and the newly hired Environmental Health and Safety manager both have extensive experience with indoor air quality procedures, as they both previously worked for School District 81, Spokane’s local public school district.  The Risk manager also worked at WSU previously and The Eh&S manager has operated his own environmental consulting firm for the last few years.  They are working on a new procedure for documenting any concerns relating to any faculty or staff concerns relative to the indoor air quality of their work spaces.  Prior to this, our previous EH&S manager worked from a complaint driven system, where in the concerned party would contact EH&S and ask for a review of their space. 
",--,--
Green Mountain College,2016-03-21,2016-03-21 15:55:23,ihrker@greenmtn.edu,2.0,Not Pursuing,--,--,--,--,"We have temporarily suspended the IAQ Testing program. Regular monitoring of complaints will still occur. 

Occupant complaints or questions about IAQ will be collected directly by the sustainability office through e-mail. Information for how occupants can submit complaints is available online under the IAQ section of the sustainability website (http://sustainability.greenmtn.edu/operations/buildings_energy/indoor_air_quality.aspx). 

Questions and complaints will be addressed first by the sustainability office, which will then pass on that information to the facilities department, facilitation committee, or cabinet, depending on the severity of the issue. "
Guilford College,2016-03-08,2016-03-08 08:08:37,corrybc@guilford.edu,2.0,Not Pursuing,--,--,--,--,--
Hampshire College,2016-03-23,2016-03-23 09:58:49,bhooker@hampshire.edu,2.0,Not Pursuing,--,--,--,--,--
Harvard University,2016-02-29,2016-02-29 16:59:03,colin_durrant@harvard.edu,2.0,Pursuing,28000000.0,28000000.0,"The Harvard University Indoor Air Quality (IAQ) Program establishes guidelines and best practices to assist building managers in maintaining good indoor environmental quality. The goal is to operate buildings in a manner that meets established performance standards regarding ventilation, temperature, relative humidity, air quality, odor, noise and lighting. Environmental Health and Safety provides technical assistance and training to building mangers and staff on related topics and aids building managers responding to IAQ problems.",http://www.ehs.harvard.edu/programs/indoor-air-quality-iaq,--
Haverford College,2016-03-02,2016-03-02 12:02:09,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:48,sustainability@hws.edu,2.0,In Progress,--,--,--,--,--
Indiana State University,2016-03-29,2016-03-29 10:18:08,caroline.savage@indstate.edu,2.0,Pursuing,2836410.0,4461597.0,"ISU employs a full time environmental safety staff whom monitor IAQ. Complaints can be made to Environmental Safety anytime via email and/or phone.
It has been currently standard practice for the past 10 years to install HVAC systems on direct digital control. This provides more efficient control, better air quality, and also measures CO2 levels. Complaints can be registered through the Facilities Management request for services and the residence life work orders submissions.  ",http://unboundedpossibilities.com/library/documents/ICS/ISU-Climate-Action-Plan-Final-2010.pdf,The assigned square footage of all buildings vs the gross square footage has been included in the IAQ program.
Indiana University Bloomington,2016-03-23,2016-03-23 09:43:31,brownwm@indiana.edu,2.0,Pursuing,17076640.0,17076640.0,"Indiana University Environmental Health and Safety (EHS) and IU Physical Plant (PP) are responsible for addressing indoor air related concerns. PP addresses comfort issues associated with adequate fresh air, temperature, dust, humidity, water related issues and mold remediation. EHS gets involved if there are health related concerns with any of the above parameters and routinely addresses complaints from the University community. ",http://ehs.iu.edu/topics/indoor-air/index.shtml,--
Juniata College,2016-03-23,2016-03-23 08:09:15,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:17:02,mknowle1@kent.edu,2.0,Pursuing,5842688.0,5852959.0,"KSU facilities management system (FMS) is based on Johnson Controls Metasys. This system is monitored 24 hours a day, 365 days a year. Current Utilization covers over 95,000 points of control covering (monitoring, alarming and trending) of the mechanical system at the Kent Campus. The system monitors and controls air flow, temperatures, CO2 control, building pressurization through various systems including Variable Air Volume Systems, Demand Control Ventilation etc. Our indoor air quality is continuously monitored through our trending and automation with use of room to air handling co2 monitoring sensors which automatically allows the building system to increase the outdoor intake to any of our buildings and alleviate indoor air quality concerns while providing the best energy conservation measures.

Any complaints or concerns about indoor air quality are directed to the Environmental Health and Safety officer, who can respond with both a visual inspection and IAQ meter, as appropriate.  A report is made including recommendations for corrective action.",--,--
Knox College,2016-03-23,2016-03-23 08:30:43,sustainability@knox.edu,2.0,Pursuing,1000000.0,1000000.0,"Temperatures are maintained by the automated building control system.

The heating plant has a scheduled filter change out plan that varies by building, system and filter type. Some filters are changed monthly while others are quarterly. Some buildings spaces are based on 100% outside air while others recirculate and add mixed outside air to maintain a minimum standard of fresh air.

There are multiple reporting mechanisms for registering issues, such as by the work order line, work order email, or verbal calls to either the plant or the Director of Facilities.",--,"100,000 square feet of building space is excluded as it is unoccupied building space used as the warehouse, maintenance buildings, heating plant, garages, and the press box."
Lehigh University,2016-02-29,2016-02-29 00:26:16,sustainability@lehigh.edu,2.0,Pursuing,4068959.0,4566229.0,"Environmental Health & Safety responds to building occupant complaints, measures for pollutants such as gases and mold and recommends remediation based on findings.  EH&S has developed a mold remediation protocol.  Chemical fume hoods are checked and face velocities confirmed annually.",--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:10,advorak@lclark.edu,2.0,Pursuing,1303887.0,1303887.0,"The institution's indoor air quality program is focused on the use of low-emitting materials in paint, adhesives, cleaning products, wall and floor materials. Additionally, there is a mechanism in place for occupants to register complaints regarding air quality and to audit or monitor air quality when needed.  ",http://www.lclark.edu/offices/facilities/risk_management/,--
Loyola Marymount University,2016-03-23,2016-03-23 14:02:43,ian.mckeown@lmu.edu,2.0,Pursuing,--,--,"Occupants can file a complaint with the schools' ehs department and they along with facilities performs the follow up. Action plans are implemented with contracted vendor to test and to  correct the air quality issue. Air quality is ensured with new and renovated construction but adhering to the following standards. All new and renovated HVAC systems are required to meet ventilation requirements per the latest versions of California Title 24 and ANSI/ASHRAE Standard 62.1 Ventilation for Acceptable Indoor Air Quality. Additionally, quality monitoring occurs across campus for air quality to meet regulation. ",http://www.lmu.edu/sites/Community_home/green/The_Campus/Built_Environment.htm,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:34,adurnbaugh@luc.edu,2.0,Pursuing,4164093.0,4164093.0,"Loyola addresses indoor air quality through facilities, housekeeping and occupant practices.  Loyola specifies green-cleaning supplies (GreenSeal or similar certified, currently 95% of all cleaning products) and instructs vendors the same.  Loyola specifies low-VOC finishes and sealants in all interior rehab and construction projects.  Loyola encourages green certified products and materials through purchasing.  Loyola also has a process for addressing complaints and creating action plans to address identified issues.  Following a complaint, the Env. Safety Director will meet with the complainant to collect more details.  If the complaint is valid, an industrial hygenist will be brought to the site to test for issues.  If issues are identified, an action plan to remediate the issue will be implemented.",http://www.luc.edu/environmentalservices/safety_information.shtml,--
Macalester College,2016-01-06,2016-01-06 13:02:57,shansen2@macalester.edu,2.0,Pursuing,99276.0,99276.0,"1) Maintain temperature and humidity
2) Maintenance of CO2 levels in concert hall",--,--
Maryville College,2016-02-11,2016-02-11 15:37:41,adrienne.schwarte@maryvillecollege.edu,2.0,Not Pursuing,--,--,--,--,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:10,slanou@mit.edu,2.0,Pursuing,12093381.0,12093381.0,"MIT Environment, Health & Safety is responsible for the campus' indoor air quality. This work includes comprehensive training, monitoring spaces, responding to occupant concerns, and implementing corrective measures using a risk-based approach. EHS indoor air quality programs are available to all MIT academic spaces. While EHS does not continually do instrumented monitoring for all indoor air quality in all spaces across campus, it does constantly instrument-monitor key lab areas for certain gases and vapors, and respond and monitor concerns in all spaces. Labs are monitored for specific gases that could endanger human health, garages are monitored for carbon monoxide, and kitchens are monitored for carbon monoxide and vapor levels at or near the lower explosive limit.",https://ehs.mit.edu/site/content/indoor-air-quality,--
McMaster University,2016-02-19,2016-02-19 09:37:33,naeemsh@mcmaster.ca,2.0,Pursuing,4115000.0,4115000.0,"McMaster has a program for the maintenance, assessment, and control of indoor air quality that meets or surpasses existing regulations and standards for the health, safety, and comfort of building occupants. 

If you refer to the URL below you will see the 8 page Building Indoor Air Quality 
Management Program. ",http://www.workingatmcmaster.ca/med/document/RMM-400-Building-Indoor-Air-Quality-Program-1-36.pdf,--
Miami University,2016-03-02,2016-03-02 14:17:54,kliney@miamioh.edu,2.0,Pursuing,7251940.0,7251940.0,"The University's indoor air quality practices are as follows:
The Physical Facilities Department has an Air quality Technician (AQT) shop that performs repairs and preventive maintenance (PM), and responds to complaints recorded through the University’s online work order system.  PM activities include filter replacements and equipment servicing, as well as cleaning coils and condensate drain pans (to prevent microbial growth).  The AQT shop also monitors temperature and HVAC system performance through a centralized monitoring and control system, and responds to systems alarms if a control point is out of range.  They routinely test to ensure all components are calibrated and operating as designed.  Temperature is monitored across campus.  Some spaces also have humidity and/or CO2 sensors, which are also monitored. Balancing occupant comfort and operational cost, outside air economizers are used based on both temperature and humidity measures.
Concerns or suspicions of mold or other air contaminants are handled by the Environmental Health and Safety Office.  An on-staff Certified Industrial Hygienist (CIH) conducts indoor air quality investigations.
",--,--
Michigan State University,2016-02-16,2016-02-16 09:19:25,erhardt7@msu.edu,2.0,Pursuing,22825763.0,22935797.0,"IAQ complaints at MSU are addressed by a combination of efforts between MSU EHS, MSU IPF HVAC Department and University Physician.  Standard EPA IAQ Investigative techniques, air monitoring and site inspections are employed.

http://ipf.msu.edu/green/energy/building-efficiency/commissioning-process.html
Commissioning is a comprehensive engineering analysis of the operation and performance of a building’s systems, including HVAC (heating, ventilation and air conditioning) and lighting systems. The methodical process ensures building performance, reduces energy use, improves indoor air quality and meets occupants' needs.

Commissioning occurs during the new construction process, in existing buildings and with newly installed systems to sustain efficiency. Existing-building commissioning has the heaviest focus right now in alignment with the Better Buildings Challenge. ",http://www.ehs.msu.edu/occupational/resources_links/resources_links.htm,--
Middlebury College,2016-03-25,2016-03-25 14:03:09,jmbyrne@middlebury.edu,2.0,Pursuing,2377753.0,2635468.0,"The College created a new position in 2013: Energy and Technology Coordinator and hired a full-time staff person. A significant portion of the position responsibilities involves post-commissioning of buildings to assure that their HVAC systems are working properly and/or to determine what repairs and replacements are necessary to maintain healthy indoor air quality and energy efficiency.  This staff person is working through a priority list with the largest/more occupied buildings as priorities. Additionally, all occupants in all building space on campus are able to register indoor air quality concerns through a Facilities Services work order. All concerns brought up in this way are addressed by Facilities staff as appropriate.  Other relevant urls:
http://www.middlebury.edu/media/view/187731/original/MP6_sustainability.pdf    
http://www.middlebury.edu/sustainability/policy-planning/planning/construction   ",http://www.middlebury.edu/sustainability/policy-planning/planning/guiding_principles,--
Mills College,2016-02-29,2016-02-29 23:53:51,ngaetjens@mills.edu,2.0,Pursuing,45253.0,955269.0,Mills has 2 LEED certified buildings that comply with indoor air quality requirements and practices.,--,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:10,neapple@mtholyoke.edu,2.0,Pursuing,2122195.0,2122195.0,"The College is committed to maintaining a healthy indoor environment in all of our buildings. The Director of Environmental Health and Safety and  Associate Director of Facilities Management serve as the IAQ managers and investigate all IAQ complaints. Monitoring tied to HVAC controls is present in several newer buildings. IAQ is a priority when renovating existing buildings or building new ones. Important aspects such as site location and space planning, building envelope and HVAC system design, material selection and work practices are carefully considered in the planning phases and throughout these projects. 
",http://www.mtholyoke.edu/ehs/indoorairquality.html,--
Muhlenberg College,2016-03-23,2016-03-23 10:27:28,kprocyk@muhlenberg.edu,2.0,In Progress,--,--,--,--,--
Naropa University,2016-02-29,2016-02-29 17:16:48,acook@naropa.edu,2.0,Not Pursuing,--,--,--,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:46,lindsay_batchelor@ncsu.edu,2.0,Pursuing,9108086.0,9108086.0,  The purpose of this program is to establish written policies and procedures to be used at NC State in the management of indoor air quality (IAQ). The requirements of this written program apply to all campus indoor environments where University employees work. This program also applies to contractors and their subcontractors who have been hired to work on campus. NC State University is committed to providing a work environment that is free of recognized hazards and to investigating concerns that may be related to unacceptable indoor air quality.,http://www.ncsu.edu/ehs/www99/right/handsMan/air_qual/index.htm,--
Northern Arizona University,2016-02-23,2016-02-23 18:52:08,Ellen.Vaughan@nau.edu,2.0,Not Pursuing,--,--,--,--,--
Oberlin College,2016-03-21,2016-03-21 16:09:49,bflynn@oberlin.edu,2.0,Pursuing,2598513.0,2598513.0,"Oberlin College’s Environmental Indoor Air Quality Program is designed to ensure that all “employees and students are provided a workplace and learning environment free of recognized indoor air quality hazards.” Faculty, staff, and students are responsible for communicating indoor air quality complaints to the Environmental Health and Safety Manager by phone or email. The Environmental Health and Safety Officer is responsible for complaints and will provide guidance necessary for corrective acton, while ensuring that affected building occupants will be informed throughout the investigative and resolution process.",http://new.oberlin.edu/dotAsset/2306054.pdf,--
Ohio University,2016-03-23,2016-03-23 07:58:13,goetze@ohio.edu,2.0,Pursuing,--,8054056.0,"Indoor air quality: Ohio University is concerned about maintaining safe and healthful working conditions and acceptable indoor air quality. Although there are currently few national/regional regulations in this area, Environmental Health and Safety (EHS) conducts evaluations where appropriate if groups of people seem to be affected by possible IAQ problems. Occasionally, air sampling may be necessary, and EHS can assist with this as needed. EHS works closely with Facilities Management to solve any problems that may be found.  EHS makes itself readily available to the entire campus community and responds quickly to any issues raised across campus in an effort to maintain safe and healthy conditions for inhabitants of all OU buildings.  Complaints can be addressed by either calling EHS directly or submitting an online Work Order Request through Facilities Management’s TMA system.  ",http://www.ohio.edu/riskandsafety/ehs/industrial/air.htm,"Indoor Air Quality resources and education made available to campus community from Environmental Health and Safety: http://www.ohio.edu/riskandsafety/ehs/general/resources.htm#ind 

Although Ohio University has 2 of the 3 components of an IAQ program (a mechanism for occupants to register complaints, and action plans to implement any corrective measures required in response to audits, monitoring or complaints), we do not have a regular auditing or monitoring program.  Additional staffing would be necessary to have a IAQ monitoring program.
    
"
Onondaga Community College,2016-02-26,2016-02-26 16:34:02,vormwals@sunyocc.edu,2.0,Not Pursuing,--,--,--,--,--
Oregon State University,2016-03-30,2016-03-30 14:50:45,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--
Pennsylvania State University,2016-03-21,2016-03-21 11:48:50,mme2@psu.edu,2.0,Pursuing,20891176.0,20891176.0,"Penn State's Indoor Air Quality (IAQ) plan covers all occupied space on campus, including offices, classrooms, and labs. Labs and production area spaces would be covered under a specific standard that keeps air quality acceptable for the tasks being performed within the lab or production area. 
The IAQ plan generally aims to provide fresh air, proper filtration, and reasonably clean duct work to all labs, offices, and classrooms on campus. It also aims to provide 20 CFM per person with carbon dioxide (CO2) levels around 800 or below.
Indoor Air quality issues can be reported through the Work Control Center. The Environmental Health & Safety office has developed standard procedures for investigating indoor air quality issues following methods developed by NIOSH. ",http://www.ehs.psu.edu/occhealth/indoor_air.cfm,--
Pittsburg State University,2016-03-24,2016-03-24 14:48:06,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--
Pitzer College,2016-02-22,2016-02-22 14:38:52,warren_biggins@pitzer.edu,2.0,Pursuing,456802.0,456802.0,"The Claremont College's Environmental Health and Safety (EHS) staff provides indoor air quality screening, and assists colleges with obtaining advanced indoor air quality/industrial hygiene monitoring services if required. EHS provides overall project guidance on asbestos and lead abatement projects, including oversight of industrial hygiene contractors the colleges have retained, as requested.

EHS also researches regulatory, legal, and best practice requirements for Occupational Health and Safety areas as requested.

Also, as part of Facilities' Active Preventative Maintenance Program, staff replace air filters on a quarterly basis throughout the entire campus HVAC system.",http://www.cuc.claremont.edu/ehs/services.asp,--
Plymouth State University,2016-02-29,2016-02-29 11:42:37,bweisenhauer@plymouth.edu,2.0,Not Pursuing,--,--,--,--,--
Pomona College,2016-01-11,2016-01-11 17:28:36,alexis.reyes@pomona.edu,2.0,Not Pursuing,--,--,--,--,--
Portland State University,2016-03-24,2016-03-24 17:20:38,jenny.mcnamara@pdx.edu,2.0,Pursuing,5328723.0,5328723.0,"PSU has a mechanism for building occupants to register indoor air quality complaints and conducts auditing or monitoring as needed in response to concerns, or  during activities with the potential to release contaminants, such as construction. Indoor Air Quality parameters from ASHRAE and other regulatory and scientific sources guide corrective measures when needed to address complaints.

Additionally, Human Resources has a fragrance policy. PSU has instituted a smoking ban for all of campus.

PSU's design standards require low VOC paint and carpet.",--,--
Princeton University,2016-01-20,2016-01-20 17:01:02,kristiw@princeton.edu,2.0,Pursuing,8902800.0,8912800.0,"The University’s Environmental Health and Safety (EHS) department as well as the Facilities Department responds to air quality concerns on campus. The quality of the air inside a building is affected by a variety of comfort, physical, chemical and biological factors. Factors influencing the indoor air quality of a room or building include:
-Comfort issues (temperature, humidity, ""stuffiness"")
-Supply of fresh air to the building
-Accumulation of particulate, biological or chemical contaminants originating from within or outside the building
 
Concerns related to comfort issues or water intrusion or damage are directed to the Facilities Customer Service Center. Concerns related to unresolved water damage, suspected mold conditions, unresolved odors or other indoor air quality concerns are directed to the Environmental Health and Safety department (EHS). After concerns are registered with the Facilities Customer Service Center or the Environmental Health and Safety department, the appropriate department will correct the issue as soon as possible.
 
There is no formal auditing process for indoor air quality. The program relies on communication from building occupants reporting issues as they arise.",http://web.princeton.edu/sites/ehs/biosafety/biosafetypage/iaq.htm,--
Principia College,2016-01-30,2016-01-30 21:54:34,karen.eckert@principia.edu,2.0,Pursuing,1077376.0,1077376.0,"All campus buildings have air intake volumes regulated by interior CO2 levels. The CFM (cubic ft/min) of outside air is adjusted to keep CO2 below acceptable levels established by ASHRAE. Air intake is computer controlled (Andover software), with sensors located in the return air ducts. Building occupants, including all students, staff and faculty, have access to an online TMA reporting system for lodging complaints, maintenance issues, etc. on a 24/7 basis.",--,--
Purdue University,2016-02-26,2016-02-26 16:45:16,mgulich@purdue.edu,2.0,Pursuing,19236333.0,19236333.0,"Indoor air complaints are reported to and investigated by Purdue’s Radiological & Environmental Management Department (REM). Investigations may include temperature, relative humidity, carbon dioxide, mold, and bacteria concentrations.  Additional parameters may be checked depending on the specific complaint.  Repairs, equipment modifications, and evaluations are conducted by Zone Maintenance, Departmental Maintenance and/or the central Indoor Air Quality (IAQ) Shop.  Special room cleaning and disinfection may be conducted by Building Services or Departmental housekeeping when necessary. Residents suspecting a problem are to fill out an Indoor Air Quality Concern form and submit by the email provided. ",http://www.purdue.edu/rem/ih/iaq.htm,--
Randolph College,2016-02-26,2016-02-26 14:25:27,llemaitre@randolphcollege.edu,2.0,Pursuing,700000.0,700000.0,"Our Buildings & Grounds staff are very responsive to issues of indoor air quality. The Buildings & Grounds staff are very responsive to feedback provided by campus constituents and will test the air anytime of the year, upon request. The campus has a system in place for people to fill comments/complaints about air quality, and those issues are tackle the same of the next business day.
",--,--
Rice University,2016-03-25,2016-03-25 16:32:34,rrj@rice.edu,2.0,Pursuing,873862.0,5695320.0,"The Aircuity system has been installed in the BioSciences Research Collaborative (BRC). The system measures the indoor air quality including temperature, humidity, VOCs, and carbon dioxide then regulates the number of times air is replaced in the room based on the indoor air quality. Any changes in these measured statistics are also reported to Environmental Health and Safety who has a response plan a team that can be dispatched to make any repairs or changes necessary.
A system is also in place online where people can report any problems with indoor air quality. The Rice Environmental Health and Safety has a response team that is dispatched to the location of the complaint and will handle any issues. ",--,--
Rochester Institute of Technology,2016-03-25,2016-03-25 15:53:36,elcpro@rit.edu,2.0,Pursuing,5835617.0,5835617.0,"EH&S is informed of indoor air quality concerns from students/parents, faculty, staff, and/or campus visitors via various sources such as: e-mails, phone calls, or through the RIT Facilities Management Services/Housing Departments. EH&S will investigate a complaint by going to the area of concern and performing an evaluation.  The following are practices we undertake during an investigation:

1. EH&S prefers that the person with the concerns be present during this evaluation to ensure a thorough investigation is conducted. If not EH&S will have a discussion with the person(s) to obtain detailed information.
2. EH&S works with the appropriate RIT Departments to resolve the concern (i.e. Facilities Management Services, Housing).
3. If it is determined that sampling is needed, a third party consultant will perform the monitoring deemed appropriate.
4. Various guidelines documents are used during the investigation, including:
 -EPA’s Sick Building Syndrome  (Indoor Air Facts No.4): http://www.epa.gov/iaq/pdfs/sick_building_factsheet.pdf
 - OSHA’s A Brief Guide to Mold in the Workplace : http://www.osha.gov/dts/shib/shib101003.html
5.  Documentation of sampling results is kept with the EH&S Department.  A summary of the results are shared with the concerned person(s).
",https://www.rit.edu/fa/grms/ehs/content/respiratory-protection,--
Saint Louis University,2016-03-24,2016-03-24 17:17:30,bverhof1@slu.edu,2.0,Pursuing,7544028.0,7544028.0,"SLU has documented the process for handling indoor air quality (IAQ) concerns. IAQ issues are fielded collaboratively by Facilities Management (FM) and the Office of Environmental Health and Safety (EHS), with FM responsible for operational and maintenance issues and EHS responsible for chemical/ biological hazards. There is a guide online posted on the Facilities Services website which instructs campus users on what to do for IAQ concerns and which department to contact. Most non-immediate concerns will be entered into our FAMIS service work order request system. Instructions are posted in the IAQ document. On the website, people can also find educational information about IAQ and causes/remediation of issues.",http://www.slu.edu/facilities-services-home/sustainability/campus-operations/buildings-and-grounds/indoor-air-quality,Facilities Management and the Office of Environmental Health & Safety work together to ensure that proper air quality is maintained in all campus buildings. Occupants may submit all indoor air quality concerns (IAQ) through our FAMIS service work order request system.
