Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have an ongoing incentives program or programs that meet the criteria for this ...,"A brief description of the program(s), including positive outcomes during the previous three years",A brief description of the incentives that faculty members who participate in the program(s) receive,The website URL where information about the incentive program(s) is available,Public Notes
Columbia University,2016-01-13,2016-01-13 14:27:28,as3215@columbia.edu,2.0,Pursuing,True,"The University offers various types of incentives to develop new courses. In certain programs, instructors are paid a financial incentive to develop new courses ($5,000 for the M.S. in Sustainability Management). In other cases, faculty are encouraged to develop new courses as part of their responsibilities with the Earth Institute (as opposed to their ""home"" department). These courses are offered through Earth Institute programs and typically open to multiple education programs. In other cases, research scientists (who are on soft money not faculty lines) may develop and teach new courses, which provides base salary support for their positions, reducing the amount the must raise through grants. This also attracts scientists who might not otherwise teach.

Much of this activity is led by the Earth Institute. The Earth Institute is a centrally administered (University wide) research & education organization that represents a unique model for academia. Faculty are associated with both the Earth Institute and another school or department at the University (i.e. the School of International and Public Affairs, the Engineering School, etc.). Because of this unique model, faculty are encourage to develop courses for interdisciplinary programs. For example, Columbia launched its PhD in Sustainable Development in 2004, and its M.S. in Sustainability Management and undergraduate Sustainable Development degree programs in the fall of 2010. Enhanced teaching opportunities were created by the university with 49 new courses to date having been created for  these degrees alone. As sustainability degree offerings continue to expand, more faculty are incentivized to participate. 
","As additional degrees, certificates, and concentrations are added faculty are encouraged to design courses to fulfill the changing needs of students. With these new courses, there is additional funding for instructing courses in sustainability and for professional development. The Earth Institute expands research, and ducational activities in conjunction with Columbia University schools and departments. The Earth Institute faculty coordinates undergraduate and graduate education programs and oversees the developments of new degree programs.These programs open up opportunities for researchers who don't have faculty lines to gain teaching experiences, which aside from financial incentives, provides important professional development. It allows faculty to come together and work in an interdisciplinary way. 
",--,--
Connecticut College,2016-02-28,2016-02-28 16:33:16,jstoffel@conncoll.edu,2.0,Pursuing,True,"The College current has a professional and curriculum development program for 18 faculty to incorporate environmental justice into their curriculum. The environmentally focused professors are support to include equity and justice into their courses and the faculty focused on social equity are support to incorporate environmental considerations into their courses. This effort is being support by a grant recently received by the College. After the completion of the grant, the College plans to develop an ongoing workshop that supports faculty from all departments to incorporate the central tenets of sustainability into any classes of interest. ","Faculty received a minor stipend for each year they participate. Additionally, 18 faculty were sent on three separate trips around the world (6 faculty per trip) to enhance the professional development they were received through the campus-based portion of the program.",--,--
Cornell University,2016-03-18,2016-03-18 08:39:50,cma18@cornell.edu,2.0,Pursuing,True,"In Spring, 2015, for the first time, Cornell’s Atkinson Center offered an incentive for faculty to develop cross-disciplinary courses in the sustainability field.  A new faculty-in-residence fellowship at the Atkinson Center offers teaching buyout for a semester for fellows who want to focus on advancing sustainability through a number of activities, including new course development.  An RFP for the fellowships went out early 2015 with the first fellowships starting in the fall semester.   

Anindita Banerjee, Comparative Literature, for example, studies the relationship between energy development, political power, and culture. Her goal is to make us more aware of the role of energy in the humanities, encouraging local and global ways of thinking about energy and culture. Banerjee's work includes developing a new undergraduate course exploring these themes.","The faculty-in-residence fellowship at the Atkinson Center offers teaching buyout for a semester. The fellowships will support fellows' research, writing, and teaching on topics related to sustainability.",http://www.acsf.cornell.edu/grants/facinres/index.php,--
Creighton University,2016-02-24,2016-02-24 14:08:57,mjduda@creighton.edu,2.0,Pursuing,True,"The College of Arts and Sciences and the Office for Academic Excellence and Assessment each offer Faculty Development Grants that can be used to develop new courses or adapt courses to add content. These grants have been used to pay faculty to develop many courses for the Sustainable Energy Technology majors. A total of 18 new courses with sustainability focus have been developed.

Workshops are offered to assist faculty in developing course and programs.

The new Sustainability program (major and minor) offers $500 mini-grants to faculty to  take an existing course that is part of the major and slightly modify it to create stronger linkages to the new program.

Creighton faculty are collaborating with faculty at other Jesuit institutions; travel costs are covered for interested faculty to attend a conference/workshop at one of the participating schools. ","A monetary stipend is awarded for work during the summer.
$500 grants are available for course modification.",--,--
Denison University,2016-02-15,2016-02-15 15:55:46,kingje@denison.edu,2.0,Pursuing,True,"Denison makes available a variety of professional development opportunities on a yearly basis for teaching faculty.  The focus of these varies by year.  In the past, some Denison teaching faculty have attended sustainability workshops sponsored through a consortium of colleges (Great Lakes Colleges Association) to which Denison belongs.  

Denison also has the Denison Seminar Program which gives faculty the resources necessary to develop new unique courses that can and do include sustainability concepts.  

Denison Seminars exemplify the best of the liberal arts, transcending the traditional boundaries of academic departments, programs and divisions, addressing interdisciplinary, extradisciplinary or integrative topics.

There are no prerequisites or other structural limitations; they carry GE credit; and the courses are designed to bring together small, diverse groups of students in a highly engaging academic experience. Many are team-taught by two faculty members from different disciplines, and most have an off-campus component.","Denison faculty are also given professional development funds each year that they can use at their discretion - this can and does include conferences and workshops related to sustainability and sustainability course development.

Often faculty receive stipends for workshops sponsored directly by the college.

Faculty who are developing Denison Seminar courses also can apply for funding to develop the courses.",--,Denison maintains an internal password protected website where most of this information resides.  Public access web pages have limited information on this topic.
Dickinson College,2016-03-08,2016-03-08 10:06:55,welkerm@dickinson.edu,2.0,In Progress,--,--,--,--,"The Center for Sustainability Education (CSE) works to connect Dickinson faculty and staff with professional development, curriculum development, and student-faculty research opportunities in sustainability. Providing incentivized workshops, study groups, guest speakers, public lectures, and curriculum consulting for individuals and/or academic departments and offices helps spread our sustainability initiative across the campus and curriculum. "
Drew University,2016-03-25,2016-03-25 16:12:56,swald@drew.edu,2.0,In Progress,--,--,--,--,--
Duke University,2016-02-26,2016-02-26 14:18:19,tavey.mcdaniel@duke.edu,2.0,Pursuing,True,"Duke’s annual faculty development workshop on Leadership for Sustainability Across the Curriculum began in 2010. Over the five workshops, 67 Duke affiliates, including 46 faculty members, have participated in one- or two-day workshops of presentations, exercises, and discussions. At least 16 collegiate and K-12 educators from neighboring institutions have also participated. Participants reflect on new teaching methods, interdisciplinary connections with sustainability, opportunities for students’ civic engagement around sustainability, and their own roles as campus leaders. In the following year, past fellows contribute from their growing expertise.","Faculty participants in Duke’s Sustainability and Curriculum workshop receive a stipend of $500 for attending the workshop, incorporating sustainability into a course, writing a blog post about their experience, and providing the program with a new or revised syllabus indicating the sustainability components. They also become a part of a growing community of diverse faculty interested in incorporating sustainability in course curricula.  ",http://sites.duke.edu/trillium/,--
Earlham College,2016-03-03,2016-03-03 10:50:06,butchli@earlham.edu,2.0,Pursuing,True,"The Sustainability Office SEED Grant program offers funding and professional development for faculty interested in building environmental content and curriculum into their courses or other work at the college. Teaching faculty may apply for funding to develop course content, interdisciplinary collaborations, and experiential education within their existing and/or new courses. Administrative faculty working on sustainability and environmental issues in the co-curriculum are also encouraged to apply and participate. The aim of the program is to ""seed"" engagement with sustainability and environmental issues across the curriculum and co-curriculum.","SEED grant recipients receive funding that can go towards:
1.	Professional Development 
2.	Interdisciplinary Collaboration 
3.	Experiential Education in the Classroom or Co-Curricular 
4.	Student-Faculty Collaborative Research 
5.	Student-Faculty Collaborative Travel
",http://www.earlham.edu/seed-grants/,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:30,stoddardl@easternct.edu,2.0,Not Pursuing,--,--,--,--,--
Elon University,2016-01-14,2016-01-14 09:33:01,edurr@elon.edu,2.0,Pursuing,True,"Faculty may apply to be a part of the Sustainability Faculty Scholars Program.  Faculty members identify a course that he/she would like to modify to include a sustainability component.   Selected faculty members are provided with relevant sustainability resources and pedagogies.  Faculty members modify selected courses accordingly and teach the course the next semester it is offered. The program has included participants from various disciplines including anthropology, art, biology, business administration, business law, chemistry, communications, computing sciences, economics, education, engineering, English, exercise science, geography, health and human performance, history, international business, leisure and sports management, mathematics, physics, sociology and statistics.","Faculty selected for the program receive a $1,000 stipend paid during the summer. Faculty members also receive training resources to help incorporate sustainability topics into the course.",http://www.elon.edu/e-web/academics/teaching/susScholars.xhtml,--
Emory University,2016-02-29,2016-02-29 16:26:46,ciannat.howett@emory.edu,2.0,In Progress,--,--,--,--,--
Endicott College,2016-03-01,2016-03-01 10:10:16,screight@endicott.edu,2.0,Pursuing,True,"Programs include faculty development on sustainability workshops, and faculty discussions after events on campus (ie. Bill McKibben's visit)  and having the option to do professional development in sustainability (attend conferences, etc.).   

In addition there are incentives of reduced teaching load if courses are team taught and opportunities for including sustainability in the Gen Ed courses. ",Seminars have offered food.  If courses are team taught the course counts as a course for each http://www.endicott.edu/Sustainability-at-Endicott/Education-Engagement.aspx member. ,--,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:30,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--
Fort Lewis College,2016-03-27,2016-03-27 16:01:22,kehilimire@fortlewis.edu,2.0,Not Pursuing,--,--,--,--,--
Furman University,2016-02-22,2016-02-22 13:43:15,yancey.fouche@furman.edu,2.0,Pursuing,True,"The Shi Center for Sustainability (an interdisciplinary center housed in Academic Affairs) provides funding, information, and connections for course development. In recent years, this has resulted in the proposal of a new course on the topic of food and farming in the Carolinas; integration of food literacy survey data analysis into a Health Sciences class; a new team-taught freshman seminar on the environment’s portrayal in literature; provision of course and lab lectures and activities on requested topics, most often campus sustainability projects and features; funding for expansion of a teaching garden used primarily for a course on native plants; and a new non-credit summer course on community sustainability for high school students.","Depending on the nature of faculty interest, curricular topic, and scope of the curricular development, faculty may receive advising, guest lectures by Center staff or their contacts, collaborative time with relevant community professionals, and funding to support their associated research endeavors or course development per se.  The interdisciplinary faculty affiliate program is the primary point of entrée into dialogue and action on curricular enhancement around sustainability.  These efforts build on a series of curricular workshops conducted five years ago, and have focused particularly on reaching new faculty who were not at Furman during the workshops, as well as evolving teaching interests of those faculty who did complete the series.",--,--
George Washington University,2016-02-29,2016-02-29 13:04:37,shannonross@gwu.edu,2.0,Pursuing,True,"The GW Sustainability Collaborative offers five to six Curriculum Support Grants each year for developing or revising courses to meet the the GW ""sustainability related"" course designation. These grants are available to fund faculty efforts to revise courses or design new courses.    

During Summer 2014, GW analyzed the degree to which sustainability permeated courses among STARS Gold and Silver schools. GW reached out to colleagues at the top 10 performing schools to gain insights on strategies to further sustainability course adoption. As a result, we have taken on additional efforts to enlarge our course offerings.

The Sustainability Collaborative participated in GW’s annual Teaching Day during the fall semester. Drawing from a variety of resources on sustainability education, we organized informational material for faculty on how sustainability could be integrated into any course:  science, engineering, social science and humanities.  We led a workshop on how to integrate sustainability into the curriculum and how to designate a course.  We also staffed a booth that provided teaching resources on sustainability to the hundreds of GW faculty that attended the event.  

The Sustainability Collaborative offers small awards to faculty who develop new courses including sustainability material. The goal is to identify departments which do not yet offer a sustainability related course and encourage faculty in those departments to include sustainability in course redevelopment. Since 2012, fourteen courses have been awarded sustainability content development awards. ",Individual faculty receive funding and additional funds are available for faculty teams. Funds are available for individual faculty members designing or revising their syllabi; hosting workshops for teams of faculty teaching sections of a course where they can collaborate on assignments and assessment; consulting with experts in the discipline who have designed innovative assignments and assessment techniques for introductory courses; and other activities.  Faculty who attend the new faculty workshop and successfully adopt sustainability learning outcomes have a choice of receiving a small stipend or receiving graduate student assistance with their course development.  ,--,--
Georgia College & State University,2016-03-25,2016-03-25 19:10:21,doug.oetter@gcsu.edu,2.0,Pursuing,True,"There has been considerable interest in creating a core course on Sustainability that would be targeted at students who have declared an interest in environmental responsibility. The main outcome of this course would be to produce students who understand energy and material flows, appreciate biodiversity and carbon footprints, promote conservation and recycling, debate current issues on sustainability, and share their knowledge with other students to create a peer-reinforced culture of sustainability.

Our teaching circle began with several discussions about the concepts of sustainability and the most effective ways to address sustainability within an educational institution.  We updated the excellent work done by the 2009-10 Sustainability Teaching Circle to catalog existing courses on Georgia College campus.  We created an inventory of over 50 professors who teach and research on topics related to sustainability.  Our examination included conversations about engaged learning, including concepts such as the National Wildlife Federation's Student Sustainability Educators program.  To help move our work forward, we produced three posters for display at various campus functions.
",Collaboration and extra funding award.,http://old.gcsu.edu/green/docs/Sustainability_Circle_Report.pdf,--
Gonzaga University,2016-02-29,2016-02-29 13:09:32,simonj@gonzaga.edu,2.0,Pursuing,True,"Each year, starting summer 2013, 2 faculty (preferably from the same department) will attend the “Green Thread” workshop at University of Montana. Through a two-day summer workshop, the initiative seeks to help faculty integrate issues of sustainability into their courses. ",Faculty expenses are paid to attend the workshop and are given a modest stipend for demonstrating the incorporation of sustainability themes into one or more classes. ,http://www.gonzaga.edu/Campus-Resources/sustainability/curriculum/default.asp,--
Green Mountain College,2016-03-21,2016-03-21 15:55:38,ihrker@greenmtn.edu,2.0,Pursuing,True,"GMC pays faculty to create graduate courses in the three sustainability-focused graduate programs. The payment is $3,000 per course. A recent example is development of courses for the Masters in Resilient and Sustainable Communities. Twelve courses are currently being developed for this program, as of 2014. GMC carried out a similar program when creating the general education curriculum, even though this happened before the 3-year window for STARS credit reflected in this report. But, all faculty who currently teach in the Environmental Liberal Arts general education program have to develop and re-develop sustainability courses in order to remain actively engaged in the program. ","Faculty receive a $3,000 payment per course that is developed for the graduate programs focused on sustainability. Additionally, all faculty must develop and re-develop sustainability courses as needed for the various undergraduate sustainability-focused majors they teach and for the environmental liberal arts general education curriculum that all students take.  ",--,--
Guilford College,2016-03-08,2016-03-08 08:08:46,corrybc@guilford.edu,2.0,Not Pursuing,--,--,--,--,--
Hampshire College,2016-03-23,2016-03-23 09:59:39,bhooker@hampshire.edu,2.0,Pursuing,True,"2016: A $200,000 grant from the Roddenberry Foundation will challenge Hampshire faculty and students to find interdisciplinary solutions to climate change, sustainability, and social justice through new courses, project grants, events, and a student Solve-a-Thon contest. Faculty will work across disciplines to develop at least two, year-long new courses designed to prepare students for the real-world challenges associated with trying to solve problems at a global scale. $10K is included for course development funding.  $5,000 per course for two courses (team taught) plus supplies. 

2015: Course funding was awarded to faculty to develop courses centered around the construction of the new R.W. Kern Center, which meets the highest standards of green building through the Living Building Challenge. Several courses were funded including:
-Integrated Sciences: Modeling Systems for a Living Building (Instructor: Sarah Hews)
-Integrated Sciences: Where Does the Water Go? Water, Carbon, and Nutrient Flow in a Living Building (Instructors: Seeta Sistla, Christina Cianfrani)
-Integrated Sciences II: Collaborative Design Projects (Instructor Christina Cianfrani)

A sustainability faculty development fund of $75,000 (from gift from Gary Hirshberg) was allocated for faculty development grants for sustainability. Proposals approved for funding include the following, many of which were highlighted in a November Sustainability Faculty forum for the Board of Trustees: 
-  Course: Innovations for Change: a cross-school (5 faculty, one from each of the five-colleges) team-taught course to be developed over the spring of 2013 and taught in fall of 2013. Aimed at incoming and division I students. Organized by Steve Roof, Helen Scharber, and Sara Partan. 
- Course: The Future of Food: a co-taught course with Mark Feinstein & Larry Winship (perhaps others as well) to be developed over the spring of 2013 and aimed to be taught in spring of 2014.
-  Course: Buddhist economics: co-taught by Helen Scharber & Sue Darlington, to be taught in Spring 2013
-  Faculty roundtable on sustainability organized by Naomi Darling & Gabriel Arboleda in school of Humanities, Arts and Cultural Studies. Featuring faculty from Hampshire College and the five colleges, to be held in spring of 2013; for wider faculty community.
- Lecture & workshop: a lecture series focused on sustainability and its critiques, organized by faculty in school of Critical Social Inquiry, to be held fall of 2013.
- Alumnus Teaching associate for the course ""Following the Food"" being taught by Kim Chang, school of Critical Social Inquiry in Spring 2013
- Summer or January term (winter break) workshop for faculty on ""sustainable community"", organized by faculty in school of Critical Social Inquiry
School for Interdisciplinary Arts
•	Natalie Sowell, “Take the Show on the Road” – production based course.  Spring 2014
•	Natalie notes: “(this show) teaches young people about life cycles, ecosystems, physical and metaphorical reaping and sowing, and suggests that it is everyone’s responsibility to care for the earth and one another in order to thrive.”

","Financial support: stipends to support time spent developing sustainability courses and faculty workshops and funds to support resulting projects.  Funding sources from Hirshberg grant, Luce Foundation grant, Lydia B. Stokes grant and Dean of Faculty office funding",http://www.hampshire.edu/academics/index_dof.htm,--
Harvard University,2016-02-29,2016-02-29 16:59:12,colin_durrant@harvard.edu,2.0,Not Pursuing,--,--,--,--,--
Haverford College,2016-03-02,2016-03-02 12:02:18,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:56,sustainability@hws.edu,2.0,In Progress,--,--,--,--,--
Indiana State University,2016-03-29,2016-03-29 10:18:57,caroline.savage@indstate.edu,2.0,Pursuing,True,We have the NSF funded Science Education for New Civic Engagements and Responsibilities (SENCER) program at ISU. The focus of our SENCER program is on sustainability.  This is a hands-on educational approach that works on large complex civic issues as the main teaching venue for STEM courses. The students take on community issues and work through original research to work towards solutions for these important civic issues.,"Faculty from across the entire campus are encouraged to SENCERize their courses and can receive a $3,000 stipend to convert their courses to be experiential learning and community engagement.",http://www.indstate.edu/sencer/,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:44:14,brownwm@indiana.edu,2.0,Pursuing,True,"The Sustainability Course Development Fellowship, sponsored by the Office of the Vice Provost for Faculty & Academic Affairs, in collaboration with the IU Office of Sustainability, supports faculty members’ efforts to enhance teaching of topics related to sustainability and environmental literacy at the IU Bloomington campus. It supports innovative approaches to the instruction of complex, interdisciplinary topics at both undergraduate and graduate levels. Service-learning courses and those that involve the application of principles of sustainability to the IU Bloomington campus are of particular interest.","The award for a Sustainability Course Development Fellowship is up to $8,000. If joint awards are made, recipients share the award. Recipients are expected to devote the equivalent of eight weeks full-time to their project during the summer immediately following the award. It is expected that they will not engage in teaching or administrative activities during that period. Recipients are also expected to engage with other fellows and members of the IUB sustainability community, to submit a summary report to the Office of Sustainability at the end of the fall semester following the award, and to formally disseminate the results of their instructional development project to other IU faculty. ",http://sustain.indiana.edu/programs/sustainability-course-development-fellowship/index.php,"IU also has a Sustainability Community of Practice, which provides support and a community for course development, collaboration, and the sharing of strategies for incorporating sustainability into courses.  

http://sustain.indiana.edu/education-research/teaching-and-learning/community-of-practice.php"
Juniata College,2016-03-23,2016-03-23 08:10:09,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:17:50,mknowle1@kent.edu,2.0,Pursuing,True,"In summer 2013, the Provost's office began offering a stipend to faculty to incorporate sustainability into their courses.  Faculty had to submit proposals for consideration before being selected.  Selected faculty participated in a workshop on incorporating sustainability into their courses.  Stipends were received after faculty submitted new course data sheets that included sustainability learning outcomes.  The program is planned to continue for two more years.",Participating faculty members receive stipends.,http://www.kent.edu/fpdc/fpdc_initiatives/index.cfm,--
Knox College,2016-03-23,2016-03-23 08:31:35,sustainability@knox.edu,2.0,Pursuing,--,,,--,--
Lehigh University,2016-02-29,2016-02-29 00:26:29,sustainability@lehigh.edu,2.0,Not Pursuing,--,--,--,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:18,advorak@lclark.edu,2.0,Pursuing,True,The institutional sustainability council has received financial incentives to assist in and develop cross-collaborative work associated with the broad spectrum of sustainability in the curriculum. Financial incentives are offered this year for a field-based summer course.,Financial ,--,--
Loyola Marymount University,2016-03-23,2016-03-23 14:03:38,ian.mckeown@lmu.edu,2.0,Pursuing,True,"CURes serves LMU faculty, staff and students by developing undergraduate and graduate courses related to urban ecology, resilience, and sustainability and supporting faculty research with an emphasis on student involvement. The internship program run by CURes creates an opportunity for students to be introduced to the research, and education work CURes does.CURes works with faculty, staff, students and community members to develop research and other interventions that lead to more resilient and just communities. CURes collaborates with faculty through fellowships, joint grant making and hosting and supporting university outreach programming.

CURes supports a variety of educational programs that benefit the students and faculty of LMU.  We focus on interdisciplinary scholarship that engages the stakeholder in relevant and local challenges through the development of courses, faculty support and by providing expertise and resources to campus environmental undergraduate and graduate degree programs. This facilitates a leadership role for LMU in urban ecology and ecological resilience.","CURes works with faculty, staff, students and community members to develop research and other interventions that lead to more resilient and just communities. CURes collaborates with faculty through fellowships, joint grant making and hosting and supporting university outreach programming. Additionally, CURes offered $2500 dollar stipends to faculty willing to develop and implement courses dealing with Sustainability and Urban Resilience for the Urban Ecology graduate program.",http://cures.lmu.edu/our-programs/education/graduate-program/,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:43,adurnbaugh@luc.edu,2.0,Not Pursuing,--,--,--,--,--
Macalester College,2016-01-06,2016-01-06 13:03:06,shansen2@macalester.edu,2.0,Pursuing,True,"In February 2014, Macalester College received a $650,000 grant from the Margaret A. Cargill Foundation to promote academic sustainability initiatives involving faculty, staff, and students. From 2014-2017, along with additional funds from the College, the grant will support: (1) a student sustainability fellows program in which students will engage in classroom work and community-based activities; (2) student-faculty research collaborations advancing sustainability scholarship; (3) student entrepreneurial projects focused on sustainability; (4) an annual summer workshop to help faculty develop connections between sustainability, shared value, and Macalester's curriculum; (5) faculty course development grants to incorporate sustainability into existing courses or propose new courses on sustainability; (6) faculty participation in sustainability dialogues to promote incorporation of sustainability into courses; and (7) a shared value practicum designed to bring together faculty, staff, and students with community participants to explore how sustainability issues affect both Macalester and the larger community.","Faculty participating in the Cargill grant activities will have the opportunity to interact with consultants who can help them develop sustainability-related perspectives in their courses. As well, many of the grant activities promote collegiality both on campus and in the larger community with faculty, staff, students, and local/international experts. Beyond those professionally fulfilling incentives, faculty can obtain funds to develop courses, engage in collaborative research with students, and to participant in various grant activities. Thus, the incentives represent both financial and professional motivators.",--,--
Maryville College,2016-02-11,2016-02-11 15:37:50,adrienne.schwarte@maryvillecollege.edu,2.0,Pursuing,True,"Two programs are currently in place to allow for incentives for faculty to integrate sustainability into their current courses, and/or potentially have them considered for inclusion in the sustainability studies minor elective segment.  

One program is a faculty workshop on sustainability that has been offered to faculty every year since 2011.  This program, taught by sustainability faculty and sustainability professionals provides faculty the opportunity to learn about sustainability and resilience and see examples of it in different disciplines and courses.  It is open to all faculty, and the faculty are provided a stipend for participating in the entire workshop.  They are also asked to edit a current syllabus they will be teaching for the next year and integrate sustainability projects, principles, etc into the course.  One of the positive outcomes is that faculty who have participated in the previous year and integrated sustainability into their course are invited back to present to the new faculty about their experiences, results and outcomes from the process.  Many faculty have quantitative and qualitative data they are able to share about their integration.  

The second program is an environmental mini-grant program that all faculty have been allowed to apply for to receive funding to integrate a sustainability-related project or activity to their existing disciplinary courses or programs.  For example, a faculty member could apply for funding to receive software for a statistics course that would track energy usage for a particular building so the students would be able to analyze the data as a class project.  The funding amounts vary per application, but the written application is reviewed by a faculty grant administrator and, if approved, the faculty member completes the projects and provides a report back to the grant administrator expounding upon how sustainability has been integrated into the course/program they were working on.   ","In the faculty workshop model, faculty have received stipends for their participation in the program.  In the environmental mini-grant model, faculty have received funding for their project/program and that funding amount varied based on the quality of the application and how it meets the requirements of the grant. ",--,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:19,slanou@mit.edu,2.0,Pursuing,True,"The Energy Education Task Force (EETF) offers incentives for faculty to develop new or substantially revised energy-focused subjects. The task force is part of the MIT Energy Initiative (MITEI), a platform for energy-related activity at MIT, including research, education, campus energy management, and outreach programs that cover all areas of energy supply and demand, security, and environmental impact.

Proposed energy-focused subjects must be intended as permanent additions to the MIT undergraduate curriculum. In addition, they are subject to the review, approval, and budgeting cycles of all relevant Institute committees. Proposals are reviewed monthly by the Energy Education Task Force (EETF) and Energy Minor Oversight Committee (EMOC) on a rolling basis.

There are currently 73 energy-focused classes taught at MIT, which are cataloged on the MITEI website (http://mitei.mit.edu/education/energy-classes). In addition, MITEI sponsors an Energy Studies Minor. This minor produces multi-dimensional graduates who possess both subject-specific knowledge and integrative understanding across a range of energy issues. In addition, the minor integrates undergraduate energy education across all schools, departments, and programs at MIT. The minor consists of core subjects in energy science, technology, and social science, as well as a variety of electives and a capstone experience (http://mitei.mit.edu/education/energy-minor).","MITEI's Energy Education Task Force (EETF) provides faculty with funding to develop new or substantially revised energy-focused subjects. Funding levels range from less than $10,000 to more than $100,000, depending on the extent of development required. Proposals may include costs for development and first year delivery, as well as modest support for delivery in the second and third years (http://mitei.mit.edu/education/curriculum-funding).",http://mitei.mit.edu/education/curriculum-funding,--
McMaster University,2016-02-19,2016-02-19 09:37:41,naeemsh@mcmaster.ca,2.0,Pursuing,True,In the past three years the minor in sustainability was developed. Faculties can get recognition for having sustainability courses for students. Potential 200 students would be graduating with a minor in sustainability by 2016/17. ,"There is a financial incentive for the faculties to have sustainability courses. Every additional student in the course adds to the faculty budget. Additionally sustainability courses could help get faculty recognition or help pull in students from different programs.  
",http://www.mcmaster.ca/vpacademic/documents/budget_info.pdf,--
Miami University,2016-03-02,2016-03-02 14:18:04,kliney@miamioh.edu,2.0,Pursuing,True,"Miami's Humanities Center's Altman Fellows program selects a team of two Altman Fellows to cultivate interdisciplinary inquiry into a topic of their own design. Altman Fellows work with six or more Altman Faculty Scholars, distinguished visiting scholars, and select graduate and undergraduate students in a year-long interdisciplinary exploration of key issues in the humanities. The program includes a faculty seminar, which meets roughly five times per semester; a new upper-division course on the annual theme, team-taught by faculty fellows; an undergraduate fellows initiative, designed to promote excellence in undergraduate research; and a substantial program of public events.  

Most years the annual theme has been sustainability-related: ""The Anthropocene"" (2014-15); Globalization and Belonging (2013-2014), The Human and Nonhuman are a few. 
 An example from a recent Fellow was the development of a summer workshop program called Transforming Nature to communicate science in new ways. Students were writing poems about pesticides, creating art about crop diversity, and developing a video about the local watershed.

Also - Miami's Center for Teaching Excellence supports Faculty Learning Communities (FLCs) for faculty who propose a professional development or course development FLC. Grant-receiving FLCs cover a wide variety of topics of interest to the faculty and Miami. A current (2015-16) FLC focuses on Diversity and Inclusion: its goal is to support an interdisciplinary group of participants in (a) their process and passions of equity work, by providing a community where participants engage with like-minded others from a variety of campus settings and (b) their development and implementation of specific, innovative and creative programs or products that have deep, positive impact on the educational experience of nondominant groups, and address one or more of the four identified core areas in Miami’s institutional diversity and inclusion goals: recruitment, retention, curriculum and culture

","Altman Fellows receive a half-time teaching load during the program year and devote the rest of their time to event planning, Humanities Center outreach activities, and independent research.  The Humanities Center supports this teaching release by providing replacement salary (plus benefits) to the Fellow’s home department or program.  Each Altman Fellow also receives a professional expenses fund of $2,500. 

And -
Center for Teaching Excellence FLC members each receive $500 in professional development funds.

",http://www.units.miamioh.edu/humanitiescenter/node/84,--
Michigan State University,2016-02-16,2016-02-16 09:19:32,erhardt7@msu.edu,2.0,Not Pursuing,--,--,--,--,--
Middlebury College,2016-03-25,2016-03-25 14:03:56,jmbyrne@middlebury.edu,2.0,Pursuing,True,"Annual professional development workshops with stipends are available to all faculty, particularly non-Environmental Studies faculty, to develop and teach a new or revised course that incorporates sustainability concepts, principles, and issues. ",Participants receive a stipend and the opportunity to engage with colleagues across disciplines for an extended period of time.,--,--
Mills College,2016-02-29,2016-02-29 23:54:00,ngaetjens@mills.edu,2.0,Not Pursuing,--,--,--,--,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:19,neapple@mtholyoke.edu,2.0,In Progress,--,--,--,--,--
Muhlenberg College,2016-03-23,2016-03-23 10:28:20,kprocyk@muhlenberg.edu,2.0,Pursuing,--,,,--,"We have course development grants available for faculty, but this grant is not specific towards the development of sustainability courses or integration of sustainability into existing courses. "
Naropa University,2016-02-29,2016-02-29 17:16:57,acook@naropa.edu,2.0,Pursuing,True,"Rover professors project
",ipad and stipend,--,--
