Institution,Date Submitted,Last Updated,Liason Email,Version,Status,The percentage of entering students that are provided an opportunity to participate in orientation ...,A brief description of how sustainability is included prominently in new student orientation,The website URL where information about sustainability in student orientation is available,Public Notes
Connecticut College,2016-02-28,2016-02-28 16:33:06,jstoffel@conncoll.edu,2.0,Pursuing,100.0,The Office of Sustainability give a presentation about the College's sustainability efforts and how students can get involved to the entire incoming freshmen class. This presentation is the first interaction that students have with sustainability on campus and is often the thing that gets them involved with sustainability their freshman year.,--,--
Cornell University,2016-03-18,2016-03-18 08:39:40,cma18@cornell.edu,2.0,Pursuing,65.0,"New student orientation at Cornell features a few sustainability events including presentations, workshops, green vendor fairs, and sustainability information booths at most major events. Sustainability tips are also featured in the New Student Handbook. Composting and recycling education stations with student educators were prominently located at every major event that served food throughout orientation week.

A sample of the 2014 sustainability orientation events include:
(1) Digging Deep into the Past to Consider Solutions for a Sustainable Future -- Explore the links between sustainability, the environmental movement, gender equity and indigenous cultures through specific “ingenuities” developed in connection with this land. From ancient beginnings, trace the interconnectedness of “all living things,” while learning to experience the earth as an integral part of your being, body, and future from an indigenous, Haudenosaunee perspective.

(2) Dump & Run Sale -- This annual sale is a green way to stock up on items for your new room. Reuse to reduce harm to the environment. All proceeds go to charity.

(3) North Campus Block Party -- This annual BBQ featured booths staffed by the Campus Sustainability Office and the Department of Energy Management to educate students about various sustainable living practices.",http://www.sustainablecampus.cornell.edu/initiatives/freshman-orientation,--
Creighton University,2016-02-24,2016-02-24 14:08:46,mjduda@creighton.edu,2.0,Pursuing,100.0,"An afternoon event, ""Creighton For & With Others"", focuses on partnering new students with the Omaha community. Community partners include City Sprouts, Habitat for Humanity, Omaha Food Bank and two local homeless shelters, Siena Francis House and the Stephen Center. A follow-up event takes students into the community to meet with the partners.
There are several diversity-themed events during welcome week, including a Multicultural Enrichment Institute and an open house at the Lieben Center for Women, among others.

All students are invited to a Volunteer Fair, in which students can talk to local organizations that need volunteers.
A ""Think Fair Trade"" event offers fair trade items for students.",https://www.creighton.edu/fileadmin/user/students/docs/Welcome_Week_Calendar_2015.pdf,--
Denison University,2016-02-15,2016-02-15 15:55:36,kingje@denison.edu,2.0,Pursuing,100.0,"The college sends out a resource book for all incoming students.  This book now includes a section on campus sustainability.  June Orientation and Residential Life Staff receive training on campus sustainability as well to help educate and inform all new students on campus initiatives and procedures regarding sustainable practices. 

In addition, Denison offers a number of Pre-Orientation trips in August for new students.  Three of them have a direct sustainability component: Denison Sustainable Farm Orientation, Denison Outdoor Orientation, and Denison Service Learning Orientation.

Through our Sustainability Fellows program, First-Year students are exposed to sustainability from the first day of move-in.  The Fellows present in the first residence hall meetings.",--,--
Dickinson College,2016-03-08,2016-03-08 10:06:44,welkerm@dickinson.edu,2.0,Pursuing,100.0,"Sustainability has been a distinctive part of new student orientation every Fall since 2011. In 2012-15, the Center for Sustainability Education and Eco-Reps hosted an information table about sustainability at Dickinson, offered rebuilt green bikes for students to check out for the semester, organized a sustainability scavenger hunt, and staffed all-day stations to assist students with separating waste and recyclables for Green move-in. Our Green Devil sustainability mascot was also present throughout orientation. The sustainability scavenger hunt is a distinct offering open to all new students and typically draws a large percentage of first-year students as it offers competition between first year orientation groups.

In 2014 and 2015, Dickinson introduced new pre-orientation programs, optional 2-1/2 day intensive programs of experiential education, team building, early involvement, and leadership adventures that introduce new students to Dickinson through interaction with new and current students, faculty, and staff. 12 pre-orientation programs were offered, seven of which connect with sustainability themes: 
•	Change the World through Service!
•	Food for Thought with the Dickinson College Farm
•	Kick Start Dickinson (Sustainability Innovation)
•	Outdoor Orientation I: Bouldering and Caving in West Virginia
•	Outdoor Orientation II: Whitewater Rafting and Hiking
•	Outdoor Orientation III: Biking and Rafting the Middle Yough
•	Why Place Matters: A Sustainable Local Adventure

Prior to 2014, orientation included Discover Dickinson programs that engaged groups of 10 to 15 new students in a half-day of service and learning activities that are led by faculty, staff, and students. Six of the 2013 Discover Dickinson programs were sustainability themed and were organized and led by student interns of the Center for Sustainability Education:
•      A Sustainability Bike Tour: Local resources of the Carlisle community coupled with bike safety education
•      Take Aim at Climate Change: A behind the scenes tour to learn what Dickinson is doing to combat climate change, coupled with conversation about actions students can take
•      The Handlebar Bicycle Maintenance Workshop: Students used The Handlebar bicycle coop's resources to tune up their bikes, learn about biking resources in the community, and talk about alternative transportation modes
•       Grease & Soap, Dickinson's Biodiesel Shop: Students helped make biodiesel from waste vegetable oil for use in Dickinson's farm tractors and vehicles, made soap, and talked about renewable energy
•       Sustainable Living at Dickinson: Cooking with Local Foods. New students cooked a meal together at the Center for Sustainable Living (aka Treehouse) using ingredients from the Dickinson Farm and other local farms while discussing local food and sustainable food systems
•      Hiking the South Mountain: the Outing Club introduced a group of new students to South Mountain, leading them for a hike in Michaux State Forest and teaching camping skills",http://www.dickinson.edu/homepage/202/orientation,"Dickinson's Orientation program for new students is designed to facilitate your integration into the unfamiliar academic and residential setting that is college life. Through Orientation students learn about the institutional values of Dickinson. Of which, sustainability is a major component. Information tables, green move-in programs, a first year class-wide sustainability scavenger hunt and sustainability-focused pre-orientation programs introduce a large percentage of Dickinson students to this from day one."
Drew University,2016-03-25,2016-03-25 16:11:57,swald@drew.edu,2.0,Pursuing,100.0,"For the past three years, the new student orientation has included Sustainability.  For the past two years Drew's Sustainability Coordinator has spoken to new students about sustainable campus initiatives and ways in which students can become involved.  This past fall, sustainability brochures were given to all new students.  These brochures listed changes and practices students could implement in their daily lives.  All new undergraduate students  are given reusable mugs as a start to changing their practices to promote sustainability.  Additionally, at the orientation trivia night for new students several questions emphasize sustainability on Drew’s campus.",--,--
Duke University,2016-02-26,2016-02-26 14:18:02,tavey.mcdaniel@duke.edu,2.0,Pursuing,100.0,"Duke’s Office of Sustainability incorporates information on how to move in and furnish your dorm room sustainably in orientation materials distributed to incoming freshmen.  A Green Dorm Room is also displayed each summer for all campus tours of prospective students.  Programs including Sustainable Duke, Dorm Eco-Reps, Duke Campus Farm, and the Nicholas School of the Environment engage new students at resource fairs during orientation. Reusable water bottles are distributed to all incoming first year students and students are encouraged to fill their bottles at water bottle filling stations around campus.  Duke's office of sustainability and Duke Sanitation and Recycling Services collaborate to throw a zero-waste welcome picnic, in which all materials distributed are either recyclable or compostable.  At the picnic, volunteers educate students about the importance of waste reduction and Duke’s efforts to compost dining waste on campus.",http://sustainability.duke.edu/news_events/items/2014/2014_06_04shortList.html,--
Earlham College,2016-03-03,2016-03-03 10:49:55,butchli@earlham.edu,2.0,Pursuing,100.0,"During the Earlham College New Student Orientation (NSO), an official sustainability committee strives to integrate sustainability into incoming students' experience. Past projects have included partnering with local energy provider Richmond Power & Light to give away CFLs, power strips and Kill-a-watts (energy consumption meter) to students, fun and educational activities involving discerning recyclable materials from non-recyclable, a sustainability trivia event, as well as a local bike ride around Richmond pointing out significant sustainability-related locations such as the local Farmers Market. Students in the dining hall help direct new students on how composting works",--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:19,stoddardl@easternct.edu,2.0,Pursuing,100.0,"Sustainability is included and implemented in multiple ways during new student orientation. Student Orientation Counselors (SOC) introduce new students to many aspects of campus sustainability during their summer session visit. Students take tours of the campus with SOC's including sustainability features as part of their visit. This year (2015) SOC's  introduced tray-less dining at Eastern’s dining hall. 

The orientation program uses online materials for all new students helping students to understand the importance of reducing waste of materials. The orientation program also distributes an Orientation Guide for new students and parents electronically. The Student Orientation, Advising, and Registration (SOAR) orientation program at Eastern has implemented an online reservations system with electronic ticketing and a check-in process that minimize the need to print and mail reminder postcards or tickets for distribution. All students are also encouraged to bring their SOAR ticket on a mobile device for scanning at check-in. 

Students who participate in  SOAR are encouraged to recycle and are educated on how to recycle both in residence halls and other campus buildings. During SOAR, the Advising and Registration department give all new students water bottles to discourage the use of disposable water bottles in order to reduce waste production. When SOAR materials are printed, no dates are printed on any of the materials so that the materials can be reused for the next year. Lastly, items that are left behind by students and are not claimed are donated to the local community organizations such as the Willimantic Access Agency, as part of Eastern's growing move out waste efforts.
",http://www1.easternct.edu/orientation/first-year-student-orientation/,This information was input using information gathered from meeting with Chris Dorsey Director of Admissions. 
Elon University,2016-01-14,2016-01-14 09:32:50,edurr@elon.edu,2.0,Pursuing,81.0,"Undergraduate Students:
Before arriving on campus, new students receive information about Elon's car share program and sustainable packing tips. The Office of Sustainability provides a session on sustainability to all Orientation Leaders (OLs). The OLs then share this information with new students in their small group sessions with them during Orientation weekend. The two picnics held during Orientation weekend are no-landfill events with compostable or recyclable products provided. Students and families are responsible for appropriately sorting their items into the provided bins, which are monitored by student volunteers. Inclusivity is a broad theme during Orientation, and new students participate in a session called Living the Maroon Life on identity, diversity and social responsibility. In fall 2014 and 2015, new students were invited to participate in Stop Hunger Now, a service project addressing hunger. 
Sustainability is not prominent in graduate student orientation.",--,--
Emory University,2016-02-29,2016-02-29 16:26:35,ciannat.howett@emory.edu,2.0,Pursuing,100.0,"Since 2007, the Office of Sustainability Initiatives (OSI) has partnered with schools throughout Emory in varying capacities to incorporate sustainability into new student orientation. Listed below are Emory’s current efforts to integrate sustainability in orientation. 
• All incoming students (undergraduate, transfers, and graduate) receive either reusable water bottles, reusable bamboo utensil sets, or farmers market tote bags that include Emory's sustainability goals to encourage sustainable behaviors from the beginning of their time at Emory.   
• The Office of Sustainability has a booth at orientation fairs/expos with Emory College, Rollins School of Public Health, School of Nursing, School of Medicine, School of Law, and Laney Graduate School. The Office of Sustainability participates in a post-orientation student engagement expo hosted by the School of Theology.
• The Office of Sustainability leads a campus sustainability tour during Orientation which is open to all incoming students and their parents. 
•	In 2009, Emory held its first ""Zero-Waste"" Orientation and participation and numbers increase each year.  Composting and recycling bins are provided for major events such as the Orientation Fair, Parent’s Breakfast, and in some years, the Coke Toast, so that all materials from these events are diverted from the landfill.  Student volunteers are stationed by waste receptacles to educate students and their parents about how to properly recycle or compost waste. Orientation planners are presented to by the Office of Sustainability Initiatives and are contacted for reminders to plan their Orientation events as Zero Waste events.
•	For several years, new Emory undergraduate students have received sustainability tips and a general introduction to sustainability at Emory in a flyer and/or via the Orientation Blackboard website. Information on alternative transportation options and “back to school” shopping tips are sent to all incoming students and parents prior to arriving on campus.
•	In 2013, Orientation Leaders distributed water bottles from OSI to all incoming undergraduates during a required meal during Orientation week.  All freshmen also received a cinch bag with a link to the sustainability pledge (www.sustainability.emory.edu/pledge) in their residence hall and all graduate schools received water bottles, tote bags, or reusable bamboo utensils set to provide to their incoming students.  
•	OSI and the Educational Garden Project have tables to provide information to incoming students at the Orientation Fair.  Zip Car and Bike Emory are also present at the fair, offering bike safety tips, bike check-out program, and alternative transportation information.  
•	The Sustainability Showcase (formerly known as the Green Activities Fair) has been held for the past six years in collaboration with Few and Evans Halls during Orientation Week.  Representatives from sustainability-related student organizations and Emory departments provide information on how students can get involved on campus.
•	All Resident Advisors (RA), Sophomore Advisors (SA), and Orientation Leaders (OLs) receive sustainability training by Office of Sustainability staff.
•	Laney Graduate School and School of Nursing students watch the 30-minute “Emory as Place” video during orientation. This film highlights Emory and Atlanta’s history, civil rights struggles, environmental challenges, and opportunities for students to contribute.  There is a table at the Graduate School Orientation with information about sustainability, alternative transportation and Bike Emory, and the School of Nursing takes students on a woods walk during orientation.  
•	At the Goizueta Business School, the BBA Program Orientation has moved in recent years to reduce the amount of paper distributed to students and instead direct them to a list of helpful websites.  
•	In Candler School of Theology's Orientation, Emory's Director of Sustainability Initiatives, Ciannat Howett, has presented at a sustainability panel in past years.

",http://sustainability.emory.edu/page/1062/Welcome-to-Emory,Data reported for 2013-2014 academic year. 
Endicott College,2016-03-01,2016-03-01 10:10:05,screight@endicott.edu,2.0,Pursuing,100.0,"written material: Brochures on recycling, etc.
Presentation at orientation 
RA training, RAs train students
additional signs
additional recycling pickups",--,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:20,kleone@fgcu.edu,2.0,In Progress,--,--,--,--
Fort Lewis College,2016-03-27,2016-03-27 16:00:28,kehilimire@fortlewis.edu,2.0,Pursuing,60.0,"The Environmental Center embeds information about various Environmental Center-led sustainability initiatives on campus throughout Freshman Orientation. This includes content within all pre- and orientation-materials, content in Peer Theatre, tabling at all Orientation events, orientation-leader training, and RA training. Areas we focus on include our Local Food Security Initiative, Zero Waste Initiative, the Real Food Challenge, and student engagement. Additionally, the Environmental Center sponsors a campus garden workday as part of Orientation programming. This activity directly engaged 40 students each Orientation in efforts to harvest greens from our on-campus garden and source them to our dining hall. ",https://www.fortlewis.edu/orientation/,--
Furman University,2016-02-22,2016-02-22 13:43:05,yancey.fouche@furman.edu,2.0,Pursuing,100.0,"Sustainability was one of three elective sessions students could choose to learn more about a specific area of university life.  The session was approximately one hour in length, with students walking across campus while staff pointed out key features of sustainability-related landscaping, facilities, and programming.  Staff also covered the history of sustainability commitments and reporting at Furman and the holistic, interdisciplinary nature of the topic.  Students toured the university farm and LEED-certified cottage housing the Shi Center for Sustainability.  There Shi Center fellows shared poster presentations on wide-ranging aspects related to their own research, ranging from local bike and hiking trails to green dorm cleaning products to campus groups and study abroad programs focusing on global social justice, to local environmental policy issues. ",--,--
George Washington University,2016-02-29,2016-02-29 13:04:20,shannonross@gwu.edu,2.0,Pursuing,100.0,"GW's orientation program, Colonial Inauguration (CI), takes place in June. Incoming Freshman register to attend one of four two-and-a-half day sessions on campus. They then return to campus in the fall for the start of school. 

Sustainability is featured at CI in several ways. During the opening videos shown to all students, a welcome from the Office of Sustainability showcases how students can get involved once they arrive on campus. This video message highlights GW's commitment to sustainability and makes a direct appeal to students to get involved. The Office of Sustainability also partners with orientation organizers to ensure that meals and activities are conducted with sustainability in mind. The Office also provides information to each student in their residence hall room about recycling, water and electricity while they are on campus. 

At the CI Activities Fair, student engagement interns from the Office of Sustainability provide information about programs available to incoming freshmen. There are also tours of campus that highlight many of the campus' green features. The pan-university, interdisciplinary, sustainability minor for undergraduates is also previewed during the majors fair that all students attend.

During Welcome Week (the week prior to the start of classes) similar engagement activities are conducted. During Welcome Week students are encouraged to sign-up to serve as Eco-Reps and learn about the fall Eco-Challenge competition. There are also opportunities to register for green-themed student groups, volunteer in the garden and take green campus tours. Everyone is given a water bottle, to promote the use of reusable water bottles on campus.

Early in the fall term- usually the first week -- a sustainability open house is held at the student center to provide students the opportunity to learn more about sustainability activities on campus. Representatives of organizations related to sustainability (e.g., Green GW) have tables and share their organization's work. Faculty and staff engaged in sustainability also attend to meet students and answer their questions.   ",http://ci.gwu.edu/sustainability,--
Georgia College & State University,2016-03-25,2016-03-25 19:08:43,doug.oetter@gcsu.edu,2.0,Pursuing,100.0,"We have a 5-10 minute overview of sustainability activities at the new student orientation.  It mainly deals with ways & reasons to recycle, conserve water use, and reduce energy demand.",http://old.gcsu.edu/green/docs/GC_sustainability_student_tips.pptx,--
Gonzaga University,2016-02-29,2016-02-29 13:09:15,simonj@gonzaga.edu,2.0,Pursuing,100.0,"A three-pronged approach that mirrored the three main goals of the CAP was used:  sustainability across the curriculum, in co-curricular activities, and in operational practices. Our goal: convey to new students that sustainability is a University priority and commitment to reducing our collective environmental impact requires the participation of the whole campus community. 
",http://blogs.gonzaga.edu/orientation/2013/08/summer-read-8-discover-your-community-service/,From Danielle Moorhouse
Green Mountain College,2016-03-21,2016-03-21 15:55:21,ihrker@greenmtn.edu,2.0,Pursuing,100.0,"All undergraduate, graduate and transfer students are offered sustainability orientation as an integrated part of their normal orientation program. 

For the graduate students it includes a discussion of the Sustainability 2020 strategic plan and a sustainability tour of campus with explanations of heating sources, recycling systems, sustainable transportation options, the campus farm and other areas.

For the undergraduate orientation, the offering is more robust and is described below:
Most of GMC’s “green” orientation activities originated as a student project in 2008 and have since been built on by staff and student workers in the Sustainability Office and Student Involvement office. The current orientation incorporates practices and activities that instill the message of sustainability in new students and introduces them to the values and mission of the College.

Wilderness Adventure Experience--
Before students arrive on campus for the traditional orientation, they are given the opportunity to participate in a group-bonding trip. These  trips take place in the back-country, where LNT (Leave-no-trace) principles are taught and the students engage in community service opportunities. Other trips take place within the surrounding towns as students build relationships with community groups and local businesses. For all of these experiences, community service work plays a central role as a way to emphasize social sustainability.

After students arrive on campus for the start of the fall semester, they engage in a more traditional orientation that includes a number of prominent sustainability components outlined here:

Green Guide--
A Green guide on living sustainability at Green Mountain College (written by a current student) is handed out at many of the following events, and to minimize printing, the guide is also offered online as a flipbook (http://greenmtn.edu/flipbooks/green_guide/index.html). Staff hand out small strips of paper with the url to the guide on them, and show hard copies only as examples.

Compost & Recycling Available at All Events & Meals--
All events during orientation offer composting and recycling receptacles with examples of items taped to the side of the bins in order to teach students what goes into each bin.

Free Sale--
In an effort to teach new students the value of reusing items rather than buying new items, a free sale is held. High-value items from the Free Store and Freepo (our two reuse stores) are highlighted in a higher traffic area so that new students are tempted to check out the reuse stores. Sustainability helpers lead these students to the stores to pick out what they need for their residence halls.

Sustainability Table during Check-In--
The Sustainability Office (including the director of sustainability and Green Job Corps workers) sits at a table exclusively dedicated to sustainability. They give out flyers on various sustainability practices on campus as well as the url to the Green Guide (to minimize paper use). Additionally, high-value
items from the Freestore and Freepo are featured at the table to pique student interest in visiting these reuse stores. Information on sustainable transportation options on campus are also handed out, including Go Vermont, Zipcar, and the Green Bikes program. Other sustainability related presentations include representation from our local bus system and the audubon society. 

Family and Friends Session--
The director of sustainability attends the family and friends session and speaks to parents about how their students can take advantage of the sustainable transportation options on campus. He passes out copies of the bus schedule (which students can ride for free), gives out discount codes for use of Zipcar (the car sharing program), explains how students can register for the free online carpooling tool Go
Vermont, and answers any questions or concerns parents have about alternative modes.

Commuter Meeting GMC Coffee House--
The director of sustainability attends the commuter meeting to discuss sustainability systems on campus. He also hands out a pamphlet on how to green your commute, whether commuters are driving their cars, thinking of taking the bus, or looking to carpool.

Images Dinner—
First-year students are enrolled in the Images of Nature class, the first core course in the Environmental Liberal Arts curriculum. As their introduction to their new teachers and fellow classmates, the students take dinner-to-go to faculty residences. To minimize waste during this event, water jugs are filled with water to avoid the use of plastic bottles or disposable cups. Students are asked to bring their own
reusable bottle and each are given a reusable to-go container that they can use for future to-go meals taken from the dining hall.  In addition, every undergraduate teaching assistant assigned to each class is given a composting bin and recycling bag to bring to dinner in order to divert waste at the various locations. The director of sustainability eats dinner with the transfer student group so that he can answer questions about waste diversion and anything sustainability-related. 

Orientation Play--
The student play highlights the sustainability culture of Green Mountain College. Topics covered include how composting works on campus and the focus of our Environmental Liberal Arts Curriculum.

Waste Diversion Basketball Tournament
A 3-bin waste station is set up in a high traffic area and new students are invited to participate in a “3-Bin Basketball Tournament”.  Students test their aim and waste-diversion know-how. Individuals pick out which ‘waste’ item goes into which bin and shoot it into the bin for a chance to win prizes. 

Natural Areas & Invasive Species Orientation--
Students are given a tour of the natural areas on campus with lessons on practicing leave-no trace principles so that natural capital can be protected. They are also told about opportunities to help remove invasive species, especially glossy buckthorn and garlic mustard.

Farm and Food Orientation --
Students are introduced to the sustainable campus farm, how to help with the farm chores and how the farm contributes to the local foodshed both on and off campus. Students learn how to process farm produce for items to be distributed through the local food pantry.

Safe(r) Zone Training
Through the Safe(r) Zone training, new students learn how to be a visible ally for queer and LGBT Green Mountain community members. With the Safe(r) Zone training students are provided with the knowledge and information necessary to help those in search of more information on topics related to gender and sexuality.

Sustainability-themed Convocation Speakers--
Convocation takes place the first week of classes. The College has a tradition of selecting convocation speakers who are environmental leaders. In 2015, author and adventurer Jan Reynolds focused on her photography and recording vanishing cultures to preserve their unique heritage for future generations. In recent years, other speakers have included Robert Michael Pyle, butterfly and month expert and the renowned author of 12 books on the natural sciences and Mitch Thomashow, Director of the Presidential Fellows Program at Second Nature.
",http://greenmtn.edu/flipbooks/green_guide/index.html,Performance year for this credit is FY 2015. 
Guilford College,2016-03-08,2016-03-08 08:08:35,corrybc@guilford.edu,2.0,Pursuing,100.0,"Sustainability is not a prominent part of new student orientation. See comments below in""Notes"".",--,"The Office of Sustainability offers sustainability tours during new student orientation and when they visit prior to Orientation during the Campus Corner Fair where they can learn about sustainability. Participation is voluntary. Students who participate learn about current sustainability initiatives on campus, why they are important and how they can help Guilford mitigate climate change by lowering it's carbon footprint."
Hampshire College,2016-03-23,2016-03-23 09:58:43,bhooker@hampshire.edu,2.0,Pursuing,100.0,"The College's Environmental Committee has worked with the Orientation Committee to incorporate sustainable education into orientation. Orientation student leaders talk with incoming students about recycling, composting, trash collection on campus. They are given stickers to go on their reusable water bottles. At large meals during orientation we use bioware, 100% compostable products, and include an educational component so that students can learn about the process.  

Incoming students were given LED lightbulbs, in exchange for their incandescent or LCD bulbs, as part of the first initiative of the Sustainability Revolving Fund.

An official welcome is given by the Environmental Committee on opening day.

A farm orientation group is held some years with activities on the farm.

In Fall 2015, each incoming student was given a walking map for the campus farm, and students with on-campus apartments were given coupons for free fresh eggs from the farm. Bon Appetit Management Company (dining service provider) gave every on-campus apartment a basket of local and/or sustainable food items. 

Tours of our College Farm Center are given to families of our new students.",http://www.hampshire.edu/studentlife/4843.htm,"Example activities during orientation: http://www.hampshire.edu/studentlife/21511.htm
Common Reading for Fall 2013 incoming students:  http://www.hampshire.edu/studentlife/common-reading.htm"
Harvard University,2016-02-29,2016-02-29 16:59:01,colin_durrant@harvard.edu,2.0,Pursuing,100.0,"Sustainability is featured prominently in the orientation activities for both undergraduate and graduate students both by being incorporated into written materials (handbook, guides), online (websites, etc...) and through activities such as tours, outreach tabling and give-aways of LED bulbs, recycling quizzes and interactive quizzes, lectures and events. 

The ""green edu"" program was developed by students for incoming undergaduate students and includes videos, a survey and other educational materials and events: http://green.harvard.edu/greenedu. In addition, the College's first freshman ""brain break"" is environmentally-focused and includes an environmental fair where over 1400 freshman receive re-usable mugs and signs an eco-pledge.  

We provide sustainable welcome totes to all incoming undergraduate students and all graduate students living in Harvard Housing, the totes include green cleaning products, information on how to operate their apartment, and information about the sustainability programs on campus.  Depending on the School, incoming students receive brochures and/or reusable mugs or bottles at orientation.

At the 11 graduate schools sustainability related programming and educational events are organized, establishing a ""green"" norm for students before they even move to campus.  
",http://green.harvard.edu/greenedu,"Here's a story highlighting some of the sustainability orientation activities: 
http://green.harvard.edu/news/orientations-go-green
"
Haverford College,2016-03-02,2016-03-02 12:02:07,ckent@haverford.edu,2.0,In Progress,--,--,--,"100% of all incoming first-year students participate in first-year orientation at Haverford College. Two events specifically highlight the importance of sustainability within the Haverford College community. The first, a Tree Planting Ceremony, which takes place on the morning of the first full day of orientation, gives all first-year and their upper class orientation leaders the opportunity to tale part in planting a new tree in honor of the incoming class. It is intended to be a symbol of the importance of conservation to the Haverford College community and to introduce students to the Haverford College Arboretum. The second, The Local Foods Dinner, is a special orientation enent for all incoming students; all the food that is served is locally sourced and is intended to highlight the importance of a sustainable food system."
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:46,sustainability@hws.edu,2.0,Pursuing,100.0,"Sustainability programming and activities are prominently included during first-year Orientation and are facilitated by an orientation team that’s received sustainability training. The Office of Sustainability and student Environmental Representatives (EcoReps) also plan and coordinate various activities for incoming first years during Orientation to ensure new HWS students understand the Colleges’ commitment to sustainability. Sustainability experiences for first-year students at Orientation include a sustainability-focused lunch and meals throughout the weekend, receiving a reusable water bottle in their welcome packets, getting move-in assistance (including materials management), and receiving compact fluorescent lights at move-in, among other areas of sustainability guidance. Signage (e.g. recycling) also is placed throughout campus during Orientation. In addition, in 2015, the Colleges unveiled a “Go Green” video ahead of Orientation, outlining a range of important sustainability efforts taking place at HWS.",https://www.youtube.com/watch?v=29lD7HjNE_A,--
Indiana State University,2016-03-29,2016-03-29 10:18:01,caroline.savage@indstate.edu,2.0,Pursuing,--,,--,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:42:32,brownwm@indiana.edu,2.0,Pursuing,--,"Sustainability concepts are incorporated into the orientation in several ways, however, none of these can be said to be prominently included.

The Office of Sustainability is one of the two dozen campus resources available at the First Year Experience Resource Fair, held during registration for incoming students.

Student organized ""recycling blitzes"" held in the dining halls during move-in week and the first week of classes help students learn how to recycle at IU and expose reuse and recycling as normative on campus.

Most prominently, although not formally a part of Orientation, the College and Arts and Sciences' Fall Themester enables students, faculty, staff, and community members to explore a single theme together, though coursework, events, films, and more. Selected themes often relate to sustainability, including the first Themester in 2010, the focus of which was Sustainability. More recently, Themester 2014 explored Food, with a number of events relating to sustainable food and food systems. The 2015 Themester explores Work: The Nature of Labor on a Changing Planet, that is, what work has been, what it is becoming, and how it transforms our relationships to nature, technology, and justice. Themester 2016 will explore concepts relating to Beauty.",--,--
Juniata College,2016-03-23,2016-03-23 08:09:08,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:16:55,mknowle1@kent.edu,2.0,Pursuing,55.0,"Destination Kent State offers academic and co-curricular connections to incoming students. The first part of DKS is Advising and Registration, which includes a visit to Kent State where students will become familiar the University, receive their Flashcard, and register for their first classes. DKS offers break out sessions with detailed information as well as inviting offices on campus to table.

The Office of Sustainability participated in tabling letting incoming students know about: transportation options available on campus: bike sharing, zip car, PARTA transportation, and recycling on campus as well as sign up to receive information from the Office of Sustainability.

Also included is information about Zip Car, our car sharing program on campus, during one of the break out sessions for parents and students",http://www.kent.edu/destination,--
Knox College,2016-03-23,2016-03-23 08:30:36,sustainability@knox.edu,2.0,Pursuing,100.0,"Sustainability is a major component of New Student Orientation. The theme from 2012-2014 was ""One Community"" and within that framework of inclusivity and community outreach, we planned tours and service activities off campus to introduce new students to the history, neighbors, and social and environmental issues around campus. We also had a major recycling drive to attempt to collect 100% of the cardboard and recyclable plastic brought onto campus during move-in. We held sustainability training for all RAs, Orientation Leaders, and Admission Ambassadors; had sustainability tabling during all events; and held a mandatory sustainability 101 presentation for all new students. We also held a Bike-In Movie with free local and organic pizza and popcorn as part of official orientation events.",--,--
Lehigh University,2016-02-29,2016-02-29 00:26:14,sustainability@lehigh.edu,2.0,Pursuing,100.0,All entering students have the option of attending a faculty lecture during Orientation that addressed the issue of sustainability in the business field. We also offer a 3-day pre-orientation program focused on sustainability called SustainabLEHIGH.,http://studentaffairs.lehigh.edu/content/prelusion,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:01,advorak@lclark.edu,2.0,Pursuing,69.0,"Sustainability has been a component of undergraduate and graduate NSO informational sessions, serving local food, making composting available, bags with info about programs, and presentations to student groups.

",--,--
Loyola Marymount University,2016-03-23,2016-03-23 14:01:33,ian.mckeown@lmu.edu,2.0,Pursuing,75.0,"Prior to orientation, the 46 orientation leaders are taught about the green initiatives that that dining services (Sodexo) has implemented in the cafeterias (ex: trayless dining, compostable plasticware, food product disposal station). These orientation leaders then relay this information to the new students as they are eating in the Lair for the first time. The main exposure to sustainability on campus that the students have is this experience, and the exposure to various recycling and xeriscaping present throughout campus where they attend different sessions. 

All new students in residence life are exposed via programing to sustainability initiatives including recycling, water conservation, and energy conservation. This is through signage, emails, contests, and pr campaigns, 

campus tour guides talk about campus leed buildings. 

In orientation, orientation leaders cover sustainable features on campus to inform students. 


Sustainability is included in club fairs where the campus sustainability office and clubs present information on campus programs and opportunities

LMU has a program called the Green LION. The program introduces new students to the concept of sustainable living as a means to improve our society. The program talks about what it means to be sustainable and what actions students can take to be in line with that concept on campus. ",--,--
