Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution have strategies in place to safely dispose of all hazardous, special (e.g. ...","A brief description of steps taken to reduce hazardous, special (e.g. coal ash), universal, and ...","A brief description of how the institution safely disposes of hazardous, universal, and ...",A brief description of any significant hazardous material release incidents during the previous ...,A brief description of any inventory system employed by the institution to facilitate the reuse or ...,"Does the institution have or participate in a program to responsibly recycle, reuse, and/or ...","Does the institution have or participate in a program to responsibly recycle, reuse, and/or ...",A brief description of the electronic waste recycling program(s),"A brief description of steps taken to ensure that e-waste is recycled responsibly, workers’ basic ...",The website URL where information about the institution’s hazardous and electronic-waste recycling ...,Public Notes
Santa Clara University,2016-02-26,2016-02-26 20:44:59,lkalkbrenner@scu.edu,2.0,Pursuing,True,"Identified wastes for a particular area are segregated based on category and collected accordingly. Environment Health and Safety (EHS) or the Department Lab Manager pick up the waste from respective labs, shops, studios on campus and consolidate for quarterly pickup by a third party vendor.","Depending on the waste stream, wastes are collected by EHS or the Department Lab Manager, segregated and stored appropriately for quarterly pickup. SCU uses a third-party hazardous waste vendor to consolidate, transport and dispose of hazardous and non-hazardous waste streams appropriately.",None to report.,"SCU has an online chemical inventory management system that utilizes barcodes for tracking chemical inventory, location and volume on campus. Users include faculty researchers, lab managers and EHS. Users are trained annually to utilize the system to track their inventories and search the campus for existing chemicals they can borrow prior to ordering new stock in an effort to minimize the total volume of chemicals purchased and stored.",True,True,"Students can bring E-Waste & Universal Waste items to receptacles in their residence halls.

Faculty and Staff can submit an online E-Waste pickup request to the Facilities department. Also, Information Technology operates the PC Replacement Program that donates roughly 600 computers to local non-profit organizations each year. Recipients are incentivized to dispose properly because the disposal fees are prepaid, and they have agreed to do so as part of the donation agreement.  

Campus total electronic waste recycling for year of 2015: 20,605 pounds",E-Waste is responsibly recycled. E-Waste is also regulated by CA DTSC and EPA and SCU has reporting requirements for them to comply with which EHS performs. SCU is required to report the volume of e-waste generated and recycled to CA DTSC.,https://www.scu.edu/sustainability/operations/waste/,--
Seattle University,2016-03-23,2016-03-23 11:53:59,thompson@seattleu.edu,2.0,Pursuing,True,"Seattle University continues to be rated as a Small Quantity Generator under chemical waste regulations.  This status is maintained by having an aggressive and comprehensive recycling program. Members of the campus community may ask for a Waste Assessment which includes evaluation for alternative management strategies.

The Chemistry department reassessed all their labs in summer 2015 with the target of further reducing the use of hazardous materials. 

Chemistry student participate in Safety Teams during chemistry classes: they are active participants in planning, hazard analysis, documenting and verifying laboratory procedures and participating in safety awareness training activities.

SU is no longer using radioactive isotope materials in research.

SU is a member of Practice Greenhealth.  This is a membership organization for greening the healthcare sector.  SU holds a Community Health Center membership that is designed to support College and University Student Health Centers and academic teaching activities. ","Chemical waste is managed through PSC Environmental Services.
Biological waste is managed through Stericycle Inc.
Universal waste is managed through a variety of recycling outlets.","No releases have occurred in the previous three years.
","A general excel spreadsheet is used to maintain chemicals inventories for low volume users on campus. 
The Chemistry Department uses Vertere Inventory Management software.  

The Institution is beginning to use BioRAFT as a tool to manage all environmental and health and safety information management needs.  Preliminary uses target space usage, bio safety program management needs, and document management.  ",True,True,"Seattle University utilizes Ecolights Northwest/Total Reclaim for it electronic waste recycling needs. Total Reclaim is ISO 14001 certified, a Basel Action Network member and has taken the e-stewards pledge.","Seattle U’s electronics are taken to Total Reclaim, a Seattle computer recycler that signed the Basil Action Network’s Electronics Recycler’s Pledge of True Stewardship and upholds these standards and aggressively searches for new ways to surpass pledge requirements.
http://www.totalreclaim.com/",http://www.totalreclaim.com/,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:46,mpate@sewanee.edu,2.0,Pursuing,True,"·         Hazardous Waste: Generated in generally in the sciences, arts, grounds and PPS departments are disposed of annually through a bidding process. These chemicals are logged and stored in a secure location with limited access. The science departments have, over the years, reduced the amount of chemicals they purchase for use and also utilize micro scaling in some experiments which reduces chemical use and waste byproducts. Also the use of toxic pesticides and herbicides has been reduced over the past 5 years with the current supervisor.

·         Universal Waste: This waste increases as we continue to delamp fixtures, change out ballasts, and dispose of radio and equipment batteries. Disposal for these products occurs approximately quarterly.

·         Biohazard Waste is produced by the biology department and disposed of as needed by a licensed contractor. This amount varies per instructor and class.

·         Non-Regulated Waste such as waste oil is purchased by a vendor and sold on the secondary market while latex paint is generally donated to non-profits.","·         Hazardous Waste: Generated in generally in the sciences, arts, grounds and PPS departments are disposed of annually through a bidding process. These chemicals are logged and stored in a secure location with limited access. The science departments have, over the years, reduced the amount of chemicals they purchase for use and also utilize micro scaling in some experiments which reduces chemical use and waste byproducts. Also the use of toxic pesticides and herbicides has been reduced over the past 5 years with the current supervisor.

·         Universal Waste: This waste increases as we continue to delamp fixtures, change out ballasts, and dispose of radio and equipment batteries. Disposal for these products occurs approximately quarterly.

·         Biohazard Waste is produced by the biology department and disposed of as needed by a licensed contractor. This amount varies per instructor and class.

·         Non-Regulated Waste such as waste oil is purchased by a vendor and sold on the secondary market while latex paint is generally donated to non-profits.",No such events have occurred in the past 3 years.,No such program exists at this time.,True,--,"All old computers, displays, kb/mice, etc  are not thrown away.  For many years now, we have donated to public schools, churches, and to employees items that would not normally be issued back out to an office, lab, or classroom area.  So, this could be termed as recycling as the equipment isn't dumped and serves others who might not otherwise have computing equipment.","Items that we no longer use are disposed of in a metal bin just behind the CompTel Center after we pirate them for pieces that we might use in other units.  Those bin items are then removed by Marty Hawkins' PPS crew.  I believe now he takes those items down to Winchester, but you would need to check with him on that.  Used toner cartridges are boxed in original cartons and we use the HP recycling program for those.",--,--
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:25,andre.plante@sheridancollege.ca,2.0,Pursuing,True,"Departments have different methods on reducing the amount of hazardous waste produced. These methods are standardized best practices within the department. For example, the Faculty of Applied Science and Technology prefers substituting or using minimum amounts of any hazardous chemicals. Section 3.6 of the Chemical/Environmental Student Manual states, “Substitute less hazardous materials or techniques whenever possible. There are many instances where highly toxic chemicals can be replaced by less toxic materials.” 

The Textile department has introduced the use of natural dyes which are less toxic than their synthetic counterparts and are biodegradable. Traditional dyes in the textile industry are major pollutants as they are petrochemical derived. The department works with local restaurants, grocery stores, campus cafeteria, and greenhouses to procure natural sources. The department has held workshops on the use of natural dyes and eco-printing which uses reduced amounts of energy and water. In order to further promote the use of natural dyes, the Textiles department will be establishing their natural dye garden outside the studio. The dyes will be made onsite as opposed to relying on the ordering, purchasing, and shipping of dyes.",Departments that produce hazardous waste work with Occupational Health and Safety to arrange safe and appropriate disposal of waste. Chemical waste that cannot be treated within the chemistry and textiles departments are stored in appropriate containers on-site until disposed. An inventory of the collected waste is taken. Disposal of the waste occurs every 3 months when the departments contact the institution’s Occupational Health & Safety Specialist who makes arrangements with the waste disposal company (Hotz Environmental). The disposal company will carry out a lab pack on site and properly treat the chemicals at their facility.,None,"Though there is no formal inventory system in place, departments that produce hazardous waste support the reuse of chemicals as a method of best practice.

Laboratory technicians are familiar with the lab experiments carried out by students in their respective labs. Many experiments in earlier programs require chemicals that are often synthesized by students in later programs. Arrangements are made prior to the semester to reuse chemicals created by students for other lab experiments.

The Textile department practices a variety of reuse and redistribution methods for chemicals.  Leftover dyes produced by students can be stored in a small chemical-resistant container for later use or the use by other students.",True,True,"Sheridan has an electronic waste recycling program supported by Shift Recycling Inc. The company provides electronic waste collection bins at the Shipping/Receiving department on all campuses. They offer regular pick-up service. The technologists and all staff have been informed of the process on the disposal of obsolete or broken electronics that cannot be repaired.

Additionally, Sheridan held an “E-Waste Collection Day” across all four campuses on April 9, 2014. The event encouraged students, staff, and members of the community to bring in their electronics waste for recycling.","Shift Recycling reports the following information on their website, which indicates that they are recycling e-waste responsibly, that workers’ basic safety is protected, and that environmental standards are met (http://shiftrecycling.com/about.php):

“Shift recycles electronics with the following qualifications:
Certified - ISO 14001:2004 and OHSAS 18001:2007 
Ministry of the Environment - ECA Number 2093-8UQKRU (https://www.accessenvironment.ene.gov.on.ca/instruments/1042-8RZQ7W-14.pdf)
Ontario Electronic Stewardship – Approved Primary Processor MS0142” (http://www.ontarioelectronicstewardship.ca/service-providers/recycler-processor/approved-primary-processors/)",--,--
Simon Fraser University,2016-02-08,2016-02-08 23:41:54,erica_lay@sfu.ca,2.0,Pursuing,True,"Hazardous waste management is regulated federally through Environment Canada, provincially through the Ministry of the Environment, and locally through the GVRD Sewer-Use Bylaw.  SFU's policy is to comply with all legislation to protect the environment.  SFU is currently developing a comprehensive hazardous waste management program.","SFU is summarizing all the common hazardous waste streams within the hazardous waste management program, as well as non-regulated chemical waste that has the potential to be generated on campus. A summary guide that can be posted in work areas has also been developed and distributed.",SFU has not had any significant/reportable hazardous material release incidents in the past three years.,"SFU does not have a formal system in place, but consideration for the sharing, reuse or redistribution of lab chemicals is mentioned in lab safety training.",True,--,All electronic waste is recycled through facilities services.,Electronic recycling through facilities services is certified by the EPRA to be ethically recycled.,--,--
Slippery Rock University,2016-02-29,2016-02-29 14:19:04,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:30:39,dweisbor@smith.edu,2.0,Pursuing,True,"Training on resources available (the chemical inventory system; locations for universal waste collection), discussions with faculty along with providing literature on potential substitutions of less hazardous chemicals.  By requiring waste handling and safety training of all students, techniques for proper transport and handling are discussed, reducing the potential for spills and ensuring all wastes are properly collected for disposal.  

Clark Science Center/Ford Hall maintains a chemical inventory system in order to minimize chemical purchases.  ","Smith College follows Massachusetts Dept of Environmental Protection regulations and only contracts with TSDF vendors who are appropriately trained and resourced to handle our wastes.  Training in safety and hazardous waste handling for faculty, staff and students is provided; the Chemical Hygiene Officer and the Health & Safety Coordinator also receive specific, recurrent training and perform outreach to all campus departments.",There have been no significant hazardous materials releases at Clark Science Center/Ford Hall in the last 3 years.,The Clark Science Center has employed the Vertere Chemical Inventory system since 2003; all faculty and any of their students nominated have free access.  It is maintained by the Stockroom personnel and updated frequently as new chemicals arrive and disposal/full use records of current chemicals are received.  Stockroom personnel can also access the system to help faculty and students who are unfamiliar with the system locate a chemical.  ,True,True,"College-owned obsolete computer equipment (including computers, monitors, printers, peripherals and media) is managed as standard ITS protocol when upgrading computers in offices. After erasing all data from the computer, usable computers are donated to local charities as part of the ITS Town-Gown program. 

Items that cannot be donated to local charities are picked up from ITS by Physical Plant and shipped to a computer recycling vendor to be recycled for their scrap value. Computers are collected primarily via ITS, packaged in 1 cu-yrd gaylord shipping boxes, and sent to market via the Institutional Recycling Network. 

Batteries are collected from various locations on campus (e.g. the student houses, public safety, a kiosk in the Campus Center, a bin in the gym, etc.) and brought back to EH&S. From there, the batteries are sorted by type, packaged and sent to recycled. 

Bulbs are collected by the custodial staff  via Northeast Lamp. Toner is recycled primarily via the computer store, though Smith offers other programs for other generators of these materials.
","Electronic items are recycled by Allied Computer Brokers. ACB is a full service recycler and dismantler. As per their statement of qualifications, “ACB is committed to providing service that not only complies with all state and federal regulations affecting the handling of electronic equipment (particularly cathode ray tubes, or CRTs, which because of their leaded glass content can be classified as a hazardous waste when discarded), but assures a level of safety and proper handling that goes well beyond compliance.” For example, ACB is committed to ensuring that reusable equipment is marketed only to reputable domestic and pre-qualified international markets, and is not exported for recycling to second- and third-world countries with lax environmental controls. 
",http://www.science.smith.edu/,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:22:01,huminskis1@southernct.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:23:07,glkurtzhals@siu.edu,2.0,Pursuing,True,"Annual training sessions are presented to about 1,000 employees who work with chemicals and biological agents, and half of the presentation is devoted to waste issues. We regularly advise users to substitute less hazardous reagents for hazardous chemicals, to purchase the smallest amount necessary, to share chemicals when possible, to reduce the volume and weight of chemicals and biological used to the smallest practical amount, and to consider treatment of products in compliance with the Resource Conservation Recovery Act to reduce waste. We consult with many of our 700 laboratories to minimize waste streams. Last year, we recycled about 10,000 pounds of spent lamps, over 5,000 gallons of used oil, and a large volume of batteries through the Center for Environmental Health and Safety. Over the years we have worked with our Dental Hygiene program to reduce the amount of biological waste generated by more than 97%. We provide users with information about “green” products as alternatives to using some hazardous chemical products, particularly in DNA analysis. We also provide users with information about changing from standard photographic development to digital imaging, to reduce the volume of spent developer and fix generated in our darkrooms.","Hazardous waste is collected from campus units, stored in our Central Accumulation Facility at CEHS, and disposed through several Treatment, Storage and Disposal contractors, primarily Tradebe, Inc. Universal waste is recycled through Tradebe, Air Cycle, and local oil recyclers. Nonregulated chemical waste is also sent offsite through Tradebe for recycling, where possible. ",N/A,,True,True,Southern Illinois University Carbondale has programs in place to responsibly recycle all off the ewaste that the campus generates. SIU contracts through a company named Secure Processors that handles all of our ewaste. SIU collects and stores campus ewaste until it is deemed necessary to contact Secure Processors and have the ewaste recycled. A list of all ewaste that is accepted by Secure Processors can be seen on this page http://secureprocessors.org/About_Us/34/a. ,SIU collects and stores campus ewaste until it is deemed necessary to contact Secure Processors and have the ewaste recycled,http://www.cehs.siu.edu/,--
Southern Oregon University,2016-03-23,2016-03-23 15:40:06,beigelcod@sou.edu,2.0,Pursuing,True,"The Department of Environmental Health and Safety supports Southern Oregon University’s mission by providing leadership, resources, and services to ensure a safe and healthful campus environment. The Department develops, establishes and administers policies and procedures for environmental compliance, health and safety to ensure the University’s compliance with relevant federal, state and local laws, regulatory guidelines, and industry standards.

As stewards of the University’s human, physical and environmental resources, our goal is to provide consultation, programs, and services that: prevent accidents and minimize risks; minimize human exposure to hazardous agents and conditions; protect the environment through responsible waste management and active waste reduction; prevent the spread of disease from unsanitary conditions; and conserve resources.

In partnership with University faculty and staff, we continue to develop and implement cooperative services and programs that ensure adequate employee training, monitor potentially hazardous conditions, provide health and safety resources and timely assistance, manage hazardous and radioactive wastes, and facilitate regulatory compliance.","All universal waste is collected by the Environmental Health & Safety (EHS) and Facilities Management & Planning Departments. There is a central collection station for all lamps and ballasts. The recycling program manages several battery collection stations across campus. All batteries are sorted at the recycling center, then recycled or otherwise disposed of, depending on battery type. All universal waste is disposed of through vendors approved by the Oregon Department of Environmental Quality.

SOU is classified as a Conditionally Exempt Generator of hazardous waste. All hazardous waste is disposed of by the EHS office through Oregon University System-approved vendors.

The procedures for collection of hazardous waste materials are described at:  http://www.sou.edu/ehs/waste.html


",There have been no significant hazardous material release incidents during the previous three years.,,True,True,"Users having surplus equipment call the Help Desk to request a pick up of equipment. The requesting department is given an ""Equipment Transferred to IT Department"" receipt and the equipment is reviewed for functionality and age. The form is then completed with the disposition of the property as to it being e-wasted. E-wasted equipment is transferred to a gaylord and when it is full the recyclers pick it up for disposal.
","According to the SOU Surplus Computer Equipment Disposal Policy, the IT Department is responsible for selecting recycling vendors that use approved methods for recycling and converting of materials back into raw materials. SOU contracts with Southern Oregon Aspire to perform these services. ",http://www.sou.edu/ehs/,"SOU's Hazardous Waste Disposal Policy is available at: http://sou.edu/policies/Hazardous-Waste-Disposal.pdf

"
Spelman College,2016-02-15,2016-02-15 08:21:40,aefrazier@spelman.edu,2.0,Pursuing,True,"All teaching labs have gone to microscale experimentation on all appropriate labs, We have taken all mercury thermometers out of the general labs and replaced them with non hazardous ones. we have networked printers as to reduce the number of cartridges neededand purchased. As far as our non regulated waste goes we now have color palettes for all building so random paint is not purchased and used around campus.","We contract with licensed and approved vendors to handle all of our hazardous, biological, universal and non regulated chemical waste. This vendors come at the end of each semester and at the end of the summer. We have a satelite hazardous waste room with houses all waste separately and according to hazard class and compatability until it is removed from campus.","We have had no hazardous materials release in the last 3 years and we attribute that to our on going training of our faculty, staff and vendors.","Our inventory was created by our IT department and is housed on our Lotus Notes platform. We are able to inventory our chemicals from ""cradle to grave"" and all Spelman staff and faculty have access to the inventory for ordering and sharing purposes.",True,--,Student led drives for old electronics happen throughout the year and then in the spring the whole campus supports recyclemania where electronics and more are collected and recycled.,We only use recyclers who send us proper manifest and certificates of recycling from official sites. We have safety training throughout the year and we have BLR on line modules for certain training as well.,http://www.spelman.edu/docs/sustainability/hr802_recycle_and_waste_disposal.pdf?sfvrsn=2,--
St. John's University,2016-03-02,2016-03-02 16:31:51,goldsmit@stjohns.edu,2.0,Pursuing,True,"The Universities Director of Environmental Health and Safety has a policy for hazardous, univeral, and non-regulated chemical waste. For example chemical inventory, storage, usage, recycling, and disposal in the laboratory environment is monitored by the Department of Environmetnal Health and Safety. Universal waste from fluorescent lamps and light fixtures with ballasts are collected, stored, and disposed of by certified waste handlers. Hazardous waste such as asbestos containing materials are handled and disposed by certified waste handlers.","All hazardous, universal, and non-regulated chemical waste is handled and disposed by certified waste handlers. Records are kept that include manifest sheets.",No significant incidents have occured in the past few years other than normal material pick-up and disposal.,Chemicals are pre-measured out for the labs to the amount required in the experiment. All extra unused chemical is poured back into the container.,True,True,"All pick up and recycling of electronic waste for instiution-generated material from campus faculty, administrators, and staff is picked up by University Information Technology workers, and recycled as per the policies listed above.",The University program for recycling electronic waste is implemented by in house Information Technology Department who hires a certified private company to responsibly dispose of electronic waste.,http://www.stjohns.edu/campuses/sustainability/about-sustainability,Information about the Information Technology Department can be found at: http://www.stjohns.edu/about/administrative-offices/operations/information-technology
Stanford University,2016-03-23,2016-03-23 01:13:40,mbhafer@stanford.edu,2.0,Pursuing,True,"Using information generated by the California SB-14 law and reports, Stanford identified high volume wastes for minimization. These wastes are related to utilities and maintenence operations, and source reduction is the preferred method. One source reduction method is to minimize the amount of water used when cleaning cooling towers to concentrate the sludge generated. Research hazardous wastes vary widely and do not generally lend themselves to source reduction. One successful waste minimization activity undertaken for research wastes has been to replace thimerosol (contains mercury) with other preservatives in biological research. Stanford also operates a program to replace mercury thermometers with non-mercury thermometers at no cost to the labs. Finally, the Green Labs program at Stanford encourages the replacement of toxic chemicals with less hazardous alternatives through MIT's Green Chemistry wizard.  ","All regulated wastes are disposed either through off-site high temperature incineration, fuels blending, treatment such as metals removal for aqueous wastes, or landfill at RCRA approved facilities. Only wastes that do not lend themselves to other technologies are landfilled.",No significant releases.,"In Spring 2016, Stanford hosted its first annual laboratory sharing event, in which labs donated  good-quality, usable items which other labs could then take as needed. The event was a big success with over 100 labs participating, an estimated $50,000 in research funding saved, and tons of “waste” diverted out of the landfill. Due to its success, Stanford is planning on repeating the event annually.   

Stanford also makes use of the Chemtracker online chemical inventory system for all campus labs.  As an additional waste reduction measure, Stanford administers a surplus chemical program through which surplus chemicals from campus labs are made available free of charge to all members of the Stanford Research Community, rather than being disposed of as hazardous waste. 

",True,True,"The University provides a number of options for insuring that all e-waste generated via business operations is recycled. The Property Management Office (PMO) instructs individuals responsible for each department's assets in how to properly request disposal of all electronic items.

For components (i.e.printers, monitors, computers, etc.), a given Department Property Administrator (DPA) initiates the disposal process by submitting an online disposal request form. PMO schedules and coordinates the pickup via the Surplus Property Store (SPS). SPS is a group within the PMO. SPS personnel pick up a given electronic item and assess its quality and condition for resale. If deemed ""reusable"" it is sold intact to university personnel and/or the public. If it is not deemed reusable, it is containerized for shipment to the designated recycling facility. These shipments occur weekly. PMO also coordinates e-waste drop-off stations at campus cleanup events.

For smaller electronic items (i.e. cell phones, keyboards, circuit boards, etc.), Environmental Health & Safety (EH&S) has approximately 100 self-service drop-off locations throughout campus. These drop-off locations are serviced on a monthly basis and all e-waste collected is evaluated and sent to SPS for reuse or recycling. This program is described on the EH&S website.","Stanford University accepts proposals from various electronic waste recycling companies through a formal bid process. Each recycler is rated on a number of factors, including, but not limited to: environmental protection, financial stability, compliance with state and federal laws, and price and level/quality of service. The top three candidates are audited and ultimately a recycler is chosen. Among requirements for being considered, a recycler must recycle all e-waste domestically, recycle 100% of the e-waste received (i.e. no landfill) and have the ability to provide verifiable records of recycling/destruction for each waste shipment. The recycler awarded the contract for recycling e-waste generated via University operations is given a fixed term contract to recycle all wastes. The contract is non-exclusive and if the recycler fails to meet the university's standards, Stanford reserves the right to switch vendors.",http://hazardouswaste.stanford.edu/,--
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:50:59,malichte@esf.edu,2.0,Pursuing,True,All waste materials at the College are characterized to see if they meet the definition of a hazardous waste material.  ,"a.	If it is found that a waste material is hazardous waste, then these wastes are collected and stored in temporary locations known as satellite accumulation areas. The wastes are labeled to identify the contents and the containers are kept closed at all times. In addition, hazardous wastes are segregated to ensure chemical compatibility.  Once a satellite accumulation area becomes full, the College's Environmental Health and Safety Office is contacted to complete a waste pickup for the space. All wastes are collected and transported to a ""90-day storage"" area on campus. Periodically, the College contacts an outside vendor to pickup all of the waste that has accumulated in the 90-day area. The vendor segregates all of the chemical waste, packs the waste material into drums, labels the drums for transportation, completes shipping paperwork (hazardous waste manifest), and finally, loads all of the drums onto a truck for transport.  The waste material is then brought to a 10-day storage facility where it is placed on another truck which will take it to the final disposal facility. These disposal facilities are located all over the country and different facilities can accept and process different types of waste. Different treatment options are utilized for different waste streams. Whenever feasible, ESF prefers to recycle or reclaim waste materials. Examples of this are mercury bearing items such as thermometers and manometers. Another example is bulked solvent waste which is used as a supplemental fuel in cement kilns and is providing BTU recovery. Materials that cannot be recycled are typically sent for incineration or aqueous treatment. ESF refrains from sending material to landfills for disposal unless there are no other economically viable options.",No significant incidents within the last three years. ,"At ESF, all chemicals that are disposed have to go through the Environmental Health and Safety Office. That Office minimizes the disposal of the chemicals by donating them to other departments upon request. ",True,True,"ESF’s electronic waste program works as follows:

Individuals or groups on campus wishing to dispose of damaged or out-of-date electronics submit a work order to request their removal. The campus grounds crew picks up the electronic devices and stores them in a temporary storage area on the main campus. Once this temporary storage becomes full, the electronics are transported via a college vehicle to a storage barn at the College's Lafayette Raod Experiment Station (a few miles from the main campus). Here, the grounds crew palletizes and shrink wraps pallets of electronics in preparation for transportation to the recycling facility. Once they collect approximately 10 pallets of electronics, the grounds crew contacts the Environmental Health and Safety Office to schedule an electronics pickup.",Each member of the campus community is responsible for following New York State recycling policies and guidelines (http://www.esf.edu/physicalplant/services.htm).,http://www.esf.edu/ehs/,--
State University of New York at Cortland,2015-10-09,2015-10-09 13:16:06,Beth.Klein@cortland.edu,2.0,Pursuing,True,"SUNY Cortland established a Chemical Procurement Program where chemicals and products are scrutinized by Environmental Health and Safety prior to purchase. Users of chemicals are requested to purchase only the quantities necessary to perform their work. Stockpiling of chemicals is not encouraged. In the event that a chemical is requested that is not TSCA listed, is extremely hazardous, or has properties that could make it hazardous, the user is strongly encouraged to find a safer substitute for that chemical. Additionally, review of chemicals/products to be used by campus workers enables our office to procure Material Safety Data Sheets for our MSDS database.","Hazardous waste is collected, inventoried, and disposed of through contractors such as Clean Harbors Environmental Services, Inc., Heritage Environmental Services, LLC., and Veolia Environmental Services. All wastes are collected, inventoried, and stored in the Chemical Management Building located at the north end of the Service Group. Disposals are coordinated from this location. Detailed lists are provided to the contractors. Disposals occur every 3 to 6 months, as SUNY Cortland is typically a Small Quantity Generator. The bulk of our wastes typically are Non-regulated. All records are kept on file in the Environmental Health and Safety Office. 

The greatest volume of Universal Waste on campus are CFL lamps. SUNY Cortland collects all lamps, except incandescent lamps, and recycles them through Northeast Lamp Recycling (NLR) ( http://www.nlr-green.com/). Lamps are managed intact. If a lamp is broken, it is managed as hazardous waste. All batteries generated on campus are collected and recycled. Lead Acid and Nickel Cadmium batteries are returned to the vendor. Lithium and alkaline batteries are collected and recycled through NLR. Pesticides are ordered and used in entirety. Old, unused, and/or outdated pesticides are recycled or returned to the vendor. Mercury containing devices are recycled. Switches and thermostats are replaced with electronic devices where possible. 

End users of chemicals are requested to order only what they will use and not stock-pile chemicals/products that would require disposal as hazardous or non-regulated waste. Universal waste consists mostly of used lamps and batteries. An effort to look at alternative lighting (such as LED lamps) is being explored.
",None,"The campus Chemical Hygienist receives the list of chemicals/products for disposal,reviews the list and determine if another department might have a use for a chemical/product. The Hygienist contacts suppliers and manufacturers to determine if they will take back unused, unopened chemicals/products instead of disposing as hazardous waste. 



",True,--,"We recycle everything that has a plug. This includes Computers, printers, monitors, televisions, network equipment, scanners, fax machines, copiers AV equipments, laptops and more. Pick-ups of electronic recycling are coordinated through our Property Control Officer.",All office electronic equipment is recycled through our Property Control Office.,http://www2.cortland.edu/information/campus-safety/environmental-health/programs%2C-policies-and-procedures.dot,--
State University of New York at Geneseo,2016-03-24,2016-03-24 11:00:53,dezarn@geneseo.edu,2.0,Pursuing,True,"SUNY Geneseo follows the RCRA (Resource Conservation and Recovery Act), which is a  federal Hazardous Waste Program implemented by the states. The Environmental Health Services of SUNY Geneseo disposes of hazardous waste according to RCRA regulations.","Waste is disposed of by the College four times per year (every 90 days). Environmental Health Services will pick up properly documented and packaged wastes and will store them in the hazardous waste building prior to their final disposal.

Storing Waste Prior To Pickup: 
All waste shall be stored in a safe and secure area. Waste shall remain in such areas until picked up by EHS. Waste must be put into containers that must be labeled and in good condition. ",None,"In order to have a sustainable campus, SUNY Geneseo EHS will take excess chemicals and store them in anticipation of another faculty or staff member being able to use them. Materials that are unopened and could be considered hazardous waste can be kept from becoming waste if Environmental Health Services is contacted. ",True,True,"(From the SUNY Geneseo Environmental Health and safety website)

If you need to dispose of any electronic equipment, you must first fill out the SUNY Geneseo Equipment Transfer/Surplus Form and submit it to the Procurement & Property Control Services Department in Erwin Hall 218.  Upon receipt of the Equipment Transfer/Surplus Form, the Procurement & Property Control Services Office will coordinate the efforts of the appropriate parties, such as Facilities Services, Computer Information & Technology, and Environmental Health & Safety, to facilitate proper disposal.  All attempts should be made by the generating departments to bring their computer related equipment to CIT or all other electronics to EHS, if possible.  Departments unable to hand deliver items will be asked to provide an account number to generate a work order so the moving crew’s time may be charged appropriately.  ","Our recycler reuses any equipment possible, takes two broken units to make a good one, or if all else fails, breaks down the device into smaller parts for recycling (glass, plastic and metal).  The College must register our recycling activities with the NYS Department of Environmental Conservation to ensure generators and recyclers are handling equipment properly.    

Other information regarding recycling electronic waste is available on the SUNY Geneseo website for environmental health and safety. ",http://www.geneseo.edu/sites/default/files/isu/ehs/Web_Procedure_for_Hazardous_Pickup.pdf,--
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:34,mittenl@newpaltz.edu,2.0,Pursuing,True,"Fine Arts has been provided with SAA Waste Receptacles for the collection of solvent soaked rags.  Instead of disposing as hazardous waste, a program has been established to have these rags cleaned by a licensed facility and delivered back to the department for re-use.  Approximately 75 pounds of solvent soaked rags are cleaned and returned to the Arts Department on a weekly basis.","SUNY Environmental Health and Safety (EHS) should be contacted to remove excess waste from Satellite Accumulation Areas.  There are currently 30 SAAs located on campus.  EHS performs monthly inspections of these areas and collects waste for proper disposal.  The collected waste is transported to the Hazardous Waste Storage Area located across from the Central Heating Plant.  All stored wastes are segregated, labelled and stored as required.  In accordance with state and federal regulations, all stored hazardous wastes are picked up and disposed of every six months by a licensed hazardous waste hauler.  All applicable Hazardous Waste Manifests are kept on file in the EHS Office and submitted to NYSDEC as required, ensuring “Cradle to Grave” disposal of all hazardous wastes produced on campus.",None,Inventory systems are used by both the Biology and Chemistry departments to keep track of chemical inventory used in chemistry labs and research. Students are asked to perform additional reactions in a given experiment so that the resulting material or solution is no longer hazardous and can be disposed of without treatment. The Biology and Chemistry Departments use a shared chemical database which identifies the type of chemical and its exact location within Coykendall Science Building.  Faculty from either department can search the database to determine if the reagent is already on hand.  This system allows the two departments to more efficiently use our chemical stocks and to minimize redundancy when ordering new supplies.,True,True,"Residential students drop off e-waste at their RA offices and RAs store the materials in designated e-waste bins.  Custodial staff pick up e-waste from RA offices every two weeks.  For large e-waste items that do not fit into the bins, RAs request pickup via the work order system.  Faculty and staff request pickup of e-waste via the work order system.","Maven Technologies responsibly recycles all of SUNY New Paltz's e-waste.  Maven Technologies, LLC is registered with R2/RIOS and is R2/RIOS certified, and is also a member of ISRI (Institute of Scrap Recycling Industries).",--,--
