Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution coordinate one or more ongoing student, peer-to-peer sustainability outreach ...",Number of degree-seeking students enrolled at the institution,Name of the student educators program (1st program),Number of students served (i.e. directly targeted) by the program (1st program),"A brief description of the program, including examples of peer-to-peer outreach activities (1st ...",A brief description of how the student educators are selected (1st program),A brief description of the formal training that the student educators receive (1st program),A brief description of the financial or other support  the institution provides to the program (1st ...,Name of the student educators program (2nd program),Number of students served (i.e. directly targeted) by the program (2nd program),"A brief description of the program, including examples of peer-to-peer outreach activities (2nd ...",A brief description of how the student educators are selected (2nd program),A brief description of the formal training that the student educators receive (2nd program),A brief description of the financial or other support the institution provides to the program (2nd ...,Name of the student educators program (3rd program),Number of students served (i.e. directly targeted) by the program (3rd program),"A brief description of the program, including examples of peer-to-peer outreach activities (3rd ...",A brief description of how the student educators are selected (3rd program),A brief description of the formal training that the student educators receive (3rd program),A brief description of the financial or other support the institution provides to the program (3rd ...,Name(s) of the student educator program(s) (all other programs),Number of students served (i.e. directly targeted) by all other student educator programs,"A brief description of the program(s), including examples of peer-to-peer outreach activities (all ...",A brief description of how the student educators are selected (all other programs),A brief description of the formal training that the student educators receive (all other programs),A brief description of the financial or other support the institution provides to the program (all ...,Total number of hours student educators are engaged in peer-to-peer sustainability outreach and ...,The website URL for the peer-to-peer student outreach and education program(s),Public Notes
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:28,stennes@umn.edu,2.0,Pursuing,True,46579.0,Sustainability Advocates,21000.0,"Sustainability Advocates brings together students who are interested in sustainability and live within University Housing. There are group meetings every two weeks, where the students learn about specific sustainability topics that could impact student behavior within the residence halls. The Sustainability Advocates also coordinate and host events in their specific buildings to engage their peers in learning about new sustainable habits they can cultivate in their lives. Finally, the Sustainability Advocates promote the varied sustainability programs happening on campus and work to educate their peers about the sustainable features that have been included in their physical living spaces.
",Sustainability Advocates are selected based on self-identified interest by the students.,The Sustainability Advocates learn different methods of impactful communication to use with their peers around sustainability topics.,Housing & Residential Life has a budget dedicated to Sustainability Advocates and it is used to provide incentives for students to attend the programming hosted by the Sustainability Advocates in the residence halls.,--,--,,,,,--,--,,,,,--,--,,,,,--,http://www.housing.umn.edu/sustainability,--
University of Missouri,2015-05-01,2015-05-01 15:33:06,raghavans@missouri.edu,2.0,Pursuing,True,34748.0,Environmental Leadership Office Ambassador Program,34748.0,"Ambassadors are committed to the development of a sustainable campus. Through peer-education and other outreach activities, Ambassadors provide knowledge, skills, perspective, and values to guide and motivate students to live in a more sustainable manner. The Ambassador Program is a student-driven commitment to peer education and the development of a sustainability-literate student body. Its mission is to foster a campus-wide culture of sustainability and assist the University of Missouri in its goal to improve its ecological footprint. Ambassadors engage Freshmen Interest Groups, Transfer Interest Groups, Mizzou Alternative Breaks, and more with presentations related to their majors and organizations emphasizing how pervasive sustainability is. In addition, they offer tours around campus to highlight he University’s sustainable efforts, progress, and milestones.","An information night is held at the beginning of each semester to anyone interested. Then, students fill out an online application and attend an interview night. They answer questions about the reasons for their interest, availability, dedication, other interests, and what they would like to learn from the program.","Weekly two hour meetings consist of the examination and discussion of the complexity and challenges of sustainable development from the past and present lifestyles, concepts, practices and beliefs. Contemporary issues of food security, public health, social justice, neoliberal globalization, and environmental degradation are explored through research, investigation, dialogue, and experience. Ambassadors are mentored by experienced participants and are evaluated by their peer audience at each presentation and tour.","The Ambassador Program is financially supported by the Environmental Leadership Office. Moral support is extended by Residential Life, Residence Hall Association, and the Sustainability Office as they collaborate on events and outreach opportunities.",Green Building Association,--,"USGBC is the University of Missouri chapter for the United States Green Building Association. Mizzou USGBC educates students about sustainability in built environments. As the next generation of design professionals, Mizzou USGBC recognizes the responsibility in the choices its members make.

Activities include events with the Kansas City and St. Louis chapters, socials with professionals in town (great networking experience!), Habitat for Humanity builds, study sessions for LEED accreditation and sustainable field trips. Other events include: CANstruction, Mizzou Homecoming, Shryocks Hayride & Bonfire, BARKitecture, AIA Convention in Washington, DC, Tour of Columbia's Landfill and City Hall, Boston Architectural Trip, YELANTS Dance Marathon Team, Visit to Nick Peckham's Farm, Extreme Makeover Home Edition-Joplin.",,,,--,--,,,,,--,--,,,,,--,--,--
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:13,johnstonrk@umkc.edu,2.0,Pursuing,True,15746.0,Peer-to-Peer Sustainability Outreach and Education,15746.0,"The UMKC Sustainability Office offers student internships, work-studies (upon availability) and volunteers. Students are selected based upon their academic merits and passion for learning and sharing sustainability initiatives on campus. ","Students are selected through an application process.  Student submit an application that includes their project description, inputs and outcomes and the approval of their academic adviser.  Students work on specific focused programs with a high level of academic rigor in research and practical application.  Student can either use the opportunity for credit hours under their academic adviser, through work-study awards or as volunteers.  The UMKC Sustainability Office has trained and hosted two-dozen undergraduate and graduate student educators since fall semester 2009. ","Student are required to submit a proposal for their work in the Sustainability Office in coordination with their academic adviser.  Once the proposal is submitted and accepted the student works directly with the UMKC Sustainability Coordinator on a weekly basis.  Formal training begins with selected readings of academic research for the given discipline under the sustainability proposal and project.  Students then prepare once a week updates on their research and projects to the coordinator.  Students spend 260 hours a semester on their total project time and the outcomes and deliverables include: Final Project Report 8-9 pages along with attachments of education surveys, data collected, methodologies used,case studies, flyers, handouts, photos and posters. ","The staff and financial support UMKC provides to the program includes one-on-one time of up to 260 hours per semester per student enrolled in the Peer to Peer Sustainability Outreach and Education Program. Also provided is workspace in the UMKC Sustainability Office, access to printer/copiers and other office equipment as needed and work-study awards as available.  ",--,--,,,,,--,--,,,,,--,--,,,,,--,--,--
University of Mount Union,2016-01-13,2016-01-13 13:05:23,mcclauca@mountunion.edu,2.0,Pursuing,True,2253.0,Green Raiders (formerly Eco-Reps),2253.0,"The Green Raiders directly target ALL campus students (and visions).  We have large media campaigns to promote recycling and participate in ReycleMania and Game Day Challenge.  The information is posted in all the  spaces used by all students (Library, Student Center and others). The program produces on campus fliers and posters, does  educational programs for student organizations, promotes on campus activates for ALL students such as Earth Hour. The program has a get-caught green handed  activity in which a student dressed in green awards  prizes to student caught in a sustainability related behavior.","Positions advertised, faculty recommendations sought and both invitees and walks ins are interviewed. ","Handbook, Training retreat every semester  Bi weekly training meetings with two faculty and one staff member",Students paid through campus work study prgram,--,--,,,,,--,--,,,,,--,--,,,,,--,https://www.facebook.com/RecyclemaniaAtMountUnion, http://www.mountunion.edu/ecorep-program 
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:44:54,pshrestha3@unl.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:30,slburke@unomaha.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"This criteria is being addressed, but is not actively being met."
University of New Hampshire,2016-03-25,2016-03-25 21:52:54,colleen.flaherty@unh.edu,2.0,Pursuing,True,14940.0,Sustainability Outreach and Engagement Internships,12840.0,"In fall 2015, the Sustainability Institute launched a new Sustainability Outreach and Engagement Internships. Any undergraduate student can apply to be be one of three Sustainability Outreach and Engagement Interns, each receiving hourly wages, and training on sustainability, communications, and facilitative leadership. Interns work directly with the Energy and Ecosystem Task Force and the Environmental Advocates. Interns act as liaisons  between students and administration. They also create and implement outreach campaigns around waste and recycling and help coordinate Recyclemania efforts on campus. They help the task forces in making recommendations in these areas across curriculum, operations, research and engagement. They also assist with student outreach and communications, including blogging on the Sustainability Institute blog and the UNH Tales blog..

http://sustainableunh.unh.edu/task-force-ambassadors","Students are apply to become ambassadors by submitting an application, writing sample, and professional reference to the Sustainability Institute. Staff then interview the students and they are formally hired. ","Students receive formal introductory training about sustainability, communication, and leadership. After the introductory training, students receive one-on-one and group mentorship by UNHSI staff weekly. Additional time for reflection, training, and professional development is allotted at the beginning and end of each semester with half day retreat to develop skills and think strategically about projects. ","UNHSI provides each intern with an hourly wage, and a full-time UNHSI staff member tasked with student engagement mentors each intern.",Environmental Advocates,12840.0,"In 2012, Sustainability Institute began a new alliance of residence hall council representatives on campus. Each resident hall recruits a designated Environmental Advocate (EA) position that sits on hall councils. In 2013, Residential Life made the EA position an elected hall council position. SI staff coordinate the group by providing meeting agendas, goals, mentorship, and facilitate cooperation between EAs and SI Outreach and Engagement Interns. 
",Students who want to be an EA are nominated and then elected by their residence hall council. ,"EA's receive information on sustainability at UNH from a designated UNHSI staff person, UNHSI outreach and engagement interns, and guest speakers who are experts in communication and facilitative leadership. ",UNH Residential Life and Sustainability Institute staff mentor the EAs. UNHSI outreach and engagement interns support and coordinate EA campaigns and programs by providing information and in-person meetings or trainings. ,--,--,,,,,--,--,,,,,--,http://www.sustainableunh.unh.edu/environmental-advocates,See also http://www.sustainableunh.unh.edu/students
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:57:45,cpshea@fac.unc.edu,2.0,Pursuing,True,28010.0,Residential Green Games,8841.0,"Residential Green Games is a campus-wide competition that runs from August to April. Students earn points for their residence halls by participating in sustainability-themed service projects, hosting green-themed events and displays, attending tours and lectures, and designing sustainability-related bulletin boards.",The Office of Waste Reduction and Recycling hires and trains a part-time student intern who then educates RAs about Green Games. The RAs in turn educate resident students.,The paid intern is trained by Recycling Office staff. The RAs are trained in monthly meetings convened by the intern. Supporting materials are available on the Green Games website.,1/4 FTE,EcoReps,28010.0,"EcoReps are trained peer-to-peer sustainability educators. They expand awareness of sustainability initiatives on campus and motivate sustainable behaviors. They offer 5 hour training to students twice a year and training counts as a Public Service Scholars credit. Following the training, EcoReps advertise their availability to give tours of high performance buildings and sustainable features on campus; customized or general presentations on topics related to water, energy, waste reduction and recycling, sustainable transportation options, and sustainable food choices; lead interactive games that inform other students about sustainability initiatives on campus; and staff informational tables at campus events. 

","Students are recruited at orientation, Fall Fest, and through listservs and events.","EcoReps attend five-hour trainings on
-- effective communications
-- UNC's sustainability goals
-- campus practices related to transportation, energy, water, food, and waste systems
-- sustainability-related academic offerings
-- high performance buildings
-- event planning  ","Student intern works full time in the summer, and 1/4 time during the academic year to coordinate the program. ",--,--,,,,,--,--,,,,,--,--,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:16,cgcarwei@uncg.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:29,pohlmank@uncw.edu,2.0,Pursuing,True,14611.0,Housing and Residence Life Sustainability Committee,4100.0,"Residence Assistants (RA) and Residence Coordinators (RC) are chosen through a application and interview process. Out of the 98 RAs and RCs, a small group is selected as the Sustainability Committee. This committee responsible for promoting and educating students living on campus about how to live sustainable, what UNCW has to offer in terms of sustainable services and programming. For example, at the beginning of the year RAs will hold recycling box decorating parties. Because residence housing has recycling on the first floor, having a dedicated box in each room to fill with recycling encourages students to bring recycling downstairs. ","The positions are advertised in the fall and offer information sessions. Every application is individually reviewed by staff. A certain amount of students are invited back for individual and group interviews. During interviewed they are observed by student, graduate, and professional staff. Once the RAs are chosen, they apply for committees, and a percentage are assigned to the Housing and Residence Life Sustainability Committee.","During the summer retreat students are educated on sustainability as a whole, sustainability at UNCW and sustainability as it relates to Housing and Residence Life","HRL has an allotment to each committee. The HRL Sustainability Committee uses this for promotional items and to support other organizations who are ""greening"" their events.",--,--,,,,,--,--,,,,,--,--,,,,,--,--,--
University of Oregon,2016-03-23,2016-03-23 11:01:45,smital@uoregon.edu,2.0,Pursuing,True,23449.0,Student and Community Outreach for Renter Efficiency ($CORE),4125.0,$CORE provides a free peer-to-peer energy assessment service to UO students living off-campus. Student Energy Educators will help households save money on their utility bills and reduce their carbon footprint by providing materials and information needed to lower energy use.,Student Energy Educators are selected through a hiring process where they submit applications and complete individual and group interviews.,$CORE staff training is provided by an energy educator from the local housing authority. Students receive technical expertise and training on home energy efficiency as well as consumer behavior psychology. The training is approximately nine hours over one weekend.,Staff support for $CORE is provided by the UO Office of Sustainability. Student Energy Educators are paid an hourly wage.,UO Student Sustainability Center,23449.0,"The Student Sustainability Center (SSC) is a program of the Erb Memorial Union. The Student Sustainability Center is a collaborative space for student-led initiatives that foster and support the simultaneous pursuit of human equity, environmental vitality and economic well-being for the present and future. The Student Sustainability Center hires student coordinators that work on projects and events that educate the student body. Outreach activites include coordinating Earth Week, tabling for sustainability initiatives, and educational presentation at studdent organization meetings.",Student Coordinators are selected through a hiring process where they submit applications and complete and individual interview.,Student Coordinators receive on the job training and at the beginning of the term. Coordinators are required to attend a 5 hour workshop at the beginning of every term.,"Coordinators receive either minimum wage for 5-7 hours per week or a scholarship of $450 per term, depending on their role and responsibilities.",--,--,,,,,--,--,,,,,--,http://ssc.uoregon.edu/,--
University of Pittsburgh,2016-03-24,2016-03-24 12:57:52,lwzfm1@pitt.edu,2.0,Pursuing,True,28219.0,ENERGY-NET,4.0,"A NSF-funded project that forms a unique team, “ENERGY-NET” is comprised of geoscientists and learning researchers from the University of Pittsburgh with the Carnegie Museum of Natural History.  Together, the aim of ENERGY-NET is to use an Earth Systems Science framework to guide experiential learning focused on the intersecting lenses of energy, the environment, and society for museum visitors, underserved youth, and communities in the Western Pennsylvania region.","Interview with principal investigator. Dr. Emily Elliott, or grad student Rob Rossi. Currently 16 underserved high school students are mentored through this program.","ENEGY-NET trains undergraduates to develop  a rich set of experiential learning activities to enhance public knowledge about the complex dynamics between energy,  environment, and society for demonstration at Carnegie Museum of Natural History. In turn, these students mentor teens from under-represented populations, providing rich learning experiences in earth systems science and life skills, and providing networking opportunities 
with geoscientists. The ultimate goal is to Institutionalize  ENERGY-NET collaborations between geosciences expertise, learning researchers, and museum staff to yield long-term improvements in public geoscience education and geoscience workforce recruiting.","ENERGY-NET is funded by NSF Award #1202631 from the Geoscience Education program to PI Elliott and Co-I's Bain (Pitt), Crowley (Pitt), and Steiner (CMNH).",Pitt Green Team ,4094.0,"The University of Pittsburgh Green Team recruits between 125 student volunteers each fall semester to function as the ""Pitt Green Team"" during Arrival Survival and orientation activities.  These students receive specialized training in campus sustainability practices including recycling procedures and food waste composting.  They work in teams to act as sustainability ambassadors at the First Year residence halls during the fall move-in.  They also assist with recycling and composting during the special events that happen during orientation week.  ",First year students are recruited via the Department of Housing and through Residence Life.  Students are offered early move in in order to recruit for the Green Team.  Green Team leaders are recruited from previous Green team members and also from the Student Office of Sustainability leadership team.,"The Green Team is provided a day long training session on campus sustainability, specifically in terms of recycling practices and food waste composting during Arrival Survival and O-Week events. They move in one day early in order to acclimate to the campus and to participate in team-building exercises and trainings. ",The Green Team members are able to move into their Residence Halls early at no additional costs.,--,--,,,,,--,--,,,,,--,--,"The University does not currently participate in a Student Sustainability Educators program, but may consider this in the future."
University of Richmond,2016-02-17,2016-02-17 15:17:33,randreje@richmond.edu,2.0,Pursuing,True,3972.0,University of Richmond Sustainability Advocates (URSA),2700.0,"University of Richmond Sustainability Advocates (URSA) is a peer education program dedicated to promoting sustainability and environmentally responsible behavior in the campus community through engagement with fellow students, primarily in residence halls. Sustainability Advocates (SA) educate themselves and their peers about sustainability issues. URSA's goal is to facilitate and institutionalize stewardship on campus as a result of this increased understanding.

URSA's main activities are as follows: 
1. Coordinate the Green Room Certification Program: SAs are responsible for motivating and encouraging people to enroll in the Green Residence Certification Program and certify their rooms.
2. Events and Competitions: URSA plans and carries out several events and competitions throughout the school year to increase sustainability. SAs not only participate in these events, but also create and innovate new advertising and programming.
3. Attend Weekly Meetings: SAs meet each week to learn about sustainability and the environment (on campus and beyond), plan upcoming programming, create, listen to each other, and share ideas.
4 Communicate: As spreading the word is a vital part of URSA, SAs reach out to the larger campus community in a variety of ways including: a campus-wide email newsletter SpiderBytes, digital flyers, setting up tables in highly-trafficked areas of campus, and speaking directly with residents. ","All University of Richmond students are invited to apply to the URSA Program. Typically, no more than one student per residential building is selected. Upon submitting an application, an interview is arranged for each student to meet with sustainability staff to discuss the program further. Upon selection, URSA members attend introductory meetings.","Following selection, URSA members attend introductory meetings and go over the URSA manual. The Director of Sustainability presents an introduction to sustainability at a meeting following selection. The URSA coordinators give updates and provide educational materials to the group as part of each weekly meeting. Topical presentations (e.g., recycling on campus) are given by members of the campus community as requested. ","URSA members are unpaid, but the coordinators are paid through the Sustainability Internship Program. Two coordinators are responsible for managing events, planning and facilitating meetings, and overseeing the Green Room Program.",--,--,,,,,--,--,,,,,--,--,,,,,2000.0,http://sustainability.richmond.edu/involved/ursa/index.html,--
University of South Carolina,2016-02-29,2016-02-29 17:11:37,KOPPAN@mailbox.sc.edu,2.0,Pursuing,True,30199.0,Sustainable Carolina,30199.0," Sustainable Carolina is the student branch of the Office of Sustainability. Students of Sustainable Carolina are empowered to address real world problems through intensive beyond the classroom leadership opportunities and hands-on experiences. They work to galvanize change throughout our university and community by collaborating within our project teams, attending community programs and conceptualizing and implementing campus-wide events. Examples: Sustainability Showcase, Green Networking Breakfast, Reclaimed Runway, Green Career Fair, Food Week, Earth Jam, Green Office Certification, independent projects","application, meeting with staff ","Students attend a four hour orientation at the beginning of each semester where they learn about office procedures, discuss requirements for maintaining their Sustainable Carolina internship, review the projects and programs they will be working on during the semester, and build community with each other. Following orientation, students meet with assigned Office of Sustainability staff supervisors and receive professional development training and 4 sessions of one-on-one coaching with a trained staff member on their performance, as well as guidance for other concerns they have.

","The Assistant Director for Leadership and Engagement and three part-time graduate assistants are funded by UofSC to manage Sustainable Carolina. Students receive credit toward Graduation with Leadership Distinction (USC's QEP).
",EcoReps,7000.0,"The EcoReps are a peer leadership program working within University Housing to educate students about sustainability and environmental issues through fun interactive events. Each EcoRep is responsible for hosting 7 events per academic year in their residence hall and for working with their hall government to make other events more sustainable. They also run the Green Dorm Room Certification program and encourage students in their hall to get certified. They work 3-4 hours per week and are paid a stipend of $100 per semester. Some events they have hosted in the past include a lightbulb swap (incandescent for CFLs), vegan cooking demonstration, movie screenings, and the tap water challenge.","The EcoReps are selected through an application process. Final decisions are made by the student leadership team, the Graduate Assistant, and the full time staff advisor. Decisions are based on the quality of the application and also on the residence hall in which the student lives","The EcoReps attend a day long training retreat before beginning their work. At this training we discuss their job description, working in teams, and mutual expectations. The first 7 meetings of the fall semester are each focused on a different environmental issue so that they all have basic knowledge in key areas like food, energy, water, climate change, and social justice.","University Housing Facilities Operations provides a budget of $8,000 for the program. University Housing also provides funding for a graduate assistant.",Darla Moore School Ambassadors,30199.0,"A Darla Moore School Student Ambassador’s primary function is to help students and guests of UofSC understand the benefits of attending the Darla Moore School of Business, and to recruit students who are interested in attending. Ambassadors show leadership, professionalism, pride and the desire to promote the Moore School while delivering superior customer service at all times. ",The Darla Moore School of Business Ambassadors are selected by an application and interview process.,"The Darla Moore School of Business Ambassadors receive formal training on the history, programs, and sustainable building design and performance of DMSB. ",Each ambassador receives $10 per hour. ,Carolina Community Farm & Garden Guides,30199.0,"Carolina Community Farm & Garden Garden Guides are student leaders who undergo special training to serve as knowledgeable workers in the garden, leading all volunteer participants while creating a fun and safe space in which anyone can learn and serve. These student leaders are the primary caretakers of the F&G, maintaining all of the crops, farm features, essential organization, and integrity of the operations. This program requires participants to complete a formal 6-session training and a suicide prevention training, read and study the farm’s SOP manual and excel at welcoming and guiding new and returning volunteers. They are also the primary people who interact with anyone participating in garden activities and they are the biggest voice in volunteer recruitment and retention. This program is built on peer-to-peer outreach. ","Consistent and dedicated weekly volunteers are presented the opportunity to lead their own weekly shift and become a garden guide in the upcoming semester. Interested students then must attend an Introduction to Garden Guides workshop to demonstrate gardening skills competency. At the end of the workshop, they can choose to make the commitment to becoming a Garden Guide for one entire semester. If the number of interested students is greater than the number of open Garden Guide positions, students are selected based on the number of past volunteer hours, consistency in their volunteer record, involvement with Sustainable Carolina, and their academic standing."," In addition to the introduction training, students complete a 6-session “Garden Guide Training” to become a program leader. Students must read and learn the Garden Guide Training Manual in parts, after each training session to solidify the material, and they are encouraged to study it and bring questions along to each following training day. The training spans over three weeks, two sessions per week, each session being one and a half hours long for a total of 9 hours of program training before they are able to lead volunteer participants in the garden. The training itself consists of basic permaculture and farm technique practice, greenhouse training, certified kitchen use and Good Agricultural Practices training, an educational introduction to the farm business and partnerships, and two training days of leadership activities, professional development, scenario role play, and mindful motivation activities. ","The Office of Sustainablity provides operating costs for the garden, including one full-time Garden Manager. Students receive credit toward Graduation with Leadership Distinction (USC's QEP).",26260.0,http://www.sc.edu/green,--
University of South Florida,2016-02-26,2016-02-26 13:29:33,sustainability@usf.edu,2.0,Pursuing,True,40222.0,"Sustainability Internship Program, Office of Sustainability at USF",40222.0,"The students receive training for this position through their involvement in the Sustainability Internship Program through the Office of Sustainability. They are responsible for coordinating and implementing university sustainability initiatives. Direct student interaction includes updates on day-to-day activities and review of completed materials for both graduate and undergraduate students.  Examples of activities include the distribution of sustainability practices and information during Bull markets,  week of welcome, Earthday, facilitate recycling  and water conservation awareness campaigns, and sustainability competitions in the residence halls.","The Office of Sustainability is advised by the Sustainable Initiative Steering Committee that represent different colleges, administrative departments  and student. Through the Office of Undergraduate Research students are informed of the various research internship opportunities that are available for sustainability projects. Interested students are encouraged to apply for projects in which they qualify. Applications are evaluated by the Office of Sustainability and accepted students are placed on the appropriate projects. The Office of Sustainability will assign mentors.
","The director of the Office of Sustainability, Patel College of Global Sustainability faculty and program manager advise the student mentors by providing information about the current sustainable initiatives on campus.  Formal training regards familiarizing with the sustainability reporting systems, sustainability initiatives in campus, using the office equipment and  coordination with other sustainability faculty and staff.

The students receive training for this position through the Office of Sustainability. They are responsible for coordinating and implementing university sustainability initiatives. This position is normally unpaid internship program but the Office of Sustainability generously provides a payment to the students.","The student is provided a stipend of $250  for one semester. The time commitment for this program is roughly 5 hours per week for one semester.
",Sustainability Scholars Program,30317.0,"The Office of Sustainability in collaboration with the Office of Undergraduate Research initiated the Sustainability Scholars Program. This service-learning program provides talented USF undergraduate students with the opportunity to work closely with the Office of Sustainability staff to make USF a Green University. Sustainability Scholars work collaboratively with stakeholder groups on campus to conduct “sustainability audits” of selected programs, offices, and businesses, examining and assessing coupled social, economic, and environmental practices that promote or impede sustainability. Scholars share their results with the group in the form of a sustainability report card with specific suggestions for creating or improving sustainable practices. The greater goal of the research effort is to help the USF community become a cleaner, greener place to live and work.

","Two Sustainability Scholars are selected each fall and spring semester among a pool of applicants for these positions. Applications, consisting of a letter of interest, resume, and letter of recommendation, are screened by the Office of Sustainability and the Patel College of Global Sustainability faculty.
","Throughout the experience, Sustainability Scholars learn how to construct and implement a formal research design, receive training in research ethics and relevant methods for data collection and analysis, and use their results to help create and evaluate policies and programs for sustainability initiatives at USF. These students work closely with Office of Sustainability staff and work directly with Patel College of Global Sustainability faculty and with many of the sustainability related groups and initiatives on campus.",Each scholar is awarded $1000 and receives three credit hours of mentored “Undergraduate Research.” The time commitment for this program is roughly 10 hours per week for one semester.,Sustainability Fellows Program,9905.0,"In collaboration with the Office of the Provost, the Office of Sustainability started the Sustainability Fellows Program. This service-learning program provides talented USF graduate students with the opportunity to work closely with the Office of Sustainability staff to make USF a Green University.","Two Sustainability Fellows are selected each fall and spring semester among a pool of applicants for these positions. Applications, consisting of a letter of interest, resume, and letter of recommendation, are screened by the university's Sustainability Initiative Steering Committee. Reappointment for a second semester is contingent upon satisfactory performance of assigned duties.","Sustainability Fellows serve as 0.25-0.50 FTE Graduate Research Assistants, working 10-20 hours per week to help coordinate sustainability activities on campus, educational and community-based initiatives on sustainability, and other tasks integral to the mission of the Office of Sustainability. Students in this position work closely with Office of Sustainability staff and work directly with many of the sustainability related groups and initiatives on campus. ",Each fellow receives a stipend of $3750-$7500 (for Ph.D. students) or $2500-$5000 (for MA students) per semester along with the rights afforded to graduate assistants as outlined in the USF/BOT-UFF/GAU Collective Bargaining Agreement.,Green Living Learning Community Programs,115.0,"Members of the Green LLC in Maple B hall have participated in the following:
• RecycleMania along with the entire HRE department;
• Indoor composting with worm canisters;
• Maintaining an outdoor butterfly garden;
• Viewing and discussing documentaries on global issues in sustainability;
• Sustainable programs  such as making hair gel, learning to knit, having a hydroponic garden in the hall and doing some type of Earth Day project each year;
• Volunteering at the HRE Swap Shop 2 times per year to repurpose, reuse and reduce what is put in our land fills;
• Taking field trips to local organic farms and gardens;
• Meeting with professors who support green initiatives during House Calls program each fall with follow up programming throughout the year
• Residents in the Green LLC also volunteer at USF Botanical Gardens, Florida Aquarium and MOSI;
• Helping deliver energy reduction light switch covers to residents in fall 2013.",All components of a candidate’s application – including responses in their online application and their performance in their group and individual interviews – are taken into consideration when selecting Resident Assistants (RAs). Residential Life & Education staff members review all files and hire individuals who will bring various strengths to their community and staff teams.,"An extensive training program challenges and teach the students what they need to know to excel in the position. Training is required for student staff, so students should plan accordingly when considering to apply. Resident Assistants are trained in the areas of:

    • Diversity/Multicultural Awareness
    • Communication/Listening Skills
    • Time Management
    • Counseling/Conflict Mediation
    • Leadership Styles
    • Ethical Decision Making and Problem Solving
    • Programming and Community Building""
","RAs are compensated with housing in the area of the assignment provided. They are also given a meal plan, with the option to upgrade (at cost to the RA). Please see: http://www.housing.usf.edu/experience/employment/ra/
",--,http://patel.usf.edu/news/article/eco-friendly-living-in-the-residence-halls,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 22:59:20,davidv@mail.usf.edu,2.0,Pursuing,--,--,--,--,,,,,--,--,,,,,--,--,,,,,--,--,,,,,--,--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:19,prestonj@utk.edu,2.0,Pursuing,True,27410.0,Eco-vols,7213.0,"Eco-vols is peer-to-peer environmental education program within the residence halls aimed at reducing energy and water usage, increasing recycling, and promoting other sustainable living habits.",Any student that lives in an on-campus residence hall may participate in the Eco-vols. Those students that choose to participate are assigned to a residence hall to provide sustainability outreach and support.,"Representatives from the Office of Sustainability and Recycling Office attend one of the first meetings each semester for training. This includes an overview of the program's purpose and expectations, an overview of campus energy and water conservation strategies, and a presentation on the campus recycling efforts. ",The Eco-vols are supported by member dues collected each year. They also have the opportunity to apply for funding for projects and supplies from the SGA budget. Minor financial support may also be provided by the Office of Sustainability for sustainability outreach and education projects. The Sustainability Outreach Coordinator attends meetings to offer general support as well.,Vols Educating about Growing Gardens and Inspiring Environmentalism (Project V.E.G.G.I.E),120.0,"Project V.E.G.G.I.E., which stands for Vols Educating about Growing Gardens and Inspiring Environmentalism, started as an idea among strangers and grew into a mission amid friends to give UT students the opportunity to cultivate their gardening skills, save money by growing their own food, and educate students about the advantages of working with nature and its devices.  Members of Project V.E.G.G.I.E. learn how to manage a garden (if they don’t already know how), gain experience in growing fruits, vegetables, flowers, and more, have access to free fresh and natural fruits, vegetables, and flowers, build long-lasting friendships with people who have similar interests, and are a part of UT’s first ever main campus community garden.",The educators in the groups are mostly those who are studying on the Agriculture Campus but there are a few who are simply experienced gardeners that have the knowledge to pass onto other students.,The students gain practical knowledge of gardening by two of our professors that are involved with the club as well as former members.,"The materials needed for the garden are often bought by the student ""Green Fee"" and the Office of Sustainability. ",Students Promoting Environmental Action in Knoxville,452.0,"The club works to increase awareness of and seek creative solutions to local, regional, and national environmental issues. In the spirit of thinking globally and acting locally, we aim to build a community of leaders who act on stewardship and sustainability.",Many of the students are or once were part of a class taught by Dr. McKinney on campus. Almost all who take the class are also Sustainability majors.,The students receive basic knowledge on sustainability in the community and internationally on campus. The Office of Sustainability Outreach Coordinator also regularly attends meetings to give updates on initiatives on campus.,Outreach materials are regularly sponsored by the Office of Sustainability.,--,--,,,,,--,--,--
