Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution offer continuing education courses that address sustainability?,Number of continuing education courses offered that address sustainability,Total number of continuing education courses offered,A copy of the list and brief descriptions of the continuing education courses that address ...,A list and brief descriptions of the continuing education courses that address sustainability,Does the institution have at least one sustainability-themed certificate program through its ...,A brief description of the certificate program,Year the certificate program was created,The website URL where information about sustainability in continuing education courses is available ,Public Notes
Earlham College,2016-03-03,2016-03-03 10:50:00,butchli@earlham.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:25,stoddardl@easternct.edu,2.0,Pursuing,True,20.0,352.0,http://stars.aashe.org/media/secure/424/6/574/3583/Sustainable%20Energy%20and%20Going%20Green%20Programs.docx,"Certificate in Holistic and Integrative Health Foundations 1: This certificate program focuses on foundational concepts in holistic and integrative health, including stress management, physical activity and movement, nutrition, and healing environments.

Stocks, Bonds, and Investing: Learn how to make wise investment decisions so that you have enough money to live comfortably through your retirement.

Certificate in Food, Nutrition, and Health: In this certificate program, you'll gain a holistic overview of current food and nutrition issues and their impact on physical, social, emotional, and spiritual health.

Lose Weight and Keep it Off: Discover how to establish a healthy approach to successful weight loss and weight maintenance for a lifetime

Start your Own Edible Garden: Learn how to grow delicious, nutritious fruit and vegetables in your own backyard.

Introduction to Natural Health and Healing: Learn how to promote wellness, balance, and health in all aspects of your daily life.

Where does all your money go? : Learn how to get control of your money once and for all.

Certificate in Stress Management: Explore the physiological, social, and psychological impacts of stress and study modalities to get stress under control.

Keys to Successful Money Management: Certified financial planner shows you how most wealthy people build their fortunes.

 	
Biofuel Production Operations
The Biofuel Production Operations Online Training Program will give you the education you need to work as a biofuel production operator, inspecting and repairing equipment, operating computer systems, and handling lab equipment. 

 	
Building Analyst Quick Start
This program will teach you about the principles of green buildings—from insulation to indoor air quality—as well as how to perform comprehensive building assessments. 

 	
Certified Green Supply Chain Professional
Help your company achieve its environmental goals with the Certified Green Supply Chain Professional Online Training Program. Gain the skills you'll need to make a green impact on global sourcing, material management, procurement and buying, transportation and logistics, and new product development. 

 Certified Indoor Air Quality Manager
Are you a facility manager, building engineer, or health and safety officer who wants to improve the indoor air quality of your building? If so, the Certified Indoor Air Quality Manager Program is just for you. 

 Certified Indoor Environmentalist Prep
Would you like to become an indoor air quality or green building consultant? Would you like to better understand how to create a healthy home or building by preventing, diagnosing, and resolving indoor environmental problems? The Certified Indoor Environmentalist Program will help you take the next step in your career. 

 	
Natural Gas Plant Operations
For decades to come, natural gas will be produced and consumed in the United States, creating an ongoing demand for natural gas plant operators. This online program provides the fundamental technical background you need to get started in this field. 

 Performing Comprehensive Building Assessments
This program will give you a thorough understanding of the building assessment process, focusing on the skills you need to professionally conduct visual building inspections, perform diagnostic testing, determine improvement opportunities, and prepare a work scope that will guide the homeowner’s decision-making process for making the improvements. 

 	
Principles of Green Buildings
The Principles of Green Buildings (PGB) program explains the science that individuals in the building, remodeling, or trade industries need to know in order to make buildings perform more efficiently. 

 Senior Certified Sustainability Professional
Are you prepared for an exciting career as a leader in the green collar economy? The Senior Certified Sustainability Professional Online Training Program will prepare you to set the course and coordinate an enterprise's sustainability strategy. 

 	
Solar Power Professional
Learn the fundamentals of photovoltaic solar powered energy systems and gain the knowledge you'll need for an entry level position with a dealer, installer, or other photovoltaic industry company. 

 	
Wind Energy Professional
This entry-level Wind Energy Professional program prepares you for a career in the wind energy industry. 

http://careertraining.ed2go.com/easternct/sustainable-energy-green-programs 




",True,"Led by industry experts, GPRO Operations & Maintenance Essentials provides building professionals with the critical tools to transition from conventional to sustainable operations. GPRO O&M is ideal for facility managers and building maintenance staff responsible for state and municipal buildings, including; commercial buildings; colleges and university facilities, and local schools.This 14-hour certificate professional credential course is being offered to state employees at no cost, including the manuals and certification exam.",2014.0,http://www1.easternct.edu/sustainenergy/training-and-certification-2/,--
Elon University,2016-01-14,2016-01-14 09:32:55,edurr@elon.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--
Emory University,2016-02-29,2016-02-29 16:26:40,ciannat.howett@emory.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Endicott College,2016-03-01,2016-03-01 10:10:10,screight@endicott.edu,2.0,Pursuing,True,2.0,2.0,,We have had some lectures on campus that address sustainability ,--,,--,--,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:25,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Fort Lewis College,2016-03-27,2016-03-27 16:00:51,kehilimire@fortlewis.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--
Furman University,2016-02-22,2016-02-22 13:43:09,yancey.fouche@furman.edu,2.0,Pursuing,True,238.0,372.0,http://stars.aashe.org/media/secure/15/6/574/3583/EN-11%20Continuing%20Edu.xlsx,,True,Furman offers a Post-Graduate Diploma in Sustainability. ,2010.0,--,--
George Washington University,2016-02-29,2016-02-29 13:04:29,shannonross@gwu.edu,2.0,Pursuing,True,3.0,10.0,,"On March 13 and 14, 2014, GW Environment and Energy Law held a two-day program on ""The Role of Planning in Federal Land Management.""  A description of the program follows:
The program examined the role of planning in federal land management. Each of the principal federal land management agencies is required to engage in planning under its organic statute. The agencies also must conduct planning to comply with requirements under cross-cutting environmental and natural resource management laws such as the National Environmental Policy Act and the Endangered Species Act. It explored how successfully the federal land management agencies and other agencies whose missions include protecting federal lands and resources have incorporated long-term planning practices into their resource management strategies and whether Congress’s vision of a management regime based on planning has improved protection and use of federal lands and resources. It also identified opportunities for improvement and innovation in current planning practices.

On September 19, 2014 the Law School held a program on ""The Role of Adaptive Management in Addressing Uncertainty in Environmental Decision Making.""  A description of the program follows:

The purpose of the workshop was twofold.  First, Professors J.B. Ruhl of Vanderbilt Law School and Robin Craig of the University of Utah School of Law have proposed in a recent article changes to the Administrative Procedures Act that would, in their view, facilitate the wider use of adaptive management to address difficult environmental problems. They will present their ideas and seek the responses of the workshop participants.  Second, the workshop will provide an opportunity for participating government personnel in to share the latest thinking and developments in adaptive management in a roundtable format.  These sessions will provide a unique opportunity for the participants to understand how agencies are using adaptive management tools, the challenges being faced in utilizing adaptive approaches, and to share ideas about how to address these challenges.

On October 23, 2014 the Law School held a program on ""Submarine Cables in the Sargasso Sea.""  A description of the program follows:

The objective of the workshop is to start an informed dialogue between the Submarine Cable Industry and the newly established Sargasso Sea Commission regarding best environmental practices for the laying and maintenance of cables in high seas areas, such as the Sargasso Sea. The intended outcomes are a published report of the Proceedings and an Agreed Statement of ""Best Practices"" that might form the basis of an MOU.",--,,--,--,"(1) Our numerical response is specific to the Law School.
(2) The law school each year holds three annual conferences and a major two-day symposium that focus on sustainability issues which are open to a wide audience including alumni and the general public.  The symposium provides continuing education credits for lawyers who register for these credits.  The law school has sponsored events with the Society of Risk Analysis on environmental governance in the context of synthetic biology, the 40th anniversary of the National Environmental Policy Act and the Clean Water Act, environment and energy issues in public land planning, and sustainable energy, among others.  
(3) Several continuing education offerings relevant to this credit are offered by the Elliott School of International Affairs.  Partnerships for International Strategies in Asia of the Elliott School of International Affairs, offers an annual Global City in World Affairs Program for Administrative Officers of the Hong Kong SAR Civil Service. The eight-week interdisciplinary program includes several topics on sustainable planning, design and resilience to climate change. Participants engage in on-campus seminars as well as meetings with public officials in Washington and New York City about their cities' sustainability plans. 
In 2007, Partnerships for International Strategies in Asia launched the PISA Climate Initiative, which offered Leadership Institutes on Climate Change held in Hanoi, Washington, DC, Bangkok, and Nay Pyi Taw aimed at building capacity of public officials and civil society advocates to grapple with the interconnected impacts of climate change and bridge inter-ministerial divides. To date over two hundred delegates from six of the ASEAN member countries have taken part in these programs. 
PISA also sponsors the PISA-ASEAN Roundtable on Climate-wise Development, a series of public seminars that especially target representatives of the ASEAN member embassies in Washington. 
(4) The undergraduate Sustainability 1001 course allows Foggy Bottom (the city neighborhood where the main campus is located) residents to audit the course if interested.  To date, several residents have audited the course.
"
Georgia College & State University,2016-03-25,2016-03-25 19:09:40,doug.oetter@gcsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Gonzaga University,2016-02-29,2016-02-29 13:09:23,simonj@gonzaga.edu,2.0,Pursuing,--,--,--,,,--,,--,--,[check with IR]
Green Mountain College,2016-03-21,2016-03-21 15:55:32,ihrker@greenmtn.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Guilford College,2016-03-08,2016-03-08 08:08:40,corrybc@guilford.edu,2.0,Pursuing,True,38.0,713.0,,"ART 254: Sculpture and the Environment, BIOL 21: Environmental Science, BIOL 438: General Biology, CHEM 105: Chemistry of Recycling, ECON 344: Environmental and Resource Economics, ENVS 101: Intro to Environmental Science, ENVS 310: Advanced Practicum in Sustainable Agriculture, ENVS 350: Projects in Sustainability, ENVS 330/GEO 230: Environmental Pollution, GEOL 223: Hydrology, IDS 437: Barrier Islands: Ecology and Development, IDS 428: Agricultural Revolutions, IDS 472: Environmental Planning, IDS 482: Ecofeminism and Environmental Justice, PSCI 319: Modern Environmental Problems, PHIL 242: Environmental Ethics, SOAN 225: Culture and the Environment, BIOL 112: Interactive Biology, BIOL 151: HP: Evolution, BIOL 332: Invertebrate Zoology, BIOL 334: Animal Behavior, BIOL 336: Ornithology, BUS 215: Business Law and the Environment,  ENGL 151: HP: Lit and Hist of Key West, ENGL 228: American Nature Writing, GEOL 121: Geology and the Environment, GEOL 122: Historical Geology, GEOL 190: Terrior: The Science of Wine, GEOL 340: Images of the Earth, GST 250 Practically Bicycling,  HIST 212: American Frontiers, HIST 227: Urban Environmental History, HIST 312: Indians in American History, HIST 324: American Rivers, IDS 461: Nothin' But Disasters, JPS 103: Community Problem Solving, PSCI 318: Environmentalism in Early America, PSY 344: Environment of Psychology",--,,--,--,--
Hampshire College,2016-03-23,2016-03-23 09:59:06,bhooker@hampshire.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Harvard University,2016-02-29,2016-02-29 16:59:06,colin_durrant@harvard.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Haverford College,2016-03-02,2016-03-02 12:02:12,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:51,sustainability@hws.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Indiana State University,2016-03-29,2016-03-29 10:18:25,caroline.savage@indstate.edu,2.0,Pursuing,True,1.0,19.0,,"Healthy Hire Certificate
The Healthy Hire workplace wellness certificate is designed for health and non-health majors a solid background in, and functional understanding of, the seven dimensions of wellness (physical, intellectual, emotional, social, environmental, spiritual, and occupational). The goal of the program is to enrich students’ overall lifestyles and enhance their marketability for employment by teaching and encouraging healthy lifestyle choices.

Certified Peer Educator Training
Certified Peer Educator (CPE) training helps students develop the leadership skills necessary to develop and implement campus programs. CPE training covers skills needed by peer educators on health, wellness and safety topics such as: becoming a caring health helper, awareness on health and safety risks and prevention programs, how to make referrals for students at risk, conduct educational programs and events, increase leadership abilities, increase awareness of personal wellness, and teach team building.",True,"Certificate in Sustainability Leadership
The Sustainability Certificate program explores the interconnections between economic, social, and environmental issues toward a basic understanding of sustainability. Students will learn these principles in addition to effective leadership skills, empowering students in all areas of study to use their knowledge of sustainability to better society. Upon successful completion of this program, students will demonstrate leadership skills in sustainability and be able to apply these skills to their chosen field. ",2015.0,https://www.indstate.edu/career-center/skills-certificates/isu-certificate-programs,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:43:30,brownwm@indiana.edu,2.0,Pursuing,True,9.0,29.0,,"New Harmony: A Day Trip to Indiana's Most Amazing Place
Join us for this day of wonder as we visit historic New Harmony, Indiana, the site of two early American utopian communities. Professor Emeritus of History, James Madison, will be our traveling expert on this journey back in time to the early 1800's. Delve deeper into the ""Harmonie Society,"" led by George Rapp and later the ""Community of Equality,"" led by Robert Owen and his business partner, William MacLure.

A Tibetan Renaissance: The Role of Dalai Lamas & the Tibetan Intellectuals
The 17th and the 18th centuries in Tibet marked the beginning of a Tibetan Renaissance movement that left a lasting imprint on the culture and society of Tibet. Tibet in this period witnessed a sudden leap in printing, production of knowledge, painting, and poetry. We will explore the works of major literary figures of this period including: the Fifth Dalai Lama, Ngawang Lobsang Gyatso (aka ""the Great Fifth,""1617-1682), Dokhar Tsering Wangyal (1697-1763), Situ Choekyi Jungney (aka Situ Panchen; 1700-1774), and Doring Pandita (1721-1792). Take advantage of this rare opportunity to learn about these ancient religious and intellectual leaders.

More Spanish, Conversation Topics
¡Vengan a conversar! Come and join us for conversation in Spanish. Each week, we will focus on a specific theme, which we will develop through vocabulary, grammar, and conversation. Topics of discussion will cover our travel stories in the Hispanic world, cultural differences and similarities, a particular country of interest, and poetry or art. Conversation will be supplemented with the use of online resources such as news articles, videos, and pertinent texts available online.

A Journey on the German Fairy Tale Route
Join us as we travel along Germany's famous Fairy Tale Route, stopping at different points to take a closer look at the local culture and sample some of the folk tales that were originally collected by the Brothers Grimm. We will also investigate how traditional folk motifs resurface in Germany's national identity and are expressed in the literature and music of the German Romantic period.

Bentornati! Italian Conversation and Culture
Have you traveled to Italy recently and found it hard to return? Would you like to maintain and grow your Italian language skills while furthering your study of Italian culture and society? Then this course is designed for you! Through conversations in Italian, we will consider the traveler's experience of returning home. We'll also share discoveries and pleasant surprises encountered during our travels, as well as explore connections to Italian resources right here in Bloomington, Indiana. Each lesson will be supplemented with reading materials.

The Power of Words-and Pictures: Exploring the Graphic Novel
Join us as we explore the graphic novel format as a medium for transmission of important historical, cultural, and human experiences. Our conversation begins on September 10, with award-winning graphic novelist and Bloomington resident Nate Powell, who will share how he approaches a project, with a special focus on his work on the March trilogy with civil rights icon, John Lewis, and co-creator Andrew Aydin. He will share how he conducts research and works with the historical record and translates them into the compelling graphic images that have been hailed by critics for creating ""an astonishingly accomplished graphic memoir that brings to life a vivid portrait of the civil rights era, Lewis' extraordinary history and accomplishments, and the movement he helped lead... its power, accessibility and artistry destine it for awards, and a well-deserved place at the pinnacle of the comics canon."" In the second session, the MCPL's community engagement manager and long-time reader and student of comic books, Josh Wolf, will help us gain a broader understanding of the graphic novel format, as he places Nate Powell's illustrations and the March trilogy in the long tradition of visual storytelling that began with cave paintings and continues through digital media.

Noon at Noodles on the East Side
Features three diverse topics, two of which are:
Severe Weather: What Is It and What Can We Do About It?
Weather disasters costing at least $1 billion impact the United States five to six times each year. Worldwide, that number is over two dozen events annually. Why are these events so costly? Can we do anything to lessen their impacts? In this class, we will discuss some of the types of severe weather that produce major disasters-hurricanes, tornadoes, floods, and wildfires. Topics will include the science that causes these phenomena, how they move, how they produce damage, and how we can anticipate and prepare for them. We will also explore the tools that scientists use to monitor and track these disasters-including weather radar and satellite; among others.
Food, Sex, and Gender
A headline asks ""Is Food the New Sex?"" Marketers decide to sell bottled water with pink labels for women and blue labels for men. An artist carves a nude male torso out of butter and then lets it melt in the sun. What is going on here? Why is food such a deeply moral and political issue in so many cultures? This lecture will explore the way food is used to reflect and create gender and to promote (or inhibit) and express sexuality.

Lake Monroe Revealed!
The next time you drive across the Lake Monroe causeway on Highway 446, you might be surprised to learn that there is a lot more to the story than a scenic view. Join us for a boat ride on Lake Monroe this fall and learn about Indiana's largest lake, how it is a flood savior, it's value as Bloomington's water source, and is one of the few places for water-based recreation in southern Indiana. And guess what? Lake Monroe was not built by nature. Originally home to the Delaware and Miami tribes, followed by early settlers and farmers, the lake eventually flooded homes, roads, cemeteries, even whole towns. Why did this happen, how does it work, and what are the downsides of an engineering endeavor of this magnitude? Join us for a great day of learning on the lake!

Habitats of Southern Indiana and Their Inhabitants
This course, for interested nonexperts, will review the major habitat types of southern Indiana, changes in plant and animal communities wrought by indigenous peoples and by European colonization, and stresses that presently affect both habitats and inhabitants. We will have a lecture-discussion Wednesday evening followed by a field trip the following Saturday to Sycamore Land Trust's Beanblossom Bottoms Nature Preserve and the surrounding area, located in northern Monroe County. The field trip will involve gentle walking over flat land and boardwalks totaling approximately 2 miles, with frequent stops and occasional opportunities to sit. ",--,"IU Lifelong Learning does not offer certificates of any kind, rather, they offer a variety of individual courses.",--,http://lifelonglearning.indiana.edu/,"Sustainability courses are offered on occasion, but the classes change every year. The data included is for the 2015-2016 academic year. "
Juniata College,2016-03-23,2016-03-23 08:09:34,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:17:19,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:31:01,sustainability@knox.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--
Lehigh University,2016-02-29,2016-02-29 00:26:23,sustainability@lehigh.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:10,advorak@lclark.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--
Loyola Marymount University,2016-03-23,2016-03-23 14:02:43,ian.mckeown@lmu.edu,2.0,Pursuing,True,8.0,92.0,http://stars.aashe.org/media/secure/259/6/574/3583/STARS-LMU_Extension_Courses.docx,,True,Completion of each of the courses listed above results in a certificate for the subject matter. Please refer to these course descriptions listed in the file above. ,2009.0,http://academics.lmu.edu/extension/programs/,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:37,adurnbaugh@luc.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Macalester College,2016-01-06,2016-01-06 13:03:00,shansen2@macalester.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,"Macalester has occasionally donated space for use by the Experimental Community Education of the Twin Cities (EXCO-TC), whose leadership is comprised of some Macalester students. Sometimes, they offer sustainability related classes. For information: http://www.excotc.org/"
Maryville College,2016-02-11,2016-02-11 15:37:45,adrienne.schwarte@maryvillecollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:14,slanou@mit.edu,2.0,Pursuing,True,250.0,2200.0,http://stars.aashe.org/media/secure/756/6/574/3583/ContinuingEd_Classes_1.xlsx,"MIT OpenCourseWare (OCW) is a free, web-based publication of virtually all MIT course content. OCW is open and available to the world and is a permanent MIT activity. Continuing education is a hallmark of the OCW and has been accessed by over 125 million learners. Over 2,200 MIT courses are available to the global community, including hundreds of courses related to sustainability. For more information on specific course, please see:

http://ocw.mit.edu/courses/energy-courses 

http://ocw.mit.edu/courses/environment-courses/

http://ocw.mit.edu/courses/transportation-courses/ 

http://search.mit.edu/search?site=ocw&client=mit&getfields=*&output=xml_no_dtd&proxystylesheet=http%3A%2F%2Focw.mit.edu%2Fsearch%2Fgoogle-ocw.xsl&requiredfields=WT%252Ecg_s%3ACourse+Home%7CWT%252Ecg_s%3AResource+Home&sectionlimit=WT%252Ecg_s%3ACourse+Home%7CWT%252Ecg_s%3AResource+Home&as_dt=i&oe=utf-8&departmentName=web&filter=0&courseName=&q=sustainability&btnG.x=0&btnG.y=0

Also, through MIT's global free, on-line  massive open online course (MOOC) programs MITx and partner Edx, hundreds of continuing education courses are offered. https://www.edx.org and https://www.edx.org/school/mitx. Over 3 million people have taken Edx courses.",True,"EdX offers honor code certificates of achievement, verified certificates of achievement, and XSeries certificates of achievement. Currently, verified certificates are only available in some courses. Honor code certificates are available in others. XSeries certificates are earned by successfully completing a series of courses that make up an XSeries. Sustainability-related courses are included. ",2013.0,http://ocw.mit.edu/courses/environment-courses/,"Also see 

http://ocw.mit.edu/courses/environment-courses/ and 

https://www.edx.org/course"
McMaster University,2016-02-19,2016-02-19 09:37:36,naeemsh@mcmaster.ca,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Miami University,2016-03-02,2016-03-02 14:17:58,kliney@miamioh.edu,2.0,Pursuing,True,14.0,169.0,,"1. Tropical Ecosystems of Costa Rica
PURPOSE: To better understand the astonishing diversity and sustainability of tropical ecosystems. Students in this course work together to investigate the ecology and cultures of Neotropical Ecosystems: how they were formed, how they are changing and how we can make a difference.
2. Outdoor Leadership in Argentina
Students will spend the fall semester exploring concepts such as outdoor leadership, group dynamics, expedition behavior, and environmental ethics. Then the students will put theory into practice while backpacking through southern Patagonia over the winter break. Students will have the opportunity to hike on the Torre Glacier.  Students will guide their learning experience by way of practical immersion into the Argentinean culture and environment.
3. Tropical Marine Ecology
Students are introduced to the marine environments of the Bahamas and Florida Keys. They explore: Land Use Issues & the Florida Everglades Mangroves, Seagrass beds & Tropical Lagoons Coral Reefs, Associated Marine Communities Fossil Reefs Intertidal Zones, Sustainability in marine ecosystems, Climate disruption in coastal ecosystems. Days are spent in the field making observations and responding to questions and what we call ""ecosystem challenges."" 
The following courses are offered through the Institute for Learning in Retirement
4. Trash Talk, and tour of Mt. Rumpke (Landfill)
The landfill tour provides a first-hand look at where garbage goes when it leaves our homes and businesses. The tour includes a brief history of the company—family owned and operated for more than 80 years—and explanations of landfill construction, environmental protection, methane gas removal, leachate collection, and surface water controls. The tour emphasizes the importance of conserving landfill space and natural resources by recycling.
5.  Fall Neotropical Migrants
Fall Neotropical bird migrants are often a challenge to identify—hence the “confusing fall warblers” label. We will use the AREI bird banding stations to get a close look at these challenging species. The class will emphasize both bird identification and Neotropical bird conservation.
6. Guided Walks in Miami's Natural Areas
As we see the effects of urban sprawl growing closer to Oxford, we give thanks for the establishment of a greenbelt sanctuary – Miami University Natural Areas – of over 1000 acres with 17 miles of trails surrounding much of the university. Wildlife abounds: 121 species of birds have been seen and 61 species breed in the Natural Areas; beavers are found along Four Mile Creek. The area contains a good cross section of native species of trees, including Kentucky coffee tree, American hop hornbeam, pawpaw, Osage orange, American beech, and shingle oak. Each class we will hike a different section of the trail system to see the unique features and habitats each offers. 
7. Hobby Greenhousing
Learn about plant containers, buying plugs, propagation, specialty crops, watering and growing care, and soil and fertilizer mixes. Learn about different types of structures, coverings, and heating and cooling systems. Learn how to control insects and disease through an organic program emphasizing prevention, organic sprays, and beneficial insects. The basic costs and income potential of greenhouses will also be covered.
8. Let's go Krogering, Fall semester
Recycling – Things Kroger Does to be a Good Partner, Ordering System (C.A.O.),and the Kroger Big Picture (All of Kroger Companies!)
9. Our Nation's Troubled Transport
The road, rail, and air transport systems of the United States are overcrowded, deteriorating, inefficient, polluting, and underfunded. How did we get into this situation? What can be done about it? What innovations might we be seeing in the near future? How does this impact Oxford?
10. Wednesday Brown Bag
“Why the Buffalo Still Roam: A History of Zoos and Conservation” – Caryn Neumann (1 of 5 courses that demonstrate sustainability/ conservation) 
11. Bicycling for fun and fitness
The first session of this course will be in the classroom to discuss bicycle gearing, adjustments, safety, etc. The next three sessions will be bike rides on the Hamilton/Fairfield bike trail, the bike trail to the Rentschler Forest Preserve, and on the Miami Whitewater Trail. The fifth session’s final ride will be on nearby lightly travelled “country” roads. The instructor has commuted to work or school by bicycle for the last 40 years and has had many other bicycling experiences. He became a certified “Effective Bicycling Instructor” in 1990
12. Let's go Krogering, Spring semester
This course offers insights into the operation of the Kroger Oxford store. You’ll witness behind the scenes presentations and departmental demonstrations from one of America’s largest grocery store chain’s locations. Learn how the store integrates itself into the community, from the individual level up to what’s on the shelves.  Includes sessions on 
“Produce Growing Season(s): Where Products Come From, Costs of Items, and Growing Seasons Around the World” 
“Sustainable Seafood – Kroger’s Global Big Picture and What Our Store Offers”
“Alternative Foods – Living Healthier by Eating Healthier” 
13. Spring Neotropical Migrants
In the spring, most neotropical migrants are beautifully garbed as they wing northward to their nesting grounds. We will use the AREI bird banding stations to get an up-close look at these challenging species. The class will emphasize both bird identification and neotropical bird conservation. 
14. Walk into Spring
As we see the effects of urban sprawl growing closer to Oxford, we give thanks for a greenbelt sanctuary—Miami University Natural Areas—of over 1000 acres with 17 miles of trails surrounding much of the University. Wildlife abounds. 121 species of birds have been identified and 61 species breed in the Natural Areas. Beaver are found along Four Mile Creek. The area contains a good cross section of native species of trees, including Kentucky coffeetree, American hophornbeam, pawpaw, osage orange, American beech, and shingle oak. Each week we will hike a different section of the trail system to see the unique features and habitat each offers. 








           ",True,"Miami's Global Initiatives Programs offers online professional development programs through ed2go.  Ten programs are in the category of Sustainability and Growing Green.  Of these, the following three are designated as certificate programs:
Certified Green Supply Chain Professional
Certified Indoor Air Quality Manager
Senior Certified Sustainability Professional
and the following course prepares students to take a certification exam:
Certified Indoor Environmentalist 

",2013.0,http://miamioh.edu/global/continuing-education/non-credit/index.html,The list of continuing education courses covers Miami-created courses for FY2015.  It does not include ed2go courses.
Michigan State University,2016-02-16,2016-02-16 09:19:25,erhardt7@msu.edu,2.0,Pursuing,True,218.0,30877.0,,"1. LEED Training: AP + Building Design and Construction: Discover the real-world application of Green Building Design and Construction practices on LEED projects. Prepare yourself for the LEED AP+BD&C accreditation exam that (after passing) will allow you to operate as a successful LEED practitioner on and off job sites. 
2. LEED Training: Green Associate Exam Preparation: Acquire the fundamental concepts of green building. Then prepare yourself to take the Green Associate exam and earn the LEED Green Associate credential from the Green Building Certification Institute. The course is intended for design, construction and real estate professionals, building owners, or anyone who wants to develop their knowledge in this area. 
3. LEED Training: LEED for Existing Buildings - Operations and Maintenance Exam Preparation: This study group covers the concepts and strategies of the LEED for Existing Buildings Operations & Maintenance Rating System and is intended for design, construction and real estate professionals, building owners, and anyone who wants to develop their knowledge in this area. The course will prepare students to earn the LEED for Existing Buildings Operations & Maintenance Accredited Professional (LEED AP O+M) credential from the Green Building Certification Institute.
4. Birds & Coffee: Join an experienced guide on the second Wednesday of each month for a short, birding hike. Discuss the morning’s sightings over a cup of hot, bird-friendly coffee. 
5. Classes Without Quizzes: Join us for an exciting insider’s look at MSU’s innovative science research and education.  At Classes Without Quizzes, you’ll have the opportunity to:
•Interact with some of the best and brightest faculty and students at MSU;
•See and hear some amazing behind-the-scenes stories; and
•Catch up on the latest research
6. 4-H Classes – Sustainable Choices and Building Beds for Planting Workshop
7. Grand Parents University:  MSU Grandparents University is an opportunity for grandparents and grandchildren (ages 8-12) to come together for a three-day educational experience while spending time together on the MSU campus.Participants enjoy the college experience of living in the residence halls, attending classes across campus and sampling the many highlights of MSU. http://www.grandparents.msu.edu/
8. MSU Surplus & Recycling Classes: Composting Classes, Shizzle Work Shop, Flower Making Workshop, Glass Deco Making Class, Pre K Classes, K-3 Classes, 3-7th Grade Classes, High School Classes, College Classes/Tours, Bike Repair Workshop, Sustainable Plants Workshop, Hot Composting Class, Vermicomposting class. http://recycle.msu.edu/index.php/education/classes-and-workshops/ 
9. MSU Extension Classes: http://msue.anr.msu.edu/events ",True,"Forest Carbon Science, Policy and Management - Graduate Certificate. The Graduate Certificate in Forest Carbon Science, Policy and Management provides students with interdisciplinary training necessary to plan, manage, monitor and evaluate climate change mitigation projects that seek to retain or sequester carbon in forest ecosystems. Students will gain specific expertise needed internationally to participate in market-based, climate change mitigation activities such as the United Nations Collaborative Programme on Reducing Emissions from Deforestation and Forest Degradation ",2012.0,--,"MSU School of Social Work CE course offerings: http://socialwork.msu.edu/courses/index.php
MSU Office of the Registrar CEU Course System: https://reg.msu.edu/Forms/CEU/CEUIntro.asp
MSU Statewide programs and resources for Michigan professionals and practitioners: http://msustatewide.msu.edu/
MSU Recycling course/workshop offerings: http://recycle.msu.edu/index.php/education/classes-and-workshops/
MSU Bikes classes/workshops: http://bikes.msu.edu/?page_id=77
MSU ANR Extension: http://msue.anr.msu.edu/events
MSU Non-credit Education: https://noncredit.msu.edu/listCatalogs.action


"
