Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution make counseling, referral, and wellbeing services available to all staff?","Does the institution make counseling, referral, and wellbeing services available to all members of ...",A brief description of the institution’s wellness and/or employee assistance program(s),The website URL where information about the institution's wellness program(s) is available,"Does the institution make counseling, referral, and wellbeing services available to all students?","Does the institution make counseling, referral, and wellbeing services available to all faculty?",Public Notes
Denison University,2016-02-15,2016-02-15 15:55:39,kingje@denison.edu,2.0,Pursuing,True,**,The purpose of the Wellness Program is to provide faculty and staff with access to facilities and opportunities to receive information and assistance needed to work towards a more healthful lifestyle.   The scope of the program includes health risk appraisal/screening; physical fitness workshops and instruction; educational workshops such as smoking cessation and weight watchers; and spiritual and emotional wellness. ,--,True,True,--
Dickinson College,2016-03-08,2016-03-08 10:06:47,welkerm@dickinson.edu,2.0,In Progress,--,--,--,--,--,--,"Student Wellness Center http://www.dickinson.edu/homepage/138/wellness_center
"
Drew University,2016-03-25,2016-03-25 16:12:15,swald@drew.edu,2.0,In Progress,--,--,--,--,--,--,"
There is discussion of hiring a wellness coordinator for the next fiscal year."
Duke University,2016-02-26,2016-02-26 14:18:12,tavey.mcdaniel@duke.edu,2.0,Pursuing,True,**,"LIVE FOR LIFE, Duke's employee wellness program, offers a variety of programs and services, such as health assessments and education, smoking cessation programs, fitness activities and nutrition activities, to help eligible faculty, staff and family members reach their health and fitness goals. 

LIVE FOR LIFE's mission at Duke University is to support the goal of the Office of Human Resources in 1) providing programs and services to help Duke's people successfully accomplish the organization's missions, and 2) assist and support Duke's manager's in recruiting and retaining top-quality, diverse and healthy staff and to help develop an effective, productive workforce. 3) LIVE FOR LIFE will also promote a work culture and environment that supports healthy and safe behaviors/lifestyles.
http://www.hr.duke.edu/about/departments/liveforlife/index.php

Personal Assistance Service - Personal Assistance Service is the faculty and employee assistance program of Duke University. The staff of licensed professionals offers assessment, short-term counseling, and referrals to help resolve a range of personal, work, and family problems. PAS services are available free of charge to Duke faculty and staff, and their immediate family members.
http://www.hr.duke.edu/pas/
",http://www.hr.duke.edu/benefits/wellness/index.php,True,True,"This information is from the fiscal year 2014 report.

Duke offers a wide range of wellness services for students ranging from physical health to mental health. http://studentaffairs.duke.edu/duwell  Summary of services: The Student Wellness Center (DUWELL) helps students focus on their individual Wellness by looking at the integration of many areas of their life, including financial, social, spiritual, intellectual, mind-body, and environmental. Each of these dimensions of wellness is essential in maintaining harmony and balance in our lives.  We provide individual services, group outreach and act as consultants, as well as a hub of information, on wellness.
"
Earlham College,2016-03-03,2016-03-03 10:49:59,butchli@earlham.edu,2.0,Pursuing,True,**,"Earlham offers an Employee Assistance Program free of charge to all employees (regardless of benefits status) through MetLife Insurance. All employees are eligible to 3 consultations with a licensed clinician per incident, per individual, per calendar. Employees may choose between in person or telephone/virtual sessions. Consultations are available for legal, finanical childcare, identity theft, daily living services and more.

All students are eligible to meet with the college's counseling services and health services and can access a range of well-being services in those areas.

All students and full time employees receive full access to the Earlham Wellness Center including free fitness classes and use of fitness equipment.",http://www.earlham.edu/athletics-and-wellness-center/,True,True,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:23,stoddardl@easternct.edu,2.0,Pursuing,True,**,"Students have health and counseling services provided through Eastern's Division of Student Affairs.  Eastern also offers counseling services that provides mental health which promotes the psychological well-being of Eastern students. This is free to all students. Staff and faculty have an EAP (Employee Assistance Program) contract with a company called Solutions EAP.
Eastern also has an Office of Wellness Education and Promotion that works to support Eastern students, enhancing the capacity for academic and personal success by emphasizing physical, emotional, intellectual, financial, occupational, environmental, social and spiritual well-being. ",http://www1.easternct.edu/wellnesspromotion/,True,True,This information was taken from Eastern's Office of Wellness. 
Elon University,2016-01-14,2016-01-14 09:32:54,edurr@elon.edu,2.0,Pursuing,True,**,"Elon University’s RN Ellington Center for Health and Wellness houses the Faculty and Staff Wellness Center, Student Health Services, Student Counseling Services and Health Promotion. These offices provide well-being services as well as counseling and/or referral services both independently and collaboratively. 

The Faculty and Staff Wellness Center offers services including medical provider appointments (to treat minor illnesses such as flu, colds, etc.), lab and wellness screening tests, massage therapy, an employee assistance and counseling program through the local hospital and a smoking cessation program. Programming and activities offered through the Faculty/Staff Wellness Center include educational lunch and learn sessions, movement classes (Zumba, Yoga, Pilates, HITT classes, Weight Lifting) and wellness challenges, such as an annual pedometer competition program. The Faculty /Staff Wellness Center has also partnered with the university’s health insurance provider to provide a program called Healthy Outcomes. Healthy Outcomes gives employees the resources they need to live healthier and make healthier lifestyle choices delivered through an informative, easy to use website. The University also has an Employee Assistance and Counseling Program (EACP) that provides free confidential counseling for employees and dependents. 

Student Health Services provides acute care for illnesses and injury as well as woman and physical exams, health education and counseling, allergy injection service, prescription delivery service and vaccines and other injections. Student Counseling Services provides crisis intervention, psychological support, individual counseling, mental health wellness outreach and clinical collaboration. Health Promotion provides inclusive health programming, advocacy and outreach to support mental, physical and social well-being. The Office of Student Health and Wellness also coordinates additional wellness related activities for students including flu vaccine clinics, massage therapy appointments, maintenance of over 30 AED units on campus, and free Adult and Child CPR/AED Trainings. 

The Alliance for A Healthy Elon, a programmatic and service alliance committed to supporting the goals and strategies of the International Healthy Campus 2020 initiative, provides a framework for improving the overall health status on campus through the collaborative efforts of health, academic, student life, student organizations and administrative areas. The Alliance for A Healthy Elon is chaired by the Associate Vice President and Dean of Student Health and Wellness and brings together representation from all facets of campus to: 
•Identify current and ongoing nationwide health improvement priorities in higher education; 
•Increase campus community awareness and understanding of determinants of health, disease, and disability and the opportunities for progress; 
•Engage multiple stakeholders to take actions that are driven by the best available evidence and knowledge to strengthen policies, improve practices, and empower behavior change; 
•Collaborate to implement state of the art strategies, programs and initiatives to promote good health for all; 
•Identify and promote relevant assessment, research, and data collection needs. 

As part of the International Healthy Campus 2020 Initiative, The Alliance for A Healthy Elon has evolved to: include national health objectives for students and faculty/staff; promote an action model using an ecological approach; and provide a toolkit for implementation based on the MAP-IT (Mobilize, Assess, Plan, Implement and Track) framework.  The Alliance sponsors a variety of  wellness-related activities including Healthy Monday  outreach activities and an annual Wellness Fair that brings together over 50 wellness related organizations and vendors and is open to all students, faculty and staff.  

http://www.elon.edu/e-web/bft/wellness/ 

http://www.elon.edu/e-web/students/health_services/",--,True,True,--
Emory University,2016-02-29,2016-02-29 16:26:38,ciannat.howett@emory.edu,2.0,In Progress,--,--,--,--,--,--,--
Endicott College,2016-03-01,2016-03-01 10:10:08,screight@endicott.edu,2.0,Pursuing,True,**,The counceling center is open to the entire community.,http://www.endicott.edu/StudentLife/Counseling-Services.aspx,True,True,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:23,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--
Fort Lewis College,2016-03-27,2016-03-27 16:00:42,kehilimire@fortlewis.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Furman University,2016-02-22,2016-02-22 13:43:08,yancey.fouche@furman.edu,2.0,Pursuing,True,**,"The Employee Assistance Program (EAP) is sponsored by Sun Life as part of the University benefits offered to staff and faculty.  This program provides a wide range of services to help in areas such as personal problems, planning for life events, and managing daily life.  Programs include counseling services (managing relationships, stress, and grief), resources for work-life needs (finding child care, purchasing a car, and home repair), legal information resources (debt, divorce, and real estate), and financial information (tax and debt issues). 

The FIT Rx program is offered through the Department of Health Sciences.  Health Science majors provide individualized exercise-training sessions for faculty, staff, and spouses at no cost.  Participants receive personalized exercise training and are offered assessments of fitness, body composition, and dietary intake to gauge progress.  

Students also have accesses to a network of medical professionals.  Furman’s health services offer routine and emergency medical care, a women’s clinic, and a sports medicine/physical therapy center.  There is also a counseling center, which provides treatment for a variety of mental health issues such as anxiety, depression, stress management, and academic pressure.",--,True,True,--
George Washington University,2016-02-29,2016-02-29 13:04:31,shannonross@gwu.edu,2.0,Pursuing,True,**,"GW provides an employer-paid Employee Assistance Program that provides up to five in-person counseling sessions per issue for all employees.  In addition, GW pays for health advocacy services for employees to assist with finding providers, answering questions, and responding to medical billing issues.  GW also provides a GW-funded smoking cessation benefit, free flu shots, a Healthy Pregnancy Program, and a variety of other wellness programs.

For GW students, the University Counseling Center (UCC) serves as the primary mental health agency. Their mission is to support students' mental health and personal development by collaborating directly with students to overcome difficulties and challenges that may interfere with their academic, emotional and personal success.

Through individual and group counseling, crisis intervention, assessments and referrals, the UCC strives to provide students with ample opportunities to:

•develop greater insight and self-understanding

•identify and solve problems

•reduce emotional distress

•improve cognitive, emotional, academic and interpersonal functioning

In addition to direct clinical services, the UCC seeks to promote psychological health and wellness as a value to the GW community through outreach activities, partnerships and consultation initiatives with faculty, staff, administrators, family members and others in the campus community.
",http://hr.gwu.edu/health-wellness,True,True,--
Georgia College & State University,2016-03-25,2016-03-25 19:09:47,doug.oetter@gcsu.edu,2.0,Pursuing,--,**,"Counseling Services have developed a set of presentations for classes or organizations.  Some examples are:

    Alcohol Awareness
    Assertiveness
    Bafa Bafa (a cross cultural simulation)
    Career Choice
    Meyers Briggs Type Indicator/Personality Type
    Stress Management
    Study Skills
    Suicide
    Test Anxiety
    Test Taking
    Time Management
    Tobacco Jeopardy Game
",http://webcl.gcsu.edu/counseling,True,--,--
Gonzaga University,2016-02-29,2016-02-29 13:09:25,simonj@gonzaga.edu,2.0,Pursuing,True,**,"Health Activities
•	Employee Fitness Classes
•	Get Moving GU
•	Rudolph Fitness Center
•	Susan G. Komen Race for the Cure 

Early Intervention
•	Biometric Screening
•	Onsite Mammograms
•	Personal Health Assessment
•	Ergonomics
•	Onsite Flu Shots
•	100% Preventive Care-Medical/Dental Coverage

Health Education
•	Monthly Speaker/Wellness Events 
•	Christmas Event
•	Health Matters Newsletter
•	CPR Certification

Lifestyle Programs
•	ZAGFit Challenge
•	Health Fair
•	Smoking Cessation
•	Wellness Committee
",http://www.gonzaga.edu/Campus-Resources/Offices-and-Services-A-Z/Human-Resources/Benefits/Wellness/,True,True,Information gathered from Human Resources
Green Mountain College,2016-03-21,2016-03-21 15:55:31,ihrker@greenmtn.edu,2.0,Pursuing,--,**,"Counseling, referral and wellbeing services are available for all students. Some of these services are also available for faculty and staff, but not all the services are available to all the faculty and staff on a regular basis. 

The Wellness Center at Green Mountain College provides mental health counseling, wellness and health promotion programs and medical referral services for enrolled students. Students can access these services by calling or walking into the Center. The Wellness Center is staffed by two licensed mental health professionals. 

Full-time faculty and staff have both inpatient and outpatient mental health care provided through the institution's medical insurance provider. The Wellness Center staff provide crisis intervention and critical incident debriefing services for the entire campus community including faculty, staff and students. 

Wellness programs sponsored by the center such as yoga, tribal dance and open movement studio sessions are also open and free for all faculty, staff and students.        ",http://www.greenmtn.edu/wellness.aspx,True,--,The performance year for this credit is FY 2014. 
Guilford College,2016-03-08,2016-03-08 08:08:39,corrybc@guilford.edu,2.0,Pursuing,True,**,Through our medical provider we have a program called CARE 24 which allows employees to contact a medical professional (usually a nurse) at any time and get referrals for serious issues. The college provides significant monetary incentives for all employees to get annual physical exams. Counseling services are available to all members of the college community through our Counseling Services Department.,http://www.guilford.edu/student-life/health-safety/index.aspx,True,True,--
Hampshire College,2016-03-23,2016-03-23 09:58:57,bhooker@hampshire.edu,2.0,In Progress,--,--,--,--,--,--,"Information provided by Human Resources, assistant director Dianna Williams."
Harvard University,2016-02-29,2016-02-29 16:59:04,colin_durrant@harvard.edu,2.0,Not Pursuing,--,--,--,--,--,--,http://evp.harvard.edu/news/new-mindfulness-programs
Haverford College,2016-03-02,2016-03-02 12:02:11,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,"Information submitted by Chris Chandler, Director of Human Resources."
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:50,sustainability@hws.edu,2.0,In Progress,--,--,--,--,--,--,--
Indiana State University,2016-03-29,2016-03-29 10:18:16,caroline.savage@indstate.edu,2.0,Pursuing,True,**,ISU started a wellness program in 2012 to make employees more aware of their health.  We work with Spectrum for a wellness coordinator. We currently provide an incentive for employees that participate in the wellness program.  All employees have access to a newly developed recreation center since 2011.  We provide support for people through a smoking cessation program.  ,http://www.indstate.edu/humres/docs/2014EmployeeHealthPlanWellnessRecommendationsBOT_Mtg2013May.pdf,True,True,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:43:39,brownwm@indiana.edu,2.0,Pursuing,True,**,"1.) Indiana University system-wide provides Full-time Academic and Staff employee and their household members’ access to an Employee Assistance Program (IUEAP). An eligible participant has access to telephone helpline 365/24/7 and, with an EAP referral, may receive up to six face-to-face visits with a professional counselor. 

IUEAP services are confidential and voluntary, and include assistance for depression, stress and anxiety, conflict in the workplace, drug and alcohol abuse, family and marital problems, and grief and loss.

Supervisors may use IUEAP services as a resource for guidance in dealing with a troubled employee. In the event of a traumatic situation in the workplace, counselors can make onsite visits to provide critical incident debriefing.

All fees for the IUEAP program are paid by the University. There is no cost to employees for IUEAP services.

2.) IU also has a program called Healthy IU. This program aims to make healthy options easy and available for employees. This includes tools for living well, access to wellness classes, nutrition counseling, and opportunities for physical activity on campus with other employees. 

The mission of Healthy IU is:
""Recognizing that employees perform their best when they are healthy and that optimal employee performance is necessary for Indiana University to be the preeminent institution of higher education in Indiana, Healthy IU exists to empower, educate, and provide necessary tools for healthy living for the university-wide campus community with specific focus on benefit-eligible employees and their covered family members.""
",http://www.indiana.edu/~uhrs/benefits/eap.html,True,True,"A much broader employee health and wellness initiative is ""Healthy IU"", Indiana University’s employee wellness program which provides resources, programs, and workshops are free for faculty and staff and their spouses/partners. healthy.iu.edu"
Juniata College,2016-03-23,2016-03-23 08:09:24,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:17:09,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:30:52,sustainability@knox.edu,2.0,Pursuing,True,**,"The College has an Employee Assistance Program that provides up to five free counseling session per year per immediate family member. 

We also have a part-time Wellness Coordinator who does dozens of programs and leads initiatives ranging from regular preventative healthcare screenings and weekly yoga and massage to faculty/staff show-and-tell lunches and wellness contests.",http://www.knox.edu/offices/human-resources/wellness-programs.html,True,True,--
Lehigh University,2016-02-29,2016-02-29 00:26:22,sustainability@lehigh.edu,2.0,Pursuing,True,**,"Lehigh University encourages its entire community to commit to a healthy and active lifestyle. 

Students have Health & Wellness Center that provides information and services related to gynecology, labwork, injections, sexual health, medical equipment and a resource and relaxation room.

 The university’s Employee Wellness Program provides programs, resources, and activities that promote a healthy campus to faculty and staff. Lehigh's Be Well:Mind Body Spirit initiative provides incentives and rewards for making positive choices in every part of employee life.",https://hr.lehigh.edu/benefits/wellness,True,True,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:12,advorak@lclark.edu,2.0,Pursuing,True,**,"As a Lewis & Clark employee you have a number of wellness activities and education opportunities available to you.

    Annual Wellness Fair
    Professional Wellness Coaching
    Health Risk Assessment
    Organized Activities
",http://www.lclark.edu/offices/human_resources/employee_resources/benefits/wellness/,True,True,--
Loyola Marymount University,2016-03-23,2016-03-23 14:03:01,ian.mckeown@lmu.edu,2.0,Pursuing,True,**,"Student program(s):
http://studentaffairs.lmu.edu/healthwellness/

The Student Health Center and Student Psychological Services are open to current students in an effort to make life on campus a safe and healthy experience. In addition to these services, the Fitwell Center offers nutritional guidance and personal fitness assessment.
Student Health Services (SHS) strives to create a safe and healthy campus community for all by providing those services, opportunities, and experiences which support academic pursuits and personal development. 

Student Health Services is a full service medical office and is accredited by the Accreditation Association for Ambulatory Health Care (AAAHC). Our health care team includes physicians, nurse practitioners, registered nurses, an x-ray technologist, and trained support staff. 

Student Psychological Services (SPS) provides confidential individual and group therapy; walk-in consultations; emergency psychological services; and psycho-educational outreach programming.  SPS also offers psychological consultation to students, faculty, staff, or parents who are concerned about a student. There is no charges for our services.

Fitness and Wellness Programs stretch, strengthen, tone, breathe and sweat. That’s the regimen you’ll go through as you increase your fitness level and improve your mental, physical and spiritual well-being. 

Located on the first floor of the Burns Recreation Center, the FitWell Center is committed to providing health and wellness programming and education for the entire campus. Offerings include a variety of group exercise classes, personal training packages, nutrition consultations, massage therapy, fitness assessments and specialized wellness presentations

LMU Campus Awareness Resource Education Services (CARES) provides education to the campus community about resources, support and policies at the university regarding sexual and interpersonal misconduct and prevention. ‌


Staff/faculty program(s):
LMU is launching the MyWellness Rewards Program to support you and your family as you get healthy and stay healthy. This program offers many resources to support your healthy living journey. You'll find a variety of classes, workshops and programs to encourage and motivate work/life balance. Make sure to look for updates on the MyWellness Incentive Program, you can earn points to win big prizes! Click ""Track Your Progress"" on the home page to track your fitness and health activity.
http://studentaffairs.lmu.edu/athleticsrecreation/burnsrecreationcenter/fitnesswellness/facultystafffitness/
LMU's Wellness Program understands that good health is more than the absence of major illness.  Paralleling with Jesuit and Marymount traditions, the programs encompass 'wellness' as the view of one's self from a whole perspective and focuses on the inseparability of the physical, emotional and spiritual aspects of an individual.  A wide spectrum of holistic health, mind/body, fitness and wellness classes, workshops and programs are offered to LMU faculty and staff to encourage and support work/life balance. 
http://www.lmu.edu/about/services/hr/Benefits/well.htm

To help faculty/staff members deal with personal issues and concerns, LMU offers an Employee Assistance Program (EAP) at no cost.  The EAP provides confidential service by experienced, licensed professional counselors who can help faculty/staff members and their household members deal with issues such as depression, marital and family issues and substance abuse.  The program also includes services for work/life issues, such as legal and financial services, work/career conflict resources and child care/elder care resources.  All full-time faculty/staff members and their household members are eligible for the EAP.  EAP counselors are available 24 hours a day, seven days a week.  The EAP is completely confidential.

 Medical, Dental & Vision Coverage

All full-time faculty, full-time, regular and full-time term staff members are eligible to participate.  Eligibility commences on the first of the month following the faculty/staff member's employment date.

Medical, Dental & Vision Coverage. The LMU benefits program allows its faculty and staff members to select his/her own personalized package by choosing from a variety of benefits.  As part of its benefit offering, the University pays a portion of the cost of a faculty/staff member's health care plan.
http://admin.lmu.edu/hr/benefits/medicaldentalvisioncoverage/",http://admin.lmu.edu/hr/benefits/employeeassistanceprogram/,True,True,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:35,adurnbaugh@luc.edu,2.0,Pursuing,True,**,"Loyola University Chicago's Wellness Program offers free biometric screenings, monthly education programs, and University sponored athletic events to help the Loyola community achieve a healthier lifestyle. The Employee Assistance Program (EAP) is a free program  that supports employees as well as their families in coping with a variety of issues that encompasses both their professional and personal lives. By improving the quality of life of employees, EAP also helps to ensure a productive and efficient work environment.  EAP counselors are trained to deal with problems ranging from relationships to financial woes. If additional help is needed, they can refer employees to the appropriate professionals. ",http://www.luc.edu/hr/wellness/index.shtml,True,True,--
Macalester College,2016-01-06,2016-01-06 13:02:59,shansen2@macalester.edu,2.0,Pursuing,True,**,"The WHAM (Wellness and Health at Macalester) program aim is to develop a culture of wellness at Macalester College and promoting and supporting healthy lifestyle choices for faculty, staff, and students.

The mission of the WHAM Committee is to foster a working and learning environment which promotes healthy lifestyle choices by increasing awareness, providing educational opportunities, and supporting lifestyle changes. Healthier lifestyles among faculty, staff, and students will in turn create happier, more productive individuals who benefit themselves, Macalester, and the greater community.

The WHAM Committee is composed of faculty and staff who are interested in promoting health and wellness at Macalester.
WHAM sponsors a variety of initiatives including classes, workshops, and other events or activities. The committee also provides health and wellness resource information and materials for the Macalester community. 

Description of Student Wellness Program
The health promotion program is led by a professional health education specialist. The vitality and energy of the program is enriched by a diverse team of students who work together - offering education and initiatives to enhance the health of their peers. As Macalester students, the student health promotion team offers unique perspectives on their community's needs and interests. Our main mission is to create a campus environment in which students feel empowered to make healthy choices for themselves that contribute to their overall personal and academic success.


From the Employment Services Wellness and Wellbeing - Faculty and Staff
Welcome to the Macalester Wellness & Well-being Faculty and Staff website. The site was designed to support and promote individual and community health at Macalester. It's your one-stop-shop for information to help you enhance your physical, financial, social and emotional health. Here you'll find:
1) Wellness Blog: Guest writers will periodically post entries on a variety of topics related to well-being. 
2) Well-being Benefits and Incentives: Stay up to date on the latest events and activities happening across campus, and learn about the incentives being offered for your participation.
3) Classes and Programs: Learn about offerings from WHAM and our Well-being Program
4) Links and Resources: Connect to the Mayo Clinic, HealthPartners and the National Wellness Institute, among others.
5) Wellness Coach: Get to know Macalester's Wellness Coach, Kelly Fang, and schedule an appointment.
6) Macalester Facts: Learn about our community related to well-being.
7) Health and Well-being Books: Preview the library's extensive offering of titles related to well-being available for check out.",http://www.macalester.edu/wham/,True,True,--
Maryville College,2016-02-11,2016-02-11 15:37:43,adrienne.schwarte@maryvillecollege.edu,2.0,Pursuing,True,**,"A wellness program at MC, facilitated by a part-time Director of Wellness, was implemented in 2007 to meet the goal created and approved by a wellness task force: ""Each member of the Maryville College community is intentionally engaged and supported in a lifelong process that promotes optimum health.""

Counseling services are made available, free-of-charge, for all students, faculty, and staff. The counseling staff consists of the Director of Counseling and a part-time intern. 

Beginning in 2013, all benefit-eligible employees have had access to outside confidential counseling services for things such as substance abuse, family and marital counseling, work-related issues, etc. which are paid for by the college.",http://www.maryvillecollege.edu/campus-life/student-services/student-development-services/wellness/,True,True,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:12,slanou@mit.edu,2.0,Pursuing,True,**,"MIT Medical’s Mental Health and Counseling Service is a resource for the entire MIT community: Students, Employees, Faculty, Staff, and Family members. MIT Medical offers assistance to individuals dealing with personal concerns including anxiety, depression, relationship problems, or stress.

They also provide consultation and guidance to friends, roommates, faculty members, family members, and others who are concerned about the wellbeing of an MIT student or any other member of the Institute community.

Any member of the MIT community can use the Mental Health and Counseling Service without a referral. Mental health and counseling services are free for students; copayments may be required for employees. Employees with a health plan other than the MIT Health Plan may be charged for visits.",http://medweb.mit.edu/directory/services/mental_health.html,True,True,--
McMaster University,2016-02-19,2016-02-19 09:37:34,naeemsh@mcmaster.ca,2.0,Pursuing,True,**,"There are multiple programs here at McMaster that are designed to help both staff and students. Below are programs

Student Wellness Center

The Student Wellness Centre is the place on campus to address your wellness needs. By providing a wide range of Counselling Options, Medical Services and Wellness Education resources, we hope that we can enhance your academic success and your McMaster experience.

BioSphere

BioSphere is the environmental sub-committee of the McMaster University Biology Society. An enthusiastic group dedicated to improving environmental awareness in the Hamilton area and beyond. ~ BioSphere website

Student Accessibility Services (SAS)

Student Accessibility Services (MUSC B107) offers various supports for students with disabilities - assistive technology support, learning strategies, note taking programs and classroom accommodations. 

Diversity Services

MSU Diversity Services aims to build and maintain a campus that celebrates, advocates and ensures that the McMaster campus is an inclusive and diverse community in areas including, but not limited to, ethnicity and culture, faith and spirituality, gender, ability/disability and sexual orientation. ~Matthew DeClerico, Director 08/09 

Emergency First Response Team (EFRT)
Trained in first aid to respond quickly to campus situations

Employee & Family Assistance Program (EFAP)

The EFAP provides you with access to confidential counselling services 24 hours a day, seven days a week, at no cost to you. Practical online resources for improving health and well-being offer you the choice of learning at your own pace and on your own schedule. McMaster's EFAP provider is Homewood Human Solutions and their website can be accessed here.

Employee Health Services

Supporting our employees is our most important role. At McMaster University we provide programs and services to help employees lead healthier lives, in and out of the workplace.

Employee Health Services is available to assist you in maximizing the relationship between your job and your health.  We are committed to supporting employees in returning to work following an injury or illness, facilitating workplace accommodations and fostering healthier work environments.

We provide on-site occupational health resources which gives employees access to specially trained medical personnel.

Our core programs and services include:

Managing injury, illness leaves and attendance support
Workplace Accommodation

",http://www.mcmaster.ca/sustainability/hw_staff.html,True,True,--
Miami University,2016-03-02,2016-03-02 14:17:56,kliney@miamioh.edu,2.0,Pursuing,True,**," Miami University believes that providing work-site resources to support and encourage healthy lifestyles/behaviors for employees and dependents creates a foundation for individuals to pursue a higher quality of health which leads to long term increases in productivity and decreases in health care costs. 
 Our healthy work environment offers access to the following onsite, no cost services: fitness programming (fitness room, group classes and personal training), ALA Freedom from Smoking classes, health coaching and healthy eating series facilitated by a registered dietitian, flu vaccine clinic and mobile mammography. 
Miami's health care plan provides 100% preventive care coverage ( implemented prior to healthcare reform), and 100% coverage for certain diabetes and asthma medication.  

Additionally, employees and spouses enrolled in Miami's Healthy Miami Premium Discount Program may receive a health insurance premium discount for completing the following steps: health assessment, biometric screening, tobacco free certification or completion of ALA Freedom from Smoking class, primary care physician wellness visit, and age/gender appropriate preventive screenings (Breast Cancer, Cervical Cancer and Colon Cancer), and have access to an onsite convenient care clinic.  The premium discount program has increased compliance with preventive screenings and increased participation/completion of the ALA Freedom from Smoking class.  Employees sharing individual success stories have been instrumental in developing our culture of health.
The employee assistance program provides counseling, legal, financial and family services. ",http://www.units.miamioh.edu/humanresources/benefitswellness/,True,True,--
Michigan State University,2016-02-16,2016-02-16 09:19:26,erhardt7@msu.edu,2.0,Pursuing,True,**,"The MSU Health4U program/services focus on: emotional wellness, health consumerism/self-care education, movement/fitness, nutrition, and tobacco cessation. More information is available at: http://health4u.msu.edu and http://eap.msu.edu.",http://health4u.msu.edu/,True,True,"In addition to the Olin Health Center located on campus (for students, faculty and staff use), each of the five student neighborhoods have a health and wellness center located in their engagement center. See http://neighborhoods.msu.edu/. "
Middlebury College,2016-03-25,2016-03-25 14:03:16,jmbyrne@middlebury.edu,2.0,Pursuing,True,**,"Middlebury College offers a confidential Employee and Family Assistance Plan (EFAP) for active employees, their immediate family members (including parents, siblings, children, spouses/partners, grandparents, and grandchildren) and others residing in the employee's home. EFAP provides counseling and referral services for a range of quality of life issues: alcohol and/or drug abuse, marital difficulties, child/parent relationship concerns, or other personal or family situations, including legal and financial counseling services.  ",http://www.middlebury.edu/about/handbook/employee/benefits/efap,True,True,The College will launch a new comprehensive wellness website in the spring of 2014. 
Mills College,2016-02-29,2016-02-29 23:53:53,ngaetjens@mills.edu,2.0,Pursuing,True,**,"The Benefits Manager manages a comprehensive wellness program for faculty and staff. There is a Wellness Advisory Committee with representatives from across campus that organize an annual Health and Wellness Fair. Programs run in association with the Athletics, Physical Education and Recreation Department. There is a lecture series on diet/health.

Counseling and Psychological Services (CPS) offers confidential individual and crisis counseling, as well as periodic workshops and support groups. As a Mills student, you are eligible for up to eight counseling sessions each academic year free of charge. At CAPS, you can also find information on stress management and other topics, or get referrals to off-campus resources for ongoing psychiatric and mental health services.

The Office of Wellness and Community Outreach provides the following services: Student Health Plan administration, wellness promotion, educational programs, and individual support to students; including referrals to providers and community resources. As liaison to the Student Health Center, the manager’s role is to help students navigate services and follow up on students’ feedback regarding their experiences at the Student Health Center.",http://www.mills.edu/student_services/health_and_counseling/,True,True,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:12,neapple@mtholyoke.edu,2.0,In Progress,--,--,--,--,--,--,http://www.mtholyoke.edu/hr/eap.html
Muhlenberg College,2016-03-23,2016-03-23 10:27:36,kprocyk@muhlenberg.edu,2.0,In Progress,--,--,--,--,--,--,--
Naropa University,2016-02-29,2016-02-29 17:16:50,acook@naropa.edu,2.0,Pursuing,True,**,"A free support program that offers employees and their families up to 4 in-person sessions per family member per issue, with phone access to legal counsel.",http://www.eapadvantage.com/,True,True,--
