Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Has the institution assessed diversity and equity in terms of campus climate?,A brief description of the campus climate assessment(s) ,Has the institution assessed student diversity and educational equity?,A brief description of the student diversity and educational equity assessment(s),Has the institution assessed employee diversity and employment equity?,A brief description of the employee diversity and employment equity assessment(s),Has the institution assessed diversity and equity in terms of governance and public engagement?,A brief description of the governance and public engagement assessment(s),The website URL where information about the assessment(s) is available,Public Notes
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:18,stoddardl@easternct.edu,2.0,Pursuing,True,"Eastern has a campus climate subcommittee of the Social Justice Committee that administers a campus climate survey to the whole university to assess existing perceptions of the campus environment. The Institutional Viability subcommittee focuses on issues with admission and retention of students, faculty, and staff in order to maintain a diverse community.  The subcommittee uses institution viability data including hiring, admissions, recruitment, promotion, and retention for assessing diversity initiatives and progress. The Academic Programming sub-committee focuses on the academic departments by facilitating the development of opportunities for interdepartmental collaborations that support the diversity mission.  The Institutional Programming sub-committee focuses on the non-academic departments in facilitating the development of opportunities for interdepartmental collaborations that support the diversity mission.",True,"Here is a link to the diversity and educational equity assessment from the past year:

http://www1.easternct.edu/equityanddiversity/diversity-social-justice-council/",True,These university wide assessments are conducted every couple of years and are used to facilitate the campuses strategic plan efforts. ,True,"http://www1.easternct.edu/equityanddiversity/links/

Campus Climate Sub-CommitteeCreating a welcoming campus environment enriches campus life and individuals to reach their potential. In the fall of 2007 President Nunez requested that the DRJ Committee administer a campus climate survey to the entire university community (students, faculty and staff) in order to assess perceptions about the existing campus climate. This was the first time that such an extensive survey had been administered at Eastern. A campus climate survey was developed by the Diversity Race and Justice (DRJ) Committee in the spring of 2008 and was administered in the spring and fall of 2008. The purpose of the survey was to provide baseline data about the perceptions of the university campus climate by different segments of our population. A major benefit of doing such a survey is that the data can be used to help us institutionalize the university core value of “inclusion”. The Campus climate sub-committee is charged with the continued monitoring and redistribution of this survey.",http://www1.easternct.edu/equityanddiversity/diversity-social-justice-council/,This section was completed using notes taken during a meeting with Dr. Stacey Close. 
Elon University,2016-01-14,2016-01-14 09:32:49,edurr@elon.edu,2.0,Pursuing,True,"Elon University is committed to creating a pluralistic and inclusive environment for every member of the campus community. We seek to cultivate a campus climate that fosters the inclusion and engagement of everyone, regardless of individual differences in order to achieve the highest level of academic excellence. 
Elon University’s Office of Institutional Research assists with institutional surveying efforts. The following administered surveys address diversity and equity in several questions. The Freshmen Survey is a national survey administered to first-year students each Fall. Your First College Year is a national survey administered to first-year students each Spring. The National Survey of Student Engagement is a national survey administered to first-year students and seniors each Spring. The Higher Education Research Institute (HERI) Faculty Survey is administered every third year. In addition, the Elon University Center for Race, Ethnicity and Diversity Education regularly seeks feedback from students. For example, they administered a survey focusing on diverse experiences and perceptions of undergraduate students in Spring 2011. Elon's Inclusive Community Council conducted focus groups, administered a student survey in Fall 2011 and a Faculty/Staff survey in Spring 2012 concentrating on the University’s campus climate as related to diversity. 
During the 13-14 academic year, a Presidential LGBTQIA Task Force was assembled and charged with making recommendations to improve the broader campus environment for Elon's LGBTQIA members. The Task Force researched best practices, met with various groups on campus and conducted surveys - one for students and one for faculty and staff. A report with recommendations was produced. Action on those recommendations continues. 
The President's Task Force on Black Student, Faculty and Staff Experiences was charged with making recommendations to help the Elon University community become a more supportive academic, work and residential environment for African/African American/Black students, faculty and staff. As part of this effort, the Task Force conducted a survey in December 2014. The Task Force submitted a report with recommendations in July 2015. Actions have already been taken on the recommendations and will continue.",--,,--,,--,,--,--
Emory University,2016-02-29,2016-02-29 16:26:33,ciannat.howett@emory.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,Committee on Class and Labor Report and Recommendations--http://news.emory.edu/stories/2013/01/er_class_labor_report/campus.html
Endicott College,2016-03-01,2016-03-01 10:10:04,screight@endicott.edu,2.0,Pursuing,True,"Endicott tracks ethnic diversity on a yearly basis.  In addition, two-full time employees have been hired with a focus to increase diversity on campus.  One is dedicated to research and identifies social media best practices to attract a diverse following.  The other assists in the recruitment of students seeking admission to the college with regard to prospective minority students.

Diversity and equity are among the College's Key Performance Indicators that are tracked annually ",True,Student diversity and equity are among the College's Key Performance Indicators that are tracked annually ,True,Diversity and equity are among the College's Key Performance Indicators that are tracked annually ,--,,--,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:19,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Fort Lewis College,2016-03-27,2016-03-27 16:00:22,kehilimire@fortlewis.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Furman University,2016-02-22,2016-02-22 13:43:03,yancey.fouche@furman.edu,2.0,Pursuing,--,,--,,--,,--,,--,--
George Washington University,2016-02-29,2016-02-29 13:04:26,shannonross@gwu.edu,2.0,Pursuing,True,"In 2011, through surveys, focus groups, and formal and informal discussions with students, faculty, staff and alumni, the University assessed the campus diversity and inclusion climate. Additionally, the President's Council on Diversity and Inclusion 
held open forums, with the university President and senior leadership on the main Foggy Bottom campus and the Virginia campus and gathered feedback from over 300 students, faculty, staff, trustees and others from the broader D.C. community.  The information gathered during this process, led to the adoption of the official GW Statement on Diversity and Inclusion, in 2012, as well as the creation of the Office for Diversity and Inclusion.  The report continues to guide the work of the Office of Diversity and Inclusion.

In 2015, an online survey of student perceptions of community, climate and interactions was administered.  This survey will be conducted annually to inform and shape inclusiveness strategies. ",True,"The annual senior surveys and graduate student surveys are analyzed to assess diversity and equity issues.  In Spring 2014, students were surveyed to get information about the climate for preventing, reporting and responding to incidents of sexual assault.  

During the 2013-14 academic year, a formal audit of multicultural services was conducted by an external review team.  The project's data gathering included student interviews, focus groups, site visits, interviews with key campus officials, program assessments, and review of existing student and alumni survey results.

The 2015 online survey referenced above in response to PA-5 contained questions regarding student diversity and educational equity",True,"The university participated in the Chronicle of Higher Education's Great Colleges to Work for in 2012. Employees evaluated the university in 12 categories, such as job satisfaction, teaching environment, and benefits.",True,"To act on the information gathered by the President's Council on Diversity and Inclusion, in the 2013 academic year, a consultant was hired to assess GW's capacity to implement a supplier diversity program and recommend best practices in place at other universities.  As a result, new software was purchased and new training programs for minority vendors was instituted.

The Center for Civic Engagement implemented a strategic planning process in academic year 2013.  A key element included an analysis of feedback from community partners, donors, and program participants, as well as other key student, faculty and staff constituents.  The Center adopted a five-year strategic plan that is an extension of the newly adopted GW Strategic Plan.  A new customer relationship management tool will be identified and acquired by academic year 2015 - 2016 to better enable ongoing assessment.

A recent gift from a donor will allow the center to expand efforts to promote active citizenship and diversity awareness as well as to  enhance teaching, learning and scholarship through civic engagement. ",https://diversity.gwu.edu/sites/diversity.gwu.edu/files/downloads/First_report_of_the_PCDI.pdf,--
Georgia College & State University,2016-03-25,2016-03-25 19:09:25,doug.oetter@gcsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Gonzaga University,2016-02-29,2016-02-29 13:09:20,simonj@gonzaga.edu,2.0,Pursuing,True,"Student Surveys in 2010 and 2012, Staff Surveys in 2008 and 2011, Faculty Surveys in 2009 by the Campus Climate Committee",--,,--,,--,,--,--
Green Mountain College,2016-03-21,2016-03-21 15:55:20,ihrker@greenmtn.edu,2.0,Pursuing,True,"The biennial social and human capital survey given to students, staff, and faculty assesses campus climate around diversity and equity. The last survey was conducted in the spring of 2014 and the next will be completed in 2016. The survey asks participants to indicate the extent to which they agree with the following statements:
1) Green Mountain College demonstrates a strong commitment to incorporating diversity awareness into the curriculum.
2) Diverse perspectives are encouraged at GMC.
3) GMC’s goals of creating diverse learning and social communities are clear.
4) GMC demonstrates a commitment to social justice.

In 2014, a majority of the respondents answered ""somewhat agree"" or ""strongly agree"" to that set of statements. 

Participants are also asked to indicate how much respect they see for the following types of diversity within the GMC community and how much GMC is inclusive of each of these types:
1) Race
2) Gender
3) Sexual Identity
4) Religious Beliefs
5) Socioeconomic Status
6) Ethnicity
7) Physical or Developmental Ability
8) Political Views

In 2014, for the first question about how much diversity they see, a majority of the respondents answered ""moderate inclusion"" or ""high inclusion"" for all of the categories except for political views. A majority of the respondents answered ""little inclusion"" or ""moderate inclusion"" for political views. 

For the second question about the extent to which GMC is inclusive of diversity, a majority of respondents answered ""little"" or ""moderate"" for race, and ""moderate"" or ""high"" for gender. For religious, socio-economic status, and ethnicity, respondents tended toward the middle with a majority clustering around ""moderate."" For disabilities, the majority answered ""little"" or ""moderate."" For political views, the majority answered ""very little"" to ""moderate.""

The first step in using these results to shape policy, programs, or initiatives was to have a community-wide conversation in the spring of 2014. The results were shared at the conversation through a presentation and through handouts of the data. Participants then wrote ideas about how to improve on big sheets of paper that were collected and transcribed into typed lists. These lists were then emailed to the whole campus so that staff, faculty, and students can incorporate the results into their areas. The results were also discussed on the strategic plan steering committee and used to inform the next set of priorities the committee addresses. The steering committee recognizes that diversity and equity are important goals in the strategic plan, Sustainability 2020. Finally, the results were also shared with the diversity committee, which will be asked to develop specific recommendations to address weak areas found in the data. ",True,"In addition to the questions outlined above, the social and human capital survey asks other questions that are relevant to student diversity and educational equity. The last assessment was conducted in the spring of 2014. Respondents on the survey are asked to indicate the extent to which they agree with the following statements:

1) The strategies used by GMC to create a diverse living and learning environment are effective.
2) My experiences at GMC have helped me develop an appreciation for multicultural perspectives.
3) There is a strong sense of respect for diversity across the GMC community.
4) I think that people at GMC with perspectives, religious traditions, and cultural activities different than my own are able to express themselves freely and feel included.
5) My experiences at GMC have allowed me to feel comfortable expressing my creativity.
6) I feel comfortable participating in my cultural/religious traditions at GMC.
7) I think that the diversity I bring to the College is appreciated.

In 2014, the majority of respondents answered ""somewhat agree"" or ""strongly agree"" for the following statements: ""there is a strong sense of respect for diversity across the GMC community""; ""people at GMC with perspectives, religious traditions, and cultural activities different than my own are able to express themselves freely and feel included,"" and ""my experiences at GMC have allowed me to feel comfortable expressing my creativity.""

The majority of respondents answered ""neutral"" or ""somewhat agree"" for ""the strategies to create a diverse living and learning environment are effective"" and ""GMC helped me create an appreciation for multicultural perspectives.""

The majority of respondents tended toward the middle or ""neutral"" with the statements ""I feel comfortable participating in my cultural/religious traditions at GMC"" and ""I think that the diversity I bring to the College is appreciated.""

Finally, participants are asked, in an open-ended question, if they are aware of any particular groups that struggle to be included at GMC. The n for this question was low, but nonetheless some trends emerged, indicating struggles for a small number of people across the areas of race, nationality, religion, and political philosophy. 

As with the campus climate assessment questions, the first step in using these results to shape policy, programs, or initiatives was to have a community-wide conversation in the spring of 2014. The results were shared at the conversation through a presentation and through handouts of the data. Participants then wrote ideas about how to improve weaknesses on big sheets of paper that were collected and transcribed into typed lists. These lists were then emailed to the whole campus so that staff, faculty, and students can incorporate the results into their areas. The results were also discussed on the strategic plan steering committee and used to inform the next set of priorities the committee addresses. The steering committee believes that diversity and equity are important goals in the strategic plan, Sustainability 2020. Finally, the results were also shared with the diversity committee, who will be asked to develop specific recommendations to address weak areas found in the data. ",True,"The social and human capital survey is also given to employees and asks participants the same set of questions as the students. See the answers above for these questions, the results, and how the results were used. ",True,"The social and human capital survey also covers governance and public engagement. Respondents are asked to indicate the extent to which they agree with the following statements:

1) GMC is committed to a collaborative conflict resolution process that includes diverse perspectives.
2) I have felt that my perspectives have been included in the decision making processes at GMC when I wanted them to be.
3) I have been actively trying to participate in the decision making processes at GMC.

In 2014, a majority of respondents answered ""neutral"" or ""somewhat agree"" to all three of the statements. 

Respondents are also asked how much they think each of the following groups are taken into account when decisions are made at GMC?

1) Board of Trustees
2) Administration
3) Faculty
4) Staff
5) Students
6) Members of the general Poultney Community

2014 results showed that most people thought The Board was considered most highly when decisions are made, followed by the Administration, and then faculty. Staff and students both tended toward ""somewhat included."" The Poultney community clustered between ""very minimally included"" and ""somewhat included."" 

As with the other data, results for these questions were shared with the community at large during an open community conversation. A presentation on the results was given and hard copies of the frequencies for each question were handed out to those in attendance. Input from the conversation was captured on big sheets of paper and transcribed into a typed list. This list was then sent to the whole campus through email and was used to help set priorities by the strategic plan steering committee.",http://www.greenmtn.edu/sustainability-2020/measuring-progress.aspx,--
Guilford College,2016-03-08,2016-03-08 08:08:34,corrybc@guilford.edu,2.0,Pursuing,--,,--,,True,"By 2017, the College will increase the diversity of faculty and staff at all  levels by 10% based on race, sex, ethnicity, sexual identity, and international origin.",--,,http://www.guilford.edu/data/files/gallery/ContentGallery/DiversityPlanMay2009.pdf,--
Hampshire College,2016-03-23,2016-03-23 09:58:36,bhooker@hampshire.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Harvard University,2016-02-29,2016-02-29 16:59:00,colin_durrant@harvard.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Haverford College,2016-03-02,2016-03-02 12:02:06,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:45,sustainability@hws.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Indiana State University,2016-03-29,2016-03-29 10:17:55,caroline.savage@indstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:43:15,brownwm@indiana.edu,2.0,Pursuing,True,"The National Survey of Student Engagement (NSSE) is conducted yearly. Their website describes in detail how this survey was designed to collect information ""about student participation in programs and activities that institutions provide for their learning and personal development."" It goes on to describe that ""institutions use their data to identify aspects of the undergraduate experience inside and outside the classroom that can be improved through changes in policies and practices.""
http://nsse.iub.edu/html/about.cfm

The Collaborative on Academic Careers in Higher Education (COACHE) was developed by faculty at Harvard University and is also used as an assessment to measure attitudes of diversity. Information about this program can be found at http://www.coache.org.
",True,"Student Diversity: 
In 2013, IU assessed retention rates through an undergraduate level retention report, that includes details on varying socio-economic statuses, residency, ethnicity, gender, etc. http://www.indiana.edu/~dema/support_diversity/key_project.shtml#key_projects

Educational Equity: 
Additionally in 2013, the NSSE was published with Indiana University Bloomington as one of 
schools included, and on p. 22 it lists percentages of diverse student categories (first generation, age, major, etc.) based on their most effective learning styles.  
Website: http://nsse.indiana.edu/NSSE_2011_Results/pdf/NSSE_2011_AnnualResults.pdf

As a result of findings like these, more money has been allocated to scholars programs including: Balfour, Hudson & Holland, & IU-HBCU STEM Initiative, in addition to diversity being a key student recruitment goal in the IUB 2020 Plan.
Websites: https://www.iu.edu/~uirr/doc/reports/standard/ret/year/2013_ab.pdf ",True,"In 2012, IUB released a minority employment survey of diversity about hiring the IUB tenured faculty that are considered a minority in comparison to other universities. 
Website: https://www.iu.edu/~uirr/doc/reports/diversity/faculty/4_BL_Faculty_views_comps.pdf
A More Detailed Version: https://www.iu.edu/~uirr/doc/reports/diversity/faculty/3-Minority_Faculty_IN_comps.pdf 


",True,"IU conducted a survey on ""The IU Bloomington Community Attitudes and Experiences with Sexual Assault"" and released the results in October 2015.

This survey comes with backing from the IU Office of the Provost, the IU Student Welfare Initiative, the IU Women’s Philanthropy Council, the Dean of Students Office, and the Kinsey Institute, in an effort to gauge the public's view of of sexual violence on campus.  Results will be used to improve the IU campus to ensure safety, equality, and fair treatment for all, regardless of gender of sexual orientation. 

In the past, the IU Culture of Care, the IU Incident Teams, and the Commission on Multicultural Understanding have been formed to ensure equality and fair opportunities at IU. 
Website: http://studentaffairs.indiana.edu/dean-students/index.shtml",http://nsse.indiana.edu/NSSE_2011_Results/pdf/NSSE_2011_AnnualResults.pdf,"On June 1, 2015, the Office of the Vice President of Diversity, Equity, and Multicultural Affairs (OVPDEMA) launched an external diversity assessment for Indiana University. This assessment includes IU Bloomington, IUPUI, IU East, IU Kokomo, IU Northwest, IU South Bend, IU Southeast, and OVPDEMA.

The purpose of the survey is to conduct a four-part assessment to include a thorough evaluation of all diversity, inclusion, and inclusive excellence efforts and programs over the last five years for each campus; a comprehensive assessment of retention-graduation/student success initiatives and efforts across each campus; a current comparative status/performance on inclusive excellence in terms of peers for IU Bloomington and IUPUI; and an evaluation of the organizational capacity, effectiveness, and impact of OVPDEMA. An outside consultant, Halualani and Associates, will conduct the diversity assessment to ensure an objective and comprehensive valuation.

The diversity assessment will serve as a baseline measurement for Indiana University in diversity achievement and progress which will provide information to further our efforts for strategic planning university wide.

Diversity Assessment for IU plan, timeline, purpose, team: http://www.indiana.edu/~dema/div_assess/index.shtml

http://inside.iu.edu/headlines/2015-09-09-ovpdema-diversity-assessment.shtml?utm_source=2015-09-09&utm_medium=enewsletter&utm_content=Share-your-thoughts&utm_campaign=2015-inside-iu-distribution"
Juniata College,2016-03-23,2016-03-23 08:09:01,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:16:49,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:30:30,sustainability@knox.edu,2.0,Pursuing,--,,True,"The diversity committee supported a survey seeking out the students perceptions of diversity on campus. We are using the preliminary information to propose cultural competency training for faculty around difficult dialogues in the classrooms. We are also working with the Dean of the College to assess faculty hiring processes with a goal of increasing diverse faculty on campus. The diversity committee and Institutional Research Office are compiling data on underrepresented students and their success in the classrooms (major/minor chosen, GPA, research participation) as a precursor to discussions on levels of preparedness in support of additional support during their first year or two on campus. ",--,,--,"We do not have a diversity statement, outside of the federal EEO. Again the institution is beginning to look into ways that this can and should be addressed better through the strategic planning process. ",--,--
Lehigh University,2016-02-29,2016-02-29 00:26:13,sustainability@lehigh.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:07,advorak@lclark.edu,2.0,Pursuing,--,,True,"IN MONITORING AND ASSESSING STUDENT RETENTION AND SUCCESS, WE DO DISAGGREGATE DATA IN OUR ANALYSIS, WHICH INCLUDES ANALYSIS BY RACE/ETHNICITY, GENDER, SOCIOECONOMIC STATUS AND FIRST-GENERATION STATUS.",True,"WE MONITOR THIS ANNUAL THROUGH OUR SUBMISSION OF IPEDS DATA REPORTING. 
",--,,https://www.lclark.edu/about/diversity/,--
Loyola Marymount University,2016-03-23,2016-03-23 14:02:26,ian.mckeown@lmu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:31,adurnbaugh@luc.edu,2.0,Pursuing,True,"A report on diversity looks at student, faculty and staff diversity.

Diversity and Multicultural Affairs assesses this on an ongoing timeline for students at Loyola. They conducted a campus climate survey through the division of Student Development in 2010. A Diversity Task Force was convened in 2012 to address this for staff and faculty.",--,"Student diversity is captured by the Admissions applications, however, that is purely numbers.  In terms of educational equity, no formal assessment has been done to my knowledge. ",True,A 2012 Task Force looked at diversity and equity issues leading to the hire of a Chief Diversity Office for the University. A 2016 report provides more detail on this: http://www.luc.edu/diversityandinclusion/ataglance/annualreportondiversity/ ,True,The 2016 report provides more detail on this: http://www.luc.edu/diversityandinclusion/ataglance/annualreportondiversity/,http://www.luc.edu/diversityandinclusion/,--
Macalester College,2016-01-06,2016-01-06 13:02:54,shansen2@macalester.edu,2.0,Pursuing,True,"Every year, Macalester College assesses its campus diversity culture through surveys given to graduating senior students. The surveys are meant to assess their overall experience at Macalester College. Several questions are asked and among those questions are those related specifically to diversity culture. For example, they are asked to evaluate their overall satisfaction with the College’s ethnic and racial diversity, climate for minority students etc.
",True,"As well as having a high percentage of international students on campus, more effort through the Department of Multicultural Life, student organizations, and admissions is focused on encouraging american students of colors to apply. ",True,"Macalester continually monitors and adjusts it’s approach to maintain our commitment to our mission of being a preeminent liberal arts college with an educational program known for its high standards for scholarship and its special emphasis on internationalism, multiculturalism, and service to society. Specific efforts include monitoring and addressing hiring opportunities that would enable the college to employ a staff and faculty that is reflective of our student body. Additionally, Macalester promotes and nurtures a culture of acceptance related to diversity through on-campus programing, education and academic curriculum. The means for assessing need and outcomes include survey’s, employment metrics and maintaining a culture of expression and understanding.


",--,,not applicable,--
Maryville College,2016-02-11,2016-02-11 15:37:39,adrienne.schwarte@maryvillecollege.edu,2.0,Pursuing,True,"The Student Development office administrated a campus climate survey that assessed diversity and equity among students, faculty, and staff in 2013.",True,"The Student Development office administrated a campus climate survey that assessed diversity, equity, and recruitment and enrollment among students, faculty, and staff in 2013 and 2015. This survey took into account race, ethnicity, sexual orientation, and other aspects that evaluated the campus climate.",True,"The Student Development office administrated a campus climate survey that assessed diversity and equity among students, faculty, and staff in 2013 and 2015. There are currently Asians, African Americans, Latinos, workers identified by two or more races,  American Indians, and Pacific Islanders employed at the college. Employees are asked fill out a form from the department of education that asks questions about race and ethnicity in order to gather this information. All information related to diversity is voluntarily given by the employees. There are also currently 160 males and 265 females employed by Maryville College.",True,"The committee on directors evaluates race, gender, geography, religion, and profession when seeking out potential board members. The committee is annually looking at the diversity on the board in order to find best fit of members and ensure that the Board of Directors remains diverse. 

One of the three themes of our strategic plan is ""in partnership with others"" and our mission statement specifically references reaching ""all peoples."" Therefore, the campus community is strongly encouraged to seek diversity in public engagement. An example of this is with the Bonner and Bradford scholars, they do a lot of community based service to diverse areas such as the MLK Foundation, local non-profits, and economically disadvantaged groups.",--,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:07,slanou@mit.edu,2.0,Pursuing,True,"The Institutional Research section of the MIT Office of the Provost administered the Student Quality of Life survey to all enrolled graduate and undergraduate students in March 2013. During this assessment, students were asked to rate the campus climate on a scale from 1 (intolerant of diversity) to 6 (embracing of diversity). In this survey, 93% of responses were between 4-6 indicating a campus climate that is significantly more embracing of diversity. MIT is seeking to continue its strong support for diversity by establishing the Institute Community and Equity Office (ICEO) which is specifically tasked with cultivating a caring community focused on MIT’s shared values of excellence, meritocracy, openness, integrity, and mutual respect.

http://web.mit.edu/ir/surveys/sql.html",True,"Institutional Research collects information annually from across the MIT to assess the equity of students based on self-reported ethnicity/race. This information is reported to the Integrated Postsecondary Education Data System as well as published through the Common Data Set for MIT (http://web.mit.edu/ir/cds/index.html). This information includes graduate retention rates by ethnicity/race.  
",True,"Diversity and equity is assessed through completion of our Affirmative Action Plan; regular review by job classification/family and periodic surveys.

In addition, the Institute Community and Equity Office reports to the Provost annually on the status of faculty diversity.",--,,http://web.mit.edu/ir/surveys/index.html,--
McMaster University,2016-02-19,2016-02-19 09:37:30,naeemsh@mcmaster.ca,2.0,Pursuing,--,,--,,True,"McMaster has done multiple equity assessments. In the past year alone three assessments for employee diversity and equity have been done. They are Women in Faculty, Employment Equity, and Gender Pay Equity. ",True,"In the past year three assessments for employee diversity and equity have been done. They are Women in Faculty, Employment Equity, and Gender Pay Equity. These assignments went all the way to the top of the schools governance. ",--,--
Miami University,2016-03-02,2016-03-02 14:17:51,kliney@miamioh.edu,2.0,Pursuing,True," Miami's new 2020 Strategic Plan includes as one of its Foundational Goal 2 to Promote a diverse culture of inclusion, integrity, and collaboration that deepens understanding and embraces intercultural and global experiences. Goals must be met with university and department wide objectives and metrics. 

The plan was adopted in 2013 with departments setting goals; the first annual reports on progress and assessment were 2014-2015.  

The university metric is  75% of Miami students will report that they feel welcome and have had significant and meaningful interactions with diverse groups.

Not only is it necessary to enhance diversity at Miami University, it is also essential to create an environment where it feels comfortable to work with people of various backgrounds, lifestyles, and beliefs.  To that end, it is important to create mechanisms to promote diversity, while at the same time ensuring that perceptions reflect the patterns that emerge.

Strategies in process to meet the goal:
Share the expertise of faculty and staff who are experienced in working with multicultural students (e.g., Office of Equity and Equal Opportunity staff) with other faculty and staff to help them adapt to the growing international and diverse domestic population.
Provide opportunities for students, faculty, and staff to have meaningful interactions with invited speakers from diverse backgrounds (e.g., receptions, class meetings, Q & A sessions).
Expand partnerships and support programs for students from diverse backgrounds (e.g., ACE and Eastern Shawnee Tribe).
Encourage broad participation, especially by faculty and students in multicultural events, with particular emphasis on promoting meaningful interactions among international and domestic students.
Coordinate activities across the University so that these events do not conflict.
Incorporate the work of women scholars and scholars of color into the curriculum.
Offer “Safe Zone” training, and establish new safe zones throughout the division.

ALSO - in 2013 and 2015: all first-year and 4th year students participated in the National Survey of Student Engagement  - results here:
http://www.units.miamioh.edu/oir/Surveys/NSSE/index.htm",True,"The Center for Teaching Excellence (formerly Center for Excellence in Learning, Teaching and University Assessment) supports university-wide through course-wide assessment. Rather than viewing assessment as a one-time project to be completed, full-cycle assessment regards assessment as a continuous cycle, in which the information gathered is used to redesign courses and programs in order to enhance student learning and development.
http://www.units.miamioh.edu/celt/assessment/
Assessments run for example form LGBT experiences of faculty and staff to assessing student's global perspectives

ALSO - Guides to meet Miami's 2020 Plan for diversity by UNIT are available on the Office of Institutional Research for 2014-2015 and 2015-2016 through 2020 and include: 
Student Race/Ethnicity by Level, Division and Department

Guide for Developing Unit Specific Strategic Diversity Plans


Also - 
The Office of Institutional Diversity goals center on four core areas: recruitment, retention, curriculum and culture. These core areas are addressed through key initiatives that are tailored to faculty, staff, and students and are executed either through programs and support from our office or in collaboration with other university offices, departments, and programs.",True,The Office of Equity and Equal Opportunity conducts an annual affirmative action plan assessment.,True,"Diversity and Equity is central in Miami's mission statement : Miami's Mission Statement: includes the section ""As an inclusive community, Miami strives to cultivate an environment where diversity and difference are appreciated and respected.""

It is also central to  planning : 2020 Plan Foundational  Goal 2: Create an environment where our people live, learn, and work cooperatively with those of widely varied backgrounds, beliefs, abilities, and lifestyles, moving beyond boundaries to welcome, seek, and understand diverse peoples and perspectives.
The Miami 2020 Plan is the result of hundreds of active participants and thousands of employees contributing to individual departmental plans to find, through measured outcomes, ways to reach our goal by ensuring an innovative yet sustainable and caring culture a diverse culture of integrity and inclusion spread to global experiences
the cultivation of mutually beneficial partnerships and service projects that strengthen our communities, from local to global.

Miami's Diversity Statement also emphasizes diversity and equity.
http://miamioh.edu/about-miami/leadership/president/diversity-statement/index.html",http://miamioh.edu/2020plan/university-level-plan/index.html,--
Michigan State University,2016-02-16,2016-02-16 09:19:22,erhardt7@msu.edu,2.0,Pursuing,True,"1.  MSU is part of an on-going national project to better understand the international, global and multicultural knowledge, skills, and attitudes that students gain through courses and experiences. The study is coordinated nationally by The Forum on Education Abroad (https://forumea.org/), a global membership association for the field of education abroad, and International Studies and Programs at MSU. To collect information, an online survey called Belief, Events and Values Inventory (BEVI) has been created.(http://www.thebevi.com/)

2.  A positive work environment is essential for the recruitment, retention and advancement of the highest quality faculty at MSU. In Spring 2009, a work environment survey was completed by MSU tenure system and fixed term faculty. This survey, supported by MSU's ADVANCE grant, provides MSU with concrete data about faculty perceptions regarding MSU as a place to work and advance.  See http://www.adapp-advance.msu.edu/event/2010/climate-and-culture-msu-what-nsf-adapp-advance-grant-work-environment-survey-tells-leader.",--,"An assessment is in process:
http://www.inclusion.msu.edu/ResearchAndAssessment/index.html ",--,"An assessment is in process:
http://www.inclusion.msu.edu/ResearchAndAssessment/index.html",--,,http://www.inclusion.msu.edu/ResearchAndAssessment/index.html,http://isp.msu.edu/global_learning/
Middlebury College,2016-03-25,2016-03-25 14:02:56,jmbyrne@middlebury.edu,2.0,Pursuing,True,"In 2012, the College released a report on the progress and challenges of implementation of the 35 recommendations outlined in the 2006 Human Relations Report on Diversity. All sectors of the College (Student Life, Human Resources, Academic Administration, and other areas) were engaged to assess their diversity efforts, as per the HRC recommendations, but also asked them to report on initiatives that were above and beyond what the 2006 report recommended.",True,"In 2013, the College administered the Diverse Learning Environments Survey (DLE) which captures student perceptions regarding the institutional climate, campus practices as experienced with faculty, staff, and peers, and student learning outcomes. ",True,"A Report of Staff Diversity in 2005 examined the institution’s current state with regard to staff diversity by studying institutional systems, structures, policies, practices and espoused values vs. values-in-action. The initiative recommended improvements in those areas in order to increase the College’s ability to attract employees from underrepresented groups and provide an environment for them to thrive. ",--,,http://www.middlebury.edu/offices/administration/planning/planning/genderdiversity,--
