Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Number of students engaged in community service,Total number of students ,Does the institution wish to pursue Part 2 of this credit (community service hours)?,Total number of student community service hours contributed during a one-year period,Does the institution include community service achievements on student transcripts?,"A brief description of the practice of including community service on transcripts, if applicable",Does the institution provide incentives for employees to participate in community service (on- or ...,A brief description of the institution’s employee community service initiatives,The website URL where information about the institution’s community service initiatives is available,Public Notes
Green Mountain College,2016-03-21,2016-03-21 15:55:36,ihrker@greenmtn.edu,2.0,Pursuing,349.0,839.0,True,47241.0,--,,True,"Faculty are provided course releases and other benefits for engaging in community service initiatives as part of their academic programs. Staff are often granted time off from work to participate in the annual Thanks and Giving and Green Up days. Employees receive positive recognition through the GMC Journal newsletter. 

The sustainable community development outreach coordinator in GMC's Sustainability Office coordinates ongoing community service activities to support local area organizations and build a sense of community. Recurring activities that include significant volunteer service from employees include the following:

 Maple Fest—a day each spring that celebrates Vermont’s maple industry, including activities for children, tours for adults, free food, and support for local businesses. 

Chili Cook Off—a day each fall that celebrates the Town and local businesses. 

Poultney Earth Fair—a day each year during earth week that promotes community building and environmental education through a plethora of events, activities, and booths presented in a festival format at the local high school. 

Green Up Day—a day each year during earth week where employees and students help to clean up the campus. 

Activities with local schools—throughout the year, employees and students engage in numerous activities of service with the high school, such as teaching sessions on special topics, or collaborating on art projects. 

Poultney Thanks and Giving-- this town-wide community service event attracts employee and student volunteers who provided over 800 hours of service at 24 different locations across Town. The day includes three free meals to all who participate. 
",http://www.greenmtn.edu/academics/service_learning.aspx,"The performance year for this credit is FY 2014.

The total numbers of students engaged and the total headcount were from fall 2013. The estimated number of hours of service were derived from inventorying service from the fall 2013 and spring 2014 semesters on a per class basis as reported by faculty who responded to the survey. Faculty were asked to report number of students in their classes and number of service hours performed in each class. This was used to calculate mean hours per student per class. The mean hours were then multiplied by the mean course load per student to get a total hours estimate per semester. The semesters were then added together to get an estimate for the year. This same methodology was carried out separately for undergraduates and graduates. Both cohorts were added together for the final number. "
Guilford College,2016-03-08,2016-03-08 08:08:44,corrybc@guilford.edu,2.0,Pursuing,520.0,1191.0,True,45000.0,--,,--,"Day of service, soup bowl, holiday clothes and food drive, church under the bridge.",http://www.guilford.edu/about_guilford/services_and_administration/bonner/overview.html,--
Hampshire College,2016-03-23,2016-03-23 09:59:33,bhooker@hampshire.edu,2.0,Pursuing,1500.0,1500.0,True,20.0,True,"Community Engagement and Learning
Hampshire students are encouraged to seek out multiple opportunities to extend their formal classroom learning and complement their academic work through community-engaged scholarship (CEL) at all stages of their college education. The CEL program requires all students to commit to 40 hours of service or a semester-long equivalent. Final CEL products are expected to be included in the Division II portfolio.",--,,http://www.hampshire.edu/ctl/15227.htm,--
Harvard University,2016-02-29,2016-02-29 16:59:10,colin_durrant@harvard.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Haverford College,2016-03-02,2016-03-02 12:02:16,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"Haverford College prides itself on creating good world citizens. Part of that educational experience is through community service. There are Three main entities on campus that participate in community service. 8th dimension, Athletics and The Center for Peace and Global Citizenship. All athletes participate in community service(400) and all Freshman participate(300) during their first semester at Haverford.Questions arise when asked how many freshman are also athletes. Currently there is no official data on the exact percentage of how many students participate in Community service. 
Institutional Research has recently applied to the President's Higher Education Community Service Honor Roll. Data from that report is included here. Haverford College has also formed a Community Service Summit Committee that intends to collect hard data on community service participation.
Former President, Tom Tritton, stated that 8th Dimension alone had 60% student participation. Web site is posted above. "
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:55,sustainability@hws.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Indiana State University,2016-03-29,2016-03-29 10:18:51,caroline.savage@indstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:43:59,brownwm@indiana.edu,2.0,Pursuing,12637.0,41349.0,True,174284.0,--,,--,,https://bloomington.in.gov/media/media/application/pdf/8064.pdf,"IUB does not currently have a program in place where these numbers are recorded, however data has been collected from service learning hours, Greek organization requirements, and student organizations and causes, such as the IU Dance Marathon for Riley Children's Hospital. While these classes and organizations are a large portion of the community service that IU students do each year, it does not show the entire scope of their community service impact.
"
Juniata College,2016-03-23,2016-03-23 08:10:02,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:17:44,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:31:29,sustainability@knox.edu,2.0,Pursuing,1076.0,1399.0,True,58223.0,--,,True,Service is included in criteria for faculty review and promotion ,http://www.knox.edu/offices/government-and-community-relations/civic-engagement-at-knox-college.html,--
Lehigh University,2016-02-29,2016-02-29 00:26:27,sustainability@lehigh.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:14,advorak@lclark.edu,2.0,Pursuing,2030.0,3504.0,True,356122.0,--,,True,"Internal recognition programs, t-shirts, prizes and other awards are provided to employees volunteers.",--,2014 Presidential Honor Roll Application data
Loyola Marymount University,2016-03-23,2016-03-23 14:03:22,ian.mckeown@lmu.edu,2.0,Pursuing,5421.0,7900.0,True,176100.0,--,,True,"Departments have community service days, employees participate in these days. These projects are done during normal work days. Service is encouraged in the very university mission and many opportunities to serve are well publicized. ",http://studentaffairs.lmu.edu/activitiesservice/centerforserviceaction/,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:41,adurnbaugh@luc.edu,2.0,Pursuing,10968.0,15720.0,True,597993.0,True,All students must take an Engaged Learning course as part of Loyola University Chicago's Core Curriculum requirements. Service Learning courses are  among the 5 categories of Engaged Learning courses and require that students spend more than 20 hours of service work in the community or on a community based project.,True,"Loyola conducts an annual day of service for employees.  There are also multiple smaller initiatives where staff and faculty support specific programs including Misericordia, Catholic Charities and our local communities.",http://www.luc.edu/serve/,--
Macalester College,2016-01-06,2016-01-06 13:03:04,shansen2@macalester.edu,2.0,Pursuing,1199.0,2020.0,True,76416.0,--,,--,,http://www.macalester.edu/cec/,--
Maryville College,2016-02-11,2016-02-11 15:37:48,adrienne.schwarte@maryvillecollege.edu,2.0,Pursuing,750.0,1213.0,True,46500.0,--,,True,"Mini-grants are available for faculty members to apply for in order to help them in their community service efforts if needed. For instance, one faculty member was granted funds to assist in helping create a recorded history of Tremont in the Great Smoky Mountains National park (GSMNP). 

The institution also gives out annual awards to staff members for outstanding community service and dedication to the college.",http://www.maryvillecollege.edu/news/2015/2309/mc-recognizes-staff-members-service-at-annual-luncheon/,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:18,slanou@mit.edu,2.0,Pursuing,4972.0,10451.0,--,--,--,,True,"The MIT Public Services Center provides outreach, recruitment, and coordination services for a wide variety of community service opportunities for employees as well as students. MIT employees are encouraged to contribute time to community service and community giving programs.",http://web.mit.edu/mitpsc/index.html,"Community service is for undergraduate population (2011) from Institutional Research ES Survey. 57% URL: http://web.mit.edu/IR/surveys/pdf/DocExit_2010_Overall.pdf

Graduate community service participation in 2010: 41.2% http://web.mit.edu/IR/surveys/pdf/DocExit_2010_Overall.pdf
"
McMaster University,2016-02-19,2016-02-19 09:37:40,naeemsh@mcmaster.ca,2.0,Pursuing,10540.0,30117.0,True,527000.0,--,"By participating in the Student Success Leader Program, students receive a letter and certificate of completion. Students have the opportunity to volunteer within a variety of programs around campus including Sustainability, Health and Wellness and Civic Engagement.",True,"In 2014, McMaster University employees raised $ 300,000 for United Way.  The initiative involves annual staff time dedicated to fund raising and communications.

Other initiatives include the National Volunteer Week events including a breakfast and specialist workshops on volunteer leadership.  

",http://www.workingatmcmaster.ca/uway/,--
Miami University,2016-03-02,2016-03-02 14:18:02,kliney@miamioh.edu,2.0,Pursuing,8256.0,16207.0,True,37925.0,True,"Miami encourages faculty and departments to designate certain courses as ""Service Learning,"" which receive an SL designation if certain criteria are met. According to a University Senate resolution passed on February 29, 2009, Department Chairs and Deans will acknowledge the SL Designation as added value when reviewing credentials for promotion, tenure, and annual reviews. The SL Designation will appear on student transcripts and on faculty annual reports for approved courses. ",True,"Employees are encouraged to join students for several community service initiatives coordinated and sponsored by the Center for Community Engagement and Service. Some examples are Service Saturdays - Service Saturdays take place one Saturday a month during the academic year and provide opportunities for large groups of volunteers to give back to the local community surrounding Miami University - Oxford.Volunteer opportunities provided through Service Saturdays are easy-access, one-time projects geared towards bringing students, faculty and staff together for service.
http://miamioh.edu/student-life/community-engagement-service/community-engagement/programs-initiatives/service-saturdays/index.html

And Miami's chapter of Habitat for Humanity includes staff members who join the group on both weekend and week-long trips; Miami's new winter term allows other employees to take time off to travel for service related work 

And opportunities for employees to volunteer for the annual ShareFest Oxford are promoted by various organizations on campus:
http://miamioh.edu/news/campus-news/2015/05/share-fest.html

",http://miamioh.edu/student-life/community-engagement-service/about/awards-recognition/index.html,"
Miami has a national reputation for student involvement in community service and has been honored with national awards for service including: 

Miami was one of 361 universities to receive the prestigious Carnegie Classification for Community Engagement in 2015. 
Miami has been named to The President's Higher Education Community Service Honor Roll every year since 2007.
In 2012, Miami was recognized as one of only five recipients of The Presidential Award (Special Focus: Early Childhood Education). 
In 2013, Miami was named to the Honor Roll with Distinction."
Michigan State University,2016-02-16,2016-02-16 09:19:29,erhardt7@msu.edu,2.0,Pursuing,25486.0,50085.0,True,580104.0,True,"Michigan State University handles this in three ways:
-  All academic departments submit courses for approval through the academic governance process. Courses which consistently require and incorporate service-learning, community and/or civic engagement are approved through academic governance. The course description includes the service-learning requirement. Thus all sections taught, for example, of Writing, Rhetoric and American Cultures (WRA) 135: Public Life in America: The Service-Learning Writing Project reflect community involvement. The listing of the course by name on the transcript denotes service-learning. 
- The Graduate Certificate Program in Community Engagement is credentialed separately on the official transcript. 
- The MSU Center for Service-Learning and Civic Engagement (CSLCE) keeps the Official Record of Service for all students. Academic/course imbedded, curricular service-learning and co-curricular service, service-learning and community engagement are tracked, verified and credentialed through the CSLCE. 
",--,,http://www.servicelearning.msu.edu/,"Mission:
The mission of the Center for Service-Learning and Civic Engagement at Michigan State University is to provide engaged, issues and service-focused, community-based, mutually beneficial, and integrated learning opportunities, building and enhancing commitment to academics, personal and professional development, and civic responsibility."
Middlebury College,2016-03-25,2016-03-25 14:03:51,jmbyrne@middlebury.edu,2.0,Pursuing,1500.0,2516.0,True,60000.0,--,,True,"Staff members  volunteer for the annual United Way Days of Caring without using their Combined Time Off (vacation time). The Middlebury College Staff Council also sponsors an annual fall food drive for staff members to contribute food items for the local food shelf. Middlebury College Community Engagement sponsors the “Giving Trees” program in collaboration with local non-profit Helping Overcome Poverty’s Effects (HOPE) to provide holiday gifts for local families in need. Various staff members also arrange one-time community service events with their office colleagues. One example is cooking at the Community Supper program. 

",http://www.middlebury.edu/studentlife/communityengagement,--
Mills College,2016-02-29,2016-02-29 23:53:58,ngaetjens@mills.edu,2.0,Pursuing,557.0,1405.0,--,--,--,,--,,--,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:17,neapple@mtholyoke.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"The Weissman Center’s Community-Based Learning (CBL) program connects academic work and purposeful engagement with the world. CBL links  students with communities through courses, independent studies, internships, and research and service projects that combine learning and analysis with action and social change. Students learn about communities and learn to apply ideas, theories, and models to social issues in a practical context while gaining insights from practitioners in communities and in community-based organizations (CBOs). CBL enhances students’ understanding of social issues and concerns, and fosters leadership, citizenship, organizing, and advocacy skills. Among community partners, CBL fosters sustainable, mutually beneficial campus-community relationships that support capacity-building in area community organizations.
"
Muhlenberg College,2016-03-23,2016-03-23 10:28:14,kprocyk@muhlenberg.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Naropa University,2016-02-29,2016-02-29 17:16:56,acook@naropa.edu,2.0,Pursuing,384.0,1200.0,True,21276.0,--,,--,,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:53,lindsay_batchelor@ncsu.edu,2.0,Pursuing,12309.0,23312.0,True,13000.0,--,,True,"Community Service Leave (CSL) provides leave-eligible SPA & EPA employees paid time off to volunteer in schools, communities, institutions of higher education, State agencies, and not-for-profit organizations; as long as the employee is not receiving pay for the service. All CSL must be preapproved by supervisor prior to volunteer event.

Literacy CSL is a special provision available in lieu of regular Community Service Leave to support a literacy program in a public school. Leave under this option shall be used exclusively for assisting students in reading and/or writing skills in accordance with established rules and guidelines for such arrangements as determined and documented by joint agreement with NCSU and the public school.

Tutoring/Mentoring CSL is a special provision available in lieu of regular Community Service Leave and Literacy CSL to provide tutoring and mentoring for a student in a formal standardized approved tutoring/mentoring program in a public or a non-public school. Leave under this option is to be used exclusively for tutoring and/or mentoring an “at-risk” student in accordance with established rules and guidelines for such arrangements as determined and documented by joint agreement with NCSU and the public/non-public school.",http://www.ncsu.edu/human_resources/benefits/leave/comm_srvc.php,"Community service hours only includes programs held by the Center for Leadership, Ethics, & Public Service"
Northern Arizona University,2016-02-23,2016-02-23 18:52:15,Ellen.Vaughan@nau.edu,2.0,Pursuing,7836.0,20892.0,True,39965.0,--,,True,"United Way of Northern Arizona Campaign
United Way of Northern Arizona believes that each individual deserves a quality education that leads to a stable career, earn enough to support a family through retirement, and enjoy good health. These are the qualities of a good life. The NAU President's United Way Council spearheads this campaign:  http://nau.edu/United-Way 

NAU's Civic Service Institute (CSI) mobilizes generations to strengthen communities through service and volunteerism. CSI provides the largest, most diverse and effective pool of volunteers to meet the needs of communities and neighborhoods throughout Arizona. 
http://nau.edu/SBS/CSI/Welcome/

Students and residence life employees have additional volunteer resources: http://home.nau.edu/studentlife/communityservice.asp",http://nau.edu/SBS/CSI/Welcome/,--
Oberlin College,2016-03-21,2016-03-21 16:09:57,bflynn@oberlin.edu,2.0,Pursuing,1798.0,2927.0,True,108882.0,--,,True,The Bonner Center for Service and Learning created an award for college and conservatory staff to recognize Administrative & Professional Staff (A&PS) for their civic and community engagement. ,http://new.oberlin.edu/office/bonner-center/about-the-bonner-center/ImpactTable2011.pdf,"In 2013, Oberlin was awarded the President’s 2013 Higher Education Community Service Honor Roll with Distinction. This was the seventh consecutive year Oberlin College was included on the Honor Roll.

http://new.oberlin.edu/home/news-media/press/detail.dot?id=3876180"
Ohio University,2016-03-23,2016-03-23 07:58:40,goetze@ohio.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Onondaga Community College,2016-02-26,2016-02-26 16:34:09,vormwals@sunyocc.edu,2.0,Pursuing,1570.0,6313.0,True,84359.0,True,A service learning designation is included on academic transcripts.,--,,--,--
Oregon State University,2016-03-30,2016-03-30 14:51:26,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Pennsylvania State University,2016-03-21,2016-03-21 11:48:57,mme2@psu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"Student numbers are based on a Spring 2012 Student Affairs ""Pulse"" survey of Civic Engagement. http://studentaffairs.psu.edu/assessment/pdf/171.pdf

Penn State is home to the largest student-run philanthropic event in the world, the IFC/ Panhellenic Dance Marathon, known as THON. The 46-hour dance marathon, held on Penn State's University Park campus, raises money for the Four Diamonds Fund, a program at Penn State Hershey Children's Hospital that helps families of children with cancer.  Since its beginning in 1973, THON has raised more than $114 million.  Through campus organizations and THON Committees, more than 15,000 students volunteer for THON each year. "
Pittsburg State University,2016-03-24,2016-03-24 14:48:49,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Pitzer College,2016-02-22,2016-02-22 14:39:00,warren_biggins@pitzer.edu,2.0,Pursuing,586.0,1076.0,True,38768.0,--,,True,"Our commitment to our faculty continues over the long term to provide evidence of community engagement endeavors for individual faculty member promotion, tenure and reviews. The institution supports faculty involvement in civic engagement programs and teaching academic service-learning courses by providing:

Awards for recognition and grants for re-design and conferences
Faculty development workshops/fellowships
Service-learning and community orientation in faculty orientation
Modern curriculum models and sample syllabi
Materials to assist faculty in reflection and assessment
Sabbaticals for service-learning research, scholarship, and program development",http://pitweb.pitzer.edu/cec/,"Since its inception (and, in large part, as an inspiration for it), Pitzer College has been committed to fostering in its students a critical depth of understanding around the social and political implications of knowledge and action. Students who can skillfully engage in
ethical projects of social change and political engagement (both locally and globally) and faculty whose teaching and scholarship encompass both disciplinary rigor and applied benefits for our communities are primary goals of our school. We accomplish these
aims in large part through our extensive service-learning courses and our “social responsibility” core learning objective and graduation requirement. Pitzer far surpasses the rest of the country in its community service efforts: the National Survey of Student
Engagement has found that nationally an average of 60% of a college or university participates in community service (volunteer, work study or course-related) while at Pitzer that number is 93%. Pitzer invests significant financial and human capital into
supporting service, primarily through its Community Engagement Center (which is funded through hard money and has a staff of 6). This Center has overseen and supported engaged scholarship at Pitzer College since 1998 by offering research awards and fellowships to faculty, staff, and students and connecting them with local community-based organizations that address a variety of social and cultural issues. Almost all students who do community service through service-learning courses (and many who volunteer to do so without a correlating course) are connected through CEC to gain entry to and placement at a community site, support for transportation there and an orientation on ethical standards and legal obligations."
Plymouth State University,2016-02-29,2016-02-29 11:42:44,bweisenhauer@plymouth.edu,2.0,Pursuing,250.0,5156.0,--,--,--,,--,"this is a major initiative of the University, new programs have been created to support it which are available through the link below. However the number of engaged students reported is an estimate as they do not have accurate data.",https://www.plymouth.edu/office/research-engagement/engage/,"This is a major initiative of the University, new programs have been created to support it which are available through the link below. However the number of engaged students reported is an estimate as they do not have accurate data.
https://www.plymouth.edu/office/research-engagement/engage/
"
Pomona College,2016-01-11,2016-01-11 17:28:40,alexis.reyes@pomona.edu,2.0,Pursuing,800.0,1587.0,True,20000.0,True,"Several courses each year are designated “community partnerships” (CP) courses which indicates a community based component. All CP courses are reflected on student transcripts.  In 2014-15, eighteen community partnerships courses were offered at Pomona across each division of the College.  ",True,"Spanish speaking staff who are interested in learning English are allowed a minimum of 30 minutes per week to work with student volunteers through the Draper Center’s English as a Second Language (ESL) program.  Nearly, 30 staff member each participate in this program. 
 
Direct staff deductions are also made possible through the College to support several local non-profit organizations that collaborate with the Claremont Colleges including the Draper Center on community based projects.  Each year staff contribute close to $12,000 to local schools through the faculty and staff giving program.",http://www.pomona.edu/administration/draper-center/index.aspx,"Among the programs that students participate in are  a Food Rescue program, through which student volunteers take prepared left-over food from the dining halls to local shelters or community organizations; partners with a local middle school for the Theatre for Young Audiences Program; Pomona Partners a mentoring program for kids grades 6-9; participates in America Reads; Challah for Hunger; and a group in support of the DREAM ACT."
Portland State University,2016-03-24,2016-03-24 17:21:21,jenny.mcnamara@pdx.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"Community-based learning
In keeping with the Portland State University (PSU) motto Let Knowledge Serve the City, Community-University Partnerships marshals support for over 400 faculty, 7,800 students, and 1,000 community partners via community-based learning (CBL) and other civic engagement initiatives to address specific and compelling issues locally, regionally and worldwide.
(http://www.pdx.edu/oai/)

Senior Capstone
Capstone courses are designed by Portland State University's faculty to build cooperative learning communities by taking students out of the classroom and into the field. In Capstone courses, students bring together the knowledge, skills, and interests developed to this point through all aspects of their education, to work on a community project.
(http://www.pdx.edu/unst/senior-capstone)

Student Leaders for Service
Through SLS, 25 students make a commitment to serve 10 hours a week during the academic year at a local organization where they provide direct service to address community needs.
(www.pdx.edu/cae/sls)

Student Activities and Leadership Program (SALP) collects information on the number of students in clubs engaging in community service. 843 individuals participated in 2010.

~~~~
Fiscal Year 2013-2014
Full-time students (part-time students excluded): 17,317	
Student headcount: 28,766
From Office of Institutional Research & Planning http://www.oirp.pdx.edu/source/fact13f/all_profile.htm

"
Princeton University,2016-01-20,2016-01-20 17:01:10,kristiw@princeton.edu,2.0,Pursuing,1113.0,7910.0,--,--,--,,--,,http://pace.princeton.edu/,"Currently, Princeton University does not track student engagement in community service by a total number of students. The information above reflects the number of students participating in each initiative coordinated by the University’s Pace Center for Civic Engagement. There may be duplication within this number; however, the number also does not reflect the number of students who participate in the Pace Center’s 30+ student groups. "
Principia College,2016-01-30,2016-01-30 21:54:41,karen.eckert@principia.edu,2.0,Pursuing,328.0,503.0,True,3126.0,True,SOAN 50 is a non-credit course that all student can sign up for. Each student enrolled in the SOAN 50 course must complete 15 hours of community service; successful completion of the course is documented on student transcripts.,--,,--,--
Purdue University,2016-02-26,2016-02-26 16:45:23,mgulich@purdue.edu,2.0,Pursuing,28407.0,39409.0,True,1609679.0,--,Purdue University does not include student community service achievements on the academic transcript.  However community engagement is included on the co-curricular transcript administered by the Division of Student Life.,True,"Employees are encouraged and welcome to participate in any community service initiatives that are available to students.  This includes campus-wide days of service and giving programs such as Season of Sharing, Project Move Out, Martin Luther King Jr. Day of service, and United Way Read 2 Succeed Program in local schools.",http://www.purdue.edu/binvolved,--
Randolph College,2016-02-26,2016-02-26 14:25:34,llemaitre@randolphcollege.edu,2.0,Pursuing,600.0,693.0,--,--,--,,--,,--,--
Rice University,2016-03-25,2016-03-25 16:33:15,rrj@rice.edu,2.0,Pursuing,2116.0,6628.0,True,52683.0,--,"Rice does not currently include any notation of community service hours on transcripts.  This semester, however, the Faculty Senate approved a new Certificate in Civic Leadership.  This does not include an hour count of service, but rather it requires completion of 12 academic credits, in addition to two experiential programs.",--,,http://cic.rice.edu/Default.aspx,--
Rochester Institute of Technology,2016-03-25,2016-03-25 15:54:04,elcpro@rit.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"Part-time, non-credit and co-op students are not included in the total number students referenced above. "
Saint Louis University,2016-03-24,2016-03-24 17:18:15,bverhof1@slu.edu,2.0,Pursuing,10962.0,11766.0,True,1626654.0,--,,--,,http://www.slu.edu/service,--
San Francisco State University,2016-03-25,2016-03-25 17:34:59,kordesch@sfsu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Santa Clara University,2016-02-26,2016-02-26 20:44:58,lkalkbrenner@scu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Seattle University,2016-03-23,2016-03-23 11:54:18,thompson@seattleu.edu,2.0,Pursuing,4515.0,7422.0,True,132270.0,--,,True,Seattle University's Community Service Leave Benefit incentivises employees to participate in community service by allowing employees to partake in voluntary service during regular work hours while receiving regular pay from Seattle University. More information can be found here: http://www.seattleu.edu/hr/resources/policy-manual,https://www.seattleu.edu/CCE/,"Students engaged in Community service are for year 2013-14.
No. of community  service hours contributed are corresponding to same duration. "
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:48,mpate@sewanee.edu,2.0,Pursuing,750.0,1697.0,True,25000.0,--,Sewanee does not currently have community service appear on transcripts.,--,,http://life.sewanee.edu/serve/,--
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:28,andre.plante@sheridancollege.ca,2.0,Pursuing,1309.0,22064.0,True,574508.0,--,,--,,--,--
Simon Fraser University,2016-02-08,2016-02-08 23:41:56,erica_lay@sfu.ca,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Slippery Rock University,2016-02-29,2016-02-29 14:19:06,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:30:59,dweisbor@smith.edu,2.0,Pursuing,1500.0,2510.0,True,83000.0,--,"We do not include community service on official academic transcripts.  However, students may elect an academic concentration which require practical work such as internships and community service.  The concentrations are included on the transcript.",True,"Smith permits employees to receive one paid day of voluntary community service per year.  In addition, Staff Council sponsors a Day of Service and our Center for Community Collaboration notifies employees of service opportunities in the community.",http://www.smith.edu/cso/,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:21:56,huminskis1@southernct.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"SCSU's two largest Community service events are the Day of Service in September, and The Big Event in April. Many hundreds of SCSU students participate in these community service events each semester, all around the city of New Haven. SCSU is very proud of its service record, and these two annual campus events are some of the largest events sponsored by the university. Other annual events include Adopt-a-Family Food Drive, Friends of Rudolph, and an Alternative Spring Break. "
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:23:24,glkurtzhals@siu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Southern Oregon University,2016-03-23,2016-03-23 15:40:01,beigelcod@sou.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"The Civic Engagement Program hosts a variety of small- and large-scale service events throughout the year. Along with national days of service including Make a Difference Day and Martin Luther King, Jr. Day, we plan and implement Alternative Breaks three times per year; coordinate annual community service events for incoming students; and organize recurring volunteer events for individuals and small groups.

Along with community service opportunities offered through the CE Program, myriad courses require students to fulfill community-based learning hours."
Spelman College,2016-02-15,2016-02-15 08:21:43,aefrazier@spelman.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
St. John's University,2016-03-02,2016-03-02 16:31:54,goldsmit@stjohns.edu,2.0,Pursuing,16295.0,16295.0,True,168000.0,True,"Academic Service Learning is required by many courses offered at the University, including our Discover New York Course, which every undergraduate student is required to take. . Community service is included on student transcripts; however, it must be at least 10 hours a semester and the service must be sponsored by a St. John's University department or organization.  

",True,"As a part of the Vincentian Mission, Faculty are encouraged to participate in service with the student community.  Many Faculty include this service in their classes and join in the experience with fellow colleagues and their students. The Department of Academic Service Learning provides opportunity for Faculty to engage through mini grants and certificate programs that offer a small stipend.

The University is involved with many projects that greatly benefit the community. One such Example is St. Johns Weekly participation in NYC's midnight run program. Once a week University students go to Manhattan and serve homeless people food and offer clothes. Meals, coats,shoes, and other necessities are all donated on a weekly basis.
Resources are presented to Faculty by the Academic Service Learning Department on the University Website: http://www.stjohns.edu/faith-service/service-opportunities/academic-service-learning/faculty-resources ",http://www.stjohns.edu/faith-service/service-opportunities/academic-service-learning,"The Department of Academic Service Learning resource page states the following about Service Grants for Faculty:

""The Academic Service-Learning Faculty Development Mini Grant is intended to support the integration of service experiences with the curricular objectives of existing and new course offerings. $1,000.00 grants are available to help faculty develop new and expand existing academic service-learning initiatives for the upcoming academic year. Full-time faculty, part-time faculty and professional teaching staff are eligible to apply for this grant. Applicants can be individuals or collaborations. ""
"
Stanford University,2016-03-23,2016-03-23 01:14:00,mbhafer@stanford.edu,2.0,Pursuing,7500.0,16491.0,True,301450.0,--,n/a,True,"As described on the ""community service programs"" website:

At Stanford we understand the value of  connecting our academic mission with public service. Students, faculty and staff are actively involved in a variety of public and community service initiatives.  Their involvement is through established programs in academic departments  as well as the ethnic/cultural centers on campus.  Such activities range from raising donations for hurricane victims to tutoring young elementary school children to creating a high school in a local community.  Links to the many and varied community services activities and programs at Stanford are provided below.

Please visit the following website for further details:
https://studentaffairs.stanford.edu/diversityworks/resources

In addition, Stanford's Land, Buildings, and Real Estate (LBRE) organization participates annually in National Rebuilding Day with Rebuilding Together Peninsula (the organization also serves as a ""city builder"" partner). Individual participation in this annual effort is strongly encouraged for both professional and bargaining-unit staff. All participating staff members are recognized and celebrated at an annual LBRE all-hands meeting.  

For more details, please visit the following website:
http://rebuildingtogetherpeninsula.org/support/sponsorship/rtp-sponsors",http://haas.stanford.edu/,"The total number of students includes both graduate and undergraduate students.  The total number of students involved in community service and corresponding hours during a one-year period is an estimate, which is drawn from Stanford's submission for the President's Higher Education Community Service Honor Roll.  The survey does not provide detailed guidance or a definition for what constitutes ""community service"", and Stanford University does not track this data centrally.  The definition provided, (i.e., ""activities designed to improve the quality of life of off-campus community residents, particularly low-income individuals"") is extremely broad."
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:51:20,malichte@esf.edu,2.0,Pursuing,1571.0,2067.0,True,16204.5,--,,--,,http://www.esf.edu/students/service/,"Students have worked on projects on local, national and international levels. Projects included volunteering at the Carpenter's Brook Fish Hatchery, Meals on Wheels, Oakwood Cemetery, State and Community Parks, and many other non-profit organizations. "
