Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Number of academic divisions,Number of academic departments (or the equivalent),Full-time equivalent enrollment,Full-time equivalent of employees,Full-time equivalent of distance education students,Total number of undergraduate students,Total number of graduate students,Number of degree-seeking students,Number of non-credit students,Number of employees,Number of residential students,Number of residential employees,Number of in-patient hospital beds,Public Notes
Rochester Institute of Technology,2016-03-25,2016-03-25 15:53:28,elcpro@rit.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Saint Louis University,2016-03-24,2016-03-24 17:17:49,bverhof1@slu.edu,2.0,Pursuing,15.0,74.0,11766.0,5212.0,1556.0,8564.0,4723.0,--,--,6124.0,3578.0,19.0,--,"Values of 0, are not necessarily 0.  Some data was unavailable to report at this time and was a required entry, so needed to be reported as a number."
San Francisco State University,2016-03-25,2016-03-25 17:34:35,kordesch@sfsu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Santa Clara University,2016-02-26,2016-02-26 20:44:48,lkalkbrenner@scu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Seattle University,2016-03-23,2016-03-23 11:53:52,thompson@seattleu.edu,2.0,Pursuing,9.0,52.0,6454.5,1377.0,--,4511.0,2762.0,7273.0,--,1498.0,2160.0,--,--,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:44,mpate@sewanee.edu,2.0,Pursuing,3.0,24.0,1697.0,615.41,--,1631.0,84.0,1697.0,18.0,734.0,1603.0,12.0,20.0,--
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:24,andre.plante@sheridancollege.ca,2.0,Pursuing,1.0,6.0,8134.0,924.0,--,24691.0,1086.0,12049.0,14088.0,4186.0,736.0,1.67,--,Apprenticeship program (360) students are included in the degree-seeking student headcount.
Simon Fraser University,2016-02-08,2016-02-08 23:41:53,erica_lay@sfu.ca,2.0,Pursuing,8.0,38.0,26501.3,2676.5,1727.3,30182.0,5422.0,35604.0,5114.0,4942.0,1533.33,--,--,--
Slippery Rock University,2016-02-29,2016-02-29 14:19:03,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:30:32,dweisbor@smith.edu,2.0,Pursuing,3.0,48.0,2821.0,1223.0,--,2478.0,396.0,2869.0,5.0,1314.0,2269.0,6.0,--,"Smith College has 31 Departments, 13 Programs, 48 Academic Majors, 27 Academic Minors, 12 Concentrations, and 15 Five College Certificates. (Note that these are not mutually exclusive categories.) Smith College also offers the following master's degree programs/departments: 5 Master of Arts in Teaching programs, a Master of Education of the Deaf program, 2 Master of Fine Arts programs, and 2 Master of Science programs.  We also have two ""special"" programs, which are not master's degree programs but are coordinated through the graduate studies office: Post-baccalaureate in Mathematics and a Diploma in American Studies. Smith College also has a separate School for Social Work that includes a Master of Social Work program and a Ph.D. in Social Work program.
"
Southern Connecticut State University,2016-03-24,2016-03-24 14:21:20,huminskis1@southernct.edu,2.0,Pursuing,4.0,51.0,8833.0,1237.0,--,8133.0,2692.0,10804.0,--,1237.0,2567.0,9.0,--,"These statistics are found in the SCSU Common Data Set: 
http://www.southernct.edu/offices/management/CDS2013-2014_SCSU.pdf
and the SCSU Factbook:
http://ares.southernct.edu/departments/research/index.html
"
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:23:00,glkurtzhals@siu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Southern Oregon University,2016-03-23,2016-03-23 15:39:21,beigelcod@sou.edu,2.0,Pursuing,7.0,33.0,4155.0,623.0,458.0,4844.0,594.0,5438.0,2090.0,797.0,961.0,--,--,--
Spelman College,2016-02-15,2016-02-15 08:21:39,aefrazier@spelman.edu,2.0,Pursuing,4.0,24.0,2097.0,582.0,--,2135.0,--,2135.0,--,631.0,--,--,--,Spelman uses the Integrated Postsecondary Education Data System (IPEDS) simplified student/staff FTE. It is calculated by counting the number of full-time students/staff and adding one-third of part-time students/staff.  Note:  IPEDS- Fall student headcount is divided by .392857. Part-time staff headcount is divided by .3333.
St. John's University,2016-03-02,2016-03-02 16:31:50,goldsmit@stjohns.edu,2.0,Pursuing,6.0,44.0,12951.0,963.0,392.0,15497.0,4461.0,11270.0,4626.0,1981.0,3302.0,4.0,--,"*Current Resident Faculty:
1.Raj Chetty
2.Kathleen Marks
3.Shari A. Lee
4.Joseph M. Serafin

*All student data can be accessed at:http://www.stjohns.edu/sites/default/files/fall_2014_combined_enrollment.pdf
 
*Information used for distance learning can be found at: http://www.stjohns.edu/sites/default/files/documents/ir/ipeds_fall_enrollment_data_submitted_sp2014.pdf"
Stanford University,2016-03-23,2016-03-23 01:13:33,mbhafer@stanford.edu,2.0,Pursuing,7.0,87.0,15606.0,12297.0,--,6999.0,8958.0,15957.0,1392.0,14481.0,11147.0,--,--,--
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:50:52,malichte@esf.edu,2.0,Pursuing,2.0,7.0,2067.0,515.0,43.0,1728.0,472.0,2183.0,17.0,547.0,569.0,5.0,--,--
State University of New York at Cortland,2015-10-09,2015-10-09 13:16:05,Beth.Klein@cortland.edu,2.0,Pursuing,3.0,27.0,3173.0,1163.0,--,6418.0,704.0,7110.0,--,1432.0,3404.0,22.0,--,--
State University of New York at Geneseo,2016-03-24,2016-03-24 11:00:06,dezarn@geneseo.edu,2.0,Pursuing,1.0,20.0,5579.67,796.0,--,5583.0,116.0,5658.0,--,910.0,3105.0,11.0,--,"Jeremy Hall/Julie Rao

Number of Residential employees is exclusive of resident student-employees "
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:33,mittenl@newpaltz.edu,2.0,Pursuing,5.0,38.0,6926.85,1198.33,115.67,6642.0,1050.0,7429.0,263.0,1465.0,2930.0,16.0,--,--
Sterling College,2016-01-28,2016-01-28 10:04:26,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,--,5.0,120.0,45.0,--,128.0,--,128.0,31.0,61.0,120.0,5.0,--,"Academic Divisions, Graduate Program, and Distance Education are not applicable criteria since they do not exist at this institution. "
Stevens Institute of Technology,2016-03-24,2016-03-24 15:22:18,gotham360@stevens.edu,2.0,Pursuing,4.0,11.0,5129.0,982.0,--,2820.0,3094.0,5720.0,194.0,1255.0,1881.0,12.0,--,--
Syracuse University,2016-03-25,2016-03-25 15:33:44,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Temple University,2016-02-09,2016-02-09 14:47:15,kathleen.grady@temple.edu,2.0,Pursuing,18.0,123.0,33955.0,6947.0,166.0,28408.0,9380.0,36153.0,1635.0,8277.0,5313.0,12.0,--,This data is based on Fall 2014 data. 
Texas A&M University,2016-01-15,2016-01-15 14:25:00,kwellman@tamu.edu,2.0,Pursuing,10.0,88.0,48081.0,6984.0,507.0,42209.0,10739.0,52437.0,102.0,7549.0,10000.0,212.0,--,--
Texas Tech University,2016-03-25,2016-03-25 15:47:34,carey.hewett@ttu.edu,2.0,Pursuing,12.0,64.0,31282.0,6393.0,4150.0,26580.0,4702.0,35173.0,686.0,6183.0,7602.0,264.0,--,--
The Ohio State University,2016-01-26,2016-01-26 15:47:00,dial.15@osu.edu,2.0,Pursuing,15.0,227.0,50934.39,29146.09,6224.0,45289.0,7219.0,52508.0,3155.0,31069.0,11649.0,313.0,1310.0,--
Tufts University,2016-02-25,2016-02-25 15:40:34,tina.woolston@tufts.edu,2.0,Pursuing,9.0,90.0,10461.5,4513.24,31.0,5159.0,5692.0,10664.0,208.0,4526.0,3519.0,11.0,--,--
Tulane University,2016-02-04,2016-02-04 11:04:04,ldavey@tulane.edu,2.0,Pursuing,10.0,80.0,11944.0,5254.0,--,8353.0,5178.0,12869.0,662.0,6356.0,3974.0,15.0,--,--
Unity College,2016-03-25,2016-03-25 15:25:19,JdeHart@unity.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,"Unity College provides an applied liberal arts education in sustainability science that emphasizes the environment and natural resources.  The most popular majors are in wildlife, biology, and conservation law."
University at Albany,2016-02-23,2016-02-23 17:54:14,mmallia@albany.edu,2.0,Pursuing,8.0,43.0,15858.0,4075.0,1081.0,12822.0,4516.0,16824.0,514.0,4764.0,7500.0,43.0,--,--
University at Buffalo,2016-01-19,2016-01-19 10:15:55,jlk47@buffalo.edu,2.0,Pursuing,12.0,91.0,27536.0,7608.0,--,19831.0,10019.0,28839.0,1011.0,8608.0,7600.0,34.0,--,Most information comes from UB's common data set 2013-14. 
University of Arizona,2016-03-25,2016-03-25 15:32:15,bchampion@email.arizona.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,"The number of hospital beds reported is based on the number given for University of Arizona Medical Center published by Wikipedia.

Only remaining items:
-verify distance education #'s from registrar's office
-verify # of academic departments"
University of British Columbia,2016-02-22,2016-02-22 18:18:42,charlene.ponto@ubc.ca,2.0,Pursuing,13.0,77.0,43509.0,13387.0,903.0,41365.0,10082.0,46405.0,5042.0,14115.0,9465.0,--,--,"Note figures apply for UBC Vancouver for the 2013-2014 reporting period, unless otherwise noted.  Enrollment, FTE, and headcount data is derived from the Office of Planning and Institutional Research (PAIR), unless otherwise noted. Residential student calculations refer to student housing managed by Student Housing and Hospitality Services (SHHS). Third-party tenants and privately-owned residences located on campus (including faculty/staff housing, market housing, and the UBC Hospital) are excluded, as per UBC’s STARS boundary. "
"University of California, Berkeley",2016-03-23,2016-03-23 14:26:02,lmcneilly@berkeley.edu,2.0,Pursuing,14.0,170.0,36444.0,15841.0,--,26320.0,10145.0,35444.0,--,--,7876.0,--,--,Population numbers from 2014 or 2014-2015 year.  
"University of California, Davis",2016-03-28,2016-03-28 16:31:42,cmkirk@ucdavis.edu,2.0,Pursuing,8.0,86.0,29146.0,9467.0,--,24523.0,5524.0,30047.0,78.0,10766.0,6778.0,2.0,--,--
"University of California, Irvine",2016-03-23,2016-03-23 10:32:58,khaq@uci.edu,2.0,Pursuing,15.0,77.0,29005.0,8133.0,1129.0,25095.0,4282.0,29377.0,3059.0,9602.0,7740.0,1426.0,--,"The academic divisions referenced in this credit include:
1. Claire Trevor School of the Arts
2. Francisco J. Ayala School of Biological Sciences
3. The Paul Merage School of Business
4. School of Education
5. The Henry Samueli School of Engineering
6. School of Humanities
7. Donald Bren School of Information and Computer Sciences
8. School of Law
9. School of Medicine
10. School of Physical Sciences
11. School of Social Ecology
12. School of Social Sciences
13. Program in Nursing Science
14. Department of Pharmaceutical Sciences
15. Program in Public Health

The number of non-credit students include those who enrolled in the following in  UC Irvine Extension, Access UCI (concurrent enrollment without formal admission to the University), and the Osher Lifelong Learning Institute for retirees and semi-retirees."
"University of California, Los Angeles",2016-03-24,2016-03-24 13:55:04,sustainability@ucla.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"University of California, Merced",2016-02-25,2016-02-25 16:56:27,cmccormick3@ucmerced.edu,2.0,Pursuing,3.0,44.0,6431.0,1211.3,--,6237.0,448.0,6685.0,--,1454.0,2141.0,41.0,--,--
"University of California, Riverside",2016-03-18,2016-03-18 16:23:34,john.cook@ucr.edu,2.0,Pursuing,7.0,55.0,21416.0,4074.65,--,18608.0,3043.0,21651.0,--,4435.0,6211.0,--,--,--
"University of California, San Diego",2016-03-24,2016-03-24 18:51:48,smckinstry@ucsd.edu,2.0,Pursuing,7.0,112.0,28561.0,20412.0,--,22676.0,5618.0,28224.0,--,28071.0,11509.0,1686.0,563.0,"http://legacy-its.ucop.edu/uwnews/stat/statsum/fall2012/statsumm2012.pdf

UC San Diego does not have the number of non-credit students "
"University of California, Santa Barbara",2016-03-23,2016-03-23 16:14:59,mo@geog.ucsb.edu,2.0,Pursuing,5.0,57.0,21927.0,4394.0,398.0,18360.0,2829.0,21927.0,--,4394.0,8101.0,87.0,--,"Academic Divisions consist of:
College of Engineering
Gevirtz Graduate School of Education
Donald Bren School of Environmental Science & Management
College of Creative Studies
College of Letters & Science, which includes the following divisions:
    Humanities and Fine Arts
    Mathematical, Life and Physical Sciences
    Social Sciences
For this org chart, please see: http://bap.ucsb.edu/IR/orgcharts/charts1314/01%202013-14%20EVC.pdf

For Academic Departments, please see the following links:
http://bap.ucsb.edu/IR/orgcharts/charts1314/2013-14%20College%20of%20Engineering.pdf
This division of the campus identifies 6 academic departments: Chemical Engineering; Computer Engineering Program; Computer Science; Electrical & Computer Engineering; Materials; and Mechanical Engineering.

http://bap.ucsb.edu/IR/orgcharts/charts1314/2013-14%20Humanities%20and%20Fine%20Arts.pdf
In the College of Letters and Science Division of Humanities and Fine Arts, there are 20 academic departments: Art; Classics; Comparative Literature; East Asian Languages and Cultural Studies; English; Film and Media Studies; French and Italian; Germanic, Slavic and Semitic Studies; History; History of Art and Architecture; Latin American and Iberian Studies; Linguistics; Media Arts and Technology; Medieval Studies; Music; Philosophy; Religious Studies; Spanish and Portuguese; Theater and Dance; Writing Program.

http://bap.ucsb.edu/IR/orgcharts/charts1314/2013-14%20MLPS.pdf
In the College of Letters and Science Division of Mathematical, Life, and Physical Sciences, there are 13 academic departments: Bio-Molecular Science and Engineering; Chemistry and Biochemistry; Earth Science; Ecology, Evolution, and Marine Biology; Environmental Studies; Geography; Mathematics; Interdepartmental Graduate Program in Marine Science; Molecular, Cellular and Developmental Biology; Physics; Psychological and Brain Sciences; Speech and Hearing Sciences; Statistics and Applied Probability.

http://bap.ucsb.edu/IR/orgcharts/charts1314/2013-14%20Social%20Sciences.pdf
In the College of Letters and Science Division of Social Sciences, there are 12 academic departments: Anthropology; Asian American Studies; Black Studies; Chicana and Chicano Studies; Communication; Economics; Exercise & Sport Studies; Feminist Studies; Global & International Studies; Military Science; Political Science; Sociology.

These departments, in combination with the Bren School, the College of Creative Studies, and the Gevirtz Graduate School of Education (who also act as academic departments), put the total count of academic departments at 54 for UC Santa Barbara. 







 "
"University of California, Santa Cruz",2016-03-23,2016-03-23 11:55:06,ekericks@ucsc.edu,2.0,Pursuing,5.0,39.0,17544.0,3549.0,--,17167.0,1908.0,18881.0,194.0,4134.0,8293.0,301.0,--,Employee FTE does not include student employees.
University of Colorado Boulder,2016-03-03,2016-03-03 07:50:04,dave.newport@colorado.edu,2.0,Pursuing,11.0,50.0,26124.0,6212.0,1450.0,18142.0,5086.0,29278.0,572.0,7542.0,6014.0,15.0,--,"http://www.colorado.edu/academics/colleges-schools
http://www.colorado.edu/academics/academic-departments
https://housing.colorado.edu/resources-tips/administration
http://www.colorado.edu/pba/facstaff/faccoll20137.htm
http://www.colorado.edu/pba/records/fte/term1213.htm
http://www.colorado.edu/pba/facstaff/
http://www.colorado.edu/pba/records/snap/21272117/snappage13.htm
http://highered.colorado.gov/Publications/Reports/Budget/FY2013/2013_FTE_AllTables.pdf"
University of Colorado Colorado Springs,2016-03-23,2016-03-23 11:35:44,lkogan@uccs.edu,2.0,Pursuing,6.0,61.0,8667.0,1421.0,988.0,9220.0,2101.0,8888.0,332.0,1421.0,1040.0,2.0,--,--
University of Connecticut,2016-03-25,2016-03-25 18:15:00,rich.miller@uconn.edu,2.0,Pursuing,14.0,137.0,21298.0,5902.79,312.0,23407.0,6945.0,23210.0,559.0,6235.0,12723.0,32.0,8.0,These numbers are all either from the Office of Institutional Research and Effectiveness (OIRE) or from the Registrar's report on enrollment
University of Denver,2016-02-26,2016-02-26 12:38:09,chad.king@du.edu,2.0,Pursuing,13.0,64.0,10520.0,2343.0,667.0,5504.0,6261.0,11579.0,356.0,2929.0,2517.0,6.0,--,A number of employees are also taking classes as students.  These counts were removed from the enrollment counts to avoid double counting these employees.
University of Florida,2016-03-23,2016-03-23 09:06:15,miwilliams@ufl.edu,2.0,Pursuing,16.0,166.0,46184.0,13728.71,7690.02,33168.0,16710.0,47877.0,2001.0,13945.0,8307.0,4.0,--,The hospital is not included within the boundary for this submission.
University of Houston,2016-03-23,2016-03-23 17:21:43,smkelly5@central.uh.edu,2.0,Pursuing,12.0,54.0,39387.0,4944.0,967.0,31587.0,7953.0,30400.0,3245.0,7206.0,5783.0,15.0,--,--
University of Illinois at Chicago,2016-02-12,2016-02-12 17:23:50,Cindy@uic.edu,2.0,Pursuing,15.0,99.0,27589.0,10924.0,--,16678.0,11197.0,27093.0,496.0,9898.0,3800.0,--,495.0,--
"University of Illinois, Urbana-Champaign",2016-03-23,2016-03-23 09:19:27,spauldng@illinois.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Louisville,2016-02-13,2016-02-13 03:02:57,justin.mog@louisville.edu,2.0,Pursuing,12.0,93.0,18779.0,6342.0,1525.0,15962.0,5600.0,20324.0,1281.0,6863.0,2639.0,--,--,"The annualized FTE of distance education students is for calendar year 2015 (spring 15, summer 15 and fall 15) and represents students taking only Distance Education courses during that time. Source: Kristen Brown, Asst Dir Dist & Continuing Educ, Delphi Center.

Otherwise, these population figures reflect the 2014-15 academic year. Source: Office of Institutional Research & Planning.

The number of residential students excludes those in affiliated private housing."
"University of Maryland, College Park",2016-03-23,2016-03-23 15:56:14,sdeleon@umd.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Massachusetts Amherst,2015-12-17,2015-12-17 14:45:30,esmall@facil.umass.edu,2.0,Pursuing,9.0,60.0,27106.9,6271.1,798.0,22134.0,6384.0,27520.0,998.0,6271.0,13086.0,--,--,--
University of Massachusetts Lowell,2016-02-04,2016-02-04 11:33:11,Tyler_Arrigo@uml.edu,2.0,Pursuing,8.0,31.0,12884.0,1701.0,1300.0,9804.0,4198.0,15219.0,1713.0,1974.0,3645.0,9.0,--,--
University of Michigan,2016-01-11,2016-01-11 15:37:43,ahorning@umich.edu,2.0,Pursuing,19.0,70.0,41942.0,37643.98,--,28395.0,15230.0,43625.0,45925.0,42110.0,10685.0,360.0,1059.0,"For non-credit students, we estimate an enrollment number of 25 students per class for the 1,837 continuing education opportunities reported for credit EN 11.  We are a large, decentralized University and an exact number is not easy to find. "
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:13,mgranley@d.umn.edu,2.0,Pursuing,5.0,34.0,10146.0,1527.0,--,9987.0,1106.0,10190.0,903.0,1639.0,3005.0,--,--,--
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:29:00,good0044@morris.umn.edu,2.0,Pursuing,5.0,27.0,1859.0,383.0,--,1946.0,--,1846.0,--,383.0,934.0,7.0,--,--
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:42,stennes@umn.edu,2.0,Pursuing,18.0,129.0,45291.65,18425.0,596.0,30135.0,16444.0,46579.0,4568.0,19633.0,6975.0,18.0,1932.0,--
University of Missouri,2015-05-01,2015-05-01 15:33:58,raghavans@missouri.edu,2.0,Pursuing,19.0,97.0,30865.0,9071.9,1785.8,28858.0,9235.0,36376.0,54.0,10670.0,6893.0,18.0,5.0,--
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:26,johnstonrk@umkc.edu,2.0,Pursuing,14.0,26.0,11397.0,3672.0,1584.0,8663.0,5499.0,15746.0,--,5573.0,1334.0,25.0,--,--
University of Mount Union,2016-01-13,2016-01-13 13:05:36,mcclauca@mountunion.edu,2.0,Pursuing,1.0,24.0,2141.0,435.0,10.0,2096.0,91.0,2176.0,11.0,550.0,1558.0,8.0,--,--
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:45:07,pshrestha3@unl.edu,2.0,Pursuing,9.0,182.0,22727.0,5335.96,1084.0,20182.0,4576.0,2324758.0,502.0,5680.0,6912.0,--,--,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:43,slburke@unomaha.edu,2.0,Pursuing,6.0,40.0,12481.0,2150.0,1385.0,12488.0,3028.0,14918.0,598.0,3597.0,2004.0,49.0,--,Number of residential employees includes RAs living on campus. Actual numbers were obtained from residence halls on the Dodge and Pacific campuses (46 student RAs). There are 3 live in Master's level professionals.
University of New Hampshire,2016-03-25,2016-03-25 21:54:36,colleen.flaherty@unh.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,"STARS data only cover the UNH Durham campus and do not include UNH Manchester or UNH Law. Employee data are accurate as of January 2014.

Employee Headcount vs. FTE: On an all-employee basis, FTE values aren’t consistent. For adjunct employees, the concept of an annualized FTE value doesn’t really apply as these are mostly part-time, hourly, and/or temporary employees whose % time fluctuates quite a bit over the course of a year. 

Contacts:

Mary Essley, Institutional Research, mary.essley@unh.edy
Jennifer Biron, Office of the VP for Finance & Administration, jennifer.biron@unh.edu"
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:58:01,cpshea@fac.unc.edu,2.0,Pursuing,15.0,72.0,26988.0,11779.0,1293.0,18350.0,10785.0,27843.0,1435.0,11964.0,8980.0,18.0,--,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:28,cgcarwei@uncg.edu,2.0,Pursuing,8.0,52.0,16351.7,2557.1,1401.0,14592.0,3482.0,17659.0,415.0,2734.0,4616.0,14.0,--,Information is for the 2013-14 academic year.
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:41,pohlmank@uncw.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Oregon,2016-03-23,2016-03-23 11:03:08,smital@uoregon.edu,2.0,Pursuing,9.0,74.0,23455.0,4690.0,30.0,20538.0,3494.0,23449.0,583.0,5292.0,4125.0,13.0,--,"For Full-Time equivalent of distance education students: This is annualized FTE for students exclusively enrolled in distance ed. I think maybe reported any students taking distance ed courses in past.

Number of residential students: 
3-term average(Fall, Winter, Spring) paints most accurate picture of students living in housing during academic year. 4 term average gets pulled way down by fact that very few students here in summer but if you need 4 term average it is: 3025
"
University of Pittsburgh,2016-03-24,2016-03-24 12:59:38,lwzfm1@pitt.edu,2.0,Pursuing,19.0,121.0,26738.0,11529.0,439.0,18908.0,9741.0,28219.0,430.0,12245.0,7900.0,--,--,"Distance Education - The University does not calculate FTE status.  The figure included above is the total headcount of students enrolled exclusively in distance education courses.  The 439 students include 26 undergraduates and 413 graduate students.  In addition, at the time the data was recorded, 748 undergraduate and 651 graduate students were enrolled in some, but not all, distance education courses."
University of Richmond,2016-02-17,2016-02-17 15:17:46,randreje@richmond.edu,2.0,Pursuing,5.0,30.0,3761.0,1647.0,--,3264.0,916.0,3972.0,208.0,1839.0,2700.0,9.0,--,Distance education includes only for-credit courses. We are not tracking non-credit course numbers.
University of South Carolina,2016-02-29,2016-02-29 17:11:50,KOPPAN@mailbox.sc.edu,2.0,Pursuing,14.0,71.0,28022.0,4401.0,357.0,24863.0,7337.0,30199.0,16322.0,6469.0,12845.0,17.0,--,--
University of South Florida,2016-02-26,2016-02-26 13:29:46,sustainability@usf.edu,2.0,Pursuing,14.0,107.0,28494.0,9881.0,5386.0,30324.0,9135.0,41888.0,1771.0,9881.0,5907.0,--,--,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 23:00:35,davidv@mail.usf.edu,2.0,Pursuing,3.0,10.0,4080.12,690.95,1005.0,4179.0,571.0,4505.0,245.0,1051.0,469.67,14.67,--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:32,prestonj@utk.edu,2.0,Pursuing,11.0,92.0,25263.6,7333.0,673.0,21451.0,5959.0,27410.0,1087.0,9609.0,7213.0,--,581.0,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:03:00,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,Data based on academic year beginning Sept 1 2014.
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:36,mtare@uta.edu,2.0,Pursuing,10.0,180.0,38000.0,5000.0,14770.0,25736.0,9134.0,38000.0,25000.0,5000.0,4000.0,10.0,40.0,--
University of Texas at Austin,2016-03-21,2016-03-21 16:15:00,jim.walker@austin.utexas.edu,2.0,Pursuing,18.0,113.0,46486.0,12849.0,78.0,39979.0,12080.0,47706.0,657.0,14146.0,7327.0,16.0,--,The institution only reports headcounts of enrollment in distance education to iPEDS. Used number of students enrolled exclusively in distance education courses. 
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:10,thea.junt@utdallas.edu,2.0,Pursuing,7.0,78.0,16006.0,2843.0,--,14319.0,8776.0,18227.0,566.0,2843.0,5181.0,--,--,--
University of Toledo,2016-03-25,2016-03-25 15:22:16,neil.tabor@utoledo.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Virginia,2015-12-11,2015-12-11 14:05:54,art2k@Virginia.edu,2.0,Pursuing,11.0,72.0,22030.0,13864.2,--,14898.0,6340.0,20993.0,245.0,14364.0,6698.0,200.0,570.0,--
University of Winnipeg,2016-01-13,2016-01-13 14:36:55,a.lajoie-omalley@uwinnipeg.ca,2.0,Pursuing,6.0,48.0,7061.0,810.0,--,9355.0,242.0,9597.0,--,810.0,396.0,--,--,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:54,fermanij@uwgb.edu,2.0,Pursuing,2.0,50.0,5051.0,683.0,535.0,6444.0,223.0,5935.0,732.0,561.0,1934.0,18.0,--,--
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:34:51,knelson6@uwm.edu,2.0,Pursuing,14.0,75.0,22259.5,3477.0,--,22321.0,4835.0,27401.0,412.0,3949.0,4224.0,--,--,FTE of distance education students unknown at time of submission. 
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:41:41,kermathb@uwosh.edu,2.0,Pursuing,4.0,47.0,11809.0,1494.0,--,13194.0,1217.0,11271.0,54.0,1494.0,3600.0,300.0,--,--
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:16:11,seebotha@uwplatt.edu,2.0,Pursuing,3.0,64.0,7878.0,1266.0,116.7,8047.0,854.0,8649.0,252.0,1032.0,3250.0,--,--,"Source of employee headcount: https://www.wisconsin.edu/accountability/faculty-and-staff/
Source of employee FTE: https://www.wisconsin.edu/download/publications(2)/Fact-Book.pdf

The FTE is higher than the headcount, possibly because the FTE is a budgeted number while headcount is actual? I can't find an adequate explanation for this, or a better source of data."
University of Wisconsin-Stevens Point,2016-01-28,2016-01-28 12:02:00,sjanowsk@uwsp.edu,2.0,Pursuing,4.0,43.0,8536.0,1219.0,53.0,8998.0,324.0,9322.0,14698.0,1352.0,3399.0,--,--,--
University of Wisconsin-Stout,2016-03-25,2016-03-25 10:49:06,rykals@uwstout.edu,2.0,Pursuing,8.0,22.0,9371.0,1120.0,1787.0,8172.0,1114.0,9371.0,2940.0,1402.0,6129.0,10.0,--,"Academic Divisions:
*College of Arts, Humanities and Social Sciences
*College of Management
*College of Education, Health and Human Sciences
*College of Science, Technology, Engineering and Mathematics
*School of Art and Design
*School of Education
*Graduate School
*School of Hospitality Leadership"
University of the Pacific,2016-03-23,2016-03-23 15:38:51,seller@pacific.edu,2.0,Pursuing,9.0,53.0,4803.0,1188.67,--,3735.0,781.0,5151.0,--,1296.0,1905.0,21.0,--,"Based on the definition of graduate students, our First Professional students are not accounted for - missing 635 students between the undergraduate and graduate data fields.  "
Vanderbilt University,2016-03-21,2016-03-21 10:46:18,andrea.george@vanderbilt.edu,2.0,Pursuing,10.0,49.0,12321.0,24429.0,--,6835.0,5875.0,12710.0,--,25026.0,6048.0,19.0,1019.0,--
Vassar College,2016-03-10,2016-03-10 19:47:30,alihall@vassar.edu,2.0,Pursuing,1.0,52.0,2385.0,1021.0,--,2406.0,--,2406.0,--,1099.0,2354.0,200.0,--,--
Villanova University,2016-03-21,2016-03-21 13:11:38,liesel.schwarz@villanova.edu,2.0,Pursuing,6.0,63.0,9563.0,2439.0,815.0,7472.0,3144.0,10728.0,651.0,2743.0,4455.0,13.0,--,Employee head count includes full time faculty and FT staff only.
