Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have any building space certified under the following green building rating ...,Does the institution have any building space certified under LEED or another 4-tier rating system ...,"Does the institution have any new building space certified under the DGNB system, Green Star, or ...","Does the institution have any building space certified under BREEAM, CASBEE, or another 5-tier GBC ...",Does the institution have any building space certified under the Living Building Challenge?,Does the institution have any building space certified under other non-GBC rating systems for new ...,A brief description of the green building rating system(s) used and/or a list of certified ...,Total floor area of eligible building space (design and construction),Floor area of building space that is certified at each level under a 4-tier rating system for new ...,Floor area that is certified at minimum level under a 4-tier GBC rating system for new construction ...,Floor area that is certified at the 3rd highest level under a 4-tier GBC rating system for new ...,Floor area that is certified at the 2nd highest level under a 4-tier GBC rating system for new ...,Floor area that is certified at the highest achievable level under a 4-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 3-tier rating system for new ...,Floor area that is certified at minimum level under a 3-tier GBC rating system for new construction ...,Floor area that is certified at mid-level under a 3-tier GBC rating system for new construction and ...,Floor area that is certified at the highest achieveable level under a 3-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 5-tier rating system for new ...,Floor area that is certified at minimum level under a 5-tier GBC rating system for new construction ...,Floor area that is certified at the 4th highest level under a 5-tier GBC rating system for new ...,Floor area that is certified at mid-level under a 5-tier GBC rating system for new construction and ...,Floor area that is certified at the 2nd highest level under a 5-tier GBC rating system for new ...,Floor area that is certified at the highest achievable level under a 5-tier GBC rating system for ...,Floor area of building space certified Living under the Living Building Challenge,Floor area of building space that is certified at any level under other green building rating ...,Floor area of building space that was designed and constructed in accordance with green building ...,A copy of the guidelines or policies ,The date the guidelines or policies were adopted,A brief description of the green building guidelines or policies and/or a list or sample of ...,A brief description of how the institution ensures compliance with green building design and ...,The website URL where information about the institution’s certified buildings and/or green building ...,Public Notes
Drew University,2016-03-25,2016-03-25 16:11:14,swald@drew.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Duke University,2016-02-26,2016-02-26 14:17:57,tavey.mcdaniel@duke.edu,2.0,Pursuing,**,True,--,--,--,--,"All buildings built between 2010 and 2015 earned a minimum of LEED certification, most earned Silver or Gold certification. 

Smith Warehouse Renovation - Silver - 140,000 sq ft Sands Parking Garage - Certified - 690,000 sq ft East Campus Steam Plant - Gold - 7,000 sq ft Lemur Center - Silver - 18,000 sq ft Chilled Water Plant 2 - Gold - 43,943 sq ft Multipurpose Field House - Silver - 89,000 sq ft Keohane K-4 Residence Hall - Silver - 68,000 sq ft Cancer Center - Gold - 259,906 sq ft Trent Semans Center for Health Education - Gold - 108,462 sq ft Baldwin Auditorium - Silver - 38,200 sq ft Duke Medical Pavilion - Gold - 608,584 sq ft 

As of June 2015, Duke has 9 additional buildings that are registered for LEED and are going through the certification process. ",2071095.0,**,690000.0,353200.0,1027895.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,,http://sustainability.duke.edu/campus_initiatives/buildings/index.html,"Duke has more than 5.4 million GSF of LEED buildings on campus
-30 LEED™ certified buildings totaling over 4 million sq ft
-9 Registered LEED™ buildings totaling over 1.3 million sq ft"
Earlham College,2016-03-03,2016-03-03 10:49:50,butchli@earlham.edu,2.0,Pursuing,**,True,--,--,--,--,All new construction is to be GBC LEED certified to the gold level or higher.,92297.0,**,--,--,92297.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,,--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:14,stoddardl@easternct.edu,2.0,Pursuing,**,True,--,--,--,--,"At Eastern we have one certified USGBC LEED silver Science Building, and three LEED certified dormitories, Constitution, Nutmeg, and Laurel. 
",502087.0,**,261663.0,180605.0,--,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,Eastern follows USGBC guidelines on how to certify buildings at each credit category. Future buildings will also be governed by the CT High Performance Building Requirements which are equivalent to LEED Silver or above. ,http://www1.easternct.edu/sustainability/green-buildings/,"This information was collected using information provided from Shellena Pitterson, and Renee Theroux-Keech. "
Elon University,2016-01-14,2016-01-14 09:32:45,edurr@elon.edu,2.0,Pursuing,**,True,--,--,--,--,"Alumni Field House - LEED NC Gold; Loy Center Houses N, O, P, Q, R, S - LEED for Homes Platinum; Gerald L. Francis Center - LEED NC Silver; The Depot at the Station at Mill Point - LEED NC Silver; Station at Mill Point Houses 120, 431, 451, 471 - LEED for Homes Gold; Kivette Hall, William W. Staley Hall and William A. Harper Hall - LEED NC Gold; Numen Lumen Pavilion - LEED NC Silver; Lakeside Dining Hall - LEED NC Silver; Global Commons Building and Global Residence Halls A-E - LEED NC Silver; Inman Admissions Welcome Center - LEED NC Silver",924273.0,**,--,399165.0,165363.0,24122.0,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,"The University has a Green Building Policy indicating new construction projects and major renovations consisting of 8,000 or more square feet of conditioned, occupied space will pursue LEED certification. LEED Silver certification is the strongly preferred level and in no case will such projects achieve less than LEED Certified certification. New projects less than 8,000 square feet and minor renovations must follow the University’s Sustainability Design Standards at a minimum. The Standards do not cover all of the topics outlined in STARS.",,http://www.elon.edu/e-web/bft/sustainability/ci-buildings.xhtml,This information represents buildings completed in 2011 to 2015.
Emory University,2016-02-29,2016-02-29 16:26:29,ciannat.howett@emory.edu,2.0,Pursuing,**,True,--,--,--,True,"LEED NC Rating System (except as noted)

Gold         
Goizueta Business School (EB) 	122,000
Oxford College Residence Hall	114,381
Yerkes Field Station	17,500
Psychology	121,178
Goizueta Business School Addition	101,920
Few Residence Hall	110,048
Evans Residence Hall	
Longstreet-Means Residence Hall	114,000
Oxford Road Building	58,000
Hamilton Holmes Hall	37,868
Yerkes Dual Function Facility	19,417
			
Silver	
Whitehead Biomedical Research	325,000
Candler Library	53,540
Turman Residential Hall	44,000
Yerkes Nueroscience	98,232
Emory Conference Center Addition	87,000
Candler School of Theology	75,047
School of Medicine	176,367
Rollins School of Public Health Addition	195,000
Yerkes IRA	19,266
Oxford Language Hall Addition	7,440
Oxford Library and Academic Commons	29,501
			
Certified
Math & Science	136,000
Winship Cancer Institute 	244,195
Pediatrics	152,000
			
Pending LEED Certification			
Projects completed but not yet certified			
HSRB	211,961
						
Projects Registered 	
Chemistry Building Addition	71,100
Elenore Raoul Hall	107,922
CSOT Phase 2	67,963
Oxford East Village III	51,364
Alabama Hall	24,000
Oxford Science Building	55,000
					 
Sorority Village (EarthCraft certified)	92,920
		 
Totals		 
13	Gold	975,598
16	Silver	1,540,417
3	Certified	532,195
1	EarthCraft  92,920",726776.0,**,--,376313.0,350463.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/16/2/33/255/EmoryCampusPlan.pdf,2002-01-01,"Effective 2002, Emory adopted the LEED Silver minimum certification level as its standard for all new construction and major renovations.","All university capital projects are handled through the Campus Services department, which follows LEED certification criteria guidelines during the design and implementation process. Each capital project is also reviewed by the Committee on the Environment, which may make additional suggestions about improving the sustainability aspects of the project.",http://www.campserv.emory.edu/pdc/engineering/Resource_Management.html,"Data reported for 2013-2014 fiscal year.

Emory holds the distinction of having one of the largest inventories by square footage of LEED-certified building space among campuses in America and has been a pioneer in the green building movement in higher education. In 2000, Emory’s Whitehead Biomedical Research Building became the first LEED-certified building in the Southeast, and the Goizueta Business School became the first Gold-certified LEED-EB (LEED for Existing Buildings) in the entire country in 2005. Since 2005 Emory has certified 25 buildings under the LEED program.

See also: http://sustainability.emory.edu/page/1007/green-buildings/green-space

The Yerkes Field Station (Gold) and Oxford College Language Hall and Library (both Silver), all eligible building space within the last 5 years as per STARS credit criteria,  were not included here because they fall outside of our STARS reporting boundary."
Endicott College,2016-03-01,2016-03-01 10:10:00,screight@endicott.edu,2.0,Pursuing,**,--,--,--,--,--,,120000.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,120000.0,http://stars.aashe.org/media/secure/689/6/475/2712/Operated%20and%20maintained%20in%20accordance%20with%20sustainable%20operations%20and.docx,2013-02-13,"New buildings:  Life Science/Business, Marblehead Hall, and the Callahan renovations are expected to be LEED-certifiable.   Specific efforts were made to enhance energy efficiency.  Utility energy efficiency incentives were maximized. 

The Hockey rink followed similar efforts, specially focued on energy with heat recovery and solar. ",The Directory of Sustainability is a participant in design meetings.  The College participates in the Utility-sponsored technical assistance grant programs. ,http://www.endicott.edu/AboutEndicott/Sustainability/SustainBldgGrounds.aspx,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:14,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Fort Lewis College,2016-03-27,2016-03-27 15:59:45,kehilimire@fortlewis.edu,2.0,Pursuing,**,True,--,--,--,--,"The Student Union Addition, which came online in FY2011 with a gross square footage of 39,506, is certified LEED Gold. It is the only eligible building space on campus.",39506.0,**,--,--,39506.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,"As mandated by the State of Colorado, state-funded new construction at FLC must be certified LEED Gold or above. Design and construction of auxiliary buildings is covered under language in FLC's campus master plan that dictates adherence to sustainability principles.",https://www.fortlewis.edu/Portals/39/FLC_SU_Green_Bldg_Profile.pdf,--
Furman University,2016-02-22,2016-02-22 13:43:00,yancey.fouche@furman.edu,2.0,Pursuing,**,True,--,--,--,--,"Since 2001, Furman has required that all new or significantly renovated buildings meet LEED-Silver standards. The university is now home to six LEED-certified buildings, including Hipp Hall, the first LEED-certified building in South Carolina (LEED-Gold); Cliffs Cottage, a sustainable showcase home and home to the David E. Shi Center for Sustainability (LEED-Gold); and the Charles E. Townes Science Center (LEED-Gold).  

The complete list as follows: 
Hipp Hall-	 Gold
Duke Library-  Gold
Farmer Hall-  Certified
Pac Renovaton-  Silver
Furman Hall-  Certified
Townes Science Center-  Gold
Shi-Center for Sustainability  Gold
Younts Center-  Certified
",616427.0,**,108505.0,82454.0,425468.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,Furman University follows LEED Certification guidelines and makes necessary decisions to ensure certification.,--,--
George Washington University,2016-02-29,2016-02-29 13:04:22,shannonross@gwu.edu,2.0,Pursuing,**,True,--,--,--,--,"South Hall 2010 (gold) 214,346 sf
West Hall 2010 (gold) 139,591 sf
Lafayette Hall 2012 (gold) 36,035 sf
Smith Center 2012 (gold) 129,302 sf
Ames Hall 2012 (gold) 55,713 sf
Law Clinic 2014 (gold) 27,651 sf
Ross Hall 2014 (gold) 34,930 sf
Museum Conservation Center 2014 (silver) 55,050 sf
LLC and G St Garage 2014 (silver) 37,658 sf 
School of Public Health 2014 (platinum) 130,807 sf 
GW Museum 2014 (gold) 50,394 sf
Science and Engineering Hall 2015 (gold) 431,717 sf",1343194.0,**,--,92708.0,1119679.0,130807.0,**,--,--,--,**,--,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/518/5/311/1746/GW%20Design%20Standards%2001012011.pdf,2009-09-22,GW's Amsterdam Hall (formerly called New Hall) was built in accordance to green standards prior to the widespread adoption of the LEED standards. This building came online in 1997. ,"It is university policy to achieve at least LEED Silver status for all new construction and major renovations.  This has been achieved since the policy was adopted in 2009 by earning one LEED Platinum certification, nine LEED Gold certifications, and two LEED Silver certifications from USGBC . ",http://sustainability.gwu.edu/green-building,--
Georgia College & State University,2016-03-25,2016-03-25 19:08:48,doug.oetter@gcsu.edu,2.0,Pursuing,**,True,--,--,--,--,"Wellness Center- LEED Silver
Ennis Hall- LEED Silver",135530.0,**,--,135530.0,--,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,Project manager.,http://old.gcsu.edu/green/design.htm,--
Gonzaga University,2016-02-29,2016-02-29 13:09:17,simonj@gonzaga.edu,2.0,Pursuing,**,True,--,--,--,--,"PACCAR - GOLD LEED
Silver LEED Pending for:
BARC
Stevens Center",29000.0,**,--,--,29000.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,,--,--
Green Mountain College,2016-03-21,2016-03-21 15:55:16,ihrker@greenmtn.edu,2.0,Pursuing,**,--,--,--,--,--,"Two Editor’s Inn major renovation built in accordance with Green Mountain College’s Construction Policy. 

The following buildings to not meet the criteria of eligible buildings due to the date the building was completed(more than 5 years old) or the small size of the floor area(less than 1000 square feet)
Sage Hall--LEED Gold (2010).  Olwen Solar Garage(2012) and OVaL shed(2011)-- both built in accordance with Green Mountain College’s Construction Policy and/or REED's green building guidelines (2011).
",7320.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,3720.0,http://stars.aashe.org/media/secure/26/6/475/2712/GMC%20Green%20Building%20Policy.docx,2010-12-08,"Purpose
As a part of signing the President’s Climate Commitment in 2007, GMC plans to reduce our environmental impact during College new construction. The College strives to create a built environment in which we work and live that applies our ecological mission while drawing upon the highest standards in sustainable design.
 
Policy
This policy applies to all new construction as defined by the USGBC:
·         All new construction will be implemented to be equal to the US Green Building Council’s LEED Silver, or better.
·         All new construction will be LEED Silver certified or better, when financially feasible.
·         All new construction will prioritize the use of recycled, local, healthy, natural, and environmentally sound materials.
·         Considering our region, in which heating is a primary use of energy, specific attention will be placed on issues associated with thermal efficiency and reduced energy consumption.
·         When envisioning a new construction project, the design team is encouraged to consider criteria set forth by The Living Building Challenge and Passive House design guidelines.
·         Preference will be given to local contractors, subcontractors, and suppliers.
 
Exemptions
Campus buildings such as the barns at the farm and those buildings used for machinery storage for landscape and other infrastructure are officially exempt from this policy, but any projects on these buildings are highly encouraged to follow sustainable building practices.
 
Implementation
A Green Building committee will oversee this policy, consisting of students, staff and faculty, which will be established when needed, to ensure that the policy objectives are being implemented. This committee will consider the complete life cycle of materials used, the long-term environmental and social effects resulting from changes in our campus environment, and the financial aspect of construction. Building professionals will be responsible for providing documentation ensuring building practices meet the standards of this policy.
 
Definitions
LEED: Leadership in Energy and Environmental Design is a rating system developed by the US Green Building Council, which provides standards for environmentally sound building practices and is used to determine the overall environmental performance of a building over its entire life cycle.
 
The Living Building Challenge is initiated by The Living Building Institute www.ilbi.org, which aims to encourage a holistic approach to new construction. It addresses a broad array of issues including ecological systems as well as the built environment.
 
Passive House design guidelines www.passivehouse.us/passiveHouse/PHIUSHome.html primarily address the solar design and the building envelope, including insulation values and infiltration.


Olwen Solar Garage (2012)
- Use the sun for all heating and electricity needs
- Create a building that supports the use of electric vehicles in cold climates
- In order of importance, use materials that are: reclaimed, recycled, locally sourced (local wood, slate, etc.), support local businesses
- Apply integrated design practices
- Greenhouse that heats the building while also growing food for the farm
- Roof that provides shelter, produces electricity, and has the capacity to collect water
- Use of low embodied energy and non-toxic materials
- Dense pack cellulose insulation
- Wood siding
- Wood interior sheathing
- No-VOC paints
- Sustainability education
- Use of the building as an educational tool through: a student led design and construction process, a learning tool in GMC courses
(QEA), and through field trips from local schools

OVaL shed (2011)
- Integrated Design
- Roof that collects water and provides shelter
- Walls that provide shelter, daylight, and the ability to germinate seeds
- Open building system that allows for long term flexibility based on user needs
- Design for disassembly allows the building to be broken down into small parts and moved with a small vehicle
- In order of importance, use materials that are: reclaimed, recycled, locally sourced (local wood, slate, etc.), support local businesses
- The building is intended to support small-scale urban growers. It is currently being used to support the native plant nursery.","The College vets projects with the campus sustainability, utilizes the knowledge of Renewable Energy and Ecological Design professor, Lucas Brown, and collaborates with other professional, such as professional solar installer Khanti Munro of Positive Energy, master electrician Glenn LaPlante, and many others so that they could ensure high quality and compliance with the guidelines.
",http://www.greenmtn.edu/sustainability/sustainability-on-campus/energy-buildings/energy-efficiency-construction/,"More information about the OVaL shed can be found here:
http://inhabitat.com/occupy-vacant-lots-project-constructs-a-pre-fab-shed-for-urban-gardeners/oval-shed-project-6/  
More information about the Olwen Solar Garage can be found here:
http://www.treehugger.com/green-architecture/green-mountain-reed-olwen-college-solar-garage.html 
More information on LEED-Gold Sage Hall can be found here:
https://www.youtube.com/watch?v=TB55PmMUCLk 

Total eligible square footage includes the Two Editors and , and the Meeting House (eligible referring to undergoing a major renovation within the last five years, over 1000 square feet gross floor area). 
"
Guilford College,2016-03-08,2016-03-08 08:08:30,corrybc@guilford.edu,2.0,Pursuing,**,True,--,--,--,--,Archdale Hall - LEED Silver earned in 2008,93152.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,93152.0,http://stars.aashe.org/media/secure/324/4/172/997/CAP.pdf,2007-05-19,"Jack Jensen Golf Building: 2013: 1,628 sq. ft.
Stewart Maynard Batting Center: 2011: 2,100 sq. ft.
Founders Hall Renovations: 2012: 65,314 sq. ft.
King Hall Renovations: 2012: 10,000 sq. ft.
Mary Hobbs Hall Renovations: 2015: 16,000 sq. ft.","The college requires all designers, engineers, and architects to adhere to LEED standards or higher for all projects. Materials, equipment, finishes, etc. are reviewed stringently before approval.",http://acupcc.aashe.org/stats/tangible-actions/,"We have answered this to the best of our ability, but found this credit to be confusing. We do have a LEED certified building, but it was renovated to achieve this rating in 2008 and this form asks for anything within the last five years."
Hampshire College,2016-03-23,2016-03-23 09:57:55,bhooker@hampshire.edu,2.0,Pursuing,**,True,--,--,--,--,"Hampshire College achieved LEED Gold for the Liebling Center's Ken Burns Wing.

With a planned opening in April 2016, the RW Kern Center is Hampshire's new 17,000-square-foot living building, designed to operate net-zero energy and net-zero water by treating its own waste.  Located at the heart of campus, this multifunctional learning, teaching, and exhibition center promises to serve for years to come as a living laboratory, where students and the public can study its systems and performance, tied to measures for sustainability.

The College's goal is for the RW Kern Center to be only the sixth building in the world to achieve Living Building Certification (LBC), which requires the creation of a net-zero energy, waste, and water building.

The RW Kern Center is a living symbol of Hampshire's vision of student-driven learning, sustainability, and ethical citizenship, celebrating the confluence of architectural design and conservation.",7800.0,**,--,--,6600.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,,--,"One of the most impressive aspects of Hampshire's profile is the lack of physical expansion the campus has undergone in the last decade.  With its focus on utilizing existing space, Hampshire has been able to limit the growth of its campus carbon footprint, energy consumption, water use, etc. 

The RW Kern Center is Hampshire College's first new building in over a decade, and is designed and built to the world's most stringent green building standard.  "
Harvard University,2016-02-29,2016-02-29 16:58:56,colin_durrant@harvard.edu,2.0,Pursuing,**,True,--,--,--,--,"In 2015, Harvard reached the 100 LEED certified projects milestone, more than any other higher education institution in the world according to the USGBC:
http://news.harvard.edu/gazette/story/2015/11/harvard-breaks-leed-record/

As of January 2016, Harvard has 132 LEED projects – 132 certified and 27 registered projects.

All LEED certified buildings and case studies are listed at: http://www.energyandfacilities.harvard.edu/green-building-resource/leed-case-studies. 
",3100000.0,**,27000.0,169000.0,1200000.0,600000.0,**,--,--,--,**,--,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/469/6/475/2712/2014%20Harvard%20Green%20Building%20Standards_12-1-14_1.pdf,2007-01-01,"Harvard's comprehensive Green Building Standards apply to all capital projects, renovations and building system upgrades $100,000 and above. 

The Harvard Green Building Standards were last updated in 2014, building upon the 2007 Green Building Guidelines and 2009 Green Building Standards. The 2014 version of the Standards include healthy material requirements for the disclosure of health and environmental impacts of products that are used on campus in order to help Harvard assess opportunities to understand the community’s exposure to potential toxins. They also include requirements for analyzing the feasibility of Net-Zero and Living Building Challenge certification for major capital projects and special considerations for laboratories and data centers, the most energy-intensive spaces on campus. Additional updates include a requirement for LEED v4 Gold certification, energy reduction targets beyond ASHRAE 90.1-2010, and revisions to Measurement and Verification standards that are used to assess the effectiveness and performance of energy and mechanical systems

In addition to these updated requirements and recommendations, the Standards require:
Integrated design goal-setting charrettes with all key stakeholders
Multiple iterations of energy models
Life cycle cost analysis

Prescriptive requirements such as aggressive energy and water reduction targets.
To support successful implementation of the Standards, Harvard has developed a set of tools and resources including: The Green Building Resource knowledge sharing website with LEED case studies and documentation; a University-specific Life Cycle Cost Calculator, Green Revolving Fund, and in-house Green Building Services consultant services.","Compliance with the Green Building Standards is reviewed as part of Harvard's larger capital project planning, review and approval process.",http://www.energyandfacilities.harvard.edu/green-building-resource,--
Haverford College,2016-03-02,2016-03-02 12:02:02,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Haverford College Master Plan-2009:  http://www.haverford.edu/facilities/pdf/FinalReport.pdf
Haverford College Strategic Plan-2014: http://www.haverford.edu/president/planning/      

"
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:41,sustainability@hws.edu,2.0,Pursuing,**,--,--,--,--,--,"A new 65,000 sq. ft. Performing Arts Building starting occupancy in January 2016 will be LEED-certified. We fully anticipate LEED Silver or better based upon engineering and all construction plans.",18782.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,18782.0,http://stars.aashe.org/media/secure/495/5/311/1746/Climate%20Action%20Plan.pdf,2010-04-23,"The Caird Center for Sports and Recreation (2010) and Comstock Hall renovations (2011) 

Hobart and William Smith Colleges have endeavored to be sustainable in our design and construction efforts for many years, with leadership of those efforts driven by our associate director for planning and construction, who is a LEED, AP and a graduate of the College of Environmental Science and Forestry at Syracuse University. Though our first pending certified building (LEED Silver or better), the Gearan Center for the Performing Arts, HWS has consistently demonstrated green practices, including hiring leading green consultant to guide and document our construction efforts, engagement with the art and architecture department and participating on juries for student work in architecture and urban planning.

Opening in January 2016, the Gearan Center for the Performing Arts will proudly be our first LEED Silver building on campus. The building is 65,000-square-feet and is a crossroads of activity located at the heart of campus, eventually sharing its green story with a plaque and signage. The green engineer was selected as our LEED consultant on this project.

For the Caird Center for Sports and Recreation, a renovation and addition project, the Colleges consulted with the Sustainable Architecture department of SWBR Architects in Rochester, N.Y., to direct the design of a “LEED like” building, and documented that success. The renovation and addition do not fit as a LEED project. 

For the Comstock Hall residence conversion, the Colleges again hired a consultant, Kevin Stack Associates, to guide and monitor our “LEED like” project that included high efficiency boilers, added insulation and a green roof. The conversion did not fit as a LEED project.","Hobart and William Smith Colleges have endeavored to be sustainable in our design and construction efforts for many years, with leadership of those efforts driven by our associate director for planning and construction, who is a LEED, AP and a graduate of the College of Environmental Science and Forestry at Syracuse University. Additionally, the HWS sustainability manager sits on the design team for new construction and major renovation projects and ensures that projects meet sustainability criteria. In addition, as a signatory to the President's Climate Commitment, we have committed to all major projects meeting USGBC LEED requirements.",http://www.hws.edu/about/green/climate_action_plan.aspx,--
Indiana State University,2016-03-29,2016-03-29 10:17:18,caroline.savage@indstate.edu,2.0,Pursuing,**,True,--,--,--,--,"The LEED standard is our preferred green building rating system. Currently our new constructions have been built to LEED Silver standards, but have not been officially certified. ",884324.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,237450.0,http://stars.aashe.org/media/secure/614/6/475/2712/ISU-Climate-Action-Plan-Final-2010.pdf,2010-05-04,"Student Recreation Center was built to LEED standards but not certified.  
Blumberg Hall, Reeve Residence Hall East and West are all pending LEED Certification.","D. LEED: Project is designed to comply with a Silver Certification Level according to the
U.S. Green Building Council’s Leadership in Energy & Environmental Design (LEED)
Rating System, as specified in Division 1 Section “LEED Requirements.”
1. LEED provides a framework for meeting sustainability goals and recognizes
achievements in “green building” through a system of project certification.
2. LEED strategies are generally categorized into the areas of sustainable site development,
water savings, energy efficiency, materials selection and indoor environmental
quality.
3. Indiana State University’s goal is for this Project is to achieve the highest LEED
certification possible with a minimum of a silver certification. Toward this end,
many LEED requirements are specified in Sections 1 through 16 of the specifications.
4. In order for all parties involved with the Project to work toward the highest LEED
certification possible, the cooperation of the Contractor is sought in exercising
reasonable judgment for the attainment of maximum sustainability. That is, when
a sustainable act is as economical and as timely to perform as a non-sustainable
act, and both acts will have the same result, the Contractor’s cooperation is requested
in performing the sustainable act.
5. Some LEED requirements are the responsibility of the University or others and,
when this is the case, such requirements will be so identified.",http://unboundedpossibilities.com/institute-for-community-sustainability/campus/built-environment.aspx,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:42:37,brownwm@indiana.edu,2.0,Pursuing,**,True,--,--,--,--,"Indiana University Bloomington has four LEED Silver buildings and four LEED Gold certified buildings. These are:

Gold
Cyber Infrastructure Building (NC 2009)
Jacobs School of Music North Studio (NC 2.2)
3rd and Union Apartments (NC 2009)
Rose Avenue Residence Hall (NC 2009)

Silver
Research and Teaching Preserve Laboratory (NC 2.2)
Innovation Center (NC 2.2)
Tulip Tree Apartment renovation (NC 2009)
Multidisciplinary Science Building II (NC 2.2)

A number of projects are also in review, these include:

Gold (projected)
Kelly School of Business addition (NC 2009)
Global and International Studies Building (NC 2009)

Silver (projected)
Union Street Residence Hall (NC 2.2)
Forest Quad Dining Hall (NC 2009)",1144693.0,**,--,439393.0,705300.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,2014-12-05,"All new building and renovation projects must embrace sustainable design and building practices. Indiana University is committed to achieving LEED® Gold certification for all projects as defined by the United States Green Building Council, replacing an earlier standard of LEED Silver, which had been established in 2010.

As stated in the 2014 Strategic Plan:
""IU has also become a leader in high quality environmentally conscious design, and leads the Big Ten in LEED-certified green buildings with twelve certified to date, including four at the gold level (platinum is the highest certification). This strategy pays dividends for the life of each building in terms of occupant health and productivity, resource efficiency, life cycle cost savings, and retention of human capital"" and includes in the Action Items that IU will ""Certify all major new buildings with the LEED Green Building Certification System and elevate the minimum certification level to Gold.""

Some (but not all) of IUB's LEED projects are showcased here: http://sustain.indiana.edu/programs/green-building/green-building-projects/projects-index.php","The University Director of Sustainability (architect and LEED AP) sits in on all construction meetings where LEED compliance is discussed to assist with successful certification. Many LEED credits have been built into building standards. LEED Gold Certification is required on all major new buildings and renovations (as noted in the IU Strategic Plan, page 42). ",https://strategicplan.iu.edu/plan/building.html,--
Juniata College,2016-03-23,2016-03-23 08:08:20,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:16:11,mknowle1@kent.edu,2.0,Pursuing,**,True,--,--,--,--,"LEED NC v2009 - Harbourt Hall - Gold
LEED NC v2009 - Heer Hall - Gold
LEED NC v2009 - Wright Hall - Certified
LEED NC v2009 - Koonce Hall - Silver
",266687.0,**,107057.0,108303.0,51327.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,"New construction and major renovation projects are required by the Office of the University Architect to target LEED Silver or better.  In addition, green building strategies have been adopted into the design and engineering guidelines.",http://www.kent.edu/sustainability/green-building,--
Knox College,2016-03-23,2016-03-23 08:29:49,sustainability@knox.edu,2.0,Pursuing,**,--,--,--,--,--,,1100000.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,,--,--
Lehigh University,2016-02-29,2016-02-29 00:26:09,sustainability@lehigh.edu,2.0,Pursuing,**,True,--,--,--,--,Lehigh University uses USGBC LEED rating system. We currently have 1 new building that is LEED Gold.,137330.0,**,--,--,137330.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/442/6/475/2712/LU_Climate_Commitment_Letter_09.pdf,2009-04-22,"While Lehigh has not created a specific policy for new design and construction, we did sign a climate commitment (2009) that includes new design and construction goals and we passed a Sustainability Plan (2012) reiterating this commitment.","While there is no formal process in place for ensuring compliance with green building and design guidelines as of this submission, Campus Planning is in the process of creating guidelines and policies pertaining to campus projects.",--,--
