Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Has the institution conducted an employee satisfaction and engagement survey or other evaluation ...,"The percentage of employees (staff and faculty) assessed, directly or by representative sample",A brief description of the institution’s methodology for evaluating employee satisfaction and ...,A brief description of the mechanism(s) by which the institution addresses issues raised by the ...,The year the employee satisfaction and engagement evaluation was last administered,The website URL where information about the institution’s employee satisfaction and engagement ...,Public Notes
Elon University,2016-01-14,2016-01-14 09:32:49,edurr@elon.edu,2.0,Pursuing,True,100.0,"Elon University conducts various employee satisfaction assessments throughout the year.  
Employees with faculty rank are assessed through the Higher Education Research Institute (HERI) survey, which gathers faculty perspectives on institutional climate, sources of stress and satisfaction, student interaction and teaching methods. It is conducted every three years, with the most recent administration in 2014.   
The Staff Advisory Council (established in 2011) conducted a short survey, which was sent to 100% of employees who do not have faculty rank, to establish a more detailed assessment of the experiences of staff employees.  
The Office of Human Resources sends out an annual survey to all employees in regards to benefits and services rendered by the Office of Human Resources, such as health insurance and the wellness program. In addition, an Exit Questionnaire is provided to employees who are leaving the university. 
Various departments conduct surveys or ask for feedback to improve services. For example, the Office of Leadership and Professional Development conducts a needs assessment among staff and faculty to determine the services and training employees would like to assist with skill and knowledge development. ","Survey results are reviewed by the administering department. Recommendations are made and presented to Senior Staff for consideration. 
For the HERI survey, recommendations go from the Academic Affairs Advisory Committee to Senior Staff. 
Recommendations from Staff Advisory Council (SAC) assessments go to Senior Staff through the Chair of the SAC. 
The results of the SAC survey mentioned above led to the development of a Quality of Life Committee with representatives from across campus. The committee conducted research and focus groups and developed a Quality of Life Action Plan in 2013 with several recommendations (immediate, mid-term and long-term). Implementation of those recommendations continues. 
Results from HR’s annual survey are used to improve provided services. Exit Questionnaire feedback is collected, analyzed and used in various ways to help improve employees’ experiences, including employee relations issues. Recommendations are taken to Senior Staff by the Senior Vice President for Business, Finance and Technology. 
Based on feedback from employees and other considerations, the University instituted a three-phased salary plan in December 2013 to increase employee salaries. Also based on employee feedback, starting in January 2015, one day of vacation was added to the accrual periods for regular full-time employees who work 40 hours per week on a 12-month schedule. Regular employees who work 20-39 hours per week on a 12-month schedule generally accrue paid time off on the same basis as full-time employees, with the time pro-rated to the number of hours worked. Also effective in January 2015, the University provides two personal paid days off annually to regular full-time employees who work 40 hours per week on a 12-month schedule.",2015.0,--,--
Emory University,2016-02-29,2016-02-29 16:26:34,ciannat.howett@emory.edu,2.0,In Progress,--,--,--,--,--,--,The Chronicle survey referenced was conducted in fiscal year 2011.
Endicott College,2016-03-01,2016-03-01 10:10:04,screight@endicott.edu,2.0,Pursuing,True,100.0,"We participate in the Chronicle of Higher Education's employee survey. 
We also participate in the Boston Magazine survey of area employers.   

Endicott has been consistently rated one of the top places to work in higher education and in the region. ",The President's Council addresses any issues raised by the survey.  An example is employee concerns about technology. ,2014.0,http://www.endicott.edu/News/2014/7-21GreatCollegestoWorkFor.aspx,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:19,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--
Fort Lewis College,2016-03-27,2016-03-27 16:00:22,kehilimire@fortlewis.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Furman University,2016-02-22,2016-02-22 13:43:04,yancey.fouche@furman.edu,2.0,Pursuing,True,100.0,"Furman faculty and staff participated in the Chronicle of Higher Education's Great Colleges to Work For survey conducted by Modern Think.  It requested information on issues such as job satisfaction, learning, and advancement opportunities. This survey was a confidential multiple choice instrument designed to gauge faculty and staff satisfaction. ",The results of the latest survey were provided to Furman's President (President Davis).  She will make a determination as to how she will utilize the data in the future. ,2014.0,--,--
George Washington University,2016-02-29,2016-02-29 13:04:26,shannonross@gwu.edu,2.0,Pursuing,True,100.0,"GW regularly participates in The Chronicle of Higher Education's Great Colleges to Work For Survey. The Great Colleges to Work For Program - sponsored by The Chronicle of Higher Education and ModernThink LLC, a leader in assessing workplace quality, provides senior-level administrators and academic leaders with insights on the quality of the workplace experience and the competitiveness of their workplace policies.

GW utilizes the expanded survey options in order to increase the survey population to a larger random sample of all GW employees, ensuring statistical significance of responses. GW also pays for in-depth reporting on the responses, in order to fully utilize this survey as the primary measure for employee satisfaction at GW.",GW used the survey data to drill down into the data and better understand employee feedback. The data was shared with the HR leadership to inform strategic planning moving forward.,2014.0,--,"GW recently received the AWLP Seal of Distinction for 2015, for the third year in a row. Details can be found at https://hr.gwu.edu/work-life-and-wellness-awards

In fall 2015 GW received the Washington Business Journal's Healthiest Employers award.  More details at: http://gwtoday.gwu.edu/gw-among-healthiest-employers-washington"
Georgia College & State University,2016-03-25,2016-03-25 19:09:25,doug.oetter@gcsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Gonzaga University,2016-02-29,2016-02-29 13:09:20,simonj@gonzaga.edu,2.0,Pursuing,True,100.0,"Gonzaga conducts exit interviews for staff employees, additionally conducts 90-day check-ins on all new employees. HR provides resources to supervisors who wish to conduct “stay interviews”. HR also tracks employee relations and equal opportunity cases to evaluate themes for training and strategy meetings with departments and schools.","The exit interview results are compiled on a yearly basis and discussed with HR leadership to review what changes should be made to training, resources, benefits, etc. Additionally, when employees provide permission to share exit interview feedback, feedback is provided to the exiting employee’s leadership to assist in any changes that need to be made.",2013.0,http://www.gonzaga.edu/academics/diversity/CampusClimate/surveys.asp,"The 100% listed above for ""percentage of employees (staff and faculty) assessed"" indicates that all employees are allowed to participate and provide feedback, but no specific sample was gathered concerning the true percentage. Last year (2012-2013), 33% participated, but no number is available for this current year."
Green Mountain College,2016-03-21,2016-03-21 15:55:20,ihrker@greenmtn.edu,2.0,Pursuing,True,71.0,"Employee satisfaction and engagement is measured on a biennial basis through the social and human capital survey as an official metric of the Sustainability 2020 strategic plan.  

On the last version of the survey, some questions of engagement were phrased as statements for which respondents had to indicate agreement on a scale of ""not at all"" to ""a lot"". The statements included: 
●	 You identify with the goal of authentic sustainability and GMC’s strategies for working toward that goal.
●	You are personally working to achieve authentic sustainability at GMC. 
●	You feel your personal path to success is affected by the goal of authentic sustainability at GMC.

Other engagement questions were asked as statements with a scale ranging from ""strongly disagree"" to ""strongly agree"" and included:
●	You clearly understand the mission of the College.
●	The mission provides direction for the curriculum and other activities of the College.
●	The College's governance structure effectively facilitates achievement of its mission and purposes.
●	Communication between College constituencies is systematic and effective. 
●	Green Mountain's governance structure enables faculty and staff to participate appropriately in decision-making matters related to their areas of responsibility. 

Satisfaction questions were also asked using a scale. The first set offered a scale ranging from ""strongly disagree"" to ""strongly agree"":
●	The College provides faculty and staff with substantial and equitable opportunities for professional development and advancement. 
●	Green Mountain protects and fosters academic freedom.
●	The College provides an enriching workplace culture that also allows for a reasonable work-life balance.

Another question asked respondents to rate their job satisfaction at Green Mountain College with choices ranging from ""very low"" to ""very high."" 

The faculty were then asked an additional set of scale questions. These statements offered responses ranging from ""strongly disagree"" to ""strongly agree"":
●	 There are an adequate number of faculty to assure accomplishment of class and out of class responsibilities. 
●	Faculty workloads are equitably determined and consistent with the mission.
●	The faculty evaluation process is effective and equitable. 
●	Instructional techniques and delivery systems, including technology, are appropriate to the mission of the College.
●	Faculty are accorded reasonable contractual security for appropriate periods consistent with the institution's ability to fulfill its mission.
●	Resources are adequate to support an appropriate institutional commitment to research and creative activity.


","Issues raised by the evaluation are addressed through two channels. 

First, the results are shared with the campus at large through a community conversation. For example, at the community conversation in the spring of 2014, the results of the survey were shared through an oral presentation and also through hard copies of the data that were passed out to attendees. Attendees were then asked to write their ideas for improvements on big sheets of paper with markers. These ideas were then transcribed into a typed list that was emailed to the whole campus so that leaders in various areas around campus could work to address the issues. The list of ideas was also given to the strategic plan steering committee, which used them to prioritize projects and programs to help advance the strategic plan. Employee engagement and satisfaction is deeply embedded in the strategic plan goals 1A: ""Initiate a cross-college emphasis on human health and quality of life that becomes a nationally recognized compliment to our environmental emphasis"" and 1C: ""Deepen student and employee engagement in the College's endeavors to promote innovation and retention."" 

Second, the results were reviewed by the NEASC committee and recommendations on how to improve weak areas were given to Cabinet. ",2014.0,http://www.greenmtn.edu/sustainability-2020/measuring-progress.aspx,"Performance year for this credit is FY 2014.

All of GMC's staff and faculty were assessed by a representative sample, but employees from the two regular on-site contractors were not because it was difficult to find an unbiased mechanism for survey implementation. The strategic plan steering committee is working on ways to offer the survey to contracted employees in a way that will yield a representative sample. "
Guilford College,2016-03-08,2016-03-08 08:08:34,corrybc@guilford.edu,2.0,Pursuing,--,--,,,2010.0,--,--
Hampshire College,2016-03-23,2016-03-23 09:58:36,bhooker@hampshire.edu,2.0,In Progress,--,--,--,--,--,--,--
Harvard University,2016-02-29,2016-02-29 16:59:00,colin_durrant@harvard.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Haverford College,2016-03-02,2016-03-02 12:02:06,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:45,sustainability@hws.edu,2.0,In Progress,--,--,--,--,--,--,--
Indiana State University,2016-03-29,2016-03-29 10:17:55,caroline.savage@indstate.edu,2.0,In Progress,--,--,--,--,--,--,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:43:15,brownwm@indiana.edu,2.0,Pursuing,--,--,"A job-satisfaction survey of faculty members at Indiana University Bloomington was conducted for IU by the Collaborative on Academic Careers in Higher Education -- known as COACHE -- a consortium based at the Harvard Graduate School of Education. Respondents include tenured faculty and librarians, tenure-track faculty and librarians, and non-tenure-track academic appointees in all schools and departments.

IU Bloomington faculty members were sent an email message in mid-October inviting them to participate and directing them to the website for the online survey. They received follow-up reminder emails. Participation in the 25-minute survey was voluntary. The survey closed Jan. 18, 2013.

http://newsinfo.iu.edu/news/page/normal/23404.html

However, professional and service staff were not included in this survey.",,2013.0,--,--
Juniata College,2016-03-23,2016-03-23 08:09:02,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,We have been recognized on the Honor Roll of the Great Colleges to Work For for 4 of the last 5 years.
Kent State University,2016-03-25,2016-03-25 10:16:49,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:30:30,sustainability@knox.edu,2.0,Pursuing,True,65.0,"Human Resources conducted a survey, sent to all faculty and staff, in early 2012 which evaluated employee satisfaction and attitudes toward the institution.
The President's Council, representing all top administrators and faculty, meets weekly and has devoted a session to reviewing the results of this survey and creating an action plan to address issues.
In addition, a faculty/staff listserv is actively used by the College to discuss issues and bring up concerns, allowing for freedom of expression and constructive dialogue.","Results of the 2012 survey were shared with administrators, who responded where appropriate.",2012.0,--,--
Lehigh University,2016-02-29,2016-02-29 00:26:13,sustainability@lehigh.edu,2.0,In Progress,--,--,--,--,--,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:07,advorak@lclark.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Loyola Marymount University,2016-03-23,2016-03-23 14:02:27,ian.mckeown@lmu.edu,2.0,In Progress,--,--,--,--,--,--,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:31,adurnbaugh@luc.edu,2.0,Pursuing,True,100.0,"Loyola University Chicago administers a staff and faculty opinion survey bi-annually in order to gauge employee satisfaction. For the most recent survey, Loyola University Chicago selected Towers-Watson, a premier global research and consulting firm,  to create and administer the survey. All full-time faculty as well as part- and full-time staff members at Loyola University Chicago were asked to participate in this survey which focused on the following areas : development, leadership, mission, benefits, and teamwork. ",The survey responses were used to inform benefits packages.,2015.0,http://luc.edu/hr/Opinion_Survey.shtml,--
Macalester College,2016-01-06,2016-01-06 13:02:54,shansen2@macalester.edu,2.0,Pursuing,True,100.0,"Macalester College uses a survey called the Working Environment Survey to evaluate employee satisfaction. Various questions are asked in the survey such as: satisfaction with work load, job security, opportunity for advancement etc. It has been done on a five year schedule in the past and that is what we plan for the future.",The Working Environment Survey results are prepared by the Institutional Research Office and shared with the camps community. Survey results are part of the assessment of staff resources for accreditation and a resource for strategic planning efforts.,2010.0,http://www.macalester.edu/ir/surveys/,--
Maryville College,2016-02-11,2016-02-11 15:37:39,adrienne.schwarte@maryvillecollege.edu,2.0,Pursuing,True,62.0,A survey was sent out to all benefits-eligible employees. ,"The institution adjusts benefits for employees based on responses to the survey about which benefits are helpful to them and which benefits they aren't finding useful or aren't using. Within the last year, the institution added voluntary life insurance for the employee, spouse, and children of the employees. There was also a recent change to the structure of the tuition benefit policy to benefit part time staff. The institution also added long term care/nursing home care insurance to the benefits in 2014.",2013.0,--,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:07,slanou@mit.edu,2.0,Pursuing,True,61.0,"On January 18, 2012 Provost Rafael Reif and Executive Vice President and Treasurer Israel Ruiz invited MIT faculty and staff to participate in a quality of life survey. The web-based survey was sponsored by the Council on Family and Work, Office of the Provost, and Chair of the Faculty. The purpose was to examine the work-life environment for faculty, other instructional staff, researchers, postdoctoral scholars, administrative staff, support staff, and service staff at MIT. The 2012 Survey closed in late February with more than 7,000 responses (61% overall response rate).","Since the data captured via the Faculty and Staff Quality of Life survey provides  local responses, the department takes action based on the issues that have been identified.  We are aware of several areas who are currently working to address the issues being raised.",2012.0,http://web.mit.edu/ir/surveys/staffsurvey.html,--
McMaster University,2016-02-19,2016-02-19 09:37:30,naeemsh@mcmaster.ca,2.0,Pursuing,True,100.0,"The surveys were conducted by a third party independent firm specializing in higher education surveys (employee engagement, campus social demands, and so forth).  

The data was gathered from both on-line (web based surveys) as well as paper version of the survey along with workshops to promote the survey.  Employee engagement ambassadors were recruited from the staff to act as spokesperson and to bring forward staff ideas as well assist with any special requirements.  

The privacy of the survey results was ensure by the independent consultant.  Results were compiled based on feedback and communicated via departmental feedback sessions.  Action planning of initiatives based on the results was planned for post departmental feedback sessions.","As part of the next steps from the engagement survey, departments in the Administration Division were asked to have focus group discussions to discuss the survey results. Managers and employees were asked to create Action Plans to address priority areas identified by the survey responses.

An example is pasted below

Facility Services:
Respective teams have created  detailed action plans and all are either complete. Common items related to training and development, role clarity and communication/planning will continue to be monitored on an ongoing basis. Newly structured meetings and committees have also been established to enhance these efforts. In addition, training matrices have been created to build capability and various development opportunities have been communicated to employees. Scheduling and workload practices have also been reviewed to realize efficiencies, and assist with overall work demands. ",2012.0,http://www.workingatmcmaster.ca/engagement/,--
Miami University,2016-03-02,2016-03-02 14:17:51,kliney@miamioh.edu,2.0,Pursuing,True,25.0,"The Higher Education Research Institute Faculty Survey is designed to provide institutions with actionable information on important and timely issues. It includes topics such as pedagogical practices, faculty goals and expectations for students, research and service activities, sources of stress and satisfaction, and the connection between learning in the classroom and practices in the local and global community.

Results from the HERI Faculty Survey have been used in strategic planning, faculty recruitment and retention, faculty development activities, assessment and accreditation, and discussions relating pedagogy to student learning experiences.","The HERI survey 
The office of the provost recommended a pay increase for part-time faculty, effective spring 2016; the Center for Teaching Excellence provides grant funding and administrative support for faculty to propose and explore new teaching methods; Faculty Learning Communities help support faculty growth/satisfaction (see http://www.units.miamioh.edu/celt/ for recent examples)",2014.0,http://www.units.miamioh.edu/oir/Surveys/HERI_Faculty/index.htm,--
Michigan State University,2016-02-16,2016-02-16 09:19:22,erhardt7@msu.edu,2.0,Pursuing,True,100.0,The Human Resource Department emailed a link to a survey to all faculty and staff in fall of 2015 regarding their satisfaction with the Human Resources function at MSU. Results have not yet been received.,The HR Department will be comparing the results with the results from the 2013 survey to assess positive or negative change and developing a plan after that point.,2015.0,https://sourcelive.wordpress.com/,MSU's central Human Resources website: http://www.hr.msu.edu 
Middlebury College,2016-03-25,2016-03-25 14:02:57,jmbyrne@middlebury.edu,2.0,Pursuing,True,46.0,"The Middlebury College Staff Council conducts a staff satisfaction survey on a regular basis.  The last survey was administered in fall 2012.  The survey was developed with assistance from the Office of Planning and Assessment and solicits feedback on workload, effectiveness of communications, perceptions about compensation and benefits, and overall satisfaction.  The survey was available on-line and was also produced in paper form for those employees who do not routinely utilize the computer.  The Office of Planning and Assessment compiled all the results to ensure confidentiality is maintained.  Results were analyzed  in aggregate and by each Staff Council district. Survey results are distributed to the upper administration. Institutional results are sometimes presented at an open community meeting hosted by the president. ","-An institution-wide planning process was engaged by the administration in response to comments in the first survey regarding extreme workloads and difficulty in prioritization.
-An institution-wide management training effort was developed and continues in response to comments in the first and second surveys regarding a perception of widely varying competence and fairness in supervision, as well as in communication.
 ",2012.0,http://www.middlebury.edu/offices/administration/planning/surveysreports/staffsurveys,--
Mills College,2016-02-29,2016-02-29 23:53:49,ngaetjens@mills.edu,2.0,Pursuing,--,--,,,--,--,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:08,neapple@mtholyoke.edu,2.0,In Progress,--,--,--,--,--,--,--
Muhlenberg College,2016-03-23,2016-03-23 10:27:15,kprocyk@muhlenberg.edu,2.0,In Progress,--,--,--,--,--,--,--
Naropa University,2016-02-29,2016-02-29 17:16:45,acook@naropa.edu,2.0,Pursuing,True,100.0,Online survey,Not sure. Need to check with SEC,2015.0,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:37,lindsay_batchelor@ncsu.edu,2.0,Pursuing,True,58.0,"There are two surveys used to assess satisfaction of faculty and staff. They are the Collaboration on Academic Careers in Higher Education Survey, and the Staff Well-Being Survey. These surveys are administered online, with a paper survey option available for the Staff Well-Being Survey.  Detailed information is available online at http://oirp.ncsu.edu/srvy/empl","Survey results are posted online.  In addition, results are presented to senior leadership groups on campus, and tailored presentations on results are given for specific committees and units (e.g., University Diversity Advisory Committee; Faculty Well-Being Advisory Committee; Staff Senate; Office of Finance and Administration; Office of Information Technology; academic colleges).  Committees often appoint subcommittees to explore results more thoroughly, and to prepare recommendations to forward on the Provost and/or Chancellor.  Individual divisions/colleges will often take unit-specific action based on results.",2014.0,http://oirp.ncsu.edu/srvy/empl,--
Northern Arizona University,2016-02-23,2016-02-23 18:52:06,Ellen.Vaughan@nau.edu,2.0,Pursuing,True,100.0,"NAU conducts anonymous surveys to measure employee satisfaction and engagement, including job satisfaction, learning and advancement opportunities, work culture and work/life balance using the following methods:  

•	Classified Staff Advisory Council conducts periodic (every 3-5 years), anonymous employee surveys, sending to all classified staff (approximately 1100).  Data is summarized and reviewed by the advisory council and shared with Human Resources, President’s office and other key administrators.  Human Resources utilizes the data from these surveys in their planning efforts.   The survey was last conducted in 2013. Survey response rate was approximately 33%.   Key contact for this survey can be found on the member list at:  http://www4.nau.edu/csac/ 

•	Service Professional Advisory Council conducts biennial anonymous employee surveys, sending to all service professionals (approximately 600).   The data is summarized and reviewed by the advisory council and shared with Human Resources, and posted publicly on their website http://www.nau.edu/spac/ (see evidence in newsletters for 2010, 2008).  The most recent survey conducted in 2010 focused on what the SPAC group could do to better support NAU service professionals in the way of professional development training, employee benefits and services that were top priorities, etc.   Survey response rate was approximately 30%.  The last survey is posted here:  http://www4.nau.edu/spac/newsletter/feb2011/ 

•	NAU faculty recently participated in an anonymous survey through a national study:  the Collaborative on Academic Careers in Higher Education (COACHE).   COACHE  was initiated by Provost Huenneke, to help NAU understand the working conditions at the University.  This collaborative, involving universities across the country under the leadership of a team from Harvard, is a three-year project.  As members of the collaborative, NAU faculty are asked to participate in a survey that focuses broadly on working conditions (e.g., satisfaction with things like research opportunities and the tenure process).  The data collected through the survey is targeted to be actionable:  we have a campus advisory team that will help us use the data to make concrete steps to enhance conditions for our faculty.  In addition, COACHE will allow us to benefit from strategy sessions and networking with other universities dedicated to creating a great work environment.  http://isites.harvard.edu/icb/icb.do?keyword=coache&pageid=icb.page307142.   The survey closed with a 63% total response rate.  ",see above,2013.0,https://www4.nau.edu/csac,--
Oberlin College,2016-03-21,2016-03-21 16:09:47,bflynn@oberlin.edu,2.0,Pursuing,True,29.0,"In the fall of 2013 the Conditions of Employment committee conducted a survey of Administrative & Professional Staff (A&PS) on various issues of relating to conditions of employment . There was a question on the survey which asked about level of satisfaction related to various aspects of employment (salary, benefits, job security, job security, relationship to supervisor, hours/location, etc.).

The survey did not focus on ""learning and advancement opportunities"" or ""work/life balance"" - though certainly those issues were related to, or extensions of, some of the questions posed. ","The Administrative and Professional Staff (A&PS) has a vital role to play in realizing the goal of continuing excellence for Oberlin College. The Administrative Assembly, created by the Administrative and Professional Staff, promotes the professional development of its constituent membership and provides a forum for the discussion of important issues relating to the A&PS. Through enhancement of the professional abilities of individual members and through the provision of appropriate channels for the consideration of individual concerns and recommendations, the Assembly assists the growth and development of the entire college community. The Assembly, through its elected and appointed representatives who comprise the A&PS Council (Council), participates actively in matters of College decision-making, administration, and governance. The Conditions of Employment committee is one of many of the A&PS committees that work on issues relevant to AP&S staff and work to advocate on behalf these employees. 

Regarding methodologies and mechanisms -- the Conditions of Employment committee continues to meet and work on issues of importance to A&PS, but the committee has not discussed the frequency with which to re-issue the survey.",2013.0,http://www.oberlin.edu/A&PS/,--
Ohio University,2016-03-23,2016-03-23 07:57:58,goetze@ohio.edu,2.0,In Progress,--,--,--,--,--,--,--
Onondaga Community College,2016-02-26,2016-02-26 16:33:59,vormwals@sunyocc.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Oregon State University,2016-03-30,2016-03-30 14:50:33,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--,--,--
Pennsylvania State University,2016-03-21,2016-03-21 11:48:47,mme2@psu.edu,2.0,In Progress,--,--,--,--,--,--,--
Pittsburg State University,2016-03-24,2016-03-24 14:47:53,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--,--,--
Pitzer College,2016-02-22,2016-02-22 14:38:50,warren_biggins@pitzer.edu,2.0,Pursuing,True,67.0,"Faculty: The COACHE survey was administered through the Harvard School of Education. The survey includes themes about: the nature of work, resources & support, interdisciplinary work, collaboration, mentoring, tenure & promotion, institutional governance & leadership, engagement, work & personal life balance, climate, culture & collegiality, appreciation & recognition, recruitment & retention, and global satisfaction.

Staff: The survey was developed and administered by an HR consulting firm, Mercer, consisting of 70 questions addressing and rating the areas of service/competitive position, communication, fairness & respect, performance management, satisfaction & commitment, teamwork & cooperation, rewards, empowerment & innovation, management leadership, personal & career growth, community/environment, operating efficiency/working conditions, and awareness/involvement.","The issues raised in the surveys were directed for faculty to the Faculty Executive Committee to address in collaboration with the VP/Dean of Faculty, and the staff issues were directed to the Staff Council Representatives to address in collaboration with the Director of Human Resources.",2015.0,--,--
Plymouth State University,2016-02-29,2016-02-29 11:42:34,bweisenhauer@plymouth.edu,2.0,Pursuing,True,85.0,"Business NH Magazine recently selected PSU as one of the five best large companies to work for in New Hampshire, making it the first educational institution to be included in the ranking. The criteria included employee satisfaction within the workplace, innovative workplace programs, and benefits. President Sara Jayne Steen said the ranking is a significant achievement. “The selection matters because it is public recognition of the high quality of our community, of our commitment to our students and our region, and of our commitment to each other. People here work actively to make PSU a good place to live and learn, and I’m pleased that their good work is being acknowledged.”

Strategic Plan Priority 3.1
Be an employer of choice for PSU faculty and staff, who excel in their areas of expertise, are committed to student success, and advance the mission of the University.
Named to The Chronicle of Higher Education’s “Great Colleges to Work For”
In 2009, PSU was named as one of the Great Colleges to Work For and recognized in eight categories: collaborative governance, work/life balance, respect and appreciation, health insurance, 403b/401k, disability insurance, life insurance, and overall satisfaction with benefits.","New task forces were created to address items of concern, such as faculty welfare.",2010.0,https://www.plymouth.edu/strategic-plan/2010-report/faculty-staff-support/priority-3-1/,--
Pomona College,2016-01-11,2016-01-11 17:28:33,alexis.reyes@pomona.edu,2.0,Pursuing,True,100.0,"In the Spring of 2014, a Task Force, composed of faculty, staff, and students, conducted a staff survey, offering an online, English version to administrative and professional staff and a paper version in both English and Spanish to service staff. The survey was designed to provide all staff members with an opportunity to share their opinions about a broad range of issues, including the work environment (pay, benefits, and opportunities for professional development) and the general climate for staff at Pomona. This formal survey occurs every few years.  ","Senior administrators assess the survey and address issues raised.  One issue last year that came up was a desire to have an employee picnic with and trip to the local Quakes baseball game with the president.  This has since been implemented.

Less formally, there are Staff Forums one each fall and one each spring, at which the College President and sometimes other senior administrators are available to answer staff questions and hear concerns, both of which can be submitted anonymously through the Staff Council and that have come up in the formal staff survey.  Some of the questions addressed have been on communication about campus news, like a requested update on the proposed recycled water facility for the Claremont Colleges.  Others have been on staff benefits.  The College also reviews the survey and senior administrators assess college policies and procedures accordingly.",2014.0,--,--
Portland State University,2016-03-24,2016-03-24 17:20:25,jenny.mcnamara@pdx.edu,2.0,In Progress,--,--,--,--,--,--,--
Princeton University,2016-01-20,2016-01-20 17:01:00,kristiw@princeton.edu,2.0,Pursuing,True,100.0,"The Trustee Ad Hoc Committee on Diversity, as charged by President Tilghman in January 2012, as a component of its work, explored the quality of the employee experience at Princeton. In support of this effort, in partnership the Office of the Provost and the Office of Human Resources administered confidential online surveys in October 2012.  Questions spanned the following topics as examples - 
•	Contentment with overall work experience
•	Satisfaction with the work itself
•	Princeton University and its leadership
•	Diversity and inclusion
•	Health, safety, and physical conditions
•	Respectful treatment
•	One’s immediate manager(s) 
•	One’s department
•	Communications
•	Teamwork
•	Reward and recognition for high quality performance
•	Performance management
•	Compensation, benefits, and job security
•	Professional development and advancement opportunities","Following the survey, customized results by unit were created, distributed and reviewed with each senior leader and in many instances, their leadership teams.  Action was then taken within the units to address their specific results where they placed priority for improvements.",2012.0,--,--
Principia College,2016-01-30,2016-01-30 21:54:31,karen.eckert@principia.edu,2.0,Pursuing,True,60.0,"Surveys are routinely sent to all Principia employees asking for feedback regarding their employment at Principia. In addition, private focus groups facilitated by an independent organization are held to better address and meet issues that employees might bring to the table.","Human Resources  at Principia does a thorough job of not only meeting the needs requisit to employee satisfaction, but going above and beyond, helping to make employees better prepared to do their jobs both here at Principia and elsewhere should they move on. For example, when managers provided feedback that they felt they needed help in managing their staff, Human Resources responded by creating a 3-day management training program facilitated by an independent organization. Participants engaged in a 2-week hands-on period to practice their new skills. After the 2-week period, participants were able to bring what they had experienced and learned back to the classroom for discussion.",2014.0,--,--
Purdue University,2016-02-26,2016-02-26 16:45:13,mgulich@purdue.edu,2.0,Pursuing,True,34.0,"The project team, which consisted of two Purdue faculty members, was contacted by PU Human Resources to evaluate the overall quality of the non-faculty work environment, determine what contributes to the current environment for non-faculty staff, and implement a managerial intervention to improve the environment as well as recommending other changes that would enhance the Purdue employee experience.  The project has four phases.  The first phase involved conducting twelve focus groups to help understand the current state of the work environment at Purdue.  The second phase involved the assessment of the initial exploratory work and the creation of a survey that would be distributed to nearly 7,000 employees.  Analysis of the data collected from the survey allowed us to draw conclusions about the current state of the Purdue work environment and determine the best course of action for a managerial intervention. The results also allowed us to make other recommendations to Purdue leadership for improving various aspects of the work environment. The third phase will involve an intervention for improving leadership effectiveness.  The fourth phase will include another survey to determine if our intervention has had a noticeable impact on Purdue employee perceptions of their work environment.  

Purdue conducted a second campus-wide survey for non-faculty employees, which was administered in Summer 2015. Across all survey respondents, employee Engagement has increased from Spring 2014 to Summer 2015.
","The university intends to implement training programs focused on leadership and supervisor support issues, develop programs focused on creating a culture of comfort around reporting bullying and harassing behaviors. Create initiatives aimed at increasing interpersonal support among clerical and service staff.  Develop programs focused on building a culture of respect and recognition among staff and supervisors. Create awareness-building activities focused on development opportunities. Initiate programs that support balancing work and non-work responsibilities.",2015.0,http://www.purdue.edu/hr/qwei/index.html,--
Randolph College,2016-02-26,2016-02-26 14:25:25,llemaitre@randolphcollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
