Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution offer at least one sustainability-focused major, degree program, or the ...","The name of the sustainability-focused, graduate-level degree program (1st program)",A brief description of the graduate degree program (1st program),The website URL for the graduate degree program (1st program) ,"The name of the sustainability-focused, graduate-level degree program (2nd program)",A brief description of the graduate degree program (2nd program),The website URL for the graduate degree program (2nd program),"The name of the sustainability-focused, graduate-level degree program (3rd program)",A brief description of the graduate degree program (3rd program),The website URL for the graduate degree program (3rd program),"The name and website URLs of all other sustainability-focused, graduate-level degree program(s)","Does the institution offer one or more graduate-level sustainability-focused minors, concentrations ...","The name of the graduate-level sustainability-focused minor, concentration or certificate (1st ...","A brief description of the graduate minor, concentration or certificate (1st program)","The website URL for the graduate minor, concentration or certificate (1st program)","The name of the graduate-level sustainability-focused minor, concentration or certificate (2nd ...","A brief description of the graduate minor, concentration or certificate (2nd program)","The website URL for the graduate minor, concentration or certificate (2nd program)","The name of the graduate-level sustainability-focused minor, concentration or certificate (3rd ...","A brief description of the graduate minor, concentration or certificate (3rd program)","The website URL for the graduate minor, concentration or certificate (3rd program)","The name and website URLs of all other graduate-level, sustainability-focused minors, ...",Public Notes
Connecticut College,2016-02-28,2016-02-28 16:33:11,jstoffel@conncoll.edu,2.0,Pursuing,--,--,,--,--,,--,--,,--,,--,--,,--,--,,--,--,,--,,Connecticut College does not offer graduate degrees. 
Cornell University,2016-03-18,2016-03-18 08:39:46,cma18@cornell.edu,2.0,Pursuing,True,Natural Resources,The Field of Natural Resources offers students the freedom to design a graduate program that addresses their individual interests. Two research degrees are offered: the Master of Science and Doctorate of Philosophy. Concentrations for the degree program include: (1) Applied Ecology; (2) Conservation Biology; (3) Ecosystem Biology and Biogeochemistry; (4) Fishery and Aquatic Science; (5) Forest Science; (6) Quantitative Ecology; (7) Wildlife Science; (8) Community-based Natural Resources Management; (9) Human Dimensions of Natural Resource Management; (10) Policy and Institutional Analysis; (11) Program Development and Evaluation; and (12) Risk Analysis and Management.,http://dnr.cornell.edu/cals/dnr/graduate/,Soil and Crop Sciences,"The Graduate Field of Soil and Crop Sciences provides programs leading to PhD, MS, and MPS programs in the following five concentrations: Agronomy, Field Crop Science, Soil Science, Environmental Information Systems, and Environmental Management (M.P.S. only). Students work on projects spanning a range of topics such as advances in management practices for sustainable field crop production, soil biogeochemistry in relation to climate change and environmental concerns, geospatial land processes, and molecular genomic aspects of crop plants and soil microbes.",http://www.css.cals.cornell.edu/graduate,Biological and Environmental Engineering,"Four different degrees are awarded in the Graduate Field of Biological and Environmental Engineering: Doctor of Philosophy (PhD), Master of Science (MS), Master of Professional Study (MPS) and Master of Engineering (MEng). Biological and Environmental Engineering offers eleven sustainability-related concentrations: (1) Biological Engineering (2) Environmental Engineering (3) Bioenvironmental Engineering (4) Bioenergy & Integrated Energy Systems (5) Bioprocess Engineering (6) Ecohydrology (7) Food Engineering (8) Industrial Biotechnology (9) Nanobiotechnology (10) Sustainable Systems (11) Synthetic Biology",https://bee.cals.cornell.edu/graduate,The Atkinson Center provides links to other graduate fields and degree programs related to sustainability: http://www.acsf.cornell.edu/education/grad.php,True,Conservation and Sustainable Development ,"This minor field is oriented to any graduate student who wants to develop interdisciplinary approaches to helping solve real-world problems in conservation and development. The field was formed in response to the increasing challenges facing society to provide for the health, safety, and welfare of growing human populations while maintaining the ecological integrity of natural ecosystems and enhancing the long-term sustainability of food, forage, and fiber production systems. Solutions to today's conservation and development problems will continue to elude a single disciplinary approach; instead holistic perspectives and interdisciplinary research and development approaches are needed. 
",https://gradschool.cornell.edu/academics/fields-of-study/field/conservation-and-sustainable-development-minor,Water Resources,"The minor in water resources provides an opportunity for students in M.S. and Ph.D. degree programs to complement their major subject area with studies related to water resources. Although course selection is the prerogative of the student and Water Resources committee member, in general the courses should relate to some aspect of water resources and provide the student with an interdisciplinary experience.",https://gradschool.cornell.edu/academics/fields-of-study/field/water-resources-minor,Environmental Quality,"This minor field offers qualified engineers and scientists an opportunity to broaden their knowledge in physical, chemical, and biological areas related to environmental-quality problems and their control. It is intended to encourage interdisciplinary study. The objective is to understand human interaction with the environment.",https://gradschool.cornell.edu/academics/fields-of-study/field/environmental-quality-minor,,"Cornell also offers four Integrative Graduate Education and Research Traineeship (IGERT) programs for graduate students. These are:
-Cross-Scale Biogeochemistry and Climate (CSBC): http://www.eeb.cornell.edu/igert/
-Food Systems and Poverty Reduction: http://igert.ciifad.cornell.edu/
-Earth-Energy Systems: http://www.earthenergyigert.cornell.edu/
-Materials for a Sustainable Future: http://www.igert.org/projects/230"
Creighton University,2016-02-24,2016-02-24 14:08:52,mjduda@creighton.edu,2.0,Pursuing,True,"East-West Studies, Comparative Eastern and Western Energy Technology","In this track, students focus on developing scientific skills related to energy technology with special attention given to discussing environmental issues and environmental ethics.",http://ews.creighton.edu/,--,,--,--,,--,,--,--,,--,--,,--,--,,--,,--
Denison University,2016-02-15,2016-02-15 15:55:41,kingje@denison.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dickinson College,2016-03-08,2016-03-08 10:06:50,welkerm@dickinson.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Drew University,2016-03-25,2016-03-25 16:12:27,swald@drew.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Duke University,2016-02-26,2016-02-26 14:18:14,tavey.mcdaniel@duke.edu,2.0,Pursuing,True,Master of Environmental Management,"Our renowned residential Master of Environmental Management (MEM) program teaches students how to analyze and manage natural environments for human benefit and ecosystem health.

Students benefit from daily interaction with their peers and our distinguished faculty while completing their course requirements and pursuing a master’s project. The program lasts two years (four semesters).
",http://www.nicholas.duke.edu/programs/professional/mem,Doctorate of Environment,"The mission of the Division of Environmental Sciences and Policy is education, research, and service focused towards an understanding of environmental processes, predicting and managing human effects, and developing approaches to study the interactions between environmental processes and human behavior.",http://nicholas.duke.edu/programs/doctoral-degrees-environment,Master of Forestry ,"Our Master of Forestry (MF) program equips graduates for careers as expert environmental problem-solvers in forest ecology and management. Our goal is to create leaders with a progressive outlook in the forestry field.

During this two-year (four-semester) program, students gain the skills needed to manage forests for a variety of uses, including timber, nontraditional forest products, and conservation. Students enjoy close proximity to Duke Forest and benefit from hands-on experience as they pursue their coursework and complete a master’s project.",http://nicholas.duke.edu/programs/mf,http://nicholas.duke.edu/programs/doctoral-degrees,True,Sustainable Systems Analysis Certificate ,"In-depth knowledge of sustainable sciences and sustainable systems theory as applied to global industry, supply chains and commerce.

Theoretical foundations and hands-on training in analytics to measure and report on firm, product and innovations for sustainability.

Multi-disciplinary project management skills to become organizational and technological innovators for sustainability and targets for hire by companies.",http://sites.nicholas.duke.edu/sustainablesystems/,Energy and the Environment,"The EE concentration trains students to work toward a sustainable energy future through a focus on innovative thinking and a fundamental understanding of the interconnections among policy, markets, technology, and the environment. It equips students for positions focused on transitioning from conventional to sustainable energy.",http://nicholas.duke.edu/programs/ee,Global Environmental Change (GEC),"The Global Environmental Change (GEC) program trains students to analyze environmental changes that occur on a variety of temporal and spatial scales and to anticipate and respond to management and policy issues that arise from these changes. Global environmental change includes global climate change as well as widespread changes in the world’s terrestrial environments, oceans, and coastlines. These changes, in turn, are affecting the well-being of human populations and of biological components of the global system.

The GEC program provides an integrated package of fundamental environmental science, analytical skills, and management and policy training. Graduates of the program will be well equipped to serve as environmental analysts and managers bridging the gap between advances in the science of global change and the policy initiatives needed to manage the consequences of global change. The program is designed to provide the necessary background for students to develop careers in public, private, or nonprofit sectors, or to pursue further studies in environmental science and policy. The program has particular strengths in global climate change, biodiversity, coastal environmental change, and earth surface processes, with faculty participating in a wide range of activities in these areas. Students in the GEC program have close interactions with a number of Duke centers, including the Center for Global Change, the Nicholas Institute for Environmental Policy Solutions, and the Duke University Marine Laboratory.",http://nicholas.duke.edu/programs/gec,http://nicholas.duke.edu/programs/mem,This information is from fiscal year 2014.
Earlham College,2016-03-03,2016-03-03 10:50:01,butchli@earlham.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:25,stoddardl@easternct.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Elon University,2016-01-14,2016-01-14 09:32:56,edurr@elon.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Emory University,2016-02-29,2016-02-29 16:26:40,ciannat.howett@emory.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Endicott College,2016-03-01,2016-03-01 10:10:11,screight@endicott.edu,2.0,Pursuing,True,Interior Architecture,"The program's intent is to create interior design specialists where students select from an area of concentration: IDC Commercial and Intuitional, IDH Healthcare, IDR Residential, or IDS Sustainability.

The challenging curriculum is unique as it allows students with two options, to remain active within interior design practice and undertake the degree part-time or undertake the curriculum at full-time status. The program develops student proficiencies through both individual and team based learning, within an ""atelier"" design studio setting to acquire advanced expertise for ID practice. The Master of Arts in Interior Architecture (MA in IA) is a 81-credit program designed for interior and architectural design professionals currently working within the profession, that seek to acquire advanced expertise in design research, analysis, design of complex interior environments. 

The Master of Arts in Interior Design program model integrates theory and practice through required coursework in Interior Design Firm Management and Graduate Student Forums reinforcing the primary College mission of concurrent learning.",http://www.endicott.edu/VanLoan/Graduate-Studies/Interior-Architecture.aspx,--,,--,--,,--,,--,--,,--,--,,--,--,,--,,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:25,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Fort Lewis College,2016-03-27,2016-03-27 16:00:54,kehilimire@fortlewis.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Furman University,2016-02-22,2016-02-22 13:43:10,yancey.fouche@furman.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
George Washington University,2016-02-29,2016-02-29 13:04:32,shannonross@gwu.edu,2.0,Pursuing,True,Masters of Professional Studies (MPS) in Sustainable Urban Planning (College of Professional Studies),"The mission of the MPS in Sustainable Urban Planning is to develop thoughtful, creative and dynamic planning professionals who are able to synthesize multiple and diverse views into comprehensive, sustainable plans that lead neighborhoods and regional, national and global communities to a healthy environment and way of life.  It is designed for professionals in:
•	urban planning and policy at the city, county, and state levels
•	environmental policy and advocacy
•	parks and planning
•	land use and public/private partnerships
•	commercial development and contracting
•	""green"" industries.",http://cps.gwu.edu/sustainable-urban-planning,M.A. in International Development Studies (Elliott School of International Affairs),"The IDS program prepares students for professional careers in the field of international development through interdisciplinary coursework that includes the study of economics, research methods, policy analysis, and management. Students focus their studies by creating their own area of specialization in coordination with their faculty mentor. ",http://elliott.gwu.edu//international-development-studies,M.A. in Environmental Resource Policy (Columbian College of Arts and Sciences),"The M.A. in Environmental Resource Policy (ENRP) Program offers a multidisciplinary approach to environmental and sustainability studies. This Master of Arts program prepares students to enter environmental policy careers in government, non-profit organizations, the private sector and environmental advocacy groups.

While anchored in environmental science, ENRP prepares students for varied career positions by encompassing study in topics relating to environmental law, public policy, research methods and statistics, ecology, biology, and geography. The multidisciplinary approach enables students to:
•develop a deep understanding of complex environmental policy issues;
• identify connections between specific environmental policy issues and the relevant natural science(s);
• build environmental policy on a foundation of science-based evidence, an appreciation of economic incentives, and a clear-eyed understanding of environmental law and politics; and
• learn to frame environmental policy challenges in ways that render them more amenable to solution",http://enrp.columbian.gwu.edu/,http://chemistry.columbian.gwu.edu/ms-environmental-and-green-chemistry,True,Certificate in Sustainable Landscapes (College of Professional Studies),"The mission of the Graduate Certificate in Sustainable Landscapes is to provide an innovative and relevant curriculum that reflects changing social attitudes towards the conservation and sustainability of our living environments. Landscape Designers will be called upon to provide design and implementation services that apply new strategies of plant and water conservation and energy efficiency. The Sustainable Landscapes program strives to provide advanced landscape design students and experienced landscape design professionals with a fundamental understanding of best practices in landscape conservation and sustainability, adapted to the small-scale landscape, at the neighborhood level.",http://cps.gwu.edu/sustainable-landscapes,Certificate in Climate Change Management (College of Professional Studies),"The six-course, 18 credit Graduate Certificate in Climate Change Management and Policy offers instruction in technological approaches to solving key planning issues. It focuses on the technical side of sustainability; the building requirements, design demands, and energy technologies needed to create a sustainable urban area. The Certificate is designed to provide returning students or mid-career professionals with valuable technological skills and entry-level students with an area of specialization in technology for sustainability.",http://cps.gwu.edu/sustainable-urban-planning/graduate-certificate-climate-change-management-policy,Graduate Certificate in Energy Engineering and Management (School of Engineering and Applied Science),"The graduate certificate in energy engineering and management offers instruction in  alternative energy generation and energy resources management.  The program can assist professionals to open up new opportunities as energy auditors, energy analysts, energy project managers, and related positions. Course explore the latest information in energy efficient building design, microgrid renewable energy development, and advanced materials. While studying these topics, students research economics of energy, the art of managing energy projects, and analytical methods of analyzing the viability and feasibility of energy projects.",http://graduate.seas.gwu.edu/energy-engineering-and-management,,--
Georgia College & State University,2016-03-25,2016-03-25 19:09:53,doug.oetter@gcsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gonzaga University,2016-02-29,2016-02-29 13:09:27,simonj@gonzaga.edu,2.0,Pursuing,--,--,,--,--,,--,--,,--,,--,--,,--,--,,--,--,,--,,"According to Rick Eichstaedt the Director of the Environmental Law Clinic at the Law school,  there are a few classes and an environmental law clinic but, the law school does not have a environmental law specific program.  There was, at one point, a certification program in environmental law, but the law school no longer offers that."
Green Mountain College,2016-03-21,2016-03-21 15:55:33,ihrker@greenmtn.edu,2.0,Pursuing,True,Green MBA,"Green Mountain College offers the premier, 100% Online Sustainable MBA. “Green” isn’t just a word we throw around. We truly practice what we teach. Green Mountain College has been teaching sustainability for more than fifteen years and we have been recognized many times for our mission. Our online Sustainable MBA program has been offered since 2006. Our faculty is very experienced, both in the corporate world, as well as in online instruction, which provides our students with a rich, meaningful learning experience.

Our online Sustainable MBA program is 37 credits. Each course lasts six weeks, with a one week break before the start of the next course. We cap each course at 20 students, but our typical class size is 10-18 students, the perfect size for individualized attention and quality group discussion. Our faculty members have highly regarded work backgrounds, and they are committed to helping students understand green business issues.",http://greenmba.greenmtn.edu/,M.S. in Environmental Studies,"At Green Mountain College, we’ve focused on teaching about the environment for over 15 years. Our distance MSES program is designed to help working professionals develop expertise in environmental issues, then put it to work in their own communities.

Unlike other graduate programs, the GMC master's degree combines the best of online learning with intensive locally applied experience. We call it a bioregional approach to distance education. Rather than learning about environmental studies solely through examples in a textbook, students in each of our courses use their local ecosystems as laboratories in which to experiment with new concepts and skills.

Students choose between three concentrations—conservation biology, writing and communication, and self-design—and graduate as experts in the workings of their own bioregions. This emphasis on practical application of knowledge prepares students for professional work, whether they are just launching a career or looking for growth in an established position.

Our MSES students graduate with the knowledge and confidence to become leaders. They join a cutting-edge community ready to make a difference. ",http://masters.greenmtn.edu/mseshome.aspx,M.S. in Sustainable Food Systems,"In today’s world of complex food and agriculture systems, we need leaders. Our Master of Science in Sustainable Food Systems program prepares future leaders in the burgeoning food movement with a graduate level interdisciplinary understanding of sustainable agricultural production, and a deep knowledge of the economic, ecological, and social forces driving food systems.

At Green Mountain College, we’ve been teaching about sustainability for over fifteen years. Our distance MSFS program -- built on the success of the College’s undergraduate major in sustainable agriculture and on the surging interest in food and agriculture in the U.S. and beyond -- is designed to provide students with the skills to conduct in-depth interdisciplinary investigations into the complex arena of their own bioregional food systems. Our MSFS students graduate with the knowledge and confidence to become leaders and join a cutting-edge community ready to make a difference.",http://masters.greenmtn.edu/msfs.aspx,Master of Science in Resilient and Sustainable Communities (begins in 2015): http://masters.greenmtn.edu/mrsc.aspx,--,--,,--,--,,--,--,,--,,Reporting year is academic year 2012-2013. For more information about Green Mountain College's graduate program visit the following link: http://masters.greenmtn.edu/
Guilford College,2016-03-08,2016-03-08 08:08:41,corrybc@guilford.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hampshire College,2016-03-23,2016-03-23 09:59:09,bhooker@hampshire.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Hampshire College does not offer graduate degrees.

Div IV: http://www.hampshire.edu/alumni/forum.htm 
This is a post-graduate program with alumni, typically has a focus on sustainability;  however, it is a weekend experience."
Harvard University,2016-02-29,2016-02-29 16:59:07,colin_durrant@harvard.edu,2.0,Pursuing,True,Sustainability & Environmental Management,"Explore the critical environmental  factors affecting air, water, climate, sustainability, and ecosystems. Equipped with the master’s degree, you’ll be primed to create solutions to the crises affecting our global community.
At Harvard you’ll find:
Focused fields to deepen your insight

    The ecosystems concentration focuses on the stewardship of natural assets and the handling of contaminants.
    The sustainability concentration focuses on developing practices that conserve resources for future generations.

Flexibility to fit your schedule

    Online and evening courses, so you can balance school and other commitments. At least one on-campus course here in Cambridge is required.
    Courses that run year round to accelerate degree completion. 

Certificates to complement your degree

You can select degree electives that count toward a certificate in:

    Built environment and community sustainability
    Corporate sustainability and innovation
    Environment policy and international development
    Ecosystems science and natural resource management

Access to the larger Harvard community resources

    Work with a professor as a part-time research assistant.
    Participate in an internship, study abroad in Venice or Tuscany, and network with peers through our active Environmental Club.
    Prepare for your next step with support from the Harvard Office of Career Services.
",http://www.extension.harvard.edu/degrees-certificates/sustainability-environmental-management,Master in Design Studies: Energy and Environments,"The existing discourse on “sustainable” design inadequately frames questions of energy and environment. Whether you consider the narrowly defined system boundaries of buildings or landscapes, incomplete interpretations of the thermodynamics that support life today, or the externalities of contemporary “sustainability,” a more ambitious and totalizing praxis for energy and environments is necessary today. The Energy and Environments concentration focuses on buildings and landscapes as both small and large-scale thermodynamic systems that aim to maximize energy intake, use, and feedback, achieving broad design and ecological impacts. For instance, the design of urban wood buildings has far-reaching effects on forestry practices, global carbon cycles, as well as minute thermal phenomena. Rather than focusing on the constrained principles of efficiency, conservation, and optimization, we examine the capacities and propensities of material/energy systems along with their historical and socio-ecological entanglements. This approach is necessary for a more thermodynamically cogent, ecologically exuberant, and vitally civilizing method of practice for the 21st century.

Energy and Environments allows students to examine material and energy issues – broadly defined, from the molecular to the territorial – across disciplines and scales, taking full advantage of courses and initiatives throughout the GSD and Harvard University. It is closely associated with the Energy, Environments, and Design Research Lab, a way to couple theory with applied research. The curriculum is diverse: from short workshops, half-semester module courses, regular seminars and lectures, and to year-long thesis projects and multi-year lab projects.",http://www.gsd.harvard.edu/#/academic-programs/master-in-design-studies/energy-and-environments/index.html,"Harvard School of Engineering & Applied Sciences - Graduate Engineering Sciences Degree: Environmental Science and Engineering (S.M., M.E., Ph.D)","Our society’s influence on the natural world’s ecosystems and resources has never been more prominent or problematic than it is today. In order to better understand and address environmental challenges, environmental scientists and engineers provide technical solutions and advance innovations in environmental measurements, modeling, and control through the application of scientific and engineering principles.

Harvard has long been a pioneer in environmental education and research. This tradition continues today with faculty that are committed to teaching and researching engineered solutions to problems in the atmospheric, terrestrial, and aquatic compartments of the environment. Undergraduate research and design projects in Environmental Sciences and Engineering cut across departments and schools, and cover topics in environmental technology, atmospheric sciences, environmental chemistry, microbiology, water management, energy, climate, and oceanography.

Students in Environmental Sciences and Engineering (ESE) study the fundamental processes and technologies underlying environmental systems, including natural and polluted waters and soils, the atmosphere, climate, and energy. Students learn to apply these principles to develop solutions to complex environmental problems and to mitigate human impacts on the environment.",http://www.seas.harvard.edu/environmental-science-engineering/degree-and-course-options,,True,Graduate Consortium on Energy and Environment,"The Harvard Graduate Consortium on Energy and Environment fosters a community of doctoral students who are well versed in the broad, interconnected issues of energy and environment while maintaining their focus in their primary discipline. Through debate and dialogue in coursework and seminars, students are able to identify the obstacles, highlight the opportunities, and define the discussion of an energy strategy for the 21st century and beyond. To date, nearly 150 students have participated in the program.
Program Description

The Consortium is open to Ph.D. or Sc.D. students at Harvard who have completed at least one year in their home department or school and can demonstrate that participation in the Consortium will advance the goals of their research experience. Students representing a broad range of disciplines in the natural and social sciences are encouraged to participate in the Consortium, reflecting the interdisciplinary nature of energy and the environment in contemporary society.

Once admitted to the Consortium, students are required to take three courses designed to give them an introduction to several critical aspects of energy issues. Students are also required to participate in a weekly reading seminar, led by faculty members from around the university, which provides an overview of the energy field from a wide range of perspectives. Each student in the program is eligible to apply for graduate fellowship support and up to $1,000 towards attending conferences or other appropriate professional activities during their time in the program.",http://environment.harvard.edu/graduate-consortium,Sustainability Certificate,"Offered through the Harvard Extension school, students will gain understanding, knowledge, and fluency in:  The benefits of conventional and renewable energy systems, issues surrounding new transportation technologies, energy intensity of food production, effects of supply chain management and international commerce in energy security, energy management in buildings, and the mechanisms needed to evolve into sustainable energy operations; Sustainability management at the nexus of a local business, local government, and community as well as use of management systems and performance frameworks.; and focused subject areas, such as environmental economics, greenhouse emissions management, sustainable building design, sustainable supply chain management, environmental toxicology, or risk management.",http://www.extension.harvard.edu/professional-certificates/sustainability-certificate,"Secondary PhD Field Science, Technology and Society ","STS is an emerging field dedicated to studying the institutions and practices of scientists, engineers, physicians, architects, planners, and other technical professionals, as well as the complex relationships between science, technology and society. STS employs a variety of methods from the humanities and social sciences to examine how science and technology both influence and are influenced by their social, cultural, and material contexts. A major area of interest is the role of technologies and technological systems in shaping the purposes, possibilities, and meanings of human lives, from the creation of novel biological organisms to the design of urban infrastructures and the management of global risks to health, food, security, and the environment.",http://www.gsas.harvard.edu/programs_of_study/science_technology_and_society.php,,--
Haverford College,2016-03-02,2016-03-02 12:02:13,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:52,sustainability@hws.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana State University,2016-03-29,2016-03-29 10:18:28,caroline.savage@indstate.edu,2.0,Pursuing,--,--,,--,--,,--,--,,--,,--,--,,--,--,,--,--,,--,,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:43:44,brownwm@indiana.edu,2.0,Pursuing,True,Ph.D. in Environmental Health,"The mission of this program is to educate the next generation of environmental health professionals to understand the influences and effects of environmental factors on human health and disease with a focus on rural communities; to prepare health scientists to conduct and share through scholarly pursuits the results of original lab-based research; to emphasize the scientific, technological, policy, and management skills needed to address environmental, toxicological and occupational health concerns; and to advance the discipline of environmental health. The goal of this doctoral program is to educate future professionals who are highly qualified as independent investigators, academicians, and practitioners of environmental health.",http://bulletins.iu.edu/iub/phb/2015-2016/graduate/doctoral/environmental-health.shtml,"Master of Science in Recreation Degree (MSR), Park and Public Lands Management Major","A Master of Science in Recreation degree with a major in Park and Public Lands Management provides students with approaches to managing land-based operations at the national, state, regional and local levels. The program emphasizes the stewardship of lands entrusted to many public agencies and private enterprises in order to improve the environment, sustain public enjoyment of parks and facilities by employing contemporary management practices, and balancing resource protection with recreation and use of lands. This program is offered online.",http://bulletins.iu.edu/iub/phb/2015-2016/graduate/masters/msr-prk-publ-lands-mgt.shtml,Masters of Science In Environmental Science,"The MSES program consists of four components:
1. Core Compentencies of Applied Ecology, Environmental Chemistry, Applied Math, Statistics, and Environmental Engineering OR Energy Systems Engineering, with a selection of courses in environmental policy, management, law and/or economics.  
2. Concentrations include Applied Ecology, Energy, Water Resources, or Environmental Chemistry/Toxicology/Risk Assessment.  
3. Experiential Requirement options include a summer internship, credit for prior professional experience or volunteer service, or research.  
4. Capstone Course options include either: a final course involving an integrative and multi-disciplinary group project and presentation OR a research/thesis degree option.

The program may also be combined with the Master of Public Affairs program, for a  Master of Public Affairs (MPA) and a Master of Science in Environmental Science (MSES)  dual degree
https://spea.indiana.edu/masters/degrees-certificates/mpa-mses-dual-degree/index.html
",https://spea.indiana.edu/masters/degrees-certificates/environmental-science/index.html,"Ph.D. in Environmental Science
https://spea.indiana.edu/doctoral/degrees/environmental-science.html

Master of Science in Recreation Degree (MSR), Outdoor Recreation Major
http://bulletins.iu.edu/iub/phb/2015-2016/graduate/masters/msr-outdoor-rec.shtml

More information about various degree offerings is available at the Integrated Program in the Environment website http://environment.indiana.edu/degrees/
",True,Human Dimensions of Global Environmental Change: Ph.D. minor,"The graduate minor will instruct students in theories and methods that combine the physical and social sciences on human dimensions of global environmental change (HDGEC). The curriculum, as described below, will familiarize students with (1) the major issues of the field through exploration of the available approaches to this kind of interdisciplinary work and creation of a research proposal; (2) institutional analysis and design; and (3) forest and institutions research methods. Students will be expected to become familiar with GIS and/or remote sensing as tools in the analysis of global environmental change through both formal courses and hands-on apprentice­ship as part of team research projects.",http://bulletins.iu.edu/iu/gradschool/2014-2015/programs/bloomington/human-dimensions-of-global-environmental-change/,Master of Science in Geography with Specialization in Climate and Environmental Change,"Requirements are the same as for the M.S. in Geography, with the additional requirements of a minimum of 9 graduate credits in the field of climate and environmental change. Suitable courses include but are not limited to:

GEOG-G 505 Hydroclimatology
GEOG-G 532 Physical Meteorology and Climatology
GEOG-G 544 Climate Change Impacts
GEOG-G 550 Instrumentation and Field Methods in Atmospheric Science
GEOG-G 551 Water Resources: Semi-Arid Environments
GEOG-G 577 Topics in Atmospheric Science
GEOG-G 588 Applied Spatial Statistics
GEOG-G 589 Atmospheric Data Analysis",http://bulletins.iu.edu/iu/gradschool/2014-2015/programs/bloomington/geography/index.shtml,"Master of Public Affairs, Sustainability and Sustainable Development Concentration","With a concentration in Sustainability and Sustainable Development, students are prepared to help organizations and people strike a balance between meeting immediate needs and ensuring a secure, livable future. Study will combine environmental, economic, social, and political elements.",https://spea.indiana.edu/masters/degrees-certificates/public-affairs/concentrations/sustainability.html,"Master of Public Affairs, Environmental Policy and Natural Resource Management Concentration
https://spea.indiana.edu/masters/degrees-certificates/public-affairs/concentrations/environmental-policy.html

Master of Arts/Master of Science in Geogra­phy
Master of Science in Environmental Science (Public and Environmental Affairs)
http://bulletins.iu.edu/iu/gradschool/2013-2014/programs/bloomington/geography/index.shtml

Master of Public Health Degree (MPH), Environmental Health Major
http://bulletins.iu.edu/iub/phb/2014-2015/graduate/masters/mph-environmental.shtml

More information about various degree offerings is available at the Integrated Program in the Environment website http://environment.indiana.edu/degrees/",--
Juniata College,2016-03-23,2016-03-23 08:09:37,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:17:22,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:31:04,sustainability@knox.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lehigh University,2016-02-29,2016-02-29 00:26:24,sustainability@lehigh.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
