Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Total percentage of students that use more sustainable commuting options,The percentage of students that use each of the following modes as their primary means of ...,The percentage of the institution's students that commute with only the driver in the vehicle ...,"The percentage of the institution’s students that walk, bicycle, or use other non-motorized means ...",The percentage of the institution’s students that vanpool or carpool as their primary method of ...,The percentage of the institution’s students that take a campus shuttle or public transportation as ...,"The percentage of the institution’s students that use a motorcycle, scooter or moped as their ...",A brief description of the method(s) used to gather data about student commuting,The website URL where information about sustainable transportation for students is available,Public Notes
Indiana State University,2016-03-29,2016-03-29 10:17:21,caroline.savage@indstate.edu,2.0,Pursuing,30.0,**,70.0,23.0,3.0,3.0,1.0,"Based on the number of parking permits sold for the year, number of on-campus residents, and the number of residents who live off-campus an estimate of commuters has been produced. At this time exact numbers are difficult to obtain. ",http://www2.indstate.edu/parking/services.htm,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:42:40,brownwm@indiana.edu,2.0,Pursuing,86.0,**,14.0,48.0,4.0,34.0,--,"An extensive employee and student transportation survey was conducted in the spring of 2012 and again in 2015, in collaboration with Indiana University Bloomington Center for Survey Research. The survey focused on three areas for gathering commuting information; how employees and students who live off-campus currently commute to campus; how aware are employees and off-campus students of currently offered Transportation Demand Management (TDM) programs; and what TDM programs and campus transportation infrastructure improvements would encourage more use of alternative modes for commuting to IUB. In 2012, all employees and off-campus students were surveyed. The high response rate (55 percent for faculty and staff and 33 percent for students) from both groups, indicates a high level of interest in the survey topic and questions. In 2015, half of all students and employees were surveyed, with a similarly high response rate.",http://sustain.indiana.edu/living-sustainably/transportation/index.php,Further information on alternative transportation options is available at http://parking.indiana.edu/parking_operations/alt_transportation.aspx.
Juniata College,2016-03-23,2016-03-23 08:08:23,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:16:14,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:29:52,sustainability@knox.edu,2.0,Pursuing,94.0,**,6.0,92.8,0.9,0.3,--,A campus-wide survey was issued by the Sustainability coordinator in 2013.,http://www.knox.edu/about-knox/our-values/sustainability/resources-for-the-knox-community,--
Lehigh University,2016-02-29,2016-02-29 00:26:10,sustainability@lehigh.edu,2.0,Pursuing,75.7,**,24.3,62.6,5.4,7.3,0.3,A sustainability survey was distributed by the Office of Sustainability in fall 2013 in which students were asked to anonymously respond to the following question: What is your primary mode of transportation to campus? The answers from which they could choose were the OP-19 answers listed above.  This survey was approved by the IRB and can prove statistically valid. ,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:04,advorak@lclark.edu,2.0,Pursuing,85.0,**,15.0,80.0,3.0,2.0,--,"The following data sources were used to calculate these percentages: permits sold by type, daily permits sold by type, moto/scooter permit, bus pass sales and campus shuttle statistics. All students not identified in one of these categories was included in walk or bike modes. Residential students walk to class, so those with residential SOV permits were removed from the commuting number and counted as non-motorized. This is a change from previous years' calculations methods and is consistent with STARS methodology.",--,--
Loyola Marymount University,2016-03-23,2016-03-23 14:01:46,ian.mckeown@lmu.edu,2.0,Pursuing,58.0,**,--,--,--,--,--,". This percentage is based off parking passes sold to students data and overall student population data. 
",http://admin.lmu.edu/parking/services/transportationalternatives/,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:28,adurnbaugh@luc.edu,2.0,Pursuing,91.6,**,8.4,35.0,3.6,52.8,0.2,"A fall 2015 survey was conducted with 1,500 respondents.",http://luc.edu/campustransportation/generalinformation/alternativetransportation/,As of January 2016
Macalester College,2016-01-06,2016-01-06 13:02:51,shansen2@macalester.edu,2.0,Pursuing,95.2,**,4.8,92.4,1.7,1.1,--,A survey was administered in collaboration with St. Paul Smart Trips.,http://www.macalester.edu/sustainability/initiatives/projectstransportation.html,--
Maryville College,2016-02-11,2016-02-11 15:37:36,adrienne.schwarte@maryvillecollege.edu,2.0,Pursuing,8.7,**,91.3,8.7,--,--,--,The method used to gather this data was a survey available to students through Maryville College Newsletter over a period of 4 days. ,--,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:04,slanou@mit.edu,2.0,Pursuing,97.0,**,2.0,68.2,5.0,21.2,--,"Every two years, MIT administers a Transportation Survey via email to understand how the MIT community commutes to campus. The State of Massachusetts and the City of Cambridge require that MIT collect data related to how students and staff get to MIT every day. In addition, this survey gives MIT the opportunity to find out if transportation-related services (subsidized T-passes, bicycle racks, parking access, etc.) are meeting community needs.",http://web.mit.edu/facilities/transportation/,"MIT's Transportation Survey currently does not track the number of people who commute by motorcycle, scooter, or moped so this number is reported as 0%, but is likely higher than this value.

http://web.mit.edu/ir/surveys/pdf/transportation2014-draft.pdf"
McMaster University,2016-02-19,2016-02-19 09:37:27,naeemsh@mcmaster.ca,2.0,Pursuing,75.0,**,25.0,33.0,--,42.0,--,"A survey was sent out to the staff and students of McMaster University. The respondents were asked demographic information, such as age, postal code, gender, whether they were full-time or part-time staff, faculty, or students, their level of study (if students), the department they work in or faculty they are part of, to name a few. The respondents were then asked to respond to questions pertaining to their specific mode choice for commuting, i.e. the in vehicle travel times, the wait times, etc. The respondents were then asked to rate 37 different attitudes on a five-point scale (strongly agree/enjoy to strongly disagree/dislike). ",http://www.mcmaster.ca/sustainability/documents/Summary%20of%20the%20McMaster%202010%20Transportation%20Survey.pdf,--
Miami University,2016-03-02,2016-03-02 14:17:48,kliney@miamioh.edu,2.0,Pursuing,75.6,**,24.4,54.3,4.2,16.9,0.2,"Data was obtained through a campus-wide transportation survey administered in Fall 2015.  The shown results consist of 498 complete responses from students.  They were asked to report how they got around in each semester the previous year.  While this level of detail supported detailed carbon footprint calculations, mode share was determined using only the reported mode shares for Fall semester.  This is consistent with past practice.",http://www.units.miamioh.edu/prk/,--
Michigan State University,2016-02-16,2016-02-16 09:19:19,erhardt7@msu.edu,2.0,Pursuing,68.0,**,32.0,42.0,9.0,16.0,1.0,An online survey was disseminated via email to all students in 2011.,http://www.bespartangreen.msu.edu/transportation,--
Middlebury College,2016-03-25,2016-03-25 14:02:22,jmbyrne@middlebury.edu,2.0,Pursuing,97.0,**,3.0,--,--,--,--,Ninety-seven percent of Middlebury's academic year and summer language school students live on campus (2906 out of 3006 full time equivalent students in FY 13). Because the campus is relatively compact and parking is generally on the outskirts of campus nearly all students walk or bike to get around. ,http://www.middlebury.edu/sustainability/transportation,--
Mills College,2016-02-29,2016-02-29 23:53:46,ngaetjens@mills.edu,2.0,Pursuing,58.1,**,41.9,46.3,7.2,4.6,--,"The numbers reported here are the most recent currently available, from the Fall of 2014. Students requesting a parking permit in the fall are required to complete a transportation survey that includes questions regarding primary modes of transportation. 459 students responded to the survey, out of 1,405 students total attending Mills for the '14-'15 school year. This sample was used to estimate the percentage of all students using various modes of transportation. The estimates for percentage of students using vanpool or carpool, or taking a campus shuttle or public transportation, are conservative since the survey sample only included students who were requesting parking on campus.

618 students lived on-campus during the 14-15 school year. Students living on-campus were assumed to use non-motorized means to travel from residence to class, as the distance between residential and academic buildings is insignificant at Mills. ",http://www.mills.edu/campus_life/commuting/,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:05,neapple@mtholyoke.edu,2.0,Pursuing,68.0,**,32.0,28.0,12.0,28.0,--,,--,--
Muhlenberg College,2016-03-23,2016-03-23 10:26:39,kprocyk@muhlenberg.edu,2.0,Pursuing,95.0,**,5.0,95.0,--,--,--,"Muhlenberg College does have students commute to and from campus by a means other than single occupancy vehicle for the majority of their daily commute trips.
95% of students walk, bicycle, or use other non-motorized means as their primary method of transportation. This is only an estimate, as there is no concrete data collected by the school concerning this subject. For the future, maybe we can look into collecting this data and placing it in a database.
",--,--
Naropa University,2016-02-29,2016-02-29 17:16:42,acook@naropa.edu,2.0,Pursuing,55.0,**,45.0,33.0,1.0,20.0,1.0,Commuter survey.,http://www.naropa.edu/the-naropa-experience/sustainability/transportation.php,"Only have estimates for % that walk, bike, etc. Survey combined all forms of sustainable transport into one. They were not differentiated."
North Carolina State University,2016-01-28,2016-01-28 13:27:34,lindsay_batchelor@ncsu.edu,2.0,Pursuing,50.0,**,50.0,15.0,7.0,28.0,--,"The NC State University Student Commute Survey presents the results of an October – November 2013 survey of 1,412 students who were enrolled during the fall of 2013 for classes on any of three campuses of NC State in the Raleigh-Durham area of North Carolina. NC State is one of several “local Service Providers” that offer commute assistance services funded by the Triangle Transportation Demand Management Program. This survey was conducted to define the commute travel patterns of NC State students who live off campus and travel patterns between and around NC State campuses by both off-campus and on-campus students. Additionally, the survey results will be used to develop travel assistance services that could make it easier to travel to NC State and around the Triangle region. To this end, the survey collected data on students’ awareness and use of travel assistance services offered by regional commute assistance organizations and by NC State and their interest in other services that could be offered.",http://www.go.ncsu.edu/wolftrails,--
Northern Arizona University,2016-02-23,2016-02-23 18:52:03,Ellen.Vaughan@nau.edu,2.0,Pursuing,70.0,**,36.0,34.0,--,70.0,--,2013 Student Transportation Survey,http://home.nau.edu/parking/mct.asp,"Some students take the bus every day and then walk, bicycle, or use other non-motorized means. That is why the percentages equal over 100%."
Oberlin College,2016-03-21,2016-03-21 16:09:44,bflynn@oberlin.edu,2.0,Pursuing,98.0,**,2.0,96.0,2.0,--,--,,--,"Because Oberlin's campus is relatively compact and student parking is largely in peripheral lots, unless a student lives off-campus and more than a mile away (again, a very small number), driving is not the most convenient way to get around."
Ohio University,2016-03-23,2016-03-23 07:57:23,goetze@ohio.edu,2.0,Pursuing,86.5,**,13.5,83.5,1.0,1.0,1.0,"In order to park on Ohio University's campus, one must have a parking permit.  Students must purchase student parking permits.  We estimated the maximum percentage of students that commute with the only driver in the vehicle by dividing the number of parking permits sold to students by the total number of students enrolled at the university (excluding distance education students).  This number should be an overestimate of the single occupancy drivers and an underestimate of those who use more sustainable commuting options.",http://www.ohio.edu/sustainability/programs/transportation.cfm,SOV commuting numbers are overestimates based on parking permit sales.  Other numbers are rough estimates.  All data is from prior to FY15.
Onondaga Community College,2016-02-26,2016-02-26 16:33:56,vormwals@sunyocc.edu,2.0,Pursuing,30.0,**,70.0,6.0,14.0,10.0,--,,--,--
Oregon State University,2016-03-30,2016-03-30 14:49:58,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Pennsylvania State University,2016-03-21,2016-03-21 11:48:44,mme2@psu.edu,2.0,Pursuing,88.0,**,12.0,33.0,--,55.0,--,"The methodology for the data reported is as follows: 

44,935 FTE
5,410 students with parking permits for commuting (12%). 14,801 live on campus and walking/biking is the most convenient mode of transportation (33%). 73 students have motorcycle permits (<1%). The remaining off-campus students that do not have permits and therefor cannot park on campus, must either walk/bike from housing close to campus or utilize CATA Bus\Shuttle Services to get to and around campus.(55%)

We do not have carpool/vanpool data for students so the assumption was made that each parking permit was for only one student and no carpool/vanpool data is reported. ",http://sustainability.psu.edu/live/what-penn-state-doing/infrastructure/transportation,"There is limited parking available in the core campus area. The majority of the commuter parking is located on the periphery, encouraging less vehicle movement, fewer pedestrian/vehicular conflicts, and a more walkable environment. Penn State operates a Campus Shuttle that loops through campus. In partnership with CATA (Centre Area Transportation Authority) there is a Campus Service. CATA also offers a Community Service with 23 routes serving students/staff who live in neighboring communities. In a partnership with Penn State, CATA also offers four campus routes. 
"
Pittsburg State University,2016-03-24,2016-03-24 14:47:18,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Pitzer College,2016-02-22,2016-02-22 14:38:47,warren_biggins@pitzer.edu,2.0,Pursuing,76.0,**,--,76.0,--,--,--,"All students who live on campus (76% of all students) have been included as walking, bicycling, or using other non-motorized means as their primary transportation to get to and from campus. Furthermore, the majority of students living off-campus also use non-motorized means of transportation as their primary method of commuting. However, because significant data on off-campus commuting does not exist, they have not been included in the 76%.",--,--
Plymouth State University,2016-02-29,2016-02-29 11:42:31,bweisenhauer@plymouth.edu,2.0,Pursuing,70.0,**,30.0,50.0,7.0,2.0,1.0,Survey of students.,--,--
Pomona College,2016-01-11,2016-01-11 17:28:30,alexis.reyes@pomona.edu,2.0,Pursuing,99.8,**,0.2,99.66,0.14,--,--,"A student commuter survey is distributed to all students who live off campus in the spring semester.  It asks modes of transportation to campus from the previous week, distance from campus, and vehicle make and model.  Commuting percentages are derived from the results of this survey.",http://www.pomona.edu/administration/sustainability/action-plan/initiatives/transportation/,"Pomona College campus is primarily residential, with more than 99% of students living on campus and greater than 99% of commuters living within 1.5 miles of campus."
Portland State University,2016-03-24,2016-03-24 17:19:50,jenny.mcnamara@pdx.edu,2.0,Pursuing,80.32,**,19.68,28.69,4.66,43.32,0.56,The Campus Planning Office distributes an annual survey regarding commuting choices and preferences.,http://www.pdx.edu/transportation/home,"PSU Bike Hub supports bicycle commuting 
The PSU Bike Hub is an on-campus bike shop where students and staff can repair their own bikes, learn maintenance skills, and purchase parts & accessories at a discount. http://www.pdx.edu/bikehub/ 

Percentages represent number of trips taken in each mode by students, not % students taking each mode. PSU believes that surveying about trips by mode during a week is more accurate, as it reflects the possibility of using multiple modes.

“Dropped Off” (1.97%) and “Other” (1.12%) included in sustainable options, but not included in Carpool/Vanpool. "
Princeton University,2016-01-20,2016-01-20 17:00:57,kristiw@princeton.edu,2.0,Pursuing,89.5,**,10.5,86.4,--,3.1,--,"The Transportation office collected the data by analyzing the enrollment number for the Mass Transit Subsidy program and the number of commuting parking permits issued. 

The Office of Transportation and Parking does not know the number of students who walk or bicycle to campus. The percentage above is the percentage of students who live on campus, and therefore most likely use non-motorized means to attend class.",http://www.princeton.edu/parking,Additional information: www.princeton.edu/transportation
Principia College,2016-01-30,2016-01-30 21:54:28,karen.eckert@principia.edu,2.0,Pursuing,100.0,**,--,100.0,--,--,--,Principia's undergraduate student population is 100% resident and the campus is fully accessible by walking and bike paths. Bike racks and provision for skate/long boards are provided at every building entrance.,--,--
Purdue University,2016-02-26,2016-02-26 16:45:10,mgulich@purdue.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Randolph College,2016-02-26,2016-02-26 14:25:22,llemaitre@randolphcollege.edu,2.0,Pursuing,88.0,**,12.0,--,50.0,15.0,1.0,Checked campus security registration vehicle registration log.,--,--
Rice University,2016-03-25,2016-03-25 16:31:47,rrj@rice.edu,2.0,Pursuing,65.0,**,35.0,32.0,22.0,6.0,--,"A survey was conducted by students in the CHBE 281 class of all faculty, staff and both graduate and undergraduate students.",--,"While we are confident that the data is an accurate representation for the undergraduate population, we believe that the sample size was perhaps too small for the graduate student population."
Rochester Institute of Technology,2016-03-25,2016-03-25 15:52:47,elcpro@rit.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"The percentages were calculated based on transportation surveys of commuter behavior.


RideShare forum roster 
http://www.rit.edu/fa/facilities/pats/transportation/rideshare.html

Shared Use Path
http://www.rit.edu/sustainability/sites/rit.edu.sustainability/files/sites/rit.edu.sustainability/files/active%20transportation%20project%20description.pdf"
Saint Louis University,2016-03-24,2016-03-24 17:16:42,bverhof1@slu.edu,2.0,Pursuing,58.0,**,42.0,46.5,6.6,4.7,0.2,"An Alternative Transportation Committee was created out of the Sustainability Advisory Council and assisted with the development of questions for a transportation survey. The survey was created by the Department of Sustainability and Benchmarking (S&B) and released for a two week period beginning mid-November 2014. The survey was divided by on and off campus residents to gauge commuting modes and then further divided by student, faculty, or staff. The survey was advertised through social media, campus NewsLink articles and website posting, email, and signage around campus. Data was analyzed by the Department of S&B.",http://www.slu.edu/facilities-services-home/departments/transportation-services/transportation-options,Data from FY14 was used for FY15 and will be updated every three years for the University.
San Francisco State University,2016-03-25,2016-03-25 17:33:33,kordesch@sfsu.edu,2.0,Pursuing,73.5,**,19.7,20.8,3.9,49.3,0.4,San Francisco State University conducted its regular transportation survey in April of 2014. The survey included an online survey and an in-person cordon count. Survey data was weighted and extrapolated to determine the percentage of mode split for the entire university. ,http://parking.sfsu.edu/sites/sites7.sfsu.edu.parking/files/forms/SF%20State%20Transportation%20Survey%202014%20FINAL.pdf,--
Santa Clara University,2016-02-26,2016-02-26 20:44:44,lkalkbrenner@scu.edu,2.0,Pursuing,64.36,**,35.64,54.0,2.67,7.06,0.63,A survey was e-mailed to graduate and undergraduate students on their respective Student-Events Listservs on behalf of the Center for Sustainability. The survey was open for one week. ,https://www.scu.edu/sustainability/operations/transportation/,--
Seattle University,2016-03-23,2016-03-23 11:52:43,thompson@seattleu.edu,2.0,Pursuing,65.0,**,35.0,35.0,7.0,22.0,1.0,"The 2007 Transportation Management plan survey results for employees and students have been used for every year. The survey collected the following data for staff/faculty/students: % Drive alone, % Carpool, % Transit, trips/Day, 1-way miles per trip",http://www.seattleu.edu/transportation/,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:35,mpate@sewanee.edu,2.0,Pursuing,95.4,**,1.8,98.2,--,--,--,"Undergrad commuting was calculated by: finding out the total number of off campus houses that are granted on-campus parking passes because they either lived off-campus or were part-time students.
1631 total students
1603 residential students whom commute sustainably
28 students whom commute via auto

",--,"Undergrad commuting was calculated by: finding out the total number of off campus houses that are granted on-campus parking passes because they either lived off-campus or were part-time students.
1631 total students
1603 residential students whom commute sustainably
28 students whom commute via auto

Graduate commuting was calculated by conducting a survey of the School of Theology. 12.66% of the SOT completed the survey. It was calculated that 40% commute sustainably and 60% drive. We thus applied this calculation to the total number of 84 students, finding that:
34 commute sustainably
50 drive

With a total of 1,715 students for Fall 2014, it was found that 1,637 commute sustainably while 78 drive. Thus, 95.4% of students commute sustainably. "
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:15,andre.plante@sheridancollege.ca,2.0,Pursuing,72.0,**,27.0,9.0,12.0,51.0,1.0,"Smart Commute Mississauga conducted a student commuting survey in the fall of 2012. Although the survey does not cover all campuses, it is a good representation of Sheridan College's student commuting behaviour.

Sustain Mobility was hired in order to conduct an in depth transportation study of Sheridan College.",--,--
Simon Fraser University,2016-02-08,2016-02-08 23:41:43,erica_lay@sfu.ca,2.0,Pursuing,91.2,**,8.8,--,--,--,--,"An extensive survey, with 7878 respondents of the 32,589 population of SFU, on commuter behaviour, was conducted in the Spring of 2014.  The values here represent preliminary results gathered through this survey.  When comparing the survey respondents to actual SFU population make-up, the survey sample satisfactorily represents the surveyed population.  
Values were calculated based on the commuting behaviour of all three SFU campuses (Burnaby, Vancouver, and Surrey).
",--,--
Slippery Rock University,2016-02-29,2016-02-29 14:18:54,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:29:16,dweisbor@smith.edu,2.0,Pursuing,94.0,**,6.0,94.0,--,--,--,"94% of Smith's students live on campus, so they walk or bike across campus to class each day.  Even though they might have a student parking permit and have a vehicle parked on campus, they are using their vehicle to travel away from the campus, rather than driving around the campus to class.  
6%, or 144, of Smith's students live off campus.  While most of them live in Northampton just a few miles from campus, we cannot determine if they walk, bike, take the bus, or drive alone to campus.  Since we cannot determine their mode of transportation, we assume to be conservative that they all may drive to campus with only the driver in the vehicle.  ",http://www.smith.edu/green/operations_transportation.php,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:20:38,huminskis1@southernct.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,SCSU does not track commuter behavior at this time.
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:21:58,glkurtzhals@siu.edu,2.0,Pursuing,55.4,**,52.0,20.0,6.8,28.0,0.6,SIU parking division offers students the option to purchase parking decals and register bicycles. We collected the number of bicycle registrations and decals to calculate the percentages based on that year's enrollment.,--,"-Campus shuttle/ public transportation values vary as there is no definite way for measuring. However, SIU Public transportation has been used 601,325 times by students for year 2015.
- Vanpool/ carpool percentages are an estimated percentages as well. "
Southern Oregon University,2016-03-23,2016-03-23 15:38:36,beigelcod@sou.edu,2.0,Pursuing,53.3,**,46.7,34.0,9.2,10.1,--,"The above data was compiled through a Commuting Survey, which was distributed to all students through the campus email system.",http://www.sou.edu/crc/driveless/index.html,"The above data was compiled through a Commuting Survey, which was distributed to all students. Unfortunately, because the survey was titled ""Commuting Survey"", the responses overwhelmingly came from commuter students; very few resident students responded. SOU feels that this condition skewed the data toward persons who drive alone as their primary method of transportation."
Spelman College,2016-02-15,2016-02-15 08:21:30,aefrazier@spelman.edu,2.0,Pursuing,43.0,**,57.0,4.0,15.0,28.0,--,The Sustainable Spelman Interns conduct a commuter survey,http://www.spelman.edu/student-life/commuter-students,Over 2/3 of our students live on campus. The data above is for non-resident students only
St. John's University,2016-03-02,2016-03-02 16:31:40,goldsmit@stjohns.edu,2.0,Pursuing,73.0,**,34.0,28.0,6.0,32.0,--,"An optional student survey was conducted on campus by Sustainability Coordinators.  Due to the commuter atmosphere and classes on both Staten Island/Queens, public transportation and commuting via car were the top responses.",http://www.stjohns.edu/campuses/queens-campus,"St. John's University, New York main campus in Queens is serviced by NYC public busses, subways, ST. John's Shuttle. "
Stanford University,2016-03-23,2016-03-23 01:12:24,mbhafer@stanford.edu,2.0,Pursuing,89.8,**,10.02,78.81,2.13,8.56,0.3,"Commute and modal split information is sampled using Stanford’s annual transportation and commute survey, administered each spring.",http://transportation.stanford.edu/,Student classification includes undergraduate students and graduate students. Postdoctoral scholars are not included in this tally.
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:49:38,malichte@esf.edu,2.0,Pursuing,81.0,**,20.0,68.0,6.0,7.0,--,"In the Spring of 2016, the Office of Sustainability surveyed ESF faculty, staff, and students about their commuting habits. The survey used to collect this data asked students about commuting activity in warmer months versus colder months. Based on average yearly temperature, Syracuse has four cold months (Jan., Feb., March, and Dec.) and eight warm months (April, May, June, July, Aug., Sept., Oct., and Nov.). The survey asked students if they attended school in the summer. 20% of students said ""yes"" and 80% said ""no."" The numbers reported are the result of the weighted average accounting for warm months, cold months, and students who attend school year-round (12 months out of the year) versus only in the spring and fall terms (nine months out of the year).",http://www.esf.edu/sustainability/commuter.htm,--
State University of New York at Cortland,2015-10-09,2015-10-09 13:15:56,Beth.Klein@cortland.edu,2.0,Pursuing,95.0,**,5.0,70.0,--,25.0,--,,http://www2.cortland.edu/offices/facilities-management/physical-plant/bus-schedule.dot,--
State University of New York at Geneseo,2016-03-24,2016-03-24 10:59:22,dezarn@geneseo.edu,2.0,Pursuing,94.0,**,6.0,92.0,1.0,1.0,--,,http://www.geneseo.edu/pts/transportation-services-0,These numbers are estimations. Most students that go to Geneseo live on or very close to campus. There are few students who live farther from campus and even fewer who commute by driving as their primary mode of transportation. 
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:16,mittenl@newpaltz.edu,2.0,Pursuing,34.0,**,66.0,26.0,7.0,1.0,--,"The Office of Student Activities sent an online survey to all commuter students which included three transportation related questions, including one question that provided data for this credit.  A total 100 commuter students participated in the survey.  During the fall of 2014, 7,429 students were enrolled at SUNY New Paltz, of which 2,861 or 41.3% of students live on campus.  Due to time and logistical constraints, on campus residents were not included in the survey.    The above data is not representative of the entire campus body and is missing a large percentage of students who likely use sustainable commuting options such as walking, biking, or skateboarding across campus.  In reality, the total percentage of students that use more sustainable commuting options is significantly higher than the 34% indicated above.",--,--
Sterling College,2016-01-28,2016-01-28 10:04:17,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,95.0,**,5.0,95.0,--,--,--,"Approximately 95% of the student body lives on campus. The entire campus is within walking distance and cars, vans, and public transportation are almost non-existent in use. A few students commute from off-campus in the nearby Craftsbury Village or Wolcott Village. ",--,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:21:11,gotham360@stevens.edu,2.0,Pursuing,55.0,**,10.0,15.0,4.0,35.0,1.0,"General information from the department of Residence Life, plus general metrics from calculating the number of bikes/bike racks on campus and metrics provided by our shuttle vendor which tracks the ridership on all five our our current shuttle lines. ",http://www.stevens.edu/,--
Syracuse University,2016-03-25,2016-03-25 15:33:03,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,We are in the process of updating our travel survey and cannot accurately answer this question.
Temple University,2016-02-09,2016-02-09 14:47:11,kathleen.grady@temple.edu,2.0,Pursuing,82.0,**,18.0,47.0,6.0,30.0,--,University-wide transportation survey,http://sustainability.temple.edu/sites/sustainability/files/uploads/documents/TU_TRANS_REPORT_2013_FINAL.pdf,--
Texas A&M University,2016-01-15,2016-01-15 14:24:51,kwellman@tamu.edu,2.0,Pursuing,79.99,**,33.23,24.65,3.43,36.09,2.6,"Survey Monkey, findings are drastically impacted by number of respondants.",http://transport.tamu.edu/about/alternativetransport.aspx,--
Texas Tech University,2016-03-25,2016-03-25 15:46:51,carey.hewett@ttu.edu,2.0,Pursuing,54.0,**,46.0,7.0,--,40.0,7.0,Parking permits logged in the Texas Tech University Parking system and bike rack utilization.,http://www.parking.ttu.edu/students/alternatives-to-parking,--
The Ohio State University,2016-01-26,2016-01-26 15:46:50,dial.15@osu.edu,2.0,Pursuing,62.0,**,38.0,39.5,5.0,17.5,--,,--,--
Tufts University,2016-02-25,2016-02-25 15:40:25,tina.woolston@tufts.edu,2.0,Pursuing,81.5,**,18.5,41.2,2.2,25.6,0.15,"The Tufts Operations Division and Office of Sustainability administered an online commuting survey to all employees and students on the university’s three campuses between April 22 and May 23, 2014.  The “simple random sample survey method” was used to obtain a representative cross-section of the non-residential student population on each campus. A 'census survey method' was used for the residential students where they all received the survey. A total of 2,883 students completed the survey, representing 24% of the student body, of which 1,686 completed the question related to commute method for the week of Apr 7-11, 2014. 44% of the respondents live on campus. ",http://sustainability.tufts.edu/programs/transportation/,"In the survey, students were asked how they commuted from home to Tufts during a typical 5-day week (Monday - Friday) from April 7 - April 11, 2014.  Students who traveled by multiple modes of transportation (e.g., walk to the subway station) were asked to choose the mode with the most miles traveled.

To obtain the numbers above, the totals for all 5 days of the week for each mode of transportation were averaged (e.g., 108 students biked to campus on Monday, 102 on Tuesday, 108 on Wednesday, 106 on Thursday, and 94 on Friday - these numbers were averaged to give a total of 103.6 students commuting by bike).  The total number of respondents to the question (1,686) was used as the denominator. This includes an average of 205 people who indicated that they were not at Tufts or responded ""other.""   

Students completing the survey could select one of the following commuting modes: Drive Alone, Carpool, Vanpool, Motorcycle/Scooter/Moped, MBTA Bus, Tufts Davis Square Shuttle, Subway (the T), Commuter Rail/Regional Train, Bicycle, Walk, Telecommute, Flextime/Day off, Other, and Not at Tufts.  For purposes of this questionnaire, Telecommute was included as an ""other non-motorized means"" with Walk and Bicycle. Flextime, Other, and Not at Tufts constituted 12.5% of respondents.

The weather during the week was as follows (from wunderground.com): 
Monday: mean temp 49 degrees F, precipitation 0.04"" 
Tuesday: mean temp 54 degrees F, precipitation 0.67""
Wednesday: mean temp 50 degrees F, precipitation 0.00""
Thursday: mean temp 47 degrees F, precipitation 0.00""
Friday: mean temp 59 degrees F, trace of precipitation"
Tulane University,2016-02-04,2016-02-04 11:03:54,ldavey@tulane.edu,2.0,Pursuing,70.3,**,29.7,59.4,2.6,7.8,0.5,"In Spring 2014, we sent a transportation survey to all students, faculty and staff by email. We received a total of over 2,800 replies and calculated the percentage of students that use each of the modes based on their replies.",http://green.tulane.edu/transportation.html,--
Unity College,2016-03-25,2016-03-25 15:24:13,JdeHart@unity.edu,2.0,Pursuing,74.0,**,24.0,74.0,2.0,--,--,"The resident population is 478 out of 646 students, from which the estimates above were derived.  The 2% carpool value was determined from a survey in 2011 and is used again here for lack of newer data. .",--,--
