Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Total energy consumption (all sources, transportation fuels excluded), performance year",Total clean and renewable electricity generated on site during the performance year and for which ...,Clean and renewable energy from the following sources:,A brief description of on-site renewable electricity generating devices ,"Non-electric renewable energy generated on-site, performance year (Option 2)",A brief description of on-site renewable non-electric energy devices,Total clean and renewable electricity generated by off-site projects that the institution catalyzed ...,"A brief description of off-site, institution-catalyzed, renewable electricity generating devices",Total third-party certified RECs and similar renewable energy products purchased during the ...,A brief description of the RECs and/or similar renewable energy products,The website URL where information about the institution's renewable energy sources is available,Public Notes
Dickinson College,2016-03-08,2016-03-08 10:06:39,welkerm@dickinson.edu,2.0,Pursuing,161883.9,398.7,**,"Grid-tied solar panels are installed at five locations on campus: Waidner-Sphal Library, Kaufman Hall, The Center for Sustainable Living, The Quarry trellis, and Britton Plaza. Additionally, most of the electricity needed for our farm operations is generated by grid-tied pv panels.   ",--,,--,,95383.332,"Dickinson entered into three year contract in fall 2012 to purchase 18,000 MWH RECs annually, the amount required to offset nearly 100% of annual electric consumption. ",http://www.dickinson.edu/info/20052/sustainability/2280/energy,"398.7 MMBTU is a conservative estimate of our solar pv electricity generation given the capacity of our PV arrays. Currently, our data collection and reporting software are not entirely functional.

Total energy consumption is comprised of fuel oil and natural gas combusted on campus and purchased electricity. MMBTU was taken directly from the Clean Air-Cool Planet Energy Sum sheet.

A conversion factor of 0.005299074 MMBtu/kwh was used to determine the MMBTU of 18,000 MWH of RECs consistent with factors from the most recent Clean Air-Cool Planet carbon calculator (v7.0)."
Drew University,2016-03-25,2016-03-25 16:11:15,swald@drew.edu,2.0,Pursuing,74310.3,--,**,,1600.0,"McLendon, the LEED certified dorm on campus, generates non-electric energy by using geothermal technology which helps regulate temperature throughout the dorm.",--,,--,,--,--
Duke University,2016-02-26,2016-02-26 14:17:58,tavey.mcdaniel@duke.edu,2.0,Pursuing,3127193.0,--,**,"There are three on-campus locations with demonstration-scale renewable electricity generating devices.  The Marguerite Kent Repass Ocean Conservation Center at the Duke University Marine Lab uses geothermal pumps for heating and cooling, solar panels for hot water, and photovoltaic rooftop panels to convert sunlight into electricity.  The Home Depot SMART House uses solar panels for hot water and photovoltaic as well.  

Duke Environment Hall, the 70,000-square-foot new home of Duke University’s Nicholas School of the Environment, opened on April 10, 2014.The five-story glass-and-concrete building, located on Circuit Drive on Duke’s West Campus, incorporates start-of-the-art green features and technologies inside and out. It has been designed to meet or exceed the criteria for LEED Green Building platinum certification, the highest level of sustainability. Solar PV provides up to 9% of the buildings energy needs. 
 
 


",--,"http://nicholas.duke.edu/about/environmenthall

http://today.duke.edu/2011/09/bryancentersolarpanels 
In 2011, Duke installed 45 solar-thermal panels on the roof of the Bryan Center Student center that provide 30-40% of the hot water needs of the building.",--,,--,,http://sustainability.duke.edu/campus_initiatives/energy/utilities.html,--
Earlham College,2016-03-03,2016-03-03 10:49:51,butchli@earlham.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:15,stoddardl@easternct.edu,2.0,Pursuing,1962647.0,2699.0,**,"The High Rise dormitory is the largest geothermal project in Connecticut. With three 800-foot wells, the project was completed in Fall 2001. Prior to the project, the building was not air conditioned, and had an average annual electrical bill of $82,000 which included heating and electricity. After the geothermal heat pump system became operational, the average annual bill was $72,000 for electricity, heating AND cooling.
http://nsdi.epa.gov/region1/assistance/univ/pdfs/bmps/ECSUGeotherma1-8-07l.pdf

Solar energy: Solar is used on campus parking lot lighting, Burnap, Crandall residence halls, and Shafer fine arts exterior building lighting. The bus shelters also have solar lighting. These are all off the grid so that they can still operate in emergency situations.",--,,--,,279827.0,The university purchases 15 percent of its electricity through green power purchasing.,http://www1.easternct.edu/sustainability/green-buildings/,This information was input by ISE staff Mimi Cedrone. 
Elon University,2016-01-14,2016-01-14 09:32:46,edurr@elon.edu,2.0,Pursuing,224493.0,23.85,**,A 5 kW solar photovoltaic panel system is on the roof of Lindner Hall to provide on-site renewable energy for the building.,--,,--,,--,,--,FY 2014-15 is the performance year for this credit.
Emory University,2016-02-29,2016-02-29 16:26:30,ciannat.howett@emory.edu,2.0,Pursuing,1890429.0,--,**,"Emory has several small solar panels outside of the Few and Evans Residence Halls, which are used to power a pump, which pumps water from an underground cistern into the hall waste water system for toilet flushing. The power generated is not measured, however.

Emory was recently granted permission by Georgia Power's Advanced Solar Initiative to build three solar installations on building rooftops. The total energy production is estimated to be almost 300 kW of energy, but are not included in this report because they will be installed in 2014. http://news.emory.edu/stories/2014/05/er_advanced_solar_initiative/campus.html?utm_source=ebulletin&utm_medium=email&utm_campaign=EmoryReport_EB_060314",--,,--,,--,,--,"Emory does produce on-site renewable energy, via six, 70-watt solar panels outside of the Evans and Few Residence Halls.  Unfortunately these panels are not metered and produce too little energy to meet the standards for this credit.

The power consumption reported includes electricity and natural gas and is for our fiscal year 2012 (Sept 1 2011-Aug 31 2012)."
Endicott College,2016-03-01,2016-03-01 10:10:00,screight@endicott.edu,2.0,Pursuing,78308.0,--,**,"Endicott 945 KW Solar Electric Carport.  This is the largest in New England at this time. 
The Solar Carport is Owned and operated by third party. 

A 250 KW roof-mounted Photovoltaic system is in the design phase for the new campus hockey rink. ",--,,--,Endicott is in the process of contracting with a third party for off-site renewable energy (solar) that will be linked to the college's electricity accounts via virtual net metering.,--,,http://www.endicott.edu/About/Sustainability-at-Endicott/Energy-Climate-Action.aspx,"Endicott does not retain the Renewable Energy Certificates for the Solar Parking Lot canopy.  However, the college does provide the space and facilitated the construction process for this large facility.   A college of our size would be unable to afford the purchase of the renewable certificates, but we believe that hosting a facility of this size, scale, and visibility is important to the region, the college, our students, and the planet. "
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:15,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,"This, unfortunately, does not include data from the solar powered water heating systems in FGCU's residence halls. The power generated by these panels is not metered or assessed at this time."
Fort Lewis College,2016-03-27,2016-03-27 15:59:46,kehilimire@fortlewis.edu,2.0,Pursuing,91757.0,218.34,**,There are solar PV arrays and solar hot water heaters mounted on the roofs of Berndt Hall and Student Union Addition.,--,,--,,--,,--,--
Furman University,2016-02-22,2016-02-22 13:43:00,yancey.fouche@furman.edu,2.0,Pursuing,108102.399735,541.561,**,There are several PV solar panels throughout the Furman campus. ,5621.0,There are several solar thermal panels throughout the Furman campus. ,1266.0,"CCC weatherizes homes of local low income residents and quanitifies the energy savings, both of natural gas and electricity utilities in homes served. Progam is university run and operated. ",--,N/A,--,--
George Washington University,2016-02-29,2016-02-29 13:04:22,shannonross@gwu.edu,2.0,Pursuing,910716.34,16.0,**,"An 18-panel photovoltaic array is operating on a trellis above a walkway, known as the Solar Walk, between Exploration Hall and Innovation Hall at GW's Virginia Science and Technology Campus. Below the Solar Walk is the world’s first walkable solar-paneled pathway which includes 27 slip-resistant, semitransparent panels comprising 100 square feet. In peak conditions the walkable panels, designed by Spain-based Onyx Solar, generate enough energy to power 450 LED pathway lights, while the panels on the trellis generate energy that feeds nearby Innovation Hall. The energy production figure shown in Option 1 above is for the solar panels on the trellis. The walkable solar panel production is not metered.

On GW's Foggy Bottom Campus, a solar table was proposed and installed by students. The solar table is capable of fueling the equivalent of eight laptops for nearly seven days. Installed on a plaza between 21st and 22nd streets and F and G streets, the six-foot-long table is made of rain-resistant plywood and aluminum, with a layered tabletop of plywood and a 280-watt solar panel covered with Plexiglas. Devices like cell phones and laptops can be placed on the table and plugged into one of its eight 120-volt outlets. Power produced from this table is not metered.

The university also has several signs that are lighted at night using solar energy collected and stored during the day. These signs are also not metered.",856.2,"The university installed its first solar thermal hot water system in March 2011 on a residence hall at 2031 F St. (formerly Building JJ). During the summer of 2011, GW installed two more solar hot water heating systems on residence halls at 1959 E St. and Ivory Tower (later renamed Shenkman Hall). The energy production figure shown in Option 2 above is the combined output for all three of these systems. A fourth solar hot water system was installed at the Dakota residence hall in the summer of 2015. Production from the fourth system will be included in the next reporting year.",74640.23,"In previous reporting years, the university purchased RECs from local and/or nationwide wind energy farms as a component of LEED certification applications for several new construction projects. Some of those purchases are shown in Option 4 above because they were applied to the respective LEED projects during this reporting year.

Starting in January 2015, the university began receiving electricity purchased directly on its behalf from the Capital Partners Solar Project. The energy produced from this project is reported in Option 3 above.",14839.7,"During the reporting year, the university applied RECs (that had been purchased in previous years from local and/or nationwide wind energy farms) to selected buildings as a component of LEED certification applications for several new construction projects. RECs were also donated by an energy supply firm to offset the natural gas used on Earth Day.

RECs produced from the off-site solar energy farm were retired during this reporting year.",https://gwtoday.gwu.edu/dakota-hall-home-gw%E2%80%99s-fourth-solar-thermal-installation,"With the main campus located in a dense urban area, on-site clean energy generation and carbon sequestration options are limited. However, GW is committed to leveraging its urban campuses in the District of Columbia and its Northern Virginia campus to pilot innovative green energy generation and sequestration options that can help reduce carbon emissions, both for the university directly and for its community.

New discoveries, equipment and systems for green energy and carbon sequestration are emerging at a rapid pace, but require testing and improvements. The university is using its campuses as testing grounds for new technologies and to integrate the performance of these options into learning and research opportunities for students and faculty as appropriate. As part of this innovation strategy GW targets a 1,000 MTCO2e reduction in its emissions by 2025 through use of on-campus clean energy sources. Additionally, the university aims to produce 10 percent of its energy needs through on-site low-carbon technologies by 2040.

Many contributors to the GW carbon footprint are out of the university’s direct
control. As a single player in a complex system GW realizes it cannot reach carbon
neutrality independently or in isolation of other entities affecting carbon emissions for the D.C. area. The university is forging partnerships with other institutions in the Washington, D.C. community to both achieve GW’s own targets and assist the region in reducing its carbon emissions as well. The university is working with partners to decrease the carbon intensity of its electricity fuel mix, as evidenced by the Capital Partners Solar Project, which began to come on line in January 2015. 
http://gwtoday.gwu.edu/university-announces-capital-partners-solar-project"
Georgia College & State University,2016-03-25,2016-03-25 19:08:49,doug.oetter@gcsu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Gonzaga University,2016-02-29,2016-02-29 13:09:17,simonj@gonzaga.edu,2.0,Pursuing,66873.0,--,**,None Currently - (2) 100kW solar arrays planned for 2 buildings. ,--,,--,,10031.0,"Since 2010, 15%  or more of Gonzaga's total annual electrical energy consumption is offset through Avista's Buck-A-Block program. Avista purchases Green-e certified REC's to supply the Buck-a-Block program. The REC's or Green Tags, have all renewable attributes intact including CO2 benefits. The Buck-a-Block program is primarily wind, but there are other green-e certified resources used by the source of the program. For example, in 2008, Buck-a-Block was sourced by 77% wind, 15% landfill gas, 7% biomass, and 1% Geo Thermal. The amount reported above is for 2011.",http://www.epa.gov/greenpower/,--
Green Mountain College,2016-03-21,2016-03-21 15:55:16,ihrker@greenmtn.edu,2.0,Pursuing,54399.94,39.63,**,"In 2013, a 156 kW solar array was installed on the south side of campus to help build the solar capacity of the region and to serve as an educational facility for students entering the renewable energy field. The College does not yet retain the RECs for this project, so it is not counted under option one above. However, the College does retain the renewable attributes of two small solar projects on campus: a 5.8
kW solar charging station and a 3.6 kW roof-top array on the Olwen Solar Garage. Production from both of these smaller facilities is counted in option one above.

The College also owns a 150 kW steam turbine that is connected to the central biomass plant. The turbine can produce electricity using high pressure steam created by the boiler. On cold days when demand for steam to heat buildings is high, high-pressure steam can run through the turbine to create electricity with a generator. The generator was not online at the time of this report (February of 2016) as part of a current plan to for the plant to run at a much lower setting and still meet all of the heat demand on central campus. The generator is most efficiently run when the plant is operating on a higher setting. The sustainability office estimates that approximately 28% can be saved in the purchase of wood chips by operating the plant at a low setting, while still meeting all of the heat demand on central campus.
",37141.17,"Steam production for heat and hot water on central campus is produced by a combined heat and power (CHP) biomass plant, powered by locally-sourced woodchips, two thirds of which are harvested within 50 miles of the College. The chips are baked to release pyrolysis gas, which is burned to create steam. The plant produces over 85% of the heat and hot water consumed college-wide.",297.6,"In 2014, the College finalized a partnership with an investor and solar installer who built a 150 kW system on their land in Benson, VT in order to provide the College with clean, solar electricity. GMC agreed to purchase all of the electricity produced by the panels, while the investor agreed to transfer the renewable energy credits to the College. This project offsets nearly 10% of our electricity every year.",274.0,"In the fall of 2012, Green Mountain College paid a four cent premium on 25% of its main campus electricity purchased from Green Mountain Power to support the Cow Power Program. Since then, the College has stopped purchasing cow power for the main campus meter, but continues to pay the Cow Power premium on 50% of the electricity consumed by seven other accounts, including Griswold, Feick, Richardson, the President's House, the Two Editor's Inn, the soccer field, and the barn at the farm. Cow Power uses the premium to support methane digesters on dairy farms in Vermont for the production of electricity using cow manure. The RECs for this project are retained by Green Mountain College.",http://www.greenmtn.edu/sustainability/sustainability-on-campus/energy-buildings/renewable-electricity/,"Performance year is FY 2015(July 1, 2014-June 30, 2015). Please note that in FY 2015, Green Mountain College was not participating in the Cow Power program on the main campus meter, but was still participating in seven other accounts as described above in the section on RECs.
"
Guilford College,2016-03-08,2016-03-08 08:08:31,corrybc@guilford.edu,2.0,Pursuing,68622.0,--,**,n/a,670.0,"In 2007, solar installation on all residential buildings and a few academic support buildings, were installed on campus.  The panels help reduce our energy use because they preheat the water entering the hot water tank, thereby decreasing our need for natural gas to heat the water for showers, dishwashers, and sink use.",--,n/a,--,n/a,http://www.guilford.edu/about_guilford/news_and_publications/releases/ShoreHallSolarDedication.html,Number taken off of FLS Energy bills captured in energy cap express
Hampshire College,2016-03-23,2016-03-23 09:57:59,bhooker@hampshire.edu,2.0,Pursuing,55299.0,17.4,**,"1. A 37-kW solar array on top of the College's arts village canopy, a roofed, open sided structure that connects four buildings within the arts village. 

2. A 5-kW solar array on the roof of the LEED Gold rated Ken Burns Wing of the Jerome Liebling Center. 

The RECs for system #1 are sold, but not for system #2.  Output from system #2 is estimated based on the metered performance from system #1.  

Both of these systems were constructed through the Mass SRECS program. As a result Hampshire does not retain the environmental attributes associated with these systems.",--,,--,,--,,http://www.powerdash.com/systems/1000248/,Information regarding the solar array on the Ken Burns Wing and the co-generator are not available on the web. 
Harvard University,2016-02-29,2016-02-29 16:58:56,colin_durrant@harvard.edu,2.0,Pursuing,3320000.0,85607.0,**,"Harvard’s Schools and administrative departments have installed more than 30 renewable and alternative energy systems on campus and on University-owned property. The alternative energy installations (such as solar thermal and geothermal) reduce Harvard fuel purchases and therefore reduce GHG emissions. They include cogeneration units, solar PV, wind, geothermal and solar hot water installations.

A full list of on-site renewable energy installations is available at: 
http://green.harvard.edu/topics/climate-energy/renewable-energy",--,"A full list of on-site renewable energy installations is available at: 
http://green.harvard.edu/topics/climate-energy/renewable-energy

There are six solar hot water installations on campus; the largest is coupled with heat recovery from Harvard’s steam tunnels and produces much of the hot water for the freshman houses in Harvard Yard (that project alone projected to provide up to 60% of domestic hot water needs for all building in Harvard Yard). In addition, eight ground source heat pumps use geothermal energy for heating and cooling several buildings, and the Harvard Forest has a waste wood biomass burning unit.",98982.0,"As part of a 15 year agreement entered into in 2009, Harvard purchases 50% of the electricity output of the 26MW Stetson II wind farm in Maine.  See this article re: the purchase:
http://news.harvard.edu/gazette/story/2009/11/harvard-to-become-largest-institutional-buyer-of-wind-power-in-new-england/

More info on Stetson II: http://wind.sunedison.com/projects/stetson/

A 600 kW solar PV array on Harvard-owned property is located off-campus in Watertown, MA",23243.0,"Harvard purchases both the RECs and the energy from above-mentioned Stetson II wind installation. Harvard also purchases RECs from hydro, landfill gas, waste-to-energy and other wind installations to meet its requirements under the Massachusetts Renewable Portfolio Standard and for LEED requirements. It does not currently account for the renewable energy and REC purchases within the greenhouse gas emissions inventory.",http://green.harvard.edu/topics/climate-energy/renewable-energy,Harvard has several solar PV projects on site; the RECs are retired for meeting the University's requirements under the MA Renewable Portfolio Standard.
Haverford College,2016-03-02,2016-03-02 12:02:03,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:42,sustainability@hws.edu,2.0,Pursuing,168507.0,0.005,**,"The Colleges have a 1,980 watt photovoltaic array installed at the Finger Lakes Institute, a research institute located on campus.",208.0,The Colleges have a geothermal heating and cooling system installed at the Finger Lakes Institute consisting of 20 wells drilled 100 feet deep on the hillside overlooking Seneca Lake..,--,N/A,44324.0,"On Sept. 1, 2014, the Colleges signed an agreement to purchase 13,000 MWh of Green-e certified wind RECs through Community Energy, Inc. from Sept. 1, 2014 to Aug. 31, 2017.",http://www.hws.edu/about/green,Information on the renewable energy systems of the Finger Lakes Institute can be found at http://www.hws.edu/fli/facility.aspx
Indiana State University,2016-03-29,2016-03-29 10:17:20,caroline.savage@indstate.edu,2.0,Pursuing,255278.1,1.976,**,One wind turbine outside of Mills Residence Hall and solar panels recently placed on-line for the main campus. ,--,None,--,None,--,None,http://unboundedpossibilities.com/institute-for-community-sustainability/campus/wind-turbine.aspx,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:42:38,brownwm@indiana.edu,2.0,Pursuing,1990053.44,2152.59,**,"IUB has solar photovoltaic systems installed and on the grid on top of four buildings. The Indiana Memorial Union system is rated at 1.88 kW; the Briscoe Quadrangle system is rated at 20.68 kW; the Tulip Tree residence hall system is rated at 5.38 kW; and the E-House system is rated at 4 kW.

IUB has a microturbine inside the Central Heating Plant that works in parallel with the pressure reducing station valves. This turbine reduces the pressure of steam from 150 psi to 40 psi and produces electricity in that process. The microturbine is rated at 250 kW.

The Central Heating Plant also has several demonstration units which produce both solar hot water and PV.",--,"Research and Teaching Preserve, Cyberinfrastructure Building (CIB), and Rose Residence Hall all utilize solar hot water.",--,None.,25230.38,"Indiana University Bloomington purchases renewable energy credits from Sterling Planet Inc. The REC type consists of 50% wind and 50% small hydro, where generators are located nationwide. The majority of the energy is sent to seven  buildings on campus that are moving towards a LEED silver status, and the remaining is used to offset additional LEED buildings, events, and other activities on campus. Although the amount purchased is concrete, when the University will use part or the entirety of the REC energy is up to their discretion. It is currently planned out over the next four years, but subject to change. The University may also decide to purchase more REC's within this time. ",--,--
Juniata College,2016-03-23,2016-03-23 08:08:21,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:16:12,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:29:50,sustainability@knox.edu,2.0,Pursuing,148666.0,--,**,,--,,--,,6215.0,"In May of 2014, Knox purchased enough Green-E Certified RECs to account for 100% of the coming year's electricity consumption.  ",http://www.epa.gov/greenpower/partners/partners/knoxcollege.htm,--
Lehigh University,2016-02-29,2016-02-29 00:26:10,sustainability@lehigh.edu,2.0,Pursuing,619737.0,--,**,Four solar panels to illuminate entrance sign lighting....output is negligible.,--,N/A,--,N/A,--,N/A,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:03,advorak@lclark.edu,2.0,Pursuing,98216.0,--,**,The institution has a 100 kw solar array on campus for which we receive the power however we do not own the green tags for this installation. The institution also hosts a 15 kw carport array and does own the environmental attributes.,--,,--,,98216.0,L&C undergraduate students purchase RECs and carbon offsets to cover 100% of our energy usage each year.,--,--
Loyola Marymount University,2016-03-23,2016-03-23 14:01:44,ian.mckeown@lmu.edu,2.0,Pursuing,143968.97,4552.16,**," LMU was an early adopter of solar electric amongst colleges and universities, installing our first systems in 2003.  
In 2003 Loyola Marymount University installed $4.5 million worth of solar panels on three of its largest buildings - Gersten Pavilion, University Hall and the Von der Ahe Library. It was the largest solar electric rooftop system at any university in the world and the largest system in Southern California at the time. 

We now have  total project generation on campus of roughly 1,334,161.00 kilowatt hours annually ",--,,--,,7174.6,"purchased recs via  Renewable Choice Energy, Inc. for 2,102,755 kwh",http://admin.lmu.edu/greenlmu/campusoperations/builtenvironment/solarprograms/,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:28,adurnbaugh@luc.edu,2.0,Pursuing,411602.0,--,**,N/A,192.0,"Biodiesel program utilizing waste grease from dining services at Loyola and other institutions (1,500 gallons).
",--,N/A,44582.0,Purchased Green-E certified RECs for LEED construction projects and as part of a student-led initiative,http://www.luc.edu/sustainability/campus/focus_areas/energy/,Fy15 REC purchase. Doesn't include all the other REC purchases.
Macalester College,2016-01-06,2016-01-06 13:02:51,shansen2@macalester.edu,2.0,Pursuing,122968.0,2.77,**,"Macalester's EcoHouse utilizes a solar thermal water heater.
Macalester's wind turbine generates an amount of electricity for the Olin-Rice Science building. ",--,"Macalester's EcoHouse has three solar tubes: one in the kitchen, one in the living room, and another in the bathroom. ",--,Macalester has purchased wind source credit for our electric vehicle charging station. ,191.8,The REC's were purchased to offset the emissions from Markim Hall.,--,--
Maryville College,2016-02-11,2016-02-11 15:37:35,adrienne.schwarte@maryvillecollege.edu,2.0,Pursuing,58843.906,17.544,**,"The institution currently has 2 solar powered-picnic tables that have a total of six 45 watt and two 100 watt polycrystalline silicone panels that produce about 942 kWh per year.  These are 'off-grid' with a gel-cell battery for backup/storage which has a capacity of 5700 watts;  The institution also has a 12-panel solar array outside of LEED Gold certified Crawford House, which generates roughly 4.2 MWh per year.  The solar array is tied to the Crawford House directly and generates roughly 30% of their electricity for operations.  ",--,,--,,--,,--,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:04,slanou@mit.edu,2.0,Pursuing,3083377.0,82.0,**,"The Massachusetts Technology Collaborative supports the installation of solar photovoltaic systems throughout the metro Boston Area. To date, MIT has purchased four solar photovoltaic systems through the MTC grant program and installed them on its main campus. A 13 kW array was installed at the Hayden Library (Building 14), but is currently inactive. However, the Wang Fitness Center (Building 57) has a 39 kW system on the roof of the Alumni Pool, a small 2.5 kW system is installed above the MIT Museum (Building N52), and the Stratton Student Center (Building W20) has a 7.2 kW system on its roof.",--,,--,,--,,https://sustain-dev.mit.edu/what-were-doing/our-dash-board/solar-pv-systems,"Performance year = FY2013 (July 1, 2012-June 30, 2013)"
McMaster University,2016-02-19,2016-02-19 09:37:26,naeemsh@mcmaster.ca,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Miami University,2016-03-02,2016-03-02 14:17:48,kliney@miamioh.edu,2.0,Pursuing,890548.0,0.25,**,"Miami's Ecology Research Center (http://miamioh.edu/cas/academics/centers/erc/index.html) has a small solar PV installation on the roof of its classroom and it has a wind turbine. The output of the PV is unknown, but the wind turbine's output is shown via a dashboard.  Its total output for FY2015 was 73.9 kWh. ",--,,--,,--,,https://easyview.auroravision.net/easyview/index.html?entityId=1566927,--
Michigan State University,2016-02-16,2016-02-16 09:19:18,erhardt7@msu.edu,2.0,Pursuing,6648219.65,7506.3,**,"The Agriculture Livestock Pavilion has a 10 KW photovoltaic array (https://www.msu.edu/unit/pavilion/solar.htm). 

MSU's Surplus and Recycling Center has a 40 KW photovoltaic array (http://www.recycle.msu.edu/LEED.html and http://news.msu.edu/story/8634/). There are also solar-powered lights at the recycle center drop off area - http://www.recycle.msu.edu/tours/LEED/7.html.

The T.B. Simon Power Plant is permitted to burn up to 30 percent bio-fuels in boiler number 4, which is a co-generating unit provide steam for heating campus and electricity. 
http://ipf.msu.edu/green/energy/sources.html

On August 13, 2013, MSU put an anaerobic digester into service.  The digester will use organic waste from farms and dining halls to generate 2800 MWHR each year.
http://msutoday.msu.edu/news/2013/new-msu-anaerobic-digester-to-supply-power-for-south-campus-buildings/",3327.3,"The T.B. Simon Power Plant is permitted to burn up to 30 percent bio-fuels in boiler number 4, which is a co-generating unit provide steam for heating campus and electricity.  Bio-fuels that are currently used are green wood, agricultural residues (annual grasses, animal bedding, corn stover) and cornstarch material that is a byproduct of a local manufacturing company. 
http://ipf.msu.edu/green/energy/sources.html",--,,--,,http://ipf.msu.edu/green/energy/sources.html,www.energytransition.msu.edu 
Middlebury College,2016-03-25,2016-03-25 14:02:20,jmbyrne@middlebury.edu,2.0,Pursuing,394945.7,15834.0,**,"On-site renewable electricity generating devices include one 10 kW wind turbine, a total of 10kW of solar PV panels on two buildings, a 147 kW solar PV farm, and electricity co-generated from our biomass gasification facility which produces steam.",2707275.1,An on-site biomass gasification plant replaces over 1.3 million gallons of #6 fuel oil used to heat the campus. ,--,"We have a 500 kW solar PV system and power purchase agreement with a local entity that began operating in February, 2014. We do not include yet any of the kWh's generated in this report since it is so recent.",108.0,"We purchase ""cow power"" for two buildings on campus from Green Mountain Power, which is generated by manure digestion on local dairy farms and also purchase 550 tons of offsets for Middlebury's Snow Bowl ski area from wind turbine and methane digestion projects financed by Native Energy Inc of Vermont. ",http://www.middlebury.edu/sustainability/energy-climate,--
Mills College,2016-02-29,2016-02-29 23:53:45,ngaetjens@mills.edu,2.0,Pursuing,54162.4,16.65,**,"Photo-voltaic panels, 35 kW system providing 30% of new science building's electrical load annually, or 16% of total science complex including existing building. We also have a number of mobile solar units used to power personal charging devices, EV charging stations, and LED stadium lights.",--,,--,,--,,http://www.mills.edu/green,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:04,neapple@mtholyoke.edu,2.0,Pursuing,196847.0,2496.0,**,Cogeneration using excess steam pressure to generate electricity.,40.0,Thermal solar panels for domestic hot water. Collects heat by absorbing solar energy and heats water for residence hall use.,--,,--,,https://www.mtholyoke.edu/envsustainability/energyclimatechg,--
Muhlenberg College,2016-03-23,2016-03-23 10:26:37,kprocyk@muhlenberg.edu,2.0,Pursuing,169576.2,13.47,**,Muhlenberg generates renewable electricity from 2 solarphotovoltaic panels located on top of the Seegers Union building. http://www.muhlenberg.edu/main/campuslife/sustainability/operations.html,446.0,"Muhlenberg also utilizes solar hot water heaters for it’s Life Sports Athletic Center and it’s Tree House. 	Life Sports Center: 	http://www.muhlenberg.edu/committees/strategicplanning/2013siupdate.pdf 	(page 30, item 8) Tree House https://bergtreehouse.wordpress.com/tag/hot-water/
",--,,--,,http://www.muhlenberg.edu/main/academics/physics/research/solar_scholars.html,--
Naropa University,2016-02-29,2016-02-29 17:16:42,acook@naropa.edu,2.0,Pursuing,11050.1,6.15,**,1.3kw solar PV system on print shop.,--,,--,,4509.34,100% electricity needs covered by RECs from Renewable Choice Energy.,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:34,lindsay_batchelor@ncsu.edu,2.0,Pursuing,1864527.69,304.7,**,"There is a total renewable electric capacity of 165 kW, and there are 165 solar thermal collectors.",1620.0,"NC State has solar thermal installations at the following locations: Carmichael Gymnasium, NC Solar Center, Facilities Operations Support Space, the and Alumni Center.  ",--,There are no off-site institution catalyzed projects at this time.,--,NC State has not purchased any RECs. Any RECs that NC State accumulates are from on-campus renewable energy sources.,http://sustainability.ncsu.edu/campus/energy-water/solar-energy,--
Northern Arizona University,2016-02-23,2016-02-23 18:52:02,Ellen.Vaughan@nau.edu,2.0,Pursuing,563435.0,941.0,**,"Solar:
NAU has a 163 kW photovoltaic farm on its south campus. 
The system was donated by APS provides up to 20 percent of the electricity for the LEED Platinum Applied Research and Development (ARD) building. 

Wind:
NAU has two 2.4 kW SkyStream wind turbines on campus.
",--,"ARD's building solar thermal pre-heats water for kitchen and bathroom sinks.

At the Health and Learning Building 70 percent of the domestic hot water is provided by 102 solar thermal panels on the building's roof. This renewable energy source exceeds six percent of the total building energy usage. The system is down for maintenance. 

International Pavilion has a 35 kw solar array.

We have an innovative Solar Hot Air Heating system and a solar wall system: http://nau.edu/Green-NAU/Renewable/",--,,60777.981,NAU buys 10% from APS's Green Energy Program. 15% starting in Nov. of 2015.,http://nau.edu/Sustainability-360/Building-Green/,--
