Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have policies and/or guidelines in place to improve outdoor air quality and ...,A brief description of the policies and/or guidelines to improve outdoor air quality and minimize ...,Has the institution completed an inventory of significant air emissions from stationary sources on ...,A brief description of the methodology(ies) the institution used to complete its air emissions ...,Weight of the following categories of air emissions from stationary sources:,Nitrogen oxides (NOx) emissions,Sulfur oxides (SOx) emissions,Carbon monoxide (CO) emissions,Particulate matter (PM) emissions,Ozone (O3) emissions,Lead (Pb) emissions,Hazardous air pollutants (HAPs) emissions,Ozone-depleting compounds (ODCs) emissions,Other standard categories of air emissions identified in permits and/or regulations,A brief description of the institution’s initiatives to minimize air pollutant emissions from ...,"The website URL where information about the institution’s outdoor air quality policies, guidelines ...",Public Notes
Guilford College,2016-03-08,2016-03-08 08:08:29,corrybc@guilford.edu,2.0,Pursuing,--,There are no policies or guidelines in place at this time. The college discontinued use of two coal fired boilers within the last ten years. The steam plant currently uses only natural gas.,--,,**,--,--,--,--,--,--,--,--,--,Discontinued use of a coal fired boiler.,--,--
Hampshire College,2016-03-23,2016-03-23 09:57:51,bhooker@hampshire.edu,2.0,Pursuing,True,Hampshire College has an anti-idling policy as described here: http://www.hampshire.edu/envhealthsafety/12131.htm,True,"Our GHG emissions inventory includes all fossil fuels (natural gas and diesel) burned in boilers, furnaces, and generators.  ",**,0.036,0.008,--,0.095,--,1e-05,--,--,--,Heating oil (No. 2 or No. 6) is not used in any boilers or furnaces.  Generators use natural gas where permissible.  ,--,Stationary sources emissions calculated from total natural gas use and emissions breakout from www3.epa.gov/ttnchie1/ap42/ch01/final/c01s04.pdf
Harvard University,2016-02-29,2016-02-29 16:58:55,colin_durrant@harvard.edu,2.0,Pursuing,True,"1. Compliance with EPA and MassDEP air permit programs. 
2. Campus Services Transportation programs/initiatives to decrease mobile emissions from fleet. 
3. Commuter Choice programs to promote sustainable transportation, reduction in SOV programs
4. HU Police Department policy to reduce emissions from idling",True,Compliance with EPA and MassDEP air permit programs. ,**,133.0,10.0,19.0,9.6,--,0.0002,9.0,0.3,--,"Air pollutant emissions from stationary sources are targeted under Harvard's greenhouse gas reduction strategy and energy efficiency planning. Examples of projects include boiler upgrades, installation of cogeneration units, and fuel switching.",http://ehs.harvard.edu/programs/air-emission-sources,--
Haverford College,2016-03-02,2016-03-02 12:02:01,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Log is required for DEP report. Please contact ckent@haverford.edu is access is needed.
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:40,sustainability@hws.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana State University,2016-03-29,2016-03-29 10:17:15,caroline.savage@indstate.edu,2.0,Pursuing,--,Currently there is not an official outdoor air quality management policy in place. ISU does design and meet EPA standards. ISU’s current design standards are to minimize vehicular traffic across campus. This can be especially noticed at Sycamore Tower renovations when designing to LEED standards.,--,,**,--,--,--,--,--,--,--,--,--,,--,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:42:33,brownwm@indiana.edu,2.0,Pursuing,True,"IU's Transportation Demand Management plan details goals and recommendations for increasing sustainable transportation options on campus. 

http://www.indiana.edu/~sustain/topics/transportation/docs/tdm-final.pdf",True,The emission inventory is calculated based on emissions factors for IU Bloomington's various emission units and the amounts and types of fuels burned in each unit. The emissions calculated for four of the pollutants are then used to determine compliance status and to calculate annual fees.,**,87.34,184.94,--,5.84,--,--,--,--,3.65,"In recent years, IU has switched from being a primarily coal-powered institution to using almost exclusively natural gas at the Physical Plant. This has resulted in an overall drop of 1497.47 tons of emissions from the calculated sources since 2011-2012.",--,--
Juniata College,2016-03-23,2016-03-23 08:08:16,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:16:08,mknowle1@kent.edu,2.0,Pursuing,--,,True,"Kent State University uses EPA emissions factors to calculate air emissions for our combined heat and power plant. Also, as part of our Title V EPA air permitting compliance we submit an annual fee emissions report which includes emissions from all of our significant stationary sources.",**,38.4,0.19,29.63,2.29,--,0.09,--,--,4.86,,--,--
Knox College,2016-03-23,2016-03-23 08:29:45,sustainability@knox.edu,2.0,Pursuing,True,"Prohibiting Idling
Knox College recognizes that idling vehicles waste money and contribute to localized air pollution and global carbon emissions. Gasoline is quickly consumed while idling a vehicle (for every two minutes idling an engine, the same amount of fuel used to drive one mile is burned). Knox College prohibits campus vehicles and discourages other vehicles from idling while on the campus, except when necessary for certain circumstances (e.g. buses may turn on engines up to 15 minutes before passengers board).",--,,**,--,--,--,--,--,--,--,--,--,,https://www.knox.edu/Documents/Sustainability/Sustainability_Policies.pdf,--
Lehigh University,2016-02-29,2016-02-29 00:26:09,sustainability@lehigh.edu,2.0,Pursuing,--,not applicable,True,Compliance with Title V EPA,**,16.06,0.1,13.49,1.22,--,--,--,--,0.88,Only run when necessary.,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:02,advorak@lclark.edu,2.0,Pursuing,True,"Policies include smoking limited to designated areas, use of equipment during specified times, deliberate and ongoing reductions in natural gas use, no idling policy, fuel alternatives used in some fleet vehicles and contractor fleets.",True,Stationary and on-campus mobile air emission sources are accounted for each year and reported to local agencies per their reporting standards.,**,2.611,0.097,2.189,0.066,--,--,--,--,0.144,"Reduce natural gas use through improved building maintenance and operations. In 2015, natural gas use was reduced by 7%. ",--,--
Loyola Marymount University,2016-03-23,2016-03-23 14:01:35,ian.mckeown@lmu.edu,2.0,Pursuing,True,"The university, in its master plan, has specifically created air quality mitigation measures, 

  Here are a list of the measures:
1. General contractors shall implement a fugitive dust control program.
2. General contractors shall maintain and operate construction equipment so as to minimize exhaust emissions. During construction, trucks and vehicles in loading and unloading queues shall turn their engines off when not in use to reduce vehicle. emissions. Construction emissions shall be phased and scheduled to avoid emissions peaks and discontinued during second-stage smog alerts.
3. Electricity rather than temporary diesel- or gasoline-powered generators shall be used at least half of the time.
4. All construction vehicles shall be prohibited from idling in excess of 5 minutes, both on and off site.
5. The Applicant shall schedule routine deliveries during off-peak traffic periods to encourage the reduction of trips during the most congested periods.
6. All offroad diesel-powered construction equipment greater than 50 horsepower (hp) shall meet Tier 4 offroad emissions standards. Inaddition, all construction equipment shall be outfitted with the BACT devices certified by CARB. Any emissions control device used by the contractor shall achieve emissions reductions that are no less than what could be achieved by a Level 3 diesel emissions control strategy for a similarly sized engine as defined by CARBregulations.
7. the Project Applicant shall evaluate the potential for reducing exhaust emissions from on-road and off-road construction equipment, and implement such measures. Control technologies to be considered may include particulate traps and filters, selective catalytic reduction, oxidation catalysts, air enhancement technologies, and the use of alternatively (non-diesel) fueled engines.
Considerations will include commercial availability of appropriate California Air Resources Board verified technologies.
8. The Applicant shall install shaker plates at construction site exits, to minimize dirt track out and dust generation
9. The Applicant shall operate street sweepers 1 on roads adjacent to the construction site in a nearly continuous manner so as to minimize dust emissions. Paved parking and staging areas shall be swept daily.
10. Increase in electric vehicles such as golf carts and reduce use of gas cars. 

",--,,**,--,--,--,--,--,--,--,--,--,"Put in new burners in the boilers to lower the ppm of the nox emissions in 2012. 
Generators are only used for back up emergency power. Per state requirements they are tested less than 20 hrs per year. 
Placement of energy efficient devices and initiatives across campus we have reduced the load on the boilers and used less natural gas and electricity. Due to these installations we are also using less domestic water. ",--,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:26,adurnbaugh@luc.edu,2.0,Pursuing,True,"Loyola has worked to reduce vehicle idling and emissions related to lawn care on our campuses.  Campus shuttles are not allowed to idle if the outdoor temperature is between 40 to 80 degrees Fahrenheit.  During extreme heat days and Air Pollution Action days, handheld landscaping equipment is not allowed unless absolutely necessary.",--,,**,--,--,--,--,--,--,--,--,--,,--,--
Macalester College,2016-01-06,2016-01-06 13:02:49,shansen2@macalester.edu,2.0,Pursuing,--,"No formal policy or guideline, however we consciously select electric maintenance vehicles when replacing older internal combustion models.
",True,"We track the amount and type of fuel used to generate steam from the boilers in the central heating plant, along with an estimate of the fuel used to produce electricity from our emergency generators (based on number of hours run). These figures are submitted to the state and used to calculate a fee based on our portion of the various pollutants associated with these fuels. The estimated amounts the state determines we have contributed for 2013 are indicated below.",**,3.87,0.03,--,0.02,--,--,--,--,0.21,"Eliminated #6 fuel oil use by replacing two older dual fuel boilers with one larger one that uses natural gas as its primary fuel source and #2 fuel oil for curtailment periods.

We replace old residential boilers with high efficiency, variable speed, condensing types, which are sized to match improvements to the structures envelope (typically fewer btu's required).",--,--
Maryville College,2016-02-11,2016-02-11 15:37:34,adrienne.schwarte@maryvillecollege.edu,2.0,Pursuing,True,Commuter encouragement; Mountain Challenge CSR on employee commute;  Encourage auto vs. air travel; ,--,,**,--,--,--,--,--,--,--,--,--,,--,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:02,slanou@mit.edu,2.0,Pursuing,True,"MIT promotes the adoption of alternative fuel vehicles across its fleet. All shuttle buses run on commercial biodiesel blend. Shuttles were retrofitted with clean diesel pollution control devices. Transportation Demand Management programs reduce the number of vehicles on campus and encourage walking, biking, and public transportation. ",True,MIT is required to report annually to the MA Dept. of Environmental Protection on all major sources of priority pollutants and is governed by state and federal air emissions regulations at the central power plant and on campus. Third party consultants assemble the annual inventory.,**,119.4,39.3,26.5,39.1,--,--,6.1,--,--,Co-generation was added to the central utility plant in 1995. On going plant investments have reduced emissions and increased energy efficiency.,http://ehs.mit.edu/site/air,Data from CY14
McMaster University,2016-02-19,2016-02-19 09:37:25,naeemsh@mcmaster.ca,2.0,Pursuing,True,"McMaster University Climate Action Plan 2010 established a target of 30% reduction in fleet emissions over 4 years.  This has resulted in significantly reduced number of fossil fuelled campus vehicles and replacing them with electrically run vehicles.  

McMaster University is implementing a BikeShare program in association with the City of Hamilton. This program will bring 6 bicycle stations (3 from the City of Hamilton, 3 for Mac) onto campus for student use. Students will be able to rent out bicycles, bike to wherever they want (on campus or off-campus) and bring them either to the same station or another BikeShare station. This will allow students to go down town or wherever necessary without using a car or bus and will promote healthy living and green transportation. This will promote a healthier way to travel to campus by reducing GHG emissions
",True,Ontario Ministry of Environment Guideline for Greenhouse Gas Emissions Reporting sets out the methodology for Greenhouse Gas Emissions.  The campus central heating and cooling plant is the primary source of air emissions based on combustion of natural gas and diesel fuels.  An emission factor methodology is applied to calculate air emissions from fuel burnt for campus operations and its higher heating value.  The campus emissions are evaluated and reported annually.,**,0.422,--,--,--,--,--,--,--,0.438,"McMaster's primary air emissions are at the central plant where boilers produce steam for the campus.  Regular boiler check ups are performed and fine tuning as required to ensure minimum efficiency levels. In addition, campus steam / heating lines are annually checked to ensure insulation levels and properly operating. Further more, projects have been undertaken at the demand side within facilities to implement better controls particularly within energy intensive laboratory facilities. The McMaster Energy Management Plan 2013 is targeting at least 20% reduction in energy consumption over 5 years.",http://www.mcmaster.ca/sustainability/documents/Climate_Action_Plan_Dec_2010.pdf,--
Miami University,2016-03-02,2016-03-02 14:17:46,kliney@miamioh.edu,2.0,Pursuing,True,"Miami has a commitment to use the Lean process improvement method to reduce waste and go green, and several Lean projects have focused on reducing fleet fuel consumption. One of the first Lean projects within Physical Facilities was to pilot anti-idling devices on fleet vehicles.  This took place in 2011.   The next generation of vehicle monitoring and control is currently being piloted via GPS technology through a Lean project that includes fleet vehicles and riding lawn care equipment.  Another active project is to reduce and update the number of sedans in inventory, and to help people pick the most fuel efficient vehicle that meets the transportation need.  The number of vehicle trips needed to complete a work order is being reduced through a Lean project that instituted a planning and scheduling function.
",True,Miami University calculates air emissions using a combination of measured emission rates (i.e. stack emissions obtained during performance tests of Miami's equipment) and emission factors published by the EPA.  The following data was submitted to the Ohio EPA for calendar year 2014.,**,69.1151,271.152,54.5469,25.12348,--,0.112043,1.86,--,--,"Due to regulation, the university obtained a new operating permit that limits the amount of coal that can be burned to 7000 tons/year. Natural gas will replace it.",--,"Particulate matter (PM) includes both condensible and filterable.  
"
Michigan State University,2016-02-16,2016-02-16 09:19:17,erhardt7@msu.edu,2.0,Pursuing,True,"Consolidated Routes: Following an analysis of motorized delivery services in July 2011, University Services Logistics consolidated the receiving and delivery of UPS ground parcel activity into daily campus deliveries.Results include: reduction in operational costs; better utilization of internal capacity; fewer delivery vehicles on campus means a smaller carbon footprint. See https://usd.msu.edu/sustainability/our-efforts/index.html

University Services also advises campus customers to use negotiated campus-wide strategic contracts to help minimize incoming traffic. Contracts allow them to warehouse the most commonly used goods and supplies and distribute them as needed on consolidated routes. This not only cuts down on the volume of traffic, it also reduces carbon emissions and eases congestion in building docks.",True,Use State of Michigan (2014 MAERS) and EPA (Greenhouse gas) annual reporting process.   Emissions are quantified by the use of both continuous emission monitoring systems and emission factor calculations. ,**,463.0,544.0,289.0,19.0,--,5.0,--,--,--,MSU Board of Trustees approved an Energy Transition Plan in 2012 for renewable energy and greenhouse gas emission reduction.,http://www.energytransition.msu.edu/,--
Middlebury College,2016-03-25,2016-03-25 14:02:15,jmbyrne@middlebury.edu,2.0,Pursuing,True,The Athletics Department has a policy to prohibit visiting buses from idling during athletic events. They provide the bus drivers with a comfortable space in the athletic facilities where they can stay during the event. They also include in their contracts with bus companies who transport Middlebury athletes a no-idling provision. There is also no-idling signage in areas where buses park.,True,Our air emissions from stationary sources are dominated by our central combined heating and power plant which burns fuel oil and biomass. We are required by our air quality permit to monitor and report emissions quarterly  to the VT Agency of Natural Resources. That monitoring is carried out by a consulting firm and we review and make adjustments if needed. Vermont's air quality standards are more stringent than the EPA standards and we are often well below our emissions thresholds.,**,33.59,23.99,30.38,11.68,0.01,0.01,1.04,0.01,--,We switched our use of # 6 fuel oil to a low sulfur blend that reduces the amount of SOx in emissions in 2006. And we are in the process of upgrading boilers to accommodate renewable natural gas as a fuel source which we will use as a result of a project we have contracted with to produce biomethane from cow manure. This project is in the permitting phase and when completed and constructed the College will begin receiving this new fuel source.  This fuel is cleaner than #6 oil and should lower emissions of pollutants further.  The biomass gasification system also has two systems for removing particulates - a centrifugal cyclone separator and a microfiltration system baghouse. ,--,--
Mills College,2016-02-29,2016-02-29 23:53:44,ngaetjens@mills.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:03,neapple@mtholyoke.edu,2.0,Pursuing,True,The college has an idling prohibition policy,True,Campus fuel use data is used to calculate emissions.,**,9.66,3.45,6.84,0.55,--,--,--,--,--,,--,--
Muhlenberg College,2016-03-23,2016-03-23 10:26:32,kprocyk@muhlenberg.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Naropa University,2016-02-29,2016-02-29 17:16:40,acook@naropa.edu,2.0,Pursuing,True,"Per our Climate Action Plan to become climate neutral, Naropa is currently working to minimize mobile sources of emissions. ",--,n/a,**,--,--,--,--,--,--,--,--,--,,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:32,lindsay_batchelor@ncsu.edu,2.0,Pursuing,True,"NC State has several guiding documents, policies and procedures that address outdoor air quality and mobile emissions including: 2010 Climate Action Plan (Campus fleet and Improved commuting strategies in the Transportation Wedge), Sustainability Strategic Plan (Section 5.6 Transportation), Sustainability Policy and Sustainability Standard Operating Procedures (Sections 2.2 and 2.6). ",True,US EPA Required Methodology,**,123.61,19.27,41.26,9.21,--,0.000915,2.28364,4.746,--,"All of NC State University's energy conservation and efficiency efforts have a positive impact on outdoor air pollution. Specific projects include energy performance contracting, building recommissioning and the installation of co-generation (CHP) system at the Cates Utility Plant. ",http://sustainability.ncsu.edu/campus/climate/,--
Northern Arizona University,2016-02-23,2016-02-23 18:52:00,Ellen.Vaughan@nau.edu,2.0,Pursuing,--,,True,NAU uses the state & local emissions inventory system (SLEIS) which is managed by the Arizona Department of Environmental Quality.,**,8.57393931,0.10733315447,17.1676117328,13.23678714,--,8.5342575e-05,--,--,--,,http://nau.edu/Research/Compliance/Environmental-Health-and-Safety/Environmental-Compliance/,"Emissions numbers are from 2014.
Information was gathered from Jim Biddle"
Oberlin College,2016-03-21,2016-03-21 16:09:42,bflynn@oberlin.edu,2.0,Pursuing,True,We currently have an anti-idling policy. We currently contracted with a third party vendor to track our College owned and rented car emissions.  ,True,"In addition, we have an Environmental Health & Safety staff officer on staff to track, monitor, and report to the EPA and other governing bodies accurate air emissions from stationary combustion sources.",**,38.4495,378.341,18.7221,0.680936,--,--,--,--,--,We are in the process of decommissioning our coal boilers as this will be the last winter we will ever utilize coal as a source fuel.  Moving forward we will base load with Natural Gas during an interim period until we are finalize our carbon neutral strategic utility master plan currently in progress.  Full details are in the article in the link provided.,https://oncampus.oberlin.edu/source/articles/2013/10/01/end-coal,These numbers are from 2013. The latest numbers from 2014 will be due April 2015 to report.
Ohio University,2016-03-23,2016-03-23 07:57:16,goetze@ohio.edu,2.0,Pursuing,--,"Ohio University discourages idling at loading docks, but there is no written policy.",True,"The university completes the air emissions inventory using calculation based on site-specific data and published criteria (the quantity of fuel burned, analysis of the fuel (particularly coal), and standard EPA emissions factors).",**,76.0464,244.643,37.0707,9.26574,--,0.0365898,4.5654,--,0.852552,The university will no longer burn coal as of the end of 2015.  ,--,Emission weights are from an Emissions Report Summary to the Ohio EPA for FY13.
Onondaga Community College,2016-02-26,2016-02-26 16:33:54,vormwals@sunyocc.edu,2.0,Pursuing,True,"The College's sustainability policy includes an anti-idling policy. 

""Idling Reduction: No vehicle on campus may idle for more than 5 consecutive minutes. Each driver will be responsible for ensuring that the vehicle he or she is operating does not idle unnecessarily. Vehicles should be turned off when parked and should not be restarted until loading or unloading is complete and the vehicle is ready to depart.""",--,,**,--,--,--,--,--,--,--,--,--,,--,--
Oregon State University,2016-03-30,2016-03-30 14:49:51,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Additional information regarding the OSU Energy Center is available here:
http://oregonstate.edu/ua/ncs/archives/2011/jan/osu-energy-center-first-platinum-leed-certified-power-facility-nation"
Pennsylvania State University,2016-03-21,2016-03-21 11:48:42,mme2@psu.edu,2.0,Pursuing,True,"Penn State has anti-idling guidelines for compliance with The Diesel Powered Motor Vehicle Idling Act. This restricts idling to 5 minutes per 60-minute period unless exemptions apply. Penn State has a coordinated effort among Parking, Housing & Food Services, General Stores and Athletics. Signs have been placed in appropriate areas.",True,"Penn State submits an Emissions Inventory Production Report annually to DEP.  GHG Emissions from stationary sources are reported annually to the EPA under the GHG MRR. 

Emissions are calculated based on fuel use and emissions factors from stack test results or industry standard emissions factors. ",**,243.0,1018.0,26.0,17.0,--,--,53.0,--,--,"The West Campus Steam Plant (WCSP) has emissions controls. A  Baghouse, installed in 1986 greatly decreases particulate emissions from the plant. The WCSP also has 2 steam turbines for combined heat and power. CHP systems are much more efficient and emit lower emissions than traditional power plants. In 2011, Penn State expanded its CHP ability with the installation of a natural gas Combustion Turbine and Heat Recovery Steam Generator at the East Campus Steam Plant. As a baseloaded machine, its operation has significantly reduced coal consumption and resulting emissions from this dirtier fuel. Boilers are equipped with low NOx burners. Penn State plans to eliminate coal use by 2016. 
",--,Emissions data provided comes from the 2014 PADEP Emissions Inventory Production Report. 
Pittsburg State University,2016-03-24,2016-03-24 14:47:11,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pitzer College,2016-02-22,2016-02-22 14:38:45,warren_biggins@pitzer.edu,2.0,Pursuing,True,"Facilities staff employ a variety of strategies in order to improve outdoor air quality and minimize air pollutant emissions from mobile sources, including: utilizing electric leaf blowers and electric carts, as well as providing electric charging stations for electric vehicles.  


",--,"While a formal inventory has not been completed, Facilities staff monitors the usage of emergency generators via hours run and fuel source used.",**,--,--,1205.4,--,--,--,--,--,--,Initiatives to minimize air pollutant emissions from stationary sources include: replacing hot water heaters and boilers with more energy efficient products and upgrading the College's energy management software and field devices to more accurately manage system temperatures.,--,--
Plymouth State University,2016-02-29,2016-02-29 11:42:29,bweisenhauer@plymouth.edu,2.0,Pursuing,True,No idling law in effect in town and on campus.,True,"Conducted as part of our co-generation plant operations, updated annually.",**,73.7,50.0,1.0,1.0,--,--,--,--,--,We have updated our pollution controls and have eliminated diesel fuel as the primary source of campus heat. Those results will show up in the carbon calculator next year.,--,--
Pomona College,2016-01-11,2016-01-11 17:28:28,alexis.reyes@pomona.edu,2.0,Pursuing,True,"The Transportation section of the Pomona College Sustainability Action Plan sets forth the following Objectives for 2020:
-Reduction of campus fleet gas use by 15%
-Reduction of SOV commuting by 10%
-Conversion of 50% of fleet to AFVs
The following purchasing standards are laid out in the Sustainability Action Plan Transportation section:
-Large auto and vehicles with special needs purchases must have a Global Warming Score of at least 5
-Small auto purchases must have a Global Warming Score of at least 7",True,"Pomona College reports greenhouse gas emissions from stationary sources on campus, calculated from natural gas boilers and hot water heaters (natural gas bills), distillate oil, propane use, campus fleet mileage reports, diesel generators, Grounds equipment fuel usage, animal husbandry (chickens), refrigerants, and chemicals such as fertilizers. ",**,0.00826733,--,--,--,--,--,--,--,--,"The Energy section of the Pomona College Sustainability Action Plan highlights Objectives for 2020, including reducing on-campus energy use, which includes natural gas use, by 15%.",http://www.pomona.edu/administration/sustainability/action-plan/index.aspx,--
Portland State University,2016-03-24,2016-03-24 17:19:43,jenny.mcnamara@pdx.edu,2.0,Pursuing,True,"Launched in January 2013, the Clean Air Corridor (CAC) is a designated corridor targeted as a pollution-free zone, prohibiting smoking and the creation of air pollutants such as exhaust from idling vehicles, gas powered leaf blowers, pressure washers, and small utility vehicles.
http://www.pdx.edu/healthycampus/clean-air

The Clean Air Corridor represents a positive step forward in PSU’s ongoing efforts to provide a healthy, safe, and sustainable environment for all members of the campus community. The goal is to protect all who live, work, study or visit the campus from health concerns associated with second hand smoke and other air pollutants. ",True,"In compliance with Oregon Department of Environmental Quality guidelines, emissions are calculated based on equations provided within our operating permits for the boilers and turbine.  Briefly, each emission (PM, SO2, NOX, etc.) has an associated pollutant emission calculation for emissions where emissions (tons) = Emission factor (lb/1,000 gallons) * Fuel Oil Quantity (1,000 gallons) / (divided by) 2,000 lbs / ton which provides the reportable quantity listed in the attached submittals. ",**,2.158,--,--,--,--,--,--,--,1.441,,http://www.pdx.edu/healthycampus/clean-air,"Total 1.441 entered in ""other"" is methane, CH4."
Princeton University,2016-01-20,2016-01-20 17:00:55,kristiw@princeton.edu,2.0,Pursuing,--,,True,"The University calculates its annual pollutant emissions and reports them to the New Jersey Department of Environmental Protection, as is required by the University’s Title V permit. Techniques include calculation methods with AP-42, continuous emission monitors, and fuel use records from the various sources over the calendar year.",**,59.01,3.51,72.16,8.34,--,--,76705.13,--,22.44,"The University is committed to reducing air pollutant emissions through campus infrastructural improvements. These improvements include: 
-Thermal distribution system improvements
-Lighting upgrades, including retrofitting most of campus lighting with LED bulbs
-Building HVAC replacements 
-Existing building energy conservation projects
-Plant efficiency and run-time improvements
-Installing a 5.4 MW solar field to produce electricity
-Control system optimization",--,"Although Princeton doesn't have a formal policy to improve outdoor air quality and minimize air pollutant emissions from mobile sources, Princeton still has a strong commitment to clean air. The TigerTransit bus fleet runs on biodiesel fuel, campus fleet vehicles include electric carts, and newer facilities vehicles are fuel-efficient. "
Principia College,2016-01-30,2016-01-30 21:54:27,karen.eckert@principia.edu,2.0,Pursuing,True,"We are a rural campus with no through traffic, a resident student population, and little on-campus traffic. Our outdoor air quality issues are minimal.  Notwithstanding, our Facilities Department makes every attempt to ensure healthy outdoor air by, inter alia, a close evaluation of fuel efficiency and emissions characteristics whenever a new vehicle is purchased. Several of our campus work vehicles are fully electric (charged by 100% renewable electric power) and the campus carpool fleet consists of hybrid sedans.",--,"As part of our STARS audit, we conducted a Greenhouse Gas emissions inventory (Scopes 1,2,3), the results of which are reported in OP-1. However, the inventory only calculated CO2, N2O, CH4, and eCO2 - meaning that we have no data for the entry fields below.",**,--,--,--,--,--,--,--,--,--,"All of our hot water heating equipment is either gas or electric (no coal, no oil). Our furnaces and boilers use premium efficiency (90%+) equipment. With all new heating equipment we are designing for 120-140'F hot water to maximize the use of the condensing cycle on our premium efficiency boilers (as long as we stay below 140'F, the boilers stay in their condensing range, which saves about 10% on fuel). The campus uses two main boilers and four smaller boilers, 90% of the time we use the smaller ones (larger boilers are reserved for peak demand). The boiler system is staged, and software controlled. Heating has been provided by natural gas since the early 1960s.",--,--
Purdue University,2016-02-26,2016-02-26 16:45:08,mgulich@purdue.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Randolph College,2016-02-26,2016-02-26 14:25:20,llemaitre@randolphcollege.edu,2.0,Pursuing,True,Charter buses and the college owned vans are prohibited from idling on and off campus.,--,,**,--,--,--,--,--,--,--,--,--,,--,--
Rice University,2016-03-25,2016-03-25 16:31:41,rrj@rice.edu,2.0,Pursuing,--,,True,"The EAS annually collects statewide data on emissions from industries that meet the Emission Inventory (EI) reporting requirements and stores those data in its database, the State of Texas Air Reporting System (STARS). An EI is the result of a process the EAS uses to collect data on standardized forms to ensure consistency among types of data collected, and to facilitate data entry into and retrieval from STARS.  The data collected identify the company, site, point of contact, emission source, abatement device, emission point, and path emissions.  
Every EI is currently identified with and indexed by a site-specific air regulated entity reference number, a unique identification number assigned by the TCEQ.  A site's air regulated entity reference number will thus also uniquely identify its EI. ",**,29.482,0.843,2.481,1.894,--,--,--,--,--,"The following are a number of Rice’s initiatives to minimize air pollutant emissions from stationary sources: 
(1) The University uses natural gas cogeneration to supply about one third of its campus energy needs.  Cogeneration is a much more efficient way to generate electricity than typical coal fired power plants.  The reduction of emissions results not for the site but for the region.

(2) Rice consistently falls underneath its emissions cap.  As such, with the cap and trade program, Rice has the option of going out and selling its remaining allowances; however, the University chooses not to, thereby preventing additional pollution in the region.  

(3) Rice tends to perform tests on generating equipment during non-peak hours. 

(4) Rice participates in various programs to reduce electricity consumption during peak hours by fuel switching to natural gas cogeneration on-campus.  This is cleaner than what would be generated off-site. Thus, while it adds to Rice’s on-site emissions, it reduces the total region-wide emissions. ",http://www15.tceq.texas.gov/crpub/index.cfm?fuseaction=iwr.viewAddnDetail&addn_id=582600672009251&return=regent,--
Rochester Institute of Technology,2016-03-25,2016-03-25 15:52:41,elcpro@rit.edu,2.0,Pursuing,--,,True,RIT has performed a comprehensive estimation of air pollutant emissions by sources across campus.  We used both activity data and emission factors to determine these pollutant emission estimates.  We have compiled these data to determine total pollutant emissions for each regulated parameter of concern.,**,20.21,0.12,16.98,1.54,--,--,0.38,--,--,"In 2012, RIT removed three large printing presses from service which reduced campus-wide emissions of volatile organic compounds by over 1 ton and HAPs by approximately 10 lbs. per year.",--,--
