Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Materials diverted from the solid waste landfill or incinerator,Materials disposed in a solid waste landfill or incinerator ,"A brief description of programs, policies, infrastructure investments, outreach efforts, and/or ...",A brief description of any food donation programs employed by the institution,A brief description of any pre-consumer food waste composting program employed by the institution,A brief description of any post-consumer food waste composting program employed by the institution,Does the institution include the following materials in its waste diversion efforts?,"Does the institution include paper, plastics, glass, metals, and other recyclable containers in its ...",Does the institution include food donations in its waste diversion efforts?,Does the institution include food for animals in its waste diversion efforts?,Does the institution include food composting in its waste diversion efforts?,Does the institution include cooking oil in its waste diversion efforts?,Does the institution include plant material composting in its waste diversion efforts?,Does the institution include animal bedding composting in its waste diversion efforts?,Does the institution include batteries in its waste diversion efforts?,Does the institution include light bulbs in its waste diversion efforts?,Does the institution include toner/ink-jet cartridges in its waste diversion efforts?,Does the institution include white goods (i.e. appliances) in its waste diversion efforts?,Does the institution include laboratory equipment in its waste diversion efforts?,Does the institution include furniture in its waste diversion efforts?,Does the institution include residence hall move-in/move-out waste in its waste diversion efforts?,Does the institution include scrap metal in its waste diversion efforts?,Does the institution include pallets in its waste diversion efforts?,Does the institution include motor oil in its waste diversion efforts?,Does the institution include tires in its waste diversion efforts?,Other materials that the institution includes in its waste diversion efforts,Public Notes
Earlham College,2016-03-03,2016-03-03 10:49:52,butchli@earlham.edu,2.0,Pursuing,122.55,221.4,"In addition to recycling and composting, Earlham now participates in the Food Recovery Network to donate surplus food and also has developed a partnership with Goodwill to reduce clothing, dorm supplies, and other move out waste.",Earlham now has a chapter of the Food Recovery Network that donates excess food to a local food pantry.,All pre-consumer food waste is collected and composted.,Students on campus handle the post-consumer food waste in a composting program that takes place on the campus farm (Miller Farm).  Students transport post-consumer waste from dining services to the farm.  It then enters the composting cycle at the farm.,**,True,True,--,True,True,True,--,True,True,True,True,--,True,True,True,--,--,--,,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:16,stoddardl@easternct.edu,2.0,Pursuing,88.92,1654.04,"For the past three years Eastern has been focused on reducing move out waste to encourage students to reuse or donate unwanted items that are in fair or good condition. In 2012 there were about 500 items donated totaling $3057. In 2013 items donated valued $2327. In 2014 items donated totaled $2117.50, and in 2015 there were 1,256 items donated at the total value of $4,160.00 ","At certain times of the year there may be an employee food donation request for the Willimantic Covenant Soup Kitchen.  Also, Eastern participates in a food donation program called Project Clean Plate.  The program teaches students not to waste food in the all-you-can-eat dining area.  They take the amount of reduced food waste and donate the usable food to the local Willimantic Covenant Soup Kitchen.",Eastern Connecticut State University does not participate in composting.,Eastern Connecticut State University does not participate in composting.,**,True,True,--,--,True,True,--,True,True,True,True,True,True,True,True,--,True,True,,--
Elon University,2016-01-14,2016-01-14 09:32:47,edurr@elon.edu,2.0,Pursuing,317.32,990.585,"Elon has a comprehensive recycling program as well as food composting and yard waste composting programs. Throughout campus there are recycling containers located within buildings and outdoors, as well as at athletic events. Recycling containers are identified by shape, size and color and in many indoor locations lids and bags are color coordinated. Blue bags and lids typically identify paper recycling. Green bags and lids are used for plastic, aluminum and glass recyclables (bottles and cans). Each residential building has a designated recycling area. Residents are responsible for transporting their recyclables to these locations. Food waste is composted by a third-party off campus, while yard waste composting is managed by University personnel at a facility located on the edge of campus. In 14-15, yard waste was collected but not ground to create compost. ","Campus Kitchen at Elon University (CKEU) provides meals to local community partners. 
CKEU is a service opportunity through the Kernodle Center for Service Learning and Community Engagement for students, faculty and staff. CKEU collects food from Elon Dining Services, Loy Farm and other community partners. The program has a staff coordinator as well as a student leadership team. In FY 14-15, CKEU resourced or donated about 10,185 pounds of food, produced over 9124 meals and provided 1364 hours of service. 

Elon Dining Services also donates food items that would otherwise go to waste over breaks to local community partners.  ","All three dining halls have a pre-consumer food waste composting program. The program started in the 2008-2009 academic year. Dining Services staff members are responsible for separating the compostables in the kitchen. 


","In January 2011, post-consumer composting began in one retail location and has now been expanded to two retail locations (Fountain Market & Winter Garden Café). The customers are responsible for separating the compostables in retail settings. There are designated bins with signage on the bin and above the bin (including photos). 
In the dining halls, dining services staff members put all food waste that comes into the dish room into compost bins. ",**,True,True,--,True,True,True,--,True,True,True,True,--,True,True,True,True,True,True,electronics and writing instruments,"This information is based on FY 14-15. The weight provided for materials diverted includes composted material (food waste) and recycled materials (paper, cardboard, plastic, aluminum and glass). It does not include the weight of materials collected and donated as part of the 'Don't Trash It!' campaign held at the end of each school year. It also does not include other recycled items, such as batteries, printer cartridges and electronics. For materials disposed in a solid waste landfill, the University does not receive weight 
information for all of the containers located on campus. The weight for the containers not weighed was conservatively estimated based on the containers that are weighed."
Emory University,2016-02-29,2016-02-29 16:26:31,ciannat.howett@emory.edu,2.0,Pursuing,2725.51,4315.38,"Emory University has had a successful on-campus recycling program, Emory Recycles, since 1990 and a growing composting program since 2009. Emory Recycles program supports waste management on Emory University’s campus and satellite locations and Emory Healthcare’s Clifton Road Clinics by collecting recyclables for recycling.  Recycling containers are located in residence halls and classrooms for student recycling; offices, clinics and labs for faculty and staff recycling and compost collections.  In 1998, a Material Recovery Facility (MRF) was built on campus. With the addition of the MRF, Emory Recycles is able to extend services to surrounding organizations.  Currently, Emory Recycles provides recycling service for the Carter Center, the CDC, neighboring apartment complexes and neighboring retirement homes.   Program commodities include glass, paper, aluminum, cardboard, e-waste, construction and demolition waste, scrap metal, and most recently, food waste and animal bedding.   In fiscal year 2013, the program recovered 2069 tons of material for recycling, 656 tons of material for composting, diverting 40 percent of University waste.  Since the inception of a food waste and animal bedding composting program in October of 2009, the program’s diversion rate has increased by 15 percent.   The composting program at Emory is a closed loop system whereby food and wood waste are composted and returned to the university as a soil amendment used for capital projects, semi-annual plantings, and in Emory’s sustainable gardens.                                                     
Emory recently began establishment of “Zero Waste Facilities” on campus.    Currently, there are twelve campus buildings that have invested in becoming zero waste facilities.  A Zero Waste facility provides containers for recycling and compost in locations such as bathrooms, break rooms, lobbies, classrooms, mail and copy rooms.
Recovery rates have been steadily increasing since the composting program’s inception.   ","Formed in spring 2014, Campus Kitchens Emory is a student-run organization that repurposes and donates unused food from several campus dining locations (with plans to expand to catering and additional campus locations) to local kitchens and food pantries. Approximately 350 pounds of bread and pastries were collected and donated during the group's first month of operations in April 2014. This group is a branch of the national Campus Kitchens organization which operates on multiple campuses across the nation. Campus Kitchens Emory partners with Volunteer Emory, Emory Dining, Sodexo, Office of Sorority and Fraternity Life, and the Office of Sustainability.","Emory has partnered with Southern Green Industries (SGI), the leading organic recycling company servicing the Southeast, to establish a comprehensive composting program for Emory's campus. Pre-consumer food waste is collected in Emory's Dining Service facilities and deposited into 32 gallon bins that are serviced by SGI.   SGI transports the material to Wilbros Composting in Toccoa, Georgia where the material is processed into compost.  The compost produced at the Wilbros facility is then purchased by the Emory Grounds Department and used for semi-annual planting beds, capital projects, and to amend existing landscape beds including the Educational Gardens on campus.  Pre-consumer composting is taking place in the DUC Residence Dining Hall, Cox Hall, Fraternity Row dining facilities, Rollins School of Public Health, Emory University Hospital cafeteria, and Wesley Woods’s hospital.
Food, fiber, and compostable services residuals that can be composted in either pre-consumer or post-consumer composting streams include:
*meat, poultry, fish 
*shellfish and bones 
*eggs and dairy products 
*table scraps and scrapings 
*fruits and vegetables 
*bread, dough, pasta and grains 
*coffee grounds, filters & tea bags 
*paper towels, napkins and plates 
*paper take-out containers 
*pizza boxes 
*paper cups 
*waxed cardboard and paper 
*products made from bagasse (sugarcane fibers) 
*PLA products (corn-based)
","Emory has partnered with Southern Green Industries (SGI), the leading organic recycling company servicing the Southeast, to establish a comprehensive composting program for Emory's campus. Post-consumer food waste is deposited into dedicated composting bins or scraped off plates and collected by Emory's Dining Services, Building and Residential Services (BRS), and Emory Recycle’s staff.  The materials are deposited into 95 gallon bins that are collected and sent to Southern Green Industries (SGI) for sorting.   SGI transports the material to Wilbros Composting in Toccoa, Georgia where the material is processed into compost.  The compost produced at the Wilbros facility is then purchased by the Emory Grounds Department and used for semi-annual planting beds, capital projects, and to amend existing landscape beds including the Educational Gardens on campus.  Post-consumer composting is taking place in the DUC Residence Dining Hall, Cox Hall, Fraternity Row dining facilities, Rollins School of Public Health, Health Sciences Research Building (HSRB), Administration Building, 1599 Clifton Rd, 1762 Clifton Road, Claudia Nance Rollins, The Depot, Law School,  Goizueta Business School,  Miller-Ward Alumni House, Student Athletics and Activities Center (SAAC),  School Of Medicine ,  School of Theology,   Woodruff Residential Hall.  Animal bedding is being collected in the Division of Animal Resources locations at the Emory Clinic B, Whitehead Biomedical Research, and HSRB.
Food, fiber, and compostable services residuals that can be composted in either pre-consumer or post-consumer composting streams include:
*meat, poultry, fish 
*shellfish and bones 
*eggs and dairy products 
*table scraps and scrapings 
*fruits and vegetables 
*bread, dough, pasta and grains 
*coffee grounds, filters & tea bags 
*paper towels, napkins and plates 
*paper take-out containers 
*pizza boxes 
*paper cups 
*waxed cardboard and paper 
*products made from bagasse (sugarcane fibers) 
*PLA products (corn-based)
*Animal bedding (corn and cotton based)",**,True,True,--,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,"Books, textiles, ice packs, grease traps, e-waste",Data reported for 2013-2014 fiscal year.
Endicott College,2016-03-01,2016-03-01 10:10:01,screight@endicott.edu,2.0,Pursuing,906.0,467.53,"Recycling and composting mainly contribute to diversion rate.  During Spring Move-out about 3 tons of clothes, non-perishables, toiletries, appliances, furniture, etc. was collected and donated to local charities.

Inter-departmental envelopes are collected and re-used.  Ink cartridges are sent to be refurbished.  Excess clothing (t-shirts) printed for special events are collected and given to students on Earth Day to tye-dye.",An estimated 40 lbs of leftover food is donated to a local shelter each day.  About 586 lbs of non-perishables were collected and donated during the Spring 2014 move-out.,"Pre-consumer food waste is collected in the kitchen of the dining hall in lined toter carts.  This is combined with post-consumer food waste and is picked up by a hauling company and composted at Brick Ends Farm in Hamilton, MA.  This is in the dining hall only and is currently not in the cafe's on campus.","Visitors to the dining hall place their plates, and dishes on a conveyor belt.  Dining hall employees scrape the plates into lined toter carts.",**,True,True,--,True,True,True,--,True,True,True,True,True,True,True,True,True,True,True,cell phones and other various ewaste materials,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:16,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Batteries, Light bulbs, Toner/ink-jet cartridge, while recycled, are not included in our total tons of diverted materials due to a lack of data."
Fort Lewis College,2016-03-27,2016-03-27 15:59:51,kehilimire@fortlewis.edu,2.0,Pursuing,316.0,608.0,"In recent years, segregated waste bins have been installed at central locations on campus to facilitate proper waste segregation and improve FLC's three-stream recycling program.",,"FLC has invested in an industrial in-vessel composter, the Rocket Composter, and runs a composting program that composts tens of thousands of pounds of food waste each year. The compost produced is then used on campus at the Environmental Center's organic garden and orchard.",,**,True,--,--,True,--,True,--,True,True,True,True,True,True,True,True,--,True,--,All carpets at FLC are made of 100% recycled material and purchased from Interface. Interface collects their used carpet and recycles the material.,--
Furman University,2016-02-22,2016-02-22 13:43:01,yancey.fouche@furman.edu,2.0,Pursuing,631.38,595.0,"We have website, brochure, active participation by staff, students (EAG), sports teams, and student assistance.  We attend and present sustainable initiatives at workshops and conferences, receive grant funding for education and projects. Trash audits, event recycling, and public collection sites, as well as extensive coverage for recycling opportunities. ",We donate leftover foods to the Loaves and Fishes program locally in Greenville.,Both the Dining Hall and the P-Den dining services compost all pre-consumer waste with the Furman Farm.,The Dining Hall composts all post-consumer waste with the Furman Farm.,**,True,True,--,True,True,True,--,True,True,True,True,True,True,True,True,True,True,True,"Carpet, paint, e-scrap, asphalt grindings, and C&D materials",--
George Washington University,2016-02-29,2016-02-29 13:04:23,shannonross@gwu.edu,2.0,Pursuing,1242.72,2552.36,"As part of the GW Ecosystems Enhancement Strategy, GW commits to reviewing its impact on and dependence on ecosystems locally, regionally, and globally, and to make a plan to enhance ecosystem services in these regions. GW commits to becoming a Zero Waste campus in the long-term, and aims to increase recycling to 50% by 2017 and to reduce litter on campus. Tactics proposed to achieve these goals include: expanding composting, updating and expanding recycling and waste infrastructure on campus, piloting new technologies, exploring new vendor options and increasing education and awareness. 

GW has a comprehensive waste diversion program that includes recycling of containers, paper, cardboard, construction materials, e-waste as well as reuse of furniture. GW runs a composting program in Pelham Commons at the Mount Vernon Campus and the J-Street Cafeteria at Foggy Bottom.

GW is aware that a serious amount of plastic waste is caused by disposable water bottles. That’s why the university is working to reduce the number of disposable water bottles purchased by GW. In 2014, the Office of Sustainability again provided durable, reusable water bottles to 2,400 students for the annual Freshman Day of Service event. The Office has also worked with internal and external caterers to eliminate disposable water bottles at event and instead provide refillable water coolers.

In addition, GW will build on its successful Green Move Out program - an annual event that takes place when students leave the campus for the summer. Last year, Green Move-Out collected over 20 tons of clothing, shoes, and household items to be distributed or donated to local community organizations. Part of this effort also includes non-perishable food donations and books - both of which are donated to a local food bank and literacy program, respectively.

The Green Office Network is the primary faculty and staff sustainability engagement program. The Office of Sustainability facilitates a conversation and better practices amongst the university faculty and staff. The purpose is to improve awareness, build community and empower staff to make positive, healthy changes, including on waste diversion.

GW participates in Recyclemania, a national program that promotes waste reduction on college campuses by universities competing against one another to reduce waste, and increase recycling and composting. As part of this competition at GW, students conduct an annual waste sort to increase awareness of Recyclemania. Trash collected on campus is spread across a public site on campus, and students sort the trash and remove recycling. ","On April 5, 2013, student member and volunteers for the GW chapter Food Recovery Network (FRN) collected their first prepared food donation from a Sodexo-managed kitchen in our J-Street food complex. Since that time, the FRN has collected and donated foods from additional events outside of GW's Sodexo dining venues.

As part of the national Food Day celebration, the Office of Sustainability partnered with the GW Urban Food Task Force and many other key stakeholders to donate fresh produce to one of the District's lowest-income communities. GW students, staff, and faculty came together to distribute enough produce to close to 100 families and senior citizens. The food donations came through Sodexo, the Washington Youth Garden, and the GW Student Community Grow Garden. ","Gw's Mount Vernon Campus dining hall has participated in pre-consumer food waste collection for about five years. Beginning in the fall of 2014, the pre-consumer food waste collection program was expanded to include the JStreet dining hall at the GW Foggy Bottom Campus. JStreet Dining is the main dining facility for the university and serves hundreds of students daily.","GW composts at designated events, usually in collaboration with the Office of Sustainability. At roughly ten events per year composting is available. These include large catered events and sporting concessions. 

As part of GW's Ecosystems Enhancement Strategy, GW began piloting post-consumer composting at the Pelham Commons dining facility in the spring semester of 2013. GW is collaborating with Sodexo and student organizations to provide the necessary training and education to ensure that staff and students are effectively composting. 
",**,True,True,--,True,True,True,--,True,True,True,True,--,True,True,True,True,--,--,,--
Georgia College & State University,2016-03-25,2016-03-25 19:08:53,doug.oetter@gcsu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gonzaga University,2016-02-29,2016-02-29 13:09:18,simonj@gonzaga.edu,2.0,Pursuing,4806.0,706.0," We follow the Reduce, Reuse, Recycle, Donate philosophy.  We try to reuse as much of our surplus items, such as furniture, etc., as possible by offering it to Campus wide departments for their re-use.  If there is no demonstrated need for the surplus items, then we donate them to charities, Neighborhood Centers, public and private schools, Homeless programs, etc.  If there is no need for the items by these agencies, then we recycle them or offer them to re-sellers, or dismantlers. We also collect food scraps from the COG dining and put them in a compostable compactor.  This compactor is emptied weekly at a composting facility.  We also send all of our Grounds waste to a composting facility.  WE utilize a single stream recycling program that greatly improved the number of items recycled, including plastics numbered 1-7.  ","Leftover food is donated to Campus Kitchens. Campus Kitchens is a national project that partners with high schools, colleges, and universities to share on-campus kitchen space, recover food from cafeterias, and engage students as volunteers who prepare and deliver meals to the community.",Andrea Bertotti Metoyer ,,**,True,True,--,True,True,True,--,True,True,True,True,--,True,True,True,True,True,True,Demolition waste is recycled ie: 92.55% of the COG was recycled when it was demolished summer of 2013,--
Green Mountain College,2016-03-21,2016-03-21 15:55:17,ihrker@greenmtn.edu,2.0,Pursuing,107.19,107.64,"The major waste diversion programs are described below. In addition to these programs, the College also diverts waste from biomass ash, plastic bags, white goods, lab equipment, furniture, cooking oil, metal, construction and demolition projects and other miscellaneous items.

GMC Recycling Program:
The GMC recycling program is directed by the sustainability office. Six waste crew members are responsible for collection of all recyclable items from indoor and outdoor receptacles and then delivery of those items to the central recycling trailer, where it is later picked up by the waste company, Casella. The delivery mechanism is a human-powered bicycle trailer. The recycling crew schedule is coordinated by the sustainability office manager (a student position). Recycling bins and bicycle trailers are purchased with support from the Student Campus Greening Fund on an as-needed basis. The recycling crew also helps the reuse manager collect material from e-waste collection boxes.

Green Move Out and Green Move In:
Each May, the Green Move Out program at GMC diverts reusable items from the landfill that students dispose of when moving out of the residence halls. A team of over ten volunteers (including sustainability office work study students, and other students) works during the last week of finals through the day after commencement on this project. Signs and emails advertise the event in the residence halls the week before students begin to vacate the campus for the summer break. Students are encouraged to bring unbroken, working and pre-owned items to designated areas in the first floor lounges of their residence halls.

Many students also leave a number of items in the hubs of each floor (where recycling bins and compost bins are located). The GreenMove Out Team moves usable items that could be donated/saved down to the lounges during the week of move-out. “Lounge shopping” is advertised among the campus community during the week prior to graduation. Most undergraduates move out during this week. A
number of faculty, staff and other students take advantage of this opportunity to take unwanted items. Hundreds of pounds of clothing, furnishing, bedding, appliances, etc. are taken to new homes. 

Before Commencement, the Green Move Out Team bags up unwanted clothes and bedding and donates them to local charities such as the Poultney thrift store, the Rutland Women’s Shelter, Salvation Army and the Rutland Area Humane Society (all items go through quality control to ensure cleanliness and usability). Non-perishable food items are donated to the Poultney Food Shelf.

Other reusable items are placed in storage closets, the Freepo, and the Free Store to be given away/sold to new students in the fall. Volunteers are allowed to move back into the residence halls a few days early to help facilitate this Green Move-In Sale during orientation. E-waste is also collected, stored in IT offices and recycled. This project is sponsored by the Sustainability Office in collaboration with the Office of Residence Life. The effort regularly diverts over 5,000 lbs of reusable material. In 2015, it was 5,714 lbs.

Freestore and Freepo (Reuse stores):
A reuse manager working out of the sustainability office maintains the College’s Freestore and Freepo throughout the year. The Freestore, located in the student center, consists of appliances, clothes, books, and other items diverted from the waste stream via “free boxes” in the residence halls. Any student, staff or faculty member can take what they want from the store. The Freepo, located in the main administrative building, is a similar concept, with a focus on office supplies that are salvaged from campus offices and student donations.

The GMC Compost Program:
This program is directed by the sustainability office in collaboration with Cerridwen Farm. The six-member waste crew is responsible for daily collection of compostable food scraps from the kitchen/dining hall and transportation of this material to Cerridwen Farm on campus. In September 2015 the Professional custodial staff assist the student waste crew with collecting residence hall food waste. The custodial staff removes compost at the collection point on each floor via compostable bags. The student waste crew staff collects the food waste at each building and adds it to our general food waste collection that is processed each night with our kitchen/dining hall.  The sustainability office engages in educational outreach to promote a culture of ownership over the program among residents.

E-waste Collection Program:
The sustainability office collaborates with the IT department to collect e-waste from e-waste bins situated in every major building. The e-waste is stored in a vault room in the library and is then recycled every year using a certified e-waste company. The annual e-waste pick-up is carried out during Earth Week and streamlined with a public collection event. Volunteers sit in the student center with a large sign and collect e-waste on the spot, and also answer questions about the topic.
","Typically, at the end of a semester or prior to breaks, dining services donates any perishable food items with a limited shelf life to the Poultney Food Shelf. Additionally, every May the sustainability office's green move out team donates non-perishable items that the students leave behind to the Poultney Food Shelf. Sustainability staff began collaborating with local community organizations and the food recovery network in the fall of 2015 to develop a process for developing a system for donating prepared food that isn’t served to be provided to people in need in the Poultney community. ","The pre-consumer compost program is managed by the sustainability office. Pre-consumer food waste is deposited into compost buckets by Chartwell’s dining hall staff members. These food scraps are collected every evening by members of the sustainability office’s work-study compost crew. In the Fall of 2015, the sustainability office began weighing pre-consumer waste on its own to gain data specific to pre-consumer waste. 
","The post-consumer compost program is also managed by the sustainability office. The waste diversion crew is responsible for daily collection of post-consumer food scraps from the dining hall and transporting it to Cerridwen Farm on campus to be processed in the windrow system. All post-consumer food scraps are weighed and reported to the sustainability office daily. 

Campus-wide compost collection is managed jointly by the sustainability office and the custodial staff managed by CW. A compost bin is located on every floor of residence halls. There are also compost collection bins located in the majority of all other buildings on campus. The compost bins are part of a 3-bin units that were student built with reused items such as dining hall trays and dresser drawers. The custodial crew monitors the compost bins and removes the food waste for outside pickup by the student waste crew to deliver to our windrow system. . 

Finished compost that has been processed on the farm is primarily used by the farm to fertilize vegetable plots and helps produce beautiful vegetables for the campus dining hall, Poultney Farmers’ Market, and CSA shares that are sold to members of the College and surrounding community.

In FY 2015 a total of 20.94 tons of food waste was collected. This included pre and post consumer waste in the dining hall and campus-wide food waste collection. 
",**,True,True,--,True,True,True,True,True,True,True,True,True,True,True,True,--,True,True,"E-waste is collected regularly through bins all over campus and through a special drop-off event during Earth Week (This is weighed and counted toward waste diversion percentage). 

Metal is recycled by facilities (an estimated weight counts toward waste diversion), as well as a large portion of the wood (which is not weighed, estimated, nor counted toward diversion). Big items like furniture are donated to off-campus charity organizations through special trips whenever possible (an estimated weight of this is counted toward diversion). Refrigerators are collected and shipped to Casella for their metal recycling value. An estimated weight of this is counted toward diversion (based on weighing several, taking an average, and then applying it to the total count).

Uncontaminated ash from the biomass plant (an estimated 38.81 tons in FY 2015) is also diverted from the waste stream by being donated to a local farmer who spreads it on his fields to sweeten his soil. The decision to use the ash for this came from a research project in a chemistry class that weighed the costs and benefits of various options, including making soap, repairing forest soil, and using it for compost. The least energy intensive and most beneficial option was to use it as a soil sweetener for agriculture. Ash is counted toward waste diversion because it is also counted against waste diversion when it is landfilled. The ash that is cleaned out of the smokestack is contaminated with oil residue so it is landfilled through the waste company. 
","Performance year for the waste diversion rate is FY 2015.

All cooking oil from dining services is recycled by Buffalo Bio Diesel, Inc."
Guilford College,2016-03-08,2016-03-08 08:08:32,corrybc@guilford.edu,2.0,Pursuing,215.13,166.23,"Much of the data above was calculated using RecycleMania metrics from the 2014 competition and from service providers that manage our hazardous, electronic and solid waste. Guilford has a vigorous recycling program with individual recycling containers in every office and dorm room.  We also have recycling cans next to each trash bin. All food waste, both pre- and post consumer, generated by dining services is weighted and use for the production of compost on-site. Each Spring semester during student move-out food and other goods are collected and donated to organizations such as Urban Ministries, Goodwill , Habitat for Humanity and the Salvation Army.","Leftover food not consumed in our cafeteria is donated to a student led initiative called the Campus Kitchen. The Campus Kitchen donates prepared meals to folks in food insecure areas around Greensboro. Another student led initiative, The Mobile Market, purchases produce from the on-campus farm from funds raised by an on-campus farmers market and distributes the produce to folks in food insecure areas around Greensboro.",Pre-consumer food waste is collected during food preparation and is used to generate compost on-site.,Post-consumer food waste is collected and processed first through a kitchen-grade disposal and then through a pulper which removes up to 80% of the water. This homogeneous food waste is then used in the on-campus composting system.,**,True,True,--,True,True,True,--,True,True,True,True,True,True,True,True,True,True,True,,--
Hampshire College,2016-03-23,2016-03-23 09:58:04,bhooker@hampshire.edu,2.0,Pursuing,249.0,241.0,"We are pleased to announce that Republic Services of Chicopee has been awarded a contract for the removal of trash and recyclables from the College. We moved from a dual stream recycling process that separates bottles, cans, and paper to a single stream ""All in One"" process that combines recyclables into one receptacle. The program started in July 2014.

As part of the new program, we have been upgrading our container collection system to be more user-friendly. We've been installing color coded bins that are consistent throughout campus. Very simply, blue is for recyclables and black is for waste. Depending on the location, the shape and size of the receptacle may differ, but the colors blue and black will remain consistent. 

https://www.hampshire.edu/facilities/hampshire-college-trash-and-recycling-program


-Hampshire College has banned the sale of plastic water bottles on campus. 

-At the end of the semester, students are encouraged to donate belongings to the food/supply drive organized by Students for Human Rights.  Donations benefit Not Bread Alone.  Donation boxes are distributed all around campus and in the Dean of Students Office.

- The Environmental Committee coordinated a Year End Move Out Collection Campaign, which provided a large storage trailer and encouraged students moving out of dorms and mods to remove items from the waste stream that could be repurposed by Hampshire community members or donated to local charities. 

-The Climate Justice student group conducts awareness campaigns to promote and educate about recycling

- The Upcycling Mod provides a living opportunity for students who are interested in sustainable living practices centered around the reuse and repurposing of discarded items. 

-The Hampshire College Farm staff provides education tours of the farm including the compost pad, where compost from a local farm is stored for use on campus vegetable fields. 

- Originally started as a student thesis project, cooking oil is collected from the dining commons and made into biodiesel by students and alumni at the the Hampshire College Farm.

","All usable leftovers from the dining commons are frozen and sent to local shelter (Craig's Door). Unserved meals and any excess vegetables in CSA are donated to local soup kitchens as well. However, these donations are not weighed/tracked and as a result are not included in the totals identified above.","Pre-consumer waste generated in the dining commons is sent along with post-consumer waste to a local farm that composts it. The Hampshire College Farm buys back the compost and spreads it on the vegetable fields. 

Pre-consumer food waste generated at the Hampshire College Farm center is used with discretion as supplementary food for chickens and pigs.
","-There is a compost station at the dish drop off area in the campus dining commons. There is instructional and educational signage about composting to create awareness. Guests must clear their plates into clearly labeled bins (food waste, paper waste, silverware, glassware). Trash receptacles are clearly labeled ""Landfill"" to increase awareness. 

",**,True,True,True,True,True,True,True,True,True,True,True,--,True,True,True,True,True,--,,--
