Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution have an institution-wide stated intent to support disadvantaged businesses, ...","A copy of the policy, guidelines or directive governing inclusive and local purchasing","The policy, guidelines or directive governing inclusive and local purchasing",Does the institution wish to pursue Part 2 of this credit (inclusive and local expenditures)?,"The percentage of total purchases from disadvantaged businesses, social enterprises and/or local ...",The website URL where information about the institution’s inclusive and local purchasing policies ...,Public Notes
George Washington University,2016-02-29,2016-02-29 13:04:34,shannonross@gwu.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/518/6/610/3797/GW%20Diversity%20Spend%20-%20FY12%20to%20Present.jpg,"In lieu of attaching a file above outlining our policy, which is outlined below here, a fiscal year spend summary was uploaded to document and verify the percentage of the university's total purchases from disadvantaged businesses, social enterprises, and/or local community-based businesses requested in separate query field below.

Per GW's Standard Terms & Conditions (for supplier contracts):

Section C5. Supplier Diversity Initiative Program (MBE/WBE).

The University voluntarily maintains a Supplier Diversity Initiative Program as part of its efforts to increase participation of minority and women vendors (MBE/WBE). GW seeks to achieve this goal through primary and second-tier suppliers. All primary suppliers must submit a plan with their bids, indicating how they intend to use minority and women vendors as their second-tier suppliers. Each plan will be evaluated based on good-faith efforts and will consider the following factors:

-- Availability of minority/women vendors who can supply the goods and services requested in the bid documents
-- Competitiveness of the prospective second-tier suppliers.

The use of local minority and women-owned businesses strengthens our commitment to the local community. In all cases, however, it is expected that the vendors meet the criteria relating to price, service, and delivery. Supplier diversity will be one, but not the sole, consideration in all contract awards. Ultimately it will be left to the discretion of the primary supplier as to which second-tier suppliers it uses. When a contract is awarded, the supplier is required to maintain its second-tier effort and to submit monthly reports on its progress.",True,44.08,http://www.financeoffice.gwu.edu/procurement/Documents/PDF/termsandcond.pdf,"GW tracks diversity and local spend via Tableau.  A copy of the spend analysis for the last three fiscal years is attached.  GW recognizes the SBA categorization of businesses, as well as the Certified business categories as established by the District of Columbia, State of Maryland and Commonwealth of Virginia.

Moving forward, the President's Council on Diversity and Inclusion will evaluate the university's existing contracts with local, underrepresented communities within the District. Based on findings, which are anticipated to be fairly limited, an intentional action will be undertaken to increase the numbers of minority and women-owned businesses located within and supporting low-income areas. "
Georgia College & State University,2016-03-25,2016-03-25 19:10:07,doug.oetter@gcsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Gonzaga University,2016-02-29,2016-02-29 13:09:28,simonj@gonzaga.edu,2.0,Pursuing,--,,,--,--,--,--
Green Mountain College,2016-03-21,2016-03-21 15:55:33,ihrker@greenmtn.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/26/6/610/3797/Sustainable.PurchasingPolicy.2014.FINAL_1.pdf,The guidelines governing inclusive and local purchasing are built into the sustainable purchasing policy linked to here. Some criteria related to these topics are included in specific areas of purchasing. General directives for inclusive and local purchasing are also provided on page 5 and 8 of the policy. ,--,--,http://sustainability.greenmtn.edu/leadership/social_responsibility/purchasing.aspx,--
Guilford College,2016-03-08,2016-03-08 08:08:41,corrybc@guilford.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Hampshire College,2016-03-23,2016-03-23 09:59:10,bhooker@hampshire.edu,2.0,Pursuing,True,,"Minority and Women-owned Business Policy
Hampshire College is committed to supporting minority and women-owned businesses. In recognition of the value of diversity in our society, we aggressively promote and seek out minority-owned and women-owned businesses.",--,--,http://www.hampshire.edu/offices/14861.htm,--
Harvard University,2016-02-29,2016-02-29 16:59:07,colin_durrant@harvard.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Haverford College,2016-03-02,2016-03-02 12:02:13,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,"6% of our overall spending on products is on delivery to a Tier 1 minority partner.
Unwritten policy but something we are working on and we do monitor spending and look for when possible.
Nikki Millas Director of Purchasing contributed to this entry."
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:52,sustainability@hws.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Indiana State University,2016-03-29,2016-03-29 10:18:28,caroline.savage@indstate.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/614/6/610/3797/Minority%20Policy%20%26%20Procedure.docx,We use a computer system that tracks minority and women owned businesses.  We have a goal of 5% to each of those businesses.  We publish that policy for all of our construction work.  We have a company processing system that tracks minority and women owned businesses.  We tracked 190 bids in the last year and sent to 404 minority and women owned businesses and averaged 2.12 minority businesses on every bid and just under 1 women business for every bid.  We have achieved 7.63% minority owned contracts which was 5.40% of all expenditures.  We have achieved 8.80% women owned contracts with 9.67% of all expenditures.  ,True,4.0,https://www2.indstate.edu/purchasing/SupplierDiversityProgram/MBEWBEMainPage.htm,"Based on total expenditures, the percentage of purchases is 4%.
Based on total purchases from disadvantaged businesses, social enterprises and/or local community-based businesses, the percentage of contracts is 16%."
Indiana University Bloomington,2016-03-23,2016-03-23 09:44:00,brownwm@indiana.edu,2.0,Pursuing,True,,"Indiana University is committed to providing historically underutilized suppliers every opportunity to compete for its business. Efforts will be made in the purchasing departments to identify historically underutilized suppliers, inform these suppliers of University requirements, and solicit quotes from such suppliers whenever possible. Procurement professionals will support the efforts of the Business Diversity Program and will communicate with historically-underutilized suppliers regarding the purchasing process so that they may become more viable suppliers.

IUB defines Historically-underutilized supplier as ""a large or small minority-owned business concern owned and controlled by minority individuals."" The term ""large or small business concern owned and controlled by minority individuals"" means a business that is at least 51% owned by such individuals; or in the case of a publicly owned business, at least 51% of the stock is owned by one or more such individuals. Further, the management and daily business operations are controlled by one or more such individuals. ""Minority individuals"" include Black Americans, Hispanic Americans, Native Americans, Asian-Pacific Americans, Asian-Indian Americans.

The term ""Native Americans"" includes American Indians, American Eskimos, American Aleuts, and Native Hawaiians. The term ""Asian-Pacific Americans"" includes United States citizens whose origins are from Japan, China, The Philippines, Vietnam, Korea, Samoa, Guam, the U.S. Territories of the Pacific, Northern Marianas, Laos, Cambodia, and Taiwan. The term ""Asian Indian Americans"" includes United States citizens whose origins are from India, Pakistan, and Bangladesh.",True,32.67379613,http://www.indiana.edu/~purchase/policies/13_0.shtml,--
Juniata College,2016-03-23,2016-03-23 08:09:37,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:17:22,mknowle1@kent.edu,2.0,Pursuing,True,,"Kent State University is committed to a proactive and a comprehensive supplier diversity program that ensures an active and full participation of historically disadvantaged, economically and socially underutilized businesses located within the university's geographic region and beyond with specific attention to include Minority Business Enterprises (MBE) and Women-Owned Business Enterprises (WOBE). Kent State University recognizes supplier diversity as an important component of its overall diversity effort. In Support of those efforts, the Procurement Department fosters continuous relationships with minority suppliers.",True,13.14,http://www.kent.edu/procurement/diversity/index.cfm,The figures provided is from FY 2013.
Knox College,2016-03-23,2016-03-23 08:31:05,sustainability@knox.edu,2.0,Pursuing,True,,"Knox College acknowledges the importance of supporting historically underutilized businesses, minority-owned businesses, and women-owned businesses in order to continue our long tradition of inclusivity. We will regularly monitor our support of these historically underutilized, minority-owned, and women-owned businesses and seek improvement.",--,0.05,http://www.knox.edu/Documents/Sustainability/Sustainability_Policies.pdf,"The percentage of total purchases represented here reflects only purchases tracked for ICAP funding projects.  As Knox has a purchasing policy favoring local and historically underutilized businesses, the true number is much higher.  However, such purchases are not tracked separately from general purchases. "
Lehigh University,2016-02-29,2016-02-29 00:26:24,sustainability@lehigh.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/442/6/610/3797/Lehigh%20Sustainable%20Purchasing%20Policy%20(2)%20(1).docx,"Excerpts from various sources (Lehigh's Strategic Plan, etc.):
Partnering in the renaissance of the local community is one of the 4 tennants of Lehigh's Strategic Plan.

Lehigh manages a Small Business Development Committee (SBDC), focused on small and local, but NOT disadvantaged business opportunities.

Lehigh also works with the Rising Tide Community Loan Fund, loaning money to businesses that cannot obtain commercial loans through the normal course of business (often start-ups and minority owned businesses).",--,--,--,"We are unable to report a specific percentage of total purchases from disadvantaged businesses, social enterprises and/or local community-based businesses at this time.

No change in this section from previous year. jca 12-17-15"
Lewis & Clark College,2016-03-18,2016-03-18 17:08:14,advorak@lclark.edu,2.0,Pursuing,True,,Policy and guidelines included on the Purchasing program website: http://www.lclark.edu/offices/business/purchasing_procurement.php,--,--,http://www.lclark.edu/offices/business/purchasing_procurement.php,--
Loyola Marymount University,2016-03-23,2016-03-23 14:03:22,ian.mckeown@lmu.edu,2.0,Pursuing,True,,"Loyola Marymount University supports many different historically underutilized businesses on campus. One such business is the “Lion Café Cart” which is managed by Sung Park and Jimmy Yu, who are subcontracted as principle owners for coffee cart. The coffee cart was started as a part of the Student Government’s Sustainability Program in 1998. Also, bread products in the Roski Dining Hall, Crimson Lion Restaurant, and Lion’s Corner Café are all purchased from Homeboy Industries. This company assists at-risk, recently released, and former gang-involved youth to become contributing members of their communities through a variety of services in response to their multiple needs. In partnership with Sodexo food services, LMU is part of “SodexoMAGIC” which effectively provides flexible, innovative and comprehensive service solutions that have unrivaled broad consumer appeal to the marketplace. Through the University Affiliation with Sodexo Magic, the Magic Johnson Enterprises Benefit minority studnets through Scholarship.",True,5.0,--,"The University Affiliation with our Minority Owned Operator Sodexo Magic- Majic Johnson enterprises, Homeboy Industries, And Korean owned operator Moc MAx represents 5% of Dining produt procurement."
Loyola University Chicago,2016-02-26,2016-02-26 17:50:38,adurnbaugh@luc.edu,2.0,Pursuing,True,,"Loyola University Chicago is committed to supporting small business enterprises, including disadvantaged, women-owned, veteran-owned, service disabled veteran-owned and HUBZone business enterprises, in its purchasing programs. 

	Loyola University Chicago is committed to supporting small business enterprises, including disadvantaged, women-owned, veteran-owned, service disabled veteran-owned and HUBZone business enterprises, in its purchasing programs. Small business enterprises are defined by the federal government in FAR 19.102. Categories of socially and economically disadvantaged small business enterprises are defined in FAR 19.001.


",--,--,http://www.luc.edu/purchasing/purch_policy.shtml,--
Macalester College,2016-01-06,2016-01-06 13:03:01,shansen2@macalester.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/252/6/610/3797/MacalesterSustainabilityPlanDec2011.pdf,"Seek and create purchasing options that minimize Macalester’s costs and promote a positive ecological and social impact. 

",--,--,--,The guidelines for purchasing is on page 32 of the Sustainability Report. 
Maryville College,2016-02-11,2016-02-11 15:37:45,adrienne.schwarte@maryvillecollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:15,slanou@mit.edu,2.0,Pursuing,True,,"""The inclusion of Cambridge, minority, woman owned and small business vendors in the procurement process at MIT is a major component of the institution's commitment to Diversity Spending. When purchasing products and services, please consider using vendors in these categories."" (http://learn2buy.mit.edu/fundamentals)

In addition, the MIT Green Committee encourages MIT employees to buy local whenever possible, and suggests that they select local venders listed by Cambridge Local First (http://web.mit.edu/workinggreen/buy/atmit.html; http://cambridgelocalfirst.org).",--,--,--,--
McMaster University,2016-02-19,2016-02-19 09:37:37,naeemsh@mcmaster.ca,2.0,Not Pursuing,--,--,--,--,--,--,--
Miami University,2016-03-02,2016-03-02 14:17:59,kliney@miamioh.edu,2.0,Pursuing,True,,"The University is an equal opportunity/affirmative action institution. Under current law, a goal 15% of goods and services to certified MBE (Minority Business Enterprise) and 5% of goods, services and construction contracting to EDGE (Encouraging Diversity, Growth and Equity) is to be purchased. Minority vendors must be certified by the Department of Administrative services, Equal Opportunity Division, prior to participation. The Department of Purchasing takes the lead role in supporting the goals of the program. Any questions regarding this program should be direct to the Department 
Any vendor wishing to do business with the University should contact the Department of Purchasing. The purchasing process at the University is centralized with all requests being routed through the Department of Purchasing. Vendors wishing to do business with the University should send a written request to the Director of Purchasing asking that they be added to future bid requests. The University also manages a web enabled bidding tool that allows for MBE/EDGE vendors to enroll and identify commodities they wish to receive bid notices. Access is http://www.units.muohio.edu/purchasing/ Vendors may also visit the Department of Purchasing to personally discuss their company’s product line and to express their interest in doing business with the University. 
Miami University strives to stay current on various goals necessary to demonstrate a positive track record of seeking and including minority businesses to participate in labor, goods and services contracts to the University by such means as: • Attending training sessions hosted by the EOD • Participate as a member of Dayton Area Chamber of Commerce, Minority Business Partnership • Researching registered vendors • Directly speaking to interested vendors about Miami opportunities • Attending various trade shows to inform EDGE/MBE businesses and contractors of upcoming University construction projects, consulting service opportunities, and goods and material needs. • Attending IUCPG (Inter University Counseling Purchasing Group) meetings that include discussions and presentations related to MBE/EDGE-certified vendors. All purchasing staff is informed and aware of DAS registration of MBE/EDGE vendors. The university has participated in reverse trade fairs sponsored by DAS. Miami University has also collaborated with other universities to host regional vendor fairs. 
Quarterly Miami University reports to the  Department of Administrative services, Equal Opportunity Division actual volumes paid to minority firms.",True,13.0,http://www.units.muohio.edu/purchasing/MiamiUniversityPurchasingCentralServices.php,--
Michigan State University,2016-02-16,2016-02-16 09:19:29,erhardt7@msu.edu,2.0,Pursuing,True,,"VII. Supplier Diversity Program
The Purchasing Department is actively involved in expanding and promoting its Supplier Diversity Program. This program offers minority-owned business enterprises (MBE), woman-owned business enterprises (WBE), and small or disadvantaged businesses the opportunity to develop sound business relationships with Michigan State University. Outreach activities are sponsored to introduce suppliers to the university community and to foster the growth of supplier contracts inclusive of a diverse supplier database.

MBE and WBE companies are legally defined as, “a privately or publicly owned corporation, joint venture or any other type of business organization that is more than fifty percent beneficially owned and controlled by one or more minority persons or women”.

The Supplier Diversity Program Coordinator supplies information and assists campus departments with creating subcontracting plans for federally funded contracts and grants.

University departments can contact the Supplier Diversity Coordinator to obtain supplier and commodity information.

In 2013 MSU partnered with the Michigan Economic Development Council and targeted 50% of spend with Michigan businesses.  In 2013, 61% of domestic spend was in Michigan and 52% of total spend.  This included Purchase Order, credit card, qualifying disbursement voucher and ACH spend.",True,60.2,http://usd.msu.edu/for-suppliers/supplier-diversity-program/index.html,"http://usd.msu.edu/mbp/mbp-270/index.html 
http://mispartanimpact.msu.edu/"
Middlebury College,2016-03-25,2016-03-25 14:03:28,jmbyrne@middlebury.edu,2.0,Pursuing,True,,"Middlebury's purchasing policy states that ""Where possible, given the nature of the College's rural location, Middlebury's commitment to institutional diversity should be reflected in the placing of College business so as to encourage the entrepreneurial efforts of minorities within Vermont specifically, and the region and nation more generally.""",--,--,http://www.middlebury.edu/sustainability/our-commitment/sustainable-partners,--
Mills College,2016-02-29,2016-02-29 23:53:55,ngaetjens@mills.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:14,neapple@mtholyoke.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Muhlenberg College,2016-03-23,2016-03-23 10:27:49,kprocyk@muhlenberg.edu,2.0,In Progress,--,--,--,--,--,--,--
Naropa University,2016-02-29,2016-02-29 17:16:53,acook@naropa.edu,2.0,Pursuing,--,http://stars.aashe.org/media/secure/493/6/610/3797/Model_Energy_Audit_rfp.doc,gfdagf,--,--,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:50,lindsay_batchelor@ncsu.edu,2.0,Pursuing,True,,"Historically Underutilized Businesses (HUB) Program

The State of North Carolina encourages all state agencies to expend up to 4% of their total procurement dollars with HUB suppliers. This program is intended to stimulate the economic development of minority, women-owned, and physically disabled businesses.

The Purchasing Department places orders with HUB suppliers whenever appropriate. University departments are also encouraged to procure through HUB suppliers when utilizing the Small Purchases policy.

The HUB Business Directory is maintained by the Division of Purchase and Contract . These directories list HUB suppliers alphabetically, by commodity number, and by construction industry number.",True,9.08,http://materialsmgmt.ofb.ncsu.edu/Sourcing-Procurement/Supplier-Center.php,--
Northern Arizona University,2016-02-23,2016-02-23 18:52:13,Ellen.Vaughan@nau.edu,2.0,Pursuing,True,,NAU signed a contract with Stapleslink in 2006 which allows NAU faculty and staff to purchase supplies through an NAU-specific online system. This system gives faculty and staff the option to not only purchase recycled content materials but also materials from minority and women-owned businesses. These products are marked with a seal to inidcate to the buyer which items fall under that category.,--,--,http://www.staplesadvantage.com/nau/supplies_and_services/diversity_supplier_products.asp,--
Oberlin College,2016-03-21,2016-03-21 16:09:54,bflynn@oberlin.edu,2.0,In Progress,--,--,--,--,--,--,--
Ohio University,2016-03-23,2016-03-23 07:58:41,goetze@ohio.edu,2.0,In Progress,--,--,--,--,--,--,Another procurement statement can be found at:  http://www.ohio.edu/sustainability/programs/Procurement.cfm
Onondaga Community College,2016-02-26,2016-02-26 16:34:06,vormwals@sunyocc.edu,2.0,Pursuing,True,,"The College seeks to work with minority owned and women owned businesses and is required to do so for a portion of workforce and materials for capital projects in order to comply with local and state laws.

The Sustainability Policy also includes language for inclusive purchasing.
""Preference will be given for working with local businesses and historically underrepresented businesses whenever possible.""",--,--,--,--
Oregon State University,2016-03-30,2016-03-30 14:51:04,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--,--,--
Pennsylvania State University,2016-03-21,2016-03-21 11:48:54,mme2@psu.edu,2.0,In Progress,--,--,--,--,--,--,"The percentage provided below represents purchases from suppliers, and does not include contractor goods and services.  Our Diverse dollar percentage (minority & woman-owned) includes Centralized Purchasing, ARL Purchasing, Housing/Foods Purchasing and Hershey Medical Purchasing."
Pittsburg State University,2016-03-24,2016-03-24 14:48:26,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--,--,--
Pitzer College,2016-02-22,2016-02-22 14:38:57,warren_biggins@pitzer.edu,2.0,Pursuing,--,,,--,--,--,--
Plymouth State University,2016-02-29,2016-02-29 11:42:41,bweisenhauer@plymouth.edu,2.0,Pursuing,True,,"Top of page 4 of attached file:
Bid Process 
•	Open to all qualified suppliers ***(Preference to local and NH bidders if adequate pool)***
•	Award will result in formal purchase order (and perhaps contract)
•	To start bidding process contact Purchasing Manager or Purchasing Agent.
",True,15.0,https://www.google.com/url?q=http://www.plymouth.edu/office/purchasing/files/2011/04/Purchasing-Receiving-and-Payment-Policies-and-Procedures-2008.doc,"The percentage of total purchases is an estimate, but the policy exists and is followed.

The link will not fit in the space above, it is:
https://www.google.com/url?q=http://www.plymouth.edu/office/purchasing/files/2011/04/Purchasing-Receiving-and-Payment-Policies-and-Procedures-2008.doc&sa=U&ei=JE_uVK7NG42WyATZzoLgCw&ved=0CAUQFjAA&client=internal-uds-cse&usg=AFQjCNGBWnRIcpycFSB8f36HwfopHwliDw"
Pomona College,2016-01-11,2016-01-11 17:28:40,alexis.reyes@pomona.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/33/6/610/3797/SAP.pdf,"See the Purchasing section (beginning p. 41), especially the Goals and Objectives. One of the goals of the purchasing policy is the ""consideration of economic, social, environmental, and ethical aspects of all products and services,"" and one of the objectives is to identify and select preferred providers based on ""Reduced resource use during manufacturing and use; Location of production (distance traveled by product materials and final product); and Social and environmental track record of producer.""",--,--,--,--
Portland State University,2016-03-24,2016-03-24 17:20:58,jenny.mcnamara@pdx.edu,2.0,Pursuing,True,,"PSU's Policy on Equity in Contracting can be found here:
http://www.pdx.edu/ogc/sites/www.pdx.edu.ogc/files/Equity_in_Contracting_Policy_(Final%205.14.14).pdf

PSU strongly supports federal, state, and local efforts to promote economic growth and prosperity. In its efforts to encourage economic growth and development PSU is continuously improving relationships with MWESB vendors and increasing contracting efforts with these firms.  Since the modification of our W-9 in 2009, PSU’s ability to track utilization of MWESB's and identify targeted areas for increased engagement with MWESB vendors has been greatly improved.  The modified form has made it easier for vendors who are certified by the State of Oregon or who are self-reporting to identify as MWESB vendors. Additionally, PSU’s new Diversity Action Plan (DAP) promotes the development of stronger ties with the MWESB community as exemplified by the College of Business Administrations’ award winning Business Outreach Program (BOP). 

Portland State University is committed to utilizing MW/ESB vendors. For a link to State of Oregon MW/ESB certified vendors: http://www4.cbs.state.or.us/ex/dir/omwesb/

For a link to MW/ESB vendors previously utilized by PSU please visit the following web link: http://www.bao.pdx.edu/vendor

For a copy of PSU's Annual MWESB Report for Fiscal Year 2013, go to: http://www.pdx.edu/financial-services/sites/www.pdx.edu.financial-services/files/MWESBAnnualReportFY13.pdf
",True,14.4,http://www.pdx.edu/purchasing-contracting/minority-women-and-emerging-small-businesses,--
Princeton University,2016-01-20,2016-01-20 17:01:07,kristiw@princeton.edu,2.0,Pursuing,True,,"The University hosts minority vendor shows that are sponsored by NJHEPA (New Jersey Higher Education Purchasing Association), of which Princeton is a member. It also participates in a minority mentoring program with MAACC (Metropolitan African American Chamber of Commerce and the Princeton Chamber of Commerce).",--,--,--,--
Principia College,2016-01-30,2016-01-30 21:54:38,karen.eckert@principia.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Purdue University,2016-02-26,2016-02-26 16:45:20,mgulich@purdue.edu,2.0,Pursuing,True,,"In 2005, Purdue University took steps to enhance their supplier diversity activities and recruited a well-known small diverse business advocate to lead their efforts to increase the contracts awarded to Indiana women and minority businesses.  Since then Purdue University has become recognized as one of the premier supplier diversity programs in higher education in America.

The focus of the program has been outreach.  The small staff of three people work tirelessly to introduce the diverse business community to decision makers at the West Lafayette campus, in addition to staff from each of the three regional campuses: Purdue Calumet, Purdue North Central at Westfield, and Purdue University-Indiana University at Fort Wayne.  The cornerstone of the outreach efforts of the Purdue Supplier Diversity staff is the Relationship to Partnership (R2P) Sessions that take place each November.  R2P is structured to introduce the attending diverse businesses to decision makers from the Supplier Diversity Coalition of Greater Lafayette.  The Coalition members are the larger employers of Tippecanoe County, each committed to expanding opportunities to women and minority firms.

Additionally Purdue University participated in the Disparity Study that was commissioned by the State of Indiana.  Purdue's response to the findings in the study has produced a new stronger initiative entitled ACCESS, (Advocating Consistent Contracting to Engage Small Business Success).  This program is designed to give even more muscle to an already dynamic commitment to the success of Indiana women and minority businesses.",--,--,http://www.purdue.edu/supplierdiversity/,--
Randolph College,2016-02-26,2016-02-26 14:25:32,llemaitre@randolphcollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Rice University,2016-03-25,2016-03-25 16:32:54,rrj@rice.edu,2.0,Pursuing,True,,"Rice, whenever possible, shall make a good faith effort to utilize small or historically 
under-utilized businesses (HUB), especially within the local community. In cases where 
quality, performance, and price are all relatively equal with all suppliers considered for 
an opportunity, Rice expects employees and students to make good faith efforts to utilize HUB-certified businesses in the purchase of goods and services for the University",--,--,http://buy.rice.edu/uploadedFiles/Documents/Policies/Policy_Purchasing%20Draft_Ver%208.5.pdf,--
Rochester Institute of Technology,2016-03-25,2016-03-25 15:54:04,elcpro@rit.edu,2.0,In Progress,--,--,--,--,--,--,--
Saint Louis University,2016-03-24,2016-03-24 17:17:52,bverhof1@slu.edu,2.0,Pursuing,True,,All Requests for Proposal at SLU encourage disadvantaged vendors to bid and encourage bidders to use disadvantaged subcontractors. Saint Louis University is a member of the St. Louis Minority Business Council and strives to include disadvantaged vendors on preferred vendor lists.,--,--,http://www.slu.edu/busfin/departments/business-services/doing-business-with-saint-louis-university,--
San Francisco State University,2016-03-25,2016-03-25 17:34:37,kordesch@sfsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Santa Clara University,2016-02-26,2016-02-26 20:44:58,lkalkbrenner@scu.edu,2.0,In Progress,--,--,--,--,--,--,This is a conservative figure.
Seattle University,2016-03-23,2016-03-23 11:53:54,thompson@seattleu.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/460/6/610/3797/Policy%20Manual-%20PURCHASING.pdf,,--,--,http://www.seattleu.edu/purchasing/,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:45,mpate@sewanee.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:25,andre.plante@sheridancollege.ca,2.0,Not Pursuing,--,--,--,--,--,--,--
Simon Fraser University,2016-02-08,2016-02-08 23:41:53,erica_lay@sfu.ca,2.0,Pursuing,--,,,True,22.2,http://www.sfu.ca/content/dam/sfu/finance/Publication/SOFI_2013_final_LR.pdf,--
Slippery Rock University,2016-02-29,2016-02-29 14:19:03,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:30:35,dweisbor@smith.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/355/6/610/3797/Smith%20College%20Purchasing%20Policies.pdf,"Minority and Woman-Owned Business Policy:
We are committed to actively developing and supporting minority-owned and woman-owned businesses, because we recognize the tremendous value of diversity in our society. We actively seek out and promote partnerships with minority-owned and woman-owned businesses.
",--,--,http://www.smith.edu/purchasing/policies.php,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:21:57,huminskis1@southernct.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/683/6/610/3797/CT%20Statute%20for%20state%20agency%20disadvantaged%20and%20local%20%20contracts.docx,"Guideline:
SCSU as a CT state agency follows the attached policies of awarding 25% of its contracts to small business, and of that 25%, 25% are awarded to minority owned businesses. The language below comes from the Dept of Administrative Services web page, and the url is listed below.

Small/Minority Business Compliance Program (State Agency Compliance Reports)

The Office of Supplier Diversity is in charged with collecting data and determining compliance with Connecticut General Statute 4a-60g regarding the utilization of Small/Minority Businesses for State funded projects. The State of Connecticut DAS/Supplier Diversity forms and instructions are now available below. The Department of Administrative Services has provided the Annual Goals Calculation Report Forms to you in Excel format. This will allow you to complete these forms in a convenient and expeditious manner. Also, you will be able to electronically send these forms to your DAS Supplier Diversity Program Business Development Rep, Stan Kenton, as well as a copy to CHRO’s Representative, Don Braman.

 

    FY 16 Memo to State Agencies
    FY 16 Annual SBE/MBE Goal Reporting Instructions
    FY 16 Annual Goals Calculation Report Forms
    2016 Calendar Year SBE/MBE Goal Reporting Instructions
    2016 Calendar Year Goals Calculation Report Forms

 ",True,25.0,http://das.ct.gov/cr1.aspx?page=282,https://www.cga.ct.gov/current/pub/chap_058.htm#sec_4a-60g
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:23:03,glkurtzhals@siu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Southern Oregon University,2016-03-23,2016-03-23 15:40:01,beigelcod@sou.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Spelman College,2016-02-15,2016-02-15 08:21:40,aefrazier@spelman.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
St. John's University,2016-03-02,2016-03-02 16:31:51,goldsmit@stjohns.edu,2.0,Pursuing,True,,"St. John’s University is committed to assisting minority, women-owned and local business enterprises (M/W/LBE’s) in their long-term growth and development, thereby enhancing the economic stability and vitality of the community it serves through its student body. This commitment is rooted in our tradition as a Vincentian University dedicated to promoting the core values of truth, love, respect, opportunity, excellence and service within the University and in our relationships with the community at large. It also serves to complement the University’s Diversity Initiative, which seeks to identify and address personal, institutional and social injustice.",True,15.0,http://www.stjohns.edu/sites/default/files/documents/adminoffices/ba-2015_-_revised_purchman.pdf,St. John's University understands that supporting small and local businesses is a major part of economic sustainability.  The University buys Bookstore materials and food through local channels and hopes to expand this initiative in the future. 
