Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have an institution-wide stated preference to purchase computers and/or other ...,"A copy of the electronics purchasing policy, directive, or guidelines","The electronics purchasing policy, directive, or guidelines ","A brief description of steps the institution has taken to ensure that the purchasing policy, ...",Does the institution wish to pursue to pursue Part 2 of this credit (expenditures on EPEAT ...,"Expenditures on EPEAT registered desktop and laptop computers, displays, thin clients, televisions, ...","Expenditures on EPEAT Bronze desktop and laptop computers, displays, thin clients, televisions, and ...","Expenditures on EPEAT Silver desktop and laptop computers, displays, thin clients, televisions, and ...","Expenditures on EPEAT Gold desktop and laptop computers, displays, thin clients, televisions, and ...","Total expenditures on desktop and laptop computers, displays, thin clients, televisions, and ...","The website URL where information about the institution's electronics purchasing policy, directive, ...",Public Notes
Juniata College,2016-03-23,2016-03-23 08:07:43,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:15:38,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:29:13,sustainability@knox.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/520/6/506/3784/Sustainability%20Policies.pdf,"Knox College recognizes the impact that more energy-efficient computers and monitors can have on sustainability. By saving energy, reducing heat loads within buildings, and encouraging recycling and industry best practices, Electronic Products Environmental Assessment Tool (EPEAT) certified products can further Knox's sustainability goals while saving the institution money. Knox College purchases EPEAT Silver or higher computers and monitors, and encourages the purchase of EPEAT certified specialty electronics whenever possible.",Computer and electronics purchases for school use are almost exclusively approved conducted through the IT Department and Audio-Visual Department.  The head of each department is aware of the purchasing policy and responsible for aligning department activities with it. ,True,**,--,102000.0,--,125000.0,http://www.knox.edu/Documents/Sustainability/Sustainability_Policies.pdf,--
Lehigh University,2016-02-29,2016-02-29 00:26:03,sustainability@lehigh.edu,2.0,Pursuing,True,,"We handle this at the RFP level, requesting EPEAT Silver or better.  There is no institution wide policy or guideline YET, however we are currently in the approval process for the new Sustainable Purchasing Policy, which will include EPEAT silver requirements for electronics.  The policy is with Lehigh's Sustainability Coordinator for review.
Update as of 12/17/15 - policy still in review, being presented to campus January 2016.",We manage compliance through review of purchase requests and by making bulk PC purchases as a result of RFP processes.   EPEAT silver was a requirement for the fiscal year 2015 bulk pc purchase.,True,**,--,104365.0,--,104365.0,--,"The quoted spending above is specifically for computers purchased by the IT department for public spaces only.  It does not include monitors, thin clients, etc or any private department purchases, which cannot track EPEAT at this time."
Lewis & Clark College,2016-03-18,2016-03-18 17:07:56,advorak@lclark.edu,2.0,Pursuing,True,,"See full Sustainable Purchasing Policy. Purchase of EPEAT Gold rated computers and monitors, whenever practical.",The Purchasing Manager works with the IT department to develop a list of certified products and tracking purchasing. ,True,**,--,--,312766.0,487925.0,http://www.lclark.edu/live/files/16648-sustainable-procurement-policy,--
Loyola Marymount University,2016-03-23,2016-03-23 14:00:59,ian.mckeown@lmu.edu,2.0,Pursuing,True,,"LMU is a registered EPEAT purchaser. In regards to purchases the focus is on energy conservation and environmental factors in alignment with our energy goals and sustainability policies. All base model standard options for desktop and laptop computers fall into the gold category of the EPEAT rating system. Only when specific needs are required will the purchases not consist of these standard options; in this case, they may or may not fall into the EPEAT list of products. ",The vast majority of computers are at EPEAT gold stadard.  All the Apple systems and Lenovos are gold while most of the HP systems are too.,True,**,--,--,1398400.0,1472000.0,http://www.lmu.edu/sites/Community_home/green/The_Campus/Business_Services.htm,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:21,adurnbaugh@luc.edu,2.0,Pursuing,True,,"SUSTAINABILITY

Whenever possible, Loyola purchases only Energy Star certified equipment and makes every attempt to choose EPEAT silver or gold-certified desktops, laptops, printers and monitors. We encourage all Loyola students, staff and faculty to consider sustainable information technology equipment.",We work with our vendor to identify EPEAT certified equipment for our standard configuration purchases. ,True,**,2187.0,6964.0,812152.0,849694.0,http://www.luc.edu/its/resources/technologypurchases/departmentaltechnologypurchases/,This is information from Fall of 2013.
Macalester College,2016-01-06,2016-01-06 13:02:44,shansen2@macalester.edu,2.0,Pursuing,True,,Macalester only purchases ePeat gold and silver certified computers and Energy Star certified printers.  Macalester's e-waste and used equipment is sent to a materials recycler. ,"Macalester purchases computer desktops, laptops and monitors with a gold or silver Electronic Product Environmental Assessment Tool (EPEAT) rating.",True,**,--,10741.73,514272.81,526833.42,http://www.macalester.edu/its/about/sustainability/,--
Maryville College,2016-02-11,2016-02-11 15:37:29,adrienne.schwarte@maryvillecollege.edu,2.0,Pursuing,True,,"We have a variety of brands of technology equipment on campus.  Most recently we have purchased Konica Minolta printers and multifunction devices along with Dell computers.  Our standard computer model is the Dell 9020M which is ENERGY STAR 5.2 qualified and EPEAT registered.  Our student printers are the Konica Minolta C454e model, which are EPEAT gold certified and have an “Eco-indicator” that monitors paper, toner, and energy usage.","The purchasing of our technology equipment is funneled out of our Information and Instructional Technology Departments and, therefore, the purchasing and selection is made through primarily one location to maintain ease of focus on purchasing EPEAT and sustainability standard equipment.  ",--,**,--,--,--,--,--,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:44:56,slanou@mit.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,"Total expenditure is the sum of procurement orders labeled ""IT Hardware - Desktop"" in FY2013. This figure was calculated by Chaewon Ahn and Jeff Treviño as part of Professor John Fernández's MIT Material Flow Analysis, using records from MIT Procurement."
McMaster University,2016-02-19,2016-02-19 09:37:19,naeemsh@mcmaster.ca,2.0,Pursuing,True,,"
","A green procurement template has been developed and is included in all procurement documents to ensure that all procurements are in compliance. .  

 All electronic purchasing is from Dell Energy Star.products.  http://www.mcmaster.ca/bms/BMS_Purchasing_Resources.htm#dell",--,**,--,--,--,--,http://www.dell.com/downloads/global/products/optix/en/EPEAT_Dell_Overview.pdf,--
Miami University,2016-03-02,2016-03-02 14:17:40,kliney@miamioh.edu,2.0,Pursuing,--,,,,True,**,--,166214.0,1648301.0,3058730.0,--,--
Michigan State University,2016-02-16,2016-02-16 09:19:12,erhardt7@msu.edu,2.0,Pursuing,True,,"MSU's Purchasing unit provides guidelines for Sustainable purchasing including EPEAT, located at https://usd.msu.edu/sustainability/buying-tips/index.html ",General sustainability guidelines and information are posted at https://usd.msu.edu/sustainability/index.html,--,**,--,--,--,--,https://usd.msu.edu/sustainability/index.html,--
Middlebury College,2016-03-25,2016-03-25 14:01:46,jmbyrne@middlebury.edu,2.0,Pursuing,True,,"Library and Information Services (LIS) provides a single office computer to each faculty and staff member who requires one for performance of job responsibilities. This is a College-owned computer and remains at the College when the faculty or staff member leaves Middlebury. LIS does not provide desktop computers for use at home.  A laptop is encouraged for faculty members with long-term appointments to expedite a computing environment in which faculty may use the computer in the office, at home, and in the classroom. Printing is done via the network to departmental printers.  Middlebury College’s Library and Information Services policy is to purchase computers and other electronics that are Electronic Product Environmental Assessment Tool (EPEAT) certified...",Library Information Services Staff is in charge of all computer purchasing on campus and it is their practice to purchase EPEAT Gold computers and monitors.,True,**,--,--,732485.0,732485.0,http://www.middlebury.edu/about/handbook/lis/computing_facstaff,--
Mills College,2016-02-29,2016-02-29 23:53:38,ngaetjens@mills.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/466/6/506/3784/Desktop%20Computing%20Services%20Hardware%20Policy.docx,,"The ITS department at Mills College manages all purchasing of this type of equipment, any equipment not purchased through our department we do not support and does not get any of the Mills College licensure.

We have a standard for both PC’s and Mac’s, and the standard computers are all on the EPEAT Silver or higher lists.",True,**,--,--,188516.29,188516.29,http://www.mills.edu/green,All models of computers and monitors we purchase are on the Gold EPEAT list. Please note the dollar figure is an estimate.
Mount Holyoke College,2016-01-25,2016-01-25 09:09:57,neapple@mtholyoke.edu,2.0,Pursuing,True,,"Mount Holyoke College
Green Computer Purchasing Policy
March 2012
 
 
Mount Holyoke College is committed to using greener equipment and implementing practices that are environmentally friendly and promote sustainability.  Our green computer purchasing policy is a reflection of that commitment. 
 
Benefits of Green Computers
 
Green computers save electricity, reduce greenhouse gas emissions, prevent water pollution emissions, reduce use of toxic materials and reduce the need for disposal of hazardous waste.
 
Certifications
 
Electronic Product Environmental Assessment Tool (EPEAT) is an easy-to-use, on-line tool helping institutional purchasers select and compare computer desktops, laptops and monitors based on their environmental attributes.  EPEAT was developed using a grant by EPA and is managed by the Green Electronics Council (GEC). It is dedicated to informing purchasers of the environmental criteria of electronic products.
 
EPEAT-registered computer products have reduced levels of cadmium, lead, and mercury to better protect human health, and are easier to upgrade and recycle, in addition to meeting the government's Energy Star guidelines for energy efficiency. By buying EPEAT registered products, purchasers are significantly contributing to reducing the environmental impacts of their computers.
EPEAT products are measured against both required and optional criteria. A product must meet all of the required criteria in its category to be added to the registry. It is then rated Bronze (meets all required criteria), Silver (meets all required criteria, plus 50% of optional criteria) or Gold (meets all required criteria, plus 75% of optional criteria), depending on how many of the optional criteria it meets.
 
Energy Star is a joint program of the U.S. Environmental Protection Agency and the U.S. Department of Energy helping to protect the environment and save money through energy efficient products and practices.

Products and Purchasing
 
All standard computer desktop and laptop configurations at Mount Holyoke College are EPEAT Gold or Silver products.  In addition, all computers purchased by Mount Holyoke College meet Energy Star requirements to reduce their impact on the environment. 

The College preference is that all future computer purchases are Energy Star-certified and meet the standard of EPEAT Silver or higher. ","The policy is an operational policy of Library, Information and Technology Services.  Exceptions from the policy require approval by an officer.
",True,**,--,42151.89,284153.16,326305.05,--,--
Muhlenberg College,2016-03-23,2016-03-23 10:26:00,kprocyk@muhlenberg.edu,2.0,Pursuing,True,,"•	Muhlenberg College has an institution-wide stated preference to purchase Electronic Product Environmental Assessment Tool (EPEAT) Silver or higher products. As of now, all of our computer purchases are EPEAT Gold.

•	Regarding our computer purchasing policy, we make sure all of our computer purchases are EPEAT Gold. This policy of only purchasing EPEAT Gold was put into place recently. Also, by the end of this fiscal year, almost half of our computer equipment will meet the gold standard. 


","•	Concerning our guidelines, all purchases go through the Office of Information Technology (OIT)- no departments are allowed to purchase individual equipment. If a department does try to purchase something, it has to go through Muhlenberg’s purchasing office, and they will redirect it to OIT before the purchase is made. All purchases are kept at the institutional level, so the department will not feel as if it’s the equipment belongs to them. This way, if the equipment is needed more elsewhere, it can be given to another department. There is NO ownership of the equipment at the department level. ",True,**,--,--,264825.0,264825.0,http://www.muhlenberg.edu/main/aboutus/oit/technology/green_oit.html,--
Naropa University,2016-02-29,2016-02-29 17:16:34,acook@naropa.edu,2.0,Pursuing,True,,We only buy EPEAT registered products through Dell and some through Apple,All computers and supporting electronics must be purchase through our IT department and they follow EPEAT guidelines. ,--,**,--,--,--,--,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:26,lindsay_batchelor@ncsu.edu,2.0,Pursuing,True,,http://oit.ncsu.edu/it-purchases/,"All campus entities must purchase a minimum of 80% of their laptop and desktop computers through the consolidated IT purchasing program.  The consolidated IT purchasing program was legislatively mandated and the task group convened to carry out the program included the requirement to purchase environmentally friendly models as part of the specifications it drew up. To be eligible for inclusion, all computers included in the program must meet EPEAT Gold standards. 

A campus governance structure was put into place to review computer purchases and approve exceptions when necessary. The purchasing department notifies the Chief Information Officer and Chief Financial Officer as well as individual units at least annually with whether purchases are meeting the standards and goals of the program. 

At this time the program does not include Apple computers, however, all Apple computers meet EPEAT Gold standards.",--,**,--,--,6087014.83,--,http://oit.ncsu.edu/it-purchases/,--
Northern Arizona University,2016-02-23,2016-02-23 18:51:55,Ellen.Vaughan@nau.edu,2.0,Pursuing,True,,"http://nau.edu/Contracting-Purchasing-Services/_Forms/Policies/204/
 
All solicitations are  pursuant to A.R.S. §34-451, the University is required to purchase ENERGY STAR® products or those certified by the Federal Energy Management Program as energy efficient in all categories available.  ",The requirement is inserted in all solicitations and the policy is published on the website.,--,**,--,--,--,--,--,--
Oberlin College,2016-03-21,2016-03-21 16:09:35,bflynn@oberlin.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/283/6/506/3784/CIT%20Green%20Initaitives.pdf,"CIT purchases ENERGY STAR® and EPEAT™ compliant computers and equipment, to the greatest extent possible. The computers, monitors, and printers we use and sell are all ENERGY STAR® compliant. The Apple and HP computers we use and sell are rated EPEAT™ Gold.","Computers are purchased centrally by the Center for Information Technology, which is committed to identifying and purchasing ENERGY STAR and EPEAT equipment, to the greatest extent possible.",True,**,--,--,712500.0,750000.0,http://new.oberlin.edu/office/cit/about/green-initiatives.dot,--
Ohio University,2016-03-23,2016-03-23 07:56:51,goetze@ohio.edu,2.0,Pursuing,True,,"All of the laptops and desktops sold by Bobcat Depot are certified EPEAT Gold, meeting the highest criteria for environmental performance.

Most, if not all, computers offered through the university e-purchasing system, Bobcat Buy, are EPEAT registered.

University-wide stated preferences can also be found at http://www.ohio.edu/sustainability/programs/Procurement.cfm","It is difficult to buy a university-owned computer except through Bobcat Depot or Bobcat Buy.  It is possible to use a university-issued credit card (P-card) to buy a computer, but such P-card purchases are frowned upon.",True,**,1291.36,41975.97,5176850.68,5745952.0,http://bobcatdepot.ohio.edu/main/SiteText.aspx?id=22548,Data is from FY14.
Onondaga Community College,2016-02-26,2016-02-26 16:33:48,vormwals@sunyocc.edu,2.0,Pursuing,True,,"Below is an excerpt from Onondaga's Sustainability Policy:

""Electronic Equipment and Appliances: Electronic equipment and appliances must be Energy Star labeled for equipment that is eligible for an Energy Star label. Electronic equipment should also meet the standard for Electronic Product Environmental Assessment Tool (EPEAT) Silver or Gold rating whenever possible.""",The purchasing department buys electronic equipment consistent with these guidelines whenever possible.,--,**,--,--,--,--,--,--
Oregon State University,2016-03-30,2016-03-30 14:49:22,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,"Special thanks to Andrea Desimone at Green Electronics Council for helping with data analysis. 
"
Pennsylvania State University,2016-03-21,2016-03-21 11:48:36,mme2@psu.edu,2.0,Pursuing,True,,"Penn State's Energy Conservation Policy AD-64 states that:
- Computers purchased with University funds are required to be ENERGY STAR and EPEAT labeled unless suitable justifications are approved by the appropriate budget executive. 
- Office equipment purchased with University funds is required to be ENERGY STAR labeled unless approved by the responsible budget executive.  See http://guru.psu.edu/policies/AD64.html
In addition, Penn State's Purchasing Department guidelines state that:
""We encourage suppliers to identify products, services, or processes that promote environmental stewardship. In addition to the requested bid, suppliers are encouraged to offer an additional bid for products, services, or processes that are more environmentally friendly.""  See http://auth.abservices.psu.edu/Purchasing/stewardship.cfm for additional information","Budget Executives in each administrative area are charged with responsibility for implementing AD 64, which includes language about EPEAT requirements.  Purchasing staff also are expected to comply with the policy.

Purchasing includes Penn State's environmental policy and requirements on all our bids and purchase orders, and do not accept product or include vendors who do not meet these requirements.  http://www.purchasing.psu.edu/environmental.shtml",True,**,1000000.0,12000000.0,7000000.0,23000000.0,http://guru.psu.edu/policies/AD64.html,"Estimate of total expenditures, and total EPEAT expenditures, on computers and displays were provided by Purchasing. Lacking data on the breakdown among EPEAT levels, and with the general information (from Purchasing) that very few are Bronze level and most standard bundles are Gold, and most purchases are standard bundles, we provide a conservative estimate of the breakdown above."
Pittsburg State University,2016-03-24,2016-03-24 14:46:42,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Pitzer College,2016-02-22,2016-02-22 14:38:39,warren_biggins@pitzer.edu,2.0,Pursuing,--,,,,--,**,--,--,--,--,--,--
Plymouth State University,2016-02-29,2016-02-29 11:42:22,bweisenhauer@plymouth.edu,2.0,Pursuing,True,,"Must be energy star equipment, and e-waste disposal in handled by PSU.
Policy for purchases for year in question: https://www.plymouth.edu/webapp/helpdesk/wiki/Buying_Guidelines
",Audits are conducted when purchases are approved.,--,**,--,--,--,--,https://www.plymouth.edu/webapp/helpdesk/wiki/Buying_Guidelines,--
Pomona College,2016-01-11,2016-01-11 17:28:23,alexis.reyes@pomona.edu,2.0,Pursuing,--,,,"Pomona College has no official EPEAT purchasing policy, but purchases EPEAT computers and monitors even in the absence of a policy.",True,**,--,29037.88,258326.5,301224.4,--,--
Portland State University,2016-03-24,2016-03-24 17:19:13,jenny.mcnamara@pdx.edu,2.0,Pursuing,True,,"OIT regularly evaluates these standard configurations to ensure that PSU computers continue to meet standards of pricing, robustness, and compatibility. OIT also recommends and strives to purchase only computer hardware that meets standards for ENERGY STAR® and Electronic Product Environmental Assessment Tool (EPEAT) Gold qualifications. All hardware recommended by OIT is both EPEAT Gold and ENERGY STAR qualified.","The Office of Information Technology (OIT) recommends standard builds for PSU computers. Maintaining standard builds allows OIT to service PSU computers efficiently and ensure their full compatibility with PSU systems, in addition to providing you with the best price based on volume pricing.

Electronics purchases are now being directed through an e-procurement portal in which OIT recommended hardware is the only option for purchase. 
",True,**,--,--,2265185.51,2516872.79,https://www.pdx.edu/oit/psu-computer-hardware,"The above number represents total hardware (computer, monitor, printer, peripheral) purchases in FY15. OIT purchases the majority of computers and monitors for campus labs, and staff/faculty office use, and has a standard for EPEAT Gold and Energy Star certified hardware. For hardware purchased outside of OIT, they recommend the same campus standards for EPEAT Gold and Energy Star. 

OIT estimates that 90% of purchased hardware meet their standards, all of which are EPEAT Gold."
Princeton University,2016-01-20,2016-01-20 17:00:49,kristiw@princeton.edu,2.0,Pursuing,True,,"Environmentally preferable purchasing is an integral part of the Purchasing department’s focus as we administer our contracts portfolio. For electronics specifically, we seek out those that are EPEAT™ registered. It is part of our selection criteria when defining “standards” for any electronic item we are going to use on the campus, and a standard our students demand and expect as well.",EPEAT™ registered are part of our selection criteria when defining “standards” for any electronic item we are going to use on the campus.,True,**,--,--,2300000.0,2300000.0,--,--
Principia College,2016-01-30,2016-01-30 21:54:21,karen.eckert@principia.edu,2.0,Pursuing,--,,,"Principia has been committed to purchasing only ENERGY STAR appliances for more than a decade. Inspired by this STARS audit, the Office of Information Technology has requested help from the Center for Sustainability in developing a ""Green Electronics Purchasing Policy"" (currently in process). We are a small institution with close coordination among purchasing agents and transparent record-keeping.",--,**,--,--,--,--,--,--
Purdue University,2016-02-26,2016-02-26 16:45:03,mgulich@purdue.edu,2.0,Pursuing,True,,"Purchasers are directed to established suppliers (Apple, Dell, HP) when sourcing PC equipment.  Many of these suppliers’ products are Energy Star and EPEAT qualified. Information on environmentally friendly products and services can be found at the following link: 
http://www.purdue.edu/business/procurement/howtobuy/purchasing/greensuppliers.html
","The West Lafayette campus of Purdue University has engaged in a Strategic Sourcing initiative to direct as many purchases of desktop computer-ware as possible to a limited number of suppliers and a fixed list of products, most of which are EPEAT registered. This is a preference but not a mandate or policy. The procurement web pages showcase the selected equipment, most of which is EPEAT. Approval of the purchase requires fiscal authorization which validates that the purchase is from the list of approved suppliers.  This is required for many IT purchases. ",True,**,26284.68,2341259.57,5151242.17,8204895.85,--,--
Randolph College,2016-02-26,2016-02-26 14:25:14,llemaitre@randolphcollege.edu,2.0,Pursuing,True,,"Information Technology (IT) switched its 50 physical servers to only three physical servers managing 50 virtual ones, therefore reducing its annual energy cost by $30,000.
IT also standardized the use of Century Gothic font for all computers, reducing ink consumption by 31% compared to Arial.
Additionally, IT established quick-printing stations that can receive jobs from anywhere on campus but hold printing until students swipe their campus ID card, resulting in thousands of dollars’ worth of paper and ink saved from documents that end up never getting retrieved.
Finally, IT systematically buys STARS rated equipment, and when compatible, EPEAT rated ones.","The IT department has a contract with Dell to purchase computers, and every new computer must at least be Energy Star or EPEAT silver",--,**,--,--,--,--,http://www.randolphcollege.edu/x17669.xml,--
Rice University,2016-03-25,2016-03-25 16:31:13,rrj@rice.edu,2.0,Pursuing,True,,All PCs purchased by Rice University are EPEAT and Energy Star certified and may contain recycled components. These standards are managed by both the office of procurement and the IT department. The IT department will make recommendations to the office of procurement who will then standardize those models across the university so that all PCs purchased after July 1st will meet those standards.,"Effective July 1st, all electronics purchases are made through the Procurement office who standardizes which computers members of the institution may purchase. These computers are standardized to be EPEAT and Energy Star certified. Professors, faculty, and staff are not allowed to purchase any electronic devices outside of the standard machines to ensure that all PCs on campus are EPEAT and Energy Star certified.",--,**,--,--,--,--,--,--
Rochester Institute of Technology,2016-03-25,2016-03-25 15:52:15,elcpro@rit.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,RIT is working to draft an EPEAT Purchasing Policy and will be included in the next STARS report. 
Saint Louis University,2016-03-24,2016-03-24 17:16:05,bverhof1@slu.edu,2.0,Pursuing,True,,"SLU works in collaboration with CDWG to select standards for our technology environment that helps to ensure that all computers and monitors are EPEAT Gold or Silver certified.  

The Electronic Product Environmental Assessment Tool, or EPEAT, is an on-line tool designed to help institutional purchasers select and compare computer desktops, laptops and monitors based on their environmental attributes. ",Technology purchases are routed to Information Technology Services to confirm standards prior to purchasing technology equipment in order to ensure that SLU and EPEAT standards are observed.,True,**,--,2127.52,882525.75,910998.33,http://www.cdwg.com/shop/custompages/default.aspx?CustomPageKey=E8B5BC41B6C94C628D2B2C6DBCFA221C,http://www.slu.edu/facilities-services-home/sustainability/campus-operations/purchasing
San Francisco State University,2016-03-25,2016-03-25 17:32:58,kordesch@sfsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Santa Clara University,2016-02-26,2016-02-26 20:44:36,lkalkbrenner@scu.edu,2.0,Pursuing,--,,,"While there is no policy in place, environmental impact questions are asked and factored into computer vendor purchasing decisions.",True,**,--,--,1500000.0,1500000.0,--,--
Seattle University,2016-03-23,2016-03-23 11:52:01,thompson@seattleu.edu,2.0,Pursuing,--,,,,--,**,--,--,--,--,--,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:27,mpate@sewanee.edu,2.0,Pursuing,True,,"The Sustainability Master Plan, passed in June 2013, contains specific language that calls for purchasing electronic products that are EPEAT Silver or higher. ",Sewanee has made the practice for several years to become more energy efficient with not only desktop/laptops but also our HP enterprise blade systems and technology that we purchase - with use of virtualized servers now instead of purchasing racks and racks of 1-up units and have a SAN in place for data storage.,True,**,--,--,143198.0,143198.0,http://www2.sewanee.edu/its,"Sewanee standardizes on HP and Apple systems.  The HP EliteBook and ProBook series are the models purchased over the past 3-4 years.  For the HP desktop systems, we have purchased the last couple years or so the 8000 series systems.  We match HP L series displays with the desktop systems issued to faculty and staff for office work.  Apple systems are MacBook Pro models (15 and 15.4"") and iMac 21.5"" and 27"" models.
"
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:06,andre.plante@sheridancollege.ca,2.0,Pursuing,--,,"Although Sheridan College does not currently have an institution-wide preference for EPEAT registered electronics, we have stated in an RFP that we prefer this type. The vendor was required to provide this information in their proposal.

Sheridan supports the values of sustainability, social responsibility and fair labour practices. We are guided by our Sustainability Policy, Mission Zero, and Integrated Energy and Climate Master Plan (IECMP), where practical. In support of these documents and institutional targets, we will incorporate sustainability into procurement practices for all formal bid opportunities, and give favourable consideration in its evaluation process to goods and services that reflect Sheridan’s commitment to sustainability and broader social responsibility.","Though there is no electronic purchasing policy, all electronic purchases must adhere to the rules of the Sheridan Purchasing Policy. The institution ensures that sustainability be a preference in all purchases including electronics. 

In 2013, Sheridan purchased EPEAT registered multifunctional devices for all four campuses. The GREEN printers reduce Sheridan’s carbon footprint related to printing through reductions in paper usage, electrical consumption, toner and supplies, and general waste.",True,**,--,347983.0,7772038.0,10063702.0,--,--
Simon Fraser University,2016-02-08,2016-02-08 23:41:36,erica_lay@sfu.ca,2.0,Pursuing,--,,,,True,**,--,55849.97,3580712.42,3636562.4,--,--
Slippery Rock University,2016-02-29,2016-02-29 14:18:46,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:28:39,dweisbor@smith.edu,2.0,Pursuing,True,,"All campus-standard Dell and Apple computers purchased by ITS and sold by the Smith College Computer Store meet the ePEAT* Gold standard, the RoHS** standard, and the Energy Star 5.2 standard.","All campus-standard Dell and Apple computers purchased by ITS and sold by the Smith College Computer Store meet the ePEAT Gold standard, the RoHS standard, and the Energy Star 5.2 and 6 standard.",True,**,--,--,850000.0,850000.0,http://www.smith.edu/its/green/index.html,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:20:05,huminskis1@southernct.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:21:24,glkurtzhals@siu.edu,2.0,Pursuing,True,,"As a standardized campus regarding technology purchases, all computers, regardless of chassis type, and peripherals such as monitors, printers etc purchased by Southern Illinois University are done so through our Dell and Apple contracts. The technology we focus on purchasing are all business class lines of computers and each restricted to a minimum set of specification configurations. We refrain from consumer line purchases. Both Dell and Apple have a long list of EPEAT Gold, Silver and Bronze rated models that we purchase regularly in their business class lines.","All technology purchase requests are to be directed to our Information Technology department. IT will review each order to be sure each meets the minimum standards for campus purchases. Our contract configurations have ESTAR SKUs embedded without the ability for an end user to change them ensuring we receive EPEAT rated product. If a requested configuration meets the standards set for campus, the order is approved. If a requested configuration does not meet IT standards, the request is denied until the submitted configuration is compliant.",--,**,--,--,--,--,--,In progress of obtaining numbers for part 2 credit 
Southern Oregon University,2016-03-23,2016-03-23 15:38:01,beigelcod@sou.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/239/6/506/3784/Green-Purchasing-Policy.pdf,,"The SOU IT Department has selected vendors who have demonstrated a commitment to green purchasing in general, and EPEAT, specifically. The majority of computer purchasing is handled centrally, so the SOU IT Department can ensure that all machines are EPEAT certified prior to purchase.

Our ""standard"" models for PC desktop and notebook purchases are EPEAT gold (Dell Optiplex, Dell Latitude).  Likewise, our standard for Mac desktop and notebook purchases are EPEAT gold (Macbook, Macbook Pro, iMac 21"").
",True,**,--,193447.0,300588.0,494035.0,http://www.sou.edu/sustainable/action.html,--
Spelman College,2016-02-15,2016-02-15 08:21:23,aefrazier@spelman.edu,2.0,Pursuing,--,http://stars.aashe.org/media/secure/616/6/506/3784/Spelman%20College%20Energy%20Management%20Policy.pdf,"EQUIPMENT POLICY
Energy-Efficient Equipment Purchases - All College equipment purchases must be Energy Star-rated (or, if there is no Energy Star rating for the desired equipment, individuals are asked to purchase highly efficient equipment). Energy Star is a program helping businesses and individuals protect the environment through superior energy efficiency (for further details please see http://www.energystar.gov). EPA offers a proven strategy for superior energy management with tools and resources to help each step of the way. Based on the successful practices of Energy Star partners, purchasing Energy Star-rated equipment will improve the College's energy and financial performance while distinguishing our institution as an environmental leader.
Computers: All new computer and peripheral equipment purchases will carry the Energy Star rating. Suggested guidelines for energy efficiency include turning off processors or monitors when not in use, and turning off copiers and printers every evening. These steps save energy and reduce heat build-up. 
",The Purchasing Department reviews all Purchase Order requests for equipment for compliance with the policy,--,**,--,--,--,--,--,--
St. John's University,2016-03-02,2016-03-02 16:31:32,goldsmit@stjohns.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/61/6/506/3784/ba-2015_-_revised_purchman.pdf,"All Fall 2015-Spring 2016 technology options are EPEAT Gold Rated.
Information on these models can be found at http://www.stjohns.edu/about/administrative-offices/operations/information-technology/fall-laptop-information.","Please refer to ""SPECIAL PROCUREMENT POLICIES"" for general guidelines.",True,**,--,--,1400000.0,1400000.0,--,*Total expenditures reported only include purchase of Freshman/Transfer student personal computers due to the available information.
