Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the the institution employ Life Cycle Cost Analysis (LCCA) as a matter of policy and practice ...,Does the institution employ LCCA as a matter of policy and practice across the operations of the ...,A brief description of the LCCA policy(ies) and practice(s),The website URL where information about the institution’s LCCA policies and practices is available,Public Notes
Pomona College,2016-01-11,2016-01-11 17:28:43,alexis.reyes@pomona.edu,2.0,Pursuing,True,--,"In the Sustainability Action Plan for the College, adopted in 2011, the Green Building Standards require life cycle cost analyses on major building systems.  Stated in the Executive summary:
New Construction/Major Renovation
These updated standards focus on events, analyses, and reports throughout the programming, design,
construction, and project completion phases of a project, including:
>> A sustainability workshop during the programming phase
>> Life cycle cost analysis on major building systems
>> Cost-benefi t analysis of building systems and features
>> Sustainability report upon project completion

>> During the schematic design phase, the project team must engage in the following activities:66
- Develop renewable energy goals
- Refi ne/confi rm sustainability initiatives
- Life cycle cost analysis Generation of a life cycle cost report to compare design alternatives,
considering systematically the impacts of building systems on each other. At a minimum, the
following major building systems must be examined using life cycle cost analysis:
- Mechanical: HVAC equipment and controls, energy sources
- Electrical: lighting sources and controls
- Envelope: roofi ng, insulation/mass, glazing
- Develop preliminary energy model

>> During the design development phase, the project team must engage in the following activities:67
- Life cycle cost analysis update Update on life cycle cost report for whole building and
decisions made on building systems and other features

Project completion
>> All project teams must collaborate with the Sustainability Integration Offi ce to produce a report
detailing sustainability-related project features, a review of initial sustainability goals/objectives and
whether they were fulfi lled, and relevant life cycle cost analyses. This report must be cataloged and
available online.

Minor Renovation/Projects
The process for projects of at least $5 million that otherwise do not constitute “new construction or major
renovation” should include a sustainability workshop, the use of life cycle cost analysis for major building
systems, and other activities to ensure an efficient and high-performing facility.

Pomona College Campus Planning Guidelines:
Projects that increase square-footage above the existing 2010 base will include a feasibility study to
determine the effects of a net-zero increase in energy use and carbon emissions for the additional
square-footage. The evaluation should include programmatic, aesthetic, and fi rst and life-cycle
cost considerations.",http://www.pomona.edu/administration/sustainability/introduction,--
Portland State University,2016-03-24,2016-03-24 17:21:22,jenny.mcnamara@pdx.edu,2.0,Pursuing,--,--,,--,--
Princeton University,2016-01-20,2016-01-20 17:01:10,kristiw@princeton.edu,2.0,Pursuing,True,--,A LCCA is part of the budgeting process for every major energy plant equipment purchase and most purchases of large energy consuming devices or building energy systems on campus.,--,--
Principia College,2016-01-30,2016-01-30 21:54:41,karen.eckert@principia.edu,2.0,Pursuing,--,--,,--,--
Purdue University,2016-02-26,2016-02-26 16:45:23,mgulich@purdue.edu,2.0,Not Pursuing,--,--,--,--,--
Randolph College,2016-02-26,2016-02-26 14:25:35,llemaitre@randolphcollege.edu,2.0,Not Pursuing,--,--,--,--,--
Rice University,2016-03-25,2016-03-25 16:33:16,rrj@rice.edu,2.0,Not Pursuing,--,--,--,--,--
Rochester Institute of Technology,2016-03-25,2016-03-25 15:54:13,elcpro@rit.edu,2.0,Not Pursuing,--,--,--,--,This is something that RIT is looking to implement in the future.
Saint Louis University,2016-03-24,2016-03-24 17:18:15,bverhof1@slu.edu,2.0,Not Pursuing,--,--,--,--,"At this time no formal documentation is available with regard to the use of LCCA in purchasing evaluation. However, one of Business Services primary responsibilities is to apply principles of value analysis to the purchasing process in order to obtain the best quality for the price and delivery within the desired time frame. They continue to work closely with various schools and departments to proactively negotiate new contracts that have generated substantial cost savings across the University. Initiatives to achieve cost effectiveness and provide tactical price structures with strategic vendor partners have succeeded and have been realized campus-wide. New initiatives and further cost-reduction opportunities will continue to be examined to effectively address the University's growing needs."
San Francisco State University,2016-03-25,2016-03-25 17:34:59,kordesch@sfsu.edu,2.0,Not Pursuing,--,--,--,--,--
Santa Clara University,2016-02-26,2016-02-26 20:45:00,lkalkbrenner@scu.edu,2.0,In Progress,--,--,--,--,--
Seattle University,2016-03-23,2016-03-23 11:54:19,thompson@seattleu.edu,2.0,Not Pursuing,--,--,--,--,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:48,mpate@sewanee.edu,2.0,Pursuing,True,--,"LCCA is used in numerous instances in OESS decision making.
During Green Revolving Fund decision-making, for energy conservation retrofits, a LCCA calculation is always conducted to make the final decision. Unless the project has a high LCCA score, the project is not conducted.

Secondly, a set of Sewanee Green Plus Building Standards has a section applying to LCCA. It explicitly calls for LCCA will be used to make decisions for building design decisions. For example, the new dorm being planned and constructed will have solar panels. This was decided due to LCCA. ",--,--
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:28,andre.plante@sheridancollege.ca,2.0,Pursuing,True,True,"As per the Purchasing Policy, “Sheridan will ensure that purchasing decisions achieve best value for monies expended by seeking supply arrangements which provide the optimum combination of quality, suitability, sustainability, life cycle cost and services.”

Sheridan’s Request for Proposal (RFP) template outlines the institution’s sustainability criteria in which suppliers are requested to provide details on sustainable policies and practices placed. 

As part of the new sustainability policy, Sheridan will aim to increase the grade of practice and extent to which sustainability is practiced in various departments.",--,--
Simon Fraser University,2016-02-08,2016-02-08 23:41:56,erica_lay@sfu.ca,2.0,Pursuing,--,--,,--,--
Slippery Rock University,2016-02-29,2016-02-29 14:19:06,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:30:59,dweisbor@smith.edu,2.0,Not Pursuing,--,--,--,--,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:22:06,huminskis1@southernct.edu,2.0,Not Pursuing,--,--,--,--,--
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:23:25,glkurtzhals@siu.edu,2.0,Not Pursuing,--,--,--,--,--
Southern Oregon University,2016-03-23,2016-03-23 15:40:11,beigelcod@sou.edu,2.0,Not Pursuing,--,--,--,--,--
Spelman College,2016-02-15,2016-02-15 08:21:43,aefrazier@spelman.edu,2.0,Not Pursuing,--,--,--,--,--
St. John's University,2016-03-02,2016-03-02 16:31:54,goldsmit@stjohns.edu,2.0,Pursuing,True,--,"St. John's University conducts a Facility Condition Assessment for all major infrastructure components.  Facilities keeps a running list of high priority capital for annual renewal and replacement with a reoccurring budget that ranges from $15,000,000-$30,000,000, but it is not comprehensive University wide at this time.  ",--,--
Stanford University,2016-03-23,2016-03-23 01:14:00,mbhafer@stanford.edu,2.0,Pursuing,True,True,"Stanford University has a long history of designing and constructing quality building projects. In continuing this tradition, Stanford seeks to ensure that new and renovated buildings meet student, staff, and faculty needs as effectively and efficiently as possible.To this end, Stanford's Department of Land, Buildings and Real Estate has developed a thorough Project Delivery Process (PDP) that addresses all aspects of planning, budgeting, design and construction.

Cost effectiveness is a key component of design at Stanford, and initial project costs are the focus of many activites in the PDP. The long term cost implications of building projects, however, range far beyond initial design and construction expenses.

To improve the cost-effectiveness of its building and renovation programs, Stanford must invest in designs and systems with improved long term performance. The Guidelines for Life Cycle Cost Analysis (LCCA) instruct Project Teams to consider not only the ""first costs"" of a building but also long term costs, including utilities, operations, and maintenance.

The full text of the guidelines can be found online here:
http://lbre.stanford.edu/sites/all/lbre-shared/files/docs_public/LCCA121405.pdf

LCCA reaches beyond the PDP at Stanford to sustainable purchasing broadly across all divisions of the university. For more information on LCCA and purchasing guidelines, please visit:
http://www.stanford.edu/group/fms/fingate/staff/buypaying/policy_notes/sustainable_purchase.html",http://lbre.stanford.edu/sites/all/lbre-shared/files/docs_public/LCCA121405.pdf,--
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:51:20,malichte@esf.edu,2.0,Pursuing,True,--,"The LCCA is used mainly in the construction and operation of the facilities. 
The SUCF directives 1B-7 mandate the design of the building for both renovation and construction to adhere to the requirements of EO 88. Section 4 c requires a detailed payback analysis of each system with the computer analysis utilizing annualized weather data. Appendix A describes the modeling , the bench mark is ASHRAe 90.1-2010 PRM.
LCCA is also used in operations for utility consumption and use / cost projections.
",http://www.sucf.suny.edu/pdf/dir/1B-7.pdf,--
State University of New York at Cortland,2015-10-09,2015-10-09 13:16:09,Beth.Klein@cortland.edu,2.0,Pursuing,True,--,"The LCCA is used mainly in the construction and operation of the facilities. 

The SUCF directives 1B-7 mandate the design of the building for both renovation and construction to adhere to the requirements of EO 88. Section 4 c requires a detailed payback analysis of each system with the computer analysis utilizing annualized weather data. Appendix A describes the modeling , the bench mark is ASHRAe 90.1-2010 PRM.

LCCA is also used in operations for utility consumption and use / cost projections.",http://www.sucf.suny.edu/pdf/dir/1B-7.pdf,--
State University of New York at Geneseo,2016-03-24,2016-03-24 11:00:59,dezarn@geneseo.edu,2.0,Pursuing,--,--,,--,--
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:37,mittenl@newpaltz.edu,2.0,Pursuing,True,--,"LCCA Policies:

Executive Order 88 Guidelines stipulate that life cycle cost analysis is one of the primary assessment tools used to evaluate whether a particular energy conservation measure or an energy-related capital project should be implemented.  When deciding between multiple project alternatives, the alternative with the overall lowest life cycle cost should be the one selected.  The following language is included in the Executive Order 88 Guidelines:

EO88 Guidelines Page 12: 
Although typically not required for ASHRAE Level 2 energy audits, “cost-effective” measures will be determined using Life Cycle Cost Analysis (“LCCA”). A portfolio may include, but shall not be limited to, no-cost and low-cost operational improvements, retro-commissioning, capital energy efficiency retrofits, on-site renewable and high-efficiency combined heat and power, and other measures identified by the CMIT.

1. How are ""required capital projects"" defined? (EO88 Guidelines Page 14)

Any energy efficiency measure, or combination of energy efficiency measures, which result from an energy audit, and are deemed “cost-effective” shall be considered a required capital project. State Entities shall complete, or make substantial progress toward completion, any cost-effective measures identified during an energy audit or similar study within two years of the study’s completion.  Cost-effectiveness shall be determined by a Life Cycle Cost Analysis (“LCCA”). Specific parameters for the LCCA account for:
• Initial Costs—Purchase, Acquisition, Construction Costs
• Fuel Costs
• Documented Operation, Maintenance, and Repair Costs
• Replacement Costs
• Residual Values—Resale or Salvage Values or Disposal Costs
• Finance Charges—Loan Interest Payments

Appendix D - Determining Project Cost-Effectiveness (EO88 Guidelines Page 32)
Executive Order 88 explicitly requires that buildings with low benchmark scores must undergo an ASHRAE Level 2 energy audit.  State Entities must then implement a cost-effective portfolio of measures and complete or make substantial progress toward completion of such measures within two years of the audit.1 For the purposes of EO 88, a project shall be considered cost-effective if the calculated Savings-to-Investment Ratio (“SIR”) is greater than or equal to 1.20. Additionally, when evaluating multiple, mutually exclusive alternatives, the alternative with the lowest life-cycle cost (“LCC”) is considered the most cost-effective and should be selected for installation.

Life Cycle -Cost Analysis Overview (EO88 Guidelines Page 32)
Life-Cycle Cost Analysis (“LCCA”) evaluates the costs and savings that occur from owning, operating, maintaining, replacing, and disposing of an efficiency measure over its lifetime. This method typically discounts costs and savings to reflect the time value of money. Because it accounts for all costs and savings over the full life-cycle of the measure, LCCA provides the most accurate assessment of a project’s long-term cost-effectiveness. Applying LCCA ensures that State Entities maximize savings opportunities and will ultimately help achieve the goals of EO 88.

LCCA Practices:

The Office of Campus Sustainability, Facilities Management, and other partners regularly incorporate life cycle cost analysis into day to day practice.  Energy conservation measures in the forthcoming Energy Master Plan will include life cycle cost analysis.  More and more, facilities staff are asking consultants to provide information about life cycle cost analysis of particular building features.  LCC analysis was conducted to evaluate different alternates such as controls, OA reset and other energy saving features for the chiller replacement project for McKenna Theater.  LCC analysis will be used when evaluating energy consuming products and technologies for the Engineering Innovation Hub, a new major construction project.  In the future, the Office of Campus Sustainability will incorporate LCCA when evaluating fluorescent vs. LED bulbs in new construction and major renovation projects.

The Office of Campus Sustainability is supporting Lura Speth and Kevin Saunders in their evaluation of the life cycle cost effectiveness of investing in electricity savings software for campus computers.  The extent that LCCA is used as a matter of policy and practice throughout the entire institution is unknown.",http://www.nypa.gov/BuildSmartNY/Guidelines.pdf,--
Sterling College,2016-01-28,2016-01-28 10:04:29,cfeuerstein@sterlingcollege.edu,2.0,Not Pursuing,--,--,--,--,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:22:44,gotham360@stevens.edu,2.0,In Progress,--,--,--,--,--
Syracuse University,2016-03-25,2016-03-25 15:34:28,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--
Temple University,2016-02-09,2016-02-09 14:47:23,kathleen.grady@temple.edu,2.0,Not Pursuing,--,--,--,--,--
Texas A&M University,2016-01-15,2016-01-15 14:25:04,kwellman@tamu.edu,2.0,Pursuing,--,--,,--,--
Texas Tech University,2016-03-25,2016-03-25 15:48:28,carey.hewett@ttu.edu,2.0,Not Pursuing,--,--,--,--,--
The Ohio State University,2016-01-26,2016-01-26 15:47:04,dial.15@osu.edu,2.0,Pursuing,True,--,"Per the university’s Green Build and Energy Policy adopted in 2008, each qualifying building construction project, a life-cycle cost analyses will be undertaken by a qualified engineer or architect and in accordance with the standards established in ORC 3345.69 (http://codes.ohio.gov/orc/3345.69). This will include an energy systems analysis and the results of these analyses will be a primary consideration in developing the project design",--,--
Tufts University,2016-02-25,2016-02-25 15:40:38,tina.woolston@tufts.edu,2.0,Pursuing,True,--,"The Campus Sustainability Council's report, issued in May 2013, recommended LCCA policies and practices: 

Incorporate life-cycle costing considerations about waste, water, and energy savings
early enough in the project development process so that sustainable options can be
chosen at the point that allows for maximum financial savings or reduces incurred costs.

Institutionalize life-cycle cost analysis throughout all project phases, from initiation
through design and ongoing maintenance.

Provide Life-Cycle costing template in project management toolkit.",http://sustainability.tufts.edu/about-the-office-of-sustainability/sustainability-council-report-released/,--
Tulane University,2016-02-04,2016-02-04 11:04:08,ldavey@tulane.edu,2.0,Not Pursuing,--,--,--,--,--
Unity College,2016-03-25,2016-03-25 15:25:45,JdeHart@unity.edu,2.0,In Progress,--,--,--,--,--
University at Albany,2016-02-23,2016-02-23 17:54:22,mmallia@albany.edu,2.0,Pursuing,True,--,"LCCA Policies:

Executive Order 88 Guidelines stipulate that life cycle cost analysis is one of the primary assessment tools used to evaluate whether a particular energy conservation measure or an energy-related capital project should be implemented. When deciding between multiple project alternatives, the alternative with the overall lowest life cycle cost should be the one selected. The following language is included in the Executive Order 88 Guidelines:

EO88 Guidelines Page 12: 
Although typically not required for ASHRAE Level 2 energy audits, “cost-effective” measures will be determined using Life Cycle Cost Analysis (“LCCA”). A portfolio may include, but shall not be limited to, no-cost and low-cost operational improvements, retro-commissioning, capital energy efficiency retrofits, on-site renewable and high-efficiency combined heat and power, and other measures identified by the CMIT.

1. How are ""required capital projects"" defined? (EO88 Guidelines Page 14)

Any energy efficiency measure, or combination of energy efficiency measures, which result from an energy audit, and are deemed “cost-effective” shall be considered a required capital project. State Entities shall complete, or make substantial progress toward completion, any cost-effective measures identified during an energy audit or similar study within two years of the study’s completion. Cost-effectiveness shall be determined by a Life Cycle Cost Analysis (“LCCA”). Specific parameters for the LCCA account for:
• Initial Costs—Purchase, Acquisition, Construction Costs
• Fuel Costs
• Documented Operation, Maintenance, and Repair Costs
• Replacement Costs
• Residual Values—Resale or Salvage Values or Disposal Costs
• Finance Charges—Loan Interest Payments

Appendix D - Determining Project Cost-Effectiveness (EO88 Guidelines Page 32)
Executive Order 88 explicitly requires that buildings with low benchmark scores must undergo an ASHRAE Level 2 energy audit. State Entities must then implement a cost-effective portfolio of measures and complete or make substantial progress toward completion of such measures within two years of the audit.1 For the purposes of EO 88, a project shall be considered cost-effective if the calculated Savings-to-Investment Ratio (“SIR”) is greater than or equal to 1.20. Additionally, when evaluating multiple, mutually exclusive alternatives, the alternative with the lowest life-cycle cost (“LCC”) is considered the most cost-effective and should be selected for installation.

Life Cycle -Cost Analysis Overview (EO88 Guidelines Page 32)
Life-Cycle Cost Analysis (“LCCA”) evaluates the costs and savings that occur from owning, operating, maintaining, replacing, and disposing of an efficiency measure over its lifetime. This method typically discounts costs and savings to reflect the time value of money. Because it accounts for all costs and savings over the full life-cycle of the measure, LCCA provides the most accurate assessment of a project’s long-term cost-effectiveness. Applying LCCA ensures that State Entities maximize savings opportunities and will ultimately help achieve the goals of EO 88.

LCCA Practices:

The Office of Campus Sustainability, Facilities Management, and other partners regularly incorporate life cycle cost analysis into day to day practice. Energy conservation measures in the forthcoming Energy Master Plan will include life cycle cost analysis. More and more, facilities staff are asking consultants to provide information about life cycle cost analysis of particular building features. LCC analysis was conducted to evaluate different alternates such as controls, OA reset and other energy saving features for the chiller replacement project for McKenna Theater. LCC analysis will be used when evaluating energy consuming products and technologies for the Engineering Innovation Hub, a new major construction project. In the future, the Office of Campus Sustainability will incorporate LCCA when evaluating fluorescent vs. LED bulbs in new construction and major renovation projects.

The Office of Campus Sustainability is supporting Lura Speth and Kevin Saunders in their evaluation of the life cycle cost effectiveness of investing in electricity savings software for campus computers. The extent that LCCA is used as a matter of policy and practice throughout the entire institution is unknown.
",http://www.nypa.gov/BuildSmartNY/Guidelines.pdf,--
University at Buffalo,2016-01-19,2016-01-19 10:15:59,jlk47@buffalo.edu,2.0,Pursuing,True,--,The university employs LCCA practices focusing primarily on renewable energy purchases. LCCA is also used for some Capital Construction decision making on campus.,--,--
University of Arizona,2016-03-25,2016-03-25 15:32:41,bchampion@email.arizona.edu,2.0,In Progress,--,--,--,--,"While the UA does Life Cycle Assessment research and encourages the use of systems thinking in decision making, we do not have a formal requirement for Life Cycle Assessment to be used in decision making and purchasing at this time."
University of British Columbia,2016-02-22,2016-02-22 18:18:45,charlene.ponto@ubc.ca,2.0,Pursuing,--,--,,--,--
"University of California, Berkeley",2016-03-23,2016-03-23 14:26:51,lmcneilly@berkeley.edu,2.0,Not Pursuing,--,--,--,--,--
"University of California, Davis",2016-03-28,2016-03-28 16:32:07,cmkirk@ucdavis.edu,2.0,Pursuing,True,True,"Section V, G. Environmentally Preferable Purchasing, of the UCOP Sustainable Practices Policy states: ""The University seeks to compare the total cost of ownership when evaluating the cost of goods and services for the selection of suppliers. The total cost of ownership includes the initial purchase price and all other initial costs, including installation, freight, taxes and fees where applicable, operating cost, maintenance cost, warranty cost, collection, and end-of-life disposal or recycling costs.""

Total Cost of Ownership (TCO) is required with computer equipment, for example, are required to meet EPEAT bronze standards and they often have a higher rating. EPEAT certification includes life cycle values. TCO is sometimes evaluated in laboratory equipment, for example, such as ultra-low freezers or biological safety cabinets. In an RFP for laboratory equipment in 2011, energy efficiency and consumption values were requested for all research freezers and incubators, for example.  In 2015 and 2016, research freezers again are being evaluated under TCO which includes energy efficiency as well as potential compressor replacements.  Commercial kitchen equipment has largely been converted to energy and water conserving models, often certified by the Food Service Technology Center.

The University of California policies cover life cycle energy and water efficiency, and it applies to all campuses and medical centers, and is largely implemented through comprehensive strategic sourcing. Many RFP’s are developed at the Office of the President in Oakland, and those products and services are then available system-wide. 

Life cycle cost is also emphasized in building design, which includes water and energy efficiency, in policy section A.11.  This is further developed at each campus design standards.  All new buildings are required by sustainability policy to meet at least LEED silver certification.",http://policy.ucop.edu/doc/3100155/Sustainable%20Practices,--
"University of California, Irvine",2016-03-23,2016-03-23 10:33:24,khaq@uci.edu,2.0,Not Pursuing,--,--,--,--,--
"University of California, Los Angeles",2016-03-24,2016-03-24 13:55:50,sustainability@ucla.edu,2.0,Not Pursuing,--,--,--,--,--
"University of California, Merced",2016-02-25,2016-02-25 16:56:30,cmccormick3@ucmerced.edu,2.0,Not Pursuing,--,--,--,--,--
"University of California, Riverside",2016-03-18,2016-03-18 16:23:37,john.cook@ucr.edu,2.0,Pursuing,True,--,"UCR has policies in place for Energy Star and WaterWise equipment. Also, we provide incentives for laboratory equipment to offset the cost of purchasing more energy efficient models. We perform TCO analysis on all major purchases.",--,--
"University of California, San Diego",2016-03-24,2016-03-24 18:52:13,smckinstry@ucsd.edu,2.0,Pursuing,--,--,,--,"We do not currently use an LCCA tool. If there is one available to us, please recommend."
"University of California, Santa Barbara",2016-03-23,2016-03-23 16:15:26,mo@geog.ucsb.edu,2.0,In Progress,--,--,--,--,"Please see http://energy.ucsb.edu/projects/projects.html for sample projects

From UCOP Policy on Sustainable Practices:
Renewable power: energy generated from inexhaustible sources, such as the sun or wind, or from sources that can quickly be replenished, such as biomass. For the purposes of this policy, an energy source is renewable if it has been designated as such by the California Energy Commission (http://www.cpuc.ca.gov/PUC/energy/Renewables/FAQs/01REandRPSeligibility.htm).
Savings by Design: an energy efficiency program offered by California’s four investor-owned utility companies and the Sacramento Municipal Utility District. Savings By Design provides design assistance, energy analysis, life-cycle costing, and financial incentives for new construction and major renovation projects. The Savings By Design program is also known as the Non-Residential New Construction Program."
"University of California, Santa Cruz",2016-03-23,2016-03-23 11:55:32,ekericks@ucsc.edu,2.0,Not Pursuing,--,--,--,--,--
University of Colorado Boulder,2016-03-03,2016-03-03 07:50:07,dave.newport@colorado.edu,2.0,Not Pursuing,--,--,--,--,--
University of Colorado Colorado Springs,2016-03-23,2016-03-23 11:36:11,lkogan@uccs.edu,2.0,Pursuing,True,True,"Life Cycle Costing is required by a number of Colorado State statues and bills. In practice there is a line item added to new state building projects for high performance building. LCC is accomplished mainly through use of energy modeling, analysis of different HVAC and water systems, all with a goal of LEED Gold for all of our new buildings and major renovations.

CCHE  
College and university campus facility master plans and facility program plans are reviewed and approved by CCHE, with the technical assistance of the State Buildings Program on matters of construction standards compliance, appropriation compliance, and operating/life cycle cost studies, including timing and funding sources for future controlled maintenance requirements. Last Revised Approved Policy III-E-2 April 5, 2001

As a Colorado state institution we are bound by state statutes: This statute is from 2004.  
Colorado Statutes : : PART 13 STATE BUILDINGS : 24-30-1304. Life-cycle cost - legislative findings and declaration.

24-30-1304. Life-cycle cost - legislative findings and declaration.
(1) The general assembly hereby finds:
(a) That state-owned and state-assisted facilities have a significant impact on the state's consumption of energy;
(b) That energy conservation practices adopted for the design, construction, and utilization of these facilities will have a beneficial effect on the state's overall supply of energy;
(c) That the cost of the energy consumed by these facilities over the life of the facilities must be considered, in addition to the initial cost of constructing such facilities; and
(d) That the cost of energy is significant, and facility designs must take into consideration the total life-cycle cost, including the initial construction cost, the cost, over the economic life of the facility, of the energy consumed, replacement costs, and the cost of operation and maintenance of the facility, including energy consumption.
(2) The general assembly declares that it is the policy of this state to insure that energy conservation practices are employed in the design of state-owned and state-assisted facilities. To this end the general assembly requires all state agencies to analyze the life-cycle cost of each facility constructed, or each major facility constructed or renovated, over its economic life, in addition to the initial construction or renovation cost.
Source: L. 79: Entire part added, p. 884, § 1, effective July 1.
24-30-1305. Life-cycle cost - application.
(1) The general assembly authorizes and directs that state agencies shall employ design and construction methods for state facilities and design and construction methods for state-assisted facilities under their jurisdiction, in such a manner as to further the policy declared in section 24-30-1304, insuring that life-cycle cost analyses and energy conservation practices are employed in new state-owned and state-assisted facilities and in new or renovated major state-owned and state-assisted facilities.
(2) The life-cycle cost analysis shall include but not be limited to such elements as:
(a) The coordination, orientation, and positioning of the facility on its physical site;
(b) The amount and type of fenestration employed in the facility;
(c) Thermal performance and efficiency characteristics of materials incorporated into the facility design;
(d) The variable occupancy and operating conditions of the facility, including illumination levels;
(e) Architectural features which affect energy consumption; and
(f) An energy consumption analysis of a major facility's heating, ventilating, and air conditioning system, lighting system, and all other energy-consuming systems. The energy consumption analysis of the operation of energy-consuming systems in the major facility should include but not be limited to:
(I) The comparison of two or more system alternatives;
(II) The simulation or engineering evaluation of each system over the entire range of operation of the major facility for a year's operating period; and
(III) The engineering evaluation of the energy consumption of component equipment in each system considering the operation of such components at other than full or rated outputs.
(3) The life-cycle cost analysis performed for each major facility shall provide but not be limited to the following information:
(a) The initial estimated cost of each energy-consuming system being compared and evaluated;
(b) The estimated annual operating cost of all utility requirements, including consideration of possible escalating costs of energy;
(c) The estimated annual cost of maintaining each energy-consuming system; and
(d) The average estimated replacement cost for each system expressed in annual terms for the economic life of the major facility.
(4) The life-cycle cost analysis shall be certified by a licensed architect or professional engineer, or by both architect and engineer, particularly qualified by training and experience for the type of work involved.

(6) Selection of the optimum system or combination of systems to be incorporated into the design of state facilities and state-assisted facilities shall be based on the life-cycle cost analysis over the economic life of the facility, unless a request for an alternative system is made and approved by the department prior to beginning construction.

",http://www.leg.state.co.us/clics/clics2007a/csl.nsf/fsbillcont3/8EFE2CB5022F6CF687257251007C22D3?open&file=051_enr.pdf,"Information about High Performance Building Standard for the state of Colorado that include life-cycle analysis can be found at following site:
https://stars.aashe.org/media/secure/326/2/33/255/High%20Performance%20Buildings.pdf

Senate Bill 007-51 also includes life cycle cost accounting as required for new building  and renovation projects that receive 25% state funding. 
http://www.leg.state.co.us/clics/clics2007a/csl.nsf/fsbillcont3/8EFE2CB5022F6CF687257251007C22D3?open&file=051_enr.pdf"
University of Connecticut,2016-03-25,2016-03-25 18:15:46,rich.miller@uconn.edu,2.0,Not Pursuing,--,--,--,--,--
University of Denver,2016-02-26,2016-02-26 12:38:14,chad.king@du.edu,2.0,Pursuing,True,--,"The identification of potential Lighting, Mechanical and Automation system upgrades is done on the basis not only the potential for energy savings and carbon reduction, but also the ongoing maintenance requirements of the existing systems, and the ASHRAE published median service life expectancy of the equipment or systems being evaluated. Once the system replacement cost and the estimated energy benefit have been identified, we perform a financial payback analysis including the estimated annual maintenance labor savings where applicable. The decision to apply funding to a specific project includes and evaluation of the financial merit along with the environmental benefits and the potential for improving our labor efficiency.
In the past 7 years we have implemented (76) Utility Reserve funded projects, meeting the aforementioned criteria, totaling nearly $2.5 million in cost.",--,--
University of Florida,2016-03-23,2016-03-23 09:06:41,miwilliams@ufl.edu,2.0,Pursuing,True,True,"Life cycle cost analysis shall be used as a design tool to ensure that the design provides the best value to the university. Life cycle cost analysis evaluates investment cost (first cost), utility costs (energy, water use, wastewater disposal), operation and maintenance costs, and periodic replacement costs. Life cycle cost analysis is recommended to guide the following decisions:
High performance building envelope: Test options that create a high performance envelope including high performance glazing, insulation (beyond code required levels), overhangs for sun control, light shelves, etc. Evaluate savings in energy consumption and potential reductions in the cost of mechanical systems that may result. Also consider maintenance and periodic replacement costs of these options.
Energy efficient lighting: Test options that utilize daylighting, energy efficient electric lighting, task-ambient lighting and lighting controls such as daylight dimming and occupancy sensors. Evaluate savings in energy consumption and potential reductions in the cost of mechanical systems that may result. Also consider maintenance and periodic replacement costs of these options.
Mechanical system selection: Test a minimum of three different system options to determine the relationship between first cost and life cycle value. Consider operating costs, maintenance and periodic replacement costs of these options. Depending on the scope of the project, life cycle cost analysis is recommended to guide development of feasibility study(s), to explore potential use of these design strategies and to select the preferred system options prior to engaging in a full life cycle cost analysis.
",http://www.facilities.ufl.edu/leed/resources/lcca.php,--
University of Houston,2016-03-23,2016-03-23 17:22:09,smkelly5@central.uh.edu,2.0,Pursuing,--,--,"LCCA is not a current policy. LCCA has been considered in several cases, primarily with HVAC equipment and roofing systems. Most currently, we are using this type of analysis in LED lighting retrofits. Facilities Management has started using Life Cycle Cost Analysis to determine long-term paybacks on projects. Specifically, LED lighting retrofits use less maintenance, are longer lasting and more cost effective over time. Additionally, when controls are retro-fitted with our new Common Language Controls repair calls are reduced.",http://www.uh.edu/plantops/resources/owners-design-criteria/design-guidelines/,--
University of Illinois at Chicago,2016-02-12,2016-02-12 17:23:53,Cindy@uic.edu,2.0,Not Pursuing,--,--,--,--,--
"University of Illinois, Urbana-Champaign",2016-03-23,2016-03-23 09:19:52,spauldng@illinois.edu,2.0,In Progress,--,--,--,--,--
University of Louisville,2016-02-13,2016-02-13 03:03:01,justin.mog@louisville.edu,2.0,Pursuing,--,--,,--,--
"University of Maryland, College Park",2016-03-23,2016-03-23 15:56:41,sdeleon@umd.edu,2.0,Not Pursuing,--,--,--,--,--
University of Massachusetts Amherst,2015-12-17,2015-12-17 14:45:38,esmall@facil.umass.edu,2.0,Pursuing,--,--,,--,--
