Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution produce the following outreach materials and/or publications that foster ...,Does the institution have a central sustainability website that consolidates information about the ...,A brief description of the central sustainability website,The website URL for the central sustainability website,Does the institution have a sustainability newsletter?,A brief description of the sustainability newsletter,The website URL for the sustainability newsletter,"Does the institution have social media platforms (e.g. Facebook, Twitter, interactive blogs) that ...",A brief description of the social media platforms that focus specifically on campus sustainability,The website URL of the primary social media platform that focuses on sustainability,Does the institution have a vehicle to publish and disseminate student research on sustainability?,A brief description of the vehicle to publish and disseminate student research on sustainability,The website URL for the vehicle to publish and disseminate student research on sustainability,Does the institution have building signage that highlights green building features?,A brief description of building signage that highlights green building features ,The website URL for building signage that highlights green building features ,Does the institution have food service area signage and/or brochures that include information about ...,A brief description of food service area signage and/or brochures that include information about ...,The website URL for food service area signage and/or brochures that include information about ...,Does the institution have signage on the grounds about sustainable grounds-keeping and/or ...,A brief description of signage on the grounds about sustainable groundskeeping and/or landscaping ...,The website URL for signage on the grounds about sustainable groundskeeping and/or landscaping ...,Does the institution have a sustainability walking map or tour?,A brief description of the sustainability walking map or tour,The website URL of the sustainability walking map or tour,Does the institution have a guide for commuters about how to use alternative methods of ...,A brief description of the guide for commuters about how to use alternative methods of ...,The website URL for the guide for commuters about how to use alternative methods of transportation,Does the institution produce navigation and educational tools for bicyclists and pedestrians? ,A brief description of the navigation and educational tools for bicyclists and pedestrians,The website URL for navigation and educational tools for bicyclists and pedestrians,Does the institution have a guide for green living and incorporating sustainability into the ...,A brief description of the guide for green living and incorporating sustainability into the ...,The website URL for the guide for green living and incorporating sustainability into the ...,Does the institution have regular coverage of sustainability in the main student newspaper (either ...,"A brief description of regular coverage of sustainability in the main student newspaper, either ...","The website URL for regular coverage of sustainability in the main student newspaper, either ...",Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of another sustainability publication or outreach material not covered above ...,The website URL for this material (1st material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (2nd material),The website URL for this material (2nd material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (3rd material),The website URL for this material (3rd material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (4th material),The website URL for this material (4th material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (5th material),The website URL for this material (5th material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (6th material),The website URL for this material (6th material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (7th material),The website URL for this material (7th material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (8th material),The website URL for this material (8th material),Public Notes
San Francisco State University,2016-03-25,2016-03-25 17:34:58,kordesch@sfsu.edu,2.0,Pursuing,**,True,"The Office of Sustainability maintains a central website that serves as an introduction to sustainability activities at the university. It focuses on describing sustainability goals, data showing progress towards goals, and ways for the community to get involved through student groups, green teams, and events. ",http://sustain.sfsu.edu/,--,"SF State has a Sustainability email listserv for staff and faculty. Sustainability news is also included in the main campus newsletter, the Campus Memo. The Administration and Finance department newsletter includes a regular sustainability corner.  ",https://gateway.sfsu.edu/distributionlistsubscription,True,"The Office of Sustainability maintains Facebook, Twitter, and Instagram accounts that publicize events, highlight sustainable behavior, and educate the campus about sustainability. https://www.facebook.com/greensfsu, https://twitter.com/greensfsu, https://instagram.com/greensfsu/ ",https://www.facebook.com/greensfsu,True,Urban Planning students have started their own journal that focuses on student projects in Urban Planning.,http://dusp.sfsu.edu/content/urban-action-journal,--,,--,True,"Sodexo, the company that operates SF State's dining center publishes signage, digital screens, and brochures that highlight sustainable food choices, origins of their food, and information on decreasing food waste. ",http://housing.sfsu.edu/housing/content/dining-center,True,"SF State's Grounds department is cultivating a landscape that  maintains urban biodiversity, requires no irrigation with drinking water, and exports no green waste. Signage throughout campus teaches visitors about all the sustainable practices that are in place.",http://sustain.sfsu.edu/landscape,True,"SF State maintains print and digital copies of sustainability maps that allow visitors to find sustainable features on campus. 

http://sustain.sfsu.edu/content/librarys-landscape-learning-laboratory-5",http://sustain.sfsu.edu/content/sustainability-maps,True,"SF State maintains a transportation website that details how to take transit, carpool, walk, or bike to campus. The website is advertised throughout campus on buses and digital screens. ",http://parking.sfsu.edu/transit,True,"SF State maintains a portion of the Parking and Transporation website that focuses on bicycle commuters. Associated Students also has a bicycling page that highlights bicycle events and educational events. 

http://www.sfsustudentcenter.com/sustainability/",http://parking.sfsu.edu/biking,True,SF State publishes a green guide for residents and provides training each semester to resident assistants. ,http://sustain.sfsu.edu/sites/sites7.sfsu.edu.sustain/files/assets/doc/green_guide.pdf,True,"Each semester, a student reporter from the Golden Gate Xpress newspaper is assigned to the Environment/Sustainability beat. Coverage includes events, new sustainability initiatives, and investigations in to new sustainability opportunities. http://goldengatexpress.org/topic/office-of-sustainability/",http://goldengatexpress.org/topic/environment/,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--
Santa Clara University,2016-02-26,2016-02-26 20:44:58,lkalkbrenner@scu.edu,2.0,Pursuing,**,True,"SCU's sustainability website is built upon the framework set by the University's Comprehensive Policy on Sustainability, and aligns with STARS. The website categorizes information into Take Action, Academics, Events and Programs (Student Life), Campus Operations, University Commitments and Policies, and About the Center for Sustainability.

The website also highlights the University's Climate Action Plan, service learning opportunities, FAQs, as well as upcoming events on campus and in the community. The website is a resource for students along with faculty and staff that helps foster a culture of sustainability throughout campus.",http://www.scu.edu/sustainability,True,"Santa Clara University's Center for Sustainability publishes a monthly ""Sustainability Update"" online, which is e-mailed to most students, faculty, and staff. The Sustainability Update highlights sustainability-related projects, news and events around campus, and throughout the community. The e-newsletter also profiles students, faculty and staff that go out of their way to promote sustainability, and offers tips and information on how to live more sustainably.",https://www.scu.edu/sustainability/takeaction/newsletter,True,"The Center for Sustainability maintains an online social media presence via Facebook, Twitter, Instagram, YouTube, and Pinterest.
Facebook: http://www.facebook.com/sustainablescu
Twitter: @SustainableSCU
Instagram: @SustainableSCU
YouTube: http://www.youtube.com/user/sustainabilityintern
Pinterest: http://www.pinterest.com/sustainablescu/",https://scu.edu/sustainability/about/socialmedia,True,"The Sustainability website houses student research from courses, fellowships, and the Sustainable Living Undergraduate Research Project.",https://scu.edu/sustainability/academics/research,True,"Signage is located in many venues across campus. The Commons at Kennedy Mall is SCU's sustainable design demonstration building. The Commons is a living lab that the University uses for classes, meetings, as well as a testing ground for sustainable components that may be used in upcoming projects. Signs throughout the building highlight the sustainable building features. Signage throughout campus indicate that landscaping is watered with recycled water. There are also informational signs near all waste bins (landfill, recycling, and compost).",https://scu.edu/sustainability/operations/buildings/design,True,"Throughout the Marketplace, SCU's main dining hall, Dining Services by Bon Appetit posts information about local agriculture and other ways diners can reduce their carbon footprint through the way they eat. Bon Appetit also provides brochures about their sustainable food initiatives, such as the Circle of Responsibility (Farm to Fork, In Balance, Low Fat, Organic, Seafood Watch, Vegan, Vegetarian, and Well-Being options).",https://scu.edu/sustainability/operations/food/,True,Signage throughout campus indicates that landscaping is watered with recycled water.,https://scu.edu/sustainability/operations/buildings/landscape,True,"The tour emphasizes efforts to maintain environmental justice and sustainability, highlighting some of the sustainability elements of Santa Clara University which contribute to the goal of being carbon neutral by the end of 2020. Stops include the Mission Church, Solar Decathlon houses (2007 and 2009 3rd place winners), the Forge Garden, the many alternative energy sources used on campus, and much more.",https://scu.edu/sustainability/takeaction/tour,True,The Sustainability website provides commuters with alternative transportation options. The Center for Sustainability has also created a number of videos highlighting sustainable commuting which were shared via social media.,https://scu.edu/sustainability/operations/transportation,--,,--,True,"Residence Life Sustainability Liaisons collaborate with the Center for Sustainability to further develop a culture of sustainability within Santa Clara University’s residential learning communities. A sampling of programs during the 2014-15 academic year include: hosting an event for the ""Zero-Power Hour ""in their residence hall during the Energy Challenge, creating sustainability-themed bulletin boards and sharing them with other Residence Life Sustainability Liaisons, organizing resident field trips to the local farmers' market, and organizing resident volunteer days at the campus garden.
https://scu.edu/sustainability/programs/liaisons/reslife/ ",https://www.scu.edu/sustainability/takeaction/resources/students/cf/,True,The campus weekly newspaper regularly features articles and opinion pieces about sustainability.,http://thesantaclara.org/,--,"""This Week at SCU"" is the weekly digital newsletter that the Associated Student Government Public Relations Vice President sends out to the entire student body. Each week there is a Sustainability News section featuring the ""Tips & Events of the Week"" that informs students about sustainability-related events happening on and off-campus, as well as behavior changes they can make to lead a more sustainable lifestyle. ",--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--
Seattle University,2016-03-23,2016-03-23 11:54:18,thompson@seattleu.edu,2.0,Pursuing,**,True,"Seattle University's sustainability web site has information on campus operations, academics, the President's Committee for Sustainability and how to get involved on campus.",http://www.seattleu.edu/sustainability,True,The Center for Environmental Justice (CEJS) publishes its newsletter with an aim to keep readers up-to-date on Seattle University's environmental justice and sustainability efforts.,https://www.seattleu.edu/cejs/newsletter/,True,"The CEJS administers a Facebook page to keep campus members up-to-date on local events, learning opportunities, jobs, educational competitions, and new campus initiatives.",https://www.facebook.com/envjustice,True,"The Center for Environmental Justice and Sustainability awards 5-6 fellowships annually for student research related to sustainability. Over the course of the academic year, students are required to present their progress at three gatherings via poster boards. Each students' research is initially described on the CEJS web site. ",https://www.seattleu.edu/cejs/fellowships/students/,True,The 4 LEED Gold buildings each have a large interpretive sign in front to explain the green building strategies used.,http://www.seattleu.edu/sustainability/what-su-is-doing/buildings/,True,Bon Appetit has computer display with information on how and why they source sustainable food and how people can eat more sustainably.  Bon Appetit also has table tents that describe their sustainability efforts on dining tables.,http://su.cafebonappetit.com/curious/,True,"The Biodiversity Garden has an educational sign explaining a variety of principles used to increase local biodiversity, including displays of plants that attract beneficial insects and birds, shade tolerant native plants that are good alternatives for other ground covers (such as ivy), and the benefits of mulching and composting for increasing soil biodiversity.  The Lee Miley Rain Garden has an educational sign explaining its purpose, benefits, and how it functions.",http://www.seattleu.edu/sustainability/what-su-is-doing/landscape/,True,"The Seattle University Campus Edibles Map is a self-guided walking tour of 11 campus locations where fruits, vegetables and herbs are integrated into the landscape for campus members and the public to pick and eat.",http://www.seattleu.edu/grounds/edibles/,True,"The Transportation and Parking Services web site has information on: all the incentives available to campus members on how to take alternative transportation to campus, links to 3 online transit planners, Seattle bike maps and safe routes and how to register your bike.",http://www.seattleu.edu/transportation/,--,"http://www.seattleu.edu/transportation/biking/

http://www.seattleu.edu/transportation/Commuter/walkers/
",--,--,,--,--,,--,--,There is a Seattle University sustainability Facebook page.,http://www.facebook.com/envjustice,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:47,mpate@sewanee.edu,2.0,Pursuing,**,True,"Sewanee recently reworked their Sustainability website in late 2013. The new site has links about Energy and Climate, Natural and Cultural Stewardship, Food and Dining, and Buildings. ",http://sustain.sewanee.edu/,--,No sustainability newsletter exists at this time.,--,True,The Office of Environmental Stewardship and Sustainability maintains an active presence on Facebook (Sustain Sewanee) and Twitter.,https://www.facebook.com/pages/sustain-sewanee/213955726088,True,"Sewanee has two means by which student research on sustainability is being disseminated.
1) Scholarship Sewanee—an annual afternoon-long presentation for all students to display their research from the academic year, answering questions, and arguing points with faculty and students. Sustainability research is often a large portion of the research completed.

2) The Office of Environmental Stewardship and Sustainability often displays student research on the Domain Research page of Sustain Sewanee webpage.",http://sustain.sewanee.edu/group/cat/domain,--,Sewanee does not have such signage at this time.,--,--,No such signage or brochures exist at this time.,--,--,No such signage exists at this time.,--,True,"The OESS and the Admissions Office are currently in the process of creating a sustainability walking tour which will highlight some of the important places on campus relating to sustainability including Spencer Hall (where the OESS resides), Snowden Hall (home to our solar system), the herb garden outside of McClurg Dining Hall, Abbo's Alley and the University Farm. The tour should be available to students for Fall 2013.",--,--,No guide for commuters exists at this time.,--,--,No navigational or educational tools exists for bicyclists and pedestrians at this time.,--,--,"No such guide exists at this time, although there is one currently being produced. ",--,True,"Although there is not a designated column or reporter assigned to sustainability in the student newspaper, the Sewanee Purple, sustainability has had at least one article in almost all of the editions of the paper in 2014-2015. ",http://thesewaneepurple.org/,True,"in Spencer Hall, the Biology and Environmental Science building, there are electronic boards that display research, facts, information, and other information the OESS wishes to publish and convey to visitors on campus. The boards lie strategically along the main tour route operated by Admissions.",--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:27,andre.plante@sheridancollege.ca,2.0,Pursuing,**,True,"The Sheridan community can use the Office for Sustainability’s website to learn about the Mission Zero sustainability initiatives – the Integrated Energy and Climate Master Plan (IECMP) and Zero Waste Sheridan. The website describes Sheridan’s sustainability goals and provides sustainability-related articles and publications,",https://www.sheridancollege.ca/about/sustainability.aspx,--,,--,--,,--,--,"While there are no vehicles that are strictly sustainability focused, the following publications highlight student research from across the college:
Sheridan Insider News
Sheridan Ovation (http://ovation.sheridancollege.ca)
Sheridan Sun (http://thesheridansun.ca)
Undergraduate Research Annual Report (https://www.sheridancollege.ca/research/about/annual-report.aspx)
",--,--,,--,True,"The Sheridan cafeterias display the daily menu and highlight Ontario-grown produce used for the daily menu. These displays also have pamphlets filled with recipes that use locally grown produce that students and staff can take. Another display lists Chartwell’s sustainability actions such as:
- purchasing and promoting local products
- purchasing compostable, biodegradable disposables
- reducing food waste through the Trim Trax program
",http://www.dineoncampus.ca/sheridan/subnav/bulletins,--,,--,--,,--,True,"Sheridan has partnered with a non-profit called “Smart Commute” in the Brampton-Caledon and Halton regions.  As per Smart Commute’s website:

“Smart Commute is a program of Metrolinx and the municipalities in the Greater Toronto and Hamilton Area. We help anyone who is going from A to B explore and try out smart travel options such as walking, cycling, transit and carpooling. Our goal is to ease gridlock while helping you save time and money.”

Smart Commute has awarded Sheridan Collage a Silver rating for its Mississauga campus and a Gold rating for its Oakville and Brampton campuses. The award is for providing enhanced (Silver rating) and outstanding (Gold rating) alternative transportation commuting options to its employees. More information here: http://www.smartcommute.ca/success-stories/smart-commute-workplaces/

The Smart Commute website provides resources for commuters about how to use transit.

http://www.google.com/url?q=http%3A%2F%2Fwww.smartcommute.ca%2Fbrampton-caledon%2Fcommuter-zone%2Ftransit-zone%2F&sa=D&sntz=1&usg=AFQjCNE7CXnmPxkg4S6tCjC7SRaTNpVWyA

http://www.smartcommute.ca/transit/transit-getting-started/",http://www.smartcommute.ca/transit/transit-getting-started/,True,"Sheridan has partnered with a non-profit called “Smart Commute” in the Brampton-Caledon and Halton regions.  As per Smart Commute’s website:

“Smart Commute is a program of Metrolinx and the municipalities in the Greater Toronto and Hamilton Area. We help anyone who is going from A to B explore and try out smart travel options such as walking, cycling, transit and carpooling. Our goal is to ease gridlock while helping you save time and money.”

The Smart Commute website provides navigation and educational tools for bicyclists and pedestrians.

http://www.smartcommute.ca/brampton-caledon/commuter-zone/bike-walk-zone/

http://www.smartcommute.ca/halton/commuter-options/active-transportation/",http://www.smartcommute.ca/halton/commuter-options/active-transportation/,True,"The Sheridan Residential Handbook includes a section on Energy and Waste Reduction. The guide provides tips to residents on how to conserve energy use while in the kitchen and laundry room. General tips on lighting, computer use, and heating/cooling are also discussed. The recycling guide gives perspectives on the benefits of using the blue bin on residence.",--,--,,--,--,Sheridan bookstore has a corner called “Shop Sustainable” that offers environmentally friendly products.,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--
Simon Fraser University,2016-02-08,2016-02-08 23:41:56,erica_lay@sfu.ca,2.0,Pursuing,**,True,"The central SFU sustainability website provides a hub of information on sustainability efforts across all three of SFU's campuses (Burnaby, Vancouver, and Surrey).  Links on the website lead to details on sustainability in campus and facilities, engagement, teaching and learning, and research.",http://www.sfu.ca/sustainability.html,True,"A bi-weekly newsletter with 1066 subscribers, including sustainability news, program highights, a featured Talking Sustainability blog post, and calendar of upcoming events",http://secure.campaigner.com/Campaigner/Public/t.show?6gqwy--3ilv9-q3tl5f9&_v=2,True,"Twitter: @SFUSustain, Facebook: SFUSustainabilityOffice, LinkedIn: SFU Sustainability Office, YouTube: SFUSustain, Blog: Talking Sustainability

Audiences at Simon Fraser University and beyond engage with issues on sustainablity at SFU through a variety of social media outlets.  These outlets share program highlights, upcoming events, volunteer and work opportunities, and blog posts covering a variety of sustainability topics // Twitter: 2,275 followers, Facebook: 221 likes, LinkedIn: 64 followers, YouTube: 20 subscribers",http://twitter.com/SFUSustain,--,,--,--,,--,--,,http://www.dineoncampus.ca/SFU/?cmd=CampusSustainability,--,,--,--,,--,True,"Web page dedicated to alternative transportation at SFU, including links to TransLink cycling maps, information on public transit and carpooling options, and information on the U-Pass program.",https://www.sfu.ca/students/isap/handbook/student-life/get-around/,True,"Section of Parking Services' Alternative Transportation page dedicated to cycling, including maps, bike storage information, and a link to Simon Fraser Public Interest Research Group's (SFPIRG's) bike tool co-op.",http://www.sfu.ca/parking/alternative-transportation.html,True,"Web page with information on how students can live more sustainably in residence, including information about the Residence composting program, container exchange program, and how students can form an Eco Committee.",http://www.sfu.ca/students/residences/sustainability.html,--,,--,True,"Within at least two department newsletters on campus, staff write a regular sustainability column involving sustainability tips, thoughts, and ways to integrate sustainability into day to day work.",--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--
Slippery Rock University,2016-02-29,2016-02-29 14:19:06,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:30:58,dweisbor@smith.edu,2.0,Pursuing,**,True,"The Office of Campus Sustainability website, on Smith's main page, features information about sustainability staff and our location.  It includes the mission of the offices, as well as the other departments we work with.  It also includes information about the Study Group on Climate Change, and includes links to the Committee on Sustainability, policies, the Sustainability and Climate Action Management Plan, and what you can do.  

Through the sidebar, visitors can navigate to pages to learn more about operational initiatives, student groups and activities, alumnae initiatives, sustainability news, and a calendar of events.  ",http://www.smith.edu/green/sustainability.php,--,,--,True,"The Office of Campus Sustainability maintains a Smith College Campus Sustainability Facebook page.  We use the Facebook page to post updates on sustainability projects happening on campus and in the community, promote related events, and highlight newsworthy items from around the globe.  ",https://www.facebook.com/smithsustainability?ref=hl,True,The Environmental Science and Policy program website includes a student research page which acts as a vehicle to publish and disseminate student research projects on sustainability and other environmental topics.  ,http://www.smith.edu/green/about_research.php,True,"Smith's Living Building, the Bechtel Environmental Classroom, has in-depth signage describing a number of green building features that contributed to its certification.",http://www.smith.edu/ceeds/macleish_bechtel.php,True,"Dining Services labels foods that are produced locally on menu boards or with a laminated badge in kitchens and in the Campus Center Cafe.  Some items that are packaged also have local stickers (for example salads made with local greens).  This helps students make informed choices about their food.  

Students involved in the Real Food Challenge have also created a brochure detailing the percentage of ""real food"" in various categories that is purchased by Smith College.  They have presented their preliminary findings and distributed brochures.  ",http://www.smith.edu/diningservices/local.php,--,,--,True,"The ""Sustainable Smith Campus Tour"" contains information about sustainability and its role at Smith College. It highlights eight of the most notable locations across campus in terms of their headway in sustainable efforts including the Campus Center; a sustainable dining hall; an efficient residence hall; the Botanic Garden of Smith College; a newly renovated residence hall; Neilson Library; the 2010 construction of Ford Hall, the engineering and science building (a LEED certified building); the retrofitted Indoor Track and Tennis Facility; Paradise Pond  as well as Smith’s cogeneration power plant. 
",http://www.smith.edu/green/docs/Susttour.6-21-10.pdf,True,"In Smith College's Parking Master Plan, recommendations are provided for commuters to utilize alternative forms of transportation that are made available instead of driving a personal car to campus. The Green Smith website has a section on transportation and ways in which faculty and student commuters can reduce the impacts of college-related transportation. This website includes links to other websites for Rideshare, Zipcar, PVTA, MassRides, opt-out parking program, carpooling and Bike Kitchen, which are all transportation programs servicing the campus and the other colleges. ",http://www.smith.edu/green/operations_transportation.php,--,"Each summer the Bike Kitchen (student organization) updates and produces a Bike Kitchen Cookbook with navigation and educational tools, bike repair tips, and more.  They also hold bike mechanic workshops to train individuals in bike repair.",http://www.smith.edu/ceeds/documents/Bikekitchen_cookbook_2013_test.pdf,True,"Smith College's Office of Campus Sustainability provides a comprehensive page of ""Useful Tips"" on its website describing several simple changes residents can make to reduce consumption of energy and resources. The sections include Actions that Cost Nothing Add Up, Things Worth a Small Investment, Back-to-School Shopping List, Local Food, Biking, and Getting Places. ",http://www.smith.edu/green/what_tips.php,--,,--,True,"The Botanic Garden of Smith College newsletter, Botanic Garden News, is published twice a year by the Friends of the Botanic Garden The newsletter highlights changes and provides information to the Smith community about the college's gardened spaces, efforts on campus to create more green space, and also draws from outside news related to green gardening. ",http://www.smith.edu/garden/Newsletter/newssp10.pdf,True,"Smith College's Center for the Environment, Ecological Design, and Sustainability produces an annual magazine that cover a range of sustainability topics. The magazine highlights a variety of issues and policies and provides information to the Smith community about local and global sustainability happenings. ",http://www.smith.edu/ceeds/fieldguide.php,True,"The Alumni Initiatives news feed on the Green Smith website highlights notable alumnae pursuing sustainability after they have graduated. Smith alumnae are creating change and doing innovative work around the world. They are shaping national policy, raising global standards, influencing citizens' behaviors and educating the world on reproductive rights, climate change, environmental justice, water rights, international trade and wetlands restoration. This page is a place to communicate their efforts with the world. ",http://www.smith.edu/green/alumnae.php,True,"Beginning in March 2014, the Staff Council Chronicle began featuring a recurring Sustainability column.",http://www.smith.edu/staffcouncil/chronicle.php,True,"The Office of Campus Sustainability has regular story meetings with members of College Relations so that sustainability stories can be featured on the Grecourt Gate, Smith's main news website, as well as Smith College's Facebook page and other social media.  ",http://www.smith.edu/news/,--,,--,--,,--,--,,--,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:21:56,huminskis1@southernct.edu,2.0,Pursuing,**,True,"The Office of Sustainability web page is easily found on the university web site. We feature a variety of sustainability initiatives like the campus community garden, The Food Recovery Network, Compost Happens, as well as information about interns, the Climate Leadership Commitment, the SCSU Swap Shop, and academic programs. Sustainability interns share primary responsibilities updating the web page and social media.",http://southernct.edu/about/sustainability/index.html,--,,--,True,"The SCSU Office of Sustainability has a Facebook page and an Instagram (S.C.S.U Office of Sustainability) that focuses on campus sustainability events, initiatives, and weekly updates. Sustainability interns post pictures, promotional materials, and information weekly at minimum, and very often several times per week.",https://www.facebook.com/scsusustainability,True,"The Werth Center for Coastal and Marine Studies posts student and faculty research findings and publications. 

SCSU also annually hosts a Student Research and Creativity Conference open to all undergraduates to display research posters and demonstrations.",https://www.southernct.edu/research/research-centers/ccms/studentprojects.html,True,"School of Business LEED Gold plaque
Academic and Laboratory Science Building: Interpretive signage describing rooftop rainwater collection system: Posted next to rainwater collection pipes and on SCSU science building web page. ",http://www.southernct.edu/about/construction/new-science-building.html,True,"Chartwells is committed to fostering and promoting sustainable business principles to the Southern Connecticut State University community. Signs are posted with information about cage free eggs, Monterey Bay seafood purchasing guidelines, and new for 2016: Reusable cup program campus wide, and Food Recovery Network. Signage can be found at cash registers and on drink dispensers (cup program), dining hall digital screens, student center digital screens, posters in dining hall stairwells, and brochures near the dining hall main entrance.",http://www.dineoncampus.com/scsu/show.cfm?cmd=sustainability,True,"Though small, signs saying ""Compost Happened"" are posted in flower urns in warmer months. Compost produced in the ""Compost Happens"" program is added to the urns to fertilize the flowers planted there in warmer months.

",--,--,,--,True,"Transportation web site contains information about shuttle schedule to train station, zip cars, UPass, bike storage, EV charging stations. ",http://www.southernct.edu/student-life/safety/transportation.html,--,,--,--,,http://www.southernct.edu/student-life/campus-life/residencelife/general-information/living-learning.html,True,"Many sustainability topics are covered regularly in the student news paper, Southern News. Topics include the campus community garden, recycling and composting on campus, energy efficiency, visiting guest speakers, Food Recovery Network, and research at the Werth Center for Coastal and Marine Studies.",--,True,"SCSU Sustainability is featured in the campus Viewbook, Southern Life, and the Alumni Magazine. Southern Life has a ""Green Box"" dedicated to disseminating information about recent sustainability efforts on campus.",--,True,Public Affairs created a tri-fold brochure about recent sustainability initiatives for availability at the Admissions Office and other locations on campus. ,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--," http://southernct.edu/about/sustainability/foodrecoverynetwork.html

https://www.southernct.edu/special/research-conference.html"
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:23:24,glkurtzhals@siu.edu,2.0,Pursuing,**,True,"sustainability.siu.edu is SIUC's centralized sustainability web resource. It contains Sustainability Council membership, Green Fund materials, plans and reports. It also contains resources (news, instructor resources, readings, etc.), and a calendar.",http://sustainability.siu.edu/,True,"Monthly newsletter with the following sections: sustainability updates, opportunities, news, jobs, inspiration, green tips, and contact information.",http://sustainability.siu.edu/,True,"SIU Sustainability office has a facebook, twitter, and instagram pages posting various campus updates and current sustainability related news. They can be found as follows: Facebook (SIU Sustainability), Twitter (@SIUsustain), and Instagram (SIUSustainability). ",https://www.facebook.com/SIUCSustainability/?fref=ts,True,"A yearly ""Research Profile"" is distributed through the Office of the Vice Chancellor for Research.",http://ospa.siu.edu/student-research/index.html,--,,--,--,We have taken down all signage and brochures. Everything can be found online including sustainable eating at our dining hall website.,http://www.housing.siu.edu/dining/services/halls,--,,--,True,SIUC has a sustainable walking tour which highlights several sustainable building and projects that are supported by the green fund.,http://sustainability.siu.edu/campus/green-tour/,True,"The Saluki Express mass transit system is SIU Carbondale’s answer to parking and traffic problems. SIU Carbondale students, faculty, and staff, as well as the Carbondale community, are encouraged to get on board and has an app to track bus routes/schedules in real-time via transloc, either on your web browser, mobile device, or by text!",http://siuc.transloc.com/,True,"During the first week of school, SIU has a one-stop shop that offers on-site bicycle registration, access to tools and instruction on proper bicycle tune-up. There are also several Map Boards located all around campus that helps pedestrians and bicyclist navigate around campus. SIU campus Maps is also available online where students can select which building on campus they wish to locate.",http://siu.edu/maps/,--,"The Going Green Living Learning Community (LLC) is ideal for students interested in or curious about sustainability, including social, environmental, and economic concerns. Students will participate in activities designed to engage thought and action around sustainable living and solutions to modern-day challenges.",http://housing.siu.edu/residence-halls/communities/going-green,True,"The Daily Egyptian, our main campus student newspaper, has an assigned reporter to the sustainability beat. News coverage has included: Princeton Review Green Schools recognition, Tree campus USA recognition, Recycle Mania participation, sustainability Research, etc.",http://www.dailyegyptian.com/news/campus/,--,,http://www.dailyegyptian.com/,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--
